{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' No': -0.11952165, 'No': -2.8962128, '\n': -2.9739966, ' ': -5.178712, ' Bears': -8.264042}
{' No': -0.062207688, 'No': -3.3052018, '\n': -3.9708283, ' ': -5.5774283, ' A': -7.397666}
{' No': -0.07081464, 'No': -3.119776, '\n': -4.0143647, ' ': -5.301052, ' Bears': -7.728054}
{' No': -0.017090604, 'No': -4.4723496, ' ': -5.866835, '\n': -6.0028367, ' A': -9.276149}
{' No': -0.03206423, 'No': -3.7857282, '\n': -5.2598147, ' ': -5.6858997, ' Bears': -9.14358}
{' No': -0.05951892, 'No': -3.0708349, '\n': -4.900055, ' ': -5.8028865, ' A': -7.3921485}
{' No': -0.046178002, 'No': -3.2516453, '\n': -5.7805324, ' ': -5.916991, ' Bears': -8.16518}
{' No': -0.033917252, 'No': -3.824059, '\n': -5.2704277, ' ': -5.4722486, ' A': -7.041536}
{' No': -0.055925183, 'No': -3.1548228, '\n': -5.2134147, ' ': -5.4089313, ' Bears': -7.506907}
{' Yes': -0.031624228, ' Generally': -3.7076533, 'Yes': -5.7582664, ' It': -6.648842, ' In': -7.457661}
{' Yes': -0.21081161, ' Generally': -2.0004253, ' It': -3.9623182, ' In': -4.465452, ' On': -5.056238}
{' Yes': -0.8530974, ' No': -1.3752971, ' Generally': -1.5386597, 'No': -3.386251, ' It': -3.5033774}
{' Yes': -0.24268068, ' Generally': -2.2618763, ' No': -3.097747, ' It': -4.281304, ' Bears': -4.3004003}
{' No': -0.69245774, ' Yes': -1.0349832, 'No': -2.7082162, ' It': -3.6853583, ' Generally': -3.6986337}
{' No': -0.7054965, ' Yes': -1.4759642, 'No': -2.7012563, ' Bears': -2.867459, ' Generally': -2.8781993}
{' Yes': -0.0780812, ' Generally': -2.915571, ' No': -5.102863, 'Yes': -5.7469807, ' In': -5.894937}
{' Yes': -0.30052364, ' Generally': -1.884258, ' No': -3.6347482, ' Bears': -3.674608, ' In': -4.137506}
{' Yes': -0.4558643, ' No': -1.5632632, ' Generally': -3.1418037, 'No': -3.202202, 'Yes': -3.9782984}
{' No': -0.6303009, ' Yes': -1.8165191, 'No': -2.226517, ' Bears': -2.8793623, ' Generally': -3.051188}
{' Yes': -0.11494699, ' Generally': -3.1522148, ' No': -3.4175436, 'Yes': -4.5262856, ' A': -5.545378}
{' Yes': -0.10878925, ' No': -3.488235, ' Generally': -3.8230455, 'Yes': -3.829704, ' Bears': -4.3298087}
{' Yes': -0.0050054477, 'Yes': -6.3074613, ' Generally': -6.542408, ' ': -7.5292835, ' yes': -8.008732}
{' Yes': -0.067544155, ' No': -3.51275, ' Generally': -3.868579, ' ': -5.963924, 'Yes': -6.023984}
{' No': -0.49196765, ' Yes': -1.5365194, 'No': -2.7835305, ' Generally': -3.420177, ' It': -3.4306977}
{' No': -0.83770406, ' Yes': -0.8818268, ' Generally': -3.0190089, 'No': -3.1702561, ' Bears': -3.4690592}
{' No': -0.28338817, 'No': -2.1569252, ' Yes': -2.9079416, '\n': -3.0985029, ' ': -4.291157}
{' No': -0.33046794, 'No': -2.085467, '\n': -2.5453193, ' Bears': -3.5259137, ' ': -3.919825}
{' No': -0.21969296, ' Yes': -1.7725931, 'No': -4.3499894, ' It': -4.8240247, ' ': -6.1631174}
{' No': -0.20896734, ' Yes': -2.014845, 'No': -3.9521294, ' Bears': -4.476675, ' It': -4.6988163}
{' No': -0.42190054, 'No': -1.3096511, '\n': -3.6877792, ' Yes': -3.6925588, ' ': -4.25901}
{' No': -0.4162134, 'No': -1.2002252, '\n': -4.0599966, ' ': -4.4543977, ' Bears': -5.1471143}
{' Yes': -0.21825914, ' No': -1.9579879, ' Generally': -4.6235075, ' A': -4.8456864, ' It': -4.934829}
{' Yes': -0.109156206, ' No': -2.9483778, 'Yes': -4.3760056, ' Bears': -4.6584687, ' Generally': -4.809226}
{' Yes': -0.12251434, 'Yes': -3.5957675, ' No': -3.733625, ' Generally': -3.8747554, ' It': -4.301677}
{' Yes': -0.20813566, ' No': -3.1316879, ' Generally': -3.5383062, 'Yes': -3.5641527, ' Bears': -3.849123}
{' No': -0.27433118, 'No': -1.5332879, ' Yes': -4.4135556, ' Generally': -5.3231688, ' It': -5.5933537}
{' No': -0.7623497, ' Yes': -1.4751353, 'No': -1.733318, ' Generally': -2.6975493, ' It': -3.8996332}
{' Yes': -0.34519377, ' No': -1.7304705, 'No': -2.8979661, 'Yes': -3.3733406, ' Generally': -4.633911}
{' No': -0.52381915, 'No': -1.4981405, ' Yes': -2.0261269, ' Generally': -4.0519047, ' Bears': -4.4546795}
{' Yes': -0.20789559, ' No': -1.8025001, 'No': -4.8705444, 'Yes': -4.883259, ' Generally': -5.2630825}
{' Yes': -0.41954985, ' No': -1.5824909, ' Bears': -3.0933816, ' Generally': -3.1181467, 'No': -3.8378694}
{'No': -0.90021884, ' No': -1.2475356, ' Yes': -2.025339, ' Bears': -2.4811609, ' Generally': -3.5463748}
{'No': -1.1233358, ' No': -1.1766804, ' Bears': -1.5364425, ' Generally': -3.124255, ' Yes': -3.1418505}
{' Yes': -0.8501729, ' No': -0.8580962, 'No': -2.46354, ' Generally': -3.7433367, ' Bears': -4.0850167}
{' Yes': -0.18583722, ' Bears': -3.02035, ' No': -3.2210546, 'Yes': -3.4275916, ' Generally': -3.6682913}
{' Yes': -0.05156148, ' yes': -3.225521, 'Yes': -5.113322, ' ': -6.1447053, '\n': -7.0614133}
{' Yes': -0.03731215, ' yes': -4.014242, ' No': -4.8675866, 'Yes': -5.113417, ' ': -6.296353}
{' Yes': -0.058888037, 'Yes': -3.6581101, ' No': -4.627606, ' yes': -5.118443, ' Generally': -5.4461827}
{' Yes': -0.11760476, ' No': -3.5607998, 'Yes': -3.6271663, ' Generally': -3.8198066, 'No': -4.8988185}
{' Yes': -0.48351792, ' No': -1.7790673, '\n': -2.4753907, 'No': -3.0051718, 'Yes': -3.1508706}
{' Yes': -0.6045551, ' No': -1.9083327, '\n': -2.2495325, 'No': -2.4310246, 'Yes': -2.9063168}
{' Yes': -0.023817977, 'Yes': -4.6794786, ' No': -4.9975405, ' yes': -5.766673, ' Generally': -6.7363343}
{' Yes': -0.22652762, ' No': -1.9563079, ' Generally': -4.170833, 'No': -4.3140044, 'Yes': -4.462585}
{' No': -0.73269916, 'No': -1.241143, ' Yes': -2.2768333, '\n': -2.4211013, 'Yes': -3.9610078}
{' No': -0.4824619, 'No': -1.0417309, '\n': -4.057787, ' ': -5.010074, ' Yes': -6.113283}
{' Yes': -0.24229252, ' No': -2.6904202, ' yes': -2.8055553, ' It': -3.7626731, '\n': -3.9961262}
{' Yes': -0.12864126, ' yes': -2.7598608, 'Yes': -3.8520887, ' No': -4.4591403, '\n': -4.818055}
{' Yes': -0.010787371, 'Yes': -5.8862104, '\n': -6.0019407, ' Generally': -6.390489, ' No': -6.6328764}
{' Yes': -0.21221662, ' No': -2.0928202, ' Generally': -3.7556314, '\n': -4.0222445, ' It': -5.0434656}
{' Yes': -0.2973188, ' No': -1.6939042, 'No': -4.06219, '\n': -4.1417456, 'Yes': -4.2359347}
{' No': -0.8036417, ' Yes': -1.0986856, 'No': -2.78782, ' Generally': -3.126672, '\n': -3.183818}
{' Yes': -0.49919832, ' No': -1.1677755, 'No': -3.7678218, '\n': -3.8791747, 'Yes': -4.417936}
{' No': -0.46651733, ' Yes': -1.6027019, ' Bears': -2.81639, 'No': -2.8324382, '\n': -3.8108525}
{' Yes': -0.0704774, ' No': -3.1027746, '\n': -4.9481344, ' ': -5.1250277, 'Yes': -5.5638967}
{' No': -0.756973, ' Yes': -0.8646561, '\n': -3.5609107, 'No': -3.8172984, ' Generally': -3.9465063}
{' Yes': -0.46845144, ' No': -1.2439203, 'No': -3.621674, '\n': -3.6266007, 'Yes': -3.9577668}
{' No': -0.14912134, 'No': -2.448951, ' Yes': -3.4882994, '\n': -4.680299, ' ': -4.9881277}
{' Yes': -0.031687837, 'Yes': -4.968177, ' ': -5.2875967, ' No': -5.3652105, '\n': -5.39412}
{' Yes': -0.043429732, 'Yes': -4.4621024, ' No': -4.4772997, ' yes': -5.2162085, ' ': -5.5567384}
{' Yes': -0.0059978897, 'Yes': -5.8529058, ' Generally': -5.8999796, ' yes': -9.118854, ' ': -9.736516}
{' Yes': -0.038031597, ' Generally': -3.515185, 'Yes': -5.4509726, ' In': -7.139624, ' Bears': -7.1732717}
{' Yes': -0.02559523, 'Yes': -4.2456245, ' Generally': -4.6774507, ' yes': -7.977316, ' ': -8.091103}
{' Yes': -0.048099503, ' Generally': -3.7542226, 'Yes': -4.140661, ' Bears': -5.722635, ' In': -6.879497}
{' Yes': -0.020736866, 'Yes': -3.9778824, ' Generally': -7.727628, ' ': -7.7370014, ' yes': -8.0302925}
{' Yes': -0.07648913, 'Yes': -3.5937006, ' Bears': -4.0922227, ' Generally': -4.1881833, ' No': -5.5106225}
{' Yes': -0.009623752, ' Generally': -5.0822897, 'Yes': -5.983817, ' A': -8.596158, ' yes': -8.683665}
{' Yes': -0.06297448, ' Generally': -3.325946, ' Bears': -4.3117023, 'Yes': -5.046418, ' In': -6.0779243}
{' Yes': -0.025284026, 'Yes': -3.9511166, ' Generally': -5.8441486, ' ': -6.686041, '\n': -7.3952484}
{' Yes': -0.06856615, 'Yes': -3.3959968, ' Generally': -4.425017, ' Bears': -4.8855996, ' ': -5.609284}
{' Yes': -0.016072331, 'Yes': -4.545836, ' Generally': -5.7282104, ' yes': -7.4182124, ' A': -7.843491}
{' Yes': -0.04164076, 'Yes': -3.6154227, ' Generally': -5.1007915, ' Bears': -5.4936748, ' yes': -6.815294}
{' Yes': -0.0026381414, 'Yes': -6.310249, ' ': -8.041183, ' yes': -8.321072, '\n': -9.110831}
{' Yes': -0.009273379, ' Generally': -5.6806865, 'Yes': -5.9014907, ' ': -6.9801955, '\n': -7.225902}
{' Yes': -0.031519342, 'Yes': -3.9031737, '\n': -5.822632, ' A': -6.058313, ' Generally': -6.337913}
{' Yes': -0.049438566, 'Yes': -4.1222973, ' Generally': -4.5694885, ' Bears': -4.7850304, ' No': -4.9995384}
{' Yes': -0.07563207, 'Yes': -3.2366292, '\n': -3.7732027, ' ': -5.130857, ' A': -5.9255195}
{' Yes': -0.25634792, '\n': -2.199116, 'Yes': -3.0795023, ' ': -3.7336369, ' No': -3.9774837}
{' Yes': -0.0044919606, 'Yes': -5.710176, ' ': -7.4750667, ' yes': -8.078938, ' A': -8.931635}
{' Yes': -0.03530682, ' No': -4.2553077, ' Bears': -4.5856166, 'Yes': -5.2850947, ' Generally': -5.914535}
{' Yes': -0.16142847, 'Yes': -2.1368313, '\n': -4.4394107, ' ': -4.595628, ' yes': -5.759178}
{' Yes': -0.55974686, ' No': -1.6920805, 'No': -2.3978605, 'Yes': -2.4908857, ' Bears': -3.6265116}
{' Yes': -0.01936805, 'Yes': -4.490813, ' yes': -5.4624333, ' A': -6.589419, ' ': -6.605828}
{' Yes': -0.032616325, 'Yes': -3.9272335, ' yes': -5.229008, ' Bears': -6.031762, ' ': -6.288812}
{' Yes': -0.054196186, 'Yes': -3.3989913, ' yes': -4.7299604, ' A': -5.5729947, ' Generally': -5.6868157}
{' Yes': -0.098120295, 'Yes': -3.110043, ' Bears': -3.9872038, ' yes': -4.36029, ' Generally': -4.5852423}
{' Yes': -0.043387283, 'Yes': -3.2846515, ' yes': -6.09207, ' No': -6.9129987, ' Generally': -7.327819}
{' Yes': -0.08269931, 'Yes': -3.1013873, ' Generally': -3.9004366, ' No': -5.008671, ' Bears': -6.0845356}
{' Yes': -0.049957626, 'Yes': -3.0778484, ' ': -7.0505633, ' yes': -7.2885857, ' No': -8.085716}
{' Yes': -0.085575856, 'Yes': -2.7750726, ' Bears': -5.194861, ' No': -5.356759, ' Generally': -5.459309}
{' Yes': -0.01163221, 'Yes': -4.62775, ' yes': -7.4675126, ' No': -7.883866, ' Generally': -7.889493}
{' Yes': -0.04337645, 'Yes': -4.037189, ' Bears': -4.650544, ' Generally': -4.7896643, ' No': -5.42781}
{' Yes': -0.6500371, 'Yes': -1.9052594, ' Bears': -2.2331955, 'No': -2.3080418, ' No': -2.8766816}
{' Yes': -0.5428837, ' Bears': -1.7306087, 'Yes': -2.0589836, ' Generally': -3.1674335, 'No': -3.4526641}
{' Yes': -0.043974143, 'Yes': -3.2859573, ' yes': -5.8732624, ' ': -7.175474, ' Generally': -7.458792}
{' Yes': -0.059593763, 'Yes': -3.0714364, ' Bears': -5.5749893, ' Generally': -5.581269, ' yes': -6.0001597}
{' Yes': -0.0313411, ' yes': -4.0298324, 'Yes': -4.621576, ' ': -6.3465667, '\n': -7.0259867}
{' Yes': -0.026863173, ' yes': -4.451174, 'Yes': -4.6202846, ' ': -6.300473, ' No': -6.836023}
{' Yes': -0.051239766, 'Yes': -3.1767013, ' yes': -5.5232625, '\n': -6.2164674, ' ': -6.5864987}
{' Yes': -0.05819501, 'Yes': -3.3325555, '\n': -5.205137, ' yes': -5.2402797, ' Generally': -5.5908656}
{' Yes': -0.13245267, 'Yes': -2.49824, '\n': -3.565211, ' yes': -5.0563817, ' ': -5.425936}
{' Yes': -0.21667063, 'Yes': -2.3213174, '\n': -2.710115, ' ': -4.7418094, ' yes': -4.82111}
{' Yes': -0.016689487, 'Yes': -4.260208, ' yes': -6.6352806, ' ': -7.384596, '\n': -8.0733795}
{' Yes': -0.024313625, 'Yes': -3.9322648, ' yes': -6.528945, ' No': -6.928345, '\n': -7.3841786}
{' Yes': -0.29402876, 'Yes': -1.7308841, '\n': -3.0021393, ' yes': -4.2755814, ' ': -4.8757114}
{' Yes': -0.5568552, ' No': -2.0113153, 'Yes': -2.0317695, 'No': -2.5012195, '\n': -2.9723082}
{' Yes': -0.082183436, ' yes': -3.0853992, 'Yes': -3.6611953, '\n': -5.6482697, ' ': -6.42007}
{' Yes': -0.109597325, ' yes': -2.8632839, 'Yes': -3.4243097, '\n': -5.086134, 'yes': -5.7363687}
{' Yes': -0.011067033, 'Yes': -5.4482713, '\n': -5.5290303, ' ': -6.568928, ' yes': -7.169299}
{' Yes': -0.026127433, '\n': -4.6167374, 'Yes': -5.154553, ' Generally': -5.4055257, ' ': -5.887544}
{' Yes': -0.03043965, 'Yes': -3.9736042, '\n': -5.0150757, ' ': -5.8674717, ' yes': -7.3020782}
{' Yes': -0.063399754, 'Yes': -3.8630116, '\n': -4.0381713, ' Generally': -4.978988, ' ': -5.240741}
{' Yes': -0.03653152, 'Yes': -3.9692004, '\n': -4.6710396, ' ': -5.551517, ' A': -6.0576725}
{' Yes': -0.09011585, 'Yes': -3.8412735, '\n': -3.900514, ' Bears': -3.9351342, ' No': -4.4227424}
{' Yes': -0.01203113, 'Yes': -5.4570003, '\n': -5.7594995, ' ': -5.8682723, ' No': -7.646074}
{' Yes': -0.13561395, ' Bears': -3.1697211, ' No': -3.5494108, '\n': -3.833324, ' Generally': -4.4434695}
{' Yes': -0.043497838, 'Yes': -3.4959722, '\n': -5.02407, ' ': -5.7696767, ' No': -6.944474}
{' Yes': -0.36914948, ' No': -1.4749253, 'Yes': -3.7232563, 'No': -3.7977743, '\n': -4.4706354}
{' Yes': -0.023028731, 'Yes': -4.5163164, ' yes': -5.2936373, ' ': -5.8336368, '\n': -5.9096594}
{' Yes': -0.032958277, 'Yes': -4.123485, ' yes': -5.1775527, '\n': -5.345165, ' ': -5.7900662}
{' Yes': -0.0035739231, 'Yes': -5.7450743, ' No': -8.993588, ' yes': -9.117171, ' ': -10.2719965}
{' Yes': -0.08949112, ' No': -2.5106506, 'Yes': -5.8698735, 'No': -7.2540817, ' ': -8.402037}
{' Yes': -0.01966429, 'Yes': -4.4145675, ' No': -5.139684, ' ': -7.8655787, ' yes': -7.973769}
{' Yes': -0.04117625, ' No': -3.5706425, 'Yes': -4.6213517, 'No': -6.772085, ' ': -7.21682}
{' Yes': -0.086704716, ' No': -2.8417513, 'Yes': -4.1554723, 'No': -5.785034, ' ': -5.904726}
{' Yes': -0.091602586, ' No': -2.83655, 'Yes': -3.9681568, 'No': -5.5626717, ' ': -6.0045605}
{' Yes': -0.0052903313, 'Yes': -5.6406894, ' No': -6.7654886, ' A': -8.171221, ' yes': -9.038783}
{' Yes': -0.102701165, ' No': -2.4180622, 'Yes': -5.1617427, 'No': -6.186733, ' ': -8.357113}
{' No': -0.17929652, 'No': -2.0384083, ' Yes': -4.285644, '\n': -4.622896, ' ': -5.281751}
{' No': -0.29953948, ' Yes': -1.9469584, 'No': -2.3875465, 'Yes': -4.9424553, ' ': -5.1171827}
{' Yes': -0.061899908, ' No': -3.1532807, 'Yes': -4.5884595, ' A': -6.3001328, 'No': -6.3111253}
{' Yes': -0.24887834, ' No': -1.7380903, 'Yes': -3.8632028, 'No': -4.0590625, ' ': -6.15948}
{' Yes': -0.0046321955, 'Yes': -6.3212385, ' ': -6.9876103, ' No': -7.007996, ' yes': -7.5128756}
{' Yes': -0.12879704, ' No': -2.169515, 'Yes': -6.0997005, ' ': -6.236512, '\n': -6.714513}
{' No': -0.10829283, ' Yes': -2.7826548, 'No': -3.6509793, ' ': -5.1689253, '\n': -5.205865}
{' Yes': -0.46620622, ' No': -1.0554378, 'No': -4.788729, 'Yes': -5.061072, ' ': -5.3226132}
{' No': -0.3230778, '\n': -2.1250913, ' Yes': -2.5442808, 'No': -3.167028, ' ': -3.7812839}
{' No': -0.21228111, '\n': -2.1065128, 'No': -3.0488155, ' ': -4.2542715, ' Yes': -5.0995226}
{' Yes': -0.2870606, ' No': -1.4229783, ' ': -5.6564794, 'Yes': -6.0033517, 'No': -6.5460343}
{' No': -0.14221439, ' Yes': -2.0711658, 'No': -5.397551, ' ': -6.7038236, 'Yes': -7.730578}
{' No': -0.20176023, 'No': -1.944766, '\n': -3.998595, ' ': -4.3884754, ' Yes': -5.5004225}
{' No': -0.16422212, 'No': -2.1014473, '\n': -4.125216, ' ': -4.584674, ' Rats': -7.061125}
{' Yes': -0.030890826, 'Yes': -4.827632, ' No': -4.832088, ' yes': -4.9806266, ' ': -5.4673247}
{' Yes': -0.039889466, 'Yes': -4.1496496, ' yes': -4.618041, ' No': -4.939127, ' ': -5.634545}
{' Yes': -0.13529828, ' No': -2.702984, 'Yes': -3.407486, ' yes': -4.3374577, 'No': -4.874803}
{' Yes': -0.22624029, ' No': -2.1192172, 'Yes': -3.140562, 'No': -4.0471945, ' yes': -4.3064823}
{' Yes': -0.41939297, ' No': -1.2205081, 'No': -3.7248776, 'Yes': -3.9502861, ' ': -6.306016}
{' Yes': -0.7657771, ' No': -0.8140675, 'No': -2.67728, 'Yes': -3.8393416, ' ': -7.153325}
{' Yes': -0.4240504, ' No': -1.3301439, 'No': -3.2002878, 'Yes': -3.4240727, ' ': -5.3109365}
{' Yes': -0.18137635, ' No': -2.2659004, 'Yes': -3.186711, 'No': -4.1148553, ' ': -6.251507}
{' Yes': -0.5699715, ' No': -0.86360407, 'No': -4.9749513, 'Yes': -5.491068, ' ': -7.0537763}
{' Yes': -0.047463574, ' No': -3.4008875, 'Yes': -4.535802, 'No': -6.8059964, ' yes': -7.343207}
{' No': -0.5764861, 'No': -0.8417677, ' ': -6.3053007, '\n': -6.459495, ' Rats': -6.7241797}
{' No': -0.72062886, 'No': -1.0265733, ' Yes': -2.3114169, 'Yes': -3.7832966, ' Rats': -4.0550003}
{' No': -0.119804755, 'No': -2.5235083, ' Yes': -3.5847416, ' ': -6.3285956, 'Yes': -7.0085697}
{' Yes': -0.10859656, ' No': -2.9323173, 'Yes': -3.3917136, 'No': -4.8418803, ' Rats': -5.8474255}
{' Yes': -0.07601935, ' yes': -2.8832777, 'Yes': -5.1089306, ' ': -5.248144, ' No': -5.6608653}
{' Yes': -0.052269973, ' yes': -3.432994, ' No': -4.8567514, 'Yes': -5.207307, ' ': -5.6506696}
{' Yes': -0.09664669, ' No': -3.270633, 'Yes': -3.7751992, ' yes': -4.569728, '\n': -4.8021173}
{' Yes': -0.054423116, 'Yes': -3.5804713, ' yes': -4.5979867, ' No': -5.2924504, '\n': -5.3122296}
{' Yes': -0.5988674, '\n': -1.6656513, ' No': -1.8581237, 'Yes': -3.2000787, ' ': -3.5969841}
{' Yes': -0.8405866, ' No': -1.3110877, '\n': -1.6772851, 'No': -3.2317798, 'Yes': -3.3961532}
{' Yes': -0.03702245, ' No': -3.9310994, 'Yes': -4.758261, ' yes': -5.473071, ' ': -6.0709577}
{' Yes': -0.030888062, ' No': -4.1219563, 'Yes': -4.6957283, ' yes': -5.8043556, ' ': -6.9639874}
{' No': -0.36224556, 'No': -1.517252, '\n': -2.7171097, ' ': -4.509123, ' Yes': -6.0113654}
{' No': -0.29630065, 'No': -1.6949861, '\n': -3.0156562, ' ': -4.331825, ' Yes': -5.3108354}
{' Yes': -0.16310862, ' yes': -2.1742437, 'Yes': -4.270288, '\n': -4.8376765, ' No': -5.10189}
{' Yes': -0.24149215, ' yes': -1.7209004, 'Yes': -3.99962, '\n': -4.9516077, 'yes': -5.3017397}
{' Yes': -0.014015109, '\n': -5.48641, ' No': -5.518181, 'Yes': -5.8669734, ' ': -6.3945785}
{' No': -0.36961922, ' Yes': -1.2650584, '\n': -4.196951, 'No': -5.2084517, ' ': -5.3890147}
{' Yes': -0.595147, ' No': -1.0994614, '\n': -2.5254543, ' ': -4.1262426, 'No': -4.7026296}
{' No': -0.27123854, ' Yes': -1.923338, '\n': -2.952452, 'No': -3.6299345, ' ': -4.734455}
{' Yes': -0.675594, ' No': -0.9752287, '\n': -2.7109141, ' ': -4.106544, 'No': -4.544971}
{' No': -0.30347252, ' Yes': -1.8114394, '\n': -2.8780746, 'No': -3.8586957, ' ': -4.3358893}
{' No': -0.6594777, ' Yes': -0.81337225, ' ': -3.9625132, '\n': -4.342011, 'No': -5.754383}
{' No': -0.17498389, ' Yes': -2.1557786, '\n': -3.9206598, ' ': -4.3916965, 'No': -4.480127}
{' No': -0.098464094, 'No': -3.345601, '\n': -3.5546198, ' Yes': -4.1143866, ' ': -4.491782}
{' No': -0.053531926, 'No': -3.3415205, '\n': -4.779455, ' ': -5.1521416, ' Yes': -6.2604976}
{' Yes': -0.06726342, ' No': -3.6281857, '\n': -4.334088, ' ': -4.6854043, 'Yes': -4.8828187}
{' Yes': -0.0876537, ' No': -2.9839146, 'Yes': -4.6115127, '\n': -4.8431582, ' ': -4.89585}
{' No': -0.012887524, 'No': -4.372619, ' ': -9.030396, '\n': -10.485386, ' A': -11.648463}
{' No': -0.010876966, 'No': -4.564063, ' ': -8.588098, '\n': -8.741538, ' Generally': -11.398105}
{' No': -0.043436456, 'No': -3.1704698, ' ': -7.852951, '\n': -9.613716, ' no': -11.167911}
{' No': -0.04779226, 'No': -3.0811536, ' ': -7.523508, '\n': -8.838767, ' Rats': -10.841144}
{' No': -0.05949691, 'No': -2.8831034, '\n': -7.062918, ' ': -7.121089, '\xa0': -10.777265}
{' No': -0.07278875, 'No': -2.7198453, '\n': -6.08557, ' ': -6.4145875, ' Rats': -8.352171}
{' No': -0.015650352, 'No': -4.1747804, ' ': -9.403841, ' A': -10.311288, ' Generally': -11.989728}
{' No': -0.028099628, 'No': -3.5946372, ' ': -8.703011, '\n': -10.586617, ' Rats': -10.81185}
{' No': -0.13334341, 'No': -2.1101575, ' ': -6.336162, '\n': -6.629257, ' A': -9.367058}
{' No': -0.12698014, 'No': -2.197878, '\n': -5.5854454, ' ': -5.8129635, ' Rats': -7.242297}
{' No': -0.0537589, 'No': -2.9789925, ' ': -7.4254713, ' Absolutely': -8.591482, ' A': -8.633892}
{' No': -0.08695859, 'No': -2.5144126, ' ': -6.671773, '\n': -8.131394, ' Rats': -8.1728325}
{' No': -0.0072068786, 'No': -5.295769, ' ': -6.6615415, '\n': -7.2386484, ' A': -9.427059}
{' No': -0.008279972, 'No': -5.154505, ' ': -6.695213, '\n': -6.7803974, ' no': -10.133035}
{' No': -0.04895702, 'No': -3.1773312, '\n': -5.7509108, ' ': -6.0450087, ' A': -8.243325}
{' No': -0.037194293, 'No': -3.408, ' ': -6.2471814, '\n': -6.7014165, ' Rats': -9.390377}
{' No': -0.12448834, 'No': -2.7316144, '\n': -3.1199794, ' ': -5.063558, ' A': -7.181425}
{' No': -0.19671474, '\n': -2.3432353, 'No': -2.6241038, ' ': -4.717524, ' Rats': -7.6275215}
{' No': -0.009630611, 'No': -4.780016, ' ': -6.906503, '\n': -9.124695, ' no': -10.363027}
{' No': -0.008050896, 'No': -4.886043, ' ': -7.9052925, '\n': -9.665377, ' no': -11.075435}
{' No': -0.18483585, 'No': -1.9200423, '\n': -4.3928714, ' ': -4.8605003, ' A': -7.182923}
{' No': -0.17592704, 'No': -1.9814289, '\n': -4.282967, ' ': -4.8540764, ' Rats': -7.405377}
{' No': -0.03297663, 'No': -3.647444, ' ': -5.7246385, '\n': -6.8609004, ' no': -6.882445}
{' No': -0.056739934, 'No': -3.02112, ' ': -5.7118697, '\n': -6.672866, ' no': -6.847422}
{' No': -0.106947266, 'No': -2.3369546, ' no': -6.2495337, ' ': -6.516804, '\n': -7.60753}
{' No': -0.1260624, 'No': -2.2027643, ' no': -5.9386535, '\n': -6.1502514, ' ': -6.1894207}
{' No': -0.10268129, 'No': -2.3401594, ' ': -7.2747784, ' no': -8.021176, ' NO': -9.614472}
{' No': -0.12747036, 'No': -2.1286929, ' ': -7.680126, '\n': -9.505361, ' no': -10.211913}
{' No': -0.16092573, 'No': -1.9185112, ' ': -6.7667203, '\n': -7.872207, ' no': -9.610863}
{' No': -0.17069748, 'No': -1.8669941, ' ': -6.803265, '\n': -7.3861012, ' Rats': -9.337236}
{' No': -0.022904554, 'No': -3.8081062, ' ': -8.121421, ' no': -9.607672, ' NO': -10.759021}
{' No': -0.036714777, 'No': -3.3406906, ' ': -7.7843785, ' no': -9.43249, '\n': -10.462054}
{' No': -0.55598825, 'No': -0.85874933, ' ': -6.722511, '\n': -7.1647086, ' Rats': -8.304359}
{' No': -0.50367707, 'No': -0.9408394, ' Rats': -6.3229003, '\n': -6.563019, ' ': -6.57935}
{' No': -0.11075876, 'No': -2.2816381, '\n': -6.8385625, ' ': -7.02538, ' no': -7.8187046}
{' No': -0.15109646, 'No': -1.9793798, ' Rats': -7.1132946, ' ': -7.6408024, '\n': -8.482571}
{' No': -0.02584805, 'No': -4.3750854, ' ': -5.171986, ' no': -5.1785684, '\n': -6.7306504}
{' No': -0.02343893, 'No': -4.5536547, ' no': -5.134794, ' ': -5.2991576, '\n': -6.6062417}
{' No': -0.08893767, 'No': -2.5945013, '\n': -5.478501, ' ': -5.5255594, ' no': -6.4545703}
{' No': -0.076942585, 'No': -2.7758236, '\n': -5.058901, ' ': -5.503366, ' no': -6.905745}
{' No': -0.1692995, 'No': -2.1624331, '\n': -3.4648163, ' ': -5.032477, ' no': -6.4092674}
{' No': -0.21957454, 'No': -2.0203595, '\n': -2.92709, ' ': -4.8729835, ' no': -6.1832185}
{' No': -0.023353932, 'No': -3.9019547, ' ': -6.292052, ' no': -7.616795, '\n': -7.7997212}
{' No': -0.024735164, 'No': -3.824177, ' ': -6.809992, '\n': -7.2748837, ' no': -7.2910614}
{' No': -0.36706284, 'No': -1.4485201, '\n': -2.8842802, ' ': -4.6835785, ' no': -5.4065237}
{' No': -0.26294118, 'No': -1.6064126, '\n': -4.1587143, ' ': -4.915581, ' no': -5.2379966}
{' No': -0.08346131, ' no': -3.3510354, 'No': -3.4559262, '\n': -5.1413245, ' ': -5.222192}
{' No': -0.13344748, 'No': -2.851343, ' no': -2.983568, '\n': -4.8956866, ' ': -5.1535707}
{' No': -0.0153182, 'No': -4.699898, '\n': -5.5014114, ' ': -6.4018116, ' no': -8.958725}
