{' No': -9.308281, ' ': -12.225896, ' Yes': -0.0017987726, ' yes': -10.136244, 'Yes': -6.40177}
{' YES': -11.69945, ' Yes': -0.0067363116, ' yes': -9.167748, 'Yes': -5.022428, 'yes': -11.696944}
{' ': -10.9009695, ' Yes': -0.024322117, ' yes': -8.7254095, 'Yes': -3.7381718, 'yes': -10.277451}
{' ': -10.715623, ' Yes': -0.020033466, ' yes': -7.97098, 'Yes': -3.9423606, 'yes': -10.110585}
{' YES': -11.174148, ' ': -10.275537, ' Yes': -0.002101917, ' yes': -8.199717, 'Yes': -6.341127}
{' ': -9.723058, ' Yes': -0.011029188, ' yes': -7.939911, 'Yes': -4.5568495, 'yes': -10.401615}
{'\n': -10.795722, ' ': -9.709836, ' Yes': -0.0073636416, ' yes': -9.082284, 'Yes': -4.944841}
{' ': -9.827056, ' Yes': -0.004165043, ' yes': -8.105987, 'Yes': -5.584527, 'yes': -10.836022}
{'\n': -9.469957, ' ': -8.907676, ' Yes': -0.009085697, ' yes': -8.867697, 'Yes': -4.749135}
{'\n': -8.495889, ' ': -8.220614, ' Yes': -0.0140121505, ' yes': -6.3452916, 'Yes': -4.4604573}
{'\n': -10.736555, ' ': -10.401097, ' Yes': -0.001136186, ' yes': -10.065938, 'Yes': -6.8862066}
{'\n': -10.764206, ' ': -10.045948, ' Yes': -0.005209199, ' yes': -9.738071, 'Yes': -5.288191}
{'\n': -9.437768, ' ': -9.73902, ' Yes': -0.0048497096, ' yes': -10.040658, 'Yes': -5.3724375}
{' YES': -11.299128, ' ': -10.213875, ' Yes': -0.0012758881, ' yes': -10.169106, 'Yes': -6.746582}
{'\n': -8.636531, ' ': -8.990533, ' Yes': -0.0076995306, ' yes': -9.965148, 'Yes': -4.918937}
{'\n': -9.917461, ' ': -9.674036, ' Yes': -0.002139725, ' yes': -10.128112, 'Yes': -6.22598}
{' No': -9.731705, ' ': -11.434611, ' Yes': -0.00200235, ' yes': -10.2392845, 'Yes': -6.27128}
{' No': -9.407, ' ': -10.610903, ' Yes': -0.010185217, ' yes': -8.913379, 'Yes': -4.618112}
{' No': -8.472652, ' ': -10.265357, ' Yes': -0.016286952, ' yes': -9.257329, 'Yes': -4.1485496}
{' No': -11.434226, ' ': -11.656846, ' Yes': -0.0033420338, ' yes': -10.396961, 'Yes': -5.719457}
{' No': -8.073495, ' ': -9.467002, ' Yes': -0.013187588, ' yes': -9.207822, 'Yes': -4.376419}
{' No': -9.909135, ' ': -10.094787, ' Yes': -0.006018875, ' yes': -8.800286, 'Yes': -5.1598463}
{' YES': -12.238845, ' ': -10.735558, ' Yes': -0.0007044901, ' yes': -9.322269, 'Yes': -7.447129}
{' No': -10.361774, ' ': -9.741883, ' Yes': -0.0055005583, ' yes': -9.137693, 'Yes': -5.245918}
{' No': -9.497231, ' ': -9.04137, ' Yes': -0.0058243703, ' yes': -8.965463, 'Yes': -5.2151175}
{' No': -11.344045, ' ': -10.378004, ' Yes': -0.0012244435, ' yes': -9.700453, 'Yes': -6.8022227}
{' No': -10.080146, ' ': -8.271449, ' Yes': -0.005955555, ' yes': -9.185577, 'Yes': -5.2042394}
{'\n': -9.82365, ' ': -8.516257, ' Yes': -0.005879947, ' yes': -7.634834, 'Yes': -5.2844176}
{' No': -8.176612, ' ': -10.323758, ' Yes': -0.008555268, ' yes': -7.966309, 'Yes': -4.8513417}
{' No': -12.525823, ' Yes': -0.014375919, ' yes': -9.253054, 'Yes': -4.2573547, 'yes': -11.632196}
{' ': -10.614745, ' Yes': -0.019765265, ' yes': -8.57463, 'Yes': -3.946557, 'yes': -10.805215}
{' No': -10.935916, ' ': -11.280141, ' Yes': -0.0047012996, ' yes': -8.997468, 'Yes': -5.39788}
{' ': -10.268375, ' Yes': -0.019281212, ' yes': -8.388482, 'Yes': -3.9747427, 'yes': -10.369408}
{' ': -10.223875, ' Yes': -0.015669728, ' yes': -7.4030037, 'Yes': -4.2103963, 'yes': -10.174714}
{' YES': -12.093705, ' ': -9.807524, ' Yes': -0.001457516, ' yes': -7.8855267, 'Yes': -6.8991704}
{' No': -9.463178, ' ': -8.89713, ' Yes': -0.008405047, ' yes': -7.782705, 'Yes': -4.8663034}
{'\n': -10.748037, ' ': -8.660484, ' Yes': -0.0077404347, ' yes': -8.144226, 'Yes': -4.935023}
{' No': -9.25329, ' ': -8.808447, ' Yes': -0.0028799695, ' yes': -8.147395, 'Yes': -6.068816}
{' No': -10.069885, ' ': -8.061177, ' Yes': -0.006923729, ' yes': -8.260535, 'Yes': -5.07971}
{'\n': -8.95744, ' ': -7.640189, ' Yes': -0.0098540895, ' yes': -5.922068, 'Yes': -5.0556245}
{'\n': -11.209199, ' ': -9.8557205, ' Yes': -0.0007225029, ' yes': -9.825824, 'Yes': -7.447962}
{' No': -9.265707, ' ': -8.939802, ' Yes': -0.00348695, ' yes': -9.5262375, 'Yes': -5.756931}
{' No': -9.24023, '\n': -8.637082, ' ': -8.33641, ' Yes': -0.0056296624, 'Yes': -5.2969117}
{' No': -8.700971, ' ': -9.056523, ' Yes': -0.0010942968, ' yes': -9.96794, 'Yes': -7.196952}
{' No': -9.599181, '\n': -9.221885, ' ': -7.9306097, ' Yes': -0.0059120846, 'Yes': -5.2405863}
{'\n': -10.418883, ' ': -9.300096, ' Yes': -0.001336586, ' yes': -9.425918, 'Yes': -6.7922926}
{' No': -0.0056739603, '\n': -13.715604, ' ': -10.486747, 'No': -5.1803393, ' NO': -13.475132}
{' No': -0.025034094, ' ': -10.070596, 'No': -3.7021997, ' no': -12.847986, ' NO': -12.111772}
{' No': -0.040562782, '\n': -12.74921, ' ': -9.594489, 'No': -3.227168, ' NO': -12.2977}
{' No': -0.008719761, ' ': -10.774238, 'No': -4.749326, ' no': -13.952362, ' NO': -13.471858}
{' No': -0.030984398, '\n': -11.147762, ' ': -9.004281, 'No': -3.4948688, ' NO': -12.198722}
{' No': -0.022260152, ' ': -8.954972, 'No': -3.8234305, ' no': -11.71524, ' NO': -12.103509}
{' No': -0.0013456561, '\n': -11.575751, ' ': -9.8424635, 'No': -6.6629205, ' NO': -13.158849}
{' No': -0.008705569, '\n': -11.220918, ' ': -9.185698, 'No': -4.7625356, ' NO': -12.8607645}
{' No': -0.009766691, '\xa0': -12.1542635, '\n': -9.245054, ' ': -8.650611, 'No': -4.663588}
{' No': -0.0022269397, '\n': -12.2873955, ' ': -10.000866, 'No': -6.132703, ' NO': -13.336214}
{' No': -0.007321313, '\xa0': -12.427578, '\n': -9.522525, ' ': -8.308685, 'No': -4.967149}
{' No': -0.00919331, '\n': -9.064608, ' ': -8.216442, 'No': -4.739597, ' no': -11.424493}
{' No': -0.01897288, ' ': -9.570112, 'No': -3.979954, ' no': -10.940365, ' NO': -11.686076}
{' No': -0.027467182, ' ': -10.990176, 'No': -3.609403, 'no': -13.077207, ' no': -12.6998}
{' No': -0.061099403, '\n': -10.998687, ' ': -9.198222, 'No': -2.8281777, ' no': -11.722901}
{' No': -0.007395708, ' ': -10.324343, 'No': -4.916854, ' no': -11.970176, ' NO': -12.734472}
{' No': -0.054219726, '\n': -10.824285, ' ': -8.970386, 'No': -2.9452088, ' no': -11.475295}
{' No': -0.07550132, '\n': -9.592222, ' ': -8.609011, 'No': -2.6264408, ' Yes': -10.1758375}
{' No': -0.0016692643, '\n': -10.797474, ' ': -8.583977, 'No': -6.538918, ' no': -11.616847}
{' No': -0.015244848, '\n': -11.017319, ' ': -8.235843, 'No': -4.2115893, ' no': -11.209138}
{' No': -0.012512165, '\n': -8.834734, ' ': -8.144123, 'No': -4.424385, ' no': -12.164717}
{' No': -0.004338518, '\n': -11.275954, ' ': -8.613481, 'No': -5.49199, ' no': -11.683801}
{' No': -0.010765619, '\n': -9.166028, ' ': -7.8096886, 'No': -4.5881085, ' no': -11.318127}
{' No': -0.012652683, '\n': -8.377097, ' ': -7.398806, 'No': -4.454004, ' no': -9.463463}
{' No': -0.0010770509, '\n': -10.549994, ' ': -9.090198, 'No': -6.97753, ' NO': -12.911827}
{' No': -0.0063050697, '\n': -10.969991, ' ': -8.501063, 'No': -5.106582, ' NO': -12.397753}
{' No': -0.008597831, '\n': -7.5797877, ' ': -8.028382, 'No': -4.864984, ' NO': -12.366032}
{' No': -0.0016662783, '\n': -11.018313, ' ': -8.827985, 'No': -6.5058126, ' NO': -12.52223}
{' No': -0.0078594815, '\n': -8.57479, ' ': -7.703061, 'No': -4.936795, ' NO': -12.697648}
{' No': -0.0024177015, '\n': -10.140884, ' ': -8.586257, 'No': -6.1271105, ' no': -12.879065}
{' No': -0.0072074183, ' ': -11.202707, 'No': -4.9965796, ' Yes': -7.818595, 'Yes': -13.141628}
{' No': -0.03985144, ' ': -10.433326, 'No': -3.2588494, ' Yes': -7.4467673, 'Yes': -11.297837}
{' No': -0.051217556, ' ': -9.958564, 'No': -3.0063183, ' Yes': -7.861508, 'Yes': -11.385708}
{' No': -0.010040413, ' ': -11.6026, 'No': -4.6577454, ' Yes': -7.6261654, 'Yes': -12.583771}
{' No': -0.04900472, ' ': -9.143989, 'No': -3.3255816, ' Yes': -4.462144, 'Yes': -8.544253}
{' No': -0.11192189, ' ': -8.395142, 'No': -3.8119397, ' Yes': -2.4909332, 'Yes': -7.3003654}
{' No': -0.020102303, ' ': -10.132748, 'No': -6.700768, ' Yes': -3.98474, 'Yes': -10.615665}
{' No': -0.013624164, ' ': -9.93956, 'No': -4.693317, ' Yes': -5.4523044, 'Yes': -10.344372}
{' No': -0.022767412, ' ': -8.911891, 'No': -4.5275493, ' Yes': -4.471729, 'Yes': -9.347505}
{' No': -0.0028698698, ' ': -10.40228, 'No': -6.2500467, ' Yes': -7.0148873, 'Yes': -13.012638}
{' No': -0.02851633, ' ': -7.9879365, 'No': -4.8279624, ' Yes': -3.936187, 'Yes': -8.944545}
{' No': -0.15709308, ' ': -7.7495875, 'No': -4.6886864, ' Yes': -2.0049133, 'Yes': -7.0643764}
{' No': -0.028639728, ' ': -10.032473, 'No': -3.6639524, ' Yes': -5.989487, 'Yes': -10.367322}
{' No': -0.052190088, ' ': -11.233061, 'No': -3.419171, ' Yes': -4.028714, 'Yes': -8.128793}
{' No': -0.22622116, ' ': -9.113781, 'No': -3.3046608, ' Yes': -1.8174937, 'Yes': -5.7702823}
{' No': -0.021720616, ' ': -10.502505, 'No': -4.6713367, ' Yes': -4.4215813, 'Yes': -9.5251045}
{' No': -0.9398535, 'No': -3.7813888, ' Yes': -0.55574024, ' yes': -8.540768, 'Yes': -4.389833}
{' No': -3.7311156, 'No': -6.302567, ' Yes': -0.042717468, ' yes': -7.261081, 'Yes': -4.1901364}
{' No': -0.0052089617, ' ': -9.070328, 'No': -6.680576, ' Yes': -5.571707, ' no': -12.036101}
{' No': -0.01548387, ' ': -9.054065, 'No': -4.2834377, ' Yes': -6.557338, 'Yes': -11.042536}
{' No': -0.041213766, ' ': -8.072377, 'No': -4.4867516, ' Yes': -3.5579486, 'Yes': -8.3212185}
{' No': -0.0041802465, '\n': -12.508734, ' ': -9.138869, 'No': -5.7456884, ' Yes': -7.066176}
{' No': -0.010280604, '\n': -9.108557, ' ': -8.0163145, 'No': -4.8024726, ' Yes': -6.466493}
{' No': -0.031101337, '\n': -8.246462, ' ': -6.949518, 'No': -4.4464493, ' Yes': -4.0498195}
{' No': -0.007546676, '\n': -10.915416, ' ': -9.678212, 'No': -7.2729216, ' Yes': -5.0005045}
{' No': -0.005776049, '\n': -11.793569, ' ': -9.650297, 'No': -5.434189, ' Yes': -6.635608}
{' No': -0.012237707, '\n': -8.552696, ' ': -8.508991, 'No': -5.133423, ' Yes': -5.143423}
{' No': -0.0017516599, '\n': -11.999465, ' ': -9.543072, 'No': -6.8809032, ' Yes': -7.3529873}
{' No': -0.039908137, '\n': -8.182705, ' ': -7.5521517, 'No': -5.0649495, ' Yes': -3.4476705}
{' No': -0.03602829, '\n': -9.566431, ' ': -8.224556, 'No': -6.425112, ' Yes': -3.3999465}
{' YES': -11.90535, ' ': -12.111312, ' Yes': -0.0028389646, ' yes': -9.953709, 'Yes': -5.888146}
{' YES': -11.247636, ' ': -11.39763, ' Yes': -0.0131267095, ' yes': -9.016186, 'Yes': -4.3518333}
{' YES': -11.324163, ' ': -11.639613, ' Yes': -0.017444214, ' yes': -9.350892, 'Yes': -4.0642695}
{' YES': -12.183942, ' ': -12.442142, ' Yes': -0.004741603, ' yes': -10.26396, 'Yes': -5.363691}
{' ': -10.820009, ' Yes': -0.015800107, ' yes': -9.3494835, 'Yes': -4.164354, 'yes': -11.216531}
{' YES': -11.584804, ' ': -10.747843, ' Yes': -0.008179132, ' yes': -9.041958, 'Yes': -4.829897}
{' YES': -11.726338, ' ': -11.601402, ' Yes': -0.00093875016, ' yes': -9.575455, 'Yes': -7.0732594}
{' YES': -11.448948, ' ': -10.6761465, ' Yes': -0.006137555, ' yes': -9.318519, 'Yes': -5.1190543}
{'\n': -10.218209, ' ': -10.073771, ' Yes': -0.006213541, ' yes': -9.199101, 'Yes': -5.1168203}
{' YES': -12.209651, ' ': -11.649638, ' Yes': -0.0013291856, ' yes': -9.9581995, 'Yes': -6.6736917}
{'\n': -9.933563, ' ': -9.301384, ' Yes': -0.006527265, ' yes': -9.4354, 'Yes': -5.0723667}
{'\n': -9.445672, ' ': -9.278008, ' Yes': -0.0070490562, ' yes': -8.140513, 'Yes': -5.0326223}
{' YES': -11.365356, ' Yes': -0.009599799, ' yes': -8.115938, 'Yes': -4.687607, 'yes': -10.696688}
{' YES': -12.938431, ' Yes': -0.015233834, ' yes': -9.586377, 'Yes': -4.1973357, 'yes': -11.517278}
{' ': -10.944325, ' Yes': -0.02918939, ' yes': -8.362636, 'Yes': -3.559148, 'yes': -10.325991}
{' ': -11.872072, ' Yes': -0.007282466, ' yes': -8.817305, 'Yes': -4.950281, 'yes': -11.297039}
{' ': -10.960254, ' Yes': -0.026492452, ' yes': -8.707511, 'Yes': -3.6530259, 'yes': -10.224635}
{' ': -10.528196, ' Yes': -0.021803403, ' yes': -7.613231, 'Yes': -3.8650708, 'yes': -9.811644}
{' YES': -11.5798435, ' ': -10.368037, ' Yes': -0.0017549442, ' yes': -8.195492, 'Yes': -6.555429}
{' ': -9.954858, ' Yes': -0.009406942, ' yes': -7.9254107, 'Yes': -4.720821, 'yes': -10.578595}
{'\n': -10.569638, ' ': -9.76444, ' Yes': -0.0064042234, ' yes': -8.960027, 'Yes': -5.0906534}
{' ': -10.263246, ' Yes': -0.0028300567, ' yes': -8.4756975, 'Yes': -5.968047, 'yes': -11.44103}
{'\n': -10.118491, ' ': -9.306499, ' Yes': -0.007277482, ' yes': -8.959435, 'Yes': -4.9664354}
{'\n': -8.547593, ' ': -8.410098, ' Yes': -0.011382228, ' yes': -6.235896, 'Yes': -4.7273893}
{'\n': -11.022217, ' ': -10.797159, ' Yes': -0.000803209, ' yes': -10.182346, 'Yes': -7.241465}
{'\n': -10.895534, ' ': -9.985232, ' Yes': -0.0042013763, ' yes': -9.542861, 'Yes': -5.5122275}
{'\n': -8.78366, ' ': -9.629712, ' Yes': -0.0051666615, ' yes': -9.662601, 'Yes': -5.3272867}
{' YES': -11.726903, ' ': -10.574727, ' Yes': -0.0011800453, ' yes': -10.085069, 'Yes': -6.816255}
{'\n': -9.522199, ' ': -9.366984, ' Yes': -0.0074342587, ' yes': -9.929418, 'Yes': -4.9356184}
{'\n': -10.020749, ' ': -9.969596, ' Yes': -0.0016815633, ' yes': -10.003321, 'Yes': -6.477605}
{' No': -11.643933, ' ': -11.267987, ' Yes': -0.0024681306, ' yes': -10.121075, 'Yes': -6.0332923}
{' No': -10.612957, ' ': -10.553301, ' Yes': -0.011850646, ' yes': -9.077127, 'Yes': -4.45715}
{' No': -10.8885975, ' ': -10.250863, ' Yes': -0.020566734, ' yes': -9.235978, 'Yes': -3.9029858}
{' No': -12.778314, ' ': -11.477834, ' Yes': -0.0037179769, ' yes': -10.433548, 'Yes': -5.6093125}
{' No': -9.663254, ' ': -9.587475, ' Yes': -0.014061051, ' yes': -9.284424, 'Yes': -4.2897162}
{' No': -10.802448, ' ': -10.184513, ' Yes': -0.006617201, ' yes': -8.882353, 'Yes': -5.0540395}
{' YES': -12.210177, ' ': -10.680117, ' Yes': -0.0007656874, ' yes': -9.336783, 'Yes': -7.3466325}
{' No': -11.397917, ' ': -9.890408, ' Yes': -0.005531602, ' yes': -9.240667, 'Yes': -5.232666}
{'\n': -10.256792, ' ': -9.10585, ' Yes': -0.0065467046, ' yes': -9.081684, 'Yes': -5.080132}
{' YES': -12.418256, ' ': -10.554607, ' Yes': -0.0012860941, ' yes': -9.832115, 'Yes': -6.730522}
{'\n': -10.570547, ' ': -8.560848, ' Yes': -0.0064320574, ' yes': -9.261337, 'Yes': -5.103621}
{'\n': -9.798787, ' ': -8.681985, ' Yes': -0.005780427, ' yes': -7.7295136, 'Yes': -5.2875338}
{' No': -9.803032, ' ': -10.427761, ' Yes': -0.008945681, ' yes': -8.063116, 'Yes': -4.7707844}
{' ': -12.459359, ' Yes': -0.014127488, ' yes': -9.271152, 'Yes': -4.2745833, 'yes': -11.639846}
{' ': -10.427357, ' Yes': -0.018232409, ' yes': -8.527845, 'Yes': -4.028408, 'yes': -10.766922}
{' No': -10.880089, ' ': -11.27145, ' Yes': -0.0046021934, ' yes': -8.889056, 'Yes': -5.423841}
{' ': -10.19394, ' Yes': -0.022748873, ' yes': -8.394649, 'Yes': -3.8087175, 'yes': -10.246424}
{' ': -9.973843, ' Yes': -0.016744941, ' yes': -7.326208, 'Yes': -4.1457787, 'yes': -9.99636}
{' ': -9.601134, ' Yes': -0.0017850974, ' yes': -7.563604, 'Yes': -6.746553, 'yes': -11.793084}
{' ': -9.071096, ' Yes': -0.009062181, ' yes': -7.7510495, 'Yes': -4.776884, 'yes': -10.592806}
{'\n': -11.040078, ' ': -8.923366, ' Yes': -0.0081611015, ' yes': -8.500338, 'Yes': -4.859824}
{' No': -10.816502, ' ': -9.049009, ' Yes': -0.002936159, ' yes': -8.166553, 'Yes': -5.9980946}
{'\n': -10.130594, ' ': -8.195449, ' Yes': -0.0078163035, ' yes': -8.295985, 'Yes': -4.9363837}
{'\n': -8.902688, ' ': -7.7757163, ' Yes': -0.01122278, ' yes': -5.76237, 'Yes': -4.9149895}
{'\n': -11.233669, ' ': -10.076671, ' Yes': -0.00078143517, ' yes': -9.839868, 'Yes': -7.3173513}
{' No': -10.60543, ' ': -9.415645, ' Yes': -0.003556456, ' yes': -9.606872, 'Yes': -5.6964426}
{'\n': -8.893933, ' ': -8.701172, ' Yes': -0.0049342825, ' yes': -9.553829, 'Yes': -5.4020934}
{' No': -10.554711, ' ': -9.414939, ' Yes': -0.00090742746, ' yes': -9.9770975, 'Yes': -7.2092843}
{'\n': -9.290823, ' ': -8.259975, ' Yes': -0.0062038237, ' yes': -9.691272, 'Yes': -5.158664}
{'\n': -10.226029, ' ': -9.250573, ' Yes': -0.0016057402, ' yes': -9.409281, 'Yes': -6.5853305}
{' No': -0.006258763, '\n': -13.662662, ' ': -10.176245, 'No': -5.083834, ' NO': -13.13629}
{' No': -0.029033644, ' ': -9.864092, 'No': -3.5559862, ' no': -13.020135, ' NO': -12.194181}
{' No': -0.04499818, '\n': -12.541518, ' ': -9.025436, 'No': -3.1266747, ' NO': -12.039175}
{' No': -0.008955481, ' ': -10.581671, 'No': -4.7232156, ' no': -13.988817, ' NO': -13.3890705}
{' No': -0.027244264, '\n': -10.866382, ' ': -8.644208, 'No': -3.6247017, ' NO': -11.946364}
{' No': -0.023513129, ' ': -8.792699, 'No': -3.7695992, ' no': -12.083152, ' NO': -12.067444}
{' No': -0.0013825451, '\n': -11.580258, ' ': -9.750091, 'No': -6.638229, ' NO': -13.137189}
{' No': -0.009276328, '\n': -11.447952, ' ': -9.124528, 'No': -4.6988916, ' NO': -12.725866}
{' No': -0.010254948, '\xa0': -11.928733, '\n': -9.177451, ' ': -8.380788, 'No': -4.619973}
{' No': -0.0021126084, '\n': -12.459457, ' ': -9.74528, 'No': -6.1928525, ' NO': -13.299782}
{' No': -0.007778219, '\xa0': -12.30036, '\n': -9.3836155, ' ': -8.129409, 'No': -4.912369}
{' No': -0.00897948, '\n': -9.287962, ' ': -8.247685, 'No': -4.7604766, ' no': -11.525128}
{' No': -0.014152878, ' ': -9.670555, 'No': -4.271244, ' no': -11.35924, ' NO': -12.068477}
{' No': -0.03247926, ' ': -10.717905, 'No': -3.444371, 'no': -12.672127, ' no': -12.513961}
{' No': -0.0509534, '\n': -10.979053, ' ': -8.896075, 'No': -3.0059037, ' no': -11.754578}
{' No': -0.0072529865, ' ': -10.128081, 'No': -4.9374685, ' no': -11.91264, ' NO': -12.65835}
{' No': -0.051427748, '\n': -10.754449, ' ': -8.652524, 'No': -2.997879, ' no': -11.401979}
{' No': -0.067317165, '\n': -9.653611, ' ': -8.218742, 'No': -2.738883, ' no': -10.050572}
{' No': -0.0018260019, '\n': -10.56533, ' ': -8.39744, 'No': -6.464743, ' no': -11.560261}
{' No': -0.0171798, '\n': -11.1167145, ' ': -8.11289, 'No': -4.0927486, ' no': -11.234799}
{' No': -0.013768581, '\n': -9.005784, ' ': -7.96313, 'No': -4.3285975, ' no': -12.301112}
{' No': -0.0042143064, '\n': -11.315952, ' ': -8.409325, 'No': -5.5329537, ' no': -11.682722}
{' No': -0.010902576, '\n': -8.860905, ' ': -7.5643697, 'No': -4.590021, ' no': -11.1958475}
{' No': -0.013286642, '\n': -8.116026, ' ': -7.139108, 'No': -4.4238353, ' no': -9.302284}
{' No': -0.0011861325, '\n': -10.320142, ' ': -8.942268, 'No': -6.8916664, ' NO': -12.739767}
{' No': -0.006433256, '\n': -11.090142, ' ': -8.793743, 'No': -5.076956, ' NO': -12.469169}
{' No': -0.008370125, '\n': -7.7730775, ' ': -7.9657745, 'No': -4.885752, ' NO': -12.264898}
{' No': -0.0015729043, '\n': -11.094624, ' ': -8.81932, 'No': -6.569962, ' NO': -12.648121}
{' No': -0.009139891, '\n': -8.46607, ' ': -7.6183352, 'No': -4.7815757, ' NO': -12.292535}
{' No': -0.002527946, '\n': -9.7116165, ' ': -8.523864, 'No': -6.092528, ' no': -13.037744}
{' No': -0.030910684, ' ': -9.7712555, 'No': -5.162167, ' Yes': -3.70726, 'Yes': -9.217026}
{' No': -0.06301536, ' ': -9.149706, 'No': -3.3430657, ' Yes': -3.6861844, 'Yes': -7.51322}
{' No': -0.27539337, ' ': -8.434568, 'No': -3.2793567, ' Yes': -1.621869, 'Yes': -5.2440896}
{' No': -0.065617226, ' ': -9.898342, 'No': -4.49548, ' Yes': -2.9584126, 'Yes': -7.845406}
{' No': -0.57532334, ' ': -8.114277, 'No': -3.6785946, ' Yes': -0.9062788, 'Yes': -4.8563137}
{' No': -1.9598708, ' ': -8.475686, 'No': -5.649951, ' Yes': -0.16481346, 'Yes': -4.9361014}
{' No': -4.5186944, ' ': -10.227772, ' Yes': -0.012064669, ' yes': -9.153954, 'Yes': -6.9940724}
{' No': -1.5822847, ' ': -8.507363, 'No': -5.850322, ' Yes': -0.2420632, 'Yes': -5.0706344}
{' No': -4.0429153, ' ': -8.390606, 'No': -8.338585, ' Yes': -0.025932709, 'Yes': -4.9100666}
{' No': -0.53654855, ' ': -8.491326, 'No': -6.66686, ' Yes': -0.88459957, 'Yes': -7.097582}
{' No': -3.4092038, ' ': -7.444066, 'No': -7.7256975, ' Yes': -0.043235406, 'Yes': -4.8332515}
{' No': -4.79449, ' ': -8.327213, ' Yes': -0.015912076, ' yes': -7.8777833, 'Yes': -5.013121}
{' No': -0.06193364, ' ': -8.789543, 'No': -3.8644867, ' Yes': -3.2593365, 'Yes': -7.6762652}
{' No': -3.3620307, 'No': -6.8020024, ' Yes': -0.05171676, ' yes': -9.406482, 'Yes': -4.23243}
{' No': -2.0819778, 'No': -5.168804, ' Yes': -0.16188422, ' yes': -8.526985, 'Yes': -3.9788818}
{' No': -2.8630989, 'No': -7.428384, ' Yes': -0.06525902, ' yes': -8.727416, 'Yes': -5.2472253}
{' No': -3.5386727, 'No': -6.3564005, ' Yes': -0.05464859, ' yes': -8.397926, 'Yes': -3.8172505}
{' No': -5.6248937, 'No': -8.214347, ' Yes': -0.022759484, ' yes': -7.292579, 'Yes': -4.028973}
{' No': -0.70741904, ' ': -7.428932, 'No': -7.1669693, ' Yes': -0.68386894, 'Yes': -7.203617}
{' No': -0.42707413, ' ': -7.4210563, 'No': -4.32608, ' Yes': -1.1098305, 'Yes': -5.537021}
{' No': -4.0739636, ' ': -7.9167485, 'No': -8.416392, ' Yes': -0.025746033, 'Yes': -4.8833337}
{' No': -0.51416963, ' ': -7.487776, 'No': -6.282394, ' Yes': -0.9206428, 'Yes': -6.753975}
{' No': -2.2759528, ' ': -6.759927, 'No': -6.4329543, ' Yes': -0.12180306, 'Yes': -4.7363467}
{' No': -1.4791926, ' ': -6.3865223, 'No': -6.074287, ' Yes': -0.27283096, 'Yes': -5.364433}
{' No': -4.8215904, ' ': -9.495052, ' Yes': -0.008991268, ' yes': -9.541804, 'Yes': -7.2698855}
{' No': -1.0167698, ' ': -7.8351884, 'No': -6.0963, ' Yes': -0.4575808, 'Yes': -5.925842}
{' No': -4.505166, '\n': -8.505227, ' ': -8.166396, ' Yes': -0.016379284, 'Yes': -5.3949475}
{' No': -1.5190068, ' ': -7.57288, 'No': -8.123478, ' Yes': -0.24955, 'Yes': -6.915802}
{' No': -6.941188, '\n': -8.908395, ' ': -8.169063, ' Yes': -0.008935399, 'Yes': -4.9050684}
{' No': -4.742711, ' ': -8.671697, ' Yes': -0.010510733, ' yes': -9.371057, 'Yes': -6.5681963}
{' YES': -11.627528, ' ': -11.400947, ' Yes': -0.003748968, ' yes': -9.69514, 'Yes': -5.6113997}
{' YES': -10.740049, ' ': -10.68253, ' Yes': -0.016627122, ' yes': -8.745149, 'Yes': -4.1185045}
{' YES': -10.670469, ' ': -10.718406, ' Yes': -0.02323234, ' yes': -9.223721, 'Yes': -3.7807758}
{' YES': -11.9288, ' ': -11.504695, ' Yes': -0.006935314, ' yes': -9.978831, 'Yes': -4.9844227}
{' ': -10.22638, ' Yes': -0.021705212, ' yes': -9.211442, 'Yes': -3.8493705, 'yes': -10.881375}
{' YES': -11.253896, ' ': -10.231454, ' Yes': -0.01214666, ' yes': -8.991752, 'Yes': -4.432236}
{' YES': -11.362993, ' ': -10.783111, ' Yes': -0.0014588282, ' yes': -9.227796, 'Yes': -6.6316733}
{' YES': -11.053098, ' ': -10.190707, ' Yes': -0.008374152, ' yes': -9.129371, 'Yes': -4.808877}
{'\n': -9.678144, ' ': -9.576416, ' Yes': -0.008257256, ' yes': -9.0487175, 'Yes': -4.8350677}
{' YES': -11.773433, ' ': -10.850983, ' Yes': -0.0017776933, ' yes': -9.750877, 'Yes': -6.3867817}
{'\n': -9.856787, ' ': -9.012302, ' Yes': -0.011038891, ' yes': -9.160785, 'Yes': -4.5407743}
{'\n': -9.2597, ' ': -8.959537, ' Yes': -0.010487726, ' yes': -7.8576174, 'Yes': -4.6295958}
{' ': -10.5762615, ' Yes': -0.013188011, ' yes': -7.8334675, 'Yes': -4.372006, 'yes': -10.282618}
{' YES': -12.615998, ' Yes': -0.018377801, ' yes': -9.671013, 'Yes': -4.010136, 'yes': -11.478025}
{' ': -10.446091, ' Yes': -0.033589147, ' yes': -8.344234, 'Yes': -3.4203038, 'yes': -10.230545}
{' ': -11.335624, ' Yes': -0.008420978, ' yes': -8.630568, 'Yes': -4.8072414, 'yes': -11.125039}
{' ': -10.372197, ' Yes': -0.029538704, ' yes': -8.770381, 'Yes': -3.5450683, 'yes': -10.178632}
{' ': -9.894753, ' Yes': -0.027722992, ' yes': -7.434741, 'Yes': -3.6269088, 'yes': -9.577834}
