{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -2.0236988, 'No': -3.7748773, ' Yes': -0.2752647, 'Yes': -2.84547, ' Wh': -3.8465154}
{' No': -4.90763, ' A': -4.766452, ' Yes': -0.028752653, ' yes': -7.0979686, 'Yes': -4.5236692}
{' No': -0.13453975, 'No': -3.173581, ' Yes': -2.5530233, 'Yes': -6.167725, ' Wh': -5.865382}
{' No': -1.5829586, 'No': -1.497494, ' A': -3.3569322, ' Yes': -1.0819362, 'Yes': -2.2236905}
{' No': -1.2455348, 'No': -1.4946535, ' Yes': -1.5910664, 'Yes': -2.9283292, ' Wh': -1.7789936}
{' ': -6.669526, ' A': -6.7241755, ' Yes': -0.05695248, ' yes': -4.843152, 'Yes': -3.1296566}
{' No': -6.2218633, ' Yes': -0.06074566, ' yes': -5.654768, 'Yes': -3.150868, ' Wh': -5.0095563}
{' ': -6.2479706, ' A': -6.10565, ' Yes': -0.06031847, ' yes': -3.1174166, 'Yes': -4.7190347}
{' No': -0.8488103, ' ': -4.700083, 'No': -5.170928, ' Yes': -0.6335164, ' yes': -4.2642555}
{' ': -5.722424, ' A': -3.9838083, ' Yes': -0.07568923, ' yes': -5.087404, 'Yes': -3.235298}
{' No': -1.9385952, '\n': -3.9118176, 'No': -4.003067, ' Yes': -0.27196157, 'Yes': -3.393406}
{'\n': -2.9247508, ' ': -4.5631003, ' A': -3.802234, ' Yes': -0.21482046, 'Yes': -2.3361602}
{' No': -0.92810273, '\n': -1.4693338, 'No': -2.5696967, ' Yes': -1.6636258, ' Wh': -3.1961327}
{' No': -5.033374, ' A': -4.1118803, ' Yes': -0.04068296, ' yes': -6.210124, 'Yes': -4.368964}
{' No': -0.33955753, ' ': -5.7750278, 'No': -3.4629972, ' Yes': -1.4127349, 'Yes': -5.1917453}
{' No': -1.2146533, '\n': -2.05987, 'No': -1.9123709, ' Yes': -1.2150633, 'Yes': -2.582186}
{' No': -0.39469048, '\n': -2.9907787, ' ': -4.264077, 'No': -1.441884, ' Yes': -4.0406895}
{'\n': -5.8423047, ' A': -4.7736654, ' Yes': -0.1140512, ' yes': -2.695781, 'Yes': -3.7409434}
{' No': -4.2367415, '\n': -4.783774, ' Yes': -0.1536518, ' yes': -2.746572, 'Yes': -3.372457}
{' ': -7.6217847, ' A': -6.3974733, ' Yes': -0.0066402424, ' yes': -7.450772, 'Yes': -5.768183}
{' No': -0.03915073, '\n': -5.1505966, ' ': -6.1040616, 'No': -4.89259, ' Yes': -3.7946649}
{'\n': -4.4625955, ' ': -5.2262697, ' A': -4.5481153, ' Yes': -0.052403316, 'Yes': -3.944924}
{' No': -0.25628108, '\n': -2.5954516, ' ': -4.4104595, 'No': -3.2366428, ' Yes': -2.41757}
{'\n': -4.531609, ' ': -5.155701, ' A': -3.2397122, ' Yes': -0.0845021, 'Yes': -3.8243701}
{' No': -0.37476912, '\n': -2.9142625, ' ': -4.1834183, 'No': -3.6458337, ' Yes': -1.6267927}
{' No': -3.3621743, ' ': -4.936414, ' A': -3.2879038, ' Yes': -0.09281859, 'Yes': -5.364368}
{' No': -0.03366096, '\n': -4.967972, ' ': -5.2236633, 'No': -4.163616, ' Yes': -5.4913406}
{' No': -4.0053463, ' ': -5.13664, ' A': -3.7137885, ' Yes': -0.08708942, 'Yes': -3.6208587}
{' No': -0.07858535, '\n': -5.695002, ' ': -5.2551293, 'No': -3.1541886, ' Yes': -3.8566098}
{' ': -5.7688036, ' A': -4.626393, ' Yes': -0.03090767, ' yes': -5.5348063, 'Yes': -4.557807}
{' No': -4.1884894, '\n': -4.9978237, ' ': -5.1046734, ' Yes': -0.052278575, 'Yes': -4.2405715}
{' ': -10.1799555, ' A': -7.7509027, ' Yes': -0.0066613634, ' yes': -9.026595, 'Yes': -5.1153936}
{' No': -5.239344, '\n': -7.5011587, ' Yes': -0.06816547, 'Yes': -4.734278, ' Wh': -3.0103822}
{' ': -8.329587, ' A': -7.76328, ' Yes': -0.016024906, ' yes': -8.9765215, 'Yes': -4.203859}
{' No': -4.7069077, ' Generally': -6.5804043, ' Yes': -0.10286974, 'Yes': -3.7447991, ' Wh': -2.835444}
{'\n': -7.3107634, ' ': -7.304576, ' A': -6.82015, ' Yes': -0.026799744, 'Yes': -3.74497}
{' No': -4.2341433, '\n': -4.427604, ' Yes': -0.18248895, 'Yes': -3.555993, ' Wh': -2.407127}
{' ': -9.813129, ' A': -6.5458097, ' Yes': -0.01205067, ' yes': -8.694048, 'Yes': -4.579187}
{' No': -6.861163, ' ': -7.8013334, ' Yes': -0.07352236, 'Yes': -4.329656, ' Wh': -2.8971534}
{'\n': -6.5400004, ' ': -6.4669566, ' A': -6.0050044, ' Yes': -0.048994582, 'Yes': -3.1916087}
{' No': -1.0829616, 'No': -3.3512301, ' Yes': -0.7924628, 'Yes': -3.3761384, ' Wh': -2.8352675}
{' ': -8.2961235, ' A': -7.2713795, ' Yes': -0.025327615, ' yes': -8.113654, 'Yes': -3.7520676}
{' ': -5.4988127, ' Yes': -0.06644154, ' W': -5.2948694, 'Yes': -3.428189, ' Wh': -4.1540937}
{' ': -8.867529, ' A': -7.74798, ' Yes': -0.0042084996, ' yes': -7.414063, 'Yes': -5.833615}
{' No': -2.812954, '\n': -5.750576, ' Yes': -0.082363345, 'Yes': -5.3417034, ' Wh': -4.788416}
{'\n': -4.657094, ' ': -5.9878283, ' A': -5.1101084, ' Yes': -0.039418664, 'Yes': -3.9213154}
{' No': -4.1892686, '\n': -4.029368, ' Yes': -0.14531961, 'Yes': -3.7124562, ' Wh': -2.8670049}
{'\n': -2.0210304, ' ': -4.119936, ' A': -5.841934, ' Yes': -0.2017234, 'Yes': -3.530125}
{'\n': -0.461934, ' ': -3.1205587, ' Yes': -1.3227853, 'Yes': -4.3108716, ' Wh': -4.009736}
{' ': -8.1914425, ' A': -5.7757926, ' Yes': -0.006326423, ' yes': -8.357516, 'Yes': -5.9497466}
{' No': -1.8268315, ' ': -5.0687804, ' Yes': -0.5821149, 'Yes': -5.348739, ' Wh': -1.3447511}
{'\n': -3.5743942, ' ': -4.648775, ' A': -5.2458744, ' Yes': -0.1250113, 'Yes': -2.6300297}
{' No': -0.4349817, '\n': -1.9595579, 'No': -2.7073834, ' Yes': -3.458137, ' Wh': -2.888734}
{' ': -6.4031153, ' A': -5.941499, ' Yes': -0.019847583, ' yes': -6.2291837, 'Yes': -4.4417033}
{'\n': -4.593085, ' Yes': -0.20190516, ' W': -2.827107, 'Yes': -3.7279232, ' Wh': -2.6754138}
{' ': -7.65429, ' A': -4.8992877, ' Yes': -0.048278514, ' yes': -6.5780306, 'Yes': -3.2985399}
{' No': -0.7161204, 'No': -2.4329364, ' Yes': -1.4734944, 'Yes': -3.681833, ' Wh': -2.0613754}
{' ': -8.662376, ' Yes': -0.049152967, ' yes': -7.1424794, 'Yes': -3.0609977, 'yes': -9.213554}
{' No': -1.4517719, 'No': -3.5767488, ' Yes': -0.44443813, 'Yes': -3.144338, ' Wh': -2.9979963}
{'\n': -7.224216, ' ': -7.0671167, ' Yes': -0.090146706, ' yes': -6.9513483, 'Yes': -2.4897838}
{' No': -5.957302, ' ': -6.996283, ' Yes': -0.110645704, 'Yes': -2.486487, ' Wh': -4.1967983}
{' ': -7.80479, ' A': -6.516062, ' Yes': -0.019415878, ' yes': -7.59598, 'Yes': -4.115527}
{' No': -0.06402492, ' ': -7.792964, 'No': -3.0775497, ' Yes': -5.621108, ' Wh': -4.4865727}
{' No': -3.477641, 'No': -3.9757948, ' A': -3.8038168, ' Yes': -0.33225557, 'Yes': -1.637042}
{' No': -0.5432465, 'No': -1.2389823, ' Yes': -3.2594023, 'Yes': -4.2459574, ' Wh': -2.8254673}
{' A': -5.915906, ' Yes': -0.10414439, ' yes': -5.514493, ' Whale': -6.1708083, 'Yes': -2.4473107}
{' No': -0.5954896, 'No': -2.1988754, ' Yes': -1.5849059, 'Yes': -3.6407795, ' Wh': -2.3575058}
{' ': -7.7024074, ' Yes': -0.027082639, ' yes': -3.8551366, 'Yes': -5.389263, 'yes': -8.781473}
{' whales': -6.51666, ' Yes': -0.028676592, ' yes': -4.9861484, 'Yes': -4.8885264, ' Wh': -4.614082}
{'\n': -6.1753225, ' ': -7.003269, ' Yes': -0.04380225, ' yes': -5.182026, 'Yes': -3.398102}
{' No': -4.0758095, '\n': -4.2058277, ' Yes': -0.11883363, 'Yes': -2.8688486, ' Wh': -4.7823753}
{'\n': -1.9025308, ' ': -4.633955, ' Yes': -0.25902754, ' yes': -5.8170314, 'Yes': -2.744564}
{'\n': -1.0942531, ' Yes': -0.72685385, ' W': -2.9131653, 'Yes': -3.1832347, ' Wh': -3.0863853}
{' ': -7.984873, ' A': -6.6462193, ' Yes': -0.011200477, ' yes': -6.430586, 'Yes': -4.89889}
{' No': -2.9895604, '\n': -4.849557, ' Yes': -0.12588628, 'Yes': -4.207116, ' Wh': -3.3153908}
{'\n': -2.732029, ' ': -4.951779, ' Yes': -0.26770586, ' yes': -5.140046, 'Yes': -1.8742255}
{' No': -0.4245798, '\n': -2.1122763, 'No': -2.0554485, ' Yes': -3.0821803, ' W': -4.1468306}
{'\n': -5.74951, ' ': -6.810695, ' Yes': -0.04852138, ' yes': -3.6099246, 'Yes': -4.2099347}
{'\n': -4.509037, ' Yes': -0.11419664, ' W': -4.741054, ' yes': -3.3391206, 'Yes': -3.1684148}
{'\n': -6.8865576, ' A': -6.796754, ' Yes': -0.007348153, ' yes': -7.2411885, 'Yes': -5.5492105}
{' No': -1.394205, '\n': -2.923391, ' ': -4.6462173, ' Yes': -0.53567684, ' Wh': -2.3564587}
{'\n': -2.756588, ' ': -4.7042103, ' A': -5.4570026, ' Yes': -0.0987186, 'Yes': -4.125099}
{' No': -1.5902318, '\n': -0.75005805, ' ': -3.6060207, ' Yes': -1.4957703, ' Wh': -2.9553287}
{'\n': -2.599526, ' ': -4.2386975, ' A': -5.039805, ' Yes': -0.12336805, 'Yes': -3.9267297}
{'\n': -0.80284595, ' ': -3.0489185, ' Yes': -1.1257334, 'Yes': -4.6338053, ' Wh': -1.8765459}
{'\n': -4.1279907, ' ': -4.777548, ' A': -4.2221127, ' Yes': -0.045360867, 'Yes': -5.3968678}
{' No': -1.5825356, '\n': -2.2431612, ' ': -3.2966847, ' Yes': -1.563651, ' Wh': -0.84413034}
{'\n': -5.214202, ' ': -6.2678246, ' A': -6.2666802, ' Yes': -0.040314898, 'Yes': -3.5406501}
{' No': -0.9377303, '\n': -2.2827392, ' ': -3.5822806, ' Yes': -1.1754527, ' Wh': -2.1639838}
{'\n': -5.2398543, ' ': -5.702896, ' A': -5.7704945, ' Yes': -0.027156863, 'Yes': -4.4276485}
{'\n': -4.052478, ' Yes': -0.12024044, ' W': -3.8323832, 'Yes': -3.976304, ' Wh': -3.2442656}
{' No': -9.3093195, ' ': -9.868655, ' Yes': -0.0029426161, ' yes': -9.165835, 'Yes': -5.973325}
{' No': -8.651783, ' Ko': -7.5143833, ' Yes': -0.0037524381, ' yes': -9.02767, 'Yes': -5.9463387}
{' No': -6.7091174, ' ': -7.8144517, ' Yes': -0.011453067, ' yes': -8.3738575, 'Yes': -4.693597}
{' No': -8.153194, ' Ko': -8.788691, ' ': -7.7374587, ' Yes': -0.00847249, 'Yes': -4.9151955}
{' No': -5.392734, '\n': -6.550521, ' ': -6.2238803, ' Yes': -0.02659785, 'Yes': -4.0658965}
{' No': -4.956533, ' Ko': -6.423679, ' ': -5.996116, ' Yes': -0.028480204, 'Yes': -4.172277}
{' No': -7.8494263, ' ': -9.045507, ' Yes': -0.0034087782, ' yes': -9.065279, 'Yes': -5.949817}
{' No': -8.45707, ' Ko': -6.433902, ' ': -8.59274, ' Yes': -0.0053875255, 'Yes': -5.7799487}
{' No': -0.47595298, '\n': -4.6186633, ' ': -4.6545286, 'No': -2.6054447, ' Yes': -1.3218393}
{' No': -2.4744527, ' Ko': -4.8817377, 'No': -4.741139, ' Yes': -0.15249415, 'Yes': -3.5423656}
{' No': -4.84297, ' ': -6.9979377, ' A': -7.2711296, ' Yes': -0.024375862, 'Yes': -4.379955}
{' No': -5.2154455, ' Ko': -5.239808, ' ': -6.449952, ' Yes': -0.031697437, 'Yes': -4.0699244}
{'\n': -8.755321, ' ': -7.811139, ' Yes': -0.0025493389, ' yes': -8.125224, 'Yes': -6.434434}
{'\n': -7.9911885, ' ': -7.581606, ' Yes': -0.0027720192, ' yes': -8.211929, 'Yes': -6.4885235}
{' No': -1.865091, ' ': -5.604121, 'No': -5.2823615, ' Yes': -0.19390659, 'Yes': -4.78425}
{' No': -5.0194674, ' Ko': -6.533015, ' ': -6.3407393, ' Yes': -0.021370735, 'Yes': -4.634253}
{' No': -0.7174015, '\n': -2.5607812, ' ': -3.996096, 'No': -3.488821, ' Yes': -1.0113449}
{' No': -3.0826576, '\n': -2.428067, ' ': -3.9164093, ' Yes': -0.21535385, 'Yes': -3.529313}
{' No': -5.906902, ' ': -7.2494445, ' Yes': -0.005513921, ' yes': -8.512948, 'Yes': -6.3462615}
{' No': -8.488222, ' ': -8.105587, ' Yes': -0.002247132, ' yes': -8.956461, 'Yes': -6.4712296}
{' No': -0.20940237, '\n': -4.138563, ' ': -4.4660606, 'No': -1.8608916, ' Yes': -5.956347}
{' No': -0.18399803, '\n': -3.743389, ' ': -3.9823434, 'No': -2.222599, ' Yes': -4.4449763}
{' No': -6.892185, ' ': -6.297342, ' Yes': -0.015427029, ' yes': -5.499928, 'Yes': -4.909535}
{'\n': -7.329393, ' ': -6.181076, ' Yes': -0.019706601, ' yes': -5.385179, 'Yes': -4.5099616}
{' No': -3.7695034, ' A': -5.615802, ' Yes': -0.0726287, ' yes': -4.9203305, 'Yes': -3.5008512}
{' No': -5.906022, ' Ko': -6.158965, ' Yes': -0.047520764, ' yes': -4.841819, 'Yes': -3.494546}
{' No': -0.5488451, ' ': -6.379926, 'No': -3.063354, ' Yes': -1.0141256, 'Yes': -4.622442}
{' No': -5.418116, 'No': -7.4406743, ' Yes': -0.034476116, ' yes': -7.825188, 'Yes': -3.5852478}
{' No': -1.9047403, ' ': -6.329766, 'No': -3.5780456, ' Yes': -0.24454024, 'Yes': -3.3138092}
{' No': -4.6662893, ' ': -6.7502356, 'No': -6.423459, ' Yes': -0.05668007, 'Yes': -3.2026644}
{' No': -1.7486064, ' ': -7.0890317, 'No': -5.586249, ' Yes': -0.20526196, 'Yes': -5.087168}
{' No': -6.7490797, ' ': -7.673619, ' Yes': -0.013225215, ' yes': -7.774808, 'Yes': -4.5574927}
{' No': -0.47544935, ' Ko': -4.547572, ' ': -5.7051525, 'No': -1.0419701, ' Yes': -5.349192}
{' No': -1.5356016, ' Ko': -2.6067667, 'No': -2.1939383, ' Yes': -0.6936865, 'Yes': -2.672471}
{' No': -0.14934444, ' Ko': -6.1161084, ' ': -5.8894258, 'No': -2.406968, ' Yes': -3.214736}
{' No': -5.319318, ' Ko': -6.396392, ' Yes': -0.049443197, ' yes': -6.181709, 'Yes': -3.308785}
{'\n': -7.2671494, ' ': -6.0567913, ' Yes': -0.03714938, ' yes': -3.6950336, 'Yes': -4.8369}
{'\n': -7.331902, ' ': -6.4235654, ' Yes': -0.020338783, ' yes': -4.4207387, 'Yes': -5.2048306}
{' No': -5.602396, ' ': -5.8873577, ' Yes': -0.03971371, ' yes': -5.1361737, 'Yes': -3.7508593}
{'\n': -5.9654703, ' ': -6.2084684, ' Yes': -0.036523357, ' yes': -5.498784, 'Yes': -3.6307805}
{' No': -3.1859684, '\n': -2.501139, ' ': -4.2361507, ' Yes': -0.23400518, 'Yes': -2.928524}
{'\n': -2.9576545, ' ': -4.7137637, ' Yes': -0.1349043, ' yes': -5.4232125, 'Yes': -2.910119}
{' No': -7.571992, ' ': -7.319766, ' Yes': -0.010535852, ' yes': -6.2627883, 'Yes': -4.966209}
{' No': -7.8811336, ' ': -7.51922, ' Yes': -0.0111274235, ' yes': -6.3513618, 'Yes': -4.8352547}
{' No': -0.8008735, '\n': -2.2665603, 'No': -2.171662, ' Yes': -1.3243892, 'Yes': -3.3106544}
{' No': -4.313118, '\n': -2.7744548, ' Yes': -0.27068794, ' yes': -3.9920187, 'Yes': -2.1228302}
{'\n': -5.795899, ' ': -6.040712, ' Yes': -0.120552875, ' yes': -2.4203346, 'Yes': -4.0961175}
{'\n': -5.2338324, ' ': -5.829517, ' Yes': -0.098929465, ' yes': -2.756528, 'Yes': -3.9353895}
{'\n': -7.310267, ' ': -7.7188687, ' Yes': -0.0035715308, ' yes': -7.57325, 'Yes': -6.303015}
{'\n': -6.44333, ' ': -7.1938353, ' Yes': -0.0050448035, ' yes': -7.807866, 'Yes': -6.1639857}
{' No': -3.5270352, '\n': -3.7977035, ' ': -4.9298863, ' Yes': -0.07335359, 'Yes': -4.638165}
{' No': -4.653088, '\n': -3.1264288, ' ': -4.994509, ' Yes': -0.07481416, 'Yes': -4.6126747}
{' No': -1.7568773, '\n': -3.2751875, ' ': -4.447543, ' Yes': -0.28751308, 'Yes': -4.3251753}
{' No': -3.058348, '\n': -3.5660667, ' ': -4.4428997, ' Yes': -0.11471781, 'Yes': -4.37014}
{' No': -4.0991874, '\n': -5.2063556, ' ': -5.0652366, ' Yes': -0.032539044, 'Yes': -5.8541694}
{' No': -5.691742, '\n': -4.8805447, ' ': -5.3188953, ' Yes': -0.02013995, 'Yes': -5.6500072}
{' No': -0.073298626, '\n': -4.1686754, ' ': -4.7806497, 'No': -3.1477537, ' Yes': -5.781947}
{' No': -0.043852884, '\n': -5.126588, ' ': -5.0472383, 'No': -3.6492167, ' Yes': -5.700717}
{'\n': -5.4870753, ' ': -5.7284465, ' Yes': -0.018247401, ' yes': -5.7543597, 'Yes': -5.075771}
{'\n': -6.0797863, ' ': -5.89272, ' Yes': -0.020058824, ' yes': -5.607184, 'Yes': -4.589538}
{' No': -5.448559, ' Generally': -8.245808, ' A': -7.93433, ' Yes': -0.008852348, 'Yes': -5.683912}
{' No': -4.1479316, ' Ko': -2.87841, ' Generally': -5.8727145, ' Yes': -0.08737553, 'Yes': -5.2399673}
{' No': -4.9172115, ' ': -7.1256227, ' Generally': -6.5280533, ' Yes': -0.025348887, 'Yes': -4.3145885}
{' No': -6.3088117, ' Ko': -5.410735, ' Generally': -6.50525, ' Yes': -0.03144184, 'Yes': -3.881408}
{' No': -4.7563047, '\n': -5.9258738, ' ': -6.1350927, ' Yes': -0.03065031, 'Yes': -4.1939917}
{' No': -4.771795, ' Ko': -5.1168895, ' ': -5.1925178, ' Yes': -0.053535197, 'Yes': -3.8264248}
{' No': -4.822411, ' Generally': -7.7725377, ' A': -8.301721, ' Yes': -0.015961552, 'Yes': -5.038077}
{' No': -3.9456215, ' Ko': -4.0564766, ' Generally': -6.562198, ' Yes': -0.050102312, 'Yes': -4.8086605}
{' No': -0.98561704, '\n': -5.0777645, 'No': -3.446768, ' Yes': -0.5826286, 'Yes': -4.0210876}
{' No': -3.1118877, ' Ko': -3.767964, ' Yes': -0.15417926, ' K': -4.183991, 'Yes': -3.443028}
{' No': -5.8855968, ' Generally': -7.033588, ' A': -7.0626884, ' Yes': -0.023704633, 'Yes': -4.1187534}
{' No': -5.1634016, ' Ko': -4.696376, ' Yes': -0.056229994, ' K': -6.08529, 'Yes': -3.4414835}
{' No': -6.509405, '\n': -7.759474, ' ': -7.684959, ' Yes': -0.0054553663, 'Yes': -5.949875}
{' No': -3.4023392, ' Ko': -6.6186895, '\n': -6.343728, ' Yes': -0.042470474, 'Yes': -5.891711}
{' No': -1.9192489, '\n': -4.5190315, ' A': -4.712857, ' Yes': -0.2151417, 'Yes': -4.4956074}
{' No': -6.205031, ' Ko': -5.580579, '\n': -6.86856, ' Yes': -0.024910592, 'Yes': -4.2032228}
{' No': -0.487576, '\n': -1.9287801, ' ': -4.031956, 'No': -3.113587, ' Yes': -1.8629003}
{' No': -2.2020643, ' Ko': -3.1524198, '\n': -1.529989, ' ': -3.3759212, ' Yes': -0.58354175}
{' No': -4.3630695, ' ': -7.3722835, ' A': -7.664732, ' Yes': -0.016105523, 'Yes': -6.3482013}
{' No': -6.8368583, ' Ko': -8.067085, ' Yes': -0.004305232, ' yes': -8.412196, 'Yes': -6.111204}
{' No': -0.23339002, '\n': -3.7586603, ' ': -4.509365, 'No': -2.2261763, ' Yes': -2.9846885}
{' No': -0.8280456, ' Ko': -2.4520519, '\n': -2.7476623, 'No': -2.9071758, ' Yes': -1.3271681}
{' No': -5.2022247, ' ': -6.0965495, ' Yes': -0.02600287, ' yes': -5.7466774, 'Yes': -4.530672}
{'\n': -6.6464295, ' ': -6.3195577, ' Yes': -0.027382025, ' yes': -5.4504523, 'Yes': -4.0476284}
{' No': -2.6565742, 'No': -4.905651, ' A': -4.5608845, ' Yes': -0.13661207, 'Yes': -3.4685533}
{' No': -1.3709993, ' Ko': -1.676013, 'No': -3.0026321, ' Yes': -0.86541843, 'Yes': -3.5338519}
{' No': -2.2429142, 'No': -3.7604697, ' Yes': -0.21256451, ' yes': -6.692371, 'Yes': -2.8206708}
{' No': -4.0177145, 'No': -5.9155855, ' Yes': -0.06582194, ' yes': -7.6378636, 'Yes': -3.183732}
{' No': -4.1535754, 'No': -5.9604955, ' Yes': -0.07782113, ' yes': -6.709144, 'Yes': -2.9149868}
{' No': -3.3278728, '\n': -6.924734, 'No': -4.7810564, ' Yes': -0.11820157, 'Yes': -2.7537358}
{' No': -2.4224312, ' ': -7.434394, 'No': -6.0533586, ' Yes': -0.10846449, 'Yes': -4.5678153}
{' No': -2.7914662, ' ': -8.089223, 'No': -5.5915666, ' Yes': -0.086745024, 'Yes': -4.084864}
{' No': -0.3693142, '\n': -5.61886, ' ': -5.865295, 'No': -1.2242088, ' Yes': -5.7397184}
{' No': -1.3537903, ' Ko': -2.572958, 'No': -2.4200096, ' Yes': -0.74265677, 'Yes': -2.6942482}
{' No': -0.22995774, ' Ko': -4.292486, '\n': -5.9420357, 'No': -1.7354605, ' Yes': -4.930792}
{' No': -0.3726638, ' Ko': -3.4962409, 'No': -1.9766085, ' Yes': -2.0757315, 'Yes': -4.5668626}
{'\n': -7.5104055, ' ': -6.794872, ' Yes': -0.015395794, ' yes': -4.6038356, 'Yes': -5.69383}
{'\n': -8.806614, ' ': -8.129087, ' Yes': -0.011249662, ' yes': -4.81728, 'Yes': -6.0044994}
{' No': -4.342674, '\n': -5.7022014, ' Yes': -0.05022603, ' yes': -5.2239337, 'Yes': -3.810148}
{' No': -4.835412, '\n': -6.9774427, ' Yes': -0.03575996, ' yes': -5.2532988, 'Yes': -3.9813013}
{' No': -1.0489252, '\n': -1.5809113, 'No': -2.8921237, ' Yes': -1.1322362, 'Yes': -3.7068954}
{'\n': -2.811147, ' ': -4.9756546, ' Yes': -0.1465581, ' yes': -4.450643, 'Yes': -3.0785325}
{' No': -5.367417, ' ': -7.2735505, ' Yes': -0.012196314, ' yes': -6.868418, 'Yes': -5.3386083}
{' No': -7.436891, '\n': -7.9983835, ' Yes': -0.008842306, ' yes': -7.000223, 'Yes': -5.030674}
{' No': -0.48087847, '\n': -1.9957271, ' ': -4.447293, 'No': -1.7258793, ' Yes': -3.1771808}
{' No': -0.7910087, '\n': -2.0957859, 'No': -2.5965087, ' Yes': -1.2733448, 'Yes': -3.4768634}
{'\n': -6.555796, ' ': -6.7925377, ' Yes': -0.08637573, ' yes': -2.6686206, 'Yes': -4.624166}
{'\n': -7.05114, ' Yes': -0.061095916, ' yes': -3.128805, 'Yes': -4.363303, 'yes': -7.1838794}
{'\n': -6.5488105, ' ': -7.305471, ' Yes': -0.005449074, ' yes': -7.682977, 'Yes': -5.96369}
{' No': -7.7510734, '\n': -4.96661, ' ': -6.7252145, ' Yes': -0.0126462225, 'Yes': -5.7773757}
{' No': -4.5312614, '\n': -2.9432673, ' ': -4.7892203, ' Yes': -0.09552171, 'Yes': -4.180349}
{' Ko': -5.725288, '\n': -2.3220289, ' ': -4.5854106, ' Yes': -0.14313108, 'Yes': -4.0182223}
{' No': -1.7952327, '\n': -3.0257163, ' ': -4.1473823, ' A': -3.8348901, ' Yes': -0.32340983}
{' Ko': -3.1800356, '\n': -2.5579863, ' ': -4.0434384, ' Yes': -0.19456774, 'Yes': -4.1085}
{' No': -5.656465, '\n': -4.8822513, ' ': -5.2873855, ' Yes': -0.020038266, 'Yes': -5.8787756}
{' No': -6.7506022, '\n': -3.2431335, ' ': -4.9655585, ' Yes': -0.056022704, 'Yes': -5.265711}
{' No': -0.18119502, '\n': -4.71633, ' ': -5.253512, 'No': -3.4205174, ' Yes': -2.1934059}
{' No': -0.8979423, ' Ko': -3.7480588, '\n': -3.2250314, 'No': -4.3089204, ' Yes': -0.72656506}
{'\n': -4.606663, ' ': -5.22182, ' Yes': -0.033430867, ' yes': -5.5817895, 'Yes': -4.463959}
{'\n': -4.200776, ' ': -5.117036, ' Yes': -0.052407395, ' yes': -5.4076777, 'Yes': -4.024234}
{' No': -0.017867966, ' Ko': -9.801459, ' ': -8.531559, ' Generally': -9.468104, 'No': -4.061247}
{' No': -0.016028175, ' Ko': -7.5721993, '\n': -7.9796057, ' ': -8.045835, 'No': -4.2292924}
{' No': -0.06331986, ' Ko': -8.330542, ' ': -7.4312487, 'No': -2.8109012, ' A': -9.119442}
{' No': -0.043020774, ' Ko': -7.1769576, '\n': -8.741416, ' ': -6.826704, 'No': -3.2188265}
{' No': -0.087993525, ' Ko': -8.33747, '\n': -5.896211, ' ': -6.242191, 'No': -2.538843}
{' No': -0.06797713, ' Ko': -5.6094255, '\n': -5.9498587, ' ': -5.5486155, 'No': -2.8991709}
{' No': -0.017534044, ' Ko': -9.904555, ' ': -8.609978, 'No': -4.07378, ' A': -9.709626}
{' No': -0.021659832, ' Ko': -6.8169956, ' ': -8.028958, ' Generally': -10.52317, 'No': -3.916914}
{' No': -0.13067119, ' Ko': -7.186932, '\n': -6.09021, ' ': -5.9111915, 'No': -2.1542668}
{' No': -0.093967706, ' Ko': -4.5417633, '\n': -5.3455114, ' ': -4.978372, 'No': -2.726427}
{' No': -0.07809022, ' Ko': -7.439944, ' ': -7.1039567, 'No': -2.6287894, ' A': -7.4796953}
{' No': -0.107689865, ' Ko': -4.677497, '\n': -7.501779, ' ': -5.701073, 'No': -2.4361563}
{' No': -0.0063792085, '\n': -7.5860486, ' ': -6.9730635, 'No': -5.343589, ' A': -9.871782}
{' No': -0.0073515708, ' Ko': -7.9591737, '\n': -6.63007, ' ': -6.6919427, 'No': -5.439839}
{' No': -0.05063633, '\n': -6.497549, ' ': -6.436861, 'No': -3.079981, ' A': -8.823426}
{' No': -0.03232091, ' Ko': -7.173054, '\n': -6.917474, ' ': -6.272443, 'No': -3.5749633}
{' No': -0.12793665, '\n': -3.3341513, ' ': -5.3389826, 'No': -2.543172, ' A': -7.4560328}
{' No': -0.21623722, ' Ko': -6.3281994, '\n': -2.2551184, ' ': -4.225386, 'No': -2.6275225}
{' No': -0.007762841, '\n': -9.779596, ' ': -7.1830864, 'No': -4.9807568, ' no': -10.607824}
{' No': -0.0058774874, ' Ko': -9.245769, '\n': -9.614539, ' ': -7.3630433, 'No': -5.2918077}
{' No': -0.19830543, '\n': -4.6553426, ' ': -5.169633, 'No': -1.8129181, ' A': -7.5737205}
{' No': -0.1597465, ' Ko': -6.5256057, '\n': -4.058863, ' ': -4.5094, 'No': -2.1490655}
{' No': -0.045487985, '\n': -7.3685946, ' ': -5.989277, 'No': -3.219194, ' no': -7.512941}
{' No': -0.047619402, ' Ko': -6.080717, '\n': -6.7341433, ' ': -5.4909415, 'No': -3.2807808}
{' No': -0.11947993, ' ': -6.5096674, 'No': -2.2324789, ' A': -7.2076545, ' no': -6.4612765}
