{' No': -0.21113746, ' Yes': -1.686834, 'No': -5.565593, ' Not': -7.585437, 'Yes': -7.616578}
{' No': -0.021106254, ' Yes': -4.199247, 'No': -5.335584, ' Not': -7.0761733, ' It': -9.731582}
{' No': -0.12059819, ' Yes': -2.247725, 'No': -5.030487, ' The': -7.4908695, 'Yes': -7.786316}
{' No': -0.008227327, 'No': -4.9137273, ' Yes': -7.1508684, ' Not': -10.539695, ' ': -11.100694}
{' Yes': -0.17867304, ' No': -1.8354342, 'Yes': -5.927696, 'No': -7.1159115, ' The': -7.7944927}
{' Yes': -0.0030537576, 'Yes': -6.1623836, ' No': -7.0645194, ' yes': -10.273992, ' The': -10.418125}
{' Yes': -0.011136707, ' No': -4.716949, 'Yes': -6.304445, ' The': -8.568648, ' yes': -9.992646}
{' Yes': -0.0038569644, 'Yes': -5.6812987, ' No': -7.8818145, ' The': -10.516899, ' yes': -11.238054}
{' Yes': -0.06683656, ' No': -2.8367624, 'Yes': -5.3891134, ' The': -7.3459325, 'No': -7.6704354}
{' No': -0.017054832, 'No': -4.084613, ' Yes': -9.67146, ' ': -11.202266, 'Yes': -13.641794}
{' No': -0.12101372, ' Yes': -2.2530804, 'No': -4.8707943, ' The': -7.5248985, 'Yes': -7.6997848}
{' Yes': -0.0029188266, 'Yes': -5.993248, ' No': -8.386581, ' The': -8.93276, ' yes': -10.353624}
{' Yes': -0.0040128487, ' No': -5.821111, 'Yes': -7.187661, ' The': -8.52657, ' yes': -10.386329}
{' Yes': -0.0048590526, ' No': -5.7809777, 'Yes': -6.521042, ' The': -8.435751, ' yes': -10.314919}
{' Yes': -0.0012572099, 'Yes': -6.731981, ' No': -10.708731, ' yes': -10.794449, ' The': -11.266013}
{' Yes': -0.022602968, ' No': -4.05625, 'Yes': -5.3754354, 'No': -8.587281, ' The': -8.957818}
{' Yes': -0.0019272823, 'Yes': -6.3714275, ' No': -8.896568, ' The': -10.065452, ' yes': -10.846467}
{' Yes': -0.039066125, ' No': -3.4939992, 'Yes': -4.9649367, 'No': -7.7373805, ' Unfortunately': -8.423007}
{' Yes': -0.04879341, ' No': -3.143091, 'Yes': -5.5546145, 'No': -7.8142366, ' The': -9.641479}
{' Yes': -0.018716017, ' No': -4.146693, 'Yes': -6.008157, ' The': -8.898059, 'No': -9.37432}
{' Yes': -0.007327438, 'Yes': -5.523532, ' No': -6.473445, ' Pound': -7.0519357, ' The': -7.636353}
{' Yes': -0.36032265, ' No': -1.2124765, 'Yes': -5.958551, 'No': -6.195993, ' Not': -8.26369}
{' Yes': -0.00410926, 'Yes': -5.6994443, ' No': -7.235781, ' yes': -11.095399, 'No': -12.258625}
{' Yes': -0.002033526, 'Yes': -6.23054, ' No': -10.432625, ' yes': -10.872612, ' The': -12.073669}
{' Yes': -0.0024347324, 'Yes': -6.132617, ' No': -8.746029, ' The': -9.777183, ' yes': -10.552203}
{' Yes': -0.0037580028, 'Yes': -5.6276193, ' yes': -9.637011, ' The': -9.85691, ' YES': -11.5976925}
{' No': -0.6669952, ' Yes': -0.7837384, 'No': -4.2139754, 'Yes': -4.2763395, ' Nope': -8.002649}
{' Yes': -0.0017476002, 'Yes': -6.3778973, ' yes': -10.646019, ' The': -10.859058, ' YES': -13.776372}
{' Yes': -0.0050064055, 'Yes': -5.3201175, ' No': -9.943852, ' yes': -10.393138, ' The': -11.040734}
{' Yes': -0.0015506375, 'Yes': -6.7978644, ' No': -7.8725066, ' The': -10.741959, ' yes': -11.017491}
{' Yes': -0.004816468, 'Yes': -5.9597454, ' No': -6.222235, ' The': -8.658133, ' yes': -10.397434}
{' Yes': -0.013295581, ' No': -4.591363, 'Yes': -5.840188, 'No': -9.675914, ' The': -10.320548}
{' Yes': -0.005738942, ' No': -5.6081247, 'Yes': -6.272136, ' The': -9.217488, ' yes': -10.351085}
{' Yes': -0.31431165, ' Still': -1.36124, ' No': -4.915548, 'Yes': -5.3598113, 'Still': -7.333847}
{' Yes': -0.0026892968, 'Yes': -6.3893967, ' No': -7.152204, ' The': -8.854334, ' yes': -9.865845}
{' Yes': -0.005303694, 'Yes': -5.8411818, ' No': -6.0591555, 'No': -10.934857, ' yes': -11.383234}
{' Yes': -0.0022639178, 'Yes': -6.1208715, ' No': -9.947696, ' yes': -11.543365, ' ': -12.619361}
{' Yes': -0.0033378473, 'Yes': -5.714481, ' yes': -10.976005, ' The': -11.922452, ' No': -13.021935}
{' Yes': -0.0013336039, 'Yes': -6.68421, ' No': -10.333578, ' The': -10.475815, ' yes': -11.298875}
{' No': -0.27784723, ' Yes': -1.4388978, 'No': -5.415291, 'Yes': -7.443404, ' Not': -8.882742}
{' Yes': -0.038169064, ' No': -3.3493528, 'Yes': -6.229899, 'No': -8.6753645, ' The': -9.223201}
{' Yes': -0.014437717, ' No': -4.613879, 'Yes': -5.5087175, ' The': -8.621434, 'No': -9.548682}
{' Yes': -0.003371697, 'Yes': -6.070531, ' No': -7.016383, ' The': -9.348378, ' yes': -10.013934}
{' No': -0.0071276943, 'No': -4.9701095, ' ': -9.810469, ' Unfortunately': -10.182662, ' The': -10.8509035}
{' No': -0.009923137, 'No': -4.6344056, ' Unfortunately': -9.2839365, ' The': -10.9873, ' ': -11.017564}
{' No': -0.26632592, 'No': -1.7554005, ' Un': -3.2914722, ' Unt': -4.825148, ' ': -5.4808717}
{' No': -0.004784185, 'No': -5.8448715, ' Yes': -6.3132386, ' ': -10.875343, ' Unfortunately': -11.244998}
{' Yes': -0.0024678912, 'Yes': -6.0815234, ' No': -9.02916, ' yes': -10.305516, ' The': -11.08446}
{' Yes': -0.0020520429, 'Yes': -6.3732004, ' No': -8.573173, ' The': -9.186256, ' yes': -10.634422}
{' Yes': -0.1307332, ' No': -2.1268191, 'Yes': -5.984317, 'No': -8.01294, ' The': -8.617457}
{' Yes': -0.0047257333, 'Yes': -5.5513773, ' No': -7.1763377, ' ': -10.632125, ' yes': -11.353586}
{' Yes': -0.0030605104, 'Yes': -5.806907, ' yes': -10.483595, ' ': -11.204409, ' YES': -12.747437}
{' Yes': -0.0038760537, 'Yes': -5.673097, ' No': -7.9713817, ' yes': -10.145645, ' ': -10.753233}
{' Yes': -0.0020803525, 'Yes': -6.6289835, ' No': -7.314309, ' The': -9.900388, ' yes': -10.696659}
{' Yes': -0.043813087, ' No': -3.2015338, 'Yes': -6.244079, 'No': -8.941829, ' ': -10.168771}
{' Yes': -0.01015481, 'Yes': -4.8648376, ' No': -6.7673874, '\n': -7.701338, ' ': -7.8500113}
{' Yes': -0.0048758835, 'Yes': -5.615696, ' No': -6.7860456, ' The': -10.126559, ' yes': -10.66941}
{' Yes': -0.0026144763, 'Yes': -6.0512075, ' No': -8.535739, ' The': -10.249557, ' yes': -11.197109}
{' Yes': -0.0015572654, 'Yes': -6.514864, ' yes': -10.345581, ' No': -10.588448, ' The': -11.699236}
{' Yes': -0.02687597, ' No': -4.1889277, 'Yes': -4.51567, 'No': -8.208289, ' ': -10.384194}
{' Yes': -0.0027206768, 'Yes': -5.9383793, ' yes': -10.5277405, ' The': -10.6593075, ' No': -10.80559}
{' Yes': -0.0027638294, 'Yes': -5.9390793, ' No': -9.226763, ' yes': -11.441543, ' The': -11.823919}
{' Yes': -0.0018953899, 'Yes': -6.306503, ' No': -9.9409, ' yes': -11.407339, ' ': -12.780377}
{' Yes': -0.0677633, ' No': -2.7690916, 'Yes': -6.103747, 'No': -8.162817, ' The': -8.375316}
{' No': -0.26887667, ' Yes': -1.4804816, 'No': -5.0080943, 'Yes': -7.0234866, ' The': -7.959708}
{' No': -0.019057259, 'No': -4.1212792, ' Yes': -6.04336, ' Not': -9.551974, ' ': -9.763874}
{' Yes': -0.0055353786, ' No': -5.773756, 'Yes': -6.135721, ' The': -8.852434, ' yes': -10.447221}
{' Yes': -0.008891074, 'Yes': -4.7393746, ' No': -9.713721, ' yes': -10.691363, '\n': -11.4744425}
{' Yes': -0.0020984507, 'Yes': -6.235517, ' No': -9.552834, ' The': -10.29159, ' yes': -10.943882}
{' Yes': -0.0011574305, 'Yes': -6.8000565, ' yes': -11.101834, ' The': -11.124993, ' No': -11.701102}
{' Yes': -0.0020934937, 'Yes': -6.1788783, ' yes': -11.8026085, ' No': -12.699728, ' ': -12.710636}
{' Yes': -0.0016074108, 'Yes': -6.8396325, ' No': -7.844426, ' The': -9.171115, ' yes': -10.535018}
{' Yes': -0.0070601013, ' No': -5.1905966, 'Yes': -6.6375837, ' The': -9.302322, ' yes': -10.402765}
{' Yes': -0.0056904457, 'Yes': -5.1830926, ' No': -10.479157, ' yes': -11.260732, ' The': -11.594784}
{' Yes': -0.0030067633, 'Yes': -5.8215046, ' yes': -10.958405, ' No': -11.768578, ' ': -12.222707}
{' Yes': -0.002453251, 'Yes': -6.0218663, ' yes': -11.072615, ' The': -12.716854, ' No': -12.810789}
{' Yes': -0.011780202, ' No': -4.868077, 'Yes': -5.539814, 'No': -9.736626, ' yes': -11.13931}
{' Yes': -0.0022948652, 'Yes': -6.1667213, ' No': -9.105375, ' yes': -10.029663, ' The': -10.468691}
{' Yes': -0.08163879, ' No': -2.5840535, 'Yes': -6.148667, 'No': -8.117605, ' The': -8.21509}
{' Yes': -0.68872297, ' No': -0.7139572, 'No': -5.3937874, 'Yes': -6.0380063, ' Unfortunately': -7.5516663}
{' Yes': -0.06285305, ' No': -2.8734019, 'Yes': -5.5239944, 'No': -7.9437213, ' ': -10.61895}
{' Yes': -0.01132164, ' No': -4.892734, 'Yes': -5.719629, ' The': -8.555023, ' It': -9.510337}
{' Yes': -0.003696021, 'Yes': -5.6196055, ' yes': -10.759742, ' The': -10.911565, ' No': -11.185818}
{' Yes': -0.008430536, ' No': -5.465183, 'Yes': -5.519672, ' The': -9.542041, ' yes': -10.301686}
{' Yes': -0.0079315165, ' No': -5.1687264, 'Yes': -6.2354946, ' The': -8.873251, ' yes': -9.767823}
{' Yes': -0.010152343, ' No': -4.818893, 'Yes': -6.256883, ' The': -9.755677, 'No': -10.533055}
{' Yes': -0.002252151, 'Yes': -6.1771536, ' No': -8.99104, ' The': -10.761607, ' yes': -10.96309}
{' Yes': -0.0022941479, 'Yes': -6.215839, ' No': -8.689054, ' The': -9.296977, ' yes': -10.693395}
{' Yes': -0.003897894, 'Yes': -5.5797086, ' The': -9.578418, ' yes': -10.393256, ' No': -11.879397}
{' Yes': -0.19086206, ' No': -1.7685312, 'Yes': -6.0900946, 'No': -7.2687254, ' The': -8.972661}
{' Yes': -0.0018030716, 'Yes': -6.5360775, ' No': -8.671759, ' The': -8.863918, ' yes': -10.8926735}
{' Yes': -0.0014965517, 'Yes': -6.5267224, ' yes': -11.225746, ' The': -11.449818, ' ': -12.773378}
{' Yes': -0.0019126497, 'Yes': -6.3157682, ' The': -9.872685, ' No': -10.379468, ' yes': -11.054372}
{' Yes': -0.008808272, ' Rough': -4.9273605, 'Yes': -6.545007, ' No': -10.367956, ' ': -11.035983}
{' Yes': -0.028246826, 'Yes': -4.3684607, ' No': -4.57409, ' Rough': -5.491738, '\n': -8.381188}
{' Yes': -0.0061667007, 'Yes': -5.099575, ' yes': -10.27593, ' YES': -12.573542, ' The': -12.755264}
{' Yes': -0.0038082597, 'Yes': -5.645108, ' No': -8.350741, ' yes': -11.051927, ' The': -11.975308}
{' Yes': -0.0018987342, 'Yes': -6.288489, ' yes': -10.562325, ' The': -11.991622, ' No': -12.370825}
{' Yes': -0.02001376, ' No': -4.050241, 'Yes': -6.091409, 'No': -9.706442, ' The': -10.291927}
{' Yes': -0.0052272365, 'Yes': -5.828343, ' No': -6.258885, ' The': -8.153943, ' yes': -10.200859}
{' Yes': -0.014293441, ' No': -4.6591144, 'Yes': -5.417526, ' The': -8.688849, 'No': -10.034856}
{' Yes': -0.0025519668, 'Yes': -5.988239, ' yes': -10.970825, ' The': -11.333394, ' No': -12.312939}
{' Yes': -0.002107413, 'Yes': -6.195836, ' The': -10.189161, ' yes': -11.03694, ' ': -12.012239}
{' Yes': -0.0019938692, 'Yes': -6.4166207, ' The': -8.463082, ' No': -9.247885, ' yes': -10.631631}
{' Yes': -0.002741118, 'Yes': -5.922653, ' No': -10.705805, ' yes': -10.858565, ' The': -11.618818}
{' Yes': -0.15777756, ' No': -1.9396149, 'Yes': -6.48809, 'No': -7.7822747, ' The': -8.947182}
{' Yes': -0.002569176, 'Yes': -6.2750525, ' No': -7.3773074, ' The': -10.532815, ' yes': -10.843148}
{' Yes': -0.0025632617, 'Yes': -6.0301733, ' No': -9.307784, ' The': -10.318822, ' yes': -10.659091}
{' Yes': -0.008186882, 'Yes': -5.25659, ' No': -5.861012, ' The': -10.476339, ' yes': -10.738506}
{' Yes': -0.008692706, 'Yes': -5.1143026, ' No': -6.014714, ' ': -9.1458235, ' yes': -10.409648}
{' Yes': -0.007741516, ' No': -5.236978, 'Yes': -6.083034, ' The': -10.086688, ' yes': -10.595325}
{' Yes': -0.0008962724, 'Yes': -7.0437636, ' yes': -11.17469, ' No': -12.748316, ' The': -13.062719}
{' Yes': -0.001628845, 'Yes': -6.445419, ' yes': -10.503994, ' ': -12.627401, ' No': -12.721225}
{' Yes': -0.003215255, 'Yes': -6.0172143, ' No': -7.2499356, ' The': -10.464646, ' yes': -10.65199}
{' Yes': -0.0038410497, 'Yes': -5.954503, ' No': -6.81582, ' yes': -9.873843, ' The': -9.9505625}
{' Yes': -0.0036457693, 'Yes': -5.6336527, ' No': -10.23475, ' yes': -11.014444, ' The': -12.42407}
{' Yes': -0.0072400775, ' No': -5.515661, 'Yes': -5.7743125, ' The': -10.322707, 'No': -10.486892}
{' Yes': -0.0045147133, 'Yes': -5.420326, ' No': -10.468156, ' The': -10.648145, ' yes': -10.997521}
{' Yes': -0.0035727273, 'Yes': -5.6548553, ' The': -10.72843, ' yes': -10.771198, ' No': -11.171187}
{' Yes': -0.0025681006, 'Yes': -6.425597, ' No': -7.0878625, ' The': -9.5600815, ' yes': -10.620935}
{' Yes': -0.014980533, ' No': -4.400072, 'Yes': -6.134302, ' The': -8.35298, ' yes': -9.621761}
{' Yes': -0.0017980556, 'Yes': -6.377639, ' yes': -10.271438, ' No': -10.480157, ' The': -10.804606}
{' Yes': -0.0012138217, 'Yes': -6.7337995, ' yes': -11.4034, ' No': -12.034047, ' The': -13.464967}
{' Yes': -0.003380968, 'Yes': -5.7235384, ' The': -10.036618, ' No': -10.296705, ' yes': -11.044206}
{' Yes': -0.0031661645, 'Yes': -5.888107, ' The': -8.5702, ' Heart': -9.208135, ' No': -9.819642}
{' Yes': -0.0018507823, 'Yes': -6.3144155, ' yes': -11.225587, ' The': -11.323225, ' No': -11.7064705}
{' Yes': -0.0017454497, 'Yes': -6.357725, ' yes': -12.336729, ' The': -12.619286, ' ': -13.9310665}
{' No': -0.10430349, ' Yes': -2.3240054, 'No': -7.4325027, ' The': -8.277864, ' ': -9.231022}
{' Yes': -0.014949555, ' No': -4.3317103, 'Yes': -7.0707197, ' The': -7.743575, ' yes': -8.836557}
{' Yes': -0.13539062, ' No': -2.1520493, ' Pizza': -4.81097, 'Yes': -6.4725676, 'No': -7.97494}
{' Yes': -0.13696472, ' No': -2.0702074, 'Yes': -6.9378185, ' Pizza': -7.450425, 'No': -8.73176}
{' Yes': -0.0014051656, 'Yes': -6.9114656, ' The': -8.899177, ' yes': -9.223834, '\n': -9.674418}
{' Yes': -0.00077272824, 'Yes': -7.277249, ' yes': -10.203246, ' ': -11.267401, ' YES': -11.658306}
{' Yes': -0.04328912, ' Laugh': -3.6049554, ' G': -4.7304173, ' ': -5.9752517, 'Yes': -6.1966963}
{' Yes': -0.00061406806, 'Yes': -7.661701, ' yes': -9.42443, ' No': -10.717967, ' YES': -10.904293}
{' Yes': -0.0042356723, ' No': -5.659848, 'Yes': -7.58319, ' The': -9.450585, ' yes': -9.5085745}
{' Yes': -0.016690457, ' No': -4.2141485, ' Queen': -6.8316813, 'Yes': -7.771979, ' yes': -9.549598}
{' Yes': -0.2894064, ' No': -1.3846099, 'Yes': -7.731201, 'No': -8.852901, ' The': -9.022753}
{' Yes': -0.0045326734, ' No': -5.6127834, 'Yes': -7.4122357, ' yes': -9.144665, ' The': -9.353926}
{' Yes': -0.0013741902, 'Yes': -6.746661, ' No': -9.589973, ' yes': -9.794268, ' The': -10.745584}
{' Yes': -0.0013248285, 'Yes': -6.8471117, ' No': -9.211856, ' yes': -9.462419, ' Plane': -10.346192}
{' Yes': -0.040164173, ' Found': -3.5835257, ' No': -4.641238, 'Yes': -7.106289, ' ': -8.104781}
{' Yes': -0.020529864, ' No': -4.316079, ' Found': -5.474757, 'Yes': -6.557971, ' ': -7.873214}
{' Yes': -0.001476795, ' Uncle': -7.4142156, 'Yes': -7.676207, ' No': -8.495232, ' ': -9.319506}
{' Yes': -0.00086685986, 'Yes': -7.7610326, ' No': -8.977273, ' Uncle': -9.109227, ' yes': -9.279519}
{' Yes': -0.09017913, ' No': -2.468992, ' The': -7.4167585, 'Yes': -7.442991, ' Stamp': -9.321486}
{' Yes': -0.025705853, ' No': -3.7173734, 'Yes': -7.0678463, ' yes': -9.708624, ' Stamp': -10.021559}
{' Yes': -0.0013501334, 'Yes': -7.1511054, '\n': -8.786492, ' yes': -8.903096, ' No': -9.330873}
{' Yes': -0.0009090991, 'Yes': -7.2717752, ' yes': -9.300977, '\n': -10.205455, ' YES': -10.501494}
{' Yes': -0.04710538, ' No': -3.101665, 'Yes': -7.2589974, ' The': -8.869596, ' yes': -9.640781}
{' Yes': -0.008531161, ' No': -4.903991, 'Yes': -7.49816, ' The': -8.131701, ' yes': -9.149003}
{' Yes': -0.011194691, ' No': -4.8965783, 'Yes': -6.2428136, ' Te': -6.893866, ' The': -8.3327265}
{' Yes': -0.009603171, ' No': -5.226381, ' The': -6.1880083, 'Yes': -6.5298095, '\n': -8.30198}
{' Yes': -0.20436804, ' No': -1.693433, 'Yes': -7.481379, 'No': -8.830851, ' The': -9.462207}
{' Yes': -0.0023451683, ' No': -6.3600698, 'Yes': -7.6542478, ' yes': -10.166251, ' Short': -10.283119}
{' Yes': -0.0051474287, ' No': -5.7742724, 'Yes': -6.637564, ' Drunk': -8.023498, ' ': -8.709054}
{' Yes': -0.062081847, ' No': -2.8514779, 'Yes': -6.497935, ' yes': -8.196294, ' ': -8.518989}
{' Yes': -0.22173034, ' No': -1.6234046, ' The': -7.4260144, 'Yes': -7.6290307, ' yes': -8.770675}
{' No': -0.05012218, ' Yes': -3.0369365, 'No': -7.3921375, ' ': -9.351855, ' The': -9.537433}
{' Yes': -0.00073460775, 'Yes': -7.4990196, ' yes': -9.458126, ' The': -9.917374, '\n': -10.884075}
{' Yes': -0.00039413653, 'Yes': -8.120278, ' yes': -9.470492, ' YES': -11.440318, ' ': -12.48912}
{' Yes': -0.00097186206, 'Yes': -7.695079, ' No': -8.281064, '\n': -9.169251, ' yes': -9.1759}
{' No': -0.08329669, ' Yes': -2.538346, 'No': -7.3385396, ' ': -9.537696, 'Yes': -9.647471}
{' Yes': -0.00071462855, 'Yes': -7.5024066, ' yes': -9.536958, '\n': -10.455798, ' ': -10.907517}
{' Yes': -0.00043188062, 'Yes': -8.079637, ' yes': -10.017048, ' The': -10.878527, ' Woman': -10.903969}
{' Yes': -0.0011518201, 'Yes': -7.256889, ' No': -8.057123, ' yes': -9.752872, ' The': -10.5015745}
{' Yes': -0.0705855, ' No': -2.704859, 'Yes': -7.01659, '\n': -9.116755, ' ': -9.193258}
{' Yes': -0.10394054, ' No': -2.3268063, 'Yes': -7.364564, 'No': -9.003438, ' The': -9.127355}
{' Yes': -0.06568711, ' No': -2.76857, 'Yes': -7.771453, ' yes': -8.449285, ' The': -9.726641}
{' Yes': -0.021332677, ' No': -3.9195583, 'Yes': -6.9212613, ' ': -9.500347, '\n': -9.668656}
{' Yes': -0.00076759665, 'Yes': -7.2610636, ' yes': -10.5916195, ' No': -10.97061, ' YES': -11.318999}
{' Yes': -0.063054845, ' No': -2.8084407, 'Yes': -7.483152, ' The': -9.518758, 'No': -9.83311}
{' Yes': -0.008442016, ' No': -4.8707976, 'Yes': -7.834369, ' Ghost': -9.135293, ' The': -9.539794}
{' Yes': -0.0024015098, ' No': -6.763876, ' Shirt': -7.30259, 'Yes': -7.615827, ' yes': -10.181314}
{' Yes': -0.0003440501, 'Yes': -8.146509, ' yes': -10.497969, ' No': -11.027332, ' ': -12.438396}
{' Yes': -0.03706519, ' No': -3.334224, 'Yes': -7.3409095, ' yes': -10.393744, 'No': -10.884736}
{' Yes': -0.016349232, ' No': -4.230487, 'Yes': -6.9080267, ' The': -7.9861345, ' Pants': -8.627397}
{' Yes': -0.0015179839, 'Yes': -7.1938868, ' The': -7.8410563, ' yes': -8.8941145, ' No': -9.18312}
{' Yes': -0.13178326, ' Board': -2.4098287, ' No': -3.6781008, 'Yes': -6.009977, ' B': -6.56598}
{' Yes': -0.0024885677, 'Yes': -6.4355626, ' No': -8.056802, ' yes': -8.471068, ' The': -8.489102}
{' Yes': -0.023508733, ' No': -3.8051326, 'Yes': -7.599243, ' The': -8.627499, ' yes': -8.908916}
{' Yes': -0.016174275, ' No': -4.173288, 'Yes': -7.81621, ' The': -9.655151, ' yes': -9.712393}
{' Yes': -0.07410719, ' No': -2.6860075, ' The': -6.332053, 'Yes': -7.151814, '\n': -8.170744}
{' Yes': -0.0007312708, 'Yes': -7.5209627, ' yes': -9.42064, ' No': -9.457926, ' ': -11.26413}
{' Yes': -0.21210378, ' No': -1.664132, 'Yes': -7.0805345, 'No': -8.051769, ' yes': -8.45976}
{' Yes': -0.018976524, ' No': -4.015833, 'Yes': -7.6001496, ' yes': -9.388878, ' ': -9.51683}
{' Yes': -0.005147069, ' No': -5.4485083, 'Yes': -7.3142133, ' yes': -9.269147, ' ': -10.792901}
{' Yes': -0.14468357, ' No': -2.0151498, ' Throw': -7.894508, ' The': -7.9327025, 'Yes': -8.310447}
{' Yes': -0.0015926647, ' No': -6.880893, 'Yes': -8.332935, ' The': -8.494911, ' yes': -9.613654}
{' Yes': -0.0013044775, ' No': -7.4002395, 'Yes': -7.644832, ' yes': -9.40041, ' The': -9.748049}
{' Yes': -0.05812741, ' Women': -3.0301237, ' No': -5.1031675, 'Yes': -6.972935, ' ': -7.548653}
{' Yes': -0.006244911, 'Yes': -5.6750607, ' No': -6.474648, ' yes': -7.7693377, ' Ank': -8.551226}
{' Yes': -0.0034688883, ' No': -6.078086, 'Yes': -7.507287, ' yes': -8.195596, '\n': -8.4393835}
{' No': -0.05755758, ' Yes': -2.9046566, 'No': -7.5875998, ' Los': -8.302794, ' ': -8.864642}
{' Yes': -0.0077920337, ' No': -5.0590196, 'Yes': -7.115069, ' The': -8.604206, ' yes': -8.696688}
{' Yes': -0.0010922673, ' No': -7.3817606, 'Yes': -7.950448, ' yes': -10.415881, '\n': -10.456933}
{' Yes': -0.16879308, ' No': -1.8686354, 'Yes': -7.4766717, ' The': -9.046179, 'No': -9.069624}
{' Yes': -0.00036658617, 'Yes': -8.009941, ' yes': -10.690771, ' YES': -12.674648, ' ': -12.771956}
{' Yes': -0.00069327606, 'Yes': -7.3639965, ' yes': -10.131152, '\n': -12.01992, ' ': -12.302645}
{' Yes': -0.053946037, ' No': -2.967711, 'Yes': -7.38184, ' ': -8.691174, '\n': -9.009802}
{' Yes': -0.0009984109, ' No': -7.472882, 'Yes': -8.059495, ' yes': -9.725349, ' ': -11.127205}
{' No': -0.3651835, ' Yes': -1.1896902, 'No': -8.057709, ' ': -8.198793, ' Lo': -8.213659}
{' Yes': -0.52214354, ' No': -0.9034245, ' The': -7.8612185, '\n': -8.135066, ' ': -8.223666}
{' No': -0.0047801724, ' Yes': -5.4472485, 'No': -7.9880733, ' ': -10.031267, ' Below': -10.69257}
{' No': -0.068030074, ' Yes': -2.7620854, 'No': -7.230206, ' Below': -7.2855153, ' ': -7.9729657}
{' Yes': -0.002707826, ' No': -6.30766, 'Yes': -7.4009356, ' yes': -9.139869, '\n': -9.733552}
{' Yes': -0.0039835223, ' No': -5.9334035, 'Yes': -7.0776143, ' yes': -8.749757, ' YES': -9.089628}
{' Yes': -0.0076651126, ' No': -5.1923003, 'Yes': -6.8129854, ' ': -8.193242, ' Your': -8.290023}
{' Yes': -0.079078406, ' No': -2.6124666, 'Yes': -6.7958584, ' The': -7.5242796, ' yes': -7.547845}
{' No': -0.0029676666, 'No': -6.538806, ' Yes': -6.6547637, ' ': -9.377519, ' no': -9.825917}
{' Yes': -0.59111005, ' No': -0.80948806, 'Yes': -8.107085, 'No': -8.153821, ' The': -8.389203}
{' Yes': -0.042289827, ' Devil': -3.8433838, ' No': -4.076902, 'Yes': -7.1707897, ' yes': -7.262116}
{' Yes': -0.057717383, ' No': -2.9694815, ' The': -6.088658, ' Devil': -6.833995, ' yes': -7.607117}
{' Yes': -0.12171447, ' No': -2.1770484, ' The': -7.6082344, 'Yes': -7.883902, ' yes': -9.227615}
{' Yes': -0.0008042809, 'Yes': -7.5330033, ' yes': -9.18067, ' No': -9.408298, ' ': -10.33159}
{' Yes': -0.108220175, ' No': -2.2854147, 'Yes': -7.6225805, ' The': -9.276704, ' yes': -9.48403}
{' Yes': -0.00724434, ' No': -5.015543, 'Yes': -7.816471, ' yes': -9.520906, '\n': -9.774933}
{' Yes': -0.2744558, ' No': -1.5018518, ' Worst': -4.1905665, 'Yes': -7.2581186, ' The': -7.750351}
{' Yes': -0.19779663, ' No': -1.7256039, 'Yes': -7.352303, 'No': -8.427731, ' Worst': -8.50034}
{' Yes': -0.13633434, ' No': -2.070819, 'Yes': -7.2261586, ' The': -8.06874, ' ': -9.0977125}
{' Yes': -0.08225054, ' No': -2.8779714, ' Pound': -4.170332, ' P': -5.7208076, 'Yes': -6.175489}
{' Yes': -0.029857988, ' No': -3.553965, 'Yes': -7.6123943, ' The': -9.611866, ' yes': -9.69549}
{' Yes': -0.0010661926, 'Yes': -7.077426, ' No': -9.302956, ' yes': -9.739744, ' Dirty': -10.108477}
{' Yes': -0.00070974004, 'Yes': -7.460174, ' ': -10.045904, ' yes': -10.173495, '\n': -10.85544}
{' Yes': -0.00091935863, 'Yes': -7.3597064, ' yes': -9.332407, ' No': -9.734598, ' The': -10.157463}
{' Yes': -0.0041897623, ' E': -6.2190733, 'Yes': -6.8445883, ' erupt': -7.5043693, ' yes': -8.318297}
{' No': -1.3182551, ' Yes': -1.6806294, 'rupt': -1.8752009, ' E': -1.9729983, ' Ru': -2.5159147}
{' Yes': -0.00076998264, 'Yes': -7.4459023, ' yes': -9.367099, '\n': -10.09718, ' The': -10.652001}
{' Yes': -0.0006858805, 'Yes': -7.5900946, ' No': -9.297986, ' yes': -9.844781, '\n': -11.211428}
{' Yes': -0.0058447556, ' No': -5.643732, ' Armor': -6.379408, 'Yes': -8.0634575, ' The': -8.798189}
{' Yes': -0.028017668, ' No': -3.652699, ' The': -7.1549077, 'Yes': -7.565718, ' yes': -8.632294}
{' Yes': -0.026236096, ' No': -3.7281115, ' Ex': -7.359848, ' Prec': -7.8830037, 'Yes': -8.044769}
{' Yes': -0.010564161, ' No': -4.6605997, 'Yes': -7.7392664, ' Ex': -8.853641, ' The': -8.903848}
{' Yes': -0.01684447, ' Still': -4.156197, 'Yes': -7.302554, ' No': -8.963877, ' yes': -9.114588}
{' Yes': -0.00239906, ' No': -7.09472, 'Yes': -7.656989, ' The': -7.844871, ' yes': -8.128713}
{' Yes': -0.027319973, ' No': -3.654006, 'Yes': -6.9536767, 'No': -9.944118, '\n': -10.493079}
{' Yes': -0.0009246085, 'Yes': -7.4535494, ' No': -8.102828, ' yes': -10.448659, ' ': -12.211006}
{' Yes': -0.0012359635, 'Yes': -6.797548, ' yes': -10.107746, ' Purs': -10.853314, ' YES': -11.093202}
