{' Up': -0.2724869, ' up': -1.4387046, ' "': -7.1159296, ' UP': -8.748977, ' Down': -9.052027}
{' Down': -0.48776838, ' down': -0.96134776, 'Down': -6.5304947, 'down': -6.562836, ' Up': -7.4001164}
{' Up': -0.9814437, ' Down': -1.0061611, ' down': -1.6075555, ' up': -2.8411925, 'down': -7.9503307}
{' Up': -0.33105332, ' Down': -1.9160962, ' up': -2.4820447, ' down': -2.9935575, ' 3': -8.336308}
{' Up': -0.6800029, ' Down': -1.1413621, ' down': -2.3003109, ' up': -2.6135986, 'down': -8.487425}
{' Down': -0.43225998, ' down': -1.1753249, ' Up': -3.287351, ' up': -5.5049796, 'down': -7.582526}
{' down': -0.966516, ' up': -1.0810962, ' Up': -1.6144652, ' Down': -2.5887504, 'down': -5.8724337}
{' down': -0.26311612, ' Down': -2.2748978, ' up': -2.3874924, ' Up': -3.570777, 'down': -5.0595484}
{' down': -0.884245, ' up': -1.142912, ' Up': -1.8434315, ' Down': -2.2723866, 'down': -5.6749415}
{' down': -0.29245654, ' Down': -1.5212582, ' up': -4.3225255, ' Up': -4.4361315, 'down': -5.0030293}
{' Down': -0.9417965, ' Up': -1.0239804, ' down': -1.9126331, ' up': -2.2813637, 'down': -7.9675794}
{' Down': -0.5390621, ' down': -0.87725985, 'down': -7.7535167, 'Down': -8.190009, ' Up': -10.757812}
{' Up': -0.12547413, ' up': -2.1454763, ' Down': -8.171977, ' UP': -8.186404, ' "': -9.188132}
{' Down': -0.61645305, ' down': -0.7780666, 'down': -7.5318522, 'Down': -8.407518, ' Up': -10.374554}
{' Down': -0.5722704, ' down': -1.2766064, ' Up': -2.0726633, ' up': -3.6471012, 'down': -5.871979}
{' down': -0.6696631, ' Down': -0.7297197, 'down': -5.5394044, 'Down': -6.352343, ' Up': -8.671144}
{' Up': -0.11439223, ' up': -2.3452995, ' Down': -4.809977, ' down': -5.848385, ' "': -7.856257}
{' Down': -0.55683947, ' down': -0.85932964, 'down': -6.0418916, 'Down': -6.8933735, ' Up': -9.927328}
{' Up': -0.66403466, ' up': -1.677411, ' down': -1.720189, ' Down': -2.1650455, 'down': -6.668256}
{' down': -0.3261234, ' Down': -1.2924644, 'down': -5.932658, 'Down': -7.0243635, ' DOWN': -9.640676}
{' Up': -0.78548044, ' down': -1.5087737, ' up': -1.7604235, ' Down': -1.9369696, ' "': -5.700086}
{' down': -0.57409024, ' Down': -0.841077, 'down': -5.6445665, 'Down': -6.529397, ' "': -8.670438}
{' down': -0.5775612, ' Down': -1.6748378, ' up': -1.9308499, ' Up': -2.2726753, 'down': -6.2677693}
{' down': -0.20766765, ' Down': -1.6950392, 'down': -6.0884504, ' up': -7.3614836, 'Down': -7.6855683}
{' Up': -0.6808563, ' up': -0.72525173, ' down': -5.0541205, ' Down': -6.131948, 'up': -8.152366}
{' down': -0.33454973, ' Down': -1.2674053, 'down': -6.244833, 'Down': -7.6476502, ' up': -8.770334}
{' Up': -0.4965104, ' up': -1.7054472, ' down': -2.110625, ' Down': -2.5001266, 'up': -6.32326}
{' down': -0.39344555, ' Down': -1.144466, 'down': -5.345674, 'Down': -6.273465, ' DOWN': -8.782645}
{' Up': -0.48435885, ' up': -1.9024268, ' down': -2.0862896, ' Down': -2.2536535, ' "': -6.5311704}
{' down': -0.5753168, ' Down': -0.84812295, 'down': -5.0668006, 'Down': -5.9803762, ' DOWN': -8.413417}
{' Up': -0.4800422, ' Down': -1.3411568, ' down': -2.7640252, ' up': -2.917998, ' "': -7.4490094}
{' Down': -0.2054918, ' down': -1.6956459, 'down': -6.656577, 'Down': -7.0804935, ' "': -9.600673}
{' Up': -0.028981673, ' up': -3.5853152, ' UP': -8.3594675, ' "': -8.477347, ' Down': -8.47825}
{' Down': -0.09429613, ' down': -2.418307, 'down': -7.7007637, 'Down': -7.8889165, ' "': -10.0396}
{' down': -0.8246311, ' up': -0.83657867, ' Up': -2.5562117, ' Down': -3.2787802, 'down': -5.2239614}
{' down': -0.20539701, ' Down': -1.789122, 'down': -4.171017, 'Down': -5.994564, ' ': -7.7149925}
{' Up': -0.6772462, ' up': -0.8240892, ' down': -3.5787103, ' Down': -4.3506107, 'up': -5.357895}
{' down': -0.21537277, ' Down': -2.3045602, ' up': -2.7812276, ' Up': -4.0854745, 'down': -4.412194}
{' Down': -0.5770831, ' down': -0.9413467, ' Up': -3.2871318, ' up': -4.6176734, 'down': -7.1974883}
{' Down': -0.44569898, ' down': -1.0552113, ' Up': -4.8111105, ' up': -6.107428, 'down': -7.1653776}
{' Up': -0.84982437, ' up': -1.4952806, ' down': -1.6783004, ' Down': -1.8264593, 'down': -8.167626}
{' down': -0.378206, ' Down': -1.1598737, 'down': -6.987836, 'Down': -8.620196, ' Up': -8.836587}
{' down': -0.6557164, ' Down': -0.7676186, ' Up': -4.68582, ' up': -5.672638, 'down': -5.7581596}
{' Down': -0.7057934, ' down': -0.7112198, ' Up': -4.92283, ' up': -5.469385, 'down': -5.882942}
{' down': -1.024211, ' Down': -1.1075431, ' Up': -1.6860248, ' up': -2.100444, 'down': -6.310319}
{' down': -0.28551215, ' Down': -1.4223299, 'down': -5.7954607, ' up': -6.2732453, ' Up': -6.432778}
{' down': -0.27696395, ' Down': -1.438957, 'down': -5.8569965, ' up': -7.452165, ' Up': -7.4590797}
{' down': -0.47631776, ' Down': -1.0847467, ' Up': -3.775098, ' up': -4.273326, 'down': -5.8412523}
{' down': -0.82780546, ' Down': -1.2445192, ' Up': -1.806409, ' up': -2.2226954, 'down': -6.616232}
{' down': -0.21814817, ' Down': -1.6483393, 'down': -6.1257296, 'Down': -7.5517125, ' up': -7.767508}
{' Down': -0.6901116, ' down': -0.81898534, ' Up': -3.1692832, ' up': -4.3289165, 'down': -6.485441}
{' Down': -0.46186197, ' down': -1.0874515, ' Up': -3.6963878, ' up': -5.226228, 'down': -6.4053106}
{' Up': -1.0684667, ' Down': -1.2563729, ' down': -1.4910208, ' up': -1.9318147, 'down': -7.069571}
{' down': -0.48027688, ' Down': -0.9808433, 'down': -6.1435437, ' Up': -6.1664033, ' up': -6.592728}
{' down': -0.63309276, ' Down': -0.7845095, 'down': -5.1428523, ' Up': -5.692354, 'Down': -6.148868}
{' down': -0.42267865, ' Down': -1.1442688, ' Up': -4.384438, 'down': -4.981822, ' up': -5.4072328}
{' Down': -1.0174557, ' down': -1.0915867, ' Up': -1.4126965, ' up': -2.9287295, 'down': -5.841026}
{' down': -0.43356457, ' Down': -1.0605901, 'down': -5.6194143, 'Down': -6.563725, ' Up': -8.296073}
{' Down': -0.19099545, ' down': -2.104112, ' Up': -3.0545514, ' up': -5.817842, 'down': -7.0129023}
{' Down': -0.13324447, ' down': -2.1951911, ' Up': -4.4907084, 'down': -7.020171, ' up': -7.581496}
{' Up': -0.10580898, ' up': -3.0702236, ' Down': -3.0758843, ' down': -4.950024, ' UP': -8.499523}
{' Down': -0.3002623, ' down': -1.3588637, 'down': -6.3608866, 'Down': -7.591302, ' "': -9.530785}
{' down': -0.16619854, ' Down': -2.0753438, 'down': -4.286218, ' up': -4.887159, ' Up': -5.657057}
{' down': -0.122902274, ' Down': -2.4942515, ' up': -4.181784, 'down': -4.412304, ' Up': -5.614619}
{' down': -0.42552218, ' up': -1.6202683, ' Down': -2.5908186, ' Up': -2.7968733, 'down': -4.7704663}
{' down': -0.09561385, ' Down': -2.5820508, 'down': -4.3111916, 'Down': -6.33185, ' ': -8.888659}
{' Down': -0.11953662, ' down': -2.19012, 'Down': -8.3034525, 'down': -8.401114, ' Up': -8.414344}
{' Up': -0.17364347, ' up': -1.9036734, ' Down': -4.9746094, ' down': -5.7832375, ' "': -8.826107}
{' Down': -0.22958195, ' down': -1.6112213, ' Up': -5.482918, ' up': -7.363493, 'Down': -8.078112}
{' Up': -0.13807972, ' up': -2.310319, ' Down': -3.707572, ' down': -5.2999334, ' UP': -9.332989}
{' Down': -0.22720157, ' down': -1.7145044, ' Up': -4.041601, ' up': -5.881986, 'down': -6.578943}
{' Up': -0.59335417, ' Down': -1.6512938, ' up': -2.0422962, ' down': -2.0897741, 'down': -7.1159234}
{' Up': -0.24141285, ' up': -2.285364, ' Down': -2.418434, ' down': -3.792522, 'Up': -8.023597}
{' Down': -0.12717052, ' down': -2.3594396, ' Up': -3.8928108, ' up': -5.997774, 'Down': -6.932873}
{' Down': -0.14062932, ' down': -2.5818105, ' Up': -2.9795594, ' up': -6.00704, 'Down': -6.70718}
{' Down': -0.2717257, ' down': -1.714942, ' Up': -2.9787283, ' up': -5.5629263, 'down': -6.5707903}
{' Up': -0.19958219, ' up': -2.2605927, ' Down': -2.8732193, ' down': -3.98141, ' UP': -7.51167}
{' Down': -0.13869475, ' down': -2.1646862, ' Up': -4.498127, ' up': -6.664947, 'Down': -6.802223}
{' Down': -0.43313995, ' down': -1.1650106, ' Up': -3.591379, ' up': -4.6579247, 'down': -6.5147014}
{' Up': -0.5869088, ' up': -1.2150769, ' down': -2.4700837, ' Down': -2.7877965, ' "': -8.251358}
{' down': -0.994768, ' Down': -1.3625449, ' Up': -1.6182517, ' up': -1.7521418, 'down': -6.632171}
{' Up': -0.71074057, ' up': -1.6014113, ' Down': -1.6074613, ' down': -2.254684, 'down': -7.326766}
{' Up': -0.2850684, ' Down': -2.135395, ' up': -2.5564594, ' down': -3.0228212, 'down': -6.925491}
{' Down': -0.4991764, ' down': -0.9967198, ' Up': -4.315357, 'down': -5.349566, 'Down': -5.803257}
{' Up': -0.23300499, ' up': -2.1934369, ' Down': -2.6948864, ' down': -3.6235802, 'Up': -7.3092337}
{' Down': -0.1606293, ' down': -2.0024223, ' Up': -4.8343353, 'Down': -6.1622577, 'down': -6.302036}
{' Down': -0.03161334, ' down': -4.006446, ' Up': -4.3971434, 'Down': -8.264963, ' up': -8.811778}
{' Up': -0.5096642, ' Down': -0.98461884, ' down': -4.156799, ' up': -4.6586146, ' "': -8.300529}
{' Down': -0.037249226, ' down': -3.3365138, ' Up': -7.9678383, 'Down': -7.999237, 'down': -8.281406}
{' Up': -0.019782469, ' up': -4.3158197, ' Down': -5.151063, ' down': -8.528647, ' UP': -9.056218}
{' down': -0.6953286, ' Down': -1.1471033, ' Up': -2.3131301, ' up': -2.7422664, 'down': -4.3728704}
{' down': -0.5314931, ' Down': -1.1991662, ' Up': -2.940373, ' up': -3.409907, 'down': -4.0764933}
{' Up': -0.5169864, ' up': -1.0813366, ' down': -3.428079, ' Down': -3.690654, 'Up': -5.938913}
{' Down': -0.75345033, ' down': -0.8244439, ' Up': -3.0562878, ' up': -3.5317266, 'down': -4.785187}
{' down': -0.3819492, ' Down': -1.1569602, 'down': -6.557362, 'Down': -7.717131, ' up': -8.056231}
{' Up': -0.3301687, ' up': -1.2917527, ' Down': -5.7047815, ' down': -6.028979, ' UP': -7.880526}
{' down': -0.46560207, ' Down': -0.99731165, 'down': -6.851289, ' up': -7.0534887, ' Up': -7.2701764}
{' up': -0.6090576, ' Up': -0.7964966, ' down': -5.9209332, ' Down': -6.7230787, ' UP': -6.920277}
{' down': -0.0996556, ' Down': -2.5601506, ' even': -5.156422, 'down': -5.249291, ' Even': -5.384873}
{' up': -0.64157456, ' Up': -0.7993563, ' e': -4.9278617, ' Even': -5.016172, ' even': -5.2892184}
{' down': -0.17496456, ' Down': -1.8899494, 'down': -5.174499, ' e': -6.0334105, 'Down': -6.9658847}
{' up': -0.5481126, ' Up': -0.86824, 'up': -7.189496, ' UP': -7.3323474, 'Up': -7.3756523}
{' down': -0.19361125, ' Down': -1.816639, 'down': -4.9679313, ' Even': -6.1828284, ' even': -6.2878375}
{' Up': -0.47529295, ' up': -0.99317056, ' ': -6.5386586, ' e': -6.6288896, ' Even': -6.861712}
{' down': -0.14460118, ' Down': -2.2703183, ' e': -3.971475, 'down': -4.8163347, ' up': -6.4359493}
{' up': -0.3564883, ' Up': -1.219474, 'up': -6.5814977, ' UP': -6.99536, 'Up': -7.2982445}
{' down': -0.06162816, ' Down': -3.2509592, ' even': -4.8284225, 'down': -5.359981, ' e': -5.673299}
{' up': -0.19884412, ' Up': -1.7515519, ' e': -5.8568807, 'up': -6.646722, ' down': -7.28604}
{' down': -0.097371235, ' Down': -2.5760453, ' e': -4.9065027, 'down': -5.2097692, ' up': -6.051211}
{' up': -0.19926567, ' Up': -1.7283221, ' UP': -6.8477964, 'up': -6.903753, 'Up': -7.8288164}
{' down': -0.39275903, ' Down': -1.1582086, 'down': -4.935495, 'Down': -6.172788, ' ': -7.1605906}
{' Up': -0.30052912, ' up': -1.394178, ' ': -6.102865, ' down': -6.3611903, ' Down': -6.3941436}
{' down': -0.4197371, ' Down': -1.113314, 'down': -4.690777, 'Down': -5.873308, ' e': -6.9297795}
{' Up': -0.49673542, ' up': -0.9531049, 'Up': -6.293139, ' UP': -6.485778, 'up': -6.6054463}
{' e': -0.3572243, ' down': -2.221276, ' Even': -2.4092376, ' even': -2.8136394, ' Down': -3.5346973}
{' e': -0.2888617, ' Up': -1.9120935, ' up': -2.455318, ' Even': -4.669328, ' ': -5.8838477}
{' e': -0.5186521, ' down': -1.4708654, ' Down': -1.8485357, ' up': -5.683218, 'down': -5.8446484}
{' Up': -0.65065444, ' up': -0.8428122, ' e': -3.134467, ' UP': -6.59273, 'up': -7.0541997}
{' down': -0.1273103, 'down': -2.7509465, ' Down': -3.2042942, 'Down': -5.276486, ' even': -5.708925}
{' up': -0.24710263, ' Up': -1.6814097, 'up': -3.6961439, 'Up': -5.4322395, ' ': -6.3477244}
{' down': -0.09433196, 'down': -3.102074, ' Down': -3.2122614, 'Down': -5.865048, ' e': -7.3462744}
{' up': -0.21509047, ' Up': -1.8221079, 'up': -3.7898145, 'Up': -5.054543, ' UP': -6.322668}
{' Down': -0.7496938, ' down': -1.0643473, ' Up': -2.124528, ' up': -2.7747335, 'down': -7.9199915}
{' Down': -0.6738864, ' down': -0.7307272, ' Up': -5.220883, ' up': -5.947432, 'down': -7.7003427}
{' down': -0.61425394, ' Down': -0.784397, ' Up': -6.7314277, ' up': -7.243007, 'down': -7.7944064}
{' down': -1.142959, ' Down': -1.243808, ' up': -1.575685, ' Up': -1.684749, 'down': -8.351943}
{' Down': -0.27542484, ' down': -1.9653683, ' Up': -2.4828033, ' up': -4.1583514, 'Down': -7.1599917}
{' Down': -0.50544924, ' Up': -1.6387289, ' down': -1.7716044, ' up': -3.47216, 'Down': -7.3252063}
{' Down': -0.44478753, ' down': -1.1565892, ' Up': -3.4215083, ' up': -4.5919642, 'down': -7.0834417}
{' Up': -0.633697, ' Down': -1.1413456, ' up': -2.4097266, ' down': -2.8259387, 'Down': -8.084891}
{' Up': -0.7732445, ' Down': -0.7820966, ' down': -2.8878343, ' up': -3.7059746, 'Down': -7.974706}
{' Down': -0.2220599, ' down': -1.6953762, ' Up': -4.335896, ' up': -6.7994027, 'Down': -7.2240224}
{' Down': -0.34353808, ' down': -1.3115177, ' Up': -4.062986, ' up': -5.9329033, 'Down': -7.2600403}
{' Up': -0.42196554, ' Down': -1.3929642, ' up': -2.8764236, ' down': -3.2472465, 'Down': -8.459197}
{' down': -1.2912234, ' Down': -1.310665, ' Up': -1.4132268, ' up': -1.5578364, 'down': -7.3252254}
{' down': -0.66528714, ' Down': -0.94540995, ' Up': -2.9344978, ' up': -3.154852, 'down': -6.9974365}
{' down': -0.69989204, ' Down': -0.9280854, ' Up': -2.7412968, ' up': -3.171301, 'down': -7.016184}
{' up': -1.2092727, ' Up': -1.3256304, ' down': -1.4449904, ' Down': -1.6157308, 'down': -7.4108033}
{' Down': -0.32355908, ' Up': -1.6744921, ' down': -2.5587122, ' up': -4.666889, 'Down': -6.7002563}
{' Down': -0.1609466, ' down': -1.9503485, ' Up': -5.6702976, 'Down': -6.4070344, 'down': -6.938601}
{' Down': -0.2614664, ' down': -1.5284436, ' Up': -4.6501994, 'Down': -6.6044793, ' up': -6.8136525}
{' Down': -0.40748596, ' Up': -1.59519, ' down': -2.1902559, ' up': -4.025709, 'Down': -6.9138274}
{' Up': -0.34897912, ' Down': -1.3376474, ' down': -4.136023, ' up': -4.158501, ' UP': -9.006087}
{' Down': -0.09350247, ' down': -2.5436769, ' Up': -4.682635, 'Down': -7.54356, 'down': -7.714598}
{' Down': -0.080191225, ' down': -2.8658395, ' Up': -3.978312, ' up': -7.348513, 'Down': -7.780356}
{' Down': -0.6449566, ' Up': -0.8333264, ' down': -3.7021675, ' up': -4.1644497, 'Down': -8.477347}
{' Down': -0.7662293, ' Up': -1.4488349, ' down': -1.4938923, ' up': -2.685188, 'Down': -5.7440596}
{' Down': -0.6854626, ' down': -1.0200974, ' Up': -2.3546576, ' up': -3.4562736, 'down': -5.4803762}
{' down': -0.68179804, ' Down': -0.8385478, ' Up': -3.3962219, ' up': -4.1115694, 'down': -4.9550824}
{' Up': -1.1833569, ' down': -1.3768803, ' up': -1.4606891, ' Down': -1.5928456, 'down': -6.025371}
{' Up': -0.22267446, ' up': -1.8356296, ' Down': -3.5680764, ' down': -4.4571943, ' "': -9.099024}
{' Down': -0.36300257, ' down': -1.229366, ' Up': -4.8095107, ' up': -5.7116714, 'down': -8.245875}
{' Up': -0.64449424, ' up': -0.7613804, ' down': -5.492524, ' Down': -5.5819693, 'up': -9.336909}
{' down': -0.3193421, ' Down': -1.2988324, 'down': -7.8463955, 'Down': -9.357756, ' DOWN': -10.927372}
{' Up': -0.4682658, ' Down': -1.2102625, ' down': -3.099661, ' up': -3.5209851, ' "': -7.9387455}
{' Down': -0.20247672, ' down': -1.9324057, ' Up': -3.386322, ' up': -5.8452067, 'down': -6.8562255}
{' Up': -0.13442521, ' up': -2.7283008, ' Down': -2.9665117, ' down': -4.7756376, 'up': -8.634688}
{' Down': -0.24391712, ' down': -1.5433937, 'down': -6.2608867, 'Down': -7.3108373, ' Up': -8.835862}
{' Down': -0.28189945, ' Up': -1.5590925, ' down': -3.463128, ' up': -6.2801995, ' "': -7.2043786}
{' Down': -0.064728156, ' down': -2.8330157, ' Up': -6.431553, 'Down': -6.9204636, 'down': -6.97711}
{' Up': -0.035472192, ' Down': -3.9607098, ' up': -4.25892, ' down': -6.8611975, 'Up': -8.48425}
{' Down': -0.08865679, ' down': -2.4920917, 'down': -6.8382597, 'Down': -6.9983683, ' "': -9.833568}
{' down': -0.73398113, ' Down': -0.9863158, ' Up': -2.3272734, ' up': -3.0408506, 'down': -6.9570355}
{' down': -1.1765888, ' Up': -1.3098915, ' Down': -1.3727766, ' up': -1.7896296, 'down': -7.3190007}
{' up': -0.7220684, ' Up': -0.9353519, ' down': -2.5124164, ' Down': -3.2260873, 'up': -7.701017}
{' down': -0.25360417, ' Down': -1.544553, ' up': -5.251313, ' Up': -5.624238, 'down': -6.59666}
{' Down': -0.71720487, ' Up': -0.76400733, ' down': -3.329723, ' up': -4.9272532, ' "': -6.8476214}
{' Down': -0.046391446, ' down': -3.2456405, ' Up': -5.5665493, 'Down': -6.6011887, 'down': -6.9494762}
{' Up': -0.058322437, ' Down': -3.0460217, ' up': -4.973136, ' down': -6.5102663, 'Up': -7.92085}
{' Down': -0.112228, ' down': -2.2746139, 'Down': -6.4207006, 'down': -6.438781, ' DOWN': -9.971105}
{' Up': -0.44881564, ' Down': -1.0791886, ' down': -4.329585, ' up': -4.8963575, ' "': -7.1012583}
{' Down': -0.041783564, ' down': -3.4896443, ' Up': -4.6303935, 'Down': -8.398114, 'down': -8.591796}
{' Up': -0.019470455, ' up': -3.997732, ' Down': -7.216753, 'Up': -9.684256, ' UP': -9.897259}
{' Down': -0.14363882, ' down': -2.0171168, 'down': -7.6343827, 'Down': -8.376577, ' "': -10.754736}
{' Down': -0.8233394, ' down': -0.8513469, ' Up': -2.4289627, ' up': -3.4901352, 'down': -4.6319046}
{' down': -0.86424816, ' Down': -0.98151386, ' Up': -2.1315649, ' up': -2.6623573, 'down': -4.5785995}
{' Up': -0.519568, ' up': -1.0373998, ' down': -3.7333322, ' Down': -3.909512, 'up': -5.73781}
{' down': -0.43342683, ' Down': -1.0859919, 'down': -4.478253, 'Down': -5.987042, ' ': -8.822188}
{' Down': -1.0603422, ' down': -1.1808904, ' Up': -1.4433607, ' up': -2.207456, 'down': -8.262891}
{' Down': -0.7067746, ' down': -0.9460267, ' Up': -2.567216, ' up': -3.2147567, 'down': -7.3931384}
{' Up': -0.85930824, ' up': -1.0448532, ' down': -2.0105324, ' Down': -2.4002953, 'down': -9.6717415}
{' down': -0.5642797, ' Down': -0.8490201, ' Up': -6.271223, ' up': -6.835087, 'down': -8.257172}
{' Up': -0.8099347, ' Down': -1.1582376, ' down': -1.8936845, ' up': -2.4100075, 'down': -8.137791}
{' Down': -0.5243911, ' down': -1.5193233, ' Up': -1.8392792, ' up': -3.5364628, 'down': -7.279997}
{' Up': -0.9241282, ' Down': -1.0793787, ' down': -1.8292547, ' up': -2.2819088, 'down': -8.098135}
{' Down': -0.44591093, ' down': -1.1330866, ' Up': -3.4879658, ' up': -5.1101923, 'down': -7.4719844}
{' Down': -0.6649468, ' down': -1.1420968, ' Up': -1.9743435, ' up': -3.6460428, 'down': -7.2354345}
{' Up': -0.22665383, ' Down': -2.4073865, ' up': -2.4642334, ' down': -3.6122718, 'Up': -8.52066}
{' Up': -0.2737729, ' up': -1.7478502, ' Down': -3.1997216, ' down': -3.724231, 'Up': -8.740967}
{' down': -0.6458665, ' Down': -0.7609617, ' Up': -5.268591, ' up': -6.1534805, 'down': -7.175518}
{' up': -1.0001407, ' down': -1.0764157, ' Up': -1.5776687, ' Down': -2.4718127, 'down': -8.469163}
{' down': -0.5033939, ' Down': -1.5247351, ' up': -2.266688, ' Up': -2.610667, 'down': -7.819522}
{' up': -0.86659765, ' down': -1.1277081, ' Up': -1.7691169, ' Down': -2.468206, 'down': -8.179723}
{' down': -0.246146, ' Down': -1.9341, ' up': -3.0190322, ' Up': -3.731812, 'down': -7.461371}
{' Down': -0.4129798, ' Up': -1.7943847, ' down': -1.8491142, ' up': -4.4245095, 'Down': -6.4592953}
{' Up': -0.220587, ' Down': -1.9495852, ' up': -3.3606052, ' down': -3.9308417, 'Up': -7.6464496}
{' Up': -0.20319287, ' Down': -2.2169352, ' up': -2.957343, ' down': -3.8284004, 'Up': -7.5821238}
{' Down': -0.3211032, ' down': -1.3173171, ' Up': -5.7446465, 'Down': -6.319026, 'down': -6.623469}
{' Down': -0.815571, ' Up': -1.306986, ' down': -1.4235479, ' up': -3.0984936, 'down': -7.894708}
{' Up': -0.23419599, ' Down': -2.4116957, ' up': -2.4214973, ' down': -3.532614, ' 3': -7.8884625}
{' Down': -0.432169, ' Up': -1.62743, ' down': -2.0074825, ' up': -3.9388273, 'down': -7.945087}
{' Down': -0.59094477, ' down': -1.5428205, ' Up': -1.5535798, ' up': -3.9035974, 'down': -7.7431507}
{' Up': -1.1748619, ' down': -1.212618, ' up': -1.510807, ' Down': -1.7969855, 'down': -5.962713}
{' down': -0.35084772, ' Down': -1.4577088, ' up': -3.4047587, ' Up': -3.9366763, 'down': -5.019842}
{' down': -0.8141603, ' Down': -1.4777821, ' up': -1.8024662, ' Up': -1.8730687, 'down': -5.2977}
{' down': -0.55211097, ' Down': -1.126179, ' Up': -2.9941888, ' up': -3.2869568, 'down': -4.9944935}
{' Up': -0.17175512, ' up': -1.914509, ' Down': -4.893961, ' down': -6.0211396, 'up': -8.56367}
{' Down': -0.51965636, ' down': -0.90492547, 'down': -7.8830957, 'Down': -8.20424, ' DOWN': -10.723655}
{' Up': -0.17421691, ' up': -1.8393322, ' Down': -8.054805, ' UP': -8.345198, ' down': -8.772699}
{' Down': -0.46171084, ' down': -0.9964761, 'down': -7.9807286, 'Down': -8.373621, ' DOWN': -10.767184}
{' Down': -0.3543314, ' down': -1.3836455, ' Up': -3.3306499, ' up': -4.932861, 'down': -5.9130607}
{' Down': -0.44122574, ' down': -1.041228, 'down': -6.1332173, 'Down': -6.777722, ' Up': -8.232859}
{' Up': -0.25937274, ' up': -2.3434238, ' Down': -2.3448124, ' down': -3.3492432, ' "': -7.936151}
{' Down': -0.42068624, ' down': -1.1314884, ' Up': -4.4027095, ' up': -5.380906, 'down': -5.9457884}
{' Up': -0.87373555, ' Down': -1.1613637, ' down': -1.6755792, ' up': -2.5660288, 'down': -6.298637}
{' Down': -0.4146413, ' down': -1.0956774, 'down': -5.9208593, 'Down': -6.1752043, ' DOWN': -8.914094}
{' Up': -0.077148214, ' up': -2.805534, ' Down': -4.8457794, ' down': -6.040349, ' "': -6.0562124}
{' Up': -0.54165256, ' Down': -1.5484047, ' up': -2.149744, ' down': -2.4511318, 'down': -7.009357}
{' down': -1.0133699, ' up': -1.1344484, ' Up': -1.5774168, ' Down': -2.2460988, 'down': -6.696719}
{' down': -0.24181357, ' Down': -1.5572127, 'down': -6.113702, ' up': -7.3086004, 'Down': -7.5004134}
{' Up': -0.5774366, ' up': -0.83354, ' down': -6.0946484, ' Down': -7.0041337, 'up': -8.20643}
{' down': -0.49507782, ' Down': -0.94796824, 'down': -6.29839, 'Down': -7.390339, ' up': -8.451536}
{' Down': -0.9293826, ' down': -1.0864128, ' Up': -1.5817912, ' up': -3.0242004, 'down': -5.030285}
{' down': -0.6494383, ' Down': -0.7615046, 'down': -5.0539217, 'Down': -5.5500402, ' DOWN': -8.5656}
{' Up': -1.1326408, ' down': -1.1905078, ' Down': -1.2990284, ' up': -2.444355, 'down': -5.0970535}
{' Down': -0.61053956, ' down': -0.8129017, 'down': -4.8598757, 'Down': -5.4352064, ' Up': -7.606988}
{' Up': -0.23417641, ' up': -1.849941, ' Down': -3.4645782, ' down': -4.099687, 'up': -6.178159}
{' Down': -0.29184663, ' down': -1.3858579, 'down': -6.3690023, 'Down': -6.9119086, ' "': -8.946731}
{' Up': -0.047888167, ' up': -3.1189978, ' Down': -6.534596, ' "': -7.6741433, ' UP': -8.507335}
{' Down': -0.1209081, ' down': -2.1836007, 'down': -7.3032594, 'Down': -7.6499605, ' "': -9.999801}
{' down': -0.50662017, ' up': -1.4313198, ' Down': -2.6117513, ' Up': -2.6720405, 'down': -4.8569255}
{' down': -0.19669181, ' Down': -1.8083861, 'down': -4.447136, 'Down': -6.07249, ' ': -7.719385}
{' Up': -0.59791327, ' up': -0.8562237, ' down': -4.543384, ' Down': -5.1616225, 'up': -5.843555}
{' down': -0.22534327, ' Down': -2.0526023, ' up': -3.229871, 'down': -4.126209, ' Up': -4.318065}
{' Down': -0.45525476, ' down': -1.1338397, ' Up': -3.334609, ' up': -4.902028, 'down': -7.5622153}
{' Down': -0.43998438, ' down': -1.0993378, ' Up': -4.048724, ' up': -5.4005194, 'down': -7.426808}
{' Up': -0.6999828, ' up': -1.4181682, ' down': -1.9919788, ' Down': -2.084464, 'down': -8.715502}
{' down': -0.36595878, ' Down': -1.1871907, 'down': -7.5750723, ' Up': -7.7938437, ' up': -8.07758}
{' Down': -0.5774993, ' down': -0.8754558, ' Up': -4.212059, ' up': -5.4666286, 'down': -6.1701903}
{' Down': -0.60160047, ' down': -0.86982524, ' Up': -3.884775, ' up': -4.6037216, 'down': -6.402946}
{' down': -0.7401704, ' Down': -0.8629599, ' Up': -2.8497648, ' up': -3.1967914, 'down': -6.5568566}
{' down': -0.3530878, ' Down': -1.2822642, ' up': -4.671907, ' Up': -4.833963, 'down': -6.171876}
{' down': -0.37217373, ' Down': -1.1912273, 'down': -5.9667974, ' Up': -6.2355633, ' up': -6.474417}
{' Down': -0.7138635, ' down': -0.8398381, ' Up': -2.848919, ' up': -4.0602436, 'down': -6.2019024}
{' Down': -0.9404101, ' down': -1.2399304, ' Up': -1.4811604, ' up': -2.3968117, 'down': -7.028358}
{' down': -0.4062021, ' Down': -1.1069677, 'down': -6.2901907, 'Down': -7.417407, ' Up': -7.8997893}
