{' Yes': -0.023977548, ' No': -3.916216, 'Yes': -5.6816344, ' The': -8.715471, 'No': -9.452027}
{' No': -0.14360753, ' Yes': -2.0515225, 'No': -5.387368, 'Yes': -7.6643996, ' The': -9.522704}
{' Yes': -0.069501705, ' No': -2.8026175, 'Yes': -5.2942824, ' The': -7.4721675, 'No': -7.6857924}
{' Yes': -0.004272129, 'Yes': -6.058429, ' No': -6.3577185, ' The': -9.411334, ' yes': -9.710319}
{' Yes': -0.005432953, 'Yes': -5.24268, ' The': -9.442493, ' No': -10.542423, ' yes': -10.948093}
{' Yes': -0.005090035, 'Yes': -5.5824327, ' No': -6.841165, ' The': -8.653623, ' yes': -10.363875}
{' Yes': -0.06612915, ' No': -2.8326998, 'Yes': -5.488773, 'No': -7.490689, ' The': -8.394422}
{' Yes': -0.093447685, ' No': -2.4715986, 'Yes': -5.5848985, 'No': -7.245276, ' Wind': -8.650187}
{' Yes': -0.4683548, ' No': -0.998903, 'No': -5.931533, 'Yes': -6.0664663, ' The': -7.6005435}
{' Yes': -0.0023510836, 'Yes': -6.2698045, ' No': -7.9392934, ' The': -10.253165, ' yes': -10.273677}
{' No': -0.044841018, 'No': -3.692044, ' Yes': -4.0129004, 'Yes': -7.6589594, ' Hate': -9.068828}
{' Yes': -0.4646905, ' No': -1.0015385, 'Yes': -6.2410746, 'No': -6.3248796, ' The': -8.196788}
{' No': -0.05981382, ' Yes': -2.9966383, 'No': -4.916963, 'Yes': -8.136246, ' The': -8.165765}
{' Yes': -0.027767604, ' No': -3.687401, 'Yes': -6.1431565, 'No': -9.3694725, ' The': -9.840361}
{' Yes': -0.002436285, 'Yes': -6.4995155, ' No': -7.049656, ' The': -10.581903, ' yes': -10.742264}
{' Yes': -0.17140535, ' No': -1.865871, 'Yes': -6.1964064, 'No': -7.3327355, ' Not': -10.77217}
{' Yes': -0.020139098, ' No': -4.1487346, 'Yes': -5.5445876, 'No': -8.968053, ' The': -10.04663}
{' Yes': -0.014221979, ' No': -4.4176335, 'Yes': -6.2481885, 'No': -9.764505, ' yes': -10.286221}
{' Yes': -0.0023982245, 'Yes': -6.184704, ' No': -8.288426, ' The': -9.936133, ' yes': -11.101844}
{' Yes': -0.5108717, ' No': -0.92327297, 'No': -6.6958346, 'Yes': -6.743986, ' The': -8.470932}
{' Yes': -0.30036557, ' No': -1.3819925, 'Yes': -5.363611, 'No': -5.982609, ' The': -7.2970443}
{' Yes': -0.0057364246, 'Yes': -5.7087464, ' No': -6.111216, ' The': -9.13142, ' yes': -10.242065}
{' Yes': -0.0826525, ' No': -2.5650303, 'Yes': -6.29185, 'No': -8.338025, ' The': -8.399913}
{' Yes': -0.047403075, ' No': -3.151264, 'Yes': -5.739246, 'No': -8.558946, ' yes': -10.258569}
{' Yes': -0.40541485, ' No': -1.1137793, 'Yes': -6.069664, 'No': -6.320801, ' The': -7.306242}
{' Yes': -0.038948, ' No': -3.4350698, 'Yes': -5.214807, 'No': -8.245408, ' The': -9.041049}
{' Yes': -0.48505053, ' No': -0.9806732, 'No': -5.40909, 'Yes': -5.478096, ' Not': -8.08466}
{' Yes': -0.0065380647, 'Yes': -5.2764525, ' No': -6.649715, ' The': -9.831389, ' yes': -10.737399}
{' No': -0.015811065, 'No': -4.6419935, ' Yes': -5.1200895, 'Yes': -9.933338, ' Not': -11.378344}
{' Yes': -0.31633914, ' No': -1.3459202, 'Yes': -5.0213313, 'No': -5.6078634, ' The': -8.206117}
{' No': -0.15478355, ' Yes': -1.980738, 'No': -5.374077, 'Yes': -7.48224, ' The': -9.004969}
{' Yes': -0.0051691183, 'Yes': -5.853145, ' No': -6.163679, ' The': -8.967983, ' yes': -10.4965725}
{' Yes': -0.20004936, ' No': -1.7242802, 'Yes': -6.1164155, 'No': -7.3075223, ' The': -9.602957}
{' Yes': -0.052318145, ' No': -3.0367541, 'Yes': -5.930225, 'No': -8.62017, ' The': -9.703074}
{' No': -0.049869407, ' Yes': -3.1553266, 'No': -5.2272263, ' The': -8.478956, 'Yes': -8.543485}
{' No': -0.045605328, ' Yes': -3.2215962, 'No': -5.470864, 'Yes': -8.802067, ' Not': -8.963161}
{' Yes': -0.0023993594, 'Yes': -6.409393, ' No': -7.2627482, ' The': -10.798718, ' yes': -11.063622}
{' Yes': -0.058706418, ' No': -2.907938, 'Yes': -6.2291985, ' The': -8.378159, 'No': -8.787237}
{' Yes': -0.014873809, ' No': -4.4124374, 'Yes': -6.009933, ' The': -9.588213, 'No': -9.796702}
{' Yes': -0.032233678, ' No': -3.634353, 'Yes': -5.3179674, 'No': -8.228633, ' The': -9.637898}
{' Yes': -0.076642856, ' No': -2.645006, 'Yes': -6.077085, 'No': -8.020202, ' The': -9.19415}
{' Yes': -0.2951506, ' No': -1.3744409, 'Yes': -6.473329, 'No': -7.1419177, ' The': -8.688044}
{' No': -0.05790135, ' Yes': -2.9545915, 'No': -5.597947, 'Yes': -8.769708, ' The': -9.124931}
{' No': -0.025214955, 'No': -3.6936107, ' Not': -11.506209, ' ': -12.196251, ' Nope': -13.694233}
{' Yes': -0.26856607, ' No': -1.4679909, 'Yes': -5.941015, 'No': -6.783319, ' The': -6.8655224}
{' No': -0.5919507, ' Yes': -0.8216871, 'No': -5.5233316, 'Yes': -5.9697185, ' Not': -8.392776}
{' Yes': -0.005521893, 'Yes': -5.804235, ' No': -6.329035, ' Dive': -7.528135, ' The': -9.3865185}
{' Yes': -0.5356852, ' No': -0.9168555, 'Yes': -4.728951, 'No': -5.13629, ' Not': -9.107547}
{' Yes': -0.0060935947, 'Yes': -5.110021, ' yes': -10.983404, ' The': -11.80322, ' No': -12.209917}
{' Yes': -0.0030212926, 'Yes': -5.822382, ' yes': -10.314685, ' No': -11.479977, ' ': -12.2832365}
{' Yes': -0.0077334675, 'Yes': -4.8845606, ' No': -9.527956, ' yes': -10.499995, ' The': -10.811255}
{' Yes': -0.0043349257, 'Yes': -5.708634, ' No': -7.2246633, ' The': -8.524816, ' yes': -10.030923}
{' Yes': -0.089061975, ' No': -2.509289, 'Yes': -5.790088, 'No': -7.5844116, ' The': -8.901646}
{' Yes': -0.00798811, ' No': -5.2201653, 'Yes': -6.0877013, ' The': -9.025173, ' Not': -9.754795}
{' No': -0.040080473, ' Yes': -3.5161202, 'No': -4.706153, ' The': -8.525416, 'Yes': -8.622521}
{' Yes': -0.018967047, ' No': -4.2790565, 'Yes': -5.333954, 'No': -9.641539, ' yes': -11.035908}
{' Yes': -0.0034435862, 'Yes': -5.898068, ' No': -7.41849, ' The': -10.082126, ' yes': -10.250232}
{' Yes': -0.0037096613, 'Yes': -5.7416377, ' No': -7.756437, ' The': -10.333434, ' yes': -10.892819}
{' No': -0.12740313, 'No': -2.152746, ' Not': -5.987779, ' Unfortunately': -7.261507, ' Yes': -8.91575}
{' No': -0.0054718493, 'No': -5.643058, ' Yes': -6.4886184, ' Unfortunately': -8.722873, ' Not': -9.199235}
{' No': -0.06849613, ' Yes': -2.8193521, 'No': -5.098077, 'Yes': -8.320359, ' The': -9.27983}
{' No': -0.12574676, ' Yes': -2.1772013, 'No': -5.438071, 'Yes': -7.9260125, '\n': -10.474024}
{' No': -0.0043336074, 'No': -5.5368805, ' Yes': -8.034462, ' Unfortunately': -10.823913, ' Not': -10.888988}
{' No': -0.010965187, 'No': -5.0354533, ' Yes': -5.4775424, ' The': -9.603835, ' ': -9.817721}
{' Yes': -0.5260026, ' No': -0.9065168, 'Yes': -6.005321, 'No': -6.074649, ' Not': -8.778354}
{' No': -0.256909, ' Yes': -1.5126158, 'No': -5.466618, 'Yes': -7.131386, ' The': -7.3121853}
{' Yes': -0.38958514, ' No': -1.1489617, 'Yes': -5.8409247, 'No': -6.081443, ' Not': -8.598136}
{' Yes': -0.31440583, ' No': -1.3254702, 'Yes': -6.1998253, 'No': -6.6725407, ' The': -7.904469}
{' Yes': -0.007095219, ' No': -5.3984814, 'Yes': -6.0421805, ' The': -9.4524975, ' yes': -10.355037}
{' Yes': -0.07301724, ' No': -2.6911583, 'Yes': -6.1747813, 'No': -8.178566, ' The': -8.917095}
{' Yes': -0.0042915833, 'Yes': -5.521038, ' No': -8.3141365, ' yes': -10.945032, ' The': -11.828027}
{' Yes': -0.0062446706, 'Yes': -5.0929523, ' yes': -9.876098, ' YES': -11.215781, ' ': -11.537208}
{' Yes': -0.30313694, ' No': -1.3501456, 'Yes': -6.438122, 'No': -7.3920236, ' Not': -10.676661}
{' Yes': -0.03585232, ' No': -3.4254491, 'Yes': -6.076877, 'No': -8.763726, ' The': -9.018988}
{' Yes': -0.03021196, ' No': -3.6763108, 'Yes': -5.5202017, ' The': -8.787664, 'No': -8.913993}
{' Yes': -0.029056346, ' No': -3.7189252, 'Yes': -5.8339667, ' The': -6.7735476, 'No': -9.14437}
{' No': -0.02128342, ' Yes': -4.1361017, 'No': -5.4868817, ' The': -7.709573, ' Unfortunately': -8.445569}
{' Yes': -0.04228647, ' No': -3.2837265, 'Yes': -5.690281, 'No': -8.498476, ' The': -9.016922}
{' Yes': -0.022694485, ' No': -3.904225, 'Yes': -6.2544193, ' The': -8.536443, 'No': -9.70336}
{' Yes': -0.0026915683, 'Yes': -5.93885, ' yes': -10.265523, ' No': -11.984532, ' ': -12.203533}
{' Yes': -0.56412077, ' No': -0.8675246, 'No': -5.1945033, 'Yes': -5.3687778, ' Not': -7.772945}
{' Yes': -0.04522715, ' No': -3.2713568, 'Yes': -5.2121773, ' The': -7.820991, 'No': -8.164361}
{' No': -0.041337002, ' Yes': -3.3893306, 'No': -5.281052, ' Not': -6.9259605, ' ': -8.263439}
{' No': -0.02568378, ' Yes': -3.9262574, 'No': -5.530357, ' Door': -6.590104, ' ': -8.922681}
{' No': -0.1654577, ' Yes': -1.924405, 'No': -5.360303, 'Yes': -6.6382756, ' The': -7.9470963}
{' No': -0.24158828, ' Yes': -1.556625, 'No': -6.0276747, 'Yes': -6.8596163, ' The': -8.884794}
{' No': -0.19815324, ' Yes': -1.7371854, 'No': -5.845185, 'Yes': -7.53311, ' The': -8.974482}
{' No': -0.2260634, ' Yes': -1.6521461, 'No': -4.9293942, 'Yes': -6.7108865, ' Not': -6.8746896}
{' Yes': -0.0064496947, ' No': -5.4539914, 'Yes': -6.235026, ' The': -9.207479, ' yes': -10.392148}
{' Yes': -0.35151848, ' No': -1.2311208, 'Yes': -6.054218, 'No': -6.4234743, ' The': -8.3632345}
{' Yes': -0.012271919, ' No': -4.7726326, 'Yes': -5.631492, 'No': -9.7387705, ' yes': -10.377004}
{' Yes': -0.0108197825, ' No': -4.730504, 'Yes': -6.3258367, ' The': -9.914485, 'No': -10.465091}
{' Yes': -0.6509338, ' No': -0.751289, 'No': -5.70528, 'Yes': -6.072425, ' Most': -7.8483896}
{' Yes': -0.04709776, ' No': -3.22108, 'Yes': -5.349174, ' Most': -7.190625, 'No': -8.125329}
{' Yes': -0.02421738, ' No': -3.853759, 'Yes': -6.019574, 'No': -9.079326, ' The': -9.26035}
{' Yes': -0.0032520907, 'Yes': -6.238357, ' No': -6.705583, ' yes': -10.237259, ' ': -11.651319}
{' Yes': -0.08845869, ' No': -2.539764, 'Yes': -5.632314, ' The': -6.4805593, 'No': -7.894481}
{' Yes': -0.21773282, ' No': -1.6662247, 'Yes': -5.3500986, 'No': -6.415063, ' The': -8.933415}
{' Yes': -0.0052165715, ' No': -5.7319064, 'Yes': -6.3435397, ' The': -9.054746, ' Not': -10.571002}
{' Yes': -0.003528762, 'Yes': -6.160982, ' No': -6.641399, ' The': -10.014172, ' yes': -10.35022}
{' No': -0.46167704, ' Yes': -1.0224967, 'No': -4.963289, 'Yes': -5.8929133, ' Not': -8.734408}
{' Yes': -0.13807951, ' No': -2.083562, 'Yes': -5.7007513, 'No': -7.132075, ' The': -8.6278305}
{' No': -0.043650813, ' Yes': -3.5602467, 'No': -4.288409, 'Yes': -8.271894, ' Not': -8.3841715}
{' No': -0.20855461, ' Yes': -1.7233671, 'No': -4.81002, 'Yes': -6.828647, ' Not': -8.175618}
{' Yes': -0.021528093, ' No': -4.0997734, 'Yes': -5.393938, 'No': -9.139658, ' The': -10.445555}
{' Yes': -0.0028778173, 'Yes': -5.9473734, ' No': -8.855506, ' The': -9.804687, ' yes': -10.035966}
{' Yes': -0.17336228, ' No': -1.867719, 'Yes': -5.7600665, 'No': -6.897195, ' The': -8.400031}
{' Yes': -0.008551241, ' No': -5.149052, 'Yes': -5.955729, ' yes': -10.232539, ' The': -10.530458}
{' No': -0.45506224, ' Yes': -1.0130303, 'No': -6.4506974, 'Yes': -7.2222342, ' The': -9.810867}
{' Yes': -0.052343395, ' No': -3.0782964, 'Yes': -5.457933, 'No': -7.928161, ' The': -8.4611845}
{' Yes': -0.0073753507, 'Yes': -4.95733, ' No': -8.161456, ' yes': -11.252814, ' ': -12.293179}
{' Yes': -0.1967386, ' No': -1.738458, 'Yes': -6.1825724, 'No': -7.4294386, ' The': -9.593719}
{' No': -0.2929413, ' Yes': -1.3937886, 'No': -5.502265, 'Yes': -6.9350266, ' The': -7.4991007}
{' No': -0.035778742, ' Yes': -3.8050256, 'No': -4.3724484, 'Yes': -8.501597, ' Not': -10.191583}
{' Yes': -0.2765945, ' No': -1.4392456, 'Yes': -5.829275, 'No': -6.546152, ' The': -9.990726}
{' No': -0.25526467, ' Yes': -1.5211794, 'No': -5.2676206, 'Yes': -6.4691606, ' Not': -10.289463}
{' No': -0.28170058, ' Yes': -1.4262815, 'No': -5.5279083, 'Yes': -7.122635, ' The': -8.205967}
{' No': -0.5946114, ' Yes': -0.81544805, 'No': -5.7204447, 'Yes': -6.48495, ' The': -7.555648}
{' Yes': -0.0512264, ' No': -3.0867774, 'Yes': -5.563727, 'No': -8.292591, ' The': -8.766712}
{' Yes': -0.118507124, ' No': -2.2773874, 'Yes': -4.9728885, 'No': -6.6002417, ' The': -7.7254252}
{' Yes': -0.018719174, ' No': -4.141728, 'Yes': -6.055956, ' The': -8.74534, 'No': -9.771597}
{' Yes': -0.010083398, ' No': -4.770539, 'Yes': -6.5732102, ' The': -9.178758, 'No': -10.7978525}
{' Yes': -0.0015625182, 'Yes': -6.712137, ' No': -8.367517, ' The': -9.87072, ' yes': -9.911117}
{' Yes': -0.00801581, ' No': -5.489297, 'Yes': -5.59093, ' yes': -9.812018, ' The': -10.680427}
{' Yes': -0.31971142, ' No': -1.3035198, 'Yes': -6.987386, ' The': -7.7781916, 'No': -8.347944}
{' Yes': -0.010309628, ' No': -4.811526, 'Yes': -6.9389896, ' YES': -7.6867566, ' The': -7.8763146}
{' No': -0.04750651, ' Yes': -3.0983582, 'No': -7.071529, ' ': -8.619187, ' Stop': -9.790302}
{' Yes': -0.1003882, ' No': -2.3557858, 'Yes': -7.959856, ' Stop': -9.419533, ' YES': -9.877352}
{' Yes': -0.01678519, ' No': -4.3027344, 'Yes': -5.9850354, ' ': -8.346781, ' T': -9.194996}
{' Yes': -0.042745773, ' No': -3.2011032, 'Yes': -7.408378, '\n': -8.7093725, ' ': -9.208581}
{' No': -0.007016043, ' Yes': -5.235226, 'No': -6.5678105, '\n': -9.602728, ' The': -9.632351}
{' Yes': -0.0039990833, ' No': -5.704806, 'Yes': -7.456275, ' yes': -9.99273, ' The': -10.950591}
{' Yes': -0.06510856, ' No': -2.8930314, ' Wife': -5.172635, 'Yes': -6.6885767, ' ': -8.218226}
{' No': -0.049536016, ' Yes': -3.0528145, 'No': -7.040628, ' ': -9.496351, 'Yes': -9.863315}
{' Yes': -0.27141407, ' No': -1.4426634, 'Yes': -7.8372855, '\n': -7.9970775, ' ': -8.144249}
{' Yes': -0.045308035, ' No': -3.1486995, 'Yes': -7.336216, ' yes': -8.515736, ' The': -8.636021}
{' Yes': -0.5096365, ' No': -0.92248595, 'Yes': -7.1893024, 'No': -7.411375, ' ': -8.950392}
{' Yes': -0.046479415, ' No': -3.1242533, 'Yes': -6.8486276, ' yes': -9.161575, 'No': -9.52806}
{' Yes': -0.0031286138, ' No': -6.076472, 'Yes': -7.4184093, ' yes': -9.310543, ' The': -9.712193}
{' No': -0.022108955, 'No': -4.3666215, ' Yes': -4.7656083, 'Yes': -8.881645, ' no': -8.930019}
{' Yes': -0.007028587, ' No': -5.1131935, 'Yes': -7.624944, ' yes': -8.046262, ' ': -9.350072}
{' No': -0.21208139, ' Yes': -1.666324, 'No': -6.9538717, ' The': -8.183692, '\n': -8.283221}
{' Yes': -0.05292743, ' No': -3.0040321, 'Yes': -6.694784, ' The': -8.171907, ' yes': -8.757999}
{' Yes': -0.003817176, ' No': -5.961455, 'Yes': -7.269676, ' yes': -8.132431, ' The': -8.7957535}
{' No': -0.22742243, ' Yes': -1.6006218, 'No': -7.074114, 'Yes': -8.110216, ' The': -8.326511}
{' Yes': -0.09498423, ' No': -2.4426193, 'Yes': -6.023536, ' The': -7.6524043, ' yes': -8.178377}
{' No': -0.0038589393, 'No': -5.625152, ' Yes': -8.622246, ' ': -10.375696, '\n': -11.23793}
{' No': -0.4529791, ' Yes': -1.0142888, 'No': -7.1803575, 'Yes': -7.7204766, '\n': -9.0578}
{' Yes': -0.14019068, ' No': -2.0527406, '\n': -7.130215, ' The': -7.4211435, 'Yes': -7.7362523}
{' No': -0.6046965, ' Yes': -0.79246926, 'No': -7.745764, 'Yes': -8.0835085, ' ': -9.270082}
{' Yes': -0.017026944, ' No': -4.117744, 'Yes': -7.8899517, ' yes': -9.165528, ' ': -10.359685}
{' Yes': -0.62280476, ' No': -0.7715284, ' The': -7.967624, 'Yes': -8.070272, 'No': -8.191481}
{' Yes': -0.4490408, ' No': -1.0250334, ' The': -6.481017, 'Yes': -7.4470415, 'No': -8.690301}
{' Yes': -0.027859468, ' No': -3.6467674, 'Yes': -7.2043405, ' The': -7.9610257, ' yes': -8.737053}
{' Yes': -0.0038910129, 'Yes': -5.8080764, ' No': -7.10691, ' yes': -10.280637, ' ': -11.6097975}
{' Yes': -0.1774916, ' No': -1.825498, 'Yes': -7.280095, ' The': -8.01217, 'No': -9.100853}
{' Yes': -0.0011018135, 'Yes': -7.2581205, ' The': -8.68027, ' yes': -8.968263, ' ': -10.143679}
{' Yes': -0.035487447, ' No': -3.3858595, 'Yes': -7.202809, ' yes': -8.679034, ' ': -10.43592}
{' Yes': -0.31753787, ' No': -1.3115871, ' Dirt': -6.868653, 'Yes': -7.247626, 'No': -7.7635174}
{' No': -0.13104185, ' Yes': -2.1159642, 'No': -6.747091, ' The': -7.800384, ' ': -8.40985}
{' Yes': -0.016843803, ' No': -4.2478313, ' The': -6.9719324, 'Yes': -7.1514683, ' yes': -7.672063}
{' Yes': -0.3625126, ' No': -1.2470531, ' Te': -5.768307, 'Yes': -5.9391255, ' ': -6.0641546}
{' False': -0.00054554467, 'False': -7.7832313, ' No': -9.006376, ' ': -12.651458, ' false': -12.991453}
{' No': -0.0010349862, 'No': -7.052491, ' Yes': -9.495513, ' ': -9.776666, '\n': -11.088876}
{' Yes': -0.078871086, ' Rain': -3.1932414, ' No': -3.4593773, 'Yes': -6.6703434, ' The': -7.3914547}
{' Yes': -0.23995218, ' No': -1.565588, ' Rain': -5.7825313, 'Yes': -7.3140106, 'No': -7.9868217}
{' No': -0.12573616, ' Yes': -2.1435392, 'No': -7.5607753, ' ': -9.105014, 'Yes': -9.268187}
{' No': -0.001173839, 'No': -7.4352, ' Yes': -7.50335, ' ': -10.925229, '\n': -11.793525}
{' No': -0.16307858, ' Yes': -1.9029981, 'No': -7.065905, 'Yes': -8.692324, ' Not': -8.884293}
{' No': -0.39259034, ' Yes': -1.1291951, ' The': -7.9081793, 'No': -7.983643, 'Yes': -8.388138}
{' No': -0.066191874, ' Yes': -2.7618914, 'No': -7.469399, ' The': -9.23459, ' ': -9.286168}
{' No': -0.63962847, ' Yes': -0.75516427, 'No': -7.4846444, ' The': -7.486985, 'Yes': -7.678662}
{' Yes': -0.080987826, ' No': -2.5721073, 'Yes': -7.171489, ' The': -8.535702, ' yes': -8.724048}
{' Yes': -0.028705852, ' No': -3.604874, ' The': -7.567526, 'Yes': -7.9408793, ' yes': -9.020411}
{' No': -0.30233485, ' Yes': -1.3504535, 'No': -7.2496986, ' The': -7.78999, 'Yes': -8.255196}
{' No': -0.26470098, ' Yes': -1.4649897, 'No': -7.2872744, ' ': -8.503221, ' The': -8.515628}
{' Yes': -0.0027297023, ' No': -6.3796353, 'Yes': -7.309545, ' yes': -9.179504, ' The': -9.386631}
{' Yes': -0.11853651, ' No': -2.2039914, 'Yes': -7.024403, ' The': -8.886592, ' ': -9.143277}
{' Yes': -0.12620981, ' No': -2.227364, ' The': -4.7402444, ' yes': -7.376692, 'Yes': -7.629393}
{' Yes': -0.047952384, ' No': -3.1011653, ' The': -7.3268766, 'Yes': -7.432352, ' yes': -8.328445}
{' No': -0.018178448, ' Yes': -4.064571, 'No': -7.2016573, ' ': -9.8280945, 'Yes': -10.989388}
{' Yes': -0.2530566, ' No': -1.5144511, ' The': -6.354857, 'Yes': -6.914509, 'No': -8.331373}
{' Yes': -0.014002659, ' No': -4.6209054, 'Yes': -6.4806976, ' The': -6.975919, ' ': -7.254248}
{' Yes': -0.00088696484, 'Yes': -7.33315, ' yes': -9.318866, ' No': -9.756089, ' ': -10.326051}
{' Yes': -0.010639101, ' No': -4.694259, 'Yes': -6.9065986, ' The': -8.849991, ' yes': -9.0545225}
{' Yes': -0.006607483, ' No': -5.145901, 'Yes': -7.529396, ' yes': -9.187618, '\n': -9.797182}
{' Yes': -0.007235635, ' Deer': -5.583148, ' No': -6.086737, 'Yes': -7.1045303, ' yes': -8.651484}
{' Yes': -0.0016429952, 'Yes': -7.256312, ' No': -7.6932015, ' yes': -8.405548, ' The': -8.626758}
{' Yes': -0.005970487, ' No': -5.2884293, 'Yes': -7.471806, ' yes': -8.582281, ' The': -9.557125}
{' Yes': -0.2382074, ' No': -1.5590711, 'Yes': -7.4315624, ' The': -8.055176, ' yes': -8.198275}
{' Yes': -0.4957171, ' No': -0.9414892, 'Yes': -8.082888, ' yes': -8.7411995, 'No': -8.879681}
{' No': -0.07972958, ' Yes': -2.5779996, 'No': -7.855025, '\n': -9.135644, 'Yes': -9.851706}
{' Yes': -0.002682486, ' No': -6.4123445, 'Yes': -7.092601, ' yes': -9.169453, ' The': -10.282489}
{' Yes': -0.025029883, ' No': -3.7502878, 'Yes': -7.183412, ' yes': -8.810691, ' Less': -9.307345}
{' Yes': -0.53042454, ' No': -0.89048994, 'Yes': -7.9126472, 'No': -8.186554, ' The': -8.580448}
{' No': -0.6866869, ' Yes': -0.7031416, 'Yes': -7.5409265, 'No': -7.8291845, ' The': -7.9214873}
{' Yes': -0.35583788, ' No': -1.2108127, ' The': -7.4776216, 'Yes': -7.5131955, 'No': -8.934203}
{' Yes': -0.027284017, ' No': -3.6791434, 'Yes': -6.5982213, ' The': -8.865088, ' ': -9.836555}
{' No': -0.24716829, ' Yes': -1.530175, ' Exit': -6.43138, 'No': -8.058887, ' The': -8.830284}
{' No': -0.5589754, ' Yes': -0.84998715, 'No': -8.290403, 'Yes': -8.395042, ' ': -9.227339}
{' No': -0.44216114, ' Yes': -1.0376658, ' Lion': -6.0478487, 'No': -7.7852087, 'Yes': -8.684594}
{' Yes': -0.113660455, ' No': -2.239168, 'Yes': -7.549518, ' yes': -9.0230055, ' The': -9.240111}
{' Yes': -0.2621207, ' No': -1.4760622, ' ': -7.2218175, 'Yes': -7.507119, ' The': -8.549693}
{' Yes': -0.029754087, ' No': -3.6089296, 'Yes': -7.0536623, ' Roof': -7.214341, ' ': -8.369203}
{' Yes': -0.0013631459, 'Yes': -6.9743795, ' No': -8.688542, ' The': -9.295957, ' Want': -9.476239}
{' Yes': -0.28730148, ' No': -1.4261163, ' Want': -4.878051, 'Yes': -7.407855, ' The': -7.8746576}
{' Yes': -0.03056581, ' No': -3.5422595, 'Yes': -7.1931005, ' The': -9.2458725, ' ': -9.278509}
{' Yes': -0.1628623, ' No': -2.341947, ' Wind': -2.9423003, 'Yes': -7.3105044, 'Wind': -8.798173}
{' Yes': -0.27775973, ' No': -1.4235421, 'Yes': -7.451826, ' yes': -8.257971, ' The': -8.375492}
{' Yes': -0.0049872943, ' No': -5.5660644, 'Yes': -7.307395, ' yes': -8.714419, '\n': -9.080907}
{' No': -0.0076874574, 'No': -5.6035776, ' Yes': -6.340729, ' Hate': -6.922765, ' Dis': -7.202643}
{' No': -0.21167582, ' Yes': -1.6637765, 'No': -7.2886715, ' The': -8.47978, 'Yes': -8.596767}
{' No': -0.061578907, ' Yes': -2.8321533, 'No': -7.5154495, '\n': -9.490929, ' The': -9.652443}
{' Yes': -0.38468906, ' No': -1.1447486, 'Yes': -7.9020705, 'No': -8.543153, '\n': -8.722279}
{' Yes': -0.023975777, ' No': -3.7774067, 'Yes': -7.856329, ' The': -8.468918, ' yes': -9.274305}
{' Yes': -0.50967866, ' No': -0.9194572, 'No': -8.454761, 'Yes': -8.494129, ' ': -9.563454}
{' Yes': -0.11851396, ' No': -2.2005374, 'Yes': -7.3620844, 'No': -9.092324, ' yes': -9.181941}
{' Yes': -0.0018804024, ' No': -6.469381, 'Yes': -8.439956, ' yes': -9.525025, ' ': -10.459596}
{' Yes': -0.0031459536, ' No': -6.2741537, 'Yes': -6.976128, '\n': -9.171344, ' yes': -9.488454}
{' No': -0.17618434, ' Yes': -1.8302466, 'No': -7.820423, ' The': -8.281462, '\n': -8.485479}
{' Yes': -0.01368616, ' No': -4.465995, 'Yes': -6.568843, ' yes': -8.278874, ' The': -8.416701}
{' Yes': -0.052790124, ' No': -3.021187, 'Yes': -6.721315, ' The': -7.5243287, ' yes': -8.066062}
{' Yes': -0.26030302, ' No': -1.5023247, ' Skin': -5.1898513, 'Yes': -7.4958644, 'No': -8.865517}
{' Yes': -0.24202152, ' No': -1.5420933, 'Yes': -7.4737697, ' Skin': -8.585322, 'No': -9.079784}
{' Yes': -0.2627807, ' No': -1.4740272, 'Yes': -7.326978, ' The': -7.526944, '\n': -8.032756}
{' No': -0.1963546, ' Yes': -1.8999354, ' So': -3.754517, 'No': -6.1711373, ' Nope': -6.305035}
{' Yes': -0.009661848, ' No': -4.771531, 'Yes': -7.223302, ' Che': -8.487885, ' ': -9.568242}
{' Yes': -0.0021052614, 'Yes': -6.8982515, ' No': -7.299971, ' The': -8.686061, ' yes': -9.130139}
{' No': -0.2867361, ' Yes': -1.3950392, 'No': -6.8677526, 'Yes': -7.9973564, ' Male': -10.401737}
{' Yes': -0.11710186, ' No': -2.2250674, 'Yes': -6.4490523, 'No': -8.502662, ' ': -8.651944}
{' No': -0.3203161, ' Yes': -1.296581, 'No': -8.343446, 'Yes': -8.901532, ' yes': -9.497036}
{' Yes': -0.044876054, ' No': -3.154756, 'Yes': -7.3537593, ' Done': -8.013861, ' yes': -8.989842}
{' No': -0.57450557, ' Yes': -0.8342597, 'Yes': -7.2712336, 'No': -7.309127, ' Bike': -7.477402}
{' Yes': -0.33740413, ' No': -1.25399, 'Yes': -7.481448, 'No': -8.671447, ' The': -9.281152}
{' No': -0.05096074, ' Yes': -3.0448532, 'No': -6.496456, ' ': -8.88899, 'Yes': -9.092127}
{' No': -0.021153558, ' Yes': -3.9143286, 'No': -7.1460333, ' ': -10.265473, '\n': -10.289364}
{' Yes': -0.0019395242, ' No': -6.883978, 'Yes': -7.2164493, ' yes': -9.309304, ' ': -10.49878}
{' Yes': -0.06271457, ' No': -2.823413, 'Yes': -7.191893, ' The': -8.234061, ' yes': -9.05029}
{' No': -0.12060371, ' Yes': -2.217043, ' Moon': -5.8502173, 'No': -6.6067715, 'Yes': -8.894447}
{' Yes': -0.13792405, ' No': -2.0615444, 'Yes': -6.890281, ' yes': -8.60955, 'No': -8.707927}
