{' !': -0.0001226242, '!': -9.049479, ' @': -12.556361, ' ': -13.919071, '!.': -14.5979395}
{' !': -0.00016304628, '!': -8.971103, ' $': -11.22114, '!.': -11.443113, ' ': -12.201176}
{' !': -0.0002541968, '!': -8.641369, ' $': -9.917833, '!.': -11.261396, ' ': -11.999259}
{' @': -0.0023886643, '@': -6.47004, ' $': -7.7735023, ' @@': -8.671001, ' ': -8.682249}
{' @': -0.0028572562, '@': -6.6252036, ' $': -7.0068946, ' @@': -8.168467, ' ': -8.396826}
{' #': -0.00016197246, ' $': -9.619545, '#': -10.065702, ' ': -10.667892, ' ##': -11.672422}
{' #': -0.00018343095, ' $': -9.162664, ' ': -10.440317, '#': -10.573637, ' ##': -11.650569}
{' @': -0.0036879438, '@': -5.6446977, ' ': -9.261819, ' @@': -10.795751, '\n': -11.660798}
{' @': -0.0049448246, '@': -5.36115, ' ': -8.766284, ' @@': -10.323599, '\n': -11.218964}
{' #': -0.00014551697, '#': -9.003703, ' ': -11.132998, ' "#': -13.303205, '\n': -13.326393}
{' #': -0.00010593593, '#': -9.410394, ' ': -10.872531, '\n': -13.509306, '  ': -14.275651}
{' $': -0.0018697721, '$': -6.482117, ' $\\': -8.514385, ' $$': -9.504702, ' ': -10.604221}
{' $': -0.0022519117, '$': -6.251273, ' $$': -8.77366, ' $\\': -9.10815, ' ': -10.669232}
{' !': -0.00013490739, '!': -9.146963, ' ': -11.42379, ' @': -11.775515, ' !!': -11.984834}
{' !': -0.00019929133, '!': -8.766389, ' @': -10.780605, ' ': -11.309581, ' !!': -12.053481}
{' #': -0.00024453807, '#': -8.678264, ' @': -10.065054, ' ': -11.01206, '\n': -11.958021}
{' #': -0.00016459411, '#': -9.172971, ' @': -10.111535, ' ': -11.271262, '\n': -12.5640335}
{' $': -0.0021262874, '$': -6.390781, ' $$': -8.378667, ' $\\': -9.543618, ' @': -9.844585}
{' $': -0.002542587, '$': -6.3057995, ' $$': -7.860332, ' @': -8.67359, ' $\\': -9.706365}
{' !': -4.847264e-05, '!': -10.308619, ' #': -11.846176, ' ': -12.21741, ' !!': -13.275613}
{' !': -0.00010045139, '!': -9.506765, ' #': -11.342001, ' ': -11.856273, ' !!': -12.419102}
{' @': -0.005374285, '@': -5.898, ' #': -6.1277895, ' ': -8.226115, ' @@': -9.512743}
{' @': -0.006062712, ' #': -5.7107644, '@': -6.051671, ' ': -8.344661, ' @@': -9.481291}
{' $': -0.0023605227, '$': -6.7653646, ' #': -7.3144064, ' $$': -8.027353, ' $\\': -9.206552}
{' $': -0.003955519, '$': -6.2976985, ' #': -6.5040236, ' $$': -7.7946787, ' $\\': -9.570643}
{' !': -7.314978e-05, '!': -9.731237, '!.': -12.337057, ' ': -12.561801, ' !!': -12.651834}
{' !': -6.635395e-05, '!': -9.780028, ' ': -12.49106, '!.': -13.030593, ' $': -13.282626}
{' @': -0.0025194006, '@': -6.1454706, ' ': -8.7218075, ' $': -9.35422, ' @@': -9.430802}
{' @': -0.0029049583, '@': -6.0762477, ' $': -8.25312, ' ': -8.59163, ' @@': -9.158561}
{' #': -0.00013204545, '#': -10.028135, ' $': -10.053511, ' ': -10.595331, '\n': -12.035926}
{' #': -0.00011034852, ' $': -10.044414, ' ': -10.540445, '#': -10.541991, '\n': -12.375679}
{' !': -0.022979692, ' @': -3.7886124, '!': -9.812275, '@': -10.633472, ' ': -11.755068}
{' !': -0.017572504, ' @': -4.0554695, '!': -9.844061, '@': -10.778383, ' ': -11.239495}
{' #': -0.2453653, ' !': -1.525879, '#': -9.114677, ' ': -10.604875, '!': -12.023661}
{' #': -0.3044762, ' !': -1.3380189, '#': -9.18367, ' ': -11.243533, '!': -12.181863}
{' !': -0.52114725, ' $': -0.90427256, '$': -6.755171, ' $\\': -9.943536, ' $$': -10.466994}
{' !': -0.30117238, ' $': -1.3506107, '$': -7.0592575, ' $$': -10.466501, ' ': -10.821699}
{' !': -0.11580565, ' @': -2.2152567, '@': -9.228503, '!': -9.413445, ' ': -10.590226}
{' !': -0.117545165, ' @': -2.201835, '@': -9.009162, '!': -9.255991, ' ': -10.002145}
{' #': -0.5829242, ' @': -0.8201545, '@': -7.0164204, ' ': -8.421968, '#': -9.0648}
{' #': -0.43036726, ' @': -1.0531873, '@': -7.5857053, ' ': -8.651061, '#': -9.298466}
{' @': -0.071314946, ' $': -2.696496, '@': -6.921429, ' ': -9.06932, ' $$': -9.185637}
{' @': -0.2053989, ' $': -1.6913892, ' $$': -7.402676, '@': -7.8616085, ' ': -9.01037}
{' !': -0.38267148, ' #': -1.146166, '!': -10.014643, '#': -10.193544, '!,': -11.446568}
{' !': -0.55710924, ' #': -0.85089034, '#': -10.007234, '!': -10.396338, '!,': -11.446554}
{' #': -0.07541397, ' @': -2.6296725, '#': -8.244489, '@': -8.763995, ' ': -9.566302}
{' #': -0.048192758, ' @': -3.0641534, '#': -8.510084, '@': -9.689013, ' ': -9.849084}
{' #': -0.17583139, ' $': -1.8267369, '$': -9.29675, ' ': -9.8530655, '#$': -10.009489}
{' #': -0.16197434, ' $': -1.9026207, '$': -8.978134, ' ': -9.667864, '#$': -9.99222}
{' !': -0.14046784, ' $': -2.0339177, '!': -9.658841, '$': -10.112002, ' ': -10.601063}
{' !': -0.21022555, ' $': -1.6643119, '$': -9.599607, '!': -9.616423, ' ': -10.3240385}
{' $': -0.5072763, ' @': -0.9260632, ' $$': -7.0246806, ' ': -8.119477, '$.': -8.986598}
{' $': -0.43402746, ' @': -1.0504366, ' $$': -6.5913963, ' ': -7.7997046, '$.': -9.341329}
{' #': -0.26207778, ' $': -1.4713444, ' ': -7.7526665, ' $$': -9.232759, '  ': -9.782279}
{' #': -0.4262696, ' $': -1.060852, ' ': -7.710918, ' $$': -9.1989, '$,': -9.739163}
{' !': -0.056341514, ' @': -2.9066718, '!': -9.866465, '@': -9.885605, ' ': -11.056889}
{' !': -0.017466716, ' @': -4.0631037, '!': -9.378549, '@': -10.890729, ' ': -11.313515}
{' #': -0.24653618, ' !': -1.5217893, '#': -9.018003, ' ': -10.3679285, '!': -11.757425}
{' #': -0.42642385, ' !': -1.0584847, '#': -9.137868, ' ': -9.950088, '!': -11.209264}
{' !': -0.64250684, ' $': -0.7491182, '$': -6.824921, ' $\\': -10.226977, '$,': -10.260499}
{' !': -0.48480147, ' $': -0.9590675, '$': -7.1160226, ' $\\': -10.508813, ' $$': -10.512466}
{' !': -0.18837398, ' @': -1.7642502, '@': -8.552532, '!': -9.428476, ' ': -9.490198}
{' !': -0.22348116, ' @': -1.6102095, '@': -8.391904, '!': -9.377478, ' ': -9.554915}
{' @': -0.5226761, ' #': -0.9033352, '@': -6.57685, ' ': -8.38432, '#': -9.196561}
{' @': -0.6258375, ' #': -0.76798266, '@': -7.1401076, ' ': -8.372194, '#': -9.466677}
{' @': -0.17324638, ' $': -1.8472463, '@': -7.039148, ' $$': -8.617912, ' ': -9.2778635}
{' @': -0.24389324, ' $': -1.5364976, ' $$': -7.687647, '@': -7.7044625, '$': -9.217928}
{' #': -0.6240917, ' !': -0.7676808, '#': -9.458707, '!': -10.034968, ' ': -10.539915}
{' #': -0.44582325, ' !': -1.0227982, '#': -9.845988, '!': -10.540318, ' ': -10.755374}
{' #': -0.018957814, ' @': -3.9968877, '#': -8.191635, ' ': -9.654946, '@': -10.493837}
{' #': -0.019925408, ' @': -3.9418938, '#': -8.479139, ' ': -9.940503, '@': -10.6586685}
{' #': -0.056960497, ' $': -2.8978095, '#': -9.689778, ' ': -9.929389, '$': -10.175641}
{' #': -0.11059764, ' $': -2.259283, '$': -9.535711, ' ': -9.931093, '#': -9.987095}
{' !': -0.114548825, ' $': -2.225953, '!': -9.546403, '$': -10.234984, '$.': -10.494825}
{' !': -0.20827518, ' $': -1.6729395, '$': -9.437409, '!': -9.566576, ' ': -10.3409395}
{' $': -0.23400745, ' @': -1.5734488, ' $$': -7.6214104, '$.': -8.149408, ' ': -8.560881}
{' $': -0.54609644, ' @': -0.87128985, ' $$': -6.621915, ' ': -7.7486453, '$.': -8.686902}
{' $': -0.6641198, ' #': -0.7250558, ' ': -7.8375645, ' $$': -8.939636, ' $\\': -9.523835}
{' #': -0.36575302, ' $': -1.1867676, ' ': -7.39397, ' $$': -8.891355, '  ': -9.836295}
{' @': -0.074712425, ' !': -2.649652, '@': -6.7436028, ' ': -9.41113, '\n': -11.350061}
{' @': -0.2792283, ' !': -1.4161988, '@': -7.082901, ' ': -9.150263, '\n': -11.277115}
{' #': -0.02339402, ' !': -3.7734013, '#': -8.993784, ' ': -11.281643, '\n': -13.204001}
{' #': -0.11238404, ' !': -2.243068, '#': -8.992945, ' ': -10.588387, '!': -12.434831}
{' $': -0.028887741, ' !': -3.645997, '$': -6.1683545, ' $\\': -9.069727, ' $$': -9.558586}
{' $': -0.08138873, ' !': -2.585749, '$': -5.976969, ' $\\': -9.171062, ' $$': -9.17717}
{' !': -0.03371373, ' @': -3.41356, '!': -8.721551, '@': -10.140109, ' ': -11.370814}
{' !': -0.041139666, ' @': -3.2144644, '!': -9.575111, '@': -10.271997, ' ': -11.502972}
{' #': -0.1722038, ' @': -1.848664, '@': -7.8063283, '#': -8.72751, ' ': -9.728886}
{' #': -0.1043631, ' @': -2.3164756, '@': -8.558626, '#': -8.65603, ' ': -10.005693}
{' $': -0.20109597, ' @': -1.7135509, '$': -6.814356, '@': -7.9029546, ' $$': -8.4062805}
{' $': -0.129976, ' @': -2.1253774, '$': -6.4555545, ' $$': -7.985563, '@': -8.238801}
{' !': -0.100435115, ' #': -2.3501756, '!': -8.671799, '#': -10.896028, ' ': -11.9921465}
{' !': -0.5864738, ' #': -0.8129181, '!': -9.592791, '#': -9.7623625, ' ': -11.093723}
{' @': -0.47076824, ' #': -0.98398423, '@': -6.614298, '#': -9.112219, ' ': -9.403841}
{' #': -0.3722058, ' @': -1.1712514, '@': -7.599923, '#': -8.924281, ' ': -9.5059185}
{' $': -0.37456968, ' #': -1.1660928, '$': -7.4989395, ' $$': -9.918797, ' $\\': -10.009598}
{' #': -0.5683087, ' $': -0.8373994, '$': -7.7866273, '#$': -9.918743, ' $$': -10.109088}
{' !': -0.06172186, ' $': -2.8223608, '!': -8.310959, '$': -9.475563, ' $$': -11.329874}
{' !': -0.26789787, ' $': -1.4510262, '$': -8.026563, '!': -8.460784, ' $$': -10.354493}
{' @': -0.10318656, ' $': -2.3391922, ' $$': -6.981826, '@': -8.218648, ' ': -8.829428}
{' @': -0.27362314, ' $': -1.4415022, ' $$': -6.184555, ' ': -8.627062, '@': -8.63847}
{' #': -0.06878877, ' $': -2.7153647, ' ': -9.313715, ' $$': -9.997274, '#': -10.733314}
{' #': -0.12144153, ' $': -2.1712098, ' ': -9.347563, ' $$': -9.71339, '$': -10.349365}
{' @': -0.14684469, ' !': -1.9993532, '@': -6.905212, ' ': -9.245482, '\n': -11.499253}
{' @': -0.3348121, ' !': -1.2606448, '@': -7.0482306, ' ': -8.920745, '\n': -11.351232}
{' #': -0.0104028, ' !': -4.584717, '#': -9.058632, ' ': -11.082008, '\n': -12.767256}
{' #': -0.20733751, ' !': -1.6761485, '#': -8.985707, ' ': -10.683316, '!': -11.90536}
{' $': -0.053879414, ' !': -3.0033953, '$': -5.9566536, ' $\\': -9.207743, ' $$': -9.662474}
{' $': -0.2740122, ' !': -1.4399973, '$': -5.9957376, ' $$': -9.040952, ' $\\': -9.61927}
{' !': -0.13086309, ' @': -2.1001108, '!': -9.311414, '@': -9.336015, ' ': -10.713576}
{' !': -0.09871774, ' @': -2.3676863, '!': -9.029134, '@': -9.182783, ' ': -10.049239}
{' @': -0.33666664, ' #': -1.2569013, '@': -6.9037895, ' ': -9.189367, '@#': -9.312801}
{' #': -0.3054473, ' @': -1.3378683, '@': -7.7883058, '#': -8.832606, ' ': -9.094423}
{' @': -0.56646615, ' $': -0.8424843, ' $$': -7.4604917, '@': -7.5781426, '$': -7.579699}
{' $': -0.43518275, ' @': -1.0484048, '$': -6.8578296, '@': -7.56591, ' $$': -7.6694717}
{' !': -0.116404064, ' #': -2.2102075, '!': -8.739855, '#': -10.678768, ' ': -11.237281}
{' !': -0.4073809, ' #': -1.0952127, '!': -9.647811, '#': -9.790082, ' ': -11.5361595}
{' @': -0.39037773, ' #': -1.1348083, '@': -6.5784116, '#': -8.97629, ' ': -9.290388}
{' #': -0.5043036, ' @': -0.92830145, '@': -7.4969544, '#': -8.859918, ' ': -9.572162}
{' $': -0.2935067, ' #': -1.3718815, '$': -7.575645, ' $\\': -10.165516, ' $$': -10.376975}
{' $': -0.62246805, ' #': -0.77123934, '$': -7.3116884, '#$': -9.905787, '#': -10.018901}
{' !': -0.10453877, ' $': -2.3159242, '!': -7.8588943, '$': -9.0497875, ' ': -10.759594}
{' !': -0.49093115, ' $': -0.94897324, '$': -7.7353897, '!': -8.767939, '$.': -9.855427}
{' @': -0.07061869, ' $': -2.701871, '@': -7.684714, ' $$': -8.095365, ' ': -8.858684}
{' @': -0.20917237, ' $': -1.6773825, ' $$': -6.8032155, '@': -8.195235, ' ': -8.637737}
{' #': -0.086589806, ' $': -2.4934406, ' ': -9.315892, ' $$': -9.87432, '#': -10.493728}
{' #': -0.10923938, ' $': -2.2711675, ' ': -9.483058, ' $$': -10.051488, '$': -10.099565}
{' !': -0.0001064137, '!': -9.2718725, ' ': -11.770544, ' @': -12.770128, '!.': -14.147021}
{' !': -9.365555e-05, '!': -9.462374, ' ': -11.617468, ' @': -12.176627, ' !!': -14.059602}
{' !': -0.0012573282, ' #': -6.8522725, '!': -8.596503, ' ': -11.493007, '#': -13.530133}
{' !': -0.00053420954, ' #': -7.9351997, '!': -8.709198, ' ': -11.800636, '!.': -13.532858}
{' !': -0.00050898513, ' $': -7.920572, '!': -8.97696, ' ': -11.292776, '$': -12.583665}
{' !': -0.0003589559, ' $': -8.468477, '!': -8.9544735, ' ': -11.169174, '$': -13.3429575}
{' @': -0.043384545, ' !': -3.2342625, '@': -5.9471564, ' ': -7.9283085, '  ': -10.939376}
{' @': -0.04425564, ' !': -3.1990747, '@': -6.165993, ' ': -8.121829, ' @@': -11.013516}
{' @': -0.027315134, ' #': -3.7852325, '@': -5.582891, ' ': -7.960794, ' @@': -10.138757}
{' @': -0.040995024, ' #': -3.328873, '@': -5.548183, ' ': -8.153059, '@#': -9.820509}
{' @': -0.0055208136, '@': -5.706192, ' $': -6.2556477, ' ': -8.885623, ' @@': -9.797768}
{' @': -0.0058003305, ' $': -5.7845893, '@': -5.9994597, ' ': -9.105532, ' @@': -9.815197}
{' #': -0.05554209, ' !': -2.9240131, '#': -8.49987, ' ': -9.674088, '!': -10.55082}
{' #': -0.02906549, ' !': -3.5618393, '#': -8.58007, ' ': -9.935569, '!': -11.153365}
{' #': -0.0012574482, ' @': -6.888447, '#': -8.821615, ' ': -9.61124, '  ': -12.065044}
{' #': -0.0011551618, ' @': -6.902566, '#': -9.484889, ' ': -9.770753, '  ': -12.4243965}
{' #': -0.0018501843, ' $': -6.3799095, '#': -9.42041, ' ': -10.283453, '#$': -11.0034685}
{' #': -0.00079962896, ' $': -7.267805, '#': -9.897049, ' ': -10.3965435, '#$': -11.809511}
{' $': -0.31804264, ' !': -1.3035086, '$': -8.287638, '$.': -8.487837, ' ': -8.9584675}
{' $': -0.1972188, ' !': -1.725356, '$': -8.051955, '$.': -8.699841, ' ': -8.816108}
{' $': -0.0030252396, ' @': -6.4200134, '$.': -7.256723, ' ': -8.014124, '$': -8.934173}
{' $': -0.0023515625, ' @': -6.696439, '$.': -7.6099315, ' ': -8.349527, '$': -8.698171}
{' $': -0.021510858, ' #': -3.8840537, ' ': -8.286498, '$.': -8.5933, '$': -9.018662}
{' $': -0.028341495, ' #': -3.6061497, ' ': -8.253019, '$': -8.584277, '$.': -8.697338}
{' !': -0.000101643476, '!': -9.391129, ' @': -11.688273, ' ': -11.732498, '!.': -14.235815}
{' !': -0.00012512946, '!': -9.1507635, ' ': -11.27599, ' @': -12.399985, ' !!': -14.183219}
{' !': -0.0013492389, ' #': -6.7652535, '!': -8.613504, ' ': -11.635866, '!.': -13.298349}
{' !': -0.0009467437, ' #': -7.182305, '!': -8.680381, ' ': -11.415553, '!.': -13.064236}
{' !': -0.00038554877, ' $': -8.303919, '!': -8.988159, ' ': -11.728448, '$': -13.009753}
{' !': -0.00023047146, '!': -9.049785, ' $': -9.235749, ' ': -11.41809, '!.': -13.665441}
{' @': -0.017322972, ' !': -4.314806, '@': -5.675886, ' ': -8.082975, '  ': -11.101673}
{' @': -0.015689464, ' !': -4.3628516, '@': -6.011443, ' ': -8.118661, ' @@': -11.002082}
{' @': -0.03218493, ' #': -3.6099322, '@': -5.4520264, ' ': -8.312067, '@#': -10.678084}
{' @': -0.021652158, ' #': -4.0302577, '@': -5.6990657, ' ': -8.46176, ' @@': -10.398124}
{' @': -0.0060680485, '@': -5.4221005, ' $': -6.576309, ' ': -8.875616, ' @@': -10.252201}
{' @': -0.0043536616, '@': -5.842002, ' $': -6.6916876, ' ': -9.143054, ' @@': -10.070948}
{' #': -0.011359617, ' !': -4.504918, '#': -8.602666, ' ': -10.052348, '!': -12.190463}
{' #': -0.015387805, ' !': -4.1971273, '#': -8.7148905, ' ': -9.930553, '!': -11.776555}
{' #': -0.00065039104, ' @': -7.823669, '#': -8.625581, ' ': -9.7979355, '  ': -12.376806}
{' #': -0.0006353595, ' @': -7.6124725, '#': -9.312912, ' ': -10.129528, '  ': -12.776525}
{' #': -0.00087372045, ' $': -7.2205367, '#': -9.394716, ' ': -10.344236, '#$': -11.573462}
{' #': -0.00082217914, ' $': -7.235353, '#': -9.796537, ' ': -10.568072, '#$': -11.803529}
{' $': -0.14732747, ' !': -1.996729, '$.': -7.3658504, '$': -8.052928, ' ': -9.441907}
{' $': -0.06540187, ' !': -2.7754295, '$': -8.0066185, '$.': -8.097255, ' ': -8.993655}
{' $': -0.0024771527, ' @': -6.8186965, '$.': -7.011415, ' ': -8.416888, '$': -9.174631}
{' $': -0.003907888, ' @': -6.1446433, '$.': -6.8728113, ' ': -8.134155, '$': -8.364633}
{' $': -0.017465565, ' #': -4.1208954, '$.': -7.424339, ' ': -8.433601, '$': -8.957546}
{' $': -0.012673749, ' #': -4.456262, '$.': -7.778615, ' ': -8.344503, '$': -8.523724}
{' @': -0.095262766, ' !': -2.4748538, '@': -5.0437374, ' ': -8.618582, '!': -11.491038}
{' !': -0.6714972, ' @': -0.7198866, '@': -6.196567, ' ': -9.004952, '!': -9.672185}
{' #': -0.007863808, ' !': -4.901136, '#': -7.921922, ' ': -10.666312, '!': -13.284139}
{' #': -0.069933854, ' !': -2.7014701, '#': -7.8540444, ' ': -10.389222, '!': -11.253211}
{' $': -0.033138964, ' !': -3.5725884, '$': -5.4475465, '$,': -9.482905, ' ': -10.089613}
{' $': -0.520332, ' !': -0.91510147, '$': -5.3209796, ' ': -9.227413, '!': -9.345003}
{' !': -0.013022358, ' @': -4.383862, '!': -7.9054623, '@': -9.604643, ' ': -11.284021}
{' !': -0.053579282, ' @': -2.9640424, '!': -7.989721, '@': -8.606497, ' ': -10.614815}
{' #': -0.07342755, ' @': -2.6614935, '@': -7.6823297, '#': -8.002951, ' ': -9.704041}
{' #': -0.10713203, ' @': -2.297228, '@': -7.341041, '#': -8.378127, '@#': -9.485921}
{' $': -0.099678256, ' @': -2.4011517, '$': -5.9211707, '@': -6.7616253, ' ': -9.016893}
{' $': -0.28628975, ' @': -1.4103285, '@': -6.020179, '$': -6.2529798, ' ': -8.569763}
{' !': -0.07075066, ' #': -2.6904137, '!': -7.8722677, '#': -10.085845, ' ': -11.033521}
{' !': -0.22288585, ' #': -1.6128948, '!': -7.959807, '#': -9.174625, ' ': -10.990367}
{' @': -0.3699976, ' #': -1.1900315, '@': -5.418366, ' ': -8.4272785, '@#': -8.712165}
{' @': -0.65364134, ' #': -0.7413089, '@': -5.8723855, ' ': -8.58392, '@#': -8.802359}
{' $': -0.22773868, ' #': -1.5949816, '$': -7.6192274, '#$': -9.676192, ' ': -10.019643}
{' $': -0.6558318, ' #': -0.7333083, '$': -7.874385, '#$': -9.341756, ' ': -9.91453}
{' !': -0.019842172, ' $': -3.9804935, '!': -7.0874248, '!.': -10.011695, '$': -10.312258}
{' !': -0.12131467, ' $': -2.18008, '!': -7.0124464, '$': -8.513825, '$.': -10.266574}
{' @': -0.062043667, ' $': -2.881202, '@': -5.6878753, ' ': -8.061513, ' $$': -9.350027}
{' @': -0.10661752, ' $': -2.3256574, '@': -5.982851, ' ': -7.9798355, ' $$': -8.693158}
{' #': -0.025404094, ' $': -3.6983318, '#': -9.350024, ' ': -9.372015, '#$': -9.6951685}
{' #': -0.090216175, ' $': -2.4552178, ' ': -9.153774, '#$': -9.553684, '#': -9.758332}
{' @': -0.42573294, ' !': -1.0730927, '@': -5.4107065, ' ': -8.480519, '!': -10.389074}
{' !': -0.10040559, ' @': -2.3542812, '@': -7.844891, '!': -9.155669, ' ': -9.722899}
{' #': -0.02239028, ' !': -3.836258, '#': -7.582578, ' ': -10.085611, '!': -12.341704}
{' #': -0.42740107, ' !': -1.0576156, '#': -7.8275127, '!': -9.649879, ' ': -10.01017}
{' $': -0.30741712, ' !': -1.3505919, '$': -5.2457185, '$,': -9.257321, ' ': -9.673862}
{' !': -0.41354, ' $': -1.092434, '$': -5.8104057, '!': -8.885103, ' ': -9.460239}
{' !': -0.01660355, ' @': -4.142389, '!': -7.6921477, '@': -9.36195, ' ': -10.762798}
{' !': -0.10835229, ' @': -2.284559, '!': -7.824943, '@': -7.8300104, ' ': -9.93406}
{' #': -0.24876155, ' @': -1.5235456, '@': -6.4586463, '#': -7.8564863, ' ': -8.642434}
{' #': -0.3870615, ' @': -1.1460911, '@': -5.9896426, '#': -8.379495, ' ': -8.75595}
{' $': -0.39708075, ' @': -1.1319746, '@': -5.8704267, '$': -6.231033, ' ': -8.510282}
{' @': -0.5909374, ' $': -0.81913835, '@': -5.5877686, '$': -6.8016706, ' ': -8.39289}
{' !': -0.09325773, ' #': -2.4257982, '!': -7.528963, '#': -9.709145, ' ': -10.830879}
{' !': -0.2196836, ' #': -1.6264105, '!': -7.751705, '#': -9.106153, ' ': -10.290105}
{' #': -0.6956811, ' @': -0.7002206, '@': -5.524087, ' ': -8.155508, '#': -8.360041}
{' #': -0.5899055, ' @': -0.8156707, '@': -5.9349084, ' ': -8.327305, '#': -8.692277}
{' $': -0.22784618, ' #': -1.5948123, '$': -7.5376396, ' ': -9.637857, '#$': -9.891916}
{' $': -0.4574046, ' #': -1.003902, '$': -7.8724794, '#$': -9.680673, ' ': -9.796264}
{' !': -0.0072253095, ' $': -5.0664597, '!': -7.183882, '!.': -9.73237, '!,': -10.733934}
{' !': -0.1324264, ' $': -2.0964842, '!': -7.1107893, '$': -8.599271, '$.': -9.875909}
{' @': -0.08342937, ' $': -2.5831795, '@': -5.6287317, ' ': -7.81922, ' $$': -9.122222}
{' @': -0.17500867, ' $': -1.8456857, '@': -6.575735, ' $$': -7.9112377, ' ': -7.9384184}
{' #': -0.040635783, ' $': -3.2329726, '#': -9.21506, ' ': -9.328912, '#$': -9.671855}
{' #': -0.13074094, ' $': -2.1032178, ' ': -9.139006, '#$': -9.513232, '#': -9.615273}
{' !': -0.009127984, ' @': -4.7500887, '!': -8.476932, ' ': -9.261441, ' !!': -9.6004}
{' !': -0.0077964193, ' @': -4.900819, '!': -9.020275, ' ': -9.37338, ' !!': -9.498078}
{' !': -0.4927583, ' #': -0.94664043, '#': -7.2318516, '!': -8.9086075, ' ': -9.11202}
{' !': -0.47559106, ' #': -0.9740232, '#': -7.352412, ' ': -9.042382, '!': -9.17975}
{' !': -0.07684101, ' $': -2.630758, '$': -6.6324058, '!': -7.9561515, ' ': -8.829988}
{' !': -0.04814697, ' $': -3.084724, '$': -7.41435, '!': -8.369433, ' !!': -8.77341}
{' @': -0.227559, ' !': -1.6099614, '@': -5.8182793, ' ': -7.9819727, '!': -8.882536}
{' @': -0.22433521, ' !': -1.6220746, '@': -5.872322, ' ': -8.03019, '!': -9.026501}
{' @': -0.23843107, ' #': -1.564826, '@': -6.1116242, ' ': -8.109689, '@#': -9.06439}
{' @': -0.18453501, ' #': -1.8018025, '@': -6.02954, ' ': -8.131548, '@#': -8.152915}
{' @': -0.013381297, ' $': -4.652976, '@': -5.762838, ' @@': -8.638694, ' ': -8.89906}
{' @': -0.033763483, ' $': -3.5697932, '@': -5.527845, ' @@': -8.17451, '\n': -8.4384365}
{' #': -0.12129758, ' !': -2.1763778, '#': -7.620407, ' ': -8.906256, '!': -9.330956}
{' #': -0.057225604, ' !': -2.9011319, '#': -7.649754, ' ': -9.1250925, '!': -10.500085}
{' #': -0.011806134, ' @': -4.4965262, '#': -7.9719195, ' ': -9.196218, '\n': -10.144495}
{' #': -0.01012681, ' @': -4.6531663, '#': -8.095068, ' ': -9.056323, '\n': -10.142376}
{' #': -0.008650497, ' $': -4.794314, '#': -9.110631, ' ': -9.591786, '\n': -10.050428}
{' #': -0.0040181745, ' $': -5.5946608, '#': -9.102677, ' ': -9.583159, '\n': -10.037964}
{' $': -0.648457, ' !': -0.74665874, ' ': -6.8653345, '$': -7.0556345, '!': -7.651626}
{' $': -0.39414263, ' !': -1.1333604, '$': -6.745114, ' ': -6.9479766, '$.': -7.595299}
{' $': -0.31527683, ' @': -1.3460671, '$.': -5.8358645, ' $$': -5.866263, ' ': -6.4849086}
{' $': -0.20247264, ' @': -1.7572098, ' $$': -5.2852936, '$.': -6.070478, ' ': -6.655366}
{' $': -0.63274664, ' #': -0.76507837, ' ': -6.644641, '$.': -7.561168, '$': -7.736832}
{' $': -0.40711078, ' #': -1.1050764, ' ': -6.7726893, '$.': -7.6886516, ' $$': -7.8969283}
{' !': -0.0014957781, ' @': -7.159366, '!': -7.544361, ' ': -8.996866, ' !!': -10.498898}
{' !': -0.0015597717, ' @': -6.927219, '!': -7.964776, ' ': -8.8882475, ' !!': -9.658345}
{' !': -0.19510277, ' #': -1.7369958, '#': -7.6938205, ' ': -8.026337, '!': -8.046584}
{' !': -0.18034083, ' #': -1.8063898, '#': -8.129191, '!': -8.533385, ' ': -8.55783}
{' !': -0.049828805, ' $': -3.0594053, '$': -6.965506, '!': -7.844987, ' ': -8.409934}
{' !': -0.018955018, ' $': -4.031776, '$': -8.003886, '!': -8.176008, ' !!': -8.666739}
{' @': -0.041006576, ' !': -3.419945, '@': -4.9978623, ' ': -7.7534275, '\n': -9.606899}
{' @': -0.025802609, ' !': -3.9125652, '@': -5.3285804, ' ': -7.911896, '\n': -9.192795}
{' @': -0.07793969, ' #': -2.6567626, '@': -5.545345, ' ': -7.787297, '\n': -8.756979}
{' @': -0.076237775, ' #': -2.685544, '@': -5.521991, ' ': -7.663708, '\n': -8.131052}
{' @': -0.010557596, '@': -5.2684307, ' $': -5.3801346, '\n': -8.490699, ' @@': -8.527229}
{' @': -0.010152343, '@': -5.301332, ' $': -5.4975863, ' @@': -7.9462333, '\n': -8.291579}
{' #': -0.011075774, ' !': -4.552341, '#': -8.117634, ' ': -9.135914, '\n': -10.947557}
{' #': -0.009169788, ' !': -4.751233, '#': -8.000154, ' ': -9.267016, '\n': -10.8306}
{' #': -0.0010067648, ' @': -7.327968, '#': -8.419135, ' ': -9.60653, '\n': -10.650864}
{' #': -0.0010558084, ' @': -7.203295, '#': -8.695821, ' ': -9.416726, '\n': -10.443925}
{' #': -0.0011121368, ' $': -7.1350136, '#': -8.905867, ' ': -9.679956, '\n': -9.775343}
{' #': -0.000999844, ' $': -7.172945, '#': -9.167742, ' ': -9.891968, '\n': -10.119525}
{' $': -0.13190152, ' !': -2.160815, '$.': -5.6479645, '$': -6.0043817, ' ': -6.6591086}
