{' Right': -0.041503377, ' right': -3.2299895, 'Right': -7.226049, 'right': -8.495124, ' ': -10.113856}
{' Left': -0.095244355, ' left': -2.506938, 'Left': -5.1643376, 'left': -5.9202776, ' Right': -7.3105764}
{' Right': -0.09188684, ' right': -2.6128943, 'Right': -4.930077, 'right': -5.431633, ' Left': -6.2415333}
{' Left': -0.12703454, ' left': -2.2309926, 'Left': -5.136508, 'left': -5.767113, ' Right': -6.06774}
{' Right': -0.18861312, ' right': -1.8422042, 'Right': -5.0843325, 'right': -5.751557, ' Left': -6.015113}
{' Left': -0.36270118, ' left': -1.2264688, 'Left': -5.35264, 'left': -5.590732, ' Right': -6.509082}
{' Right': -0.37836385, ' right': -1.2005247, 'right': -4.9592314, 'Right': -5.0537653, ' ': -8.126943}
{' Left': -0.33945936, ' left': -1.2918862, 'Left': -5.1151433, 'left': -5.524466, ' Right': -6.3227673}
{' Right': -0.054138176, ' right': -3.4505444, ' Left': -4.707065, 'Right': -4.838932, 'right': -6.3299365}
{' Left': -0.095485896, ' left': -2.5446265, 'Left': -4.796915, 'left': -5.7408524, ' Right': -7.2269835}
{' Right': -0.13142367, ' right': -2.284332, 'Right': -4.4362926, 'right': -5.069053, ' Left': -6.433435}
{' Left': -0.19056387, ' left': -1.8380058, 'Left': -4.778277, 'left': -5.344205, ' Right': -7.606775}
{' Right': -0.032998748, ' right': -3.9794707, ' Left': -4.864452, 'Right': -5.484569, 'right': -6.979834}
{' Left': -0.054328084, ' left': -3.0385997, 'Left': -5.608592, 'left': -6.757516, ' ': -9.532114}
{' Right': -0.04273551, ' right': -3.3325644, 'Right': -5.4943056, 'right': -6.4168277, ' ': -8.619567}
{' Left': -0.05396516, ' left': -3.07309, 'Left': -5.4128194, 'left': -6.6296906, ' Right': -8.247257}
{' Right': -0.3177015, ' right': -1.3145505, 'right': -6.348608, 'Right': -6.480282, '\n': -9.083069}
{' Left': -0.22724114, ' left': -1.6064029, 'Left': -6.4584017, 'left': -7.041434, ' Right': -9.347009}
{' Right': -0.25478968, ' right': -1.5220989, ' Left': -6.127264, ' left': -6.3864803, 'Right': -6.6585445}
{' Left': -0.33281413, ' left': -1.2714529, 'Left': -6.505748, 'left': -6.856541, '\n': -9.916989}
{' Right': -0.09224373, ' right': -2.5107293, 'Right': -5.4609075, 'right': -6.0596237, ' Left': -8.969231}
{' Left': -0.075005725, ' left': -2.7708657, 'Left': -5.1881, ' Right': -6.1347146, 'left': -6.374993}
{' Right': -0.17433333, ' Left': -2.427694, ' right': -3.005388, ' left': -4.2089553, 'Right': -5.4232306}
{' Left': -0.17374408, ' left': -1.8866041, 'Left': -5.3575377, 'left': -5.851276, ' Right': -8.4721575}
{' Right': -0.06972824, ' right': -2.8249066, 'Right': -5.299485, 'right': -6.0654154, ' ': -8.03786}
{' Left': -0.06516206, ' left': -2.8826916, 'Left': -5.449737, 'left': -6.582671, ' Right': -6.737361}
{' Right': -0.76549757, ' Left': -0.78552085, ' left': -3.0175402, ' right': -3.7579346, 'Left': -6.2914996}
{' Left': -0.12892492, ' left': -2.1770034, 'Left': -5.44856, 'left': -6.0308733, ' Right': -7.3056655}
{' Right': -0.32314104, ' right': -1.3248919, 'Right': -5.216909, 'right': -5.436443, ' ': -8.38802}
{' Left': -0.27762777, ' left': -1.462055, 'Left': -5.0014815, 'left': -5.728748, '\n': -8.2824335}
{' Right': -0.29201776, ' right': -1.460965, ' Left': -4.9000382, ' left': -5.1925797, 'Right': -5.5321374}
{' Left': -0.5048172, ' left': -0.94880784, 'Left': -5.249772, 'left': -5.5993853, ' ': -9.1025095}
{' Right': -0.07605806, ' right': -2.7309785, 'Right': -5.129864, 'right': -6.423474, ' ': -8.119822}
{' Left': -0.085987605, ' left': -2.640692, 'Left': -4.716368, 'left': -6.313324, ' ': -8.91452}
{' Right': -0.39901406, ' Left': -1.4126515, ' right': -3.2428842, ' left': -3.3253942, 'Right': -5.3901143}
{' Left': -0.15152451, ' left': -2.0353632, 'Left': -4.9426374, 'left': -5.96592, ' ': -8.79332}
{' Right': -0.08675763, ' right': -2.5715065, 'Right': -5.6022964, 'right': -6.0210624, ' ': -8.219695}
{' Left': -0.061363775, ' left': -2.93887, 'Left': -5.2990594, 'left': -6.6074834, ' ': -9.227554}
{' Right': -0.05719815, ' right': -3.2383828, ' Left': -4.7017694, 'Right': -5.59325, 'right': -6.4335637}
{' Left': -0.13322234, ' left': -2.1350896, 'Left': -5.539636, 'left': -6.034057, ' ': -9.255705}
{' Left': -0.22535664, ' left': -1.6398253, ' Right': -5.6407156, 'Left': -6.182853, 'left': -6.7490745}
{' Right': -0.2371258, ' right': -1.5736201, 'Right': -6.182859, 'right': -6.528256, '\n': -9.479092}
{' Left': -0.55220795, ' left': -0.86485475, 'Left': -6.5048327, 'left': -6.521726, '\n': -9.017697}
{' Right': -0.42769176, ' right': -1.0716851, 'Right': -5.937772, 'right': -6.1006207, ' RIGHT': -8.446238}
{' Left': -0.28820086, ' left': -1.4651818, 'Left': -4.607903, 'left': -5.0026364, ' Right': -6.3998475}
{' Right': -0.38786173, ' right': -1.2161508, 'right': -4.3320546, 'Right': -4.7072945, ' Left': -6.618187}
{' Left': -0.58377975, ' left': -0.8401617, 'left': -5.2182493, 'Left': -5.3871813, '\n': -8.13489}
{' Right': -0.40890872, ' right': -1.1368845, 'Right': -4.8882384, 'right': -5.06633, ' ': -7.9820337}
{' Left': -0.17830175, ' left': -1.9042023, 'Left': -4.68266, 'left': -5.7019844, ' Right': -6.9008927}
{' Right': -0.25096783, ' right': -1.595662, 'Right': -4.635825, 'right': -4.787793, ' ': -7.4633923}
{' Left': -0.43547237, ' left': -1.0727137, 'Left': -5.162609, 'left': -5.402799, ' ': -7.785832}
{' Right': -0.26824924, ' right': -1.5150868, 'Right': -4.777927, 'right': -5.214515, ' ': -7.501151}
{' left': -0.63029057, ' Left': -0.79829377, 'Left': -4.960798, 'left': -4.964769, ' right': -6.755193}
{' Right': -0.6647935, ' right': -0.7670884, 'right': -4.524164, 'Right': -4.772103, '\n': -7.3349495}
{' left': -0.47761878, ' Left': -1.0049778, 'left': -5.025649, 'Left': -5.140857, '\n': -7.163541}
{' right': -0.5677321, ' Right': -0.8830645, 'right': -4.5314693, 'Right': -4.9567547, '\n': -6.9526806}
{' Left': -0.27724728, ' left': -1.4990261, 'Left': -4.321772, 'left': -5.3705544, ' ': -7.451635}
{' Right': -0.28562126, ' right': -1.4728467, 'Right': -4.4783735, 'right': -5.004083, ' ': -7.2957253}
{' Left': -0.39641717, ' left': -1.1589066, 'Left': -4.7821918, 'left': -5.4248824, ' ': -7.6994796}
{' Right': -0.29546124, ' right': -1.4345068, 'Right': -4.5097384, 'right': -5.4034743, ' ': -6.9903574}
{' Left': -0.07785631, ' left': -2.6979773, 'Left': -5.3735905, 'left': -6.5789566, ' Right': -6.831793}
{' Right': -0.0833776, ' right': -2.6183028, 'Right': -5.441196, 'right': -6.1545725, ' ': -8.182993}
{' Left': -0.18481325, ' left': -1.824143, 'Left': -5.4177155, 'left': -6.025187, ' ': -8.402967}
{' Right': -0.09435599, ' right': -2.5272934, 'Right': -5.1381774, 'right': -6.033143, ' Left': -7.0138445}
{' Right': -0.07993539, ' right': -2.6080992, 'Right': -6.2544975, 'right': -7.100216, ' ': -8.851985}
{' Left': -0.22383204, ' left': -1.6216782, 'Left': -6.403713, 'left': -6.719477, ' ': -9.777622}
{' Right': -0.18630739, ' right': -1.7944978, 'Right': -6.229635, 'right': -6.428739, ' ': -9.268448}
{' Left': -0.1602741, ' left': -1.932777, 'Left': -6.2073503, 'left': -6.8379016, ' Right': -9.384194}
{' Right': -0.038139462, ' right': -3.4716513, 'Right': -5.2957935, 'right': -6.9308453, ' ': -8.707498}
{' Left': -0.12417725, ' left': -2.2071316, 'Left': -5.359304, 'left': -6.2448378, ' ': -9.351748}
{' Right': -0.06296388, ' right': -2.9245932, 'Right': -5.327391, 'right': -6.0814, ' ': -9.061815}
{' Left': -0.106617056, ' left': -2.3869762, 'Left': -5.0366936, 'left': -5.9660716, ' ': -9.345782}
{' Right': -0.0433246, ' right': -3.4309568, 'Right': -4.8782797, 'right': -6.4126234, ' ': -8.134902}
{' Left': -0.15236343, ' left': -2.030627, 'Left': -4.9961305, 'left': -5.7782383, ' ': -8.957937}
{' Right': -0.08240697, ' right': -2.719053, 'Right': -4.7393074, 'right': -5.4964175, ' ': -8.602728}
{' Left': -0.1395626, ' left': -2.1430283, 'Left': -4.721838, 'left': -5.562935, ' ': -8.920687}
{' Right': -0.16359448, ' right': -1.9515793, 'Right': -5.1242437, 'right': -6.043395, ' ': -8.307752}
{' Left': -0.39607748, ' left': -1.1446432, 'Left': -5.2681875, 'left': -5.705903, ' ': -8.9555025}
{' Right': -0.20761807, ' right': -1.7287837, 'Right': -5.120147, 'right': -5.607398, ' ': -8.529653}
{' Left': -0.32189712, ' left': -1.3343807, 'Left': -4.9272075, 'left': -5.496698, ' ': -8.451537}
{' Right': -0.06739011, ' right': -2.9722896, 'Right': -4.529712, 'right': -6.16494, ' ': -7.4647574}
{' Left': -0.19550657, ' left': -1.831218, 'Left': -4.4096656, 'left': -5.3424907, ' ': -8.225295}
{' Right': -0.12860566, ' right': -2.288903, 'Right': -4.3211565, 'right': -5.2152066, ' ': -7.9686747}
{' Left': -0.2272787, ' left': -1.7114781, 'Left': -4.1798086, 'left': -4.986972, ' ': -7.9572105}
{' Right': -0.021263327, ' right': -4.125614, 'Right': -5.648168, 'right': -7.287304, ' Left': -8.1108}
{' Left': -0.059965894, ' left': -2.9282596, 'Left': -5.645947, 'left': -6.8619614, ' ': -9.362883}
{' Right': -0.030189537, ' right': -3.6999815, 'Right': -5.575901, 'right': -6.908729, ' ': -8.931667}
{' Left': -0.067863956, ' left': -2.84384, 'Left': -5.1985345, 'left': -6.4260545, ' ': -8.918079}
{' Right': -0.3117369, ' right': -1.327587, 'right': -6.689796, 'Right': -6.718025, ' ': -9.204446}
{' Left': -0.2806714, ' left': -1.4160379, 'Left': -6.752339, 'left': -7.319463, ' Right': -9.198473}
{' Right': -0.26254043, ' right': -1.4798466, 'Right': -6.686725, 'right': -7.099189, ' Left': -7.6934886}
{' Left': -0.25932267, ' left': -1.4868255, 'Left': -6.564527, 'left': -7.091688, ' ': -9.809122}
{' Right': -0.058349293, ' right': -2.9829879, 'Right': -5.459039, 'right': -6.489141, ' ': -9.210569}
{' Left': -0.060940698, ' left': -2.9574955, 'Left': -5.1987104, 'left': -6.6730995, ' Right': -8.121929}
{' Right': -0.109326676, ' Left': -3.0890646, ' right': -3.1209326, ' left': -5.1296835, 'Right': -5.2301455}
{' Left': -0.12567843, ' left': -2.2026362, 'Left': -5.215814, 'left': -6.1850386, ' ': -9.989572}
{' Right': -0.04146461, ' right': -3.3583992, 'Right': -5.517056, 'right': -6.616059, ' ': -8.323207}
{' Left': -0.054521497, ' left': -3.0725458, 'Left': -5.2322993, 'left': -6.7452445, ' ': -9.193191}
{' Right': -0.13744652, ' Left': -2.471845, ' right': -3.5124424, ' left': -4.8421717, 'Right': -5.679375}
{' Left': -0.084409416, ' left': -2.5909116, 'Left': -5.452312, 'left': -6.468332, ' ': -9.691428}
{' Right': -0.2071987, ' right': -1.7261996, 'Right': -5.210073, 'right': -5.761152, ' ': -8.228648}
{' Left': -0.17586309, ' left': -1.8739907, 'Left': -5.2188125, 'left': -6.2438293, ' ': -8.954179}
{' Right': -0.22672777, ' right': -1.7341626, ' Left': -4.4301214, ' left': -5.058425, 'Right': -5.452413}
{' Left': -0.33535868, ' left': -1.2857351, 'Left': -5.233226, 'left': -5.83569, ' ': -9.129293}
{' Right': -0.05079705, ' right': -3.2077985, 'Right': -4.9517446, 'right': -6.5219193, ' ': -8.1801815}
{' Left': -0.077942654, ' left': -2.7719886, 'Left': -4.551129, 'left': -6.408015, ' ': -8.966187}
{' Left': -0.4982202, ' Right': -1.2652739, ' left': -2.5227163, ' right': -3.9978886, 'Left': -5.312019}
{' Left': -0.11241653, ' left': -2.3284867, 'Left': -5.009511, 'left': -6.213952, ' ': -9.023629}
{' Right': -0.03430943, ' right': -3.527605, 'Right': -5.8855877, 'right': -6.8947215, ' ': -8.376382}
{' Left': -0.03983366, ' left': -3.3747656, 'Left': -5.564425, 'left': -7.1543236, ' ': -9.235069}
{' Right': -0.22082143, ' Left': -1.8312244, ' right': -3.8595924, ' left': -4.4986897, 'Right': -5.977907}
{' Left': -0.08156041, ' left': -2.6124098, 'Left': -5.691992, 'left': -6.5511093, ' ': -9.245334}
{' Left': -0.253007, ' left': -1.6031886, ' Right': -4.1628065, ' right': -5.557137, 'Left': -6.450402}
{' Right': -0.22510009, ' right': -1.6178004, 'Right': -6.227375, 'right': -6.8354363, ' RIGHT': -9.713149}
{' Left': -0.46502164, ' left': -0.9983506, 'left': -6.6166496, 'Left': -6.677889, ' Right': -7.627829}
{' Right': -0.23247969, ' right': -1.5918013, 'Right': -6.132145, 'right': -6.795166, ' RIGHT': -8.352076}
{' Left': -0.18363242, ' left': -1.87748, 'Left': -4.7204957, 'left': -5.428921, ' Right': -6.9365153}
{' Right': -0.26243636, ' right': -1.5458665, 'Right': -4.7669606, 'right': -4.7752705, ' ': -8.292248}
{' Left': -0.40320075, ' left': -1.1393553, 'Left': -5.088898, 'left': -5.2461705, ' ': -8.5886965}
{' Right': -0.23915593, ' right': -1.6128227, 'Right': -4.799718, 'right': -5.4301844, ' RIGHT': -8.300477}
{' Left': -0.12050096, ' left': -2.2858374, 'Left': -4.7756157, 'left': -5.9774127, ' Right': -7.8319}
{' Right': -0.12782365, ' right': -2.2333972, 'Right': -4.837456, 'right': -5.4596868, ' ': -7.9887557}
{' Left': -0.27295187, ' left': -1.4793612, 'Left': -5.030562, 'left': -5.506472, ' ': -8.137212}
{' Right': -0.1802548, ' right': -1.8800706, 'Right': -4.908845, 'right': -5.636044, ' RIGHT': -7.432428}
{' Left': -0.6301325, ' left': -0.7941588, 'Left': -4.8948154, 'left': -5.1576557, ' Right': -7.2196503}
{' Right': -0.5800479, ' right': -0.86369926, 'right': -4.680479, 'Right': -4.8117943, '\n': -7.801156}
{' left': -0.6097868, ' Left': -0.8140562, 'Left': -5.023475, 'left': -5.1353188, '\n': -7.4528294}
{' Right': -0.66964346, ' right': -0.75406086, 'Right': -4.8185425, 'right': -4.828047, '\n': -7.3090878}
{' Left': -0.25115615, ' left': -1.5822911, 'Left': -4.4165497, 'left': -5.5680466, ' ': -7.5716443}
{' Right': -0.21550733, ' right': -1.7169605, 'Right': -4.685394, 'right': -5.4904666, ' ': -7.408067}
{' Left': -0.3124854, ' left': -1.3567415, 'Left': -4.946625, 'left': -5.741999, ' ': -7.824179}
{' Right': -0.25023314, ' right': -1.5812974, 'Right': -4.5860577, 'right': -5.641478, ' ': -7.0735016}
{' Left': -0.08081863, ' left': -3.1093812, ' Right': -3.5687625, 'Left': -5.9803605, ' right': -6.999529}
{' Right': -0.03670136, ' right': -3.4604762, 'Right': -5.6738157, 'right': -7.098549, ' ': -8.49353}
{' Left': -0.07115045, ' left': -2.8550878, ' Right': -4.973225, 'Left': -5.9744434, 'left': -6.924231}
{' Right': -0.039710857, ' right': -3.380758, 'Right': -5.678449, 'right': -7.139913, ' ': -8.436023}
{' Right': -0.07487968, ' right': -2.6694405, 'Right': -6.3387704, 'right': -7.1745615, ' ': -9.175146}
{' Left': -0.24274898, ' left': -1.548373, 'Left': -6.4464855, 'left': -6.6661496, ' ': -10.216068}
{' Right': -0.16999081, ' right': -1.8818858, 'Right': -6.195104, 'right': -6.3100114, ' ': -9.3986025}
{' Left': -0.17395657, ' left': -1.8558832, 'Left': -6.2893243, 'left': -6.7648587, ' Right': -8.93623}
{' Right': -0.037335478, ' right': -3.5194156, 'Right': -5.22635, 'right': -6.7313223, ' Left': -8.471438}
{' Left': -0.12363119, ' left': -2.2318199, 'Left': -5.122023, 'left': -5.848733, ' ': -9.499062}
{' Right': -0.0688032, ' right': -2.8499842, 'Right': -5.224231, 'right': -5.7913804, ' ': -9.124795}
{' Left': -0.08524828, ' left': -2.6302292, 'Left': -4.9842005, 'left': -5.9630094, ' Right': -8.995109}
{' Right': -0.0316241, ' right': -3.9251769, 'Right': -5.060623, ' Left': -5.7843895, 'right': -6.625523}
{' Left': -0.103410296, ' left': -2.4301066, 'Left': -4.9939933, 'left': -5.7681913, ' ': -8.969695}
{' Right': -0.07276202, ' right': -2.8488429, 'Right': -4.886824, 'right': -5.46403, ' ': -8.468241}
{' Left': -0.096616894, ' left': -2.513733, 'Left': -4.8932323, 'left': -5.734131, ' Right': -8.4340515}
{' Right': -0.21395943, ' right': -1.6999824, 'Right': -5.0946107, 'right': -5.731305, ' ': -8.247389}
{' Left': -0.47850904, ' left': -0.99102515, 'Left': -5.3140554, 'left': -5.5254393, ' ': -9.09281}
{' Right': -0.25566196, ' right': -1.5368185, 'Right': -5.1538224, 'right': -5.4190207, ' ': -8.592252}
{' Left': -0.3643451, ' left': -1.2266556, 'Left': -4.95589, 'left': -5.4234858, ' ': -8.446095}
{' Right': -0.04320709, ' right': -3.6559007, 'Right': -4.6904716, ' Left': -5.4615154, 'right': -6.445443}
{' Left': -0.13354507, ' left': -2.2197134, 'Left': -4.4403095, 'left': -5.4482136, ' ': -8.723715}
{' Right': -0.12060983, ' right': -2.3523774, 'Right': -4.4260945, 'right': -5.1475224, ' ': -7.8192577}
{' Left': -0.17902902, ' left': -1.9279933, 'Left': -4.4097476, 'left': -5.1458926, ' ': -8.172186}
{' Right': -0.020182949, ' right': -4.1935225, 'Right': -5.6796217, 'right': -7.3341303, ' Left': -7.579894}
{' Left': -0.05153506, ' left': -3.0987742, 'Left': -5.570654, 'left': -6.726528, ' ': -9.566056}
{' Right': -0.030560154, ' right': -3.6868901, 'Right': -5.6064415, 'right': -6.7696342, ' ': -8.989145}
{' Left': -0.043654922, ' left': -3.3111987, 'Left': -5.367868, 'left': -6.659711, ' Right': -8.984199}
{' Right': -0.25595996, ' right': -1.4980118, 'Right': -6.8667417, 'right': -6.8709903, '\n': -9.709905}
{' Left': -0.26224813, ' left': -1.4801149, 'Left': -6.408196, 'left': -6.951453, ' Right': -8.0687685}
{' Right': -0.2095093, ' right': -1.686642, 'Right': -6.8267193, ' Left': -6.8896103, 'right': -7.1387386}
{' Left': -0.29589808, ' left': -1.371637, 'Left': -6.5578227, 'left': -6.96635, ' ': -10.322101}
{' Right': -0.06507014, ' right': -2.8674974, 'Right': -5.4838915, 'right': -6.368571, ' Left': -8.889881}
{' Left': -0.06294839, ' left': -3.0246773, ' Right': -5.1643314, 'Left': -5.274761, 'left': -6.636907}
{' Right': -0.16359091, ' Left': -2.4273047, ' right': -3.1351714, ' left': -4.442529, 'Right': -5.388362}
{' Left': -0.13277824, ' left': -2.1434364, 'Left': -5.33733, 'left': -6.1490207, ' Right': -9.455256}
{' Right': -0.055614047, ' right': -3.0659883, 'Right': -5.4890985, 'right': -6.2744417, ' Left': -7.0738134}
{' Left': -0.048079297, ' left': -3.203223, 'Left': -5.424523, 'left': -6.759585, ' Right': -7.428769}
{' Left': -0.15010571, ' left': -2.6994812, ' Right': -2.7590687, 'Left': -5.589801, ' right': -5.9845343}
{' Left': -0.08342606, ' left': -2.6161082, 'Left': -5.468724, 'left': -6.3461266, ' Right': -7.1230984}
{' Right': -0.16972248, ' right': -1.904492, 'Right': -5.390721, 'right': -6.083002, '\n': -8.989987}
{' Left': -0.15477477, ' left': -1.9965755, 'Left': -5.263734, 'left': -6.385588, ' Right': -7.7272363}
{' Right': -0.19138803, ' right': -1.8249712, ' Left': -5.399443, 'Right': -5.6362314, ' left': -6.0912447}
{' Left': -0.3475371, ' left': -1.2509052, 'Left': -5.3803873, 'left': -5.975453, ' ': -9.411327}
{' Right': -0.056933362, ' right': -3.0849333, 'Right': -4.903197, 'right': -6.386155, ' ': -8.475051}
{' Left': -0.06774442, ' left': -2.9698937, 'Left': -4.4297495, 'left': -6.226531, ' Right': -8.802798}
{' Left': -0.56895256, ' Right': -1.110857, ' left': -2.5656736, ' right': -4.0463753, 'Left': -5.429804}
{' Left': -0.11284874, ' left': -2.340405, 'Left': -4.838833, 'left': -6.0897436, ' Right': -9.125338}
{' Right': -0.037313078, ' right': -3.4277508, 'Right': -5.906907, 'right': -6.7943277, ' ': -8.9746685}
{' Left': -0.041171655, ' left': -3.3655999, 'Left': -5.3852687, 'left': -6.9109454, ' ': -9.498136}
{' Right': -0.057318825, ' Left': -3.475852, ' right': -3.9924364, 'Right': -5.9509478, ' left': -6.1170964}
{' Left': -0.06682809, ' left': -2.821558, 'Left': -5.587187, 'left': -6.655088, ' ': -9.836913}
{' Left': -0.3079739, ' left': -1.3586351, ' Right': -5.6211677, 'Left': -6.374016, 'left': -6.5368767}
{' Right': -0.28975394, ' right': -1.3923731, 'Right': -6.533751, 'right': -6.6631036, '\n': -8.984703}
{' Left': -0.53503513, ' left': -0.88818467, 'left': -6.586657, 'Left': -6.668643, '\n': -8.683945}
{' Right': -0.43201968, ' right': -1.0593771, 'Right': -6.3190966, 'right': -6.4179277, '\n': -8.28081}
{' Left': -0.28231412, ' left': -1.4720857, 'Left': -4.7122116, 'left': -5.1671352, ' Right': -6.942985}
{' Right': -0.29992983, ' right': -1.4156106, 'right': -4.8370924, 'Right': -4.9394813, ' Left': -7.7991076}
{' Left': -0.5625334, ' left': -0.8681364, 'left': -5.2624235, 'Left': -5.3559732, '\n': -7.9915094}
{' Right': -0.36673096, ' right': -1.2323639, 'Right': -4.8523035, 'right': -5.0280466, '\n': -7.865263}
{' Left': -0.113459, ' left': -2.3543458, 'Left': -4.7297635, 'left': -6.04093, ' Right': -7.2929974}
{' Right': -0.13575663, ' right': -2.1722424, 'Right': -4.834678, 'right': -5.4011602, ' ': -8.198855}
{' Left': -0.37395605, ' left': -1.1992449, 'Left': -5.124967, 'left': -5.494579, ' ': -8.206195}
{' Right': -0.25599954, ' right': -1.5453862, 'Right': -4.9589944, 'right': -5.455575, ' RIGHT': -7.4751215}
{' Left': -0.68957585, ' left': -0.7277246, 'Left': -4.93442, 'left': -5.1408753, '\n': -7.1293445}
{' Right': -0.59557307, ' right': -0.8404099, 'right': -4.7567325, 'Right': -4.9102373, '\n': -7.486924}
{' left': -0.5592186, ' Left': -0.8765862, 'Left': -5.164504, 'left': -5.2593336, '\n': -7.1195006}
{' Right': -0.6505901, ' right': -0.769559, 'right': -4.994256, 'Right': -5.0211287, '\n': -7.0799766}
{' Left': -0.23110792, ' left': -1.6778564, 'Left': -4.240036, 'left': -5.3671494, ' ': -8.022697}
{' Right': -0.2365884, ' right': -1.6486748, 'Right': -4.4652357, 'right': -5.0888224, ' ': -7.752706}
{' Left': -0.3466249, ' left': -1.2740045, 'Left': -4.775063, 'left': -5.4460645, ' ': -8.080139}
{' Right': -0.26357752, ' right': -1.5302631, 'Right': -4.605481, 'right': -5.5240946, ' RIGHT': -7.5997787}
{' Left': -0.0673734, ' left': -2.840538, 'Left': -5.510294, 'left': -6.6520667, ' Right': -6.8667727}
{' Right': -0.051750094, ' right': -3.0851438, 'Right': -5.7913337, 'right': -6.6485896, ' ': -8.688244}
{' Left': -0.15815423, ' left': -1.969073, 'Left': -5.5246987, 'left': -6.110754, ' ': -8.613204}
{' Right': -0.077162184, ' right': -2.7320693, 'Right': -5.224009, 'right': -6.121561, ' Left': -7.138675}
{' Right': -0.091219865, ' right': -2.474843, 'Right': -6.3613653, 'right': -6.976657, ' ': -9.11768}
{' Left': -0.2402916, ' left': -1.5574033, 'Left': -6.4729304, 'left': -6.649738, ' ': -10.31519}
{' Right': -0.21292642, ' right': -1.6724753, 'right': -6.1812754, 'Right': -6.358657, ' ': -9.176608}
{' Left': -0.19062224, ' left': -1.771652, 'Left': -6.3879256, 'left': -6.6467586, ' Right': -8.321481}
{' Right': -0.04231402, ' right': -3.4462101, 'Right': -5.2050834, ' Left': -6.1687613, 'right': -6.520104}
{' Left': -0.1269618, ' left': -2.199298, 'Left': -5.2475214, 'left': -5.8287835, ' Right': -9.581377}
{' Right': -0.07654305, ' right': -2.7456982, 'Right': -5.3713183, 'right': -5.699164, ' Left': -6.8286886}
{' Left': -0.089817554, ' left': -2.6020799, 'Left': -5.2594743, ' Right': -5.610552, 'left': -5.9839153}
{' Right': -0.038994912, ' right': -3.584285, 'Right': -5.0803576, ' Left': -6.157639, 'right': -6.5168314}
{' Left': -0.09499996, ' left': -2.5026538, 'Left': -5.16062, 'left': -5.913491, ' Right': -8.68788}
{' Right': -0.08254691, ' right': -2.7030187, 'Right': -4.9555783, 'right': -5.3885007, ' ': -8.337013}
{' Left': -0.12802221, ' left': -2.2162483, 'Left': -4.9864106, 'left': -5.6560044, ' Right': -7.508667}
{' Right': -0.18575165, ' right': -1.8432968, 'Right': -5.0691004, 'right': -5.6305013, ' Left': -7.4484043}
{' Left': -0.45830804, ' left': -1.0281228, 'left': -5.3333116, 'Left': -5.353726, ' Right': -8.785842}
{' Right': -0.3074977, ' right': -1.3727787, 'right': -5.1700506, 'Right': -5.253157, ' ': -8.420723}
{' Left': -0.37767005, ' left': -1.1951482, 'Left': -5.1933417, 'left': -5.378383, ' Right': -7.0493636}
{' Right': -0.045655422, ' right': -3.5536013, 'Right': -4.769828, ' Left': -5.420138, 'right': -6.2941484}
{' Left': -0.117528014, ' left': -2.3516703, 'Left': -4.4686384, 'left': -5.5238867, ' ': -8.859026}
{' Right': -0.12668653, ' right': -2.30201, 'Right': -4.466509, 'right': -5.06115, ' ': -7.564451}
{' Left': -0.15621442, ' left': -2.0601242, 'Left': -4.5037923, 'left': -5.213979, ' ': -8.071628}
{' Right': -0.021618536, ' right': -4.120507, 'Right': -5.677703, 'right': -7.2802386, ' Left': -7.287003}
{' Left': -0.05743466, ' left': -2.977692, 'Left': -5.6301923, 'left': -6.72472, ' ': -9.563013}
{' Right': -0.040400915, ' right': -3.3590233, 'Right': -5.736224, 'right': -6.621457, ' ': -8.842952}
{' Left': -0.044990327, ' left': -3.265182, 'Left': -5.478296, 'left': -6.6883445, ' Right': -8.497477}
{' Right': -0.37496644, ' right': -1.1718471, 'right': -6.4447427, 'Right': -6.921093, ' Left': -9.201679}
{' Left': -0.19698137, ' left': -1.7424467, 'Left': -6.580344, ' Right': -6.753688, 'left': -7.0172977}
{' Right': -0.26694554, ' right': -1.4828974, ' Left': -5.964241, ' left': -6.10726, 'Right': -6.850355}
{' Left': -0.36171708, ' left': -1.2026366, 'Left': -6.3976016, 'left': -6.6001716, ' Right': -10.127998}
{' Right': -0.06559928, ' right': -2.8437097, 'Right': -5.690874, 'right': -6.4689517, ' Left': -8.615473}
{' Left': -0.057615854, ' left': -3.020838, 'Left': -5.418898, ' Right': -6.5552235, 'left': -6.675266}
{' Right': -0.21697484, ' Left': -2.0201821, ' right': -3.2447648, ' left': -4.099194, 'Right': -5.5631948}
{' Left': -0.12304626, ' left': -2.2154686, 'Left': -5.425618, 'left': -6.192473, ' Right': -8.824294}
{' Right': -0.05654376, ' right': -3.028088, 'Right': -5.4846406, 'right': -6.213474, ' ': -8.64395}
{' Left': -0.038306046, ' left': -3.4527555, 'Left': -5.6142545, ' Right': -6.728371, 'left': -6.9601746}
{' Right': -0.64602375, ' Left': -0.85589695, ' left': -3.527608, ' right': -4.11131, 'Right': -6.3817573}
{' Left': -0.07841521, ' left': -2.6746638, 'Left': -5.511305, 'left': -6.273388, ' Right': -7.704128}
{' Right': -0.31007153, ' right': -1.3575835, 'Right': -5.4101787, 'right': -5.652372, ' Left': -7.6581182}
{' Left': -0.20715243, ' left': -1.7141886, 'Left': -5.5054903, 'left': -6.312339, ' Right': -7.199883}
{' Right': -0.2485188, ' right': -1.6568954, ' Left': -4.2580233, ' left': -4.792582, 'Right': -5.657738}
