{' Yes': -0.0029946903, ' No': -6.6307826, 'Yes': -6.8748684, ' The': -7.6930256, ' yes': -9.08091}
{' Yes': -0.06435078, ' No': -2.8719106, 'Yes': -5.323935, 'No': -7.314179, ' yes': -9.59739}
{' No': -0.15489599, ' Yes': -1.9683383, 'No': -5.755449, 'Yes': -8.157287, ' The': -8.810545}
{' No': -0.22899942, ' Yes': -1.6280416, 'No': -4.9495745, 'Yes': -7.1272225, ' The': -8.434105}
{' No': -0.040916286, ' Yes': -3.5674548, 'No': -4.553556, ' The': -7.3552604, 'Yes': -8.590598}
{' No': -0.1293891, ' Yes': -2.1488574, 'No': -5.625385, ' The': -7.459219, 'Yes': -7.81464}
{' No': -0.13494207, ' Yes': -2.1188745, 'No': -5.481936, ' The': -7.1497407, 'Yes': -7.5017037}
{' No': -0.35423484, ' Yes': -1.2334006, 'No': -5.556343, ' The': -6.562446, 'Yes': -6.7394385}
{' Yes': -0.0546727, ' No': -3.0198464, 'Yes': -5.7220597, ' The': -7.477873, 'No': -7.8786407}
{' Yes': -0.45373198, ' No': -1.0318683, 'No': -5.71072, 'Yes': -5.7596664, ' The': -6.7699566}
{' Yes': -0.0042646467, 'Yes': -5.4865184, ' yes': -9.847448, ' No': -10.417458, '\n': -11.596029}
{' No': -0.22646199, ' Yes': -1.6352832, 'No': -5.145371, 'Yes': -7.020834, ' The': -7.460868}
{' Yes': -0.097801395, ' No': -2.4344769, 'Yes': -5.417883, 'No': -7.0197105, '\n': -9.758706}
{' No': -0.18399079, ' Yes': -1.8133053, 'No': -5.485199, 'Yes': -7.6989684, ' The': -8.727806}
{' No': -0.49741957, ' Yes': -0.95106906, 'No': -5.5947514, 'Yes': -6.5491924, ' The': -8.6662445}
{' Yes': -0.35142082, ' No': -1.2360072, 'Yes': -5.821063, 'No': -6.0690126, ' The': -8.387557}
{' Yes': -0.13955691, ' No': -2.0714474, 'Yes': -5.888422, 'No': -6.9263496, ' The': -8.050703}
{' Yes': -0.02376011, ' No': -3.983906, 'Yes': -5.4586067, ' The': -8.333256, 'No': -8.528092}
{' No': -0.034372102, ' Yes': -3.5696406, 'No': -5.3438697, ' The': -8.07968, '\n': -8.516829}
{' No': -0.016095407, 'No': -4.357091, ' Yes': -5.8989954, ' Not': -8.78439, ' The': -9.274377}
{' No': -0.015106086, 'No': -4.82745, ' Yes': -5.005886, ' The': -9.2996855, ' Not': -9.386948}
{' No': -0.01724444, 'No': -4.1358795, ' Yes': -7.134611, ' The': -8.898203, ' Not': -9.8616495}
{' Yes': -0.020690743, ' No': -4.1175914, 'Yes': -5.630634, 'No': -8.667791, '\n': -8.804097}
{' Yes': -0.018520724, ' No': -4.172516, 'Yes': -5.9965954, ' yes': -9.102659, 'No': -9.208202}
{' Yes': -0.0744158, ' No': -2.7073808, 'Yes': -5.5052686, 'No': -7.451304, ' The': -8.850483}
{' Yes': -0.06581245, ' No': -2.8174794, 'Yes': -5.8213434, 'No': -7.862645, ' The': -8.053542}
{' No': -0.008713747, ' Yes': -5.4401865, 'No': -5.481648, ' The': -9.804924, '\n': -10.198779}
{' No': -0.010303609, 'No': -5.0789967, ' Yes': -5.5978527, '\n': -9.294197, ' ': -9.314749}
{' No': -0.118172795, ' Yes': -2.2828686, 'No': -4.7683573, 'Yes': -7.5275483, ' The': -8.55752}
{' No': -0.11591468, ' Yes': -2.285913, 'No': -5.0076437, ' The': -7.751571, 'Yes': -7.780795}
{' No': -0.010475859, ' Yes': -5.0659966, 'No': -5.5746193, ' The': -8.81608, '\n': -10.166956}
{' No': -0.007833784, 'No': -4.883505, ' Yes': -9.282669, ' The': -9.993021, ' ': -10.125297}
{' Yes': -0.28331876, ' No': -1.4115956, 'Yes': -6.589066, 'No': -6.866519, ' The': -8.095938}
{' No': -0.47352156, ' Yes': -1.007251, 'No': -4.7036357, 'Yes': -5.9369817, ' The': -9.03999}
{' Yes': -0.13471748, ' No': -2.0989451, 'Yes': -6.072189, 'No': -7.3942556, ' Not': -8.694188}
{' Yes': -0.23137735, ' No': -1.5980307, 'Yes': -5.994107, 'No': -6.640414, ' The': -8.218008}
{' No': -0.11825243, ' Yes': -2.245667, 'No': -5.423588, ' The': -7.9437757, 'Yes': -8.172134}
{' No': -0.048153915, ' Yes': -3.316106, 'No': -4.6618967, '\n': -7.850127, ' The': -8.053691}
{' No': -0.02002404, ' Yes': -4.5386033, 'No': -4.7481217, ' Not': -8.680507, ' The': -9.297367}
{' Yes': -0.45412508, ' No': -1.0178152, 'No': -6.380385, 'Yes': -6.6121144, ' The': -8.300482}
{' No': -0.0310045, ' Yes': -3.8412821, 'No': -4.7472634, 'Yes': -8.870984, ' The': -8.921005}
{' No': -0.3973952, ' Yes': -1.129775, 'No': -5.7618012, 'Yes': -6.8187413, ' The': -7.809649}
{' No': -0.3957, ' Yes': -1.1415839, 'No': -5.3583, 'Yes': -6.5112143, ' The': -6.961297}
{' No': -0.4765979, ' Yes': -0.9857475, 'No': -5.6470003, 'Yes': -6.6565976, ' The': -6.919266}
{' No': -0.014795587, 'No': -4.9180074, ' Yes': -4.9579797, ' The': -8.930586, '\n': -9.742672}
{' No': -0.03306393, ' Yes': -3.670803, 'No': -5.0222907, ' The': -9.082296, 'Yes': -9.106236}
{' No': -0.027307477, ' Yes': -3.9827156, 'No': -4.9443436, ' The': -7.392399, ' Not': -8.477436}
{' No': -0.010142889, 'No': -4.896846, ' Yes': -6.1198187, ' The': -8.759974, '\n': -8.990874}
{' No': -0.019242566, 'No': -4.4856825, ' Yes': -4.914304, ' The': -8.462985, '\n': -9.488261}
{' No': -0.009809789, 'No': -5.073229, ' Yes': -5.7341805, ' The': -8.987034, ' Not': -10.078299}
{' No': -0.04654367, ' Yes': -3.3435538, 'No': -4.6570725, ' The': -8.431852, 'Yes': -8.655868}
{' No': -0.09243554, ' Yes': -2.504415, 'No': -5.177179, ' The': -7.6567245, 'Yes': -8.237449}
{' No': -0.034942333, ' Yes': -3.5935414, 'No': -5.115463, ' The': -8.027886, '\n': -8.486747}
{' No': -0.009676773, 'No': -4.929333, ' Yes': -6.2224717, ' The': -8.643065, '\n': -9.247215}
{' No': -0.3010369, ' Yes': -1.3766556, 'No': -5.40179, 'Yes': -6.531555, ' The': -6.689457}
{' No': -0.10197703, ' Yes': -2.3809707, 'No': -5.678662, ' The': -7.357504, 'Yes': -8.248551}
{' No': -0.063274786, ' Yes': -2.9376185, 'No': -4.8938317, '\n': -8.124596, 'Yes': -8.347748}
{' Yes': -0.40621966, ' No': -1.137354, 'No': -5.083124, 'Yes': -5.256508, ' The': -7.308064}
{' No': -0.026331069, ' Yes': -3.9397388, 'No': -5.061857, 'Yes': -9.468862, ' Not': -10.193882}
{' No': -0.08627579, ' Yes': -2.5264404, 'No': -6.0770364, ' The': -8.842592, 'Yes': -8.907195}
{' Yes': -0.017658586, ' No': -4.2694244, 'Yes': -5.753862, 'No': -9.155891, ' yes': -9.185989}
{' No': -0.5707265, ' Yes': -0.8549444, 'No': -5.101019, 'Yes': -6.1230927, ' The': -7.1884265}
{' Yes': -0.07126476, ' No': -2.755635, 'Yes': -5.7487035, ' The': -7.275423, 'No': -7.645983}
{' Yes': -0.20789105, ' No': -1.7046503, 'Yes': -5.729491, 'No': -6.5926046, ' The': -7.4899898}
{' Yes': -0.1409781, ' No': -2.0747855, 'Yes': -5.4647865, 'No': -6.51755, ' yes': -9.837423}
{' Yes': -0.03577584, ' No': -3.4518218, 'Yes': -5.864848, ' The': -8.399024, 'No': -8.427451}
{' Yes': -0.51162463, ' No': -0.9335302, 'No': -5.625352, 'Yes': -5.805012, ' The': -8.126281}
{' Yes': -0.019027855, ' No': -4.167883, 'Yes': -5.8353972, ' The': -8.898949, ' yes': -9.169203}
{' Yes': -0.6893035, ' No': -0.71342194, 'No': -5.202924, 'Yes': -6.046305, ' The': -9.42405}
{' Yes': -0.11871194, ' No': -2.2680783, 'Yes': -4.985781, 'No': -6.598671, ' yes': -9.679588}
{' No': -0.165934, ' Yes': -1.9001069, 'No': -6.0194507, 'Yes': -8.048838, ' The': -8.118118}
{' No': -0.006570284, 'No': -5.523725, ' Yes': -6.086068, ' The': -9.289649, '\n': -9.789811}
{' No': -0.025334217, ' Yes': -3.944819, 'No': -5.2594876, ' The': -8.680795, '\n': -9.239765}
{' No': -0.57180697, ' Yes': -0.8414603, 'No': -5.9401007, 'Yes': -6.664067, ' The': -8.011357}
{' Yes': -0.006930691, ' No': -5.697547, 'Yes': -5.7084284, ' The': -9.393622, ' yes': -9.736186}
{' Yes': -0.0080590695, ' No': -5.2644544, 'Yes': -6.0024123, ' The': -8.785881, '\n': -9.37941}
{' No': -0.6778871, ' Yes': -0.7218134, 'No': -5.5387306, 'Yes': -6.3117313, ' The': -7.98559}
{' Yes': -0.015137855, ' No': -4.4866, 'Yes': -5.709977, ' The': -8.251559, 'No': -9.276763}
{' No': -0.008669797, 'No': -4.9047956, ' Yes': -6.88369, ' The': -9.063052, ' Not': -10.770928}
{' No': -0.008072711, 'No': -5.264832, ' Yes': -5.9884686, ' The': -8.98953, '\n': -9.100043}
{' No': -0.13051544, ' Yes': -2.140546, 'No': -5.489618, 'Yes': -8.170125, ' The': -8.47339}
{' No': -0.013004845, 'No': -4.7175603, ' Yes': -5.6531734, ' The': -8.261644, ' Not': -9.495949}
{' Yes': -0.054123826, ' No': -3.0503855, 'Yes': -5.4301705, 'No': -7.2560353, ' The': -9.031721}
{' Yes': -0.04143969, ' No': -3.3169696, 'Yes': -5.570792, 'No': -7.915194, ' yes': -9.902664}
{' No': -0.20416413, ' Yes': -1.744207, 'No': -4.822316, 'Yes': -6.916723, ' The': -7.696882}
{' Yes': -0.010139575, ' No': -5.093651, 'Yes': -5.580812, ' The': -9.749142, 'No': -9.940212}
{' No': -0.23104611, ' Yes': -1.607757, 'No': -5.452594, 'Yes': -7.387244, ' Not': -7.816567}
{' No': -0.3942953, ' Yes': -1.1450582, 'No': -5.2428155, 'Yes': -6.349316, ' The': -8.177784}
{' No': -0.029115627, ' Yes': -3.7024572, 'No': -5.612791, ' The': -8.813582, '\n': -9.358911}
{' No': -0.069732904, ' Yes': -2.97209, 'No': -4.1787148, 'Yes': -7.5877023, ' The': -8.895344}
{' No': -0.005359783, 'No': -5.395172, ' Yes': -7.3347797, ' The': -9.48942, ' ': -10.55176}
{' No': -0.01717313, ' Yes': -4.299318, 'No': -5.7945914, ' The': -8.624423, 'Yes': -9.874905}
{' No': -0.08102047, ' Yes': -2.8913364, 'No': -3.8846147, 'Yes': -7.260773, ' The': -7.976726}
{' No': -0.11094235, ' Yes': -2.3376267, 'No': -4.9055495, 'Yes': -7.677636, ' The': -8.364314}
{' No': -0.51153207, ' Yes': -0.94041854, 'No': -4.934864, 'Yes': -6.3851986, '\n': -7.7192135}
{' No': -0.08115964, ' Yes': -2.6544685, 'No': -4.9602127, 'Yes': -8.448519, ' The': -8.640003}
{' Yes': -0.022768144, ' No': -3.8928432, 'Yes': -6.283289, 'No': -9.390789, ' The': -9.66786}
{' No': -0.049887072, ' Yes': -3.1871092, 'No': -5.0364556, 'Yes': -8.090927, ' The': -8.373745}
{' No': -0.12696356, ' Yes': -2.2086265, 'No': -4.941487, ' The': -6.763537, 'Yes': -7.5757647}
{' No': -0.16058935, ' Yes': -1.9526732, 'No': -5.319908, ' The': -7.4123225, 'Yes': -7.5445213}
{' No': -0.22883599, ' Yes': -1.6233367, 'No': -5.1229987, 'Yes': -7.139534, ' The': -7.995813}
{' Yes': -0.6304902, ' No': -0.7715042, 'No': -5.8416886, 'Yes': -6.1857953, ' The': -9.139073}
{' Yes': -0.22869481, ' No': -1.6049402, 'Yes': -6.2919593, 'No': -7.039899, ' The': -7.479684}
{' Yes': -0.43808952, ' No': -1.0562956, 'No': -5.804651, 'Yes': -5.8134804, ' The': -7.561165}
{' No': -0.0131533425, 'No': -4.8750896, ' Yes': -5.314301, '\n': -8.644878, ' The': -8.686295}
{' No': -0.01640752, ' Yes': -4.606333, 'No': -5.099995, ' The': -9.899301, ' Not': -9.968932}
{' No': -0.02320288, ' Yes': -4.0195556, 'No': -5.4274807, ' The': -7.9144874, '\n': -9.809635}
{' No': -0.009141817, 'No': -5.1583076, ' Yes': -5.795104, ' The': -8.578252, '\n': -10.17646}
{' No': -0.018887715, 'No': -4.3085217, ' Yes': -5.318219, ' The': -8.954481, '\n': -9.393661}
{' No': -0.022225777, 'No': -4.244407, ' Yes': -4.945106, ' The': -8.410422, '\n': -9.317733}
{' No': -0.011548451, 'No': -4.5146284, ' Not': -8.498994, ' Yes': -8.952701, ' The': -9.4711485}
{' No': -0.20089652, ' Yes': -1.7439053, 'No': -5.1206617, 'Yes': -7.0694323, ' The': -8.522235}
{' No': -0.056929264, ' Yes': -2.9752562, 'No': -5.594828, ' The': -8.22647, 'Yes': -8.915361}
{' No': -0.11922203, ' Yes': -2.3121903, 'No': -4.4110365, 'Yes': -7.1639857, ' The': -8.251754}
{' No': -0.03490456, ' Yes': -3.680645, 'No': -4.758705, ' The': -8.7024765, 'Yes': -8.783554}
{' No': -0.071057916, ' Yes': -2.7994685, 'No': -5.0370784, ' The': -7.925807, 'Yes': -8.127328}
{' Yes': -0.0047236974, 'Yes': -5.671019, ' No': -7.204287, '\n': -8.360109, ' yes': -8.816256}
{' Yes': -0.041049056, ' No': -3.3042116, 'Yes': -5.873439, 'No': -8.1404295, ' The': -8.493791}
{' Yes': -0.00564147, ' No': -5.323055, 'Yes': -8.08085, ' yes': -8.28571, ' The': -9.222581}
{' Yes': -0.012297863, ' No': -4.4700556, 'Yes': -7.920337, ' yes': -8.133086, ' The': -10.19995}
{' Yes': -0.10076791, ' No': -2.351302, 'Yes': -7.975638, ' yes': -8.936745, '\n': -9.920055}
{' Yes': -0.014302451, ' No': -4.2922735, 'Yes': -7.828652, ' yes': -9.721576, '\n': -10.717189}
{' No': -0.014372955, ' Yes': -4.324418, 'No': -7.7361994, '\n': -7.991708, ' ': -9.024074}
{' No': -0.014728989, ' Yes': -4.3344674, 'No': -6.7777615, '\n': -8.901888, ' ': -8.939362}
{' No': -0.08721962, ' Yes': -2.505026, 'No': -6.8659186, '\n': -7.886656, ' ': -8.9646015}
{' No': -0.016372439, ' Yes': -4.1989245, 'No': -7.0659513, '\n': -8.454228, ' ': -9.609534}
{' No': -0.36585152, ' Yes': -1.1867669, 'No': -7.3998423, 'Yes': -8.517461, '\n': -8.87152}
{' No': -0.4118458, ' Yes': -1.0892141, 'No': -7.5648875, 'Yes': -8.596084, '\n': -8.767953}
{' No': -0.0018311372, 'No': -6.689558, ' Yes': -7.7432137, ' ': -9.760521, '\n': -10.324553}
{' No': -0.058737777, ' Yes': -2.899081, 'No': -6.600314, '\n': -8.007785, 'Yes': -9.364541}
{' Yes': -0.41184488, ' No': -1.0890453, 'Yes': -8.005993, 'No': -8.492176, ' yes': -8.570578}
{' No': -0.02495373, ' Yes': -3.749124, 'No': -7.0405917, '\n': -9.408012, ' The': -10.164138}
{' No': -0.45998758, ' Yes': -1.0006063, ' yes': -8.156794, 'No': -8.403437, 'Yes': -8.725463}
{' Yes': -0.014488576, ' No': -4.2988496, 'Yes': -7.6054444, ' yes': -8.7330265, '\n': -9.600475}
{' No': -0.6770354, ' Yes': -0.7134237, 'No': -7.309401, 'Yes': -7.6646466, '\n': -7.705394}
{' No': -0.115913, ' Yes': -2.2290874, 'No': -6.7744703, '\n': -7.935819, 'Yes': -9.101248}
{' Yes': -0.18779424, ' No': -1.7755933, 'Yes': -7.0850143, '\n': -7.9983125, 'No': -8.092066}
{' No': -0.0015552342, 'No': -6.710327, ' Yes': -8.248753, ' ': -10.152723, '\n': -10.562904}
{' No': -0.08892209, ' Yes': -2.5104005, 'No': -6.3706775, '\n': -7.05286, ' ': -7.5974226}
{' No': -0.0072507653, ' Yes': -5.7594953, 'No': -5.8754272, '\n': -7.361877, ' ': -7.908566}
{' Yes': -0.0008258774, 'Yes': -7.2950916, ' yes': -9.336319, '\n': -10.269137, ' ': -11.112097}
{' Yes': -0.0010399977, 'Yes': -7.0479856, ' yes': -9.221834, '\n': -10.2162075, ' ': -10.885275}
{' No': -0.18980339, ' Yes': -1.7670052, 'No': -6.663881, 'Yes': -8.450129, ' Not': -8.545372}
{' No': -0.007898592, ' Yes': -5.0851917, 'No': -6.587711, '\n': -8.931301, ' ': -9.528011}
{' Yes': -0.5639669, ' No': -0.846058, 'Yes': -7.455387, 'No': -7.7258053, '\n': -7.7259445}
{' Yes': -0.57612646, ' No': -0.8302349, 'Yes': -7.373497, 'No': -7.5811896, '\n': -7.6680017}
{' No': -0.0131643955, ' Yes': -4.451671, 'No': -7.1802397, '\n': -8.278455, ' no': -8.582341}
{' No': -0.045088463, ' Yes': -3.1560998, 'No': -6.8204937, '\n': -8.649401, ' ': -8.943579}
{' No': -0.0126258815, ' Yes': -4.5220957, 'No': -6.542577, ' ': -9.343205, '\n': -9.621957}
{' No': -0.034186374, ' Yes': -3.4370258, 'No': -6.9355035, '\n': -8.235114, ' ': -9.084077}
{' Yes': -0.16555448, ' No': -1.8881018, 'Yes': -7.5623393, ' yes': -8.467461, '\n': -8.551168}
{' No': -0.03161992, ' Yes': -3.4985428, 'No': -7.3178854, '\n': -9.181718, ' ': -9.696961}
{' No': -0.58610946, ' Yes': -0.8188307, 'Yes': -7.0377903, 'No': -7.316807, '\n': -7.348925}
{' No': -0.04914057, ' Yes': -3.0621467, 'No': -7.000631, '\n': -9.383931, 'Yes': -9.463365}
{' No': -0.017668173, ' Yes': -4.1290727, 'No': -6.784349, '\n': -9.223297, ' The': -9.629099}
{' No': -0.048660357, ' Yes': -3.1016254, 'No': -6.191557, '\n': -8.858473, ' ': -9.227713}
{' Yes': -0.15082987, ' No': -1.9822658, ' yes': -7.1959934, 'Yes': -7.356289, '\n': -7.548485}
{' Yes': -0.6128757, ' No': -0.78476596, '\n': -7.431006, 'No': -7.6106634, 'Yes': -7.6199117}
{' Yes': -0.0008594623, 'Yes': -7.7766905, ' No': -8.23276, ' yes': -8.879695, '\n': -11.070657}
{' Yes': -0.09267961, ' No': -2.4403932, 'Yes': -7.189115, '\n': -8.326501, ' yes': -8.841918}
{' No': -0.0028406382, ' Yes': -6.3019485, 'No': -7.001076, ' ': -10.235889, ' The': -11.01706}
{' Yes': -0.29297388, ' No': -1.3758214, 'Yes': -7.796193, ' yes': -8.090535, '\n': -8.70921}
{' Yes': -0.0043815603, ' No': -5.689488, 'Yes': -7.6814494, ' yes': -8.077238, '\n': -8.839085}
{' No': -0.41754964, ' Yes': -1.0788674, 'No': -7.693356, '\n': -7.9297957, 'Yes': -8.544224}
{' Yes': -0.0044257427, ' No': -5.6401334, 'Yes': -7.626261, ' yes': -8.426098, '\n': -9.248307}
{' Yes': -0.01386673, ' No': -4.352619, ' yes': -7.8833027, 'Yes': -7.966393, ' The': -9.525181}
{' Yes': -0.034518257, ' No': -3.413756, 'Yes': -7.5460725, ' yes': -8.693605, '\n': -8.701247}
{' Yes': -0.36954483, ' No': -1.179239, 'Yes': -7.925992, '\n': -7.9907756, 'No': -8.349527}
{' No': -0.062150538, ' Yes': -2.8307507, 'No': -7.2398744, '\n': -8.249873, ' ': -9.172826}
{' No': -0.055937037, ' Yes': -2.9394531, 'No': -7.028477, '\n': -7.9241576, ' ': -9.331577}
{' Yes': -0.030306445, ' No': -3.5498013, 'Yes': -7.6660686, ' yes': -7.8557434, '\n': -8.978935}
{' No': -0.65913796, ' Yes': -0.7306807, 'No': -7.7662754, 'Yes': -8.325047, '\n': -8.597525}
{' Yes': -0.32916608, ' No': -1.2767121, 'Yes': -7.3038073, 'No': -8.118801, ' Not': -8.932497}
{' No': -0.19017106, ' Yes': -1.7578154, 'No': -8.062791, ' The': -9.031713, '\n': -9.32943}
{' Yes': -0.001168467, 'Yes': -7.452309, ' No': -7.870705, ' yes': -9.062074, '\n': -9.84726}
{' Yes': -0.056764405, ' No': -2.9115598, 'Yes': -7.601468, ' yes': -9.065785, '\n': -9.543083}
{' Yes': -0.0028781765, ' No': -6.1469, 'Yes': -7.478073, ' yes': -9.51252, '\n': -9.864048}
{' Yes': -0.027844945, ' No': -3.6329758, 'Yes': -7.4294424, '\n': -8.71247, ' yes': -8.903727}
{' No': -0.0133127365, ' Yes': -4.561256, 'No': -6.079906, '\n': -8.768822, ' The': -8.868638}
{' No': -0.002537327, 'No': -6.4424825, ' Yes': -7.364046, '\n': -8.893463, ' ': -9.611645}
{' No': -0.002701432, ' Yes': -6.7317276, 'No': -6.774994, '\n': -8.405527, ' ': -9.19314}
{' Yes': -0.5059459, ' No': -0.92732894, 'Yes': -7.3102956, 'No': -7.815027, '\n': -8.761736}
{' Yes': -0.0009867753, 'Yes': -7.7676144, ' No': -8.170181, ' yes': -8.375372, '\n': -11.132116}
{' Yes': -0.26627332, ' No': -1.4610193, ' yes': -7.6111155, '\n': -7.828172, 'Yes': -7.896707}
{' Yes': -0.64166874, ' No': -0.75281566, '\n': -7.057825, 'No': -7.528387, 'Yes': -7.743921}
{' No': -0.08922078, ' Yes': -2.478604, 'No': -6.913687, '\n': -8.448069, ' ': -9.265019}
{' No': -0.31121, ' Yes': -1.3240845, 'No': -7.569123, '\n': -7.7973332, 'Yes': -8.5995245}
{' No': -0.16550425, ' Yes': -1.9012697, 'No': -6.787904, '\n': -6.86964, ' The': -7.751092}
{' No': -0.018223552, ' Yes': -4.085179, 'No': -7.076941, '\n': -8.661731, ' ': -8.88029}
{' No': -0.08294024, ' Yes': -2.5463495, 'No': -7.0537596, ' ': -9.134404, 'Yes': -9.263749}
{' No': -0.3577147, ' Yes': -1.207345, 'No': -7.3844113, '\n': -7.7416663, 'Yes': -8.182563}
{' No': -0.016610945, ' Yes': -4.156025, 'No': -7.4713855, '\n': -9.146474, ' ': -9.7382345}
{' Yes': -0.02716697, ' No': -3.6486402, 'Yes': -7.5875726, ' yes': -9.172089, ' The': -10.018194}
{' Yes': -0.02625017, ' No': -3.6993268, 'Yes': -7.0333467, '\n': -9.291631, ' ': -9.497895}
{' Yes': -0.601575, ' No': -0.7953578, 'Yes': -8.6626215, ' yes': -8.8595085, 'No': -8.991067}
{' No': -0.050233427, ' Yes': -3.0366359, 'No': -7.3672547, '\n': -8.714595, ' ': -9.820841}
{' Yes': -0.0036299757, ' No': -6.6679745, 'Yes': -7.042204, '\n': -7.2100525, ' yes': -7.453205}
{' Yes': -0.08849944, ' No': -2.4814112, 'Yes': -7.221391, 'No': -9.1375885, ' yes': -9.420994}
{' Yes': -0.63507605, ' No': -0.7569881, 'Yes': -8.152808, 'No': -8.217814, ' ': -8.717498}
{' No': -0.051471993, ' Yes': -3.0177386, 'No': -7.098715, '\n': -8.636412, ' ': -9.331818}
{' Yes': -0.005260072, ' No': -5.449987, 'Yes': -7.284356, ' yes': -8.6879425, '\n': -9.899138}
{' Yes': -0.13543285, ' No': -2.0822845, '\n': -7.1591234, 'Yes': -7.164451, ' yes': -8.388537}
{' No': -0.5359404, ' Yes': -0.88238364, 'No': -7.6389637, 'Yes': -8.33536, '\n': -8.86483}
{' No': -0.10364199, ' Yes': -2.334662, 'No': -6.779539, '\n': -8.562374, 'Yes': -9.334934}
{' No': -0.010280604, ' Yes': -4.741098, 'No': -6.852218, '\n': -8.722317, ' ': -9.013412}
{' No': -0.09232047, ' Yes': -2.443347, 'No': -7.381596, ' The': -7.9925184, '\n': -8.973998}
{' No': -0.05474529, ' Yes': -2.9658895, '\n': -7.2063465, 'No': -7.489735, ' ': -8.781538}
{' No': -0.37152264, ' Yes': -1.1782738, '\n': -6.635129, 'No': -7.734594, 'Yes': -8.0997}
{' Yes': -0.13944261, ' No': -2.0522346, 'Yes': -7.4238105, '\n': -7.792511, ' yes': -8.192596}
{' No': -0.14697573, ' Yes': -2.0106955, '\n': -6.6874933, 'No': -6.9017534, 'Yes': -8.758063}
{' Yes': -0.0006486029, 'Yes': -7.596302, ' yes': -9.376053, '\n': -10.642628, ' ': -11.263083}
{' No': -0.04811733, ' Yes': -3.0951009, 'No': -7.014759, '\n': -7.573376, ' ': -8.729105}
{' Yes': -0.0014512477, 'Yes': -7.02382, ' No': -7.866121, ' yes': -9.427825, '\n': -9.651164}
{' No': -0.054762095, ' Yes': -2.9481373, 'No': -7.5888286, '\n': -8.627022, ' ': -9.149626}
{' Yes': -0.2233541, ' No': -1.6128556, 'Yes': -7.760095, '\n': -8.991412, 'No': -8.994113}
{' Yes': -0.061627332, ' No': -2.830691, 'Yes': -7.505482, '\n': -9.7093, ' yes': -9.950427}
{' Yes': -0.14493632, ' No': -2.0147693, 'Yes': -7.030928, 'No': -8.428636, ' yes': -8.568316}
{' Yes': -0.08381112, ' No': -2.5453095, 'Yes': -6.678541, ' yes': -8.2666645, 'No': -8.653265}
{' No': -0.011298308, ' Yes': -4.6308336, 'No': -7.0093255, '\n': -8.021065, ' ': -9.114291}
{' No': -0.003290424, ' Yes': -6.1239314, 'No': -6.962692, '\n': -9.728937, ' no': -10.224733}
{' No': -0.0059155016, ' Yes': -5.386317, 'No': -6.748556, '\n': -9.593283, ' ': -10.407633}
{' No': -0.002152809, 'No': -6.3328614, ' Yes': -8.352862, ' ': -9.677588, '\n': -10.114623}
{' Yes': -0.113319, ' No': -2.251911, '\n': -7.1421785, 'Yes': -7.513906, ' yes': -8.17973}
{' Yes': -0.20719247, ' No': -1.683921, '\n': -7.6339555, 'Yes': -7.6475224, ' yes': -8.321089}
{' Yes': -0.050793096, ' No': -3.025572, 'Yes': -7.521776, ' yes': -8.659479, '\n': -9.011738}
{' Yes': -0.027488623, ' No': -3.6556604, 'Yes': -7.4252086, '\n': -8.034744, ' yes': -8.555832}
{' No': -0.008964685, ' Yes': -4.842514, 'No': -7.180876, '\n': -8.869651, ' ': -9.690584}
{' No': -0.010972841, ' Yes': -4.6229134, 'No': -7.213104, '\n': -8.568446, ' ': -9.016679}
{' No': -0.18645927, ' Yes': -1.7782979, 'No': -7.3050885, ' ': -8.915394, 'Yes': -8.921074}
{' No': -0.09139521, ' Yes': -2.453677, 'No': -7.2107735, '\n': -8.295981, ' ': -8.612318}
{' No': -0.006376988, ' Yes': -5.198632, 'No': -7.4635053, '\n': -9.153687, ' no': -9.844847}
{' No': -0.0017140416, 'No': -6.51242, ' Yes': -9.143334, ' ': -9.984969, '\n': -10.1072855}
{' Yes': -0.009155351, ' No': -4.7763534, 'Yes': -7.8345356, ' yes': -8.562227, '\n': -10.120909}
{' No': -0.6520703, ' Yes': -0.7384846, 'No': -7.541341, 'Yes': -7.8738527, '\n': -9.096116}
{' Yes': -0.08536291, ' No': -2.514457, 'Yes': -7.632609, '\n': -8.95115, ' yes': -9.119622}
{' No': -0.087430365, ' Yes': -2.4929287, 'No': -7.1622667, ' The': -9.555221, 'Yes': -9.628837}
{' No': -0.048123144, ' Yes': -3.0900295, 'No': -7.2736154, '\n': -7.6767297, ' ': -8.492283}
{' No': -0.022558343, ' Yes': -3.9773827, 'No': -6.2015605, '\n': -6.797643, ' ': -8.233168}
{' No': -0.016621727, ' Yes': -4.1830244, 'No': -6.998893, '\n': -9.05387, ' ': -9.245189}
{' No': -0.68600345, ' Yes': -0.70244473, '\n': -8.090169, 'No': -8.518808, ' yes': -8.657886}
{' No': -0.232339, ' Yes': -1.5816909, 'No': -7.0456796, '\n': -7.9070272, 'Yes': -8.451775}
{' No': -0.5818525, ' Yes': -0.8211466, 'No': -8.081804, 'Yes': -8.277054, '\n': -8.496706}
{' Yes': -0.28141135, ' No': -1.4121925, 'Yes': -7.3388934, ' yes': -8.20699, ' The': -8.336606}
{' No': -0.4549057, ' Yes': -1.0105201, ' The': -7.5225115, 'No': -8.174134, 'Yes': -8.414718}
