{' Yes': -0.017299628, ' No': -4.178966, 'Yes': -6.4146748, 'No': -10.048907, ' Nope': -10.280585}
{' Yes': -0.6184753, ' No': -0.7924446, ' Sn': -5.9066877, 'No': -6.04838, 'Yes': -6.071186}
{' Yes': -0.2758591, ' No': -2.0026064, ' Sn': -2.391532, 'Yes': -5.1522093, ' Sail': -6.7715387}
{' Yes': -0.011545497, ' Bride': -5.168953, 'Yes': -6.2481403, ' Bridge': -6.409895, ' No': -6.545654}
{' Yes': -0.0057196384, 'Yes': -6.129581, ' Bridge': -6.512199, ' Bride': -6.920783, ' No': -7.8404646}
{' Yes': -0.0044308314, ' Throw': -6.111976, ' No': -6.7408137, 'Yes': -7.0731406, '\n': -9.751296}
{' Yes': -0.004562313, ' No': -6.3975782, 'Yes': -6.5311217, ' Throw': -6.7840495, '\n': -9.240655}
{' Yes': -0.0022420539, 'Yes': -6.5113626, ' No': -7.946505, ' Women': -8.62232, ' Yep': -9.582328}
{' Yes': -0.0017764984, 'Yes': -6.514405, ' Women': -9.72622, ' YES': -9.880839, ' Yep': -9.954997}
{' Yes': -0.38984275, ' No': -1.3322656, ' Ank': -3.998633, 'Yes': -4.7741637, ' Kn': -5.2357574}
{' Yes': -0.39977685, ' No': -1.1590142, 'Yes': -5.505905, ' Nope': -6.465425, ' N': -6.5342712}
{' Yes': -0.18482947, ' No': -1.9021411, ' Los': -4.5247893, ' Nope': -5.987021, 'Yes': -6.114307}
{' Yes': -0.08260576, ' No': -3.0666394, ' Lo': -4.3085656, ' Los': -4.3997464, 'Yes': -6.0926123}
{' Yes': -0.003243899, ' No': -6.2275863, 'Yes': -6.723043, ' Clown': -11.051599, ' yes': -11.617442}
{' Yes': -0.14938977, ' No': -1.9919035, 'Yes': -6.503067, 'No': -7.727754, ' Nope': -8.730306}
{' Yes': -0.0016219197, 'Yes': -6.6220875, ' Sure': -8.587368, ' Shark': -10.073902, ' yes': -10.707846}
{' Yes': -0.0025909294, 'Yes': -6.339657, ' Shark': -7.7802434, ' Sure': -8.038313, ' yes': -10.741818}
{' Yes': -0.0071338178, ' No': -5.4308357, 'Yes': -6.21294, ' Lemon': -7.591091, ' yes': -9.919385}
{' Yes': -0.0032758326, 'Yes': -6.0646477, ' Lemon': -7.2360597, ' No': -9.283331, ' YES': -10.347313}
{' Yes': -0.19836213, ' No': -1.74197, 'Yes': -6.0222297, ' Nope': -7.0715966, 'No': -7.139976}
{' Yes': -0.647449, ' No': -0.7625136, ' Nope': -5.4507365, ' Maybe': -6.1687346, 'No': -6.7125}
{' Yes': -0.005280743, 'Yes': -6.048619, ' Below': -6.45139, ' No': -7.4351263, ' YES': -8.872803}
{' Yes': -0.0030978215, 'Yes': -6.1886826, ' No': -7.5777645, ' Below': -8.692934, ' YES': -9.329008}
{' Yes': -0.028148303, ' Sm': -3.74744, ' Spell': -6.109037, 'Yes': -6.8369074, ' Yep': -8.797259}
{' Yes': -0.0083962735, ' Sm': -5.827389, ' Spell': -5.849127, 'Yes': -6.4679503, ' No': -8.528674}
{' Yes': -0.588734, ' Your': -0.9347022, ' No': -3.6012433, ' Y': -4.9732475, 'Yes': -5.069481}
{' Yes': -0.65364814, ' Your': -0.9018018, ' No': -3.1123388, ' Y': -4.6776037, 'Yes': -5.3237243}
{' No': -0.0894294, ' Yes': -2.561582, 'No': -4.923576, ' Nope': -7.5510035, 'Yes': -7.7869577}
{' No': -0.370975, ' Yes': -1.2538522, ' Wrong': -3.771865, 'No': -7.0609384, ' Nope': -8.040168}
{' Yes': -0.17436996, ' Devil': -2.0910797, ' No': -4.531107, ' Dev': -4.7969856, 'Yes': -5.642798}
{' Yes': -0.19028296, ' Devil': -1.9989835, ' No': -4.251947, ' Dev': -5.39857, ' Devils': -5.5147533}
{' Yes': -0.0007100958, 'Yes': -7.3839097, ' Sure': -10.036919, ' No': -10.878934, ' yes': -11.167449}
{' Yes': -0.00092329714, 'Yes': -7.435047, ' No': -8.787425, ' Sure': -9.021661, ' yes': -10.557794}
{' Yes': -0.22459044, ' No': -1.6293393, ' Major': -6.0687366, 'Yes': -6.445919, 'No': -6.932062}
{' No': -0.4241072, ' Yes': -1.0792263, ' Major': -6.073706, 'No': -6.078818, 'Yes': -7.2771993}
{' Yes': -0.08885884, ' No': -2.5679047, ' Worst': -5.120789, 'Yes': -6.552037, ' Nope': -8.095965}
{' Yes': -0.01103648, ' Worst': -5.418545, ' No': -5.5576673, 'Yes': -6.1159577, ' yes': -9.562863}
{' Yes': -0.070890255, ' No': -2.8050687, ' Pound': -5.1238136, 'Yes': -6.7001414, ' Nope': -8.278504}
{' Yes': -0.00459303, ' No': -5.937977, 'Yes': -6.5329, ' Pound': -8.532103, ' Yep': -9.486997}
{' Yes': -0.041102216, ' No': -3.875001, ' Dirty': -4.4705877, 'Yes': -5.434739, ' Dirt': -5.9915776}
{' Yes': -0.0692141, ' Dirty': -2.9765701, ' Dirt': -5.0447617, 'Yes': -5.1684628, ' No': -6.557097}
{' Yes': -0.00556253, 'Yes': -5.282267, ' yes': -8.934612, ' Sure': -9.312283, ' YES': -9.584324}
{' Yes': -0.00565262, 'Yes': -5.315671, ' No': -8.065223, ' yes': -9.155862, ' YES': -9.499049}
{' Yes': -0.035756998, 'Yes': -4.5807333, ' E': -4.942936, ' erupt': -5.1234293, 'rupt': -5.48589}
{' Yes': -0.06900582, 'rupt': -4.1092744, 'Yes': -4.5368285, ' Inter': -4.998572, ' No': -5.360619}
{' Yes': -0.015918978, ' No': -4.2813797, 'Yes': -6.385555, ' Yep': -9.171278, ' yes': -9.834973}
{' Yes': -0.03147592, ' Swamp': -4.1375456, 'Yes': -5.117394, ' Yep': -6.055752, ' No': -6.166286}
{' Yes': -0.1818679, ' No': -2.467604, ' Armor': -2.595362, 'Yes': -6.113743, ' Armour': -6.212961}
{' Yes': -0.09826791, ' No': -2.5370631, ' Armor': -4.408656, 'Yes': -6.5034895, 'No': -7.9382563}
{' Yes': -0.009301355, ' No': -4.9129443, 'Yes': -6.379687, ' Absolutely': -10.154971, ' yes': -10.177154}
{' Yes': -0.20261614, ' No': -1.7306732, ' Ex': -6.0699096, 'Yes': -6.46294, ' Nope': -7.4378595}
{' Yes': -0.020916097, ' Still': -4.1056876, 'Yes': -6.234931, ' No': -7.3666153, ' St': -8.152591}
{' Yes': -0.025471346, ' Still': -3.871096, 'Yes': -6.193487, ' No': -6.6467276, ' yes': -8.489853}
{' Yes': -0.001597739, 'Yes': -6.5292277, ' Hello': -9.395747, ' yes': -11.117803, ' YES': -11.840456}
{' Yes': -0.0010921472, 'Yes': -6.8737936, ' yes': -11.077365, ' Hello': -11.180718, ' YES': -11.951424}
{' Yes': -0.014877075, ' Pur': -5.1576743, 'Yes': -5.46969, ' Purs': -6.0639524, ' Sure': -6.3606787}
{' Yes': -0.08887649, ' No': -3.1998327, ' Sure': -4.0315356, 'Yes': -4.741958, ' Pur': -4.967117}
{' No': -0.5119084, ' Yes': -0.9614533, ' Actor': -4.9544306, 'No': -5.060918, 'Yes': -6.0357375}
{' No': -0.18766932, ' Yes': -1.8305926, 'No': -5.396938, ' Actor': -5.785367, ' Not': -6.5375853}
{' Yes': -0.0027287456, 'Yes': -6.1333323, ' No': -8.153741, ' Sure': -9.015996, ' Smoke': -9.934005}
{' Yes': -0.0071686353, 'Yes': -5.71814, ' No': -6.221022, ' Smoke': -7.13645, ' Sure': -7.9174094}
{' No': -0.24491931, ' Yes': -1.6570593, ' Nope': -4.275603, 'No': -5.2819905, ' Maybe': -6.384672}
{' No': -0.3181856, ' Yes': -1.380285, 'No': -5.0940433, ' Nope': -5.1155305, ' Maybe': -5.8632874}
{' Yes': -0.28695908, ' No': -1.4016823, 'Yes': -6.1590595, 'No': -7.186823, ' Nope': -8.347635}
{' Yes': -0.12500799, ' No': -2.1505644, 'Yes': -7.05448, 'No': -9.115255, ' Nope': -10.004774}
{' Yes': -0.0050200615, 'Yes': -6.114683, ' Watch': -6.621504, ' No': -6.8604198, ' Sure': -9.481773}
{' Yes': -0.0050813467, ' No': -5.6001506, 'Yes': -6.710029, ' yes': -10.4866, ' Watch': -10.518423}
{' Yes': -0.0069553014, 'Yes': -5.547433, ' No': -6.121861, ' Spice': -8.297817, ' Sure': -8.865995}
{' Yes': -0.034743108, ' No': -3.899367, 'Yes': -5.0081816, ' Spice': -5.5960526, ' Nope': -6.8172836}
{' Yes': -0.000759604, 'Yes': -7.3671074, ' yes': -10.589901, ' Sure': -11.147113, ' Absolutely': -11.223937}
{' Yes': -0.0036917736, ' No': -5.94521, 'Yes': -7.083287, ' yes': -10.125484, ' Absolutely': -10.422253}
{' Yes': -0.0029943308, ' Crack': -6.820266, 'Yes': -6.8720636, ' No': -7.3361354, ' Cr': -9.1683}
{' Yes': -0.05640098, ' No': -2.9394424, 'Yes': -6.784739, ' Crack': -7.818057, ' Cr': -9.010686}
{' Yes': -0.20138055, ' Ar': -2.7204273, ' Ag': -3.228014, ' Sure': -3.5054443, ' Arg': -3.8784404}
{' Yes': -0.29198655, ' Ar': -2.2722836, ' Arg': -2.827589, ' Argument': -3.7746794, ' Ag': -3.8232927}
{' Yes': -0.004892535, ' No': -5.6020026, 'Yes': -6.823845, ' yes': -10.3050165, 'No': -11.067841}
{' Yes': -0.0017586462, 'Yes': -7.053039, ' No': -7.104336, ' yes': -10.416953, ' YES': -11.413726}
{' Yes': -0.0044547794, 'Yes': -6.0904856, ' Early': -7.684637, ' No': -8.341973, ' Yeah': -8.441712}
{' Yes': -0.009767534, 'Yes': -5.76474, ' Ear': -6.667254, ' No': -6.807501, ' Early': -7.046998}
{' Yes': -0.020926017, ' No': -4.1048393, ' Goose': -6.2038345, 'Yes': -6.3416004, ' Nope': -8.676819}
{' Yes': -0.013702112, ' No': -4.585304, 'Yes': -6.2916427, ' Goose': -6.6352706, ' Nope': -9.590768}
{' No': -0.011713017, ' Yes': -5.31345, ' Ocean': -5.805631, 'No': -6.079136, ' Nope': -6.777946}
{' No': -0.04288146, ' Ocean': -3.5603108, ' Yes': -5.426289, 'No': -5.527345, ' Nope': -5.6560044}
{' Yes': -0.025585629, ' No': -3.8076022, 'Yes': -6.0342507, ' Sure': -8.699299, ' Maybe': -8.842579}
{' Yes': -0.06992088, ' No': -2.8016293, 'Yes': -5.745475, ' Thr': -7.332368, ' Trash': -7.423972}
{' Yes': -0.013107565, ' No': -5.168606, ' Gross': -5.6920314, 'Yes': -5.897144, ' Gro': -7.6009917}
{' Yes': -0.016204381, ' No': -4.7069583, ' Gross': -5.6500483, 'Yes': -5.943145, ' Gro': -8.53992}
{' Yes': -0.001319815, 'Yes': -6.7515197, ' Sure': -9.347947, ' YES': -11.19899, ' Yep': -11.32538}
{' Yes': -0.001387917, 'Yes': -6.714879, ' Sure': -9.386096, ' Yep': -10.815387, ' No': -10.994283}
{' Yes': -0.048997775, ' Guard': -3.7085493, ' No': -4.0278378, 'Yes': -5.753051, ' Guardian': -7.1783543}
{' Yes': -0.2030986, ' Guard': -2.0422137, ' No': -3.2443907, ' Guardian': -5.5409975, 'Yes': -5.6572194}
{' Yes': -0.003387428, 'Yes': -5.8629127, ' Sweet': -8.62084, ' Swe': -9.268635, ' Sure': -9.426564}
{' Yes': -0.003436828, 'Yes': -5.8001156, ' yes': -9.045469, ' Sweet': -9.66047, ' YES': -9.761121}
{' Yes': -0.09374066, ' Grass': -3.0335026, ' No': -3.2875159, 'Yes': -5.8201747, ' Gr': -8.423355}
{' Yes': -0.20855658, ' Grass': -1.7945627, ' No': -4.129655, 'Yes': -5.795768, ' Gr': -7.0814886}
{' Yes': -0.002572882, 'Yes': -6.0453124, ' yes': -9.535515, ' No': -10.030202, ' YES': -10.733324}
{' Yes': -0.003271347, 'Yes': -5.882292, ' yes': -8.600008, ' Yeah': -9.785076, ' YES': -9.795415}
{' Yes': -0.11912708, ' Girls': -2.7931745, ' No': -3.2062147, 'Yes': -5.5785084, ' Gr': -6.240647}
{' Yes': -0.071525045, ' Girls': -2.8835232, ' No': -4.860946, 'Yes': -6.0520906, ' Gr': -7.0321736}
{' Yes': -0.002484444, 'Yes': -6.654135, ' No': -6.857896, ' YES': -10.26054, ' yes': -10.92754}
{' Yes': -0.0031750724, 'Yes': -6.0880103, ' No': -7.5479555, ' Light': -8.756302, ' YES': -9.482763}
{' Yes': -0.050529364, ' No': -3.0656316, 'Yes': -6.2869735, ' Nope': -8.06177, ' Spoon': -9.012497}
{' Yes': -0.020921027, ' No': -4.07755, 'Yes': -6.097939, ' Spoon': -7.564444, ' Nope': -7.840552}
{' Yes': -0.13665129, ' No': -2.480117, ' Lo': -3.692706, ' Lose': -4.3025255, 'Yes': -5.9524198}
{' Yes': -0.0440776, ' Lo': -4.0307508, ' No': -4.272841, ' Lose': -4.929631, 'Yes': -5.7713017}
{' Yes': -0.10142988, ' No': -2.4781349, ' Plant': -5.225354, 'Yes': -5.297669, 'No': -7.8465962}
{' Yes': -0.10281293, ' No': -2.5711508, ' Plant': -4.6569223, 'Yes': -4.8949404, ' Pl': -6.9999094}
{' Yes': -0.0664525, ' No': -2.8043313, 'Yes': -6.0383625, ' Seven': -7.8094645, 'No': -7.945933}
{' Yes': -0.0055691847, 'Yes': -6.2447143, ' Seven': -6.2464733, ' No': -6.625411, ' yes': -9.559253}
{' Yes': -0.002891985, 'Yes': -5.928719, ' Sure': -9.78233, ' No': -9.88507, ' yes': -10.53858}
{' Yes': -0.003864804, 'Yes': -6.1533604, ' No': -6.5021515, ' Nope': -10.068308, ' Sure': -10.21368}
{' Yes': -0.011954395, ' Rough': -4.6341715, 'Yes': -6.4859834, ' No': -7.759717, ' Tough': -10.052596}
{' Yes': -0.297922, ' Rough': -1.3755834, 'Yes': -6.400181, ' No': -6.6937294, ' Tough': -6.9591937}
{' Yes': -0.028493758, ' Dance': -4.1843925, 'Yes': -4.6888175, ' No': -6.382442, ' Sure': -7.915026}
{' Yes': -0.13759843, ' No': -2.1740708, 'Yes': -5.104023, ' Dance': -5.164728, 'No': -7.249111}
{' Yes': -0.0027588087, 'Yes': -6.6015396, ' No': -6.6965375, ' Salad': -9.780134, ' yes': -9.826378}
{' Yes': -0.04444861, ' No': -3.1752124, 'Yes': -6.583896, ' Salad': -9.660563, ' yes': -9.676032}
{' Yes': -0.13095094, ' Looks': -2.5004482, ' No': -3.7468126, 'Yes': -4.9201536, ' Lo': -5.25691}
{' Yes': -0.059099026, ' No': -3.321218, ' Looks': -4.4376388, 'Yes': -5.14693, ' Lo': -6.3832264}
{' Yes': -0.6982577, ' Store': -0.81311065, ' Sure': -2.867119, 'Yes': -6.6398487, 'Store': -7.843828}
{' Yes': -0.17262559, ' Sure': -2.3393736, ' Store': -2.8482523, 'Yes': -6.409286, ' St': -7.171465}
{' Yes': -0.0019385687, 'Yes': -6.518601, ' Break': -8.604177, ' Sure': -9.4843025, ' yes': -9.7114725}
{' Yes': -0.0026342564, 'Yes': -6.345488, ' No': -7.9692345, ' Break': -8.635087, ' Sure': -8.789871}
{' Yes': -0.0066034626, 'Yes': -5.706577, ' No': -6.1771007, ' Parts': -7.3493786, ' Sure': -8.6392}
{' Yes': -0.022570841, ' No': -3.9341078, 'Yes': -5.978171, 'No': -9.964478, ' Parts': -9.99111}
{' Yes': -0.024701992, ' Sh': -4.9002037, 'Yes': -5.2830534, ' Sure': -5.4934125, ' No': -6.112601}
{' Yes': -0.018211957, 'Yes': -5.269587, ' Sure': -5.4512963, ' Sh': -5.566614, ' Sho': -6.889597}
{' Yes': -0.0038292622, 'Yes': -5.713139, ' No': -8.637601, ' Sy': -8.742354, ' yes': -9.555045}
{' Yes': -0.0041721673, 'Yes': -5.597161, ' No': -8.552923, ' yes': -9.477207, ' Sy': -9.575858}
{' Yes': -0.0017171467, 'Yes': -6.7656612, ' Learn': -7.7589207, ' yes': -9.788744, ' YES': -10.242491}
{' Yes': -0.0011468077, 'Yes': -6.950239, ' No': -9.497787, ' yes': -10.245117, ' Learn': -10.388271}
{' Yes': -0.6045687, ' No': -0.7950346, 'No': -6.7256904, 'Yes': -7.408647, ' Minor': -8.279773}
{' Yes': -0.0038586399, ' No': -5.954746, 'Yes': -6.8847027, ' Minor': -8.8682995, ' yes': -10.018937}
{' Yes': -0.0009839124, 'Yes': -6.983936, ' Sure': -10.997899, ' No': -11.531775, ' Where': -11.798802}
{' Yes': -0.0047180075, 'Yes': -6.1453047, ' Where': -6.238868, ' Sure': -7.991448, ' No': -9.42338}
{' Yes': -0.015094467, ' No': -4.6545157, 'Yes': -5.6841364, ' Arrow': -6.28462, 'No': -9.321179}
{' Yes': -0.01961578, ' Arrow': -4.387215, 'Yes': -5.4866967, ' No': -6.004416, 'arrow': -9.5544815}
{' Yes': -0.019281091, ' No': -4.853313, ' Chain': -5.0708194, 'Yes': -5.857226, ' Nope': -7.7424946}
{' Yes': -0.12349765, ' Chain': -2.34706, ' No': -4.734697, 'Yes': -5.717742, ' Chains': -6.868485}
{' Yes': -0.0019119335, ' No': -6.8357377, 'Yes': -7.158545, ' yes': -10.74534, ' Sure': -11.254921}
{' Yes': -0.040460184, ' No': -3.2559903, 'Yes': -6.9665847, 'No': -9.716808, ' Sure': -10.594095}
{' Yes': -0.011893653, ' Heart': -4.7316294, 'Yes': -5.953511, ' YES': -9.29825, ' Hearts': -9.932549}
{' Yes': -0.046245858, ' Heart': -3.1839256, 'Yes': -5.824472, ' Hearts': -8.485539, ' YES': -9.252466}
{' Yes': -0.006871514, ' Sure': -5.7401648, 'Yes': -6.296367, ' Horse': -6.3863006, ' Absolutely': -10.788362}
{' Yes': -0.0022815429, 'Yes': -6.3410892, ' Sure': -7.822538, ' Horse': -9.734964, ' No': -11.385558}
{' Yes': -0.16697298, ' No': -1.8822078, 'Yes': -6.820903, 'No': -8.310402, '\n': -10.097626}
{' Yes': -0.027630463, ' No': -3.6879294, 'Yes': -6.41037, ' Right': -8.220919, '\n': -9.031696}
{' Yes': -0.005241677, ' No': -5.6244717, 'Yes': -6.5526237, ' Pizza': -9.650843, ' yes': -10.068905}
{' Yes': -0.03705616, ' No': -3.3642826, 'Yes': -6.5752654, ' Pizza': -8.880617, 'No': -9.446981}
{' Yes': -0.031692576, ' Snake': -3.7855604, 'Yes': -4.954714, ' Sn': -7.366573, ' YES': -8.515641}
{' Yes': -0.00478706, 'Yes': -5.6845026, ' Snake': -6.8840013, ' YES': -9.106017, ' Sn': -9.521867}
{' Yes': -0.12756577, ' Laugh': -2.2271674, ' No': -5.788792, ' L': -5.7914944, ' Yeah': -6.4368973}
{' Yes': -0.0053327563, ' Laugh': -5.9640226, 'Yes': -6.373418, ' No': -7.5332847, ' Yeah': -8.859205}
{' Yes': -0.1763431, ' No': -1.8398676, 'Yes': -6.42619, 'No': -7.2672224, ' Queen': -8.380213}
{' Yes': -0.38541764, ' No': -1.1508081, 'Yes': -6.553899, 'No': -6.6161704, ' Nope': -8.758264}
{' No': -0.6486288, ' Yes': -0.7419515, 'No': -7.5254574, 'Yes': -7.7109013, ' Nope': -10.558617}
{' Yes': -0.0014347135, 'Yes': -7.2500896, ' No': -7.2925434, '\n': -10.997229, ' YES': -11.69046}
{' Yes': -0.012818455, ' Plane': -5.0545835, 'Yes': -5.1684175, ' No': -8.279277, ' yes': -8.659197}
{' Yes': -0.108211204, ' Plane': -2.3277662, 'Yes': -5.6956553, ' No': -7.0138865, ' yes': -8.610637}
{' Yes': -0.009697174, ' No': -5.443655, ' Found': -5.7431126, 'Yes': -6.4767394, ' yes': -9.034788}
{' Yes': -0.004234836, ' No': -5.9448223, 'Yes': -6.743731, ' Found': -8.65343, ' YES': -9.435942}
{' Yes': -0.0064827516, ' No': -5.3756537, ' Uncle': -6.985292, 'Yes': -7.1323543, ' yes': -10.297643}
{' No': -0.63213134, ' Yes': -0.7994744, ' Uncle': -4.960954, ' Nope': -5.829725, ' Unc': -5.838385}
{' Yes': -0.0041237464, 'Yes': -5.984754, ' Stamp': -7.0632343, ' No': -7.9179745, ' YES': -8.978817}
{' Yes': -0.0042369915, 'Yes': -5.8973737, ' Stamp': -6.9334106, ' YES': -9.049796, ' St': -9.084583}
{' Yes': -0.0025654142, 'Yes': -6.748312, ' Sleep': -6.936907, ' yes': -8.938249, ' No': -9.369732}
{' Yes': -0.0021072926, 'Yes': -6.488471, ' Sleep': -8.771626, ' No': -8.944423, ' yes': -9.020618}
{' No': -0.24332821, ' Yes': -1.5391923, 'No': -6.913016, 'Yes': -7.962845, ' Close': -10.13003}
{' Yes': -0.0796152, ' No': -2.8103204, ' Close': -4.2599363, 'Yes': -6.322467, ' Nope': -8.767718}
{' Yes': -0.009028136, ' Te': -5.813975, 'Yes': -5.854473, ' No': -6.0790424, ' YES': -8.648105}
{' Yes': -0.013270274, ' Te': -5.2250385, ' No': -5.770571, 'Yes': -5.772869, '\n': -8.116024}
{' Yes': -0.0004084472, 'Yes': -7.885887, ' Sure': -11.355298, '\n': -11.868928, ' No': -12.131174}
{' Yes': -0.0005331404, 'Yes': -7.7238107, ' No': -10.0813675, ' Sure': -10.590224, '\n': -11.231962}
{' Yes': -0.0042367512, 'Yes': -5.8635354, ' No': -7.392426, ' Drunk': -7.6306496, ' yes': -9.226402}
{' Yes': -0.0061874515, 'Yes': -5.774069, ' No': -6.12042, ' Drunk': -7.912447, ' yes': -9.1697645}
{' No': -0.013431798, ' Yes': -4.442898, 'No': -6.514088, '\n': -10.195211, ' Nope': -10.491707}
{' Yes': -0.5416491, ' No': -0.87803864, 'Yes': -6.7843285, 'No': -7.057644, '\n': -7.9945297}
{' Yes': -0.0007393807, 'Yes': -7.310384, ' yes': -10.445182, ' YES': -11.149903, ' Word': -11.203721}
{' Yes': -0.000775592, 'Yes': -7.415742, ' yes': -9.939454, ' Word': -10.05589, ' YES': -10.505501}
{' Yes': -0.065412685, ' No': -2.801363, 'Yes': -6.404953, ' Ch': -7.7309756, 'No': -8.715818}
{' Yes': -0.10225528, ' No': -2.3526251, 'Yes': -6.5973496, 'No': -8.389803, ' Ch': -8.759825}
{' Yes': -0.5802571, ' Woman': -0.83165896, 'Woman': -6.456952, ' No': -6.8512583, 'Yes': -7.087852}
{' Yes': -0.13913505, ' Woman': -2.058502, 'Yes': -6.7138, 'Woman': -7.7157, ' woman': -8.924573}
{' Yes': -0.009758084, ' Party': -4.8932037, 'Yes': -6.25884, ' YES': -9.360356, ' yes': -9.539934}
{' Yes': -0.005794755, ' No': -6.102522, 'Yes': -6.3772106, ' Party': -6.4333935, ' yes': -9.585249}
{' Yes': -0.0049059503, ' No': -5.665962, 'Yes': -6.641046, ' yes': -9.590803, ' YES': -10.485676}
{' Yes': -0.0020805919, 'Yes': -6.862947, ' No': -6.9719133, ' yes': -9.851584, ' YES': -10.516961}
{' Yes': -0.00170891, 'Yes': -6.469963, ' Shoes': -9.541967, ' YES': -10.351204, ' yes': -10.673651}
{' Yes': -0.0019320599, 'Yes': -6.3598204, ' Shoes': -9.105841, ' YES': -10.174117, ' yes': -10.868899}
{' Yes': -0.0015161327, 'Yes': -6.877847, ' Ghost': -8.418483, ' No': -8.634141, '\n': -10.232795}
{' Yes': -0.088297784, ' No': -2.496333, ' Ghost': -6.9838734, 'Yes': -7.065539, 'No': -8.670801}
{' Yes': -0.0011939513, 'Yes': -7.4221797, ' Shirt': -7.5646377, ' YES': -10.537206, '\n': -11.048134}
{' Yes': -0.03625342, ' Shirt': -3.3920157, 'Yes': -6.554657, ' Sh': -8.444807, ' Sure': -9.646403}
{' Yes': -0.016929578, ' No': -4.773044, 'Yes': -5.313364, ' Pants': -5.768266, ' YES': -9.294343}
{' Yes': -0.012040175, ' No': -5.1700716, 'Yes': -5.3668947, ' Pants': -6.587262, ' YES': -9.246682}
{' Yes': -0.013105693, ' No': -5.111336, ' Board': -5.63035, 'Yes': -5.9192734, ' yes': -8.094479}
{' Yes': -0.009959618, ' Board': -5.5657167, 'Yes': -5.580655, ' No': -6.5025415, ' yes': -7.839793}
{' Yes': -0.0033221785, 'Yes': -6.1372576, ' No': -7.610648, ' Leave': -8.039084, ' yes': -8.944852}
{' Yes': -0.0076607275, ' No': -5.6147146, ' Leave': -6.156477, 'Yes': -6.4999146, ' yes': -9.095819}
{' Yes': -0.2910253, ' There': -1.7814009, ' No': -3.3491316, ' The': -3.999604, ' Nope': -4.991441}
{' Yes': -0.02075056, ' No': -4.620875, ' There': -4.8847046, 'Yes': -5.9793906, ' The': -8.847083}
{' Yes': -0.39203602, ' No': -1.1425072, 'Yes': -6.132278, ' Sn': -6.663356, 'No': -6.7689466}
{' Yes': -0.44097227, ' No': -1.1477003, ' Sn': -3.430026, 'Yes': -5.7791486, 'No': -6.591655}
{' Yes': -0.021811143, ' Bride': -4.5271096, ' No': -4.9009156, 'Yes': -6.469349, ' Bridge': -6.714922}
{' Yes': -0.10354547, ' Bride': -2.8129094, ' Bridge': -3.4659455, 'Yes': -6.1856017, ' Brid': -6.562966}
{' Yes': -0.00079396146, 'Yes': -7.5898824, ' No': -8.636105, ' Throw': -9.952882, '\n': -10.394268}
{' Yes': -0.006758093, ' No': -5.681795, ' Throw': -6.365366, 'Yes': -6.9935894, '\n': -7.6110744}
{' Yes': -0.007797741, ' Women': -5.4476457, ' No': -6.3263516, 'Yes': -6.7099347, ' YES': -9.090996}
{' Yes': -0.0011391699, 'Yes': -7.078875, ' YES': -9.31428, ' Women': -9.319214, ' Yep': -10.595306}
{' Yes': -0.18347128, ' Ank': -2.68934, ' No': -2.703113, 'Yes': -4.73157, ' An': -5.218522}
{' No': -0.6987289, ' Yes': -0.7316651, ' Ank': -5.2276545, 'Yes': -5.5610814, 'No': -6.093565}
{' Yes': -0.05186867, ' No': -3.0558567, ' Los': -6.563892, 'Yes': -6.6807895, ' Nope': -8.189316}
{' Yes': -0.027553566, ' No': -4.0554657, ' Los': -5.0169883, 'Yes': -6.463566, ' Lo': -7.046194}
{' Yes': -0.0015623979, 'Yes': -7.070324, ' No': -7.3148704, ' YES': -11.070196, ' yes': -11.468078}
{' No': -0.45181337, ' Yes': -1.0150572, 'No': -7.1976132, 'Yes': -8.194844, ' Nope': -9.752511}
{' Yes': -0.0009815245, 'Yes': -7.0794873, ' Shark': -10.030182, ' Sure': -10.294886, '\n': -10.6980915}
{' Yes': -0.0009265177, 'Yes': -7.148275, '\n': -9.979001, ' Shark': -10.248017, ' Sure': -10.310929}
{' Yes': -0.0021303499, 'Yes': -7.005609, ' No': -7.0282397, ' Lemon': -8.23158, ' yes': -10.352674}
{' Yes': -0.0030490926, 'Yes': -6.5154543, ' Lemon': -6.931033, ' No': -7.67715, ' YES': -9.895057}
{' Yes': -0.3194, ' No': -1.3115246, 'Yes': -6.5801435, ' Tight': -6.9223547, 'No': -7.4641714}
{' Yes': -0.26416117, ' No': -1.5043497, ' Nope': -5.9636917, 'Yes': -5.983996, ' Tight': -6.190997}
{' Yes': -0.083444074, ' Below': -2.9890664, ' No': -3.6550975, 'Yes': -5.938487, ' YES': -8.38227}
{' Yes': -0.03926485, ' No': -3.3090363, 'Yes': -6.446785, 'No': -9.002415, ' Below': -9.703278}
{' Yes': -0.03590539, ' Sm': -3.5438626, ' Spell': -5.4306517, 'Yes': -6.8836737, ' YES': -8.292361}
{' Yes': -0.0033044755, 'Yes': -6.8892217, ' Spell': -7.3417444, ' Sm': -7.3783526, ' No': -7.3897915}
{' Yes': -0.37907937, ' Your': -1.5854584, ' No': -2.3567312, 'Yes': -5.2592883, ' Y': -5.727517}
{' Yes': -0.21383615, ' Your': -2.1943545, ' No': -2.691251, 'Yes': -5.079738, ' Y': -6.383474}
{' No': -0.043296527, ' Yes': -3.267343, 'No': -5.5376964, ' Nope': -9.033987, 'Yes': -9.058468}
