{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' No': -0.08774695, 'No': -2.8257785, ' Yes': -4.855081, ' C': -5.479417, ' It': -5.4922743}
{' No': -0.18831879, 'No': -2.114243, '\n': -3.1214776, ' ': -5.3987126, ' no': -7.0164456}
{' No': -0.13604634, 'No': -2.5002105, '\n': -3.2443419, ' ': -5.454274, ' A': -6.74224}
{' No': -0.2513082, 'No': -2.2194974, '\n': -2.271774, ' ': -4.9501033, ' Cats': -7.2920938}
{' No': -0.27727938, 'No': -2.234757, '\n': -2.2550988, ' C': -4.5575743, ' ': -4.668497}
{' No': -0.020805635, 'No': -3.9396117, ' ': -7.5550017, '\n': -8.107428, ' no': -8.675205}
{' No': -0.01939941, 'No': -4.090011, '\n': -7.033825, ' ': -7.06753, ' A': -7.5702124}
{' No': -0.034006234, 'No': -3.4767206, '\n': -6.721819, ' ': -7.241583, ' Cats': -8.583459}
{' No': -0.07207182, 'No': -3.1119447, ' Yes': -4.3830266, ' C': -5.5303826, ' Generally': -6.026728}
{' No': -0.42595586, 'No': -1.4030524, '\n': -2.4627848, ' ': -4.644185, ' no': -5.9485326}
{' No': -0.2884715, 'No': -1.6151143, '\n': -3.1120017, ' ': -5.2716565, ' no': -7.03969}
{' No': -0.2873132, 'No': -1.8237283, '\n': -2.7849593, ' ': -4.5964656, ' N': -4.759456}
{' No': -0.22158906, 'No': -1.9109945, '\n': -3.323918, ' ': -4.8928747, ' C': -6.248382}
{' No': -0.07799917, 'No': -2.9270456, ' no': -4.5256763, ' ': -5.699566, '\n': -5.775772}
{' No': -0.055963892, 'No': -3.2921755, '\n': -5.381748, ' A': -5.436514, ' ': -5.826816}
{' No': -0.090309985, 'No': -2.6903026, '\n': -5.4084973, ' ': -5.597802, ' no': -5.665039}
{' No': -0.09275482, 'No': -2.8146842, ' C': -4.854969, '\n': -4.991513, ' ': -5.697853}
{' No': -0.008996623, 'No': -5.233421, '\n': -6.4137564, ' ': -6.617173, ' A': -7.65986}
{' No': -0.010217675, 'No': -5.542385, '\n': -5.769142, ' ': -6.165218, ' A': -7.063732}
{' No': -0.030499563, '\n': -4.0716333, 'No': -4.908988, ' ': -5.515666, ' Cats': -7.2630057}
{' No': -0.06775137, '\n': -3.7968333, 'No': -4.5483365, ' ': -4.933947, ' Generally': -4.969256}
{' No': -0.095212094, 'No': -2.75303, '\n': -3.8964205, ' ': -5.1805983, ' A': -7.4480023}
{' No': -0.07879067, '\n': -3.367466, 'No': -3.4247472, ' ': -4.8950057, ' A': -7.036689}
{' No': -0.28650492, '\n': -1.6842214, 'No': -3.1666033, ' ': -4.0733414, ' Cats': -6.272766}
{' No': -0.2879314, '\n': -1.830036, 'No': -3.2348576, ' ': -3.8525772, ' Cats': -4.760654}
{' No': -0.0988634, 'No': -2.808252, '\n': -3.7035902, ' ': -4.9878, ' A': -6.5083075}
{' No': -0.12138203, '\n': -2.8110445, 'No': -3.182598, ' ': -4.583624, ' A': -6.2240562}
{' No': -0.12239409, '\n': -2.6503654, 'No': -3.5858128, ' ': -4.4074965, ' Cats': -5.782707}
{' No': -0.13130647, '\n': -2.668803, 'No': -3.6814144, ' ': -4.306399, ' Cats': -5.148949}
{' No': -0.020185504, 'No': -4.3838463, ' ': -5.610357, '\n': -5.761831, ' A': -7.640087}
{' No': -0.024973532, '\n': -4.7451897, ' ': -4.8772073, 'No': -4.8850574, ' A': -7.3211865}
{' No': -0.072610945, '\n': -3.2705996, 'No': -4.029976, ' ': -4.4129696, ' Cats': -6.678081}
{' No': -0.10620183, '\n': -2.906756, 'No': -3.8104389, ' ': -4.2757173, ' Generally': -5.77421}
{' No': -0.04568331, 'No': -3.3670888, '\n': -5.186726, ' ': -5.823892, ' A': -6.850307}
{' No': -0.045156624, 'No': -3.5023477, '\n': -4.781315, ' ': -5.6230807, ' A': -6.348739}
{' No': -0.056351982, 'No': -3.8827677, '\n': -3.9164708, ' ': -4.547883, ' Cats': -5.998003}
{' No': -0.07821667, 'No': -3.8168828, '\n': -3.862274, ' Cats': -4.192541, ' ': -4.6164756}
{' No': -0.071001284, 'No': -3.1332438, '\n': -4.4983253, ' ': -4.730583, ' A': -5.767384}
{' No': -0.059038766, 'No': -3.5232322, '\n': -4.227196, ' ': -4.814818, ' A': -5.4801145}
{' No': -0.089551166, 'No': -3.1932669, '\n': -3.808259, ' ': -4.163207, ' Cats': -5.600652}
{' No': -0.10366685, 'No': -3.273642, '\n': -3.5937905, ' ': -4.312694, ' Cats': -5.1737924}
{' Yes': -0.095499605, ' No': -2.5191445, 'Yes': -4.957791, 'No': -6.056746, ' A': -7.8816557}
{' No': -0.72091675, ' Yes': -0.72489357, 'No': -4.291195, 'Yes': -5.330812, ' A': -5.5305557}
{' Yes': -0.0065896036, 'Yes': -5.498838, ' Generally': -6.51307, ' B': -7.2950068, ' yes': -9.042489}
{' Yes': -0.017033799, ' Generally': -4.5635004, 'Yes': -5.6356516, ' B': -6.750024, ' No': -7.354018}
{' Yes': -0.087061785, ' No': -3.1825151, 'Yes': -3.7453756, ' Generally': -4.9072633, 'No': -5.1923966}
{' Yes': -0.19810602, ' No': -2.0370133, 'Yes': -3.8607876, 'No': -4.1664233, ' Generally': -5.081945}
{' Yes': -0.02369676, 'Yes': -4.307131, ' Generally': -4.908853, ' B': -6.7217627, ' In': -8.21475}
{' Yes': -0.05148297, 'Yes': -3.971439, ' Generally': -4.324281, ' No': -4.8627505, ' It': -5.5230193}
{' Yes': -0.07930673, ' No': -3.0728369, 'Yes': -3.902978, 'No': -5.5273294, '\n': -6.261178}
{' No': -0.41582108, ' Yes': -1.2441025, 'No': -3.1779137, 'Yes': -4.983526, '\n': -7.2388153}
{' Yes': -0.034054454, 'Yes': -3.725329, '\n': -5.812729, ' B': -6.389309, ' Generally': -6.493937}
{' Yes': -0.027604971, 'Yes': -3.9173334, ' No': -5.989151, '\n': -6.0776863, ' Generally': -7.0048976}
{' Yes': -0.04798378, ' No': -3.3386614, 'Yes': -4.8167424, ' A': -6.64427, 'No': -6.7483945}
{' Yes': -0.35801506, ' No': -1.2979985, 'No': -4.3677044, 'Yes': -4.561435, ' A': -5.6471324}
{' Yes': -0.029353628, ' B': -4.632842, ' Generally': -4.691646, 'Yes': -4.767566, ' On': -7.4550962}
{' Yes': -0.04083836, 'Yes': -4.0630646, ' Generally': -4.776073, ' B': -4.8563004, ' No': -5.3190975}
{' No': -0.53399026, ' Yes': -1.2708353, 'No': -2.485126, '\n': -4.4511466, 'Yes': -4.5042243}
{' No': -0.19573897, 'No': -2.2898514, ' Yes': -2.8423758, ' A': -5.410779, ' Generally': -5.61221}
{' Yes': -0.07658256, 'Yes': -3.1521516, '\n': -4.3164334, ' B': -5.1235423, ' ': -5.531112}
{' Yes': -0.04769623, 'Yes': -3.5923338, ' No': -5.056739, ' Generally': -5.293399, ' B': -6.0252976}
{' Yes': -0.26663986, ' No': -1.9463121, ' Generally': -3.5050275, 'Yes': -3.7842846, 'No': -3.8610685}
{' Yes': -0.36748838, ' No': -1.6537204, ' Generally': -3.1644378, 'No': -3.5661385, 'Yes': -3.866737}
{' Yes': -0.033142358, 'Yes': -3.9629579, ' Generally': -4.9001446, ' B': -5.7462006, ' yes': -7.1732116}
{' Yes': -0.053883128, 'Yes': -3.8205245, ' Generally': -4.025229, ' B': -5.4073606, ' No': -5.9356875}
{' Yes': -0.036584254, ' No': -3.4434824, 'Yes': -6.068345, ' ': -7.5445833, ' yes': -7.72288}
{' No': -0.022420695, ' Yes': -4.0119896, 'No': -5.765979, ' ': -8.265635, ' It': -8.269148}
{' Yes': -0.0033346775, 'Yes': -5.9708996, '\n': -8.183605, ' yes': -8.233221, ' Generally': -9.3316555}
{' Yes': -0.006221699, ' No': -5.9302173, 'Yes': -5.949808, ' Generally': -8.216446, '\n': -8.275243}
{' No': -0.07815306, 'No': -2.8306344, ' Yes': -5.1696696, '\n': -5.362491, ' ': -6.3703494}
{' No': -0.06451511, 'No': -2.8888671, '\n': -5.919779, ' ': -6.704781, ' A': -6.853002}
{' Yes': -0.017913295, 'Yes': -4.4603133, ' B': -6.044816, ' Generally': -6.7111635, '\n': -7.0475626}
{' Yes': -0.026275564, 'Yes': -4.5927086, ' No': -5.176466, ' Generally': -5.445783, ' B': -5.9287524}
{' No': -0.330792, ' Yes': -2.219811, '\n': -2.4810586, 'No': -2.722073, ' ': -4.496325}
{' No': -0.12301726, 'No': -2.6120844, '\n': -3.3942323, ' ': -5.272956, ' Yes': -6.511237}
{' Yes': -0.24085939, '\n': -1.8658059, 'Yes': -3.6158898, ' B': -4.374461, ' ': -4.4278307}
{' Yes': -0.19268924, '\n': -2.2999928, ' No': -3.45387, 'Yes': -3.8006032, ' ': -4.8963675}
{' Yes': -0.07211525, ' No': -2.7403796, 'Yes': -5.883816, ' A': -7.2141232, 'No': -7.530337}
{' No': -0.0311223, ' Yes': -3.9688852, 'No': -4.552603, ' A': -7.7628264, ' ': -8.221245}
{' Yes': -0.0036456492, 'Yes': -5.787869, ' B': -8.160333, ' yes': -9.013005, ' ': -10.020675}
{' Yes': -0.011431061, ' No': -5.0913486, 'Yes': -5.428993, ' Generally': -8.497, ' B': -8.592571}
{' No': -0.27065146, 'No': -1.5771224, '\n': -4.3333325, ' Yes': -4.8863263, ' ': -5.168361}
{' No': -0.22852348, 'No': -1.7325119, '\n': -4.499399, ' Yes': -5.0978394, ' ': -5.3094645}
{' Yes': -0.18778971, 'Yes': -2.4180868, '\n': -3.3129156, ' B': -4.1269794, ' No': -4.310587}
{' Yes': -0.4114209, ' No': -1.8064557, 'Yes': -2.6629868, 'No': -3.0157263, '\n': -3.5534859}
{' No': -0.7384989, ' Yes': -0.76554507, 'No': -3.6220074, ' A': -4.784872, 'Yes': -4.9541035}
{' No': -0.09158756, 'No': -3.0432303, ' Yes': -3.8338666, ' A': -5.0231323, ' It': -5.5530434}
{' Yes': -0.028730445, 'Yes': -4.037525, ' yes': -5.427368, ' B': -5.89385, ' ': -6.668896}
{' Yes': -0.022368582, 'Yes': -4.198621, ' yes': -5.8666844, ' Generally': -6.545796, ' ': -7.113937}
{' Yes': -0.2150941, ' No': -1.974753, 'Yes': -3.786511, 'No': -4.1630044, ' A': -5.1526513}
{' No': -0.5407642, ' Yes': -1.2895608, 'No': -2.3879263, ' A': -3.901865, 'Yes': -4.2745895}
{' Yes': -0.068592325, 'Yes': -3.133827, ' yes': -4.744648, ' Generally': -5.2268353, ' B': -5.2373247}
{' Yes': -0.09195258, 'Yes': -2.8545446, ' yes': -4.914557, ' No': -5.1600494, ' Generally': -5.188689}
{' No': -0.12941217, 'No': -2.1620107, ' Yes': -5.243199, 'Yes': -7.9659796, ' ': -8.450942}
{' No': -0.18245769, 'No': -1.8228729, ' Yes': -5.4406075, 'Yes': -7.7870603, ' ': -8.798548}
{' Yes': -0.077339, 'Yes': -2.9952714, ' No': -4.118053, 'No': -5.590202, ' B': -6.7966757}
{' Yes': -0.16574052, ' No': -2.5593562, 'Yes': -2.9950173, 'No': -3.9356015, ' It': -6.0957503}
{' No': -0.1340501, 'No': -2.5719717, ' Yes': -3.0899198, 'Yes': -6.074521, ' ': -7.4154253}
{' No': -0.15649743, 'No': -2.2779784, ' Yes': -3.2404284, 'Yes': -6.0332365, ' ': -8.011554}
{' Yes': -0.11184257, 'Yes': -2.3725886, ' No': -4.982351, 'No': -5.939954, ' yes': -7.313099}
{' Yes': -0.1065701, 'Yes': -2.4343994, ' No': -4.770745, 'No': -5.7511272, ' yes': -7.761312}
{' No': -0.1300971, ' Yes': -2.3911636, 'No': -3.5725942, 'Yes': -6.398632, ' ': -7.7686234}
{' No': -0.11017405, ' Yes': -2.6819227, 'No': -3.3837929, 'Yes': -6.483581, ' ': -8.290454}
{' Yes': -0.018319035, 'Yes': -4.1811705, ' No': -6.6961217, ' Generally': -7.040545, ' yes': -8.318054}
{' Yes': -0.024431318, 'Yes': -3.831499, ' No': -6.360792, ' Generally': -8.40435, ' yes': -8.46043}
{' No': -0.32379034, 'No': -1.2951249, '\n': -6.6582284, ' ': -7.33546, ' A': -8.79919}
{' No': -0.3213924, 'No': -1.2967495, '\n': -7.862488, ' ': -7.9363694, ' Not': -8.799026}
{' Yes': -0.19869623, 'Yes': -2.0158958, ' B': -3.9329417, ' No': -4.919779, 'No': -5.110117}
{' Yes': -0.28004727, 'Yes': -1.8686113, 'No': -3.3991477, ' No': -3.5570304, ' B': -4.3122144}
{' No': -0.23025498, 'No': -1.8766096, ' Yes': -3.1520596, '\n': -5.992716, 'Yes': -6.0430717}
{' No': -0.19430074, 'No': -1.7645979, ' Yes': -6.4143476, ' BAT': -6.5277815, '\n': -7.314076}
{' Yes': -1.0626143, ' No': -1.092861, 'No': -1.6744955, ' B': -2.668884, 'Yes': -3.0378988}
{' No': -0.5306526, 'No': -1.0321708, ' Yes': -3.203161, 'Yes': -4.8792205, ' B': -5.461288}
{' Yes': -0.010046675, ' yes': -5.231728, ' No': -6.2567716, 'Yes': -6.3498116, ' ': -7.1978116}
{' No': -0.29560733, ' Yes': -1.4011123, 'No': -5.8398824, ' yes': -6.0779457, ' ': -6.1587715}
{' Yes': -0.010559583, ' yes': -4.894406, 'Yes': -5.9604287, '\n': -8.565567, ' ': -8.725084}
{' Yes': -0.0075143673, ' yes': -5.38824, 'Yes': -6.0797563, '\n': -8.453082, ' ': -8.600085}
{' No': -0.37085938, ' Yes': -1.4307559, 'No': -2.9428422, 'Yes': -5.2024117, '\n': -5.6223884}
{' No': -0.057924274, 'No': -3.0092351, ' Yes': -5.7930775, '\n': -6.5269485, ' ': -6.9094534}
{' Yes': -0.03080495, 'Yes': -3.8090281, ' yes': -5.218997, '\n': -6.624091, ' ': -7.7671056}
{' Yes': -0.06522664, 'Yes': -3.7148254, ' No': -3.9699981, ' It': -4.8641386, '\n': -5.720208}
{' No': -0.6167921, ' Yes': -1.6014094, '\n': -1.9230797, 'No': -2.5262332, 'Yes': -4.2595263}
{' No': -0.1666417, 'No': -2.2929692, '\n': -3.1820817, ' Yes': -5.399091, ' ': -5.473012}
{' Yes': -0.11878302, 'Yes': -2.894187, '\n': -3.0743437, ' yes': -5.1803083, ' ': -5.860368}
{' Yes': -0.14985608, '\n': -2.817672, 'Yes': -3.1210396, ' No': -4.1648593, 'No': -5.5136447}
{' Yes': -0.23478769, ' No': -1.6259544, 'Yes': -5.2090974, 'No': -5.5560117, ' yes': -6.689221}
{' No': -0.193624, ' Yes': -1.9550394, 'No': -3.6948562, ' It': -5.477115, 'Yes': -6.2311907}
{' Yes': -0.009334563, 'Yes': -4.8374786, ' yes': -7.073202, ' Generally': -8.725424, '\n': -8.994169}
{' Yes': -0.017773917, 'Yes': -4.5082755, ' No': -5.646415, ' It': -6.931379, ' Generally': -7.157458}
{' No': -0.31572765, 'No': -1.4534763, '\n': -3.5689511, ' ': -5.527594, ' Yes': -6.4388256}
{' No': -0.33946672, 'No': -1.4883485, '\n': -2.9744172, ' ': -5.1783166, ' Yes': -6.0667686}
{' Yes': -0.20387387, 'Yes': -2.2450936, '\n': -3.140809, ' yes': -4.352214, ' No': -4.7034082}
{' Yes': -0.9064839, ' No': -1.0443338, 'No': -2.1372464, '\n': -2.6475213, 'Yes': -3.2970915}
{' Yes': -0.31663302, ' No': -1.6880492, ' yes': -2.9112432, 'Yes': -4.592749, 'No': -4.949935}
{' No': -0.11096367, 'No': -3.6448934, ' Yes': -3.6644418, ' It': -4.071285, ' no': -4.147421}
{' Yes': -0.07133971, ' yes': -3.0163941, 'Yes': -4.1232824, '\n': -6.6710787, 'yes': -7.1050863}
{' Yes': -0.0437406, ' yes': -3.6257908, 'Yes': -4.4163356, '\n': -6.372327, ' ': -7.166623}
{' Yes': -0.4972843, ' No': -0.9642052, '\n': -5.586476, ' ': -6.0520096, 'No': -6.4850326}
{' No': -0.038808692, ' Yes': -3.4374614, 'No': -5.639428, '\n': -7.0684466, ' ': -7.3991137}
{' Yes': -0.0078002037, '\n': -5.6081305, 'Yes': -5.893056, ' ': -7.5241303, ' yes': -7.7735696}
{' Yes': -0.0059687453, 'Yes': -5.941494, '\n': -6.2126718, ' Generally': -7.6249065, ' ': -8.115608}
{' No': -0.11911622, 'No': -2.7334807, '\n': -3.9450345, ' Yes': -3.9869158, ' ': -5.443703}
{' No': -0.066648334, 'No': -3.115892, '\n': -4.585405, ' Yes': -5.2808666, ' ': -5.946319}
{' Yes': -0.09732387, '\n': -2.7051632, 'Yes': -4.034156, ' ': -5.2574534, ' Generally': -6.957122}
{' Yes': -0.14038642, '\n': -2.791578, ' No': -3.7325132, 'Yes': -3.9640787, ' Generally': -4.8186207}
{' No': -0.11541443, 'No': -2.8651834, '\n': -3.4792771, ' Yes': -4.6509976, ' ': -4.9501386}
{' No': -0.0617911, 'No': -3.2891834, '\n': -4.166426, ' ': -5.501366, ' Yes': -6.311476}
{' Yes': -0.060578335, '\n': -3.517291, 'Yes': -4.2352724, ' B': -5.030835, ' ': -5.2678266}
{' Yes': -0.22529338, ' No': -2.2685387, '\n': -2.9635537, 'Yes': -4.2480216, ' B': -4.432924}
{' No': -0.083447896, ' Yes': -2.8642194, 'No': -4.650417, '\n': -5.207721, ' ': -5.4038305}
{' No': -0.045193482, ' Yes': -3.7285526, 'No': -4.5342355, '\n': -5.7642746, ' A': -5.8430448}
{' Yes': -0.06205845, '\n': -3.1086073, 'Yes': -5.0079412, ' ': -5.1571817, ' B': -6.232823}
{' Yes': -0.041300166, '\n': -3.8561938, 'Yes': -5.018322, ' No': -5.023739, ' ': -5.958719}
{' No': -0.068782955, 'No': -2.908846, '\n': -5.0273285, ' ': -5.7613297, ' Yes': -6.9203005}
{' No': -0.059939247, 'No': -2.9482162, '\n': -6.2604, ' ': -6.558039, ' Yes': -6.582377}
{' Yes': -0.08915477, ' No': -3.4025035, 'Yes': -4.0103583, '\n': -4.2506404, ' B': -4.5018477}
{' No': -0.39602375, ' Yes': -1.4397765, 'No': -3.1697264, '\n': -3.8731966, ' B': -4.5626364}
{' No': -0.48791653, ' Yes': -1.1882168, 'No': -3.6463635, '\n': -3.9219394, ' A': -4.3365626}
{' No': -0.059227083, 'No': -3.6787183, ' Yes': -4.204979, '\n': -4.9172115, ' ': -5.3925076}
{' Yes': -0.042310845, 'Yes': -4.1763, '\n': -4.337084, ' yes': -5.280575, ' ': -5.400419}
{' Yes': -0.03529095, 'Yes': -4.1948957, '\n': -4.925214, ' yes': -5.4584646, ' No': -5.9903526}
{' No': -0.034184463, 'No': -3.661891, ' Yes': -6.07198, ' It': -6.109418, ' That': -7.046731}
{' No': -0.2566791, ' Yes': -1.7628303, 'No': -3.5534337, ' It': -4.6819625, ' A': -4.914499}
{' No': -0.13070332, ' B': -3.2418272, 'No': -3.3090365, ' Generally': -4.101326, ' It': -4.238859}
{' No': -0.71376204, ' Yes': -1.9977032, ' Generally': -2.1375768, ' B': -2.3423593, ' It': -2.5893855}
{' No': -0.123555444, 'No': -2.2267008, ' It': -6.1119866, ' Generally': -6.179951, ' Yes': -6.533217}
{' No': -0.22974403, 'No': -2.1324596, ' Yes': -2.6508846, ' Generally': -5.3433323, ' It': -5.5101624}
{' No': -0.20907268, 'No': -2.1346993, ' B': -3.794896, ' Generally': -4.153561, ' It': -4.3023534}
{' No': -0.5284035, 'No': -1.9811908, ' It': -2.5355866, ' That': -3.1211808, ' Yes': -3.2128496}
{' No': -0.122397184, 'No': -2.213187, '\n': -6.2647977, ' Yes': -7.1431866, ' ': -7.2399497}
{' No': -0.11225333, 'No': -2.431282, ' Yes': -4.264309, '\n': -6.423737, 'Yes': -7.3669167}
{' No': -0.20310365, 'No': -2.188703, ' B': -3.630649, '\n': -4.4330306, ' It': -4.6162333}
{' No': -0.26688275, 'No': -2.1707275, ' Yes': -3.5093772, ' B': -3.561856, ' It': -4.145203}
{' No': -0.055283725, 'No': -2.9641025, ' A': -7.3261766, ' Generally': -7.8332024, ' It': -8.085787}
{' No': -0.09589453, 'No': -2.6224217, ' Yes': -4.276686, ' A': -5.7602253, 'Yes': -7.528061}
{' No': -0.14643547, 'No': -2.2356613, ' B': -3.8090274, ' Generally': -5.792113, ' It': -6.5316763}
{' No': -0.18167989, 'No': -2.1177855, ' B': -3.6847541, ' Generally': -4.942418, ' It': -5.190702}
{' No': -0.15717879, 'No': -2.0186555, '\n': -5.0812416, ' ': -6.3993754, ' Generally': -6.498557}
{' No': -0.206642, 'No': -2.0128171, ' Yes': -3.2973685, ' A': -5.3323994, ' Generally': -5.7434745}
{' No': -0.25737092, 'No': -2.1595447, ' B': -3.4239547, '\n': -3.651984, ' It': -4.14038}
{' No': -0.36529619, 'No': -2.1146152, ' Yes': -2.9960313, ' It': -3.285254, ' B': -3.4760556}
{' No': -0.20391597, 'No': -1.7505373, ' Generally': -5.442489, ' A': -6.11493, ' Not': -7.3005366}
{' No': -0.61971956, ' Yes': -1.399642, 'No': -2.3919325, ' Generally': -2.9392252, ' A': -3.4865122}
{' No': -0.19851193, 'No': -1.9313325, ' B': -4.1483655, ' Generally': -4.7634363, ' Not': -5.693741}
{' No': -0.41360825, 'No': -1.9289606, ' B': -3.0275912, ' Generally': -3.0300577, ' Yes': -3.354923}
{' No': -0.0063207243, 'No': -5.1923995, ' ': -8.092019, '\n': -8.439776, ' A': -9.347909}
{' No': -0.004446637, 'No': -5.584158, ' ': -8.762766, ' It': -8.7759075, '\n': -8.941797}
{' No': -0.02625262, 'No': -3.9711337, ' B': -6.279815, ' It': -6.345348, '\n': -6.387663}
{' No': -0.031959366, 'No': -4.261251, ' It': -4.7302737, ' B': -6.038465, '\n': -6.3654513}
{' No': -0.07093979, 'No': -2.755327, '\n': -6.394691, ' It': -6.950269, ' ': -7.050477}
{' No': -0.0645153, 'No': -2.874957, '\n': -5.877429, ' ': -6.9026604, ' A': -7.2036867}
{' No': -0.11177971, 'No': -2.6105952, ' B': -4.5242934, ' It': -4.6378303, '\n': -5.7686834}
{' No': -0.22766916, 'No': -2.5637784, ' It': -3.3759995, ' Yes': -3.4513, ' B': -3.6721156}
{' No': -0.17680416, 'No': -2.3159451, '\n': -2.9356866, ' ': -5.1051774, ' A': -6.193299}
{' No': -0.1313287, 'No': -2.5122108, '\n': -3.3331144, ' ': -5.4813595, ' A': -6.7070003}
{' No': -0.35070643, '\n': -1.7274896, 'No': -2.3416235, ' ': -4.5022964, ' B': -5.0787644}
{' No': -0.34751904, '\n': -1.7603246, 'No': -2.616003, ' B': -4.2680626, ' Yes': -4.32596}
{' No': -0.010652055, 'No': -4.632421, ' It': -7.9805484, ' A': -8.594414, ' ': -8.88116}
{' No': -0.011890698, 'No': -4.5150323, ' A': -8.274242, ' It': -8.365791, ' ': -8.72036}
{' No': -0.043978125, 'No': -3.3597589, ' B': -5.162964, ' It': -6.7587185, ' That': -8.160307}
{' No': -0.045785513, 'No': -3.3300967, ' It': -5.3814063, ' B': -6.380988, ' That': -6.9585567}
{' No': -0.33975753, 'No': -1.2996174, '\n': -4.604353, ' ': -5.735236, ' A': -6.9662333}
{' No': -0.25134736, 'No': -1.5823239, '\n': -4.577254, ' ': -5.5329075, ' A': -6.779327}
{' No': -0.34288213, 'No': -1.3723334, '\n': -3.712492, ' ': -5.1682796, ' B': -5.5268927}
{' No': -0.36739063, 'No': -1.4257708, ' B': -3.9108477, '\n': -4.0257215, ' Yes': -4.216355}
{' No': -0.083483785, 'No': -2.5986242, ' A': -6.6639323, ' ': -6.7521677, '\n': -6.896132}
{' No': -0.099379666, 'No': -2.5248575, ' It': -5.376651, ' A': -5.554362, ' ': -6.693772}
{' No': -0.16140787, 'No': -2.109707, ' B': -4.0305047, ' ': -5.987348, '\n': -6.063145}
{' No': -0.207581, 'No': -2.110617, ' B': -3.9264946, ' It': -4.045521, ' Generally': -4.6287823}
{' No': -0.13406107, 'No': -2.1599665, ' A': -5.8374662, ' It': -6.232856, ' Generally': -6.399472}
{' No': -0.22900969, 'No': -2.0536954, ' Yes': -3.1196995, ' It': -4.5512276, ' A': -4.6167297}
{' No': -0.3081006, 'No': -1.7172192, ' B': -3.7226207, ' It': -3.808764, ' That': -4.2927}
{' No': -0.6478421, 'No': -1.7023522, ' It': -2.2147975, ' Yes': -3.1235995, ' That': -3.1594427}
{' No': -0.12669358, 'No': -2.1318185, ' ': -8.844021, ' no': -9.260613, 'no': -9.810393}
{' No': -0.14967711, 'No': -1.9785097, ' Yes': -7.8215504, ' ': -9.021877, ' no': -9.562686}
{' No': -0.34268108, 'No': -1.2839614, ' B': -5.2861915, ' It': -5.7640657, ' Not': -6.423846}
{' No': -0.42892638, 'No': -1.2012043, ' It': -3.8365893, ' Not': -4.9409194, ' That': -5.052601}
{' No': -0.10090932, 'No': -2.351592, ' ': -8.342864, '\n': -8.744258, ' no': -8.997124}
{' No': -0.11186977, 'No': -2.2541428, ' Yes': -8.319513, ' ': -8.360258, '\n': -8.673228}
{' No': -0.5459597, 'No': -0.9385243, ' B': -4.622671, ' It': -4.92424, ' That': -5.5476756}
{' No': -0.4665586, 'No': -1.0199815, ' Yes': -5.336897, ' B': -6.267219, ' It': -6.430222}
{' No': -0.04029008, 'No': -3.2374945, ' ': -9.074991, ' no': -10.111457, 'no': -10.930158}
{' No': -0.04956395, 'No': -3.0723357, ' Yes': -6.3897834, ' ': -8.82095, 'Yes': -9.728627}
{' No': -0.14394873, 'No': -2.0432348, ' B': -5.7976465, ' Generally': -7.648089, ' Not': -8.249074}
{' No': -0.1392115, 'No': -2.082607, ' B': -6.5469046, ' Yes': -6.9357295, ' Not': -7.2551427}
{' No': -0.46309146, 'No': -0.99750954, '\n': -6.8478527, ' ': -7.7905207, 'no': -9.389555}
{' No': -0.40883696, 'No': -1.0962054, '\n': -7.259264, ' ': -7.9996524, ' Not': -9.477159}
{'No': -0.69241494, ' No': -0.76027083, ' B': -4.2403235, ' It': -5.5095, '\n': -5.9427257}
{'No': -0.90214646, ' No': -0.9201308, ' B': -2.898042, ' Yes': -3.0300417, ' It': -3.4603548}
{' No': -0.2052649, 'No': -1.701103, '\n': -6.6634917, ' Yes': -7.811492, ' no': -8.197236}
{' No': -0.17553261, 'No': -1.849769, ' BAT': -6.9122953, '\n': -6.9540358, ' Yes': -7.4813333}
{' No': -0.50203097, 'No': -0.95465434, ' B': -4.954004, '\n': -7.1392474, 'B': -7.6114173}
{' No': -0.66403085, 'No': -0.74926645, ' B': -5.105048, ' It': -6.4825597, ' That': -6.523187}
{' No': -0.0029912218, 'No': -6.123921, ' ': -7.539433, ' no': -8.900802, '\n': -9.809364}
{' No': -0.0041661216, 'No': -5.972618, ' ': -7.1628976, ' no': -7.7271657, ' It': -8.549695}
{' No': -0.014210249, 'No': -4.598797, ' It': -6.364227, ' B': -7.0178933, '\n': -7.6286526}
{' No': -0.031920347, 'No': -4.4089875, ' It': -4.4416566, ' B': -5.974688, ' Yes': -6.6335096}
{' No': -0.10336297, 'No': -2.3479347, '\n': -6.8412337, ' ': -7.2131996, ' no': -7.8135605}
{' No': -0.060894262, 'No': -2.8791525, '\n': -6.5238686, ' ': -7.1429977, ' no': -8.251194}
{' No': -0.38766962, 'No': -1.6537485, ' It': -2.4736013, ' That': -4.1356554, '\n': -4.4839754}
{' No': -0.31713873, 'No': -1.6227322, ' It': -3.040693, '\n': -4.8420296, ' That': -5.2338886}
{' No': -0.30240744, 'No': -1.7291806, '\n': -2.6044302, ' ': -5.1935873, ' It': -6.214376}
{' No': -0.17116179, 'No': -2.1565802, '\n': -3.2896364, ' ': -5.8345356, ' A': -7.798098}
{' No': -0.55947375, '\n': -1.445294, 'No': -1.9078624, ' It': -3.7609181, ' ': -4.70547}
