{' Yes': -0.0005849042, 'Yes': -7.5844274, ' yes': -10.218534, ' Spider': -10.872956, ' The': -11.29661}
{' Yes': -0.0035381543, 'Yes': -5.8090224, ' No': -7.755054, ' The': -9.543716, ' yes': -10.93671}
{' Yes': -0.0022172013, 'Yes': -6.128339, ' yes': -11.26786, ' No': -11.565111, ' The': -11.769101}
{' Yes': -0.0026198546, 'Yes': -5.9893484, ' No': -9.410375, ' The': -11.342655, ' yes': -11.579601}
{' No': -0.004511421, 'No': -5.8099422, ' Yes': -6.71777, ' Not': -8.743553, ' Unfortunately': -9.508856}
{' Yes': -0.04666919, ' No': -3.2062018, 'Yes': -5.5115395, ' The': -8.193459, 'No': -8.310245}
{' Yes': -0.008986697, 'Yes': -4.8684034, ' Loving': -6.9228044, ' yes': -8.85131, ' ': -9.634748}
{' Yes': -0.0036777123, 'Yes': -5.8632655, ' No': -7.272829, ' The': -9.607447, ' yes': -10.300932}
{' Yes': -0.06390209, ' No': -2.8325465, 'Yes': -5.943424, 'No': -8.321129, ' The': -9.267912}
{' Yes': -0.027090292, ' No': -3.6989367, 'Yes': -6.379953, ' The': -8.911242, 'No': -9.598883}
{' Yes': -0.0027621558, 'Yes': -5.9100246, ' yes': -11.022995, ' No': -11.409374, ' ': -11.600666}
{' Yes': -0.0031921745, 'Yes': -5.7569227, ' yes': -11.0111685, ' No': -12.762898, ' The': -12.951916}
{' No': -0.079873666, ' Yes': -2.7147727, 'No': -4.595098, 'Yes': -7.913482, ' ': -9.990695}
{' Yes': -0.0037348482, 'Yes': -6.1937733, ' No': -6.464308, ' The': -9.54944, ' yes': -10.812891}
{' Yes': -0.031102195, ' No': -3.5990171, 'Yes': -5.8364606, ' The': -8.51157, 'No': -9.082768}
{' No': -0.14733231, ' Yes': -2.0085385, 'No': -6.1329007, 'Yes': -7.765853, ' The': -8.888906}
{' Yes': -0.006948938, 'Yes': -5.447623, ' No': -6.097737, ' The': -8.722713, ' She': -8.897026}
{' Yes': -0.00514611, 'Yes': -5.3985786, ' No': -7.470214, ' yes': -10.958682, ' The': -11.810853}
{' Yes': -0.0024550448, 'Yes': -6.158794, ' No': -8.334944, ' The': -9.648861, ' yes': -10.818466}
{' Yes': -0.0025137817, 'Yes': -6.077457, ' The': -9.146215, ' No': -9.555395, ' yes': -10.504682}
{' Yes': -0.009532701, ' No': -4.9014106, 'Yes': -6.239341, 'No': -10.431795, ' Not': -10.871076}
{' Yes': -0.0022097942, 'Yes': -6.653855, ' No': -7.032561, ' yes': -11.14139, ' The': -11.516094}
{' Yes': -0.061290834, ' No': -2.8556516, 'Yes': -6.4554763, 'No': -8.816444, ' The': -8.825344}
{' Yes': -0.046846315, ' No': -3.1209772, 'Yes': -6.578169, 'No': -9.207457, ' ': -10.004415}
{' Yes': -0.009288118, 'Yes': -5.267495, ' No': -5.5199614, 'No': -10.2522955, ' yes': -11.3315735}
{' Yes': -0.0045081857, 'Yes': -5.5087557, ' No': -7.824612, ' The': -10.908545, ' yes': -11.233782}
{' Yes': -0.0014112537, 'Yes': -6.9143353, ' The': -8.531007, ' No': -8.804245, ' yes': -9.743627}
{' Yes': -0.0020788594, 'Yes': -6.292328, ' The': -8.9982195, ' No': -9.822949, ' yes': -10.248912}
{' Yes': -0.005209082, 'Yes': -5.626947, ' No': -6.77302, ' The': -8.534674, ' ': -9.144009}
{' No': -0.6527263, ' Yes': -0.7498886, 'No': -5.8127275, 'Yes': -6.4439116, ' Not': -6.5775666}
{' Yes': -0.59716344, ' No': -0.80584264, 'No': -6.8567424, 'Yes': -6.9146056, ' The': -7.383809}
{' Yes': -0.48460084, ' No': -0.97105867, 'Yes': -6.2814302, 'No': -6.43413, ' Not': -6.71942}
{' Yes': -0.0013717421, 'Yes': -6.6269836, ' yes': -10.665386, ' The': -10.927439, ' YES': -13.353947}
{' Yes': -0.0016579789, 'Yes': -6.425165, ' yes': -10.69688, ' The': -11.837246, ' ': -12.581968}
{' Yes': -0.004057731, 'Yes': -5.523774, ' yes': -10.323275, ' ': -11.711765, ' No': -12.141509}
{' Yes': -0.0014458749, 'Yes': -6.554443, ' yes': -11.202155, ' ': -12.609031, ' YES': -13.227168}
{' Yes': -0.0045096227, ' No': -5.7279706, 'Yes': -6.751022, ' The': -10.422292, ' yes': -10.621023}
{' Yes': -0.0024508622, 'Yes': -6.1517825, ' No': -8.455283, ' yes': -10.0837345, ' The': -10.358595}
{' Yes': -0.0016706976, 'Yes': -6.6547923, ' No': -8.179439, ' The': -9.565408, ' yes': -10.973003}
{' Yes': -0.0012557775, 'Yes': -6.7338867, ' Empire': -10.090675, ' The': -11.665605, ' yes': -11.806961}
{' Yes': -0.10204753, ' No': -2.366179, 'Yes': -6.0566955, 'No': -7.773066, ' The': -8.04862}
{' No': -0.034095403, ' Yes': -3.758245, 'No': -4.6180053, 'Yes': -8.7307005, ' ': -9.649804}
{' Yes': -0.003934693, 'Yes': -6.107946, ' No': -6.4399924, ' The': -10.213476, ' ': -10.622443}
{' Yes': -0.0011639334, 'Yes': -6.803549, ' No': -10.370228, ' yes': -11.204758, ' The': -12.60318}
{' Yes': -0.0014808546, 'Yes': -6.577176, ' No': -9.897091, ' yes': -10.711816, ' The': -11.878008}
{'\n': -0.12394784, ' Yes': -2.3401325, ' No': -4.633715, ' ': -4.6855035, 'Yes': -7.1904173}
{' Yes': -0.0027154176, 'Yes': -6.2996855, ' No': -7.274819, ' The': -8.997817, ' yes': -10.25702}
{' Yes': -0.008609735, ' No': -5.113714, 'Yes': -6.0070834, ' The': -10.34548, 'No': -10.470831}
{' Yes': -0.38579637, ' No': -1.1516656, 'Yes': -6.24552, 'No': -6.4502134, ' The': -8.282018}
{' Yes': -0.0017872469, 'Yes': -6.426563, ' No': -9.14179, ' The': -10.458467, ' yes': -10.82142}
{' Yes': -0.0022846488, 'Yes': -6.179256, ' No': -8.91692, ' yes': -10.303623, ' The': -10.3185215}
{' Yes': -0.0017524953, 'Yes': -6.4694586, ' No': -9.327254, ' The': -9.448579, ' yes': -10.7845545}
{' Yes': -0.0019372554, 'Yes': -6.34517, ' The': -9.229991, ' No': -9.828824, ' yes': -10.802995}
{' Yes': -0.002748231, 'Yes': -6.1162868, ' No': -7.753825, ' The': -9.985356, ' ': -10.238354}
{' Yes': -0.009456763, ' No': -4.8719044, 'Yes': -6.433996, ' The': -9.583015, 'No': -10.624735}
{' Yes': -0.005332636, 'Yes': -5.7732353, ' No': -6.169215, ' yes': -10.091266, '\n': -10.552119}
{' Yes': -0.0145295765, ' No': -4.4223037, 'Yes': -6.237813, ' The': -8.095645, ' ': -10.065753}
{' Yes': -0.0424854, ' No': -3.256774, 'Yes': -5.927874, ' The': -8.639655, 'No': -8.758011}
{' No': -0.13838434, ' Yes': -2.1297097, 'No': -4.717156, 'Yes': -6.826185, ' The': -8.8848}
{' Yes': -0.02086917, ' No': -3.980231, 'Yes': -6.2795777, 'No': -10.160792, ' yes': -10.779425}
{' Yes': -0.003403336, 'Yes': -6.304922, ' No': -6.5170064, ' The': -10.229952, ' yes': -10.446751}
{' Yes': -0.041220408, ' No': -3.2775998, 'Yes': -6.153212, ' The': -8.280045, 'No': -8.976963}
{' Yes': -0.09571191, ' No': -2.4694817, 'Yes': -5.1349916, ' The': -8.045617, 'No': -8.091908}
{' Yes': -0.26826596, ' No': -1.4811603, 'Yes': -5.054181, 'No': -6.716424, ' The': -8.480157}
{' Yes': -0.010966934, ' No': -5.1221576, 'Yes': -5.5290065, ' The': -7.1498976, ' yes': -9.444941}
{' Yes': -0.12929237, ' No': -2.1613033, 'Yes': -5.4005837, ' The': -7.003196, 'No': -7.6754847}
{' Yes': -0.24168408, ' No': -1.6587621, 'Yes': -4.044157, 'No': -5.113573, ' Not': -7.7252045}
{' Yes': -0.00285845, 'Yes': -5.8847837, ' The': -10.254603, ' yes': -10.611255, ' ': -12.149804}
{' Yes': -0.0011718087, 'Yes': -6.852675, ' No': -9.229502, ' yes': -11.612836, ' ': -13.040867}
{' Yes': -0.0018832689, 'Yes': -6.3158402, ' Purple': -10.1777525, ' yes': -11.364001, ' No': -11.623039}
{' Yes': -0.0013194574, 'Yes': -6.6887107, ' yes': -10.292993, ' The': -10.558808, ' ': -12.447932}
{' Yes': -0.002971972, 'Yes': -5.8814487, ' No': -9.034769, ' yes': -10.287502, ' The': -11.172871}
{' Yes': -0.0023917714, 'Yes': -6.2686324, ' The': -8.556261, ' No': -8.990842, ' yes': -9.326487}
{' Yes': -0.0031481069, 'Yes': -5.8528733, ' No': -8.684466, ' yes': -10.090111, ' The': -10.17586}
{' Yes': -0.007397508, ' No': -5.2587, 'Yes': -6.1654077, 'No': -10.337648, ' yes': -11.549614}
{' Yes': -0.0024078437, 'Yes': -6.4193997, ' No': -7.262844, ' The': -10.418207, ' yes': -10.872128}
{' Yes': -0.002616746, 'Yes': -5.992742, ' The': -10.058064, ' yes': -10.140237, ' No': -10.634696}
{' Yes': -0.0008926924, 'Yes': -7.1065197, ' yes': -10.567305, ' ': -10.598233, ' YES': -11.647509}
{' Yes': -0.0040262537, 'Yes': -5.522527, ' yes': -11.7877, ' ': -12.309258, '\n': -12.727004}
{' Yes': -0.0031179085, 'Yes': -5.807601, ' No': -9.472497, ' yes': -10.917232, ' The': -11.945722}
{' Yes': -0.27497286, ' No': -1.4679126, 'Yes': -5.0476685, 'No': -6.0796547, ' The': -7.2106586}
{' Yes': -0.059450224, ' No': -2.8810003, 'Yes': -6.6240497, 'No': -8.83733, ' The': -9.401483}
{' No': -0.45455632, ' Yes': -1.0202837, 'No': -5.6964264, 'Yes': -6.636107, ' ': -10.219208}
{' Yes': -0.014681507, ' No': -4.532532, 'Yes': -5.619198, 'No': -9.516129, ' The': -9.672855}
{' Yes': -0.0022572873, 'Yes': -6.1320386, ' yes': -10.134644, ' No': -10.943047, ' The': -11.098523}
{' Yes': -0.0018482732, 'Yes': -6.348166, ' The': -10.135311, ' No': -10.566307, ' yes': -10.93017}
{' Yes': -0.022746434, ' No': -3.8858922, 'Yes': -6.572852, ' The': -7.9206386, 'No': -9.256423}
{' Yes': -0.0016296823, 'Yes': -6.4530725, ' yes': -10.627143, ' The': -10.784806, ' ': -12.883915}
{' Yes': -0.08044435, ' No': -2.6028194, 'Yes': -6.180624, ' The': -7.080042, 'No': -8.239758}
{' Yes': -0.0038530156, 'Yes': -6.067529, ' No': -6.668304, ' The': -8.418781, ' yes': -10.779149}
{' Yes': -0.0013569397, 'Yes': -6.740793, ' No': -9.28167, ' The': -9.622658, ' yes': -11.523431}
{' Yes': -0.44116905, ' No': -1.0438665, 'Yes': -6.146086, 'No': -6.384511, ' The': -7.5998445}
{' Yes': -0.0016365467, 'Yes': -6.4608717, ' No': -10.038224, ' yes': -11.222431, ' The': -11.968084}
{' Yes': -0.0021126084, 'Yes': -6.202201, ' yes': -10.367871, ' ': -10.787286, ' The': -11.560505}
{' Yes': -0.006448854, 'Yes': -5.7706313, ' No': -5.947731, ' Planet': -7.554472, ' The': -9.498665}
{' Yes': -0.0049719, 'Yes': -5.314367, ' yes': -10.773355, ' The': -11.980261, ' No': -12.353739}
{' Yes': -0.006683504, 'Yes': -5.018667, ' yes': -10.449317, ' No': -11.636699, ' ': -12.631286}
{' Yes': -0.0018079075, 'Yes': -6.3515654, ' yes': -10.116333, ' No': -11.704624, ' The': -12.1049}
{' Yes': -0.0023041249, 'Yes': -6.083663, ' yes': -11.304417, ' The': -12.222338, ' ': -12.814651}
{' Yes': -0.010882631, 'Yes': -4.575179, ' No': -7.700408, ' yes': -11.179147, ' The': -11.25327}
{' Yes': -0.0063888063, ' No': -5.5205393, 'Yes': -6.103258, ' The': -9.734568, ' Circus': -10.569815}
{' Yes': -0.0014578736, 'Yes': -6.6721478, ' No': -8.695276, ' The': -11.571162, ' yes': -12.058484}
{' Yes': -0.0022813035, 'Yes': -6.167583, ' No': -8.777472, ' yes': -11.06926, ' ': -12.200646}
{' Yes': -0.0030832312, 'Yes': -5.792044, ' yes': -11.3046665, ' No': -12.017602, ' The': -12.384694}
{' Yes': -0.0021837514, 'Yes': -6.492, ' No': -7.4500155, ' The': -10.30844, ' yes': -10.769852}
{' Yes': -0.008918377, ' No': -4.956472, 'Yes': -6.451942, ' Finger': -8.966125, ' yes': -10.351989}
{' Yes': -0.0035875628, 'Yes': -5.6433654, ' yes': -10.924322, ' ': -11.613715, ' The': -11.715611}
{' Yes': -0.0024021077, 'Yes': -6.063086, ' The': -10.248922, ' yes': -10.5700245, ' ': -12.248092}
{' Yes': -0.0014816872, 'Yes': -6.524888, ' yes': -11.510491, ' ': -12.956898, ' YES': -13.928479}
{' Yes': -0.0018594422, 'Yes': -6.4151797, ' The': -8.775744, ' yes': -10.357553, ' Sure': -10.966798}
{' Yes': -0.018745588, ' No': -4.5355263, 'Yes': -4.8903027, 'No': -8.66987, ' The': -9.462909}
{' Yes': -0.03756214, ' No': -3.3784757, 'Yes': -6.050839, ' The': -8.905693, 'No': -9.082959}
{' Yes': -0.18190165, ' Sc': -1.8800179, 'Yes': -5.1528316, 'Sc': -5.62536, ' scared': -6.5474443}
{' Yes': -0.012357666, 'Yes': -4.925613, ' Sc': -5.5024605, ' yes': -8.244953, ' No': -8.296576}
{' No': -0.15980937, ' Yes': -2.1683352, 'No': -3.5248184, 'Yes': -5.75428, ' Not': -8.576561}
{' Yes': -0.42239362, ' No': -1.0848596, 'Yes': -5.599256, 'No': -6.055795, ' ': -8.018384}
{' Yes': -0.0046140496, 'Yes': -5.3915005, ' No': -11.280625, ' ': -11.669201, ' yes': -11.701536}
{' Yes': -0.0024979466, 'Yes': -6.136515, ' No': -8.406026, ' The': -9.802987, ' ': -10.600153}
{' Yes': -0.003028647, 'Yes': -5.9738803, ' No': -7.8288093, ' The': -9.875245, ' yes': -10.947539}
{' Yes': -0.0030855646, 'Yes': -6.009606, ' No': -7.5034285, ' yes': -10.216462, ' The': -10.668235}
{' Yes': -0.0013124148, 'Yes': -6.6518936, ' yes': -11.064678, ' ': -13.599132, ' YES': -13.686663}
{' Yes': -0.005422046, 'Yes': -5.2284536, ' yes': -10.859845, ' No': -11.4032345, ' ': -12.156398}
{' Yes': -0.0039992016, 'Yes': -5.562928, ' No': -9.648103, ' The': -9.744714, ' yes': -10.7164545}
{' Yes': -0.004148885, 'Yes': -6.1458073, ' No': -6.272999, ' The': -9.522358, ' yes': -11.069181}
{' Yes': -0.012181654, ' No': -4.6348257, 'Yes': -6.2003508, ' The': -8.433738, ' yes': -9.9052725}
{' Yes': -0.0025888379, 'Yes': -6.1731954, ' No': -7.7992, ' The': -10.077318, ' yes': -10.457758}
{' Yes': -0.0012513612, 'Yes': -6.763708, ' Repeat': -9.847431, ' yes': -10.881321, ' YES': -11.492243}
{' Yes': -0.0010470377, 'Yes': -6.88565, ' yes': -11.179661, ' No': -12.463562, ' The': -12.764242}
{' Yes': -0.0009402999, ' Spider': -8.012514, 'Yes': -8.227695, ' No': -8.909386, ' yes': -9.318266}
{' Yes': -0.00068671495, 'Yes': -7.8326335, ' yes': -8.936633, ' YES': -9.759008, ' No': -9.961975}
{' Yes': -0.00055162434, 'Yes': -7.857639, ' yes': -10.091093, ' No': -10.490202, ' YES': -10.556095}
{' Yes': -0.031564865, ' Candle': -3.7617722, ' Cand': -5.5436745, ' YES': -6.27778, 'Yes': -7.154547}
{' Yes': -0.036414374, ' No': -3.557929, ' Th': -6.17899, ' The': -6.2636504, ' Thr': -6.6625185}
{' Yes': -0.0283472, ' No': -3.6492026, '\n': -7.371702, 'Yes': -7.4892693, ' yes': -8.316103}
{' Yes': -0.001188939, 'Yes': -7.200239, ' Bleach': -8.118237, ' yes': -9.52943, ' ': -11.079081}
{' Yes': -0.0019542759, 'Yes': -7.052151, ' No': -7.327422, ' yes': -8.568645, '\n': -9.230763}
{' Yes': -0.0039230827, ' No': -5.941608, 'Yes': -7.0592966, ' yes': -9.126836, '\n': -9.1602335}
{' Yes': -0.00094650435, 'Yes': -7.844761, ' YES': -8.412689, ' yes': -8.5703125, ' No': -9.624117}
{' Yes': -0.06401055, ' No': -2.7949102, 'Yes': -7.4742026, '\n': -8.927277, ' ': -9.574691}
{' Yes': -0.025253585, ' No': -3.7756236, ' The': -7.123247, 'Yes': -7.1250024, ' yes': -8.677883}
{' Yes': -0.005820833, ' No': -5.359697, 'Yes': -7.494479, ' The': -7.977119, ' yes': -9.422959}
{' Yes': -0.12568262, ' No': -2.1607358, 'Yes': -6.553302, ' Indian': -7.292314, 'No': -8.183873}
{' Yes': -0.003681423, ' No': -5.814108, 'Yes': -7.6392255, ' ': -9.038107, ' yes': -10.069887}
{' Yes': -0.020428937, ' No': -3.9714272, 'Yes': -7.5373755, '\n': -7.7940564, ' ': -8.711257}
{' Yes': -0.046009663, ' No': -3.3310914, ' Hungry': -4.9349732, 'Yes': -6.392046, 'No': -9.20265}
{' Yes': -0.0010626117, 'Yes': -7.8449016, '\n': -8.500027, ' No': -8.626043, ' yes': -8.890165}
{' No': -0.01053826, ' Yes': -4.6770554, 'No': -7.093668, ' ': -9.056688, ' The': -9.361584}
{' No': -0.3725145, ' Yes': -1.1825082, ' Number': -6.095578, ' ': -6.907514, 'No': -7.1858726}
{' Yes': -0.004035411, ' No': -5.8493414, 'Yes': -7.57825, ' yes': -8.414432, ' The': -8.799922}
{' Yes': -0.1482979, ' No': -1.9914051, 'Yes': -7.857145, ' The': -8.42537, ' yes': -8.43909}
{' Yes': -0.0005161415, 'Yes': -7.6964884, ' yes': -10.48481, ' No': -11.301602, ' YES': -11.683404}
{' Yes': -0.0011192968, 'Yes': -6.969726, ' yes': -9.04983, ' YES': -10.878061, ' ': -10.951129}
{' Yes': -0.10142645, ' No': -2.3655808, 'Yes': -7.1090097, ' The': -7.1414576, ' Pepper': -8.04515}
{' Yes': -0.0067335507, 'Yes': -5.866265, ' Pepper': -6.9110603, ' yes': -6.9203534, ' No': -6.934838}
{' Yes': -0.0011513423, 'Yes': -7.051093, '\n': -9.539594, ' No': -9.671264, ' yes': -9.761832}
{' Yes': -0.0011676336, 'Yes': -7.0180893, ' yes': -9.339849, '\n': -9.786955, ' No': -10.195036}
{' Yes': -0.0023237192, 'Yes': -6.873282, ' Nep': -7.6226163, ' No': -8.027599, ' ': -8.364342}
{' Yes': -0.009199563, ' No': -4.9256635, 'Yes': -6.6015887, ' Nep': -8.853514, ' yes': -9.119649}
{' No': -0.0006413237, 'No': -7.6095448, ' Yes': -9.449335, ' ': -10.2532425, '\n': -11.171476}
{' No': -0.15198396, ' Yes': -1.966006, 'No': -7.8219643, ' ': -8.390692, '\n': -8.871532}
{' Yes': -0.00073854625, 'Yes': -7.391548, ' yes': -9.790436, ' ': -10.671974, '\n': -10.89452}
{' Yes': -0.00068957784, 'Yes': -7.6955137, '\n': -9.433749, ' yes': -9.529363, ' ': -10.040088}
{' Yes': -0.004124823, ' No': -5.852919, 'Yes': -6.895882, ' yes': -9.593075, ' ': -10.105859}
{' Yes': -0.0030808405, ' No': -6.446249, 'Yes': -6.645317, ' yes': -9.480631, ' ': -10.276283}
{' Yes': -0.27417514, ' No': -1.4411979, 'Yes': -6.3621364, 'No': -7.3715453, ' ': -8.229636}
{' Yes': -0.30654415, ' No': -1.3796319, ' Ending': -4.6168237, 'Yes': -7.0739007, ' ': -7.913519}
{' Yes': -0.0010879713, 'Yes': -7.5113525, ' Energy': -8.172243, ' ': -9.510258, ' yes': -9.869804}
{' Yes': -0.008292835, ' Energy': -4.9609523, 'Yes': -7.335254, ' No': -8.278752, ' YES': -8.956196}
{' Yes': -0.03362564, ' No': -3.5735292, ' Father': -5.6268015, 'Yes': -7.034137, ' yes': -8.549224}
{' Yes': -0.0040358896, ' No': -5.73603, 'Yes': -7.6962733, ' yes': -8.879703, ' YES': -9.240651}
{' Yes': -0.012897186, ' No': -4.500013, ' Pen': -7.41818, 'Yes': -7.612741, ' The': -8.28921}
{' No': -0.54735494, ' Yes': -0.8892758, ' Absolutely': -5.569131, ' Pen': -6.3047323, ' Definitely': -6.60262}
{' Yes': -0.0008637576, 'Yes': -7.296399, ' yes': -9.1396475, ' The': -10.865596, '\n': -10.946891}
{' Yes': -0.014318777, ' No': -4.853653, '\n': -5.9103184, 'Yes': -6.0153694, ' ': -6.9792976}
{' Yes': -0.0008931693, 'Yes': -7.2256455, '\n': -9.401527, ' Strong': -10.297304, ' YES': -10.947716}
{' Yes': -0.00022242252, 'Yes': -8.5551195, ' yes': -10.733804, ' YES': -12.305387, ' ': -13.4974165}
{' Yes': -0.01653301, ' No': -4.259077, 'Yes': -7.2455726, ' Seller': -7.298244, ' The': -7.6928997}
{' Yes': -0.0018367484, ' Seller': -7.07945, 'Yes': -7.372415, ' yes': -8.430223, ' No': -9.940135}
{' Yes': -0.033178646, ' Bl': -3.807831, ' No': -4.762718, 'Yes': -6.6660113, ' ': -8.013712}
{' Yes': -0.001653202, 'Yes': -7.42783, ' No': -7.631616, ' yes': -7.7107673, ' YES': -9.763275}
{' Yes': -0.0027773974, ' No': -6.221113, 'Yes': -7.593754, ' yes': -8.961004, ' The': -9.386736}
{' Yes': -0.0016791754, 'Yes': -7.3461976, ' B': -7.797291, ' No': -7.9922547, ' ': -8.676486}
{' Yes': -0.00051602407, 'Yes': -7.7098126, ' No': -10.618955, ' yes': -10.743003, '\n': -11.615588}
{' Yes': -0.0022430103, ' No': -6.7348537, 'Yes': -7.098989, ' yes': -9.594658, ' The': -9.599264}
{' Yes': -0.00076891074, 'Yes': -7.4048595, ' yes': -9.72234, ' The': -10.204477, ' ': -10.815926}
{' Yes': -0.0017462852, 'Yes': -6.821048, ' Parent': -8.44974, ' No': -8.498026, ' yes': -8.655821}
{' Yes': -0.0007009111, 'Yes': -7.6457677, ' No': -9.162869, ' yes': -9.762385, ' The': -10.823938}
{' Yes': -0.0014506498, ' No': -7.30547, 'Yes': -7.4079847, '\n': -9.69889, ' ': -9.70494}
{' Yes': -0.21341665, ' No': -1.662191, ' The': -6.6498766, 'Yes': -7.521632, ' ': -8.82731}
{' Yes': -0.20251608, ' No': -1.7118678, 'Yes': -6.7705297, '\n': -7.724727, ' The': -7.9281683}
{' Yes': -0.012253817, ' No': -4.5596833, 'Yes': -7.0577, ' The': -7.7385373, ' yes': -8.679505}
{' Yes': -0.006776336, 'Yes': -5.685043, ' Stars': -7.0765963, ' St': -7.2263575, ' No': -7.3634086}
{' Yes': -0.001181717, 'Yes': -6.991406, ' yes': -8.89933, ' The': -9.42351, '\n': -11.108744}
{' Yes': -0.010350161, ' Doctor': -5.1555605, ' No': -5.657704, 'Yes': -7.2884545, ' yes': -8.256307}
{' Yes': -0.008524308, ' No': -4.868397, 'Yes': -7.4521904, ' yes': -9.595955, ' ': -9.989857}
{' Yes': -0.0017865307, ' No': -6.905314, 'Yes': -7.3823323, ' yes': -9.215344, '\n': -10.7186}
{' Yes': -0.04259729, ' No': -3.2004914, 'Yes': -7.496203, '\n': -8.783621, ' ': -8.958408}
{' No': -0.3973557, ' Yes': -1.1214807, 'No': -7.075376, 'Yes': -7.396988, ' The': -8.442093}
{' Yes': -0.060484994, ' No': -2.8613288, 'Yes': -7.1458974, ' yes': -8.567258, ' The': -8.809209}
{' Yes': -0.0036188478, ' Bucket': -6.888272, 'Yes': -6.9574623, ' No': -6.9606895, ' yes': -8.384525}
{' Yes': -0.0025807112, 'Yes': -6.142726, ' The': -9.1979885, ' yes': -9.230085, '\n': -9.57036}
{' Yes': -0.003767636, ' No': -6.171324, 'Yes': -6.5660076, ' yes': -8.973661, ' The': -9.975927}
{' Yes': -0.00093081384, 'Yes': -7.241577, ' No': -9.012224, ' ': -10.030773, ' yes': -10.662504}
{' Yes': -0.0023848994, 'Yes': -6.7903314, ' No': -6.844757, ' yes': -9.697685, ' The': -9.944952}
{' No': -0.016905453, ' In': -4.805201, ' Yes': -4.944285, 'No': -7.3396516, ' Not': -8.919168}
{' Yes': -0.28346732, ' In': -1.8966188, ' No': -2.4703267, ' inhal': -5.4714193, ' inh': -5.921349}
{' Yes': -0.02479388, ' Loving': -3.9562132, 'Yes': -6.1876006, '\n': -6.862463, ' ': -7.108038}
{' Yes': -0.01573663, ' No': -4.280635, 'Yes': -7.14915, ' The': -7.579291, ' yes': -8.669396}
{' Yes': -0.10347209, ' No': -2.3330786, 'Yes': -7.3775983, ' ': -8.195251, '\n': -8.534868}
{' Yes': -0.03316195, ' No': -3.460797, 'Yes': -7.525952, ' The': -8.012241, ' yes': -9.0442505}
{' Yes': -0.0037119347, 'Yes': -6.832144, ' Butter': -6.9372125, ' ': -7.0291233, ' No': -7.514822}
{' Yes': -0.00065516314, 'Yes': -7.472602, ' yes': -9.917443, ' YES': -11.219292, ' No': -11.3242235}
{' Yes': -0.10689029, ' No': -2.2945676, 'Yes': -8.104792, ' ': -9.256561, 'No': -9.656546}
{' Yes': -0.0041349996, ' No': -5.7113395, 'Yes': -7.7085457, ' ': -8.954043, ' yes': -9.103759}
{' Yes': -0.059770033, ' No': -2.8787472, ' The': -6.864796, 'Yes': -7.5673413, ' yes': -9.462953}
{' Yes': -0.32763356, ' No': -1.2824409, ' The': -7.1494455, 'Yes': -7.2525296, 'No': -8.602752}
{' Yes': -0.021374328, ' She': -4.2079625, ' No': -5.717453, 'Yes': -6.109148, ' yes': -8.817411}
{' Yes': -0.0021099793, 'Yes': -6.438614, ' No': -8.374619, ' yes': -9.004393, ' The': -9.716976}
{' Yes': -0.0036292574, ' No': -6.004525, 'Yes': -6.9870524, ' The': -9.629169, ' yes': -9.655454}
{' Yes': -0.0016229944, 'Yes': -7.2635226, ' No': -7.380396, ' The': -8.860237, ' yes': -9.349506}
{' Yes': -0.40295094, ' No': -1.1067053, 'Yes': -7.6822286, 'No': -8.668944, '\n': -9.089208}
{' Yes': -0.001461098, ' No': -7.054807, 'Yes': -7.5978656, ' yes': -10.160786, '\n': -11.066425}
{' Yes': -0.59790766, ' No': -0.8031193, ' The': -6.967365, 'Yes': -8.044617, ' ': -8.280144}
{' Yes': -0.09749968, ' No': -2.697855, ' Minute': -3.7374606, 'Yes': -7.244369, ' ': -7.6578474}
{' Yes': -0.0028112305, ' No': -6.794755, 'Yes': -6.8922877, ' Car': -7.537866, ' yes': -10.076219}
{' Yes': -0.0020926555, 'Yes': -6.8821487, ' No': -7.2752814, ' Car': -8.891914, ' The': -9.25839}
{' Yes': -0.0071213893, ' No': -5.6628757, ' The': -6.245097, ' yes': -6.795869, 'Yes': -7.7580466}
{' Yes': -0.0016309345, ' No': -7.1531754, 'Yes': -7.644827, ' yes': -8.75042, ' The': -8.808203}
{' Yes': -0.024111256, ' No': -3.8034558, 'Yes': -7.458014, ' The': -7.998001, '\n': -8.527239}
{' No': -0.13101277, ' Yes': -2.1490924, 'No': -5.8367805, '\n': -6.944229, ' Flight': -7.644084}
{' No': -0.047270842, ' Yes': -3.099105, 'No': -7.7155023, ' The': -7.955329, ' Length': -9.505366}
{' Yes': -0.4745484, ' No': -1.1903763, ' Length': -2.6534424, '\n': -7.0766706, 'Yes': -7.3813524}
{' Yes': -0.00032753454, 'Yes': -8.220649, ' yes': -10.038489, '\n': -12.103725, ' The': -12.785069}
{' Yes': -0.00057154533, 'Yes': -7.6962495, ' yes': -9.555873, ' The': -10.981618, ' ': -11.435283}
{' Yes': -0.0017953081, 'Yes': -6.694783, ' France': -8.3486185, ' yes': -8.880728, ' No': -9.463232}
{' Yes': -0.00046479818, 'Yes': -7.875909, ' yes': -10.059062, '\n': -10.988814, ' ': -11.384103}
{' Yes': -0.0019223844, ' No': -6.931593, 'Yes': -7.5952373, ' yes': -8.688537, ' The': -8.774259}
{' Yes': -0.0043529435, ' No': -6.2618947, 'Yes': -6.73612, ' Muscle': -7.393679, ' yes': -8.285945}
