{' Up': -0.1780345, ' up': -1.8195369, ' UP': -7.5168424, 'Up': -8.332804, 'up': -9.8074875}
{' Down': -0.35258672, ' down': -1.2283801, ' Up': -6.396604, 'Down': -6.9362655, 'down': -7.0510917}
{' Up': -0.31386057, ' up': -1.3182912, 'Up': -7.5477734, 'up': -7.6172066, ' UP': -7.8413663}
{' Down': -0.55725646, ' down': -0.85808533, 'down': -6.3077936, 'Down': -6.855279, '\n': -9.006047}
{' Up': -0.34130028, ' Down': -2.0152981, ' up': -2.281339, ' down': -3.0378716, ' ': -6.2779818}
{' Down': -0.15845896, ' down': -1.9642718, 'Down': -5.67432, 'down': -6.31637, ' Up': -7.518064}
{' Up': -0.10125574, ' up': -2.376913, 'Up': -6.5070806, 'up': -7.1089306, ' UP': -7.439411}
{' Down': -0.342401, ' down': -1.2647854, 'down': -5.570071, 'Down': -5.6920953, ' ': -8.683656}
{' Down': -0.53972936, ' Up': -1.5897151, ' down': -1.7080528, ' up': -3.8511229, 'Down': -5.741354}
{' Down': -0.14715385, ' down': -2.04492, 'Down': -5.4029307, 'down': -6.2522025, ' Up': -8.010412}
{' Up': -0.077851474, ' up': -2.67929, ' Down': -6.1817236, 'Up': -6.2921834, 'up': -7.224914}
{' Down': -0.37799403, ' down': -1.1881347, 'Down': -5.3628707, 'down': -5.395065, ' ': -8.24336}
{' down': -0.98783714, ' Down': -1.1970294, ' Up': -1.5515007, ' up': -2.2727208, ' ': -5.70448}
{' Up': -0.53686285, ' Down': -1.7930064, ' up': -1.954374, ' down': -2.3017058, ' ': -6.3452277}
{' Up': -0.45281515, ' up': -1.0255976, 'up': -6.2565966, 'Up': -6.2987943, ' UP': -7.2923064}
{' down': -0.5359322, ' Down': -0.90499467, 'down': -5.165134, 'Down': -5.6033797, ' ': -7.7421184}
{' Up': -0.13681838, ' up': -2.6318743, ' Down': -3.3064942, ' down': -4.636845, ' ': -5.9464808}
{' Down': -0.16792403, ' down': -1.9286547, 'Down': -5.157574, 'down': -6.004773, ' ': -8.123334}
{' Up': -0.105354495, ' up': -2.4650097, ' Down': -5.045004, 'Up': -5.8268776, 'up': -6.451761}
{' Down': -0.4170647, ' down': -1.117777, 'down': -4.9926815, 'Down': -5.0781612, ' ': -7.9064884}
{' Up': -0.058434222, ' up': -3.0088258, ' Down': -5.56152, 'Up': -6.861674, ' UP': -7.093049}
{' Down': -0.08639223, ' down': -2.546191, 'Down': -5.9730005, 'down': -6.729604, ' DOWN': -8.563847}
{' Up': -0.025264282, ' up': -3.793758, 'Up': -6.7604303, ' UP': -7.3668895, 'up': -8.219186}
{' Down': -0.12597619, ' down': -2.1766222, 'Down': -5.9120536, 'down': -6.377654, ' ': -8.344707}
{' Down': -0.7310678, ' down': -1.1999133, ' Up': -2.0945227, ' up': -3.1234934, 'Down': -3.8496358}
{' Up': -0.73070407, ' Down': -1.2403133, ' up': -2.3506398, ' down': -2.3828437, 'Down': -4.400105}
{' Up': -0.2592809, ' up': -1.6322458, 'Up': -3.9520507, 'up': -4.627565, ' ': -6.4049797}
{' Down': -0.6832512, ' down': -0.8377999, 'down': -3.443093, 'Down': -3.5561452, ' ': -6.7410126}
{' Down': -0.1622942, ' down': -1.9802414, ' Up': -4.6611915, 'Down': -7.052697, ' up': -7.2672415}
{' Down': -0.33089995, ' Up': -1.8448408, ' down': -2.2132185, ' up': -4.4109607, 'Down': -7.1757293}
{' Down': -0.34402195, ' Up': -1.8389217, ' down': -2.1581488, ' up': -4.2314444, 'Down': -7.196297}
{' Down': -0.1913627, ' down': -1.7629569, 'Down': -6.9602203, ' Up': -7.197052, 'down': -7.4947505}
{' Down': -0.1018251, ' down': -2.732673, ' Up': -3.5782044, 'Down': -6.2302146, ' up': -7.0472}
{' Down': -0.26180637, ' Up': -1.7141112, ' down': -3.1661124, ' up': -5.267109, 'Down': -6.405824}
{' Down': -0.10932754, ' down': -3.008055, ' Up': -3.0089457, 'Down': -6.148559, ' up': -6.3814754}
{' Down': -0.08794537, ' down': -2.568231, ' Up': -5.5542727, 'Down': -6.0390306, 'down': -7.1325316}
{' Down': -0.15691616, ' down': -1.9726721, 'Down': -5.9364266, ' Up': -6.3016877, 'down': -6.971205}
{' Up': -0.27268407, ' Down': -1.7007465, ' up': -3.5196016, ' down': -3.76148, 'Up': -7.1238413}
{' Down': -0.34025276, ' Up': -1.7053822, ' down': -2.3843658, ' up': -4.620738, 'Down': -6.00414}
{' Down': -0.11391525, ' down': -2.2854488, 'Down': -5.759806, ' Up': -6.6361833, 'down': -6.9525476}
{' Down': -0.26743978, ' down': -1.5076245, ' Up': -4.7881327, 'Down': -6.0939913, 'down': -7.0366945}
{' Down': -0.48190576, ' Up': -1.628783, ' down': -1.8371283, ' up': -3.8016136, 'Down': -6.271954}
{' Down': -0.30298692, ' down': -1.4576157, ' Up': -3.8891761, ' up': -5.613457, 'Down': -6.0501256}
{' Down': -0.35883656, ' down': -1.2306875, ' Up': -5.5270243, 'Down': -5.9626417, 'down': -6.502168}
{' Down': -0.11870087, ' down': -2.2801998, ' Up': -5.4623265, 'Down': -5.7024975, 'down': -7.1183476}
{' Down': -0.4920346, ' Up': -1.1606461, ' down': -2.8514953, ' up': -4.4832816, 'Down': -5.996612}
{' Down': -0.30467775, ' Up': -1.8080747, ' down': -2.480272, ' up': -4.8612876, 'Down': -5.6110935}
{' Down': -0.14865698, ' down': -2.0330603, 'Down': -5.4052067, 'down': -6.6976123, ' Up': -7.523294}
{' Down': -0.119266756, ' down': -2.802807, ' Up': -3.0674913, 'Down': -6.2556796, ' up': -6.8199425}
{' Down': -0.14945075, ' Up': -2.7058568, ' down': -2.7308772, ' up': -6.052309, 'Down': -6.1919656}
{' Down': -0.078149, ' down': -2.700038, ' Up': -5.591044, 'Down': -6.066695, 'down': -6.7454615}
{' Down': -0.17585193, ' Up': -2.5383723, ' down': -2.585884, 'Down': -6.1812057, ' up': -6.1937914}
{' down': -0.7609173, ' Down': -0.8543602, ' Up': -3.1583095, ' up': -3.8089538, 'Down': -3.833675}
{' Down': -0.6423169, ' down': -0.97886276, ' Up': -3.1707551, 'Down': -3.8101711, ' up': -3.9860017}
{' Down': -0.61682135, ' down': -0.90741926, 'Down': -3.7750356, 'down': -4.2424545, ' Up': -4.536751}
{' down': -0.72887665, ' Down': -0.85829407, ' Up': -3.5528092, 'Down': -3.7345412, 'down': -3.801901}
{' Up': -0.17372812, ' up': -1.9998293, ' Down': -4.283717, ' down': -4.8357477, '\n': -6.993678}
{' Down': -0.51415986, ' down': -0.9173543, 'down': -6.73232, 'Down': -6.9760065, '\n': -8.840935}
{' Up': -0.34635192, ' up': -1.3404199, ' Down': -4.2199764, ' down': -4.309023, '\n': -7.064085}
{' Down': -0.44122744, ' down': -1.038836, 'down': -6.597817, 'Down': -6.868816, '\n': -8.258764}
{' Up': -0.028281592, ' up': -3.9682782, ' Down': -4.9790645, 'Up': -7.1652937, ' down': -7.5343637}
{' Down': -0.30294988, ' down': -1.361723, 'Down': -5.9207687, 'down': -6.1511497, ' ': -8.611837}
{' Down': -0.7470463, ' Up': -0.958249, ' down': -2.2433763, ' up': -3.5068958, ' ': -6.1122823}
{' Down': -0.13037345, ' down': -2.1407034, 'Down': -5.8664417, 'down': -6.553772, ' DOWN': -8.881073}
{' Up': -0.09158384, ' Down': -2.9385705, ' up': -3.7393172, ' down': -5.0088964, ' ': -6.5472054}
{' Down': -0.23715706, ' down': -1.5842754, 'Down': -5.65359, 'down': -6.215308, ' ': -8.335814}
{' Up': -0.5892844, ' Down': -1.1555095, ' down': -2.5129945, ' up': -3.2268498, ' ': -5.702388}
{' Down': -0.18633762, ' down': -1.8045797, 'Down': -5.7896657, 'down': -6.325005, ' DOWN': -8.365344}
{' Up': -0.14017546, ' up': -2.3750885, ' Down': -3.8279538, ' down': -4.689051, ' ': -6.037747}
{' Down': -0.53527415, ' down': -0.9007909, 'Down': -5.5881877, 'down': -5.628066, ' ': -7.6764464}
{' Up': -0.5353613, ' up': -1.4245844, ' down': -2.382903, ' Down': -2.6696236, ' ': -5.364836}
{' Down': -0.61619276, ' down': -0.7980356, 'down': -5.269383, 'Down': -5.6745954, '\n': -7.634175}
{' Up': -0.05495351, ' up': -3.7631745, ' Down': -3.7839534, ' down': -5.7702513, ' ': -6.5941343}
{' Down': -0.2580895, ' down': -1.5125527, 'Down': -5.452866, 'down': -6.1700463, ' ': -7.7476983}
{' Down': -0.36902252, ' down': -1.4655381, ' Up': -2.8697565, ' up': -5.2606716, ' ': -5.3530293}
{' Down': -0.20646086, ' down': -1.7291601, 'Down': -5.3082976, 'down': -5.775245, ' ': -7.8438873}
{' Up': -0.030815095, ' up': -4.183666, ' Down': -4.4138064, 'Up': -7.165235, ' down': -7.30014}
{' Down': -0.11853449, ' down': -2.2309458, 'Down': -5.9885697, 'down': -6.6383452, ' ': -8.188675}
{' Down': -0.37393042, ' Up': -1.7237592, ' down': -2.1692243, ' up': -4.5019193, ' ': -5.9104185}
{' Down': -0.10106039, ' down': -2.389829, 'Down': -6.022929, 'down': -6.563714, ' DOWN': -8.501851}
{' Up': -0.3887771, ' up': -1.2536148, 'Up': -4.4637794, 'up': -4.5035553, ' ': -5.2938237}
{' down': -0.45886728, ' Down': -1.1689276, 'down': -3.3153584, 'Down': -3.9370928, ' ': -6.832221}
{' up': -1.2170253, ' Up': -1.3026385, ' down': -1.3277736, ' Down': -2.1752124, ' ': -3.9564488}
{' down': -0.50802505, ' Down': -1.0582017, 'down': -3.3920197, 'Down': -4.1414423, ' ': -6.754172}
{' Down': -0.36922228, ' down': -1.184589, 'down': -6.866273, 'Down': -6.9524703, ' Up': -7.705959}
{' Up': -0.36648926, ' up': -1.4314955, ' Down': -3.2811563, ' down': -3.559263, ' UP': -7.5304503}
{' Down': -0.569484, ' down': -0.84315604, 'down': -6.192933, 'Down': -6.5176306, '\n': -9.221444}
{' Up': -0.36375192, ' up': -1.1944004, ' UP': -7.2740493, 'Up': -7.668466, 'up': -8.050652}
{' Down': -0.13275543, ' down': -2.1914577, ' Up': -4.8389015, 'Down': -6.085256, 'down': -6.7947574}
{' Down': -0.49747247, ' Up': -1.373125, ' down': -2.1924722, ' up': -3.7745416, 'Down': -6.332021}
{' Down': -0.25712553, ' down': -1.5098263, 'Down': -5.8262362, 'down': -5.9823165, ' DOWN': -8.972822}
{' Up': -0.10811392, ' up': -2.3108916, 'Up': -6.8134074, ' Down': -7.095594, 'up': -7.6958175}
{' Down': -0.10513477, ' down': -2.3460824, 'Down': -6.0897307, 'down': -7.2372966, ' Up': -7.3539214}
{' Down': -0.509393, ' Up': -1.2504553, ' down': -2.3460896, ' up': -4.3570566, 'Down': -6.4885893}
{' Down': -0.14966008, ' down': -2.0102155, 'Down': -5.6620884, 'down': -6.714218, ' DOWN': -8.483112}
{' Up': -0.047656342, ' up': -3.1239083, 'Up': -7.02131, ' UP': -7.262204, ' Down': -7.681731}
{' Down': -0.39664233, ' down': -1.1393486, 'Down': -6.0314207, 'down': -6.054471, ' Up': -6.4939146}
{' Up': -0.50909233, ' up': -1.7632141, ' Down': -1.990429, ' down': -2.4460354, ' ': -6.7759185}
{' Down': -0.6083229, ' down': -0.8056038, 'down': -5.372416, 'Down': -5.591531, ' ': -8.573531}
{' Up': -0.29571268, ' up': -1.3762944, 'Up': -6.7607408, ' UP': -7.1074452, 'up': -7.22559}
{' Down': -0.2315017, ' down': -1.6154834, 'Down': -5.4295454, 'down': -6.1807013, ' Up': -7.1970587}
{' Down': -0.3648071, ' down': -1.4772892, ' Up': -2.75453, ' up': -5.207857, 'Down': -5.562694}
{' Down': -0.2697735, ' down': -1.4892024, 'Down': -5.005581, 'down': -5.636249, ' DOWN': -7.9406943}
{' Up': -0.07113567, ' up': -2.7242823, 'Up': -6.510911, ' UP': -7.356675, 'up': -8.005374}
{' Down': -0.03856843, ' down': -3.3603132, 'Down': -6.373066, 'down': -7.3867054, ' Up': -7.627458}
{' Up': -0.08226368, ' Down': -2.7697446, ' up': -4.4010463, ' down': -6.173829, ' UP': -7.3194704}
{' Down': -0.053904388, ' down': -3.0238101, 'Down': -5.993737, 'down': -6.8733873, ' DOWN': -8.885908}
{' Up': -0.021425663, ' up': -4.0474324, ' Down': -6.3560944, 'Up': -7.101301, ' UP': -7.375317}
{' Down': -0.7333806, ' down': -0.7685712, 'down': -3.927171, 'Down': -4.078269, ' Up': -4.6112337}
{' down': -0.6386869, ' Down': -0.834625, 'down': -3.9303148, 'Down': -4.2762847, ' ': -5.8760715}
{' down': -0.62048924, ' Down': -0.8682024, 'down': -3.6859663, 'Down': -4.188526, ' ': -6.4281497}
{' Up': -0.4916499, ' up': -1.1318343, ' down': -3.7260764, ' Down': -3.928536, 'Up': -4.92437}
{' Down': -0.5344484, ' down': -0.8874777, 'Down': -6.869945, 'down': -6.953317, ' DOWN': -8.756951}
{' Up': -0.13587986, ' up': -2.0804732, ' UP': -6.5017757, 'Up': -7.7083855, 'up': -9.161396}
{' Down': -0.5928798, ' down': -0.8128964, 'down': -6.3246512, 'Down': -6.575048, ' DOWN': -8.407595}
{' Up': -0.63125414, ' up': -0.76807195, ' UP': -5.8739104, 'Up': -7.52225, 'up': -7.9754786}
{' down': -0.65380365, ' Down': -0.75327575, 'down': -5.2581677, 'Down': -5.696574, ' ': -8.170701}
{' Up': -0.09176924, ' up': -2.469531, 'Up': -6.3572664, ' UP': -7.394547, 'up': -7.65017}
{' Down': -0.5403734, ' down': -0.8983733, 'down': -5.216973, 'Down': -5.5297303, ' DOWN': -7.8764124}
{' Up': -0.3842802, ' up': -1.1581126, 'Up': -6.204975, ' UP': -6.575777, 'up': -6.9353404}
{' Down': -0.57373846, ' down': -0.84908146, 'Down': -5.562065, 'down': -5.5654063, ' ': -7.446096}
{' Up': -0.0783528, ' up': -2.6445873, 'Up': -6.334706, ' UP': -6.4233785, 'up': -7.861037}
{' Down': -0.44763032, ' down': -1.044703, 'Down': -5.5504804, 'down': -5.5822277, ' DOWN': -7.129435}
{' Up': -0.28389356, ' up': -1.4269753, ' UP': -5.575527, 'Up': -6.271543, 'up': -7.3532977}
{' down': -0.537604, ' Down': -0.9054018, 'down': -5.161513, 'Down': -5.354819, '\n': -7.8372064}
{' Up': -0.2125668, ' up': -1.6829896, 'Up': -6.0741835, ' UP': -6.307219, 'up': -7.1566043}
{' down': -0.54821783, ' Down': -0.8963147, 'down': -4.7917385, 'Down': -5.447191, ' DOWN': -7.5712647}
{' up': -0.6241013, ' Up': -0.785053, ' UP': -5.9401145, 'Up': -6.057588, 'up': -6.257274}
{' Down': -0.5622353, ' down': -0.8652195, 'Down': -5.4075055, 'down': -5.616632, ' ': -7.484131}
{' Up': -0.0833809, ' up': -2.6033983, 'Up': -6.0010786, ' UP': -6.064183, ' ': -7.5825586}
{' Down': -0.39419118, ' down': -1.1649373, 'Down': -5.0188894, 'down': -5.3064413, ' DOWN': -6.573932}
{' Up': -0.26851827, ' up': -1.4866903, ' UP': -5.49126, 'Up': -5.825055, ' ': -6.935309}
{' Down': -0.5473757, ' down': -0.8804311, 'down': -5.522559, 'Down': -6.069876, ' ': -8.125052}
{' Up': -0.054375034, ' up': -2.9950123, ' UP': -6.3475995, 'Up': -7.1975517, 'up': -8.55257}
{' Down': -0.18584087, ' down': -1.8168318, 'down': -5.751873, 'Down': -5.7987094, ' DOWN': -7.708144}
{' Up': -0.20181106, ' up': -1.7374156, ' UP': -5.3380527, 'Up': -6.792068, 'up': -7.7094483}
{' down': -0.47723752, ' Down': -1.4594573, 'down': -2.2423341, 'Down': -3.2722049, ' ': -6.1753597}
{' Up': -0.60367036, ' up': -0.99737376, 'up': -3.1971607, 'Up': -3.3138962, ' ': -5.627799}
{' down': -0.5873425, ' Down': -1.258113, 'down': -2.142316, 'Down': -3.2122033, ' ': -6.8208704}
{' up': -0.67285603, ' Up': -0.90848976, 'up': -3.1832988, 'Up': -3.2720168, ' UP': -5.7831044}
{' Up': -0.3660296, ' up': -1.1895045, ' UP': -7.416452, 'Up': -7.456222, 'up': -8.16595}
{' Down': -0.33124903, ' down': -1.2759494, 'Down': -6.656894, 'down': -6.700475, '\n': -9.216415}
{' Up': -0.32542565, ' up': -1.2876582, 'Up': -7.449662, 'up': -7.469568, ' UP': -7.8915753}
{' Down': -0.5893629, ' down': -0.81783074, 'down': -6.0620875, 'Down': -6.6903567, ' ': -9.063926}
{' Up': -0.2805201, ' up': -2.2770715, ' Down': -2.304421, ' down': -3.3128345, ' ': -6.3193345}
{' Down': -0.15952975, ' down': -1.9593002, 'Down': -5.603476, 'down': -6.139188, ' Up': -8.579485}
{' Up': -0.10606623, ' up': -2.3301034, 'Up': -6.4547772, 'up': -7.04315, ' UP': -7.4749875}
{' Down': -0.33360195, ' down': -1.2886457, 'down': -5.544631, 'Down': -5.617398, ' ': -8.554351}
{' Up': -0.10233279, ' up': -2.7516134, ' Down': -3.789131, ' down': -5.144581, 'Up': -6.2721095}
{' Down': -0.1105286, ' down': -2.335359, 'Down': -5.227226, 'down': -6.1886425, ' DOWN': -8.706722}
{' Up': -0.042200416, ' up': -3.2766552, 'Up': -6.1513534, ' UP': -7.469705, 'up': -7.55764}
{' Down': -0.27523074, ' down': -1.4720118, 'Down': -5.162739, 'down': -5.330538, ' ': -8.392823}
{' down': -0.7091769, ' Down': -0.74434835, ' Up': -3.997608, ' up': -4.9440265, 'Down': -5.906053}
{' Down': -0.4925344, ' down': -1.2107255, ' Up': -2.7059667, ' up': -4.083942, 'Down': -5.81755}
{' Up': -0.37627286, ' up': -1.1766269, 'Up': -6.244204, 'up': -6.353808, ' UP': -7.2037396}
{' down': -0.5109764, ' Down': -0.94460255, 'down': -4.976892, 'Down': -5.6395125, ' ': -7.83076}
{' Up': -0.29032758, ' Down': -1.8980278, ' up': -2.947102, ' down': -3.350939, ' ': -5.356912}
{' Down': -0.15611847, ' down': -2.006508, 'Down': -5.0583973, 'down': -5.874515, ' ': -8.155157}
{' Up': -0.06434886, ' up': -2.8886817, 'Up': -5.5710373, 'up': -6.6422734, ' UP': -7.4882226}
{' Down': -0.34811282, ' down': -1.2831465, 'Down': -4.814156, 'down': -4.8609076, ' ': -7.9333253}
{' Up': -0.43009734, ' Down': -1.2809522, ' down': -3.3303714, ' up': -3.4842641, ' ': -6.379867}
{' Down': -0.07494245, ' down': -2.6987083, 'Down': -5.8551607, 'down': -6.5153565, ' ': -8.843782}
{' Up': -0.024813373, ' up': -3.7981951, 'Up': -6.8118024, ' UP': -7.9357414, 'up': -8.07356}
{' Down': -0.18022227, ' down': -1.8383225, 'down': -5.9062557, 'Down': -5.932282, ' ': -8.47457}
{' Down': -0.6368744, ' down': -1.1787884, ' Up': -2.4777594, ' up': -3.589126, 'Down': -3.6979783}
{' Down': -0.3389235, ' down': -1.4489737, 'Down': -3.464812, 'down': -4.21441, ' Up': -5.7758965}
{' Up': -0.23855053, ' up': -1.7337192, 'Up': -3.8434505, 'up': -4.574602, ' ': -6.4657435}
{' Down': -0.7556861, ' down': -0.7784732, 'down': -3.2576602, 'Down': -3.4713593, ' ': -6.913371}
{' Down': -0.16220558, ' down': -2.0149448, ' Up': -4.299868, 'Down': -6.8078275, ' up': -7.079664}
{' Down': -0.2501659, ' down': -2.0949688, ' Up': -2.4180453, ' up': -4.961893, 'Down': -6.938822}
{' Up': -0.54072297, ' Down': -1.1601802, ' down': -2.8854456, ' up': -3.068303, '\n': -7.28325}
{' Down': -0.18706858, ' down': -1.7825962, 'Down': -6.6055346, 'down': -7.362796, '\n': -8.641988}
{' Down': -0.123761296, ' down': -2.7531404, ' Up': -3.0289986, 'Down': -6.296169, ' up': -6.6658893}
{' Down': -0.054365657, ' down': -3.0540774, ' Up': -5.8144474, 'Down': -6.2416687, 'down': -7.6574287}
{' Down': -0.25152415, ' Up': -1.7969248, ' down': -3.039919, ' up': -5.214491, 'Down': -6.29042}
{' Down': -0.11232696, ' down': -2.2774441, 'Down': -6.0757647, 'down': -6.9339433, ' Up': -8.546117}
{' Down': -0.16294627, ' down': -1.9392258, 'Down': -5.9034686, ' Up': -6.1691027, 'down': -6.9100127}
{' Up': -0.5768911, ' Down': -0.99857163, ' down': -3.1125262, ' up': -3.8373146, 'Down': -6.7064133}
{' Down': -0.43442422, ' Up': -1.3781878, ' down': -2.4884937, ' up': -4.361634, 'Down': -6.1025743}
{' Down': -0.1388091, ' down': -2.083725, 'Down': -5.758074, 'down': -6.842165, ' Up': -7.627456}
{' Down': -0.32600313, ' down': -1.4068576, ' Up': -3.6618013, ' up': -5.8449087, 'Down': -6.0376782}
{' Down': -0.30455813, ' down': -1.4870247, ' Up': -3.5759661, ' up': -5.4862466, 'Down': -6.1198444}
{' Down': -0.38938335, ' down': -1.3795283, ' Up': -2.8843, ' up': -4.576294, 'Down': -6.1505795}
{' Down': -0.41085106, ' down': -1.1088529, 'Down': -5.9510403, 'down': -6.390978, ' Up': -6.3974895}
{' Down': -0.13001171, ' down': -2.2024164, ' Up': -5.1889753, 'Down': -5.670598, 'down': -7.049714}
{' Down': -0.36954048, ' Up': -1.510936, ' down': -2.6143372, ' up': -4.671172, 'Down': -5.87844}
{' Down': -0.28834978, ' Up': -1.9599197, ' down': -2.353999, ' up': -5.018147, 'Down': -5.493989}
{' Down': -0.17479993, ' down': -1.8826456, 'Down': -5.2386007, 'down': -6.426347, ' ': -7.7317147}
{' Down': -0.08187386, ' down': -2.6953688, ' Up': -4.9025426, 'Down': -6.2790775, 'down': -7.301932}
{' Down': -0.33588046, ' Up': -1.4985677, ' down': -2.9664211, ' up': -5.06859, 'Down': -6.6827846}
{' Down': -0.07486305, ' down': -2.7590404, ' Up': -5.2394896, 'Down': -6.3610516, 'down': -6.9833317}
{' Down': -0.15782593, ' down': -2.43969, ' Up': -2.9443, 'Down': -6.2359943, ' up': -6.5110373}
{' down': -1.1037626, ' Down': -1.1082448, ' Up': -1.6094369, ' up': -2.3239832, 'Down': -3.9950857}
{' Down': -0.6769221, ' down': -0.99780864, ' Up': -2.839619, ' up': -3.662678, 'Down': -3.7762034}
{' Down': -0.7630755, ' down': -0.9854799, ' Up': -2.536614, ' up': -3.1921048, 'Down': -3.8519862}
{' down': -0.64427155, ' Down': -0.9831692, ' Up': -3.4118247, 'down': -3.7586837, 'Down': -3.8554835}
{' Up': -0.14161614, ' up': -2.2306833, ' Down': -4.210901, ' down': -4.812915, 'Up': -7.7946706}
{' Down': -0.47653088, ' down': -0.9758576, 'down': -6.8455415, 'Down': -7.009133, '\n': -9.309691}
{' Up': -0.355356, ' up': -1.5685403, ' Down': -3.0456216, ' down': -3.2246625, ' ': -6.8009486}
{' Down': -0.41857564, ' down': -1.0808108, 'down': -6.583166, 'Down': -6.9240556, '\n': -8.769888}
{' Up': -0.05523724, ' Down': -3.5934625, ' up': -3.8129084, ' down': -6.0008373, 'Up': -7.219507}
{' Down': -0.25380236, ' down': -1.5177394, 'Down': -5.931819, 'down': -6.198644, ' ': -8.865024}
{' Down': -0.62980247, ' Up': -1.1626279, ' down': -2.0946195, ' up': -3.6820846, 'Down': -6.2152433}
{' Down': -0.14960925, ' down': -2.0068824, 'Down': -5.9243665, 'down': -6.4668565, ' DOWN': -8.9945755}
{' Up': -0.21038596, ' Down': -1.981548, ' up': -3.6625457, ' down': -3.858375, ' ': -6.179975}
{' Down': -0.22155365, ' down': -1.645353, 'Down': -5.680698, 'down': -6.26284, ' ': -8.373783}
{' Up': -0.35830745, ' Down': -1.7166084, ' up': -2.7817369, ' down': -2.934111, ' ': -6.133703}
{' Down': -0.20389873, ' down': -1.7230827, 'Down': -5.745465, 'down': -6.145932, ' ': -8.466899}
{' Up': -0.13604134, ' up': -2.4831407, ' Down': -3.5858724, ' down': -4.55117, ' ': -6.3458767}
{' Down': -0.4821992, ' down': -0.98185587, 'Down': -5.6042557, 'down': -5.627304, ' ': -7.946003}
{' Up': -0.41972694, ' up': -1.3699338, ' down': -3.1494021, ' Down': -3.267566, ' ': -6.0635653}
{' Down': -0.524931, ' down': -0.91909224, 'down': -5.2759457, 'Down': -5.665762, '\n': -7.924059}
{' Up': -0.08233067, ' Down': -3.1680965, ' up': -3.6425261, ' down': -5.1045203, ' ': -6.446753}
{' Down': -0.211509, ' down': -1.6970457, 'Down': -5.3556414, 'down': -6.1930265, ' ': -7.869067}
{' Up': -0.44986632, ' Down': -1.4631776, ' down': -2.7139502, ' up': -2.9545012, ' ': -5.3872232}
{' Down': -0.17213738, ' down': -1.8922874, 'Down': -5.4396105, 'down': -6.0924826, ' DOWN': -8.090592}
{' Up': -0.12329374, ' Down': -2.3317041, ' up': -4.471768, ' down': -5.496602, ' ': -6.703003}
{' Down': -0.12029913, ' down': -2.2192638, 'Down': -5.93417, 'down': -6.49411, ' ': -8.203976}
{' Up': -0.24697407, ' Down': -1.9090014, ' up': -3.1602392, ' down': -3.7461135, ' ': -6.4828467}
{' Down': -0.08287219, ' down': -2.5886, 'Down': -6.018946, 'down': -6.5503955, ' ': -8.526464}
{' Up': -0.4860181, ' up': -1.1484442, ' down': -4.105441, 'up': -4.2238374, ' Down': -4.359374}
{' down': -0.4390509, ' Down': -1.2401679, 'down': -3.1104128, 'Down': -3.9159856, ' ': -6.798149}
{' down': -0.74322337, ' Down': -1.7450315, ' up': -1.855446, ' Up': -2.0152647, 'down': -3.8878765}
{' down': -0.5574859, ' Down': -1.0026895, 'down': -3.200222, 'Down': -4.0249634, ' ': -6.6451907}
{' Down': -0.3408292, ' down': -1.2508997, 'Down': -6.836461, 'down': -6.865293, ' Up': -8.658698}
{' Up': -0.28444174, ' up': -1.4880874, ' Down': -4.4264917, ' down': -4.8043413, ' UP': -7.5125985}
{' Down': -0.4781841, ' down': -0.9772799, 'down': -6.2671723, 'Down': -6.435402, '\n': -9.369101}
{' Up': -0.3303368, ' up': -1.2761395, ' UP': -7.201043, 'Up': -7.2873197, 'up': -7.688397}
{' Down': -0.16778918, ' down': -1.9460579, ' Up': -4.9776587, 'Down': -6.1798244, 'down': -6.615703}
{' Down': -0.35159752, ' down': -1.8823096, ' Up': -2.0646484, ' up': -4.311997, 'Down': -6.33871}
{' Down': -0.34115502, ' down': -1.2645292, 'down': -5.7359242, 'Down': -5.826515, ' DOWN': -8.711473}
{' Up': -0.164767, ' up': -1.9430014, ' Down': -5.344998, ' down': -6.536675, 'Up': -6.841677}
{' Down': -0.14427641, ' down': -2.0389867, 'Down': -6.120772, 'down': -6.839903, ' Up': -7.5784283}
{' Down': -0.454038, ' Up': -1.5043119, ' down': -2.080331, ' up': -4.290582, 'Down': -6.4376307}
{' Down': -0.21599892, ' down': -1.6644433, 'Down': -5.8382883, 'down': -6.425267, ' DOWN': -8.09737}
{' Up': -0.067198776, ' up': -2.7888439, ' Down': -6.5425587, 'Up': -7.141766, ' UP': -7.5566735}
{' Down': -0.5488581, ' down': -0.8822474, 'down': -5.802861, ' Up': -6.2008834, 'Down': -6.204271}
{' Up': -0.90534234, ' Down': -1.3757024, ' down': -1.5823349, ' up': -2.0188162, ' ': -6.66217}
{' down': -0.6121344, ' Down': -0.8000846, 'down': -5.274955, 'Down': -5.874284, ' ': -8.524262}
{' Up': -0.36825922, ' up': -1.1902235, 'Up': -6.968072, 'up': -7.1951704, ' UP': -7.3587356}
{' Down': -0.2901119, ' down': -1.4084799, 'Down': -5.630244, 'down': -6.0328903, ' Up': -7.512219}
{' Up': -0.7064655, ' Down': -1.2380913, ' down': -1.9429556, ' up': -2.7239597, ' ': -5.818053}
{' Down': -0.27770638, ' down': -1.449589, 'Down': -5.4161534, 'down': -5.9232593, ' DOWN': -7.8752327}
{' Up': -0.09114087, ' up': -2.5035365, ' Down': -6.2820377, 'Up': -6.6139865, ' UP': -7.438865}
