{' Yes': -0.0022212046, 'Yes': -6.1538434, ' yes': -10.02856, '\n': -10.890599, ' YES': -11.135205}
{' Yes': -0.0012484955, 'Yes': -6.7890077, ' Sure': -9.890717, ' YES': -10.84511, ' yes': -10.8693695}
{' Yes': -0.001645384, 'Yes': -6.7620707, ' Super': -8.000991, ' Sure': -9.893895, ' YES': -10.3530245}
{' Yes': -0.0017159528, 'Yes': -6.5135446, ' Weight': -8.9569, ' No': -10.385141, ' yes': -11.173829}
{' Yes': -0.0018448106, 'Yes': -7.032821, ' No': -7.5475826, ' Weight': -8.614405, ' We': -9.689733}
{' Yes': -0.48886707, ' St': -1.0823328, ' Stars': -3.442755, 'Yes': -4.8543606, ' stairs': -6.0888453}
{' Yes': -0.089194775, ' St': -2.9758086, ' Stars': -3.9781432, 'Yes': -4.4329104, ' No': -6.9652166}
{' Yes': -0.0010059284, 'Yes': -6.9591026, ' yes': -10.644516, ' Doctor': -10.738562, ' YES': -12.229818}
{' Yes': -0.0033856323, 'Yes': -6.1567836, ' Doctor': -6.765787, ' yes': -9.993748, ' YES': -11.231547}
{' Yes': -0.003359976, 'Yes': -6.061481, ' No': -7.316336, ' YES': -9.420112, ' yes': -9.777343}
{' Yes': -0.0024203316, 'Yes': -6.415023, ' No': -7.310512, ' YES': -10.483097, ' yes': -10.695771}
{' Yes': -0.0019113355, 'Yes': -6.5383606, ' No': -8.171297, ' Tennis': -9.083454, ' yes': -10.746048}
{' Yes': -0.006784617, 'Yes': -5.7371407, ' Tennis': -6.1591735, ' No': -6.7534347, ' Ten': -9.818888}
{' Yes': -0.010370034, ' Bucket': -4.9200397, 'Yes': -5.980287, ' yes': -9.018249, ' No': -9.276034}
{' Yes': -0.04928458, ' Bucket': -3.1304595, 'Yes': -5.655377, ' Buck': -7.8644733, ' yes': -8.64246}
{' Yes': -0.013149536, 'Yes': -5.1005554, ' States': -5.17931, ' St': -7.850194, ' No': -7.9515224}
{' Yes': -0.023681624, ' States': -4.3803616, 'Yes': -5.1244507, ' No': -5.8053164, ' St': -6.773995}
{' Yes': -0.0011403629, 'Yes': -6.980488, ' Sure': -8.992798, ' Absolutely': -10.572895, ' No': -11.329352}
{' Yes': -0.0016772643, 'Yes': -6.534437, ' Sure': -8.842111, ' No': -11.03256, ' Yep': -11.180652}
{' In': -0.06483982, ' Yes': -2.9307702, ' inh': -5.3594317, ' inhal': -6.5636663, ' No': -6.601493}
{' In': -0.61397374, ' Yes': -0.86306024, ' No': -4.2042737, ' inh': -4.44932, ' inhal': -5.523638}
{' Yes': -0.002281662, 'Yes': -6.3467216, ' Loving': -8.042295, ' yes': -9.506329, ' YES': -9.604713}
{' Yes': -0.0011477624, 'Yes': -6.8983665, ' Sure': -9.718326, ' YES': -10.690673, ' yes': -10.804954}
{' Yes': -0.003127417, 'Yes': -6.374435, ' No': -6.9102798, ' Turtle': -8.316932, ' yes': -10.246592}
{' Yes': -0.0033188285, ' No': -6.364986, 'Yes': -6.661121, ' Turtle': -8.828378, ' Sure': -9.761776}
{' Yes': -0.0024606015, 'Yes': -6.1259995, ' Butter': -8.7943535, ' yes': -10.4405365, ' Absolutely': -10.466747}
{' Yes': -0.008736296, ' Butter': -5.223868, 'Yes': -5.8026147, ' But': -9.588247, ' yes': -9.713124}
{' Yes': -0.0037727805, 'Yes': -6.0461936, ' B': -7.1008677, ' No': -7.917774, ' Bor': -9.802507}
{' Yes': -0.0048070042, ' No': -5.7420225, 'Yes': -6.727478, ' B': -8.751046, ' Bor': -9.365455}
{' Yes': -0.0074648242, 'Yes': -5.4714575, ' Twelve': -6.054284, ' yes': -8.730051, ' No': -8.804543}
{' Yes': -0.024587998, ' No': -4.0138955, 'Yes': -5.2822003, ' Twelve': -8.455413, 'No': -8.810548}
{' Yes': -0.0038574429, 'Yes': -5.736588, ' She': -7.891283, ' Sure': -9.406036, ' yes': -10.002046}
{' Yes': -0.005057864, 'Yes': -5.748708, ' She': -6.5597258, ' Sure': -8.797612, ' yes': -9.799001}
{' Yes': -0.00092568324, 'Yes': -7.0410404, ' YES': -10.863556, '\n': -11.377002, ' yes': -11.554956}
{' Yes': -0.0015105235, 'Yes': -6.5461516, ' YES': -10.776466, '\n': -11.028463, ' Stress': -11.157932}
{' Yes': -0.0015330267, 'Yes': -6.708007, ' No': -8.227452, ' Sure': -11.196541, ' yes': -11.401784}
{' Yes': -0.0020619598, 'Yes': -6.291698, ' Sunset': -9.654932, ' No': -10.188877, ' Sure': -10.305407}
{' Yes': -0.0026258912, ' No': -6.288068, 'Yes': -7.4193263, ' Sure': -9.040004, ' Absolutely': -11.33144}
{' Yes': -0.0054583643, ' Minute': -5.593122, 'Yes': -6.6425524, ' No': -8.648259, ' Sure': -9.213174}
{' Yes': -0.0007724888, 'Yes': -7.218242, ' yes': -11.549305, ' Sure': -12.018685, ' YES': -12.098828}
{' Yes': -0.0007176115, 'Yes': -7.4797096, ' Sure': -9.072033, ' Yep': -11.695514, ' yes': -11.745145}
{' Yes': -0.029917926, ' Wa': -3.7098894, 'Yes': -6.1921573, ' No': -6.4554243, ' Wait': -7.401421}
{' Yes': -0.011457227, ' Wa': -5.073383, 'Yes': -5.7816906, ' Water': -7.1641364, ' Wait': -7.749725}
{' Yes': -0.03417811, ' Fr': -4.61602, ' No': -4.7579956, ' Flight': -4.812871, 'Yes': -5.6954584}
{' Yes': -0.027037501, ' No': -3.8115509, 'Yes': -5.9676075, ' Flight': -7.376823, ' Fr': -7.721295}
{' Yes': -0.0136640435, ' Length': -4.5139694, ' No': -6.503072, 'Yes': -6.864175, 'Length': -10.814524}
{' Yes': -0.043211322, ' Length': -3.3202689, ' No': -5.495211, 'Yes': -6.3810887, 'Length': -8.835596}
{' Yes': -0.0007439153, 'Yes': -7.2655487, ' yes': -10.852992, ' Sure': -11.438863, '\n': -12.575479}
{' Yes': -0.0007280503, 'Yes': -7.3020816, ' Sure': -10.839976, ' yes': -10.92722, ' YES': -12.177595}
{' Yes': -0.0021741332, 'Yes': -6.492872, ' France': -8.099655, ' Sure': -8.427175, ' yes': -9.776513}
{' Yes': -0.0022708478, 'Yes': -6.2902346, ' France': -8.572057, ' Sure': -9.030793, ' yes': -10.2469}
{' Yes': -0.0014783456, 'Yes': -6.8286324, ' Muscle': -8.739622, ' Sure': -9.709278, ' yes': -10.040993}
{' Yes': -0.0027135639, 'Yes': -6.3385153, ' Muscle': -7.935834, ' No': -8.002818, ' yes': -9.70229}
{' Yes': -0.022828573, ' Empire': -3.9669504, 'Yes': -5.9557295, ' Em': -7.8856325, ' Emperor': -8.216804}
{' Yes': -0.055516947, ' Empire': -3.0662913, ' Em': -5.731925, 'Yes': -5.7761035, ' Emperor': -7.7448974}
{' Yes': -0.31312203, ' Kid': -1.4365846, ' No': -3.8157885, 'Kid': -5.78858, 'Yes': -5.7955317}
{' No': -0.51113427, ' Yes': -0.93720555, ' Nope': -5.6357355, 'No': -6.214864, ' Kid': -6.5812306}
{' Yes': -0.000841566, 'Yes': -7.3391323, ' No': -9.77306, ' Hunger': -9.914373, ' Sure': -10.296652}
{' Yes': -0.00070508523, 'Yes': -7.4915094, ' No': -9.59393, ' Sure': -10.155025, ' yes': -11.387808}
{' Yes': -0.00079193484, 'Yes': -7.2196712, ' No': -10.338581, ' yes': -11.322538, ' YES': -11.849089}
{' Yes': -0.0039935173, 'Yes': -5.84885, ' No': -7.63594, ' St': -8.721393, ' yes': -9.158002}
{' Yes': -0.05005889, ' Danger': -3.5482333, ' Dagger': -4.261189, 'Yes': -5.624933, ' No': -7.0335417}
{' Yes': -0.0065764626, ' Danger': -6.088685, 'Yes': -6.1431704, ' No': -6.61819, ' Dagger': -7.722446}
{' Yes': -0.00183639, 'Yes': -6.4698386, ' No': -8.53319, ' yes': -10.346648, ' YES': -10.691038}
{' Yes': -0.0020252839, 'Yes': -6.3836336, ' No': -8.8292, ' Direct': -9.517401, ' yes': -10.019743}
{' Yes': -0.0019077518, 'Yes': -6.535195, ' No': -8.286287, ' yes': -10.02451, ' YES': -10.142441}
{' Yes': -0.0016784583, 'Yes': -6.558216, ' YES': -9.733234, ' yes': -10.158921, ' No': -10.163809}
{' Yes': -0.0019484225, 'Yes': -6.4448075, ' No': -8.456498, ' Sure': -9.797915, ' yes': -10.486897}
{' Yes': -0.0016932073, 'Yes': -6.4593787, ' No': -9.989411, ' yes': -10.849113, ' Sure': -11.071597}
{' No': -0.1508858, ' Yes': -2.1151571, ' Behind': -4.355762, 'No': -5.313216, ' Nope': -7.2640405}
{' Yes': -0.004559261, 'Yes': -5.7121224, ' No': -7.1783795, ' Behind': -8.739577, ' Absolutely': -10.063131}
{' Yes': -0.0024610793, 'Yes': -6.408995, ' Thread': -7.2790365, ' yes': -10.155816, ' No': -10.387114}
{' Yes': -0.0034446628, ' No': -6.724109, 'Yes': -6.728006, ' Thread': -7.052067, ' yes': -9.42224}
{' Yes': -0.034514923, ' No': -3.902366, 'Yes': -4.798727, ' T': -6.3200903, ' Tess': -6.889916}
{' Yes': -0.052872002, ' No': -3.2649348, 'Yes': -5.1311154, ' Issue': -5.8523855, ' Sure': -6.48273}
{' Yes': -0.0066961665, ' Sure': -5.800614, ' No': -6.2963724, 'Yes': -6.4677777, ' yes': -9.608398}
{' Yes': -0.008333043, ' Sure': -5.3823547, 'Yes': -5.9955616, ' No': -8.018076, ' Sau': -8.36943}
{' Yes': -0.006792299, 'Yes': -5.285261, ' Fl': -7.0232906, ' No': -8.046453, ' yes': -9.132826}
{' Yes': -0.012114622, 'Yes': -4.8755236, ' No': -5.5604935, ' yes': -9.091768, ' YES': -9.424727}
{' Yes': -0.007860384, ' No': -5.662676, 'Yes': -5.7642508, ' Sne': -7.259014, ' yes': -8.610024}
{' Yes': -0.015479754, ' No': -4.456987, 'Yes': -5.7901087, ' Sne': -8.1917095, ' yes': -9.375229}
{' Yes': -0.018047106, ' Better': -4.2232165, 'Yes': -5.848091, 'Better': -9.66861, ' Sure': -9.937976}
{' Yes': -0.0064573134, ' Better': -5.7490067, 'Yes': -5.870238, ' yes': -9.520412, ' ': -9.931824}
{' Yes': -0.0008499191, 'Yes': -7.1205087, ' yes': -11.37077, ' No': -11.705839, ' Sure': -11.728843}
{' Yes': -0.0014750622, 'Yes': -6.6773705, ' Purple': -9.290744, ' yes': -10.336111, ' Sure': -10.471749}
{' Yes': -0.00860727, ' Animal': -5.1964693, 'Yes': -5.9130945, ' No': -8.827199, ' yes': -9.63019}
{' Yes': -0.016986871, ' Animal': -4.378729, 'Yes': -5.576019, ' No': -8.611816, ' yes': -9.053298}
{' Hel': -0.053612046, ' Yes': -3.0584714, 'Helper': -6.0731053, ' Help': -6.6201434, ' helper': -7.561303}
{' Hel': -0.672432, ' Yes': -0.725996, 'Yes': -6.412063, 'Helper': -6.594848, ' Help': -6.7110324}
{' Yes': -0.031384457, ' No': -3.523955, 'Yes': -6.769593, 'No': -9.187407, ' Nope': -10.207856}
{' Yes': -0.0011830303, 'Yes': -6.800556, ' Sure': -10.974609, ' yes': -11.083656, ' YES': -11.81306}
{' Yes': -0.002116072, 'Yes': -6.2211785, ' Sure': -9.94068, ' Branch': -10.509999, ' yes': -10.888007}
{' Yes': -0.0029385507, 'Yes': -5.922284, ' Branch': -8.82315, ' yes': -9.840453, ' No': -11.063191}
{' Yes': -0.0018575311, 'Yes': -6.3454933, ' Sure': -10.644562, ' Yep': -10.922538, ' yes': -11.339844}
{' Yes': -0.0033541152, 'Yes': -5.989025, ' Pretty': -7.452713, ' Yep': -9.800335, ' No': -10.168327}
{' Yes': -0.37605757, ' Ignore': -1.2433252, ' No': -4.3717585, ' Ign': -4.635588, 'Yes': -6.8240433}
{' Yes': -0.32809943, ' No': -1.8409301, ' Ignore': -2.1638403, ' Ign': -5.422599, 'Yes': -7.42171}
{' Yes': -0.14997634, ' Divide': -1.9860339, 'Yes': -6.830203, ' No': -7.8881183, ' Div': -8.186332}
{' Yes': -0.5334972, ' Divide': -0.89704937, ' Div': -5.964506, ' No': -6.777775, 'Yes': -6.895475}
{' Yes': -0.00091912015, 'Yes': -7.0689254, ' Hammer': -10.472406, ' Sure': -11.419516, ' yes': -11.81896}
{' Yes': -0.0055888435, ' Hammer': -5.477722, 'Yes': -6.6647415, ' yes': -10.592458, ' YES': -10.623807}
{' Yes': -0.0012647895, 'Yes': -6.729782, ' Sure': -10.670122, ' Second': -11.356528, ' yes': -11.573782}
{' Yes': -0.0020568206, 'Yes': -6.3212113, ' Second': -9.410605, ' Sure': -10.145682, ' yes': -10.369151}
{' Yes': -0.19987127, ' Amount': -2.5271034, ' No': -2.9400713, ' Mount': -3.5846977, 'Yes': -4.860489}
{' Yes': -0.015844857, ' No': -4.96146, 'Yes': -5.0142045, ' Absolutely': -7.85791, ' Mount': -7.9855065}
{' Yes': -0.007806271, ' Ex': -5.259382, 'Yes': -6.1115603, ' No': -8.562728, ' yes': -9.678379}
{' Yes': -0.05735241, ' Ex': -3.3490183, ' No': -4.216751, 'Yes': -5.985676, 'Ex': -7.4945836}
{' Yes': -0.0005325425, 'Yes': -7.616012, ' Sure': -11.305173, ' yes': -11.441123, ' ': -12.519449}
{' Yes': -0.00057715003, 'Yes': -7.5372324, ' Sure': -11.04428, ' yes': -11.520613, ' YES': -12.061794}
{' Yes': -0.002897067, ' Planet': -6.419446, 'Yes': -6.7372427, ' yes': -10.821108, ' No': -10.894749}
{' Yes': -0.006081662, ' Planet': -5.510358, 'Yes': -6.2914686, ' No': -10.193133, ' Sure': -10.493139}
{' Yes': -0.002676092, 'Yes': -6.1483397, ' No': -8.114317, ' Car': -9.524128, ' C': -9.963939}
{' Yes': -0.0025399579, 'Yes': -6.135726, ' No': -8.370048, ' C': -10.204283, ' yes': -10.210809}
{' Yes': -0.0016548748, 'Yes': -6.6385617, ' Ass': -8.213437, ' Absolutely': -10.553464, ' yes': -11.034154}
{' Yes': -0.010594885, ' Ass': -5.1095805, 'Yes': -5.696418, ' No': -7.243449, '\n': -9.175419}
{' Yes': -0.0025954715, 'Yes': -6.402541, ' Circus': -7.1543365, ' No': -9.574866, ' yes': -10.703181}
{' Yes': -0.0053146593, ' Circus': -5.7571297, 'Yes': -6.221337, ' No': -9.998642, ' Circ': -10.374886}
{' Yes': -0.0014306537, 'Yes': -6.600954, ' yes': -10.856087, ' No': -10.881989, ' YES': -11.672397}
{' Yes': -0.0024910758, 'Yes': -6.1234813, ' yes': -9.238417, ' No': -9.767754, ' YES': -10.053386}
{' Yes': -0.0009490115, 'Yes': -7.253264, ' No': -9.0459585, ' Sure': -9.979221, ' yes': -10.442176}
{' Yes': -0.0031129487, ' No': -6.455612, 'Yes': -6.9167924, ' Finger': -8.10825, ' yes': -9.624634}
{' Yes': -0.002848828, 'Yes': -5.946122, ' Law': -9.361344, ' yes': -9.535432, ' YES': -10.639157}
{' Yes': -0.024970599, ' Law': -3.9444685, 'Yes': -5.5201864, ' No': -8.17959, 'Law': -8.325894}
{' Yes': -0.0017316572, 'Yes': -6.414848, ' Sure': -9.75748, ' yes': -11.481829, ' YES': -12.019536}
{' Yes': -0.0030977023, 'Yes': -5.8310204, ' Sure': -9.8447, ' yes': -10.349115, ' YES': -10.680935}
{' Yes': -0.01724553, ' No': -4.3711023, 'Yes': -5.825558, ' Cancer': -6.6936903, '\n': -9.357661}
{' Yes': -0.03510141, ' No': -3.4073336, 'Yes': -6.9525642, ' Cancer': -8.284744, 'No': -9.542059}
{' Yes': -0.020836003, ' Sc': -4.4481754, 'Yes': -4.9499702, ' yes': -7.364977, ' YES': -7.7491255}
{' Yes': -0.0031711282, 'Yes': -5.860577, ' Sc': -9.165502, ' yes': -9.38226, ' YES': -9.670009}
{' Yes': -0.0071015214, ' No': -5.643823, 'Yes': -5.688299, ' yes': -9.740081, ' YES': -10.890139}
{' Yes': -0.0070066797, 'Yes': -5.1410036, ' No': -7.204634, ' yes': -9.085373, ' YES': -9.90312}
{' Yes': -0.0024898828, 'Yes': -6.3622823, ' Exc': -8.206032, ' Sure': -8.5927925, ' No': -8.970472}
{' Yes': -0.0066387416, 'Yes': -5.8556523, ' No': -6.535537, ' Ex': -7.0634737, ' Exc': -7.11431}
{' Yes': -0.0009821214, 'Yes': -7.310895, ' No': -8.22436, ' yes': -10.788152, ' YES': -11.852897}
{' Yes': -0.0021703101, ' No': -6.6879115, 'Yes': -7.0601745, ' yes': -10.301546, ' YES': -11.732007}
{' Yes': -0.12651415, ' No': -2.1502264, 'Yes': -6.3336267, 'No': -7.8876414, ' Nope': -9.713597}
{' Yes': -0.002574197, 'Yes': -6.075044, ' Cowboy': -9.10395, ' No': -9.54725, ' yes': -10.374839}
{' Yes': -0.015829477, ' Finish': -4.4557896, 'Yes': -5.6420135, ' No': -8.065216, ' ': -9.889044}
{' Yes': -0.07010793, ' Finish': -2.8398757, 'Yes': -5.4494395, ' No': -5.5170507, 'Finish': -8.014512}
{' Yes': -0.00318111, 'Yes': -5.9011316, ' Puzzle': -8.616988, ' yes': -9.580527, ' No': -9.621774}
{' Yes': -0.0030966247, 'Yes': -5.8922377, ' Puzzle': -8.82204, ' yes': -10.038924, ' No': -10.164581}
{' Yes': -0.0011730036, 'Yes': -6.8988776, ' Repeat': -9.357448, ' Sure': -10.679044, ' yes': -11.1704035}
{' Yes': -0.0012709958, 'Yes': -6.984843, ' Repeat': -8.150776, ' yes': -10.72135, ' Repe': -11.595108}
{' Yes': -0.0012384688, 'Yes': -6.9435754, ' Spider': -8.619715, ' yes': -10.163473, ' YES': -10.531601}
{' Yes': -0.0011656033, 'Yes': -6.883508, ' Spider': -9.594576, ' yes': -10.365026, ' YES': -10.870031}
{' Yes': -0.004422149, ' Candle': -6.234387, 'Yes': -6.3677964, ' Cand': -7.8957734, ' YES': -8.45775}
{' Yes': -0.012448915, ' Candle': -4.846515, 'Yes': -6.181197, ' Cand': -6.3586016, ' YES': -7.7427993}
{' Yes': -0.0047018393, ' Th': -6.280386, 'Yes': -6.521507, ' Thr': -7.033661, ' No': -8.926385}
{' Yes': -0.0034329991, 'Yes': -6.3692946, ' No': -7.48073, ' Thr': -7.704431, ' Th': -8.234945}
{' Yes': -0.0012977934, 'Yes': -6.7008862, ' yes': -10.309106, ' YES': -11.181728, '\n': -11.727474}
{' Yes': -0.0046690213, ' Bleach': -6.1723228, 'Yes': -6.3202376, ' Ble': -7.728882, ' No': -8.729914}
{' Yes': -0.0010215617, 'Yes': -6.9340296, ' yes': -10.95497, ' YES': -10.967879, '\n': -12.066047}
{' Yes': -0.0015127894, 'Yes': -6.583296, ' Flower': -10.052479, ' YES': -10.130699, ' yes': -10.404108}
{' Yes': -0.0014019433, 'Yes': -6.8556666, ' No': -8.206973, ' yes': -10.368677, ' YES': -11.436043}
{' Yes': -0.006151047, ' No': -5.3807845, 'Yes': -6.559145, ' yes': -10.072989, ' YES': -10.841686}
{' Yes': -0.007966002, 'Yes': -5.762923, ' No': -5.986174, ' Indian': -6.2790127, ' yes': -8.661086}
{' Yes': -0.11755629, ' No': -2.270291, 'Yes': -5.785521, ' Indian': -5.9043837, 'No': -7.488465}
{' Yes': -0.02124013, ' Orange': -3.938526, 'Yes': -7.0959845, ' No': -7.7993217, ' Sure': -9.277833}
{' Yes': -0.0034953838, ' Orange': -6.0386796, 'Yes': -7.0001225, ' yes': -9.706139, ' YES': -10.004404}
{' Yes': -0.0018388389, 'Yes': -6.7097206, ' Hungry': -7.5538, ' No': -10.387057, ' YES': -10.860823}
{' Yes': -0.0055953767, ' Hungry': -5.455556, 'Yes': -6.838273, ' No': -9.014323, ' YES': -10.235536}
{' Yes': -0.022591814, ' No': -4.0595675, ' Number': -5.6380186, 'Yes': -6.641835, '\n': -9.748544}
{' Yes': -0.38016942, ' No': -1.2108293, ' Number': -4.171614, 'Yes': -6.6001153, 'No': -6.8258653}
{' Yes': -0.0032816937, ' No': -6.69875, 'Yes': -6.7388425, ' Mirror': -7.2759194, ' yes': -9.564817}
{' Yes': -0.06703101, ' No': -2.7839515, ' Mirror': -6.1691113, 'Yes': -7.3498445, 'No': -9.08757}
{' Yes': -0.0004984892, 'Yes': -7.6563344, ' YES': -11.434237, ' yes': -11.600814, ' Mother': -13.240165}
{' Yes': -0.000901283, 'Yes': -7.038043, ' YES': -11.669219, ' yes': -11.739129, '\n': -12.554298}
{' Yes': -0.033458542, ' Pepper': -3.9512727, 'Yes': -5.270925, ' Pe': -5.281198, ' No': -6.1733394}
{' Yes': -0.014428587, ' Pepper': -5.1084914, 'Yes': -5.5395727, ' Pe': -6.264842, ' No': -6.724162}
{' Yes': -0.0026050925, 'Yes': -6.024751, ' Cheese': -9.479474, ' YES': -10.1082535, ' yes': -10.71762}
{' Yes': -0.0012515995, 'Yes': -6.7371883, ' YES': -10.526066, ' yes': -11.4673815, ' Cheese': -11.523202}
{' Yes': -0.0033319283, 'Yes': -5.973346, ' No': -8.139083, ' Nep': -8.787895, ' Yep': -9.182832}
{' Yes': -0.02330122, 'Yes': -5.2118425, ' Neph': -5.268475, ' Nep': -5.453908, ' No': -5.7617826}
{' Yes': -0.101943575, ' No': -2.544546, ' Square': -4.2633357, 'Yes': -6.2575765, ' Squ': -6.3207464}
{' Yes': -0.043568876, ' No': -3.834012, ' Square': -4.229224, 'Yes': -5.8524656, ' Squ': -6.049089}
{' Yes': -0.0009192403, 'Yes': -7.158178, ' Change': -9.707989, '\n': -10.483962, ' YES': -10.875929}
{' Yes': -0.00084836746, 'Yes': -7.2410274, ' Change': -10.148181, ' No': -10.57702, '\n': -10.699204}
{' Yes': -0.004448015, 'Yes': -5.7230906, ' Leaves': -7.0782332, ' YES': -9.0130205, ' yes': -9.139994}
{' Yes': -0.00722873, 'Yes': -5.482973, ' Leaves': -6.017984, ' YES': -8.650975, ' No': -8.674616}
{' Yes': -0.02706733, ' Ending': -3.784069, 'Yes': -5.745563, ' No': -7.8560157, ' YES': -8.774149}
{' Yes': -0.055275474, ' Ending': -3.0568871, 'Yes': -5.7346272, ' No': -5.8619065, ' YES': -8.577787}
{' Yes': -0.09799532, ' Energy': -2.3997567, 'Yes': -6.2960362, 'Energy': -8.387753, ' YES': -8.814166}
{' Yes': -0.051700566, ' Energy': -3.0423353, 'Yes': -6.221941, ' YES': -8.427212, 'Energy': -9.050182}
{' Yes': -0.0012318448, 'Yes': -7.259843, ' Father': -8.111213, ' No': -8.893048, ' yes': -10.344724}
{' Yes': -0.000961183, 'Yes': -7.097515, ' Father': -9.644675, ' YES': -10.493708, ' yes': -10.738126}
{' Yes': -0.0011512241, 'Yes': -6.9879804, ' yes': -9.4561205, ' Pen': -9.581656, ' No': -10.041625}
{' Yes': -0.00080714474, 'Yes': -7.1932683, ' yes': -10.691732, ' YES': -11.036715, '\n': -12.005183}
{' Yes': -0.0051309546, ' Street': -5.631172, 'Yes': -6.6484056, ' yes': -9.377714, ' YES': -9.416164}
{' Yes': -0.00360162, ' Street': -6.1405396, 'Yes': -6.7070484, ' YES': -9.045927, ' yes': -9.768673}
{' Yes': -0.00059510453, 'Yes': -7.5929103, ' Strong': -9.797447, ' yes': -11.292993, ' YES': -11.417896}
{' Yes': -0.00061979383, 'Yes': -7.483537, ' Strong': -10.516428, ' yes': -11.409824, '\n': -11.591979}
{' Yes': -0.005778149, ' Seller': -5.3412213, 'Yes': -7.1791654, ' No': -9.434195, ' yes': -9.664411}
{' Yes': -0.0033725342, ' Seller': -6.0461864, 'Yes': -7.0949225, ' yes': -9.299815, ' YES': -9.901903}
{' Yes': -0.0026857143, ' Bl': -6.5096908, 'Yes': -6.8761973, ' yes': -9.422779, ' YES': -10.3703785}
{' Yes': -0.0031056546, 'Yes': -6.4812093, ' Bl': -6.5729184, ' yes': -9.462809, ' YES': -10.097124}
{' Yes': -0.0009225819, 'Yes': -7.044856, ' yes': -10.737975, ' YES': -11.1578245, '\n': -12.022091}
{' Yes': -0.00230986, 'Yes': -6.6515517, ' B': -7.4598594, '\n': -9.240544, ' yes': -9.471678}
{' Yes': -0.0006075088, 'Yes': -7.4775395, ' yes': -10.959847, ' YES': -11.456554, ' No': -11.654423}
{' Yes': -0.0014089859, 'Yes': -6.831332, ' No': -8.742927, ' yes': -9.718867, ' Prince': -10.557038}
{' Yes': -0.0016459792, 'Yes': -6.615633, ' Parent': -8.795133, ' yes': -9.976725, ' YES': -9.996584}
{' Yes': -0.006641083, ' Parent': -5.6354074, 'Yes': -5.987586, ' No': -8.989415, ' YES': -9.047181}
{' Yes': -0.001179331, 'Yes': -6.8393407, ' YES': -10.426572, ' yes': -10.448972, ' Super': -10.914637}
{' Yes': -0.0006554006, 'Yes': -7.392096, ' YES': -11.107258, ' yes': -11.522575, '\n': -12.314854}
{' Yes': -0.00936302, ' Weight': -4.9291587, 'Yes': -6.385593, ' We': -8.790338, ' YES': -9.592928}
{' Yes': -0.111761585, ' Weight': -2.3884873, ' We': -4.9533696, ' No': -5.5524454, 'Yes': -6.659989}
{' Yes': -0.09201734, ' St': -2.571124, 'Yes': -5.072175, ' Stars': -5.810248, ' stairs': -7.7319694}
{' Yes': -0.34495476, ' St': -1.4209988, ' Stars': -3.4016087, 'Yes': -4.8587694, ' stairs': -6.0906687}
{' Yes': -0.0014750622, 'Yes': -6.910687, ' Doctor': -7.8044415, ' yes': -9.9694805, ' YES': -11.245967}
{' Yes': -0.01174872, ' Doctor': -4.6578536, 'Yes': -6.2122335, ' yes': -9.286529, 'Doctor': -10.512947}
{' Yes': -0.0050304863, 'Yes': -5.8089643, ' No': -6.5687337, ' YES': -8.534628, ' R': -9.214879}
{' Yes': -0.007277963, ' No': -5.3159266, 'Yes': -6.216002, ' YES': -8.919004, ' yes': -9.584258}
{' Yes': -0.004643513, 'Yes': -6.305247, ' Tennis': -6.555955, ' No': -6.7329984, ' yes': -9.772603}
{' Yes': -0.018382052, ' Tennis': -4.7959847, ' No': -5.125575, 'Yes': -5.6976614, ' Tenn': -8.560415}
{' Yes': -0.00350681, 'Yes': -6.3541365, ' Bucket': -6.4816947, ' yes': -9.207736, ' YES': -9.791406}
{' Yes': -0.04723229, ' Bucket': -3.179064, 'Yes': -5.812111, ' Buck': -7.1249332, ' yes': -8.303717}
{' Yes': -0.012411132, ' States': -4.711059, 'Yes': -5.885008, ' YES': -8.739179, ' No': -8.795461}
{' Yes': -0.02380925, ' States': -4.0785174, 'Yes': -5.5553074, ' No': -6.9080925, ' St': -7.101249}
{' Yes': -0.0010482307, 'Yes': -7.004786, ' Sure': -9.624313, ' YES': -10.690793, ' Yep': -11.405713}
{' Yes': -0.001748078, 'Yes': -6.4309397, ' Sure': -10.326994, ' Coffee': -10.487551, ' YES': -10.856358}
{' In': -0.03270531, ' Yes': -4.085998, ' inh': -4.9156933, ' inhal': -5.647611, ' No': -5.819097}
{' In': -0.44024327, ' Yes': -1.1952176, ' No': -3.6220572, ' inh': -4.159199, ' inhal': -5.1446347}
{' Yes': -0.015448638, ' Loving': -4.370671, 'Yes': -6.4172044, ' Lov': -7.7654595, ' YES': -8.447694}
{' Yes': -0.0046918984, 'Yes': -6.09547, ' Loving': -6.564838, ' YES': -8.212159, ' yes': -8.533679}
{' Yes': -0.0029578016, ' No': -6.676706, 'Yes': -6.929475, ' Turtle': -7.5887537, ' yes': -9.769225}
{' Yes': -0.019124815, ' Turtle': -4.458225, ' No': -5.088733, 'Yes': -6.938705, ' yes': -9.8356905}
{' Yes': -0.002922892, 'Yes': -6.2295957, ' Butter': -7.195521, ' yes': -9.802828, ' But': -10.057323}
{' Yes': -0.0033011292, 'Yes': -6.196032, ' Butter': -6.8749986, ' yes': -9.87539, ' YES': -9.944854}
{' Yes': -0.002643519, 'Yes': -6.708494, ' B': -7.609577, ' Bor': -7.719671, ' No': -8.088238}
