{'\n': -10.568761, ' ': -9.932915, ' Yes': -0.002365244, ' yes': -9.487791, 'Yes': -6.126602}
{' No': -0.051826365, '\n': -7.971057, ' ': -6.799371, 'No': -3.0217454, ' no': -9.429227}
{' No': -0.0036417614, '\n': -7.3819685, ' ': -6.333083, 'No': -6.785433, ' no': -9.781241}
{' No': -0.029986523, '\n': -5.7939644, ' ': -5.351142, 'No': -3.8468864, ' no': -8.784749}
{' No': -0.06456995, '\xa0': -8.241472, '\n': -3.8980582, ' ': -4.4287343, 'No': -3.529505}
{' No': -0.0039249985, '\n': -8.888957, ' ': -6.38998, 'No': -6.201686, ' no': -10.437838}
{' No': -0.123231776, '\n': -4.140668, ' ': -4.3606997, 'No': -2.4602013, ' no': -7.7234373}
{' No': -0.024511456, '\n': -6.807256, ' ': -5.2803936, 'No': -4.1053658, ' no': -6.7328963}
{' No': -0.047897734, '\n': -7.320078, ' ': -5.853368, 'No': -3.2287946, ' no': -5.7899523}
{' No': -0.060260862, ' ': -6.622692, 'No': -2.874359, 'no': -9.227879, ' no': -8.036048}
{' No': -0.119285494, '\n': -6.7134943, ' ': -6.159923, 'No': -2.2284563, ' no': -7.3859386}
{' No': -0.013251671, ' ': -7.111033, 'No': -4.432538, 'no': -10.2441635, ' no': -8.166481}
{' No': -0.2890397, '\n': -6.3433557, ' ': -5.818369, 'No': -1.4054681, 'no': -8.013633}
{' No': -0.06952407, '\n': -9.098752, ' ': -7.031004, 'No': -2.7213242, ' no': -8.552443}
{' No': -0.01886518, '\n': -6.761752, ' ': -5.3538904, 'No': -5.5985765, ' no': -4.739137}
{' No': -0.05274884, '\n': -4.9754133, ' ': -4.6665277, 'No': -3.4288473, ' no': -6.175292}
{' No': -0.10164528, '\n': -3.5545032, ' ': -4.577847, 'No': -2.9088142, ' no': -6.127874}
{' No': -0.027194716, '\n': -5.651508, ' ': -5.216176, 'No': -4.1295505, ' no': -6.5072355}
{' No': -0.18307868, '\n': -3.0873373, ' ': -4.4001336, 'No': -2.2866993, ' no': -5.2550435}
{' No': -0.10068867, '\n': -4.824816, ' ': -4.9851336, 'No': -3.8862355, ' no': -2.8573053}
{' No': -0.011903184, '\n': -5.597733, ' ': -5.3850527, 'No': -5.706046, ' no': -8.943703}
{' No': -0.034506842, '\n': -4.6269426, ' ': -5.131959, 'No': -4.0278788, ' no': -8.862544}
{' No': -0.05814889, '\n': -3.9152672, ' ': -4.397716, 'No': -3.758014, ' no': -8.4584055}
{' No': -0.013720725, '\n': -5.6901503, ' ': -5.0337477, 'No': -5.6454077, ' no': -9.437189}
{' No': -0.07612135, '\n': -3.3626242, ' ': -4.620385, 'No': -3.592826, ' no': -7.706919}
{' No': -0.04521549, '\n': -4.3633747, ' ': -4.3427873, 'No': -4.2045994, ' no': -5.903364}
{' Seven': -8.53839, ' No': -0.010512059, '\n': -7.8847446, ' ': -7.520565, 'No': -4.6805634}
{' Seven': -8.582823, ' No': -0.046511948, ' ': -6.958728, 'No': -3.1410992, ' Yes': -7.1173983}
{' No': -0.042524584, '\n': -6.761114, ' ': -6.5941753, 'No': -3.2688828, ' Yes': -7.786774}
{' Seven': -7.5300126, ' No': -0.009475115, ' ': -8.233592, 'No': -4.7630033, ' Yes': -10.222696}
{' Seven': -5.7588167, ' No': -0.06627199, '\n': -6.1206117, ' ': -5.7857385, 'No': -2.900222}
{' Seven': -6.613725, ' No': -0.051897112, ' ': -7.1716633, 'No': -3.0470676, ' Yes': -8.142185}
{' Seven': -7.9093328, ' No': -0.0041285935, '\n': -7.648339, ' ': -6.225781, 'No': -6.7981076}
{' Seven': -9.100352, ' No': -0.028196981, '\n': -5.469172, ' ': -5.7480683, 'No': -3.9107213}
{' No': -0.08558703, '\n': -3.1408906, ' ': -4.4120164, 'No': -3.672352, '  ': -8.240771}
{' Seven': -9.882657, ' No': -0.002855104, '\n': -9.050241, ' ': -6.813043, 'No': -6.47751}
{' No': -0.12725312, '\n': -3.9539247, ' ': -4.5350375, 'No': -2.4310346, ' no': -7.91398}
{' Seven': -6.6299505, ' No': -0.028871605, '\n': -7.1329393, ' ': -5.6748047, 'No': -3.821102}
{' No': -0.054803655, ' ': -5.9065337, 'No': -3.1261594, ' Yes': -5.89136, ' no': -6.176513}
{' No': -0.10461653, ' ': -7.1014156, 'No': -2.3276408, ' Yes': -8.6030655, ' no': -8.250984}
{' No': -0.36338785, '\n': -5.464483, 'No': -2.920833, ' Yes': -1.4796255, 'Yes': -4.5664344}
{' No': -0.015804587, ' ': -7.449367, 'No': -4.292246, ' Yes': -6.7854037, ' no': -8.84834}
{' Seven': -7.6416388, ' No': -0.383863, '\n': -6.8586216, ' ': -6.6164694, 'No': -1.1546341}
{' No': -0.0929167, ' ': -7.553097, 'No': -2.4335575, 'no': -9.262266, ' no': -8.815953}
{' No': -0.015314567, '\n': -7.137246, ' ': -5.118775, 'No': -5.8422236, ' no': -5.350247}
{' No': -0.039659627, '\n': -5.3534584, ' ': -5.240732, 'No': -3.6331713, ' no': -6.2343183}
{' No': -0.09405846, '\n': -3.4024343, ' ': -4.5836797, 'No': -3.1408417, ' no': -6.2041616}
{' No': -0.023721594, '\n': -5.915924, ' ': -5.3317103, 'No': -4.238134, ' no': -7.290405}
{' No': -0.19603346, '\n': -2.7855413, ' ': -4.549165, 'No': -2.3154488, ' no': -5.3222218}
{' No': -0.109633036, '\n': -4.2931647, ' ': -4.5396905, 'No': -3.8915467, ' no': -3.0050654}
{' No': -0.012439501, '\n': -5.5621753, ' ': -5.362758, 'No': -5.6539817, ' Yes': -8.95402}
{' Seven': -8.329908, ' No': -0.039248917, '\n': -4.227266, ' ': -5.1649523, 'No': -4.042775}
{' Seven': -7.7739315, ' No': -0.06710156, '\n': -3.5896215, ' ': -4.482608, 'No': -3.7030306}
{' Seven': -7.1002965, ' No': -0.0150023755, '\n': -5.6476297, ' ': -5.0507746, 'No': -5.526559}
{' No': -0.068528295, '\n': -3.3478632, ' ': -5.0401754, 'No': -3.7377746, ' no': -8.319615}
{' Seven': -5.7414556, ' No': -0.059881974, '\n': -4.0414987, ' ': -4.2105627, 'No': -3.975279}
{'\n': -10.257231, ' ': -9.686007, ' Yes': -0.0022201298, ' yes': -10.3193445, 'Yes': -6.1762094}
{'\n': -10.448796, ' ': -7.846412, ' Yes': -0.013730936, ' yes': -8.449765, 'Yes': -4.3486137}
{'\n': -7.9911823, ' ': -7.2465234, ' Yes': -0.02036366, ' yes': -7.975857, 'Yes': -3.9868457}
{' YES': -12.715811, ' ': -10.083689, ' Yes': -0.0009005687, ' yes': -10.439707, 'Yes': -7.1046715}
{'\n': -7.613819, ' ': -7.1827393, ' Yes': -0.024737364, ' yes': -8.549467, 'Yes': -3.7807796}
{'\n': -8.261821, ' ': -7.867278, ' Yes': -0.014724392, ' yes': -7.9475164, 'Yes': -4.308248}
{'\n': -7.327353, ' ': -6.898382, ' Yes': -0.003200964, ' yes': -8.146915, 'Yes': -6.7410774}
{'\n': -6.732253, ' ': -6.6334085, ' Yes': -0.01846432, ' yes': -7.5365667, 'Yes': -4.1958075}
{'\n': -3.5427978, ' ': -5.026595, ' Yes': -0.0768441, ' yes': -6.892025, 'Yes': -3.307589}
{'\n': -9.028185, ' ': -7.063801, ' Yes': -0.0030140593, ' yes': -8.700418, 'Yes': -6.303995}
{'\n': -4.811191, ' ': -5.219791, ' Yes': -0.11939215, ' yes': -6.0903006, 'Yes': -2.3497388}
{'\n': -7.096757, ' ': -6.140742, ' Yes': -0.017973797, ' yes': -5.947156, 'Yes': -4.4486947}
{'\n': -7.693757, ' ': -6.664829, ' Yes': -0.03352905, ' yes': -5.061918, 'Yes': -3.7216623}
{' ': -7.137419, ' Yes': -0.035143763, ' yes': -6.595103, 'Yes': -3.4449944, 'yes': -8.866583}
{'\n': -7.2149076, ' ': -6.3404064, ' Yes': -0.054678682, ' yes': -5.748129, 'Yes': -3.0782475}
{'\n': -9.809372, ' ': -7.383122, ' Yes': -0.010983567, ' yes': -7.3020463, 'Yes': -4.6697187}
{'\n': -7.7559915, ' ': -6.999022, ' Yes': -0.15614375, ' yes': -6.866452, 'Yes': -1.9562975}
{' ': -7.74453, ' Yes': -0.02249098, ' yes': -6.4835615, 'Yes': -3.9105504, 'yes': -8.878679}
{'\n': -6.2676306, ' ': -5.6111536, ' Yes': -0.0426241, ' yes': -3.5208554, 'Yes': -5.176657}
{'\n': -5.097465, ' ': -5.236198, ' Yes': -0.04672015, ' yes': -5.2330985, 'Yes': -3.575109}
{'\n': -3.25064, ' ': -4.8030205, ' Yes': -0.109933175, ' yes': -4.5937147, 'Yes': -3.1016626}
{'\n': -6.8433185, ' ': -6.383247, ' Yes': -0.015434293, ' yes': -5.8581448, 'Yes': -4.6651}
{'\n': -3.0028565, ' ': -4.9449563, ' Yes': -0.19350198, ' yes': -4.13223, 'Yes': -2.3276248}
{'\n': -4.809677, ' ': -5.1707225, ' Yes': -0.11341293, ' yes': -2.5992415, 'Yes': -4.2346325}
{'\n': -6.0111356, ' ': -6.4198346, ' Yes': -0.008318859, ' yes': -7.6086793, 'Yes': -5.6299744}
{'\n': -4.995025, ' ': -5.7386737, ' Yes': -0.024301352, ' yes': -7.3954144, 'Yes': -4.336258}
{'\n': -4.1179247, ' ': -5.0510397, ' Yes': -0.048012692, ' yes': -6.7989583, 'Yes': -3.802476}
{'\n': -6.0797524, ' ': -5.6390123, ' Yes': -0.0099041145, ' yes': -8.1232195, 'Yes': -5.617141}
{'\n': -3.6026406, ' ': -5.110391, ' Yes': -0.07299672, ' yes': -6.2789264, 'Yes': -3.375651}
{'\n': -4.294639, ' ': -4.6226473, ' Yes': -0.043706294, ' yes': -5.0839624, 'Yes': -4.411725}
{'\n': -11.136335, ' ': -9.940096, ' Yes': -0.002078142, ' yes': -10.036344, 'Yes': -6.235892}
{' No': -8.437944, ' ': -8.32934, ' Yes': -0.015041703, ' yes': -8.204332, 'Yes': -4.262612}
{' No': -9.10139, ' ': -8.083278, ' Yes': -0.01551014, ' yes': -7.8275123, 'Yes': -4.242564}
{' No': -11.223719, ' ': -10.707532, ' Yes': -0.0018208657, ' yes': -9.915189, 'Yes': -6.367482}
{' No': -6.8852153, '\n': -8.420056, ' ': -7.219331, ' Yes': -0.018904965, 'Yes': -4.111682}
{' No': -5.7706056, ' ': -8.079045, ' Yes': -0.017594766, ' yes': -7.877199, 'Yes': -4.349387}
{'\n': -9.352197, ' ': -7.6083937, ' Yes': -0.0016053807, ' yes': -8.430245, 'Yes': -7.1959677}
{' No': -2.1326172, ' ': -5.6622934, 'No': -5.7197056, ' Yes': -0.1513872, 'Yes': -4.436082}
{' No': -5.2157216, '\n': -4.543139, ' ': -5.0973115, ' Yes': -0.057680827, 'Yes': -3.4603028}
{'\n': -10.982816, ' ': -8.036043, ' Yes': -0.0015440708, ' yes': -8.708584, 'Yes': -6.8891015}
{' No': -3.0474596, '\n': -4.430854, ' ': -4.6690187, ' Yes': -0.18052244, 'Yes': -2.4848857}
{' Five': -6.6910563, ' ': -6.3650165, ' Yes': -0.018233927, ' yes': -5.540651, 'Yes': -4.624866}
{' No': -4.763549, ' ': -6.582916, ' Yes': -0.043204598, ' yes': -4.416335, 'Yes': -4.0026407}
{' No': -6.9787173, ' ': -7.9482684, ' Yes': -0.03662104, ' yes': -6.259104, 'Yes': -3.4323044}
{' No': -4.6973996, ' ': -6.9534383, ' Yes': -0.06694452, ' yes': -4.955382, 'Yes': -3.0893312}
{' No': -8.4498625, ' ': -8.323363, ' Yes': -0.0077258977, ' yes': -7.131322, 'Yes': -5.07006}
{' No': -4.5492334, 'No': -5.8232512, ' Yes': -0.11740822, ' yes': -6.590084, 'Yes': -2.3681083}
{' Five': -5.778238, ' No': -3.2289903, ' Yes': -0.06371677, ' yes': -6.3537464, 'Yes': -4.2902775}
{'\n': -7.7811737, ' ': -6.088373, ' Yes': -0.060285237, ' yes': -2.97212, 'Yes': -5.6091614}
{'\n': -6.558324, ' ': -5.860926, ' Yes': -0.03622171, ' yes': -4.8900595, 'Yes': -3.7795918}
{' No': -4.106812, '\n': -3.0148861, ' ': -4.2703767, ' Yes': -0.15291563, 'Yes': -3.0751913}
{'\n': -7.6392636, ' ': -7.0858254, ' Yes': -0.014857112, ' yes': -5.3593087, 'Yes': -4.770613}
{' No': -2.4545827, '\n': -2.2461896, 'No': -4.226893, ' Yes': -0.3761163, 'Yes': -2.5359597}
{'\n': -4.462847, ' ': -5.176064, ' Yes': -0.17127962, ' yes': -2.1178262, 'Yes': -4.3953547}
{'\n': -7.480361, ' ': -7.1803784, ' Yes': -0.004748372, ' yes': -7.3752713, 'Yes': -5.9302735}
{' No': -6.812376, '\n': -6.0077577, ' ': -6.2131443, ' Yes': -0.021591555, 'Yes': -4.22217}
{'\n': -4.9103374, ' ': -5.406088, ' Yes': -0.036491707, ' yes': -6.5910096, 'Yes': -3.8343563}
{'\n': -7.5246754, ' ': -6.226317, ' Yes': -0.004969265, ' yes': -8.233506, 'Yes': -6.156458}
{' No': -2.0294795, '\n': -3.486915, ' ': -4.7526736, ' Yes': -0.23073745, 'Yes': -3.5880408}
{'\n': -5.3507047, ' ': -5.214444, ' Yes': -0.034187116, ' yes': -4.7285495, 'Yes': -4.3497753}
{' No': -0.0065264856, '\n': -9.003356, ' ': -8.152289, 'No': -5.103357, ' no': -12.450378}
{' No': -0.048564494, '\xa0': -10.431972, '\n': -9.0336, ' ': -6.534101, 'No': -3.0859082}
{' No': -0.053398, '\xa0': -9.4469, '\n': -7.2512636, ' ': -6.3527255, 'No': -3.0107877}
{' No': -0.0058645415, '\xa0': -11.642392, ' ': -7.9980135, 'No': -5.2119517, ' Three': -10.367038}
{' No': -0.058019903, '\xa0': -9.518582, '\n': -6.6827245, ' ': -6.077515, 'No': -2.946686}
{' No': -0.050891053, '\n': -8.355641, ' ': -6.8628926, 'No': -3.0365572, ' no': -9.369219}
{' No': -0.003938643, '\n': -7.3445034, ' ': -6.2308707, 'No': -6.714468, ' no': -9.86571}
{' No': -0.031588424, '\n': -5.937787, ' ': -5.4313035, 'No': -3.7408664, ' no': -8.986814}
{' No': -0.06938446, '\xa0': -8.229184, '\n': -3.965201, ' ': -4.5641127, 'No': -3.306729}
{' No': -0.003781157, '\n': -9.170831, ' ': -6.4590077, 'No': -6.192958, ' no': -10.734638}
{' No': -0.13879322, '\n': -4.4515314, ' ': -4.510922, 'No': -2.2504683, ' no': -7.885273}
{' No': -0.026534252, '\n': -6.992135, ' ': -5.417443, 'No': -3.9365165, ' no': -6.9744477}
{' No': -0.043968096, '\n': -7.5515347, ' ': -5.8755946, 'No': -3.326471, ' no': -5.736393}
{' No': -0.0547541, ' ': -6.6957603, 'No': -2.9684255, 'no': -9.400258, ' no': -8.046081}
{' No': -0.11885222, '\n': -6.8961554, ' ': -6.1024237, 'No': -2.2305522, ' no': -7.5165567}
{' No': -0.014467349, ' ': -7.0916667, 'No': -4.335655, 'no': -10.206344, ' no': -8.234925}
{' No': -0.33413714, '\n': -6.326802, ' ': -5.9022636, 'No': -1.2780364, 'no': -8.090727}
{' No': -0.075323544, '\n': -8.833781, ' ': -6.8024135, 'No': -2.6467535, ' no': -8.413197}
{' No': -0.019241536, '\n': -6.843126, ' ': -5.3220844, 'No': -5.450242, ' no': -4.7744484}
{' No': -0.057684485, '\n': -5.208859, ' ': -4.638783, 'No': -3.2546523, ' no': -6.337287}
{' No': -0.10659934, '\n': -3.7669938, ' ': -4.7204967, 'No': -2.7188258, ' no': -6.154343}
{' No': -0.029697169, '\n': -5.734882, ' ': -5.230247, 'No': -3.952789, ' no': -6.720659}
{' No': -0.1914532, '\n': -3.292449, ' ': -4.633894, 'No': -2.1148255, ' no': -5.4521914}
{' No': -0.09493265, '\n': -5.026767, ' ': -5.0520306, 'No': -3.943925, ' no': -2.8864648}
{' No': -0.011061128, '\n': -5.7080264, ' ': -5.483759, 'No': -5.697186, ' no': -9.231841}
{' No': -0.032073338, '\n': -4.980338, ' ': -5.3272395, 'No': -3.938136, ' no': -9.007013}
{' No': -0.0606485, '\n': -4.050711, ' ': -4.516148, 'No': -3.5164018, ' no': -8.745138}
{' No': -0.010590006, '\n': -6.2786527, ' ': -5.315693, 'No': -5.6286755, ' no': -9.711325}
{' No': -0.0744002, '\n': -3.5970342, ' ': -4.724496, 'No': -3.3675387, ' no': -8.078295}
{' No': -0.038774304, '\n': -4.751406, ' ': -4.786279, 'No': -3.9953628, ' no': -6.2137976}
{' No': -0.012228957, ' Eight': -7.264218, '\n': -8.902068, ' ': -7.6192784, 'No': -4.5373006}
{' No': -0.04852069, ' Eight': -7.7960258, ' ': -7.2970495, 'No': -3.09881, ' Yes': -6.9782176}
{' No': -0.049848102, ' Eight': -7.84329, '\n': -6.818086, ' ': -6.6179414, 'No': -3.0945523}
{' No': -0.007633521, ' Eight': -7.9153495, ' ': -8.36562, 'No': -5.028784, ' Yes': -7.8172126}
{' No': -0.06522574, ' Eight': -8.003774, '\n': -6.556038, ' ': -6.0878854, 'No': -2.8357909}
{' No': -0.057854548, ' Eight': -7.3939495, ' ': -7.3412275, 'No': -2.9262285, ' Yes': -7.4697976}
{' No': -0.004666026, ' Eight': -7.5455933, '\n': -7.719128, ' ': -6.0177197, 'No': -6.938307}
{' No': -0.031312685, ' Eight': -9.152557, '\n': -5.6337523, ' ': -5.6949744, 'No': -3.7508483}
{' No': -0.08131809, '\n': -3.3094537, ' ': -4.4190483, 'No': -3.5582335, '  ': -8.327581}
{' No': -0.0031008113, ' Eight': -10.186598, '\n': -9.380307, ' ': -6.656314, 'No': -6.4108815}
{' No': -0.14087906, '\n': -3.9743524, ' ': -4.472436, 'No': -2.305794, ' no': -8.073337}
{' No': -0.026852766, ' Eight': -6.989645, '\n': -7.076724, ' ': -5.5831895, 'No': -3.9122324}
{' No': -0.062722936, ' ': -5.801495, 'No': -3.0805433, ' Yes': -4.911058, ' no': -6.1154003}
{' No': -0.095121235, ' ': -7.1710877, 'No': -2.421522, ' Yes': -8.478792, ' no': -8.294857}
{' No': -0.15805182, ' ': -5.996054, 'No': -2.6940205, ' Yes': -2.6930935, 'Yes': -5.64}
{' No': -0.013540664, ' ': -7.1764617, 'No': -4.451468, ' Yes': -7.34893, ' no': -8.412437}
{' No': -0.4018961, '\n': -6.753315, ' ': -6.595625, 'No': -1.1155268, 'no': -8.6841}
{' No': -0.09020254, ' ': -7.6997423, 'No': -2.4628105, 'no': -9.301709, ' no': -8.497019}
{' No': -0.017353298, ' ': -5.1872425, 'No': -6.0965962, ' Yes': -6.803818, ' no': -4.9457684}
{' No': -0.042284667, '\n': -5.4363847, ' ': -5.2346005, 'No': -3.5444243, ' no': -6.048613}
{' No': -0.1052304, '\n': -3.2542095, ' ': -4.553623, 'No': -3.0636725, ' no': -5.8164463}
{' No': -0.018820113, '\n': -6.2190585, ' ': -5.3754945, 'No': -4.5420055, ' no': -6.9908433}
{' No': -0.22404693, '\n': -2.5721018, ' ': -4.566986, 'No': -2.2232745, ' no': -5.6101394}
{' No': -0.12173897, '\n': -4.227469, ' ': -4.5126567, 'No': -4.056082, ' no': -2.8858314}
{' No': -0.015564563, '\n': -5.3948274, ' ': -5.163502, 'No': -5.8095803, ' Yes': -6.460331}
{' No': -0.035767436, ' Eight': -7.7486486, '\n': -4.4764485, ' ': -5.163844, 'No': -4.0609956}
{' No': -0.051853858, ' Eight': -8.304712, '\n': -4.0324044, ' ': -4.713162, 'No': -3.775414}
{' No': -0.01616852, ' Eight': -6.5702763, '\n': -6.1538367, ' ': -4.868276, 'No': -5.369623}
{' No': -0.07163171, '\n': -3.341472, ' ': -4.872711, 'No': -3.6766481, ' no': -8.406085}
{' No': -0.06970063, '\n': -3.9046936, ' ': -4.0028267, 'No': -4.0088143, ' Yes': -5.3841324}
{'\n': -9.623801, ' ': -9.132211, ' Yes': -0.0036829785, ' yes': -9.71638, 'Yes': -5.675918}
{'\n': -10.333848, ' ': -7.909172, ' Yes': -0.017531013, ' yes': -8.159729, 'Yes': -4.097355}
{'\n': -7.4237814, ' ': -6.8515882, ' Yes': -0.02451451, ' yes': -7.3936377, 'Yes': -3.8332396}
{' Eight': -12.410494, ' ': -9.729525, ' Yes': -0.0013010148, ' yes': -10.091621, 'Yes': -6.737051}
{'\n': -7.633228, ' ': -7.073114, ' Yes': -0.027765334, ' yes': -8.380021, 'Yes': -3.663332}
{'\n': -8.550589, ' ': -7.906224, ' Yes': -0.013737886, ' yes': -7.7764387, 'Yes': -4.381837}
{'\n': -7.0792837, ' ': -6.429671, ' Yes': -0.0044816015, ' yes': -7.6582327, 'Yes': -6.5246344}
{'\n': -6.2464294, ' ': -6.0674744, ' Yes': -0.02200354, ' yes': -7.229216, 'Yes': -4.100729}
{'\n': -3.6922917, ' ': -4.72358, ' Yes': -0.07848806, ' yes': -6.4254236, 'Yes': -3.244843}
{'\n': -8.981861, ' ': -7.0668497, ' Yes': -0.0029439318, ' yes': -8.449237, 'Yes': -6.370688}
{'\n': -5.0533648, ' ': -5.2786393, ' Yes': -0.114517875, ' yes': -6.2224774, 'Yes': -2.3674645}
{'\n': -7.0780096, ' ': -6.0142775, ' Yes': -0.019812744, ' yes': -5.7834063, 'Yes': -4.3810453}
{' ': -6.735778, ' Yes': -0.030251889, ' yes': -4.8668585, 'Yes': -3.9073553, 'yes': -8.288341}
{' ': -6.9398823, ' Yes': -0.037222132, ' yes': -6.2822514, 'Yes': -3.4077816, 'yes': -8.730656}
{' No': -6.979614, ' ': -6.01131, ' Yes': -0.059856158, ' yes': -5.358894, 'Yes': -3.0415974}
{'\n': -9.757536, ' ': -7.125301, ' Yes': -0.014139336, ' yes': -6.900619, 'Yes': -4.4282455}
{'\n': -7.7455354, ' ': -6.811683, ' Yes': -0.16416135, ' yes': -6.6192317, 'Yes': -1.9123245}
{' ': -7.2092156, ' Yes': -0.031914562, ' yes': -5.7245927, 'Yes': -3.613482, 'yes': -8.199444}
{'\n': -6.6727395, ' ': -5.551742, ' Yes': -0.03651025, ' yes': -3.683603, 'Yes': -5.3339458}
{'\n': -5.244419, ' ': -5.045107, ' Yes': -0.055747952, ' yes': -4.8150554, 'Yes': -3.400875}
{'\n': -3.2630029, ' ': -4.4556737, ' Yes': -0.12182899, ' yes': -4.5329347, 'Yes': -2.9652581}
{'\n': -6.648677, ' ': -6.12767, ' Yes': -0.021234164, ' yes': -5.5850477, 'Yes': -4.309215}
{'\n': -2.7458801, ' ': -4.6768007, ' Yes': -0.26276776, ' yes': -3.964819, 'Yes': -2.028553}
{'\n': -4.7848444, ' ': -4.9334316, ' Yes': -0.16988786, ' yes': -2.092251, 'Yes': -4.3846664}
{'\n': -5.6398406, ' ': -6.058376, ' Yes': -0.010610789, ' yes': -7.4150944, 'Yes': -5.5368824}
{'\n': -4.949255, ' ': -5.4609184, ' Yes': -0.028286127, ' yes': -7.0916405, 'Yes': -4.1721478}
{'\n': -3.532409, ' ': -4.4946036, ' Yes': -0.07689811, ' yes': -6.452216, 'Yes': -3.475349}
{'\n': -5.910736, ' ': -5.3460164, ' Yes': -0.01190246, ' yes': -8.013826, 'Yes': -5.5347066}
{'\n': -3.2901964, ' ': -4.903518, ' Yes': -0.103171565, ' yes': -6.165225, 'Yes': -2.9996903}
{'\n': -4.179415, ' ': -4.4266057, ' Yes': -0.050739918, ' yes': -4.8628316, 'Yes': -4.3422685}
{'\n': -10.630637, ' ': -9.536929, ' Yes': -0.0021700708, ' yes': -10.066216, 'Yes': -6.2076135}
{' ': -8.47458, ' Yes': -0.013555043, ' yes': -8.449725, 'Yes': -4.3469667, ' True': -10.483423}
{'\n': -9.469242, ' ': -8.095262, ' Yes': -0.015947262, ' yes': -8.155707, 'Yes': -4.196808}
{' ': -10.704259, ' Yes': -0.0013237545, ' yes': -10.35386, 'Yes': -6.687013, ' Three': -11.755902}
{' No': -8.644951, '\n': -8.47238, ' ': -7.079977, ' Yes': -0.019055013, 'Yes': -4.0555887}
{'\n': -9.891054, ' ': -8.321769, ' Yes': -0.011308317, ' yes': -8.032342, 'Yes': -4.5596695}
{'\n': -9.313099, ' ': -7.642599, ' Yes': -0.0016409649, ' yes': -8.640555, 'Yes': -7.099406}
{' No': -4.8847, '\n': -6.7556634, ' ': -6.211703, ' Yes': -0.024195706, 'Yes': -4.4220552}
{'\n': -4.702243, ' ': -5.2872586, ' Yes': -0.049006283, ' yes': -6.639527, 'Yes': -3.4584718}
{'\n': -10.83488, ' ': -8.069893, ' Yes': -0.0015953511, ' yes': -8.96575, 'Yes': -6.797953}
{' No': -4.906875, '\n': -4.9366612, ' ': -4.9591947, ' Yes': -0.104684494, 'Yes': -2.6071525}
{' ': -6.5237207, ' Yes': -0.016598519, ' yes': -5.365372, 'Yes': -4.748652, ' Six': -6.983281}
{' ': -6.9457355, ' Yes': -0.029071994, ' yes': -4.605749, 'Yes': -4.153847, ' True': -7.0056734}
{' ': -8.10402, ' Yes': -0.022866014, ' yes': -6.4949346, 'Yes': -3.8892426, 'yes': -9.313869}
{' No': -6.0103073, ' ': -7.140108, ' Yes': -0.052944586, ' yes': -5.1777706, 'Yes': -3.1834395}
{' ': -8.297808, ' Yes': -0.0061016916, ' yes': -7.4264827, 'Yes': -5.2990546, ' True': -8.817093}
{' No': -7.0052004, ' ': -6.953273, ' Yes': -0.09359691, ' yes': -6.661464, 'Yes': -2.4622223}
{' No': -8.54817, ' ': -7.618695, ' Yes': -0.017922275, ' yes': -6.3510213, 'Yes': -4.196824}
{'\n': -7.8051224, ' ': -6.0886426, ' Yes': -0.042883262, ' yes': -3.357464, 'Yes': -5.665542}
{'\n': -6.6382523, ' ': -5.9393544, ' Yes': -0.03159999, ' yes': -5.1685534, 'Yes': -3.86884}
{'\n': -3.8897579, ' ': -4.6691556, ' Yes': -0.09141624, ' yes': -4.777352, 'Yes': -3.0812802}
{'\n': -7.694765, ' ': -6.754553, ' Yes': -0.015617537, ' yes': -5.589645, 'Yes': -4.619272}
{'\n': -3.0580032, ' ': -4.7207327, ' Yes': -0.17967527, ' yes': -4.551564, 'Yes': -2.4358912}
{'\n': -5.2098293, ' ': -5.332345, ' Yes': -0.21310349, ' yes': -1.8029414, 'Yes': -4.466585}
{'\n': -7.347361, ' ': -7.161017, ' Yes': -0.004736514, ' yes': -7.5215726, 'Yes': -5.956888}
{'\n': -6.363569, ' ': -6.344131, ' Yes': -0.018567419, ' yes': -7.2418036, 'Yes': -4.279153}
{'\n': -4.976402, ' ': -5.310396, ' Yes': -0.036983546, ' yes': -6.7472467, 'Yes': -3.7887151}
{'\n': -6.9412365, ' ': -5.992926, ' Yes': -0.0062702796, ' yes': -8.422522, 'Yes': -5.990922}
{' No': -4.663377, '\n': -4.201508, ' ': -5.2953773, ' Yes': -0.06982685, 'Yes': -3.345093}
{'\n': -5.5014567, ' ': -5.0736537, ' Yes': -0.032808103, ' yes': -4.7587523, 'Yes': -4.409332}
{' No': -0.0056667663, '\n': -9.636006, ' ': -8.414372, 'No': -5.2312183, ' Three': -12.488299}
{' No': -0.04529887, '\xa0': -10.293107, '\n': -8.713287, ' ': -6.504651, 'No': -3.159341}
{' No': -0.044443063, '\xa0': -9.219157, '\n': -7.2100606, ' ': -6.2515044, 'No': -3.2075343}
{' No': -0.0065152063, '\xa0': -11.6006, ' ': -8.132937, 'No': -5.0983443, ' Three': -9.738859}
{' No': -0.060858157, '\xa0': -9.327244, '\n': -6.5938606, ' ': -5.892029, 'No': -2.9087946}
{' No': -0.051336825, '\n': -8.03695, ' ': -6.7476816, 'No': -3.0328526, ' no': -9.235564}
{' No': -0.0036524693, '\n': -7.3865733, ' ': -6.393223, 'No': -6.716474, ' no': -9.696241}
{' No': -0.032014318, '\n': -5.7492304, ' ': -5.488242, 'No': -3.7375617, ' no': -8.980867}
