{' Yes': -0.0047830474, ' No': -5.822646, 'Yes': -6.374882, ' yes': -10.36971, '\n': -10.858401}
{' Yes': -0.10871497, ' Deer': -2.441721, ' No': -4.563194, 'Yes': -6.356524, ' De': -6.511087}
{' Yes': -0.1373261, ' Deer': -2.3893, ' No': -3.5448349, ' De': -6.0880847, 'Yes': -6.6363525}
{' Yes': -0.10708286, ' No': -2.3111997, 'Yes': -6.644722, ' Look': -7.493265, ' Nope': -8.6706505}
{' Yes': -0.05669218, ' No': -2.9330654, 'Yes': -6.5900836, ' Look': -8.78423, ' Nope': -9.294124}
{' No': -0.15974432, ' Yes': -1.9521332, ' Nope': -5.9651313, 'No': -6.372661, ' Gl': -6.938112}
{' No': -0.08133206, ' Yes': -2.6032856, ' Nope': -5.99743, 'No': -6.962685, ' Gl': -7.638432}
{' No': -0.26759484, ' Yes': -1.457622, 'No': -6.669613, 'Yes': -7.8808317, ' Nope': -8.313636}
{' No': -0.47725675, ' Yes': -0.9742031, 'No': -7.038282, 'Yes': -7.4061694, ' Nope': -8.415679}
{' Yes': -0.010886186, ' No': -4.816502, 'Yes': -6.1896367, ' Sure': -7.7971845, ' Maybe': -9.433524}
{' No': -0.6937469, ' Yes': -0.70138764, ' Nope': -6.1599884, 'Yes': -6.988657, 'No': -7.0335445}
{' Yes': -0.002222757, 'Yes': -7.0313478, ' Sure': -7.1424127, ' No': -7.606371, ' Nope': -11.744946}
{' Yes': -0.0058880425, 'Yes': -6.0185146, ' Shoes': -6.525867, ' Sure': -6.7055564, ' No': -7.744791}
{' Exit': -0.1276853, ' No': -2.5711725, ' Yes': -3.4265666, 'Exit': -5.332851, ' Ex': -5.3618083}
{' No': -0.7902406, ' Exit': -0.8689893, ' Yes': -2.115989, 'Exit': -6.2784114, ' Ex': -6.372615}
{' Yes': -0.51963323, ' No': -0.91731155, 'No': -5.9632916, 'Yes': -6.4518423, ' Lion': -6.8043504}
{' No': -0.41041628, ' Yes': -1.1017215, 'No': -5.935337, 'Yes': -7.1964016, ' Nope': -7.9228086}
{' Yes': -0.09156549, ' No': -3.1131432, ' Roof': -3.2195563, 'Yes': -6.2932653, ' Nope': -8.376263}
{' Roof': -0.46421698, ' Yes': -1.6432579, ' No': -1.7477634, ' roof': -6.9442387, ' Nope': -7.386435}
{' Yes': -0.1570267, ' No': -2.1937888, ' Want': -3.4853559, 'Yes': -6.38811, ' Nope': -8.001065}
{' Yes': -0.4728833, ' No': -1.0094949, ' Want': -4.746858, ' Nope': -6.698716, 'Yes': -7.0670967}
{' Yes': -0.0026423242, 'Yes': -6.7218175, ' Wind': -7.0187, ' No': -7.7445703, ' yes': -10.212148}
{' Yes': -0.34230673, ' No': -1.2460772, 'Yes': -6.884375, 'No': -7.079647, ' Wind': -8.6663265}
{' Yes': -0.0025530434, 'Yes': -6.8759203, ' No': -7.087928, ' Foot': -7.5854845, ' yes': -9.701947}
{' Yes': -0.010873292, ' No': -4.931901, 'Yes': -6.411898, ' Foot': -6.4915857, ' yes': -9.126681}
{' Yes': -0.35493627, ' Hate': -1.9358325, ' No': -1.9901712, ' Nope': -4.7341237, ' Hat': -5.548685}
{' No': -0.3035423, ' Yes': -1.4884768, ' Nope': -3.880103, ' Hate': -4.627642, 'No': -6.1395235}
{' No': -0.05756547, ' Yes': -2.915956, 'No': -6.4480987, 'Yes': -9.266898, ' Nope': -9.394673}
{' Yes': -0.002224549, 'Yes': -6.4341607, ' No': -7.660904, ' yes': -9.973629, ' YES': -9.990296}
{' Yes': -0.082097895, ' No': -2.5816, ' Ring': -6.71623, 'Yes': -6.872996, 'No': -8.1320305}
{' Yes': -0.04247091, ' No': -3.2101762, 'Yes': -7.2181377, ' Ring': -8.778566, 'No': -9.199904}
{' Yes': -0.009409288, ' No': -5.180783, ' Bear': -5.9485765, 'Yes': -7.145296, ' Bears': -9.205631}
{' Yes': -0.020929305, ' Bear': -4.022547, 'Yes': -6.517717, ' No': -7.5260196, ' Bears': -8.006102}
{' Yes': -0.002017938, ' No': -6.6451697, 'Yes': -7.3468294, ' YES': -10.41271, ' ': -11.228395}
{' Yes': -0.0114989495, ' No': -4.5361223, 'Yes': -7.3336864, '\n': -11.16625, ' YES': -11.344603}
{' Yes': -0.019830741, ' No': -4.020996, 'Yes': -6.522463, ' yes': -10.045545, 'No': -10.367102}
{' Yes': -0.010720493, ' No': -4.8063307, 'Yes': -6.105935, ' yes': -9.310759, ' Fish': -9.939215}
{' Yes': -0.44581783, ' No': -1.1637152, ' Skin': -3.208982, ' Nope': -6.005026, 'Yes': -6.1906204}
{' No': -0.098460406, ' Yes': -2.4074452, 'No': -6.190364, ' Nope': -6.839654, 'Yes': -8.215917}
{' Yes': -0.2469176, ' No': -1.5696218, ' Nope': -5.269893, 'Yes': -5.981338, ' So': -6.3409057}
{' Yes': -0.70551956, ' No': -0.78373605, ' Nope': -3.2227316, 'Yes': -5.797482, 'No': -5.8287587}
{' Yes': -0.00757154, ' No': -5.1431513, 'Yes': -6.856198, ' Sure': -7.762769, ' Yep': -9.438567}
{' Yes': -0.0027923419, ' No': -6.616127, 'Yes': -6.695257, ' Sure': -10.231612, ' Che': -10.466819}
{' Yes': -0.04414357, ' No': -3.1968246, 'Yes': -6.337122, 'No': -8.991536, ' Maybe': -9.147445}
{' Yes': -0.01983135, ' No': -4.073746, 'Yes': -6.2942834, ' Maybe': -8.63451, ' Sure': -9.035509}
{' Yes': -0.5804615, ' No': -0.83080477, ' Nope': -6.1678615, 'Yes': -6.7879424, 'No': -6.793161}
{' No': -0.04048123, ' Yes': -3.2901034, ' Nope': -6.5587444, 'No': -7.0156875, 'Yes': -9.852685}
{' Yes': -0.2847746, ' No': -1.5970514, ' Bike': -3.3327367, ' Bicycle': -5.7135067, 'Yes': -6.091573}
{' Yes': -0.5868551, ' No': -0.8405457, ' Bike': -4.845932, ' Nope': -6.530735, 'Yes': -6.8085713}
{' No': -0.20969284, ' Yes': -1.6971577, ' Nope': -5.927008, 'No': -6.4746537, ' Dead': -6.8466496}
{' No': -0.28137454, ' Yes': -1.4175345, ' Nope': -6.8905067, 'No': -6.9327583, ' Dead': -7.7639847}
{' Yes': -0.0008613715, 'Yes': -7.1461, ' No': -10.153947, ' yes': -10.976444, ' Sure': -11.822022}
{' Cave': -0.44076136, ' Yes': -1.079851, ' No': -4.73065, ' Wave': -6.2333674, 'Yes': -6.438312}
{' Yes': -0.015823722, ' No': -4.638249, ' Moon': -5.6917033, 'Yes': -6.0684276, ' yes': -9.305534}
{' Yes': -0.05464349, ' No': -3.082601, 'Yes': -5.74706, ' Moon': -5.949211, 'No': -8.048891}
{' No': -0.43596807, ' Yes': -1.0715767, ' Nope': -5.3519816, ' Pain': -6.008226, 'No': -6.3280087}
{' No': -0.50737375, ' Yes': -0.9359015, ' Nope': -5.92881, 'No': -6.4252105, 'Yes': -7.3267236}
{' No': -0.2415351, ' Yes': -1.5764369, ' Nope': -5.8099074, ' Plus': -6.4745784, 'No': -6.505539}
{' No': -0.07496262, ' Yes': -2.745878, ' Nope': -5.1752872, 'No': -6.7572722, ' Pl': -7.9483423}
{' Yes': -0.052351996, ' No': -3.264451, ' Area': -5.0720677, 'Yes': -6.0624847, ' Sure': -6.730284}
{' Yes': -0.045541197, ' No': -3.452632, ' Area': -5.047498, ' Sure': -6.072603, 'Yes': -6.3936615}
{' Yes': -0.07558122, ' Dive': -2.9288545, ' No': -4.1678586, 'Yes': -5.9295754, ' Divide': -8.490627}
{' Yes': -0.4189679, ' Dive': -1.728231, ' No': -1.9126165, ' Divide': -4.8832717, 'Yes': -6.0949926}
{' Yes': -0.0070262486, ' Hear': -5.2317615, 'Yes': -6.875554, ' No': -8.706784, ' Yeah': -8.942561}
{' Yes': -0.0027869025, 'Yes': -6.6204205, ' Hear': -7.247801, ' No': -7.686336, ' Yeah': -9.432086}
{' Yes': -0.08844371, ' Bush': -2.5849874, ' No': -5.532856, 'Yes': -6.08625, ' Brush': -6.2835503}
{' Yes': -0.2769774, ' Bush': -1.4817274, ' No': -5.4392204, ' Brush': -5.5157447, 'Yes': -5.8077483}
{' No': -0.101751916, ' Yes': -2.9100115, ' Near': -3.2733598, 'No': -6.2267094, ' Ne': -7.035419}
{' No': -0.06443417, ' Yes': -2.8683813, ' Near': -5.815582, 'No': -6.4309726, ' Nope': -7.3178287}
{' Yes': -0.3938005, ' No': -1.7514017, ' Mile': -1.9361645, ' Miles': -5.924036, 'Yes': -6.3877163}
{' Yes': -0.07656094, ' No': -2.8210158, ' Mile': -4.5711513, 'Yes': -6.1353693, ' Miles': -7.6992383}
{' No': -0.32886493, ' Yes': -1.400789, ' Navy': -3.9804778, 'No': -5.1022944, ' Nope': -5.711668}
{' No': -0.068783276, ' Yes': -2.984387, 'No': -5.0719395, ' Navy': -5.489569, ' Nope': -6.0611086}
{' No': -0.0047640633, 'No': -5.7332835, ' Nope': -6.629844, ' Not': -9.802718, ' Yes': -9.82537}
{' No': -0.0014707642, 'No': -6.6401634, ' Nope': -9.47439, ' Yes': -10.36626, ' Not': -10.487717}
{' Yes': -0.052620605, ' No': -3.0010173, 'Yes': -6.819197, ' Maybe': -8.898059, 'No': -9.193268}
{' No': -0.60958534, ' Yes': -0.7864785, 'No': -7.7569885, 'Yes': -8.157011, ' Nope': -8.594713}
{' No': -0.0060945554, ' Yes': -5.523854, 'No': -6.3555927, ' Nope': -8.140911, ' Not': -11.382301}
{' No': -0.002951883, ' Yes': -6.3383355, 'No': -6.9007077, ' Nope': -8.933156, ' Not': -11.174144}
{' Yes': -0.00792875, ' No': -5.2149487, 'Yes': -6.3335915, ' Milk': -7.4368854, ' yes': -10.367765}
{' No': -0.55175966, ' Yes': -0.8691711, 'No': -6.160852, 'Yes': -6.6602798, ' Milk': -6.7847056}
{' Yes': -0.19211563, ' No': -1.7665213, 'Yes': -5.9604235, 'No': -7.3188047, ' Nope': -8.14378}
{' Yes': -0.13785891, ' No': -2.0850444, 'Yes': -5.811403, 'No': -7.5126505, ' Nope': -7.5793924}
{' Yes': -0.0022566912, 'Yes': -6.484466, ' No': -7.879503, ' Bird': -8.3368025, ' yes': -9.867646}
{' Yes': -0.019616755, ' No': -4.3587375, ' Bird': -5.4197116, 'Yes': -6.283044, ' yes': -9.179799}
{' Yes': -0.009425957, ' No': -4.914146, 'Yes': -6.351116, ' yes': -9.207255, ' YES': -9.544361}
{' Yes': -0.021416893, ' No': -4.009462, 'Yes': -6.1437654, ' YES': -8.299573, ' yes': -8.675677}
{' Yes': -0.3323621, ' No': -1.2907933, ' Need': -5.9822702, ' Nope': -6.4330225, 'Yes': -6.532745}
{' Yes': -0.13786432, ' No': -2.113704, ' Need': -5.4893217, 'Yes': -6.447496, ' Nope': -7.051871}
{' Yes': -0.03796504, ' No': -3.8405962, ' Too': -4.6373262, ' Tool': -5.7139826, 'Yes': -6.1999655}
{' Yes': -0.114052124, ' No': -2.361931, ' Too': -4.672909, 'Yes': -6.1379437, ' Tool': -6.6485844}
{' Yes': -0.022663817, ' No': -4.502217, ' Po': -4.9968915, 'Yes': -5.793931, ' Nope': -7.1152406}
{' Yes': -0.10528124, ' No': -2.4184184, ' Po': -5.2562914, 'Yes': -6.006676, ' Nope': -6.11711}
{' Yes': -0.04787185, ' No': -3.0868025, 'Yes': -7.117076, ' yes': -9.565806, ' Nope': -9.598775}
{' Yes': -0.086432725, ' No': -2.6516087, ' Cro': -4.791709, 'Yes': -6.182317, ' Nope': -7.9770384}
{' Yes': -0.12481064, ' No': -2.1585517, 'Yes': -6.499341, 'No': -8.250833, ' Nope': -10.835116}
{' Yes': -0.10564627, ' No': -2.3371181, 'Yes': -5.9741383, 'No': -8.045435, ' Last': -8.429455}
{' Yes': -0.037866794, ' Door': -3.807684, ' No': -4.492616, 'Yes': -5.8214307, ' yes': -8.125727}
{' Yes': -0.031162146, ' No': -4.1016383, ' Door': -4.4694915, 'Yes': -6.177934, ' yes': -8.481068}
{' Yes': -0.48004085, ' No': -0.997354, 'Yes': -5.263353, ' Nope': -6.351477, 'No': -6.55754}
{' No': -0.10271385, ' Yes': -2.3997164, ' Nope': -5.821489, 'No': -5.895244, 'Yes': -7.2069607}
{' Yes': -0.29723078, ' No': -1.4019175, ' Maze': -5.1747026, 'Yes': -6.152514, ' Maybe': -6.390555}
{' No': -0.08052465, ' Yes': -2.6019156, 'No': -6.159786, ' Nope': -7.571853, ' Maybe': -8.146202}
{' No': -0.35579857, ' Yes': -1.3611583, ' Monk': -3.7213092, ' Nope': -4.307245, 'No': -6.4932413}
{' Yes': -0.57698715, ' No': -0.85429084, ' Mon': -5.635581, ' Nope': -5.981934, 'Yes': -6.039065}
{' Yes': -0.0072851083, ' No': -5.21684, 'Yes': -6.556618, ' Camp': -8.863432, ' yes': -9.493422}
{' Yes': -0.016710397, ' No': -4.2549686, 'Yes': -6.420023, ' Camp': -7.8383408, ' yes': -9.377776}
{' Yes': -0.02753249, ' Most': -3.9915066, ' No': -5.0355067, 'Yes': -6.4760504, ' Mostly': -8.850696}
{' Yes': -0.080186516, ' No': -3.1865726, ' Most': -3.4427316, 'Yes': -6.6896224, ' Mostly': -7.0746827}
{' Yes': -0.01365063, ' Trip': -5.2524295, ' No': -5.6778026, 'Yes': -6.2451205, ' Tri': -6.402782}
{' Yes': -0.01646181, ' No': -4.3255954, 'Yes': -6.2248225, ' yes': -8.197147, ' Trip': -8.426872}
{' No': -0.04361065, ' Yes': -3.249917, 'No': -5.72532, ' Nope': -8.174512, 'Yes': -8.507861}
{' No': -0.022816682, ' Yes': -4.005122, 'No': -5.72349, ' Nope': -7.02957, 'Yes': -9.189649}
{' Yes': -0.015115223, ' No': -4.269664, 'Yes': -7.423804, ' Hell': -9.091638, ' Nope': -9.691378}
{' Yes': -0.004758194, ' No': -5.5235605, 'Yes': -7.39059, ' Sure': -10.876698, ' ': -10.8835745}
{' No': -0.008233156, ' Yes': -5.2168794, 'No': -5.9111123, ' Nope': -10.398858, 'Yes': -11.163208}
{' No': -0.0067977607, ' Yes': -5.5787563, 'No': -6.089395, ' Nope': -7.448692, ' Not': -10.320241}
{' Yes': -0.14933269, ' No': -1.9903591, 'Yes': -7.124802, ' Hill': -7.6174335, 'No': -7.9103913}
{' Yes': -0.5139098, ' No': -0.96384954, ' Hill': -4.1133494, 'No': -6.435775, ' Nope': -6.830922}
{' Yes': -0.09383087, ' No': -2.4818676, 'Yes': -6.273977, ' Take': -6.616452, ' Nope': -6.8118196}
{' Yes': -0.025398163, ' No': -3.825359, 'Yes': -6.276735, ' Take': -7.1260533, ' Nope': -8.788617}
{' Yes': -0.04046062, ' No': -3.2835078, 'Yes': -6.448049, ' Part': -8.924946, 'No': -9.132141}
{' Yes': -0.005837801, ' No': -5.836278, 'Yes': -5.9677095, ' yes': -9.300445, ' Part': -10.046141}
{' No': -0.21811725, ' Yes': -1.6425976, 'No': -6.9088306, ' Nope': -6.994137, 'Yes': -8.236744}
{' No': -0.5675741, ' Yes': -0.8446317, 'No': -6.6150117, ' Nope': -6.7871323, 'Yes': -7.1949315}
{' Yes': -0.0030401857, 'Yes': -6.176544, ' No': -7.047317, ' yes': -10.512915, ' Sure': -10.787878}
{' Yes': -0.042684685, ' No': -3.1974926, 'Yes': -7.088316, 'No': -10.010036, ' yes': -11.191618}
{' No': -0.002373966, 'No': -6.46199, ' Yes': -7.4113073, ' Nope': -8.600108, ' Not': -12.135081}
{' No': -0.030261228, ' Yes': -3.7598066, ' Nope': -5.617112, 'No': -6.128091, ' Maybe': -8.182123}
{' No': -0.19444047, ' Yes': -1.7462326, 'No': -6.6819353, ' Nope': -7.619597, 'Yes': -7.735143}
{' No': -0.019177554, ' Yes': -4.1205053, 'No': -6.0812254, ' Nope': -7.9344244, 'Yes': -9.577885}
{' No': -0.61757046, ' Yes': -0.79454374, ' Soda': -5.218286, ' Nope': -6.459583, 'Yes': -6.9939895}
{' No': -0.53526586, ' Yes': -0.88874537, 'No': -7.0623407, 'Yes': -7.093644, ' Nope': -7.125165}
{' No': -0.35615698, ' Yes': -1.2096859, 'No': -7.531383, ' Nope': -7.5967155, 'Yes': -8.399861}
{' No': -0.018821754, ' Yes': -4.052643, 'No': -7.427416, ' Nope': -7.44199, ' None': -10.521847}
{' Yes': -0.005176967, ' No': -6.3518615, 'Yes': -6.4365425, ' Sure': -7.273241, ' Fire': -7.3105035}
{' Yes': -0.032488864, ' No': -3.6116989, ' Sure': -6.2739916, 'Yes': -6.4289174, ' Fire': -7.428061}
{' Yes': -0.0018477965, 'Yes': -6.926982, ' No': -7.364307, ' yes': -9.273123, ' Sure': -10.157384}
{' Yes': -0.0017218653, 'Yes': -7.070861, ' No': -7.4742403, ' yes': -9.005881, ' Sure': -9.854406}
{' Yes': -0.032585658, ' No': -3.4975533, 'Yes': -6.547594, ' Nope': -9.384823, ' Push': -9.748519}
{' Yes': -0.04003159, ' No': -3.2701893, 'Yes': -6.9220347, '\n': -9.002682, ' Nope': -9.938898}
{' Yes': -0.19909875, ' Stop': -1.9298689, ' No': -3.5198557, 'Yes': -5.8303103, ' Nope': -6.991676}
{' Yes': -0.24428597, ' No': -1.726622, ' Stop': -3.4092276, ' Nope': -5.961187, 'Yes': -6.282991}
{' Yes': -0.23211862, ' Late': -2.0382729, ' No': -2.6214218, 'Yes': -6.1060576, 'Late': -7.551275}
{' Yes': -0.70731854, ' No': -0.7536004, ' Late': -3.3994894, 'Yes': -6.959132, 'No': -7.0769863}
{' Yes': -0.033281423, ' No': -3.4582405, 'Yes': -6.8114376, ' yes': -9.866785, 'No': -10.041986}
{' Yes': -0.02297341, ' No': -3.8593419, 'Yes': -6.5450296, '\n': -9.720771, ' yes': -9.964781}
{' Yes': -0.009253647, ' No': -5.1078424, ' Wife': -6.455649, 'Yes': -6.573861, ' YES': -9.705294}
{' Yes': -0.50363815, ' No': -0.950095, ' Wife': -5.139199, 'Yes': -6.6613793, 'No': -7.1892376}
{' Yes': -0.026925078, ' No': -3.6959505, 'Yes': -6.8237286, ' Frog': -8.093484, ' yes': -8.856669}
{' Yes': -0.012165602, ' No': -4.5258393, 'Yes': -7.056785, ' yes': -8.858477, ' Frog': -9.056654}
{' Yes': -0.034218878, ' No': -3.4608948, 'Yes': -6.2617426, ' yes': -9.185386, ' Duck': -9.399499}
{' Yes': -0.11280157, ' No': -2.281911, ' Duck': -6.0706396, 'Yes': -6.5240903, 'No': -8.165253}
{' Yes': -0.01966958, ' Bank': -4.109105, 'Yes': -6.0836515, ' No': -8.017011, ' yes': -8.675803}
{' Yes': -0.006864072, ' No': -5.2828918, 'Yes': -6.459916, ' yes': -9.263419, ' YES': -9.901605}
{' Yes': -0.008397472, ' No': -5.2861686, 'Yes': -6.0845647, ' Test': -7.335592, ' YES': -9.517957}
{' Yes': -0.081148, ' No': -2.5936754, 'Yes': -6.134301, ' Test': -7.7647595, 'No': -8.770843}
{' Yes': -0.10923852, ' No': -2.291598, 'Yes': -6.2977147, 'No': -8.230141, ' Stay': -8.68274}
{' Yes': -0.09179322, ' No': -2.4600756, 'Yes': -6.2793345, 'No': -8.664515, ' Stay': -9.143787}
{' Yes': -0.16644032, ' No': -1.8987763, 'Yes': -5.8792067, 'No': -7.621314, ' yes': -9.14707}
{' Yes': -0.21145386, ' No': -1.7329898, 'Yes': -5.156637, ' East': -5.4723234, 'No': -6.8276143}
{' No': -0.0039740102, 'No': -6.2146516, ' Yes': -6.264117, '\n': -10.331865, ' Nope': -10.69689}
{' No': -0.006665744, ' Yes': -5.4101214, 'No': -6.297477, ' Nope': -8.236684, '\n': -9.988399}
{' No': -0.069267236, ' Yes': -2.7384603, 'No': -6.3232546, ' Draw': -8.7354355, 'Yes': -8.928139}
{' Yes': -0.31593725, ' No': -1.3729975, ' Draw': -4.250065, 'Yes': -6.410528, 'No': -7.3243523}
{' Yes': -0.52543044, ' King': -0.9137704, 'King': -5.456035, 'Yes': -6.728233, ' Kings': -7.0318065}
{' Yes': -0.29144037, ' No': -1.6061108, ' King': -3.009992, 'Yes': -6.9403653, ' Nope': -7.427152}
{' No': -0.3013454, ' Yes': -1.3515526, ' Nope': -7.637647, 'No': -7.736577, 'Yes': -8.461798}
{' No': -0.09887367, ' Yes': -2.3838832, 'No': -7.0593357, ' Nope': -7.1847954, ' Lose': -9.023367}
{' Yes': -0.012811389, ' No': -4.913629, ' Here': -5.6914015, 'Yes': -6.695256, ' Nope': -7.7202983}
{' Yes': -0.0018359121, 'Yes': -6.8840036, ' No': -7.3123884, ' Here': -9.505677, '\n': -10.651992}
{' Yes': -0.0014323255, 'Yes': -6.668337, ' Sick': -9.690897, ' YES': -10.14494, ' yes': -10.244571}
{' Yes': -0.10068379, ' No': -2.3589349, 'Yes': -6.8588333, 'No': -9.036023, ' yes': -10.405388}
{' Yes': -0.13636011, ' No': -2.473921, ' Dirt': -3.2412584, 'Yes': -5.931406, 'No': -7.65128}
{' No': -0.05884884, ' Yes': -2.9225059, 'No': -5.964828, ' Dirt': -7.570438, 'Yes': -9.11189}
{' Yes': -0.067762405, ' No': -2.8904188, ' Te': -5.442384, 'Yes': -5.982243, ' T': -7.610628}
{' Yes': -0.009985203, ' No': -5.66118, ' Te': -6.0831165, 'Yes': -6.116674, ' yes': -7.4710035}
{' No': -0.004305352, 'No': -5.457188, '\n': -10.846455, ' Nope': -12.014722, ' Yes': -13.001103}
{' No': -0.13085493, ' Yes': -2.1082432, 'No': -7.085752, 'Yes': -8.91837, ' Nope': -9.043506}
{' No': -0.5451947, ' Rain': -1.4548455, ' Yes': -1.7705785, 'Rain': -5.001976, 'No': -5.7376213}
{' Rain': -0.6373651, ' No': -0.9157008, ' Yes': -3.2031932, 'Rain': -4.0644603, ' Rainbow': -5.473536}
{' No': -0.24684596, ' Yes': -1.5255343, 'No': -7.191279, 'Yes': -8.151537, ' Nope': -9.340776}
{' No': -0.04317342, ' Yes': -3.2110944, 'No': -6.603291, ' Nope': -8.034834, '\n': -9.16358}
{' Yes': -0.027943254, ' No': -3.8279612, ' Absolutely': -6.5456696, 'Yes': -6.6387534, ' Sure': -6.862689}
{' Yes': -0.56120354, ' No': -0.8641134, ' Nope': -5.1757493, 'Yes': -7.0515094, 'No': -7.442628}
{' No': -0.4714415, ' Yes': -0.9814702, 'No': -7.427019, 'Yes': -8.122473, ' Nope': -9.746929}
{' No': -0.015197038, ' Yes': -4.2888765, 'No': -6.6412344, '\n': -10.835534, 'Yes': -10.885586}
{' Yes': -0.107617185, ' No': -2.2911613, 'Yes': -7.5340657, ' Thin': -8.84222, 'No': -9.266874}
{' Yes': -0.3027798, ' No': -1.3454758, 'Yes': -7.6972914, 'No': -8.261821, ' Nope': -9.654811}
{' No': -0.05161345, ' Yes': -3.0232513, 'No': -6.478569, 'Yes': -9.747911, ' Nope': -10.46394}
{' No': -0.35992116, ' Yes': -1.2088038, 'No': -6.302347, ' Tail': -7.0836306, 'Yes': -7.550359}
{' Yes': -0.0015321913, 'Yes': -6.7981644, ' No': -8.2382145, ' yes': -9.52487, ' Land': -9.921091}
{' Yes': -0.0473827, ' No': -3.1601946, 'Yes': -6.1688495, ' Land': -6.643318, ' yes': -8.637294}
{' Yes': -0.036013454, ' No': -3.3853748, 'Yes': -7.2125044, ' Feel': -7.510398, ' yes': -9.649636}
{' Yes': -0.31555152, ' No': -1.316755, ' Feel': -6.7281537, 'Yes': -7.3300796, 'No': -8.07387}
{' Yes': -0.3866151, ' No': -1.2303995, ' Loud': -3.6643918, 'Yes': -6.7320933, ' Nope': -7.5137677}
{' No': -0.06450964, ' Yes': -2.8009522, 'No': -6.8689985, ' Loud': -7.924332, ' Nope': -8.700301}
{' Yes': -0.013141688, ' Star': -5.183201, 'Yes': -5.541765, ' Start': -6.5921836, ' Sure': -6.6929564}
{' Yes': -0.0034799534, 'Yes': -6.060662, ' No': -7.254929, ' Sure': -8.572134, ' yes': -9.746397}
{' Yes': -0.0064449543, 'Yes': -5.6601176, ' Card': -5.961773, ' yes': -8.939774, '\n': -9.606052}
{' Yes': -0.0036458876, 'Yes': -6.026484, ' Card': -7.273446, ' No': -8.547304, ' yes': -8.75953}
{' Yes': -0.07862281, ' Deer': -2.9659383, ' No': -3.873577, 'Yes': -6.6119637, ' De': -7.31309}
{' Yes': -0.16058214, ' Deer': -2.0791419, ' No': -4.103375, ' De': -5.871683, 'Yes': -6.7393384}
{' Yes': -0.07747875, ' No': -2.619225, 'Yes': -6.8762245, ' Look': -8.191668, ' YES': -9.244908}
{' Yes': -0.058738217, ' No': -2.8990395, 'Yes': -6.737262, ' Look': -7.769074, ' YES': -9.251203}
{' No': -0.079285696, ' Yes': -2.6316977, ' Nope': -6.3973055, ' Gl': -6.553275, 'No': -6.977793}
{' No': -0.023437891, ' Yes': -3.805931, 'No': -7.4194584, ' Nope': -8.398481, '\n': -9.850811}
{' No': -0.35287005, ' Yes': -1.2182819, 'No': -6.8768773, 'Yes': -7.763879, '\n': -9.395211}
{' No': -0.17919727, ' Yes': -1.8156337, 'No': -6.9631805, 'Yes': -8.446244, '\n': -9.260439}
{' Yes': -0.5813852, ' No': -0.8484082, ' Nope': -5.4492803, ' Code': -5.450196, 'Yes': -6.246184}
{' Yes': -0.7134583, ' No': -0.7159855, ' Code': -4.0727434, ' Nope': -6.285125, 'Yes': -6.9693255}
{' Yes': -0.0021293932, ' No': -6.9159493, 'Yes': -7.05012, ' Sure': -8.439439, '\n': -11.297775}
{' Yes': -0.0026679044, 'Yes': -6.582646, ' No': -7.141032, ' Sure': -8.166235, ' Shoes': -9.193206}
{' No': -0.7240878, ' Yes': -0.8064185, ' Exit': -2.7182875, 'No': -6.919856, 'Yes': -7.0161448}
{' No': -0.053113278, ' Yes': -3.1645842, ' Exit': -4.9603686, 'No': -6.320794, '\n': -7.932288}
{' Yes': -0.032546557, ' No': -3.5408893, ' Lion': -6.354192, 'Yes': -6.849427, 'No': -9.329173}
{' No': -0.43464947, ' Yes': -1.0509806, 'No': -6.282933, 'Yes': -7.603769, ' Lion': -7.8387055}
{' Yes': -0.69292706, ' Roof': -0.82583493, ' No': -2.8305614, 'Yes': -6.849292, ' roof': -7.1908717}
{' Roof': -0.7386747, ' Yes': -1.2282509, ' No': -1.4860369, ' roof': -6.951729, 'Yes': -7.57506}
{' Yes': -0.0498939, ' Want': -3.1157734, 'Yes': -6.136392, ' No': -6.7084837, 'Want': -8.113721}
{' Yes': -0.25703797, ' No': -1.5353429, ' Want': -4.7235775, 'Yes': -6.5898447, 'No': -7.666097}
{' Yes': -0.0021876947, ' No': -7.1152854, ' Wind': -7.2723002, 'Yes': -7.409057, ' yes': -10.202459}
{' Yes': -0.4612771, ' No': -1.0008909, ' Wind': -7.3700123, 'No': -7.4093127, 'Yes': -7.4804497}
{' Yes': -0.011981841, ' Foot': -4.9663405, ' No': -5.682452, 'Yes': -6.6825023, ' YES': -9.073894}
{' Yes': -0.33835828, ' Foot': -1.3734763, ' No': -3.5439417, 'Yes': -6.082432, 'Foot': -7.604385}
{' Yes': -0.69541216, ' No': -0.8367085, ' Hate': -2.7779698, ' Nope': -5.894232, 'Yes': -7.010005}
{' No': -0.46169466, ' Yes': -1.0592346, ' Hate': -4.3099933, ' Nope': -5.0865016, 'No': -6.543751}
{' No': -0.14963397, ' Yes': -1.9843888, 'No': -6.6910305, 'Yes': -8.501085, ' Nope': -10.305101}
{' Yes': -0.017921729, ' No': -4.09561, 'Yes': -6.929779, ' yes': -10.144663, ' YES': -10.38459}
{' Yes': -0.028357621, ' No': -3.7176044, ' Ring': -6.176558, 'Yes': -6.7850614, 'No': -9.117813}
{' Yes': -0.08645176, ' No': -2.509513, 'Yes': -7.2009807, ' Ring': -8.108816, 'No': -8.484024}
