{' Yes': -0.008686332, ' No': -5.233551, ' Spider': -6.134765, 'Yes': -7.0355487, ' The': -8.79744}
{' Yes': -0.41459808, ' No': -1.0959585, 'Yes': -5.8581576, 'No': -6.413902, ' The': -7.996843}
{' No': -0.05621486, ' Yes': -3.003219, 'No': -5.5517497, ' Ex': -7.249679, 'Yes': -8.555671}
{' No': -0.5510981, ' Yes': -0.88101035, 'No': -5.4813137, 'Yes': -6.2563796, ' Not': -6.7918963}
{' Yes': -0.011651085, 'Yes': -4.6759844, ' Loving': -6.5328226, ' No': -7.871672, ' yes': -8.63874}
{' Yes': -0.38900036, ' No': -1.1491971, 'Yes': -5.983652, 'No': -6.229613, ' The': -7.8079095}
{' No': -0.043661896, ' Yes': -3.289069, 'No': -5.2721906, 'Yes': -8.638876, ' The': -10.264523}
{' No': -0.062378142, ' Yes': -2.8884127, 'No': -5.5490417, ' The': -7.9236245, ' Unfortunately': -8.41407}
{' Yes': -0.15663475, ' No': -1.9816202, 'Yes': -5.344228, 'No': -6.486512, ' ': -8.114709}
{' Yes': -0.024967907, ' No': -3.9114633, 'Yes': -5.434212, 'No': -8.78969, ' The': -9.517875}
{' No': -0.020959677, 'No': -4.054334, ' Yes': -5.711027, 'Yes': -10.140181, ' ': -10.454533}
{' Yes': -0.036837712, ' No': -3.4166384, 'Yes': -5.8950663, 'No': -8.3690405, ' The': -8.460071}
{' No': -0.051734645, ' Yes': -3.0965571, 'No': -5.380168, 'Yes': -8.2163515, ' The': -8.874086}
{' No': -0.012021777, ' Yes': -4.8073363, 'No': -5.613086, 'Yes': -10.102669, ' Not': -10.4577675}
{' No': -0.23458274, ' Yes': -1.6170748, 'No': -5.153944, 'Yes': -6.206978, ' The': -6.431028}
{' No': -0.27349117, ' Yes': -1.491009, 'No': -4.645893, 'Yes': -5.7148833, ' Not': -7.0707855}
{' Yes': -0.28987724, ' No': -1.3954605, 'Yes': -6.1403756, 'No': -6.871926, ' The': -7.5456753}
{' Yes': -0.19945565, ' No': -1.7433457, 'Yes': -5.7796044, ' The': -6.5590205, 'No': -6.8804207}
{' No': -0.32770073, ' Yes': -1.2923023, 'No': -5.762332, 'Yes': -7.138201, ' Not': -7.304539}
{' Yes': -0.035909712, ' No': -3.410589, 'Yes': -6.214645, ' The': -9.416792, 'No': -9.433434}
{' Yes': -0.33269173, ' No': -1.2701155, 'Yes': -6.673731, 'No': -7.289168, ' The': -8.74275}
{' No': -0.015048662, ' Yes': -4.368665, 'No': -6.143255, 'Yes': -10.340271, ' Not': -10.709685}
{' No': -0.21561402, ' Yes': -1.6827123, 'No': -5.035892, 'Yes': -6.712262, ' Not': -8.249293}
{' No': -0.25320876, ' Yes': -1.5423552, 'No': -4.848656, 'Yes': -6.439549, ' Not': -8.885297}
{' Yes': -0.14539048, ' No': -2.0198755, 'Yes': -6.526181, ' The': -7.594498, 'No': -7.815722}
{' Yes': -0.29700822, ' No': -1.372751, 'Yes': -6.3216968, 'No': -6.8530855, ' The': -7.8522406}
{' Yes': -0.30729806, ' No': -1.370872, 'Yes': -5.389343, 'No': -5.8297544, ' Not': -5.9425364}
{' No': -0.012424773, 'No': -4.581518, ' Yes': -6.62421, ' Not': -7.434435, ' Unfortunately': -9.245377}
{' No': -0.012202711, ' Yes': -4.7774935, 'No': -5.7034764, ' The': -9.103348, ' Unfortunately': -9.28777}
{' No': -0.017061321, ' Yes': -4.631481, 'No': -5.1309905, ' Not': -6.9620776, ' Unfortunately': -8.706284}
{' Yes': -0.0019148, 'Yes': -6.4961863, ' No': -8.167216, ' The': -9.354264, ' yes': -10.831838}
{' Yes': -0.018155627, ' No': -4.2060676, 'Yes': -5.885583, ' The': -8.90488, 'No': -9.290884}
{' Yes': -0.0043416903, 'Yes': -5.51268, ' No': -8.579728, ' yes': -10.339134, ' ': -10.452152}
{' Yes': -0.003572369, 'Yes': -5.7447047, ' No': -8.267097, ' The': -10.043623, ' yes': -10.458155}
{' No': -0.22728206, ' Yes': -1.604975, 'No': -6.3602543, 'Yes': -7.877889, ' The': -9.12966}
{' No': -0.5259602, ' Yes': -0.91418767, 'No': -5.60686, 'Yes': -6.0934267, ' The': -6.556693}
{' No': -0.09876801, ' Yes': -2.398855, 'No': -5.967078, ' The': -8.288171, 'Yes': -8.592212}
{' Yes': -0.41910198, ' No': -1.0828497, 'Yes': -6.586384, 'No': -6.852051, ' The': -7.5141435}
{' No': -0.0052911704, 'No': -5.258677, ' Yes': -9.823574, ' ': -11.71164, ' Not': -11.757254}
{' No': -0.014048115, 'No': -4.309532, ' Yes': -7.812628, ' Unfortunately': -10.508764, ' ': -10.581974}
{' Yes': -0.0933473, ' No': -2.4670463, 'Yes': -5.716245, 'No': -7.2556663, ' The': -9.299178}
{' Yes': -0.0060056834, ' No': -5.6802096, 'Yes': -5.9899454, ' yes': -10.555314, 'No': -11.052451}
{' Yes': -0.116313264, ' No': -2.233289, 'Yes': -6.2352633, 'No': -7.636537, ' Unfortunately': -9.7640505}
{' No': -0.95210624, '\n': -1.0292642, ' Yes': -1.4065608, ' ': -5.4214067, 'No': -5.6635203}
{' Yes': -0.27724886, ' No': -1.4376359, 'Yes': -6.041027, 'No': -6.7992997, ' The': -7.192028}
{' No': -0.09449717, ' Yes': -2.5233054, 'No': -4.7077556, 'Yes': -7.557662, ' Unfortunately': -8.837634}
{' No': -0.016235095, ' Yes': -4.5355053, 'No': -5.25736, ' Unfortunately': -9.848687, 'Yes': -10.064497}
{' Yes': -0.05414384, ' No': -3.0101643, 'Yes': -5.8328185, 'No': -8.230917, ' The': -9.050373}
{' Yes': -0.3704715, ' No': -1.1872345, 'Yes': -5.974693, 'No': -6.4932933, ' The': -8.055193}
{' Yes': -0.5360325, ' No': -0.89710325, 'No': -5.9031878, 'Yes': -6.0114584, ' The': -6.686945}
{' Yes': -0.66277504, ' No': -0.7322292, 'Yes': -6.6539664, ' The': -6.7456207, 'No': -6.978755}
{' No': -0.06321948, ' Yes': -2.8435235, 'No': -6.051666, 'Yes': -8.344329, ' The': -8.725649}
{' No': -0.18117537, ' Yes': -1.8342075, 'No': -5.3190117, 'Yes': -7.339828, ' The': -8.827861}
{' No': -0.16987957, ' Yes': -1.9001766, 'No': -5.301824, 'Yes': -7.0780764, ' ': -7.960111}
{' No': -0.17746057, ' Yes': -1.8336877, 'No': -6.3601103, 'Yes': -7.904216, ' The': -7.9100304}
{' No': -0.3030096, ' Yes': -1.3575178, 'No': -5.98021, 'Yes': -6.8596807, ' The': -7.9627347}
{' No': -0.009249616, 'No': -5.0726366, ' Yes': -5.8553185, 'Yes': -10.520315, ' Not': -11.266059}
{' No': -0.14854074, ' Yes': -2.0088522, 'No': -5.713186, 'Yes': -7.657375, ' ': -9.828291}
{' Yes': -0.0600933, ' No': -2.8907337, 'Yes': -6.0643787, 'No': -8.464079, ' The': -8.894152}
{' No': -0.14434485, ' Yes': -2.0523763, 'No': -5.4847264, ' Unfortunately': -7.280653, 'Yes': -7.680395}
{' No': -0.14850436, ' Yes': -2.03055, 'No': -5.426382, 'Yes': -6.59325, ' The': -7.5128055}
{' No': -0.022148931, ' Yes': -4.234238, 'No': -4.9669557, 'Yes': -8.598177, ' Unfortunately': -8.8764}
{' No': -0.6722675, ' Yes': -0.7227416, 'Yes': -6.18081, 'No': -6.528245, ' The': -7.839036}
{' No': -0.0722749, ' Yes': -2.716495, 'No': -5.7931414, 'Yes': -8.00413, ' The': -8.971101}
{' No': -0.06152008, 'No': -2.8237977, ' Not': -9.315819, ' Unfortunately': -9.4368725, ' Yes': -9.638151}
{' Yes': -0.15218617, ' No': -2.0229118, 'Yes': -5.152148, 'No': -6.4790254, ' The': -6.885081}
{' No': -0.56525445, ' Yes': -0.84590554, 'No': -6.4632497, 'Yes': -6.9504814, ' Not': -10.22748}
{' Yes': -0.5878265, ' No': -0.82161593, 'No': -6.1451, 'Yes': -6.232317, ' Purple': -8.246686}
{' Yes': -0.025297472, ' No': -3.786377, 'Yes': -6.246184, ' The': -8.753069, 'No': -9.530804}
{' Yes': -0.16105112, ' No': -1.9377615, 'Yes': -5.6904907, 'No': -6.9619946, ' The': -8.567398}
{' Yes': -0.0041632475, 'Yes': -5.9954233, ' No': -6.992162, ' The': -7.464856, ' yes': -9.581559}
{' Yes': -0.009559961, ' No': -5.175001, 'Yes': -5.608618, ' The': -9.428949, ' yes': -10.113258}
{' Yes': -0.026237931, ' No': -3.7504544, 'Yes': -6.111258, 'No': -8.992744, ' Not': -11.287451}
{' Yes': -0.19212842, ' No': -1.7589847, 'Yes': -6.394719, 'No': -7.349416, ' The': -9.365073}
{' Yes': -0.03727837, ' No': -3.409385, 'Yes': -5.8175683, ' The': -8.253097, 'No': -8.615327}
{' Yes': -0.0012203885, 'Yes': -6.78655, ' No': -10.567641, ' yes': -10.587904, ' ': -11.105054}
{' Yes': -0.35947695, ' No': -1.2456961, 'Yes': -5.0870333, 'No': -5.442591, ' Unfortunately': -6.288335}
{' Yes': -0.55751485, ' No': -0.8697555, 'No': -5.482569, 'Yes': -5.5827527, ' Unfortunately': -8.885414}
{' No': -0.04053355, 'No': -3.484854, ' Yes': -4.809666, ' Dis': -7.8947396, 'Yes': -8.287571}
{' No': -0.06203168, ' Yes': -2.8904066, 'No': -5.510789, 'Yes': -8.505197, ' Not': -8.8447485}
{' No': -0.16686992, ' Yes': -1.9216286, 'No': -5.0679545, 'Yes': -7.054822, ' The': -9.646981}
{' Yes': -0.13194741, ' No': -2.1365592, 'Yes': -5.43265, 'No': -7.140026, ' The': -8.199734}
{' Yes': -0.02298573, ' No': -4.0198975, 'Yes': -5.438305, ' The': -8.740244, 'No': -9.000799}
{' Yes': -0.0088129025, ' No': -5.379248, 'Yes': -5.5339975, ' The': -9.194623, 'No': -10.326875}
{' No': -0.25169182, ' Yes': -1.5245875, 'No': -5.6964393, ' The': -7.5128326, 'Yes': -7.537294}
{' Yes': -0.005259953, ' No': -5.96664, 'Yes': -5.9701686, ' The': -9.5737, ' yes': -10.325732}
{' No': -0.033785492, ' Yes': -3.5672765, 'No': -5.3813744, ' The': -9.019354, 'Yes': -9.0295725}
{' No': -0.23070493, ' Yes': -1.6088824, 'No': -5.410688, 'Yes': -6.892671, ' The': -8.315406}
{' Yes': -0.008676169, ' No': -4.9659553, 'Yes': -6.458301, ' The': -9.697797, 'No': -11.004127}
{' No': -0.015846007, ' Yes': -4.5410933, 'No': -5.3529563, ' Not': -9.467435, ' Unfortunately': -9.54253}
{' Yes': -0.4402394, ' No': -1.0440851, 'No': -6.3291287, 'Yes': -6.4051347, ' The': -8.231682}
{' Yes': -0.014247494, ' No': -4.5562105, 'Yes': -5.71598, ' The': -9.251776, ' yes': -9.438467}
{' No': -0.18290088, ' Yes': -1.8672287, 'No': -4.68476, ' Planet': -6.5626807, 'Yes': -6.751849}
{' No': -0.25495225, ' Yes': -1.5506332, 'No': -4.5892, 'Yes': -6.1725163, ' Not': -7.9852815}
{' Yes': -0.12114678, ' No': -2.2496676, 'Yes': -4.947559, 'No': -6.7587, ' Not': -9.013245}
{' Yes': -0.0062510846, ' No': -5.515068, 'Yes': -6.186255, ' yes': -9.651427, ' The': -10.407546}
{' Yes': -0.07283677, ' No': -2.7635105, 'Yes': -5.033702, 'No': -7.544611, ' Pres': -9.994064}
{' No': -0.39653796, ' Yes': -1.2022496, 'No': -3.9878674, 'Yes': -4.8405876, '\n': -8.524233}
{' No': -0.009655949, ' Yes': -5.008145, 'No': -5.9009805, ' The': -9.904857, ' Unfortunately': -10.148164}
{' No': -0.10236594, ' Yes': -2.354933, 'No': -6.384918, ' Unfortunately': -8.103813, 'Yes': -8.572491}
{' Yes': -0.5731925, ' No': -0.8520678, 'No': -5.5134315, 'Yes': -5.656209, ' Not': -6.600383}
{' Yes': -0.027563432, ' No': -3.841101, 'Yes': -5.2410545, 'No': -8.616056, ' The': -9.075932}
{' Yes': -0.38161784, ' No': -1.1612753, 'Yes': -6.3374853, 'No': -6.352807, ' Unfortunately': -8.581418}
{' Yes': -0.20384018, ' No': -1.710985, 'Yes': -6.1594253, 'No': -6.775674, ' Not': -8.23599}
{' Yes': -0.03742402, ' No': -3.8217409, 'Yes': -4.4999237, ' The': -6.363447, ' Unfortunately': -7.5960917}
{' Yes': -0.072561726, ' No': -2.762528, 'Yes': -5.386006, ' The': -6.867403, ' Unfortunately': -7.9082456}
{' Yes': -0.023751993, ' No': -3.9542344, 'Yes': -5.507217, 'No': -9.374814, ' Not': -10.019229}
{' Yes': -0.020008473, ' No': -4.1373806, 'Yes': -6.099133, ' The': -6.649931, ' It': -9.140074}
{' No': -0.039125748, ' Yes': -3.9556391, 'No': -3.9782028, 'Yes': -8.499304, ' The': -9.121887}
{' Yes': -0.2899521, ' No': -1.3952053, 'Yes': -6.1357613, 'No': -7.241156, ' The': -7.31946}
{' Yes': -0.050753213, ' Sc': -3.6303637, ' No': -4.3428597, 'Yes': -4.9226975, ' yes': -6.864263}
{' Yes': -0.0096585965, ' No': -5.2652946, 'Yes': -5.4557567, ' The': -9.764603, ' yes': -10.069659}
{' No': -0.033753373, 'No': -3.5064132, ' Yes': -5.8661523, ' Unfortunately': -8.705131, 'Yes': -9.707797}
{' No': -0.0151909245, 'No': -4.5879846, ' Yes': -5.354321, 'Yes': -9.72362, ' ': -9.821915}
{' No': -0.08005097, ' Yes': -2.7817738, 'No': -4.3368254, 'Yes': -7.2513766, ' Unfortunately': -7.564817}
{' Yes': -0.43678245, ' No': -1.057407, 'Yes': -5.6976676, 'No': -6.0479846, ' Unfortunately': -8.032157}
{' No': -0.17746961, ' Yes': -1.8661733, 'No': -5.1304035, 'Yes': -7.213642, ' Unfortunately': -7.4862876}
{' No': -0.30237895, ' Yes': -1.3705763, 'No': -5.249568, 'Yes': -6.568848, ' The': -8.951552}
{' Yes': -0.003965093, 'Yes': -6.1138587, ' No': -6.375068, ' yes': -11.183253, 'No': -11.708237}
{' No': -0.18350035, ' Yes': -1.8330156, 'No': -5.061281, 'Yes': -6.85131, ' The': -9.041432}
{' Yes': -0.006950499, 'Yes': -5.184843, ' No': -6.7006145, ' The': -9.931055, ' yes': -10.670853}
{' Yes': -0.19203915, ' No': -1.7765213, 'Yes': -5.504747, 'No': -6.8325934, ' The': -8.614386}
{' No': -0.13463297, ' Yes': -2.137736, 'No': -5.314589, ' Unfortunately': -6.4224763, ' The': -7.592217}
{' No': -0.14232261, ' Yes': -2.0781498, 'No': -5.125492, 'Yes': -7.405473, ' Unfortunately': -7.810621}
{' No': -0.18404731, ' Yes': -1.803781, 'No': -5.8989596, 'Yes': -7.697799, ' Not': -8.924298}
{' Yes': -0.22612469, ' No': -1.6102074, 'Yes': -6.5022073, 'No': -7.2073145, ' The': -8.688706}
{' Yes': -0.049921658, ' No': -3.434317, ' Spider': -4.1803193, 'Yes': -7.751879, ' yes': -8.503026}
{' Yes': -0.022279533, ' No': -3.8588653, 'Yes': -7.6790633, ' yes': -8.478599, '\n': -9.387003}
{' Yes': -0.013449197, ' No': -4.430939, ' Candle': -7.4193287, 'Yes': -7.658493, ' Cand': -9.51891}
{' Yes': -0.5728428, ' Candle': -0.95998496, ' No': -3.5258207, ' Cand': -4.0135064, ' YES': -6.67921}
{' No': -0.11112445, ' Yes': -2.3336434, ' Th': -6.114208, ' Thr': -6.310699, 'No': -6.546357}
{' No': -0.69557035, ' Yes': -0.6981281, '\n': -6.308546, ' ': -7.7929115, ' The': -7.821577}
{' Yes': -0.08779106, ' No': -2.789623, ' Beach': -4.2878413, ' Bleach': -5.7355723, 'Yes': -6.0893645}
{' Yes': -0.035221305, ' No': -3.5009077, 'Yes': -6.2869506, ' Beach': -7.2931905, '\n': -7.566653}
{' No': -0.41118604, ' Yes': -1.0943335, 'No': -7.059721, 'Yes': -7.813188, '\n': -7.916458}
{' Yes': -0.0041955695, ' No': -5.7761397, 'Yes': -7.6396337, ' yes': -8.095328, ' The': -8.886234}
{' No': -0.002116072, ' Yes': -6.5657163, 'No': -7.430693, ' ': -9.939843, '\n': -10.669619}
{' No': -0.13103533, ' Yes': -2.1223016, ' The': -6.7569814, 'No': -7.092709, '\n': -7.7402844}
{' No': -0.07389027, ' Yes': -2.66398, 'No': -7.2426696, ' Indian': -7.8478637, ' The': -8.423499}
{' No': -0.032526236, ' Yes': -3.5269108, 'No': -6.123887, ' Indian': -8.673486, 'Yes': -9.50899}
{' Yes': -0.0011121368, 'Yes': -7.4489136, ' No': -8.072561, ' ': -9.421679, ' yes': -9.818762}
{' Yes': -0.16478, ' No': -1.8985121, 'Yes': -7.309822, '\n': -7.399464, ' ': -7.7857876}
{' No': -0.30726007, ' Yes': -1.3573165, ' Hungry': -5.760787, 'No': -5.8864946, 'Yes': -7.1695952}
{' Yes': -0.13945062, ' No': -2.0671487, '\n': -6.8117943, 'Yes': -7.125603, ' The': -7.954947}
{' No': -0.0016914145, 'No': -7.016675, ' Yes': -7.4811544, '\n': -9.461862, ' ': -9.48091}
{' No': -0.005220586, ' Yes': -6.047497, 'No': -6.1663013, ' Number': -7.7470074, ' ': -8.5758095}
{' No': -0.1499208, ' Yes': -1.98681, 'No': -7.11008, '\n': -7.762671, ' The': -8.02107}
{' No': -0.005270616, ' Yes': -5.5579515, 'No': -6.9910417, ' ': -8.857859, '\n': -8.935774}
{' Yes': -0.00096738845, 'Yes': -7.3006306, ' No': -8.538742, ' Mother': -10.130775, ' yes': -10.355583}
{' Yes': -0.0031435622, ' No': -6.5127234, 'Yes': -6.640259, ' yes': -8.622971, ' The': -9.707916}
{' No': -0.04701923, ' Yes': -3.1243775, 'No': -6.802348, ' The': -8.317679, ' Not': -9.196447}
{' Yes': -0.56033146, ' No': -0.9405843, ' Pepper': -3.8922176, ' Pe': -5.5516067, ' Paper': -5.677707}
{' Yes': -0.036666058, ' No': -3.387042, 'Yes': -6.448605, '\n': -8.620425, ' ': -9.118511}
{' Yes': -0.059628997, ' No': -2.8930717, 'Yes': -6.5378866, ' The': -7.7534175, '\n': -8.314664}
{' No': -0.5515813, ' Yes': -0.95774174, ' Nep': -3.7888937, ' Nope': -5.0508323, ' ': -5.4615693}
{' No': -0.39753762, ' Yes': -1.1460042, ' Nope': -5.806086, 'No': -6.1864853, ' Neph': -6.411891}
{' No': -0.0681224, ' Yes': -2.7344012, 'No': -7.3613696, 'Yes': -9.633504, ' ': -9.637616}
{' No': -0.05811515, ' Yes': -2.9013348, 'No': -7.0471663, ' ': -8.50824, '\n': -8.710356}
{' Yes': -0.0134939635, ' No': -4.469516, 'Yes': -6.6463118, ' Change': -8.123771, ' ': -8.824901}
{' Yes': -0.006814923, ' No': -5.190109, 'Yes': -7.3346825, '\n': -8.12631, ' ': -8.991788}
{' Yes': -0.23246804, ' No': -1.5842232, 'Yes': -6.5040894, '\n': -8.820866, 'No': -8.822854}
{' Yes': -0.1328677, ' No': -2.1047401, 'Yes': -6.216537, ' yes': -8.824276, ' ': -9.160437}
{' No': -0.014087891, ' Yes': -4.453186, 'No': -6.208822, ' ': -8.9028845, '\n': -9.065097}
{' No': -0.12894343, ' Yes': -2.149911, ' Ending': -5.9722085, 'No': -7.0187044, ' ': -8.012219}
{' Yes': -0.2727778, ' No': -1.5434667, ' Energy': -3.8130343, 'Yes': -6.9832554, ' ': -7.39615}
{' Yes': -0.4874668, ' Energy': -1.4842833, ' No': -1.8639965, ' energy': -6.6306167, 'Yes': -7.057473}
{' Yes': -0.13302454, ' No': -2.3762743, ' Father': -3.517107, 'Yes': -6.8754373, ' ': -8.4352455}
{' No': -0.3825954, ' Yes': -1.1517565, 'No': -7.3941293, ' The': -8.065729, 'Yes': -8.167537}
{' No': -0.14509398, ' Yes': -2.028326, ' Pen': -6.6939178, ' The': -7.2628484, 'No': -7.4026523}
{' No': -0.018648, ' Yes': -4.2250896, 'No': -6.281297, ' Nope': -7.466613, ' Pen': -7.732}
{' Yes': -0.112381645, ' No': -2.261645, 'Yes': -7.1306734, ' The': -7.7925153, ' Street': -7.998308}
{' No': -0.00724296, 'No': -5.5715566, '\n': -6.5263047, ' Yes': -6.7775574, ' ': -7.46271}
{' Yes': -0.0013057287, 'Yes': -6.9481325, ' Strong': -8.62494, '\n': -9.075767, ' yes': -10.708945}
{' Yes': -0.00053164794, 'Yes': -8.101754, ' No': -8.671428, ' yes': -10.049638, ' YES': -12.281825}
{' Yes': -0.031966627, ' No': -3.5278425, 'Yes': -7.168779, ' Seller': -7.4793615, ' The': -7.9303465}
{' Yes': -0.025223019, ' No': -4.406519, ' Seller': -4.586508, 'Yes': -6.7339363, ' yes': -7.189916}
{' No': -0.5984459, ' Yes': -0.8842774, ' Bl': -3.365862, ' ': -6.8524833, 'No': -7.165016}
{' Yes': -0.6038586, ' No': -0.8030314, ' Bl': -6.5067677, ' yes': -6.518141, 'Yes': -7.1437597}
{' Yes': -0.36210424, ' No': -1.1955602, 'Yes': -7.749038, 'No': -8.177939, ' The': -8.712136}
{' Yes': -0.025563065, ' No': -3.7746665, 'Yes': -6.8655915, ' B': -7.7343664, ' ': -7.836457}
{' Yes': -0.0069014644, ' No': -5.0769715, 'Yes': -7.463904, ' yes': -10.500248, '\n': -11.050029}
{' No': -0.4209245, ' Yes': -1.074035, 'No': -7.358493, 'Yes': -7.808345, ' The': -7.9228015}
{' Yes': -0.0057980525, ' No': -5.365211, 'Yes': -7.1154475, ' The': -9.197021, ' yes': -9.39011}
{' Yes': -0.1162735, ' No': -2.2983434, ' Parent': -5.0520873, 'Yes': -6.1859865, ' yes': -7.960176}
{' Yes': -0.0010279454, 'Yes': -7.137878, ' No': -8.852798, ' yes': -9.91707, '\n': -11.004482}
{' Yes': -0.18088436, ' No': -1.8088522, 'Yes': -7.0112696, ' ': -8.391154, 'No': -8.480758}
{' No': -0.003996809, ' Yes': -5.9747777, 'No': -7.0316243, ' The': -7.8817663, ' ': -9.863351}
{' No': -0.01734044, ' Yes': -4.2428594, 'No': -6.1599374, '\n': -8.125059, ' ': -8.560971}
{' Yes': -0.40000126, ' No': -1.1175784, 'Yes': -7.1141925, ' The': -7.1516533, '\n': -8.09471}
{' Yes': -0.32934842, ' No': -1.4187094, ' Stars': -3.6102738, 'Yes': -5.379034, ' St': -6.0587773}
{' Yes': -0.010065457, ' No': -4.928063, 'Yes': -6.530241, ' Doctor': -7.6112766, ' The': -7.7656226}
{' No': -0.37023008, ' Yes': -1.4080833, ' Doctor': -2.759415, 'No': -7.3719277, 'Yes': -8.430994}
{' No': -0.0026210495, 'No': -6.6691422, ' Yes': -7.0362554, ' Not': -9.247747, ' Nope': -9.28927}
{' No': -0.04142553, ' Yes': -3.249767, 'No': -7.0539765, '\n': -8.3848505, ' Not': -8.422921}
{' No': -0.07092699, ' Yes': -2.7087843, 'No': -7.4536533, ' ': -7.8488064, ' Tennis': -8.003916}
{' No': -0.057590406, ' Yes': -2.9208484, 'No': -6.798521, ' The': -8.318644, '\n': -8.456895}
{' No': -0.092902236, ' Yes': -2.4458666, 'No': -6.902289, ' The': -8.439153, '\n': -8.665789}
{' No': -0.23892383, ' Yes': -1.6124436, ' Bucket': -5.049825, ' The': -6.618846, 'No': -6.709923}
{' Yes': -0.6236219, ' No': -0.7829886, 'Yes': -6.0058312, ' States': -6.154652, '\n': -7.454092}
{' No': -0.40836924, ' Yes': -1.1041166, 'Yes': -6.542781, 'No': -7.2316856, ' States': -8.112246}
{' Yes': -0.02914907, ' No': -3.5845175, 'Yes': -7.165059, ' ': -9.347844, ' C': -10.347758}
{' Yes': -0.6041595, ' No': -0.7959968, 'Yes': -6.899527, 'No': -7.7895207, ' The': -8.010199}
{' No': -0.038226094, ' Yes': -3.6631114, ' Ex': -4.4954576, 'No': -7.6488004, ' ': -10.060361}
{' No': -0.2332059, ' Yes': -1.6334553, 'No': -5.9161015, ' In': -6.45833, ' Nope': -6.5925727}
{' Yes': -0.0885535, ' Loving': -3.193196, ' No': -3.3622468, '\n': -5.8085237, 'Yes': -5.8433347}
{' No': -0.27862534, ' Yes': -1.4269826, ' The': -6.846288, 'No': -7.207835, ' ': -8.099603}
{' No': -0.022056736, ' Yes': -3.8594, 'No': -7.5960746, ' ': -9.251798, '\n': -9.525279}
{' No': -0.06450436, ' Yes': -2.7991614, 'No': -7.4648542, ' The': -7.489848, ' ': -9.139202}
{' Yes': -0.107068926, ' No': -2.4872704, ' Butter': -4.4490695, ' ': -5.543262, 'Yes': -6.413318}
{' Yes': -0.03377643, ' No': -3.4494486, 'Yes': -6.9226065, ' yes': -8.55296, ' Butter': -8.953233}
{' No': -0.12964998, ' Yes': -2.114761, 'No': -7.2918453, ' ': -9.037874, 'Yes': -9.450427}
{' Yes': -0.008246977, ' No': -4.992229, 'Yes': -7.1758432, ' yes': -8.395959, ' ': -8.478566}
{' No': -0.034594577, ' Yes': -3.4204013, 'No': -7.3382916, ' The': -7.980467, ' ': -9.444367}
{' No': -0.36155412, ' Yes': -1.2054186, 'No': -6.876978, ' The': -7.2248464, 'Yes': -7.487274}
{' No': -0.5784157, ' Yes': -0.8667915, ' She': -4.3240876, 'Yes': -6.2070365, 'No': -6.9360337}
{' Yes': -0.17245461, ' No': -1.8621805, 'Yes': -6.2008777, ' yes': -7.865951, '\n': -8.382181}
{' Yes': -0.48695752, ' No': -0.9605085, 'Yes': -6.868995, 'No': -7.2869105, '\n': -8.2916765}
{' Yes': -0.42516705, ' No': -1.068901, 'Yes': -6.9085155, ' The': -7.27462, 'No': -7.847867}
{' No': -0.27034384, ' Yes': -1.444561, 'No': -7.8875484, 'Yes': -8.387931, '\n': -9.285145}
{' Yes': -0.36007255, ' No': -1.2028995, 'Yes': -7.0340886, '\n': -8.267205, 'No': -8.3240385}
{' No': -0.0987663, ' Yes': -2.3765755, 'No': -7.9051185, ' The': -8.213514, ' ': -8.520631}
{' No': -0.02396308, ' Yes': -4.21152, ' Minute': -4.8347116, 'No': -7.5402784, ' ': -9.330535}
{' No': -0.1951652, ' Yes': -1.7543597, ' Car': -6.1464725, 'No': -6.6794276, 'Yes': -8.018901}
{' No': -0.23003754, ' Yes': -1.5975074, 'No': -6.8566947, ' Car': -6.968881, 'Yes': -7.8439274}
{' Yes': -0.30913436, ' No': -1.3525628, ' The': -5.4459176, ' yes': -6.54628, 'Yes': -7.539389}
{' No': -0.36165717, ' Yes': -1.1974993, 'No': -7.564769, ' The': -7.9303026, 'Yes': -8.326022}
{' Yes': -0.65562433, ' No': -0.7360438, 'No': -7.5174537, 'Yes': -7.858259, '\n': -8.05226}
{' No': -0.0043110396, 'No': -5.885412, ' Yes': -6.705353, ' Not': -9.116181, '\n': -9.351934}
{' No': -0.0016314122, 'No': -6.9373345, ' Yes': -7.6314073, ' The': -9.776039, '\n': -10.115243}
{' No': -0.02449881, ' Yes': -3.8278644, 'No': -7.0371556, ' Length': -7.1911645, '\n': -7.7729254}
{' Yes': -0.0024802606, ' No': -6.214314, 'Yes': -7.975205, ' yes': -9.683725, '\n': -10.258476}
{' Yes': -0.01660664, ' No': -4.179349, 'Yes': -7.3539495, ' The': -8.308909, ' yes': -8.897193}
{' Yes': -0.004268477, ' No': -6.3265777, 'Yes': -6.777853, ' France': -6.883474, ' yes': -8.872916}
{' Yes': -0.005149884, ' No': -5.6701465, 'Yes': -6.8721404, ' yes': -8.689088, ' The': -8.732253}
{' No': -0.17038418, ' Yes': -1.8614489, 'No': -7.9873075, ' The': -8.153034, '\n': -8.810744}
{' Yes': -0.5769643, ' No': -0.9941663, ' Muscle': -3.0660083, ' Mus': -4.385531, 'Yes': -6.2577314}
{' No': -0.30957535, ' Yes': -1.3511382, ' Empire': -5.8204126, ' The': -6.6293254, ' Emperor': -6.865718}
{' Empire': -0.3929464, ' No': -1.9920292, ' Yes': -2.0345557, ' Emperor': -3.2596169, ' Em': -4.234604}
