{' Right': -0.023665998, ' right': -3.813581, 'Right': -7.2528434, ' "': -7.8961616, 'right': -8.905826}
{' Left': -0.23602185, ' left': -1.5805595, 'left': -6.1435175, 'Left': -6.545918, ' "': -7.4650407}
{' Left': -0.2130647, ' left': -1.6741109, 'left': -6.3837433, ' "': -6.6164575, 'Left': -6.655564}
{' Left': -0.13522881, ' left': -2.090515, 'left': -6.839793, 'Left': -6.915167, ' "': -7.4276857}
{' Left': -0.23628233, ' left': -1.576067, 'left': -6.6349335, 'Left': -6.798439, ' "': -7.1242995}
{' Left': -0.17167296, ' left': -1.8677006, 'left': -6.7501483, 'Left': -6.904655, ' "': -7.093605}
{' Right': -0.23841201, ' Left': -1.9489012, ' right': -3.0760508, ' left': -3.911704, 'Right': -6.3141484}
{' Right': -0.11894433, ' Left': -2.6814537, ' right': -3.3883057, ' left': -4.9732323, 'Right': -6.458679}
{' Right': -0.1410372, ' Left': -2.7647517, ' right': -2.8859615, ' left': -4.5652103, 'Right': -6.6410275}
{' Right': -0.096517965, ' Left': -3.046635, ' right': -3.3344522, ' left': -5.1981683, 'Right': -6.277821}
{' Right': -0.07802107, ' right': -3.2936027, ' Left': -3.5184662, ' left': -5.6420736, 'Right': -6.04025}
{' Right': -0.17292045, ' Left': -2.0876563, ' right': -3.8007646, ' left': -4.6517715, 'Right': -6.463598}
{' Right': -0.17562433, ' Left': -2.558971, ' right': -2.7089818, ' left': -4.287854, 'Right': -6.449075}
{' Right': -0.15420556, ' Left': -2.4757197, ' right': -3.097004, ' left': -4.524811, 'Right': -6.5440826}
{' Left': -0.31751192, ' Right': -1.7880853, ' left': -2.380836, ' right': -4.787467, 'left': -6.6658874}
{' Left': -0.13439439, ' left': -2.2902591, ' Right': -3.9048011, 'left': -6.7520776, 'Left': -6.788401}
{' Left': -0.15058129, ' left': -2.1770303, ' Right': -3.823631, 'left': -6.642246, ' right': -6.7109885}
{' Left': -0.114452176, ' left': -2.3485467, ' Right': -4.7453575, 'left': -6.5104475, 'Left': -6.725858}
{' Left': -0.11931531, ' left': -2.2891073, ' Right': -5.0071516, ' "': -6.449504, 'left': -6.651345}
{' Left': -0.11152425, ' left': -2.4509292, ' Right': -4.1564326, 'left': -6.7023597, 'Left': -6.8465004}
{' Left': -0.25001195, ' left': -1.8749279, ' Right': -2.8412976, ' right': -5.1974397, 'left': -6.5755715}
{' Left': -0.18088834, ' left': -2.1018765, ' Right': -3.2891853, ' right': -5.9221673, 'left': -6.676602}
{' Left': -0.93304646, ' Right': -1.0104792, ' left': -1.9056036, ' right': -2.392687, 'left': -7.221682}
{' Left': -0.8827542, ' left': -1.0440149, ' Right': -1.9375907, ' right': -2.433179, 'left': -6.808945}
{' Left': -0.85976833, ' left': -1.2239861, ' Right': -1.6265893, ' right': -2.4858346, 'left': -6.8349705}
{' Left': -1.0213879, ' left': -1.1002911, ' Right': -1.6317776, ' right': -2.2234523, 'left': -6.645624}
{' Left': -0.74239177, ' left': -1.1871912, ' Right': -1.9463809, ' right': -2.6140692, 'left': -6.7739334}
{' Left': -0.67386395, ' left': -1.1772571, ' Right': -2.1014228, ' right': -2.8659377, 'left': -6.5937223}
{' Left': -1.0910878, ' left': -1.1271063, ' Right': -1.6253306, ' right': -1.9720694, 'left': -6.591183}
{' left': -0.9100306, ' Left': -0.91524327, ' Right': -2.0939753, ' right': -2.6379588, 'left': -6.777505}
{' Left': -0.4511072, ' left': -1.0226442, ' Right': -6.523992, 'left': -6.930142, ' right': -7.620241}
{' left': -0.3980717, ' Left': -1.128178, 'left': -6.4467244, ' right': -6.5731277, ' Right': -6.653696}
{' left': -0.6218964, ' Left': -0.7791555, 'left': -6.53494, ' Right': -6.6402693, ' right': -7.0204782}
{' Left': -0.6422584, ' left': -0.757344, ' Right': -6.401339, 'left': -6.448015, ' right': -6.9578896}
{' left': -0.30073217, ' Left': -1.3620896, 'left': -6.069603, ' right': -7.8757534, ' Right': -8.124084}
{' left': -0.64130276, ' Left': -0.75595164, 'left': -6.301133, ' Right': -7.267348, 'Left': -7.656552}
{' left': -0.56644076, ' Left': -0.84613246, 'left': -6.498583, ' Right': -7.3227286, 'Left': -7.555099}
{' left': -0.4219871, ' Left': -1.0764958, 'left': -6.442451, ' Right': -7.3333616, ' right': -7.561867}
{' Left': -0.9170175, ' Right': -1.0773665, ' left': -1.833411, ' right': -2.3315816, 'right': -7.188109}
{' Right': -0.99178886, ' Left': -1.2829112, ' right': -1.7248572, ' left': -1.7711695, 'right': -6.767263}
{' Right': -1.0096579, ' Left': -1.2513074, ' left': -1.6908083, ' right': -1.8192147, 'right': -6.8739176}
{' Right': -1.0177286, ' Left': -1.338062, ' right': -1.6716459, ' left': -1.6878239, 'right': -6.7129335}
{' Right': -0.7443231, ' right': -1.5015423, ' Left': -1.787639, ' left': -2.0366662, 'right': -6.61938}
{' Right': -0.82206076, ' Left': -1.51563, ' right': -1.6354285, ' left': -1.9471446, 'right': -6.869628}
{' left': -1.0314656, ' Left': -1.0472852, ' Right': -1.7883759, ' right': -2.1012251, 'left': -6.992149}
{' Right': -0.8291331, ' right': -1.4825869, ' Left': -1.7223788, ' left': -1.8642721, 'right': -6.8100367}
{' Left': -0.4043903, ' left': -1.1845245, ' Right': -3.9962442, ' right': -5.194008, 'left': -6.323898}
{' Left': -0.5689524, ' left': -0.9894999, ' Right': -3.2048945, ' right': -3.9947639, 'left': -6.4855094}
{' Left': -0.6178959, ' left': -0.8096302, ' Right': -4.694283, ' right': -5.4423394, 'left': -6.4717393}
{' left': -0.6222984, ' Left': -0.80831647, ' Right': -4.7291727, ' right': -5.144307, 'left': -6.2215304}
{' Left': -0.35722914, ' left': -1.2176857, ' Right': -6.4845557, 'left': -6.5596786, ' "': -7.375606}
{' Left': -0.38748628, ' left': -1.1573379, ' Right': -5.7000694, 'left': -6.4891376, ' right': -6.745217}
{' Left': -0.69970477, ' left': -0.7173287, ' Right': -4.9366126, ' right': -5.2505393, 'left': -6.3660083}
{' Left': -0.6414568, ' left': -0.7850916, ' Right': -4.6307487, ' right': -5.245041, 'left': -6.435353}
{' Left': -0.5304089, ' Right': -1.203762, ' left': -2.461319, ' right': -3.745161, ' "': -7.199474}
{' Left': -0.6613772, ' Right': -1.0305656, ' left': -2.4282951, ' right': -3.326748, ' "': -6.9149494}
{' Left': -0.6369322, ' Right': -1.15493, ' left': -2.1637077, ' right': -3.2688766, ' "': -6.804218}
{' Right': -0.8252174, ' Left': -0.9159958, ' left': -2.3241568, ' right': -2.813077, ' "': -6.5197744}
{' Left': -0.5790234, ' Right': -1.3954773, ' left': -1.9002113, ' right': -3.2536566, ' "': -6.4841747}
{' Left': -0.34471726, ' Right': -1.9279939, ' left': -2.063763, ' right': -4.1064453, ' "': -7.1019096}
{' Left': -0.5237466, ' Right': -1.4525415, ' left': -2.002016, ' right': -3.3551884, ' "': -6.335998}
{' Left': -0.48815066, ' Right': -1.5155001, ' left': -1.9918795, ' right': -3.6101806, ' "': -6.7956147}
{' Left': -0.26623693, ' left': -1.5078483, ' Right': -4.7842383, ' right': -6.475526, 'left': -6.9489603}
{' Left': -0.22690013, ' left': -1.6906549, ' Right': -4.2778263, ' right': -6.108019, ' "': -6.7969933}
{' Left': -0.2663637, ' left': -1.5511822, ' Right': -4.1124134, ' right': -5.7581887, ' "': -6.9953923}
{' Left': -0.30957875, ' left': -1.4684055, ' Right': -3.5820336, ' right': -5.279526, ' "': -6.516366}
{' Left': -0.312985, ' left': -1.3348452, ' Right': -6.219311, ' "': -6.619204, 'left': -6.887315}
{' Left': -0.20275806, ' left': -1.7342883, ' Right': -5.516183, ' "': -7.0063996, 'left': -7.2522073}
{' Left': -0.2308258, ' left': -1.6250157, ' Right': -5.144533, ' right': -6.815319, ' "': -6.9373894}
{' Left': -0.27285218, ' left': -1.4843638, ' Right': -4.8757534, ' "': -6.5071683, ' right': -6.5135174}
{' Left': -0.7791114, ' Right': -0.8311153, ' left': -2.74076, ' right': -3.2473843, 'Right': -7.1889663}
{' Right': -0.7503949, ' Left': -0.88421625, ' left': -2.7779083, ' right': -2.994148, ' "': -7.0852375}
{' Right': -0.351871, ' Left': -1.5208659, ' right': -3.0106194, ' left': -3.6121895, 'Right': -7.1618905}
{' Left': -0.7891157, ' Right': -0.7911985, ' left': -2.8919065, ' right': -3.359829, ' "': -7.2389584}
{' Right': -0.4507697, ' Left': -1.660433, ' right': -2.1706545, ' left': -2.9077456, ' "': -6.4277267}
{' Right': -0.6458506, ' Left': -1.1173778, ' right': -2.6059124, ' left': -2.6257758, 'Right': -7.123737}
{' Left': -0.63557136, ' Right': -1.0952367, ' left': -2.392001, ' right': -3.1682367, ' "': -7.280882}
{' Right': -0.8051672, ' Left': -0.9857817, ' left': -2.3100557, ' right': -2.5495405, 'Right': -7.1522264}
{' Left': -0.365243, ' left': -1.3884115, ' Right': -3.1082354, ' right': -4.7180033, 'left': -6.6667123}
{' Left': -0.37043414, ' left': -1.3370537, ' Right': -3.3226032, ' right': -4.8194275, 'left': -6.678852}
{' Left': -0.4185366, ' left': -1.1448169, ' Right': -4.1112494, ' right': -5.3904967, 'left': -6.6472526}
{' Left': -0.24646495, ' left': -1.7130177, ' Right': -3.4786427, ' right': -5.4042673, 'left': -6.916803}
{' Left': -0.4216809, ' left': -1.111733, ' Right': -4.7174134, ' right': -6.032625, 'left': -6.3942757}
{' Left': -0.35977712, ' left': -1.2915817, ' Right': -3.9172246, ' right': -5.380848, 'left': -6.548721}
{' Left': -0.4580488, ' left': -1.1332922, ' Right': -3.4478636, ' right': -4.536931, 'left': -6.5924025}
{' Left': -0.40029517, ' left': -1.2326049, ' Right': -3.5488374, ' right': -4.9199653, 'left': -6.787414}
{' Right': -0.040618714, ' Left': -3.735113, ' right': -4.378341, 'Right': -6.603362, ' left': -6.749574}
{' Right': -0.13798761, ' Left': -2.2987332, ' right': -3.9754603, ' left': -5.0179143, 'Right': -6.528767}
{' Right': -0.07650502, ' Left': -3.2700186, ' right': -3.533822, ' left': -5.541858, 'Right': -6.5497956}
{' Right': -0.14871888, ' Left': -2.2210379, ' right': -3.9615276, ' left': -4.886197, 'Right': -6.529027}
{' Right': -0.030078596, ' right': -3.7160773, ' Left': -6.1989746, 'Right': -6.3086677, ' "': -7.191381}
{' Right': -0.037907526, ' right': -3.5912578, ' Left': -5.0947022, 'Right': -6.344617, ' "': -7.3065877}
{' Right': -0.057529986, ' right': -3.6781616, ' Left': -3.7279801, ' left': -6.195173, ' "': -6.2358985}
{' Right': -0.048230853, ' Left': -3.6961362, ' right': -4.043373, ' left': -6.341748, 'Right': -6.622613}
{' Left': -0.067116484, ' left': -2.762366, 'Left': -6.8066983, 'left': -7.8590264, ' "': -8.445633}
{' Left': -0.063521944, ' left': -2.830339, 'Left': -6.547483, ' "': -7.41924, 'left': -7.6810675}
{' Left': -0.10536238, ' left': -2.328852, 'Left': -6.560274, 'left': -7.290535, ' "': -7.7001}
{' Left': -0.07158798, ' left': -2.710586, 'Left': -6.47701, 'left': -7.5904584, ' "': -7.635867}
{' Left': -0.12655759, ' left': -2.16624, 'Left': -6.38416, ' "': -6.3960385, 'left': -7.0563517}
{' Left': -0.10726877, ' left': -2.3221984, 'Left': -6.298978, ' "': -6.943759, 'left': -7.125509}
{' Left': -0.10375373, ' left': -2.3506162, 'Left': -6.4957867, ' "': -6.86703, 'left': -7.3856177}
{' Left': -0.08171789, ' left': -2.5859559, 'Left': -6.5077467, ' "': -6.8821473, 'left': -7.463769}
{' Right': -0.10927774, ' Left': -2.406889, ' right': -4.7607346, ' left': -5.8326945, 'Right': -6.767517}
{' Right': -0.056797273, ' Left': -3.2507212, ' right': -4.348234, ' left': -6.4375167, 'Right': -6.8458385}
{' Right': -0.050650753, ' Left': -3.3794317, ' right': -4.3905325, ' left': -6.503003, 'Right': -7.0156713}
{' Right': -0.040436476, ' Left': -3.6475298, ' right': -4.505738, 'Right': -6.8509164, ' left': -6.923821}
{' Right': -0.027472265, ' Left': -4.38242, ' right': -4.5214067, 'Right': -6.379898, ' "': -6.8274674}
{' Right': -0.040953916, ' Left': -3.6441107, ' right': -4.5401454, 'Right': -6.5780215, ' left': -6.795198}
{' Right': -0.14975859, ' Left': -2.1578877, ' right': -4.1637526, ' left': -5.1873126, 'Right': -6.9033003}
{' Right': -0.04743376, ' Left': -3.5352688, ' right': -4.28323, ' left': -6.544727, 'Right': -6.9323955}
{' Left': -0.038609065, ' left': -3.3241084, 'Left': -6.7537975, ' "': -8.036503, 'left': -8.153173}
{' Left': -0.042900555, ' left': -3.2290864, 'Left': -6.628885, ' "': -7.3811665, 'left': -7.9642425}
{' Left': -0.045145895, ' left': -3.165446, 'Left': -6.6803994, 'left': -7.9253373, ' "': -8.298817}
{' Left': -0.038447574, ' left': -3.3262548, 'Left': -6.7292337, 'left': -8.135214, ' "': -8.431603}
{' Left': -0.044242997, ' left': -3.1912496, 'Left': -6.683874, ' "': -7.4950233, 'left': -8.076048}
{' Left': -0.0464796, ' left': -3.1405537, 'Left': -6.5408983, 'left': -7.968414, ' "': -8.054332}
{' Left': -0.05427365, ' left': -2.9871309, 'Left': -6.6973147, ' "': -7.3623157, 'left': -7.8648787}
{' Left': -0.057460416, ' left': -2.9269192, 'Left': -6.714059, ' "': -7.3734117, 'left': -7.9102316}
{' Right': -0.74306583, ' Left': -0.891904, ' left': -2.5322542, ' right': -3.4312963, ' "': -7.214716}
{' Right': -0.747844, ' Left': -0.85402036, ' left': -2.7107973, ' right': -3.4477627, ' "': -6.884286}
{' Left': -0.79749787, ' Right': -0.8360054, ' left': -2.4824727, ' right': -3.5100756, ' "': -7.0957823}
{' Right': -0.3906283, ' Left': -1.5305113, ' right': -2.9010959, ' left': -3.0136292, ' "': -6.9180284}
{' Right': -0.78448623, ' Left': -0.84858465, ' left': -2.548967, ' right': -3.3956978, ' "': -6.0320044}
{' Right': -0.7886892, ' Left': -0.80841875, ' left': -2.6655984, ' right': -3.609305, ' "': -6.3351116}
{' Right': -0.8311697, ' Left': -0.90186954, ' left': -2.2660358, ' right': -2.9997127, ' "': -5.7709656}
{' Right': -0.69661283, ' Left': -0.9344573, ' left': -2.645059, ' right': -3.3853657, ' "': -5.9509172}
{' Right': -0.24731146, ' right': -2.276488, ' Left': -2.5241458, ' left': -3.3942974, ' "': -6.7754846}
{' Right': -0.269015, ' Left': -2.031346, ' right': -2.677367, ' left': -3.4125886, ' "': -6.6101213}
{' Right': -0.18465954, ' right': -2.4563155, ' Left': -2.7877536, ' left': -3.9623482, ' "': -7.078635}
{' Left': -0.52236354, ' Right': -1.5086286, ' left': -1.8291624, ' right': -3.8283439, ' "': -6.477113}
{' Right': -0.118036956, ' right': -2.295962, ' Left': -5.2775846, ' left': -6.151606, ' "': -6.2451215}
{' Right': -0.0889032, ' right': -2.7240942, ' Left': -4.2965426, ' left': -5.812515, 'Right': -6.747272}
{' Right': -0.16628519, ' right': -2.1861615, ' Left': -3.5942085, ' left': -4.576485, ' "': -6.4907746}
{' Right': -0.17560416, ' Left': -2.5248492, ' right': -2.8304827, ' left': -4.0326524, ' "': -5.8746333}
{' Right': -0.55910987, ' Left': -1.0771096, ' left': -2.9449015, ' right': -3.4115057, 'Right': -7.2567506}
{' Right': -0.605553, ' Left': -0.9848102, ' left': -3.085934, ' right': -3.4095592, 'Right': -7.3535132}
{' Right': -0.6973805, ' Left': -0.7855515, ' left': -3.513348, ' right': -4.193545, 'Right': -7.649777}
{' Right': -0.49203396, ' Left': -1.1538799, ' left': -3.305144, ' right': -3.3698318, 'Right': -7.1507397}
{' Left': -0.7673534, ' Right': -0.8170456, ' left': -2.7349474, ' right': -3.766623, ' "': -5.5210915}
{' Left': -0.46418986, ' Right': -1.2997097, ' left': -2.512602, ' right': -4.208325, ' "': -6.8404965}
{' Right': -0.6378694, ' Left': -0.9552485, ' left': -2.9333787, ' right': -3.4711633, ' "': -6.94369}
{' Right': -0.6132731, ' Left': -1.0720705, ' left': -2.5973105, ' right': -3.2525249, ' "': -6.4759912}
{' Right': -0.04384111, ' right': -3.4023254, ' Left': -4.9904027, ' left': -6.9152565, 'Right': -6.9385395}
{' Right': -0.053543877, ' right': -3.401463, ' Left': -4.196358, ' left': -6.1595078, 'Right': -7.1604424}
{' Right': -0.10029119, ' right': -2.9522562, ' Left': -3.3899124, ' left': -4.8859644, 'Right': -6.96474}
{' Right': -0.08056153, ' right': -3.1455638, ' Left': -3.610587, ' left': -5.211945, 'Right': -6.901158}
{' Right': -0.086862884, ' right': -2.807928, ' Left': -4.228916, ' left': -5.5267105, ' "': -5.815695}
{' Right': -0.05609665, ' right': -3.0085404, ' Left': -5.9962378, 'Right': -6.71671, ' "': -7.3363123}
{' Right': -0.07318761, ' right': -2.8411927, ' Left': -4.8543763, ' left': -6.386109, ' "': -6.6800523}
{' Right': -0.09387166, ' right': -3.143184, ' Left': -3.2805514, ' left': -4.983997, ' "': -7.025716}
{' Right': -0.076105654, ' right': -2.6660924, 'Right': -6.0838184, 'right': -7.365777, ' "': -8.022451}
{' Right': -0.0804158, ' right': -2.6160622, 'Right': -6.270727, ' Left': -7.2086697, 'right': -7.327019}
{' Right': -0.07035717, ' right': -2.749667, 'Right': -6.1925564, 'right': -7.4448586, ' Left': -7.5351033}
{' Right': -0.097755395, ' right': -2.425993, 'Right': -5.9496202, 'right': -7.0176525, ' "': -7.4873943}
{' Right': -0.09485552, ' right': -2.458167, 'Right': -6.044278, ' "': -6.6865764, 'right': -7.1012797}
{' Right': -0.08024561, ' right': -2.6236205, 'Right': -6.0384455, ' "': -7.1832457, 'right': -7.2431765}
{' Right': -0.100786895, ' right': -2.405793, 'Right': -5.8587008, ' "': -6.6058474, 'right': -7.0122433}
{' Right': -0.10370381, ' right': -2.3609803, 'Right': -6.283946, ' "': -7.05342, 'right': -7.2204256}
{' Left': -0.13570985, ' left': -2.0845528, 'left': -6.8252335, 'Left': -6.9269695, ' "': -8.118913}
{' Left': -0.16355833, ' left': -1.9216397, 'left': -6.719093, ' Right': -6.7479906, 'Left': -6.817039}
{' Left': -0.15357779, ' left': -1.9805162, ' Right': -6.357797, 'left': -6.866354, 'Left': -6.9943767}
{' Left': -0.19652405, ' left': -1.7482591, 'left': -6.218988, 'Left': -6.6045375, ' "': -7.084299}
{' Left': -0.1910751, ' left': -1.7768506, 'left': -6.2891545, ' "': -6.5571084, 'Left': -6.5588098}
{' Left': -0.18923137, ' left': -1.7804502, 'left': -6.3628416, 'Left': -6.6453753, ' "': -7.281613}
{' Left': -0.22175592, ' left': -1.6326218, 'left': -6.523357, 'Left': -6.784033, ' "': -7.2629256}
{' Left': -0.13330951, ' left': -2.1057634, 'left': -6.76677, 'Left': -6.9057527, ' "': -7.1712728}
{' Right': -0.116538204, ' Left': -2.8695288, ' right': -3.1591902, ' left': -4.8500624, 'Right': -6.3756704}
{' Right': -0.08756438, ' Left': -3.1228518, ' right': -3.4300172, ' left': -5.4003544, 'Right': -6.48402}
{' Right': -0.18941057, ' Left': -2.0826278, ' right': -3.4426281, ' left': -4.33356, 'Right': -6.5243883}
{' Right': -0.14209531, ' Left': -2.2639978, ' right': -3.996551, ' left': -4.9938655, 'Right': -6.3332605}
{' Right': -0.06292725, ' right': -3.2532845, ' Left': -4.1809387, 'Right': -5.983846, ' left': -6.190458}
{' Right': -0.06576254, ' right': -3.383757, ' Left': -3.734822, ' left': -5.920394, 'Right': -6.3502493}
{' Right': -0.10920362, ' right': -3.0162756, ' Left': -3.0826492, ' left': -5.1440873, 'Right': -6.561235}
{' Right': -0.12088866, ' right': -2.9028025, ' Left': -3.0390556, ' left': -4.8575544, 'Right': -6.366925}
{' Left': -0.39542654, ' Right': -1.4696414, ' left': -2.5022857, ' right': -4.551312, 'left': -6.5990663}
{' Left': -0.16184406, ' left': -2.226196, ' Right': -3.3521361, ' right': -6.2803392, ' "': -6.4069624}
{' Left': -0.12524597, ' left': -2.4075277, ' Right': -3.74654, 'left': -6.657015, ' right': -6.8517303}
{' Left': -0.08590433, ' left': -2.5825663, ' Right': -5.615819, 'Left': -6.689937, 'left': -6.7185163}
{' Left': -0.16291532, ' left': -1.9674406, ' Right': -5.299725, 'left': -6.152154, ' "': -6.403018}
{' Left': -0.11866261, ' left': -2.3144538, ' Right': -4.7587914, 'left': -6.3813267, 'Left': -6.669712}
{' Left': -0.17093216, ' left': -2.1923897, ' Right': -3.258813, ' right': -5.9992576, ' "': -6.4125586}
{' Left': -0.15283951, ' left': -2.2514226, ' Right': -3.495468, ' "': -6.310968, ' right': -6.3170786}
{' Left': -0.9721292, ' Right': -1.0975871, ' left': -1.6926532, ' right': -2.288337, 'left': -7.1290927}
{' Left': -0.93582696, ' left': -1.0694102, ' Right': -1.8244817, ' right': -2.2982137, 'left': -6.727892}
{' Left': -0.87969357, ' left': -1.1906066, ' Right': -1.6557975, ' right': -2.4422965, 'left': -6.671176}
{' Left': -0.83526057, ' left': -1.3347361, ' Right': -1.5198748, ' right': -2.515074, 'left': -6.6274524}
{' Left': -0.63052446, ' left': -1.2271183, ' Right': -2.1091106, ' right': -2.9910018, 'left': -6.5694275}
{' Left': -0.5569998, ' left': -1.4380136, ' Right': -1.9189838, ' right': -3.2198567, 'left': -6.71827}
{' Left': -0.7087268, ' left': -1.3943957, ' Right': -1.6843396, ' right': -2.646843, 'left': -6.820072}
{' Left': -0.7569357, ' left': -1.0523365, ' Right': -2.1094577, ' right': -2.8351827, 'left': -7.0735416}
{' Left': -0.4732543, ' left': -0.9850418, ' Right': -6.5430593, 'left': -6.7449465, ' right': -7.578709}
{' Left': -0.63929117, ' left': -0.76332617, ' Right': -6.0131464, 'left': -6.4601717, ' right': -6.608386}
{' Left': -0.68289703, ' left': -0.71606964, ' Right': -6.0359073, 'left': -6.407846, ' right': -6.567347}
{' Left': -0.633205, ' left': -0.7684913, ' Right': -6.1371455, 'left': -6.591232, ' right': -6.7912016}
{' left': -0.59567857, ' Left': -0.812157, 'left': -6.371472, ' Right': -6.52214, ' right': -6.932394}
{' Left': -0.51499605, ' left': -0.9211298, 'left': -6.3205013, ' Right': -6.683859, 'Left': -7.513134}
{' Left': -0.6106614, ' left': -0.7915677, 'left': -6.652659, ' Right': -6.7318597, ' right': -7.543143}
{' left': -0.45021287, ' Left': -1.0290685, ' Right': -6.3645463, 'left': -6.4715104, ' right': -6.6034756}
{' Right': -0.9168039, ' Left': -1.0013435, ' left': -2.0128143, ' right': -2.3406034, 'right': -6.9813614}
{' Right': -0.8846127, ' Left': -1.4634814, ' right': -1.5935056, ' left': -1.9069228, 'right': -6.6836314}
{' Right': -0.89171374, ' Left': -1.3135353, ' right': -1.8122593, ' left': -1.8680761, 'right': -6.7778926}
{' Right': -0.96624464, ' Left': -1.3450651, ' right': -1.7002058, ' left': -1.7521448, 'right': -6.9091578}
{' Right': -0.5750866, ' right': -1.5745163, ' Left': -1.9612122, ' left': -2.4566364, 'right': -6.42608}
{' Right': -0.7151831, ' Left': -1.322996, ' right': -2.0156553, ' left': -2.2217672, 'right': -6.988227}
{' Left': -0.7920624, ' Right': -1.4304234, ' left': -1.4999539, ' right': -2.5014396, ' "': -7.1608253}
{' Right': -0.8407812, ' Left': -1.5443525, ' right': -1.6495124, ' left': -1.8289728, 'right': -6.962428}
{' Left': -0.34923923, ' left': -1.3695735, ' Right': -3.4989567, ' right': -4.8807425, 'left': -6.316198}
{' Left': -0.49462733, ' left': -1.1292804, ' Right': -3.074032, ' right': -4.0532665, 'left': -6.14443}
{' Left': -0.55246633, ' left': -0.90103817, ' Right': -4.522361, ' right': -5.378091, 'left': -6.2102456}
{' Left': -0.63072044, ' left': -0.82708585, ' Right': -4.0175095, ' right': -4.681111, 'left': -6.0853977}
{' Left': -0.33786488, ' left': -1.2671175, ' Right': -6.320008, 'left': -6.36731, ' "': -7.499996}
{' Left': -0.3339152, ' left': -1.2842574, ' Right': -5.6542463, 'left': -6.382638, ' right': -6.9351873}
{' Left': -0.45852336, ' left': -1.0528036, ' Right': -4.4664006, ' right': -5.313782, 'left': -6.5399895}
{' Left': -0.6102894, ' left': -0.80230796, ' Right': -5.4303384, ' right': -6.2368994, 'left': -6.4386873}
{' Left': -0.303833, ' Right': -1.682741, ' left': -2.739662, ' right': -4.6448975, 'Left': -7.38545}
{' Left': -0.3946321, ' Right': -1.4972473, ' left': -2.481899, ' right': -4.1191726, ' "': -6.8986673}
{' Left': -0.34040555, ' Right': -1.6528331, ' left': -2.4922514, ' right': -4.4481745, ' "': -6.8308535}
{' Left': -0.6565994, ' Right': -0.9767269, ' left': -2.6022897, ' right': -3.5882955, ' "': -6.7378044}
{' Left': -0.25744626, ' Right': -2.0656831, ' left': -2.419918, ' right': -4.800224, ' "': -6.410888}
{' Left': -0.24083558, ' Right': -2.2283022, ' left': -2.3442175, ' right': -4.7876115, 'Left': -7.302967}
{' Left': -0.3854769, ' Right': -1.6537893, ' left': -2.2334325, ' right': -4.0016, ' "': -6.5594134}
{' Left': -0.3429489, ' Right': -1.8511219, ' left': -2.1450634, ' right': -4.263054, ' "': -7.4181495}
{' Left': -0.23734607, ' left': -1.6387762, ' Right': -4.3320494, ' right': -6.2104387, 'left': -7.0143137}
{' Left': -0.21363658, ' left': -1.8600829, ' Right': -3.474632, ' right': -5.666477, ' "': -6.7636857}
{' Left': -0.1971724, ' left': -1.9263403, ' Right': -3.5704062, ' right': -5.7181435, ' "': -7.242752}
{' Left': -0.22003952, ' left': -1.7701533, ' Right': -3.7977085, ' right': -5.986202, ' "': -6.920742}
{' Left': -0.21361229, ' left': -1.7164637, ' Right': -4.751948, ' "': -6.4377117, ' right': -6.8576775}
{' Left': -0.1579811, ' left': -2.0390923, ' Right': -4.3796797, ' right': -6.7354264, ' "': -6.8421865}
{' Left': -0.15408601, ' left': -2.0304575, ' Right': -4.7447577, ' right': -6.922545, ' "': -7.283427}
{' Left': -0.25389794, ' left': -1.5980637, ' Right': -4.1067195, ' right': -5.9981256, ' "': -6.4270043}
{' Left': -0.7320658, ' Right': -0.8346163, ' left': -2.942227, ' right': -3.489865, 'Right': -7.3638253}
{' Right': -0.4186282, ' Left': -1.3320993, ' right': -3.0718818, ' left': -3.5180714, 'Right': -7.119104}
{' Right': -0.534251, ' Left': -1.065047, ' right': -3.374045, ' left': -3.4059262, 'Right': -7.2643323}
{' Right': -0.43541214, ' Left': -1.2387512, ' right': -3.385693, ' left': -3.5829873, 'Right': -7.3714547}
{' Right': -0.23428822, ' Left': -2.115985, ' right': -2.7454956, ' left': -3.8544965, 'Right': -6.720988}
{' Right': -0.34953895, ' Left': -1.5743943, ' right': -2.9273682, ' left': -3.4287586, 'Right': -7.08679}
{' Left': -0.7437163, ' Right': -0.83378893, ' left': -2.903083, ' right': -3.3993003, ' "': -7.3765645}
{' Right': -0.55179435, ' Left': -1.1334347, ' left': -2.9776728, ' right': -3.0129013, 'Right': -7.1069393}
{' Left': -0.24252434, ' left': -1.8346854, ' Right': -3.0421016, ' right': -5.1617804, 'left': -6.9974737}
{' Left': -0.22296697, ' left': -1.8076972, ' Right': -3.502912, ' right': -5.62293, 'left': -7.0992026}
{' Left': -0.23638974, ' left': -1.6912429, ' Right': -3.8526616, ' right': -5.8391266, 'left': -7.0467362}
{' Left': -0.17237225, ' left': -1.91777, ' Right': -4.760982, ' right': -6.9575033, 'Left': -7.0446024}
{' Left': -0.23668212, ' left': -1.6115848, ' Right': -4.859626, 'left': -6.8645906, ' right': -6.9648557}
{' Left': -0.186639, ' left': -1.9302856, ' Right': -3.8558834, ' right': -6.145249, 'left': -7.2091107}
{' Left': -0.32442763, ' left': -1.4986295, ' Right': -3.1653013, ' right': -4.6843, 'left': -7.0594683}
