{' Up': -0.80227643, ' Down': -1.2832868, ' down': -1.5959585, ' up': -2.6505296, ' "': -7.713283}
{' Down': -0.46088442, ' Up': -1.1185459, ' down': -3.2903767, ' up': -5.5014653, 'Down': -7.112358}
{' Down': -0.6634479, ' Up': -0.8332687, ' down': -3.1857219, ' up': -4.8577113, 'Down': -7.2646365}
{' Down': -0.22887224, ' down': -1.5954417, 'Down': -6.700443, 'down': -7.7636447, ' DOWN': -9.72065}
{' Down': -0.03799569, ' down': -3.7289863, ' Up': -4.351529, 'Down': -8.363479, ' up': -9.585668}
{' Down': -0.36308458, ' Up': -1.2279891, ' down': -4.6031013, ' up': -6.63154, 'Down': -8.768177}
{' Down': -0.23079622, ' Up': -1.704818, ' down': -3.8175058, ' up': -6.217429, 'Down': -8.492766}
{' Down': -0.07684121, ' down': -2.6175783, ' Up': -7.4614043, 'Down': -8.239709, 'down': -9.133639}
{' down': -1.1008534, ' Up': -1.2236029, ' Down': -1.2951093, ' up': -2.343102, 'Down': -6.407892}
{' down': -0.9712609, ' Down': -1.061778, ' Up': -1.6628999, ' up': -2.505025, 'Down': -6.0801797}
{' Up': -0.8739478, ' up': -1.3910549, ' down': -1.7250603, ' Down': -1.8852469, 'Down': -6.6449833}
{' down': -0.62916034, ' Down': -0.82664335, ' Up': -4.00293, ' up': -5.2352715, 'Down': -5.7238727}
{' Down': -0.15757568, ' down': -2.1474552, ' Up': -3.6298065, 'Down': -6.8326316, ' up': -6.9078403}
{' Down': -0.16925496, ' down': -1.8671328, 'Down': -7.1219583, 'down': -8.128698, ' DOWN': -10.29969}
{' Down': -0.5021073, ' down': -0.9312684, 'Down': -7.9348955, 'down': -8.325425, ' Up': -10.094567}
{' Down': -0.19574584, ' down': -1.735947, ' Up': -6.9473915, 'Down': -8.018908, 'down': -8.9836235}
{' Down': -0.03422671, ' down': -3.9449492, ' Up': -4.3202124, 'Down': -7.2000327, 'down': -8.944634}
{' Down': -0.04427508, ' down': -3.1560874, 'Down': -7.470567, 'down': -8.967242, ' DOWN': -10.926946}
{' Down': -0.12523697, ' down': -2.1497846, 'Down': -7.1824436, 'down': -8.025684, ' Up': -9.691036}
{' Down': -0.06429121, ' down': -2.7971647, 'Down': -7.0967903, 'down': -8.396608, ' Up': -8.611118}
{' Down': -0.17454873, ' down': -2.4429677, ' Up': -2.6690478, 'Down': -6.4756255, ' up': -6.581903}
{' Down': -0.18954846, ' down': -1.7669047, 'Down': -6.763536, 'down': -7.574009, ' DOWN': -9.01553}
{' Down': -0.47874925, ' down': -0.97248733, 'Down': -6.818743, 'down': -6.8801165, ' DOWN': -8.9523535}
{' Down': -0.12410322, ' down': -2.169525, 'Down': -6.6487, 'down': -7.270377, ' Up': -8.035809}
{' Down': -0.32154924, ' down': -1.9942482, ' Up': -2.0276077, ' up': -5.0530305, 'Down': -7.5070515}
{' Down': -0.23918441, ' down': -1.5508642, 'Down': -7.642537, 'down': -8.843408, ' DOWN': -10.31059}
{' Down': -0.6656744, ' down': -0.7233069, 'Down': -7.6339607, 'down': -8.089455, ' DOWN': -9.476183}
{' Down': -0.4712866, ' down': -0.9853648, ' Up': -6.7567186, 'Down': -7.2368402, 'down': -7.9658217}
{' Down': -0.06826336, ' down': -2.8877556, ' Up': -4.9055037, 'Down': -6.1256194, 'down': -7.669116}
{' Down': -0.15148665, ' down': -1.9779847, 'Down': -6.4237547, 'down': -7.6892843, ' DOWN': -8.909038}
{' Down': -0.21579078, ' down': -1.6537619, 'Down': -6.3273053, 'down': -7.112933, ' DOWN': -8.924645}
{' Down': -0.051096346, ' down': -3.0502245, 'Down': -6.3152275, 'down': -7.9181213, ' Up': -8.691141}
{' Down': -0.07937648, ' Up': -2.6724951, ' down': -5.0311966, 'Down': -7.773706, ' up': -8.717524}
{' Down': -0.010050467, ' down': -4.648709, 'Down': -7.9475064, 'down': -9.803241, ' DOWN': -11.091066}
{' Down': -0.11809297, ' down': -2.2043526, 'Down': -7.391347, 'down': -7.835437, ' DOWN': -10.495888}
{' Down': -0.023621874, ' down': -3.792371, 'Down': -7.5029135, 'down': -8.757194, ' Up': -9.648456}
{' Down': -0.72752, ' Up': -1.254656, ' down': -1.654686, ' up': -3.4727268, 'Down': -5.335415}
{' Down': -0.5790998, ' down': -0.8476564, 'Down': -5.1107883, 'down': -5.321026, ' DOWN': -9.250074}
{' down': -0.2822683, ' Down': -1.4610137, 'down': -4.6659408, 'Down': -5.691642, ' Up': -7.7276793}
{' Down': -0.76606464, ' down': -1.0406351, ' Up': -2.072482, ' up': -3.1553104, 'down': -5.036652}
{' Down': -0.12398359, ' Up': -2.233904, ' down': -4.7801743, ' up': -6.9981346, 'Down': -8.922939}
{' Up': -0.03165542, ' Down': -3.79815, ' up': -4.823037, ' down': -7.5005746, ' UP': -9.282626}
{' Down': -0.094350494, ' Up': -3.0937762, ' down': -3.1349618, ' up': -7.0322833, 'Down': -8.613951}
{' Up': -0.01615489, ' up': -4.400726, ' Down': -5.65767, ' UP': -8.92328, ' down': -9.266807}
{' Down': -0.2084223, ' Up': -1.7753016, ' down': -4.1719346, ' up': -6.0044484, 'Down': -7.423779}
{' Down': -0.5399062, ' Up': -0.92832446, ' down': -4.0841413, ' up': -5.421347, 'Down': -7.6773453}
{' Down': -0.21404786, ' Up': -1.8522944, ' down': -3.4478126, ' up': -5.834964, 'Down': -7.2424045}
{' Up': -0.32403252, ' Down': -1.3508251, ' up': -4.4619474, ' down': -5.181498, 'Down': -8.444031}
{' Up': -0.01918515, ' Down': -4.2324076, ' up': -5.534426, ' down': -8.324778, 'Up': -8.728949}
{' Down': -0.028699165, ' down': -3.6215086, 'Down': -7.088247, ' Up': -7.907603, 'down': -8.314677}
{' Down': -0.16899209, ' Up': -2.1898813, ' down': -3.2126532, ' up': -6.298661, 'Down': -7.099736}
{' Down': -0.3067616, ' Up': -1.4052247, ' down': -4.2155843, ' up': -5.8306084, 'Down': -7.3043346}
{' Down': -0.3094717, ' Up': -1.6445088, ' down': -2.8410208, ' up': -4.2639947, 'Down': -7.9277596}
{' Up': -0.22579296, ' Down': -2.2493868, ' up': -2.60283, ' down': -3.8107958, ' UP': -8.723603}
{' Down': -0.5494869, ' down': -1.4062717, ' Up': -1.9367759, ' up': -3.4333293, 'Down': -7.4920945}
{' Up': -0.22074278, ' up': -2.2583327, ' Down': -2.5262752, ' down': -4.3394523, ' UP': -8.278657}
{' Up': -0.026970085, ' Down': -3.9195557, ' up': -5.135124, ' down': -7.5455985, 'Up': -8.4745}
{' Down': -0.047941133, ' down': -3.10914, 'Down': -6.6783333, ' Up': -7.7150645, 'down': -7.908821}
{' Down': -0.171954, ' Up': -2.0857532, ' down': -3.4762197, ' up': -6.556755, 'Down': -7.114499}
{' Down': -0.5696638, ' Up': -0.86988246, ' down': -4.6055317, ' up': -5.4658732, 'Down': -7.5281115}
{' Up': -0.5036446, ' Down': -0.93448037, ' up': -6.5496325, ' down': -6.6864295, 'Down': -9.23086}
{' Up': -0.5747805, ' Down': -0.8374321, ' down': -5.959948, ' up': -6.510194, 'Down': -9.016299}
{' Down': -0.07895281, ' Up': -2.65724, ' down': -5.259697, 'Down': -8.357231, ' up': -8.521885}
{' Up': -0.09197473, ' Down': -2.4560854, ' up': -6.3773637, ' down': -8.353508, ' UP': -9.401114}
{' Up': -0.35503516, ' Down': -1.3612244, ' up': -3.7849956, ' down': -4.1144876, 'Down': -6.440976}
{' Down': -0.08510841, ' down': -2.705214, ' Up': -4.8401146, 'Down': -5.283362, 'down': -6.783736}
{' Down': -0.53180885, ' Up': -1.1754092, ' down': -2.5242462, ' up': -4.034479, 'Down': -5.617567}
{' Down': -0.67962086, ' Up': -0.8249686, ' down': -3.4848077, ' up': -3.9228573, 'Down': -5.9669566}
{' Down': -0.23922355, ' down': -1.5515785, 'Down': -7.9155307, 'down': -8.2602825, ' DOWN': -8.873132}
{' Up': -0.027003152, ' up': -3.6715724, ' UP': -7.0075874, ' Down': -8.619188, 'Up': -9.399069}
{' Down': -0.52834964, ' down': -0.9753233, ' Up': -3.7189906, ' up': -4.9111695, ' DOWN': -7.1122017}
{' Up': -0.16978393, ' up': -2.025449, ' Down': -4.507217, ' down': -4.8882875, ' UP': -5.2154493}
{' down': -0.49538642, ' Down': -0.946585, 'down': -6.415556, 'Down': -7.0275497, ' DOWN': -10.309034}
{' Up': -0.036946435, ' up': -3.338603, ' UP': -7.8517194, 'Up': -8.175737, ' Down': -9.976961}
{' down': -0.68640727, ' Down': -0.7070639, 'down': -6.302637, 'Down': -6.774662, ' DOWN': -8.163845}
{' Up': -0.2400871, ' up': -1.5616698, ' UP': -6.353591, 'Up': -7.414715, ' Down': -7.433595}
{' down': -0.6739414, ' Down': -0.7206141, 'down': -6.0683026, 'Down': -6.7584534, ' DOWN': -8.881035}
{' Up': -0.015921826, ' up': -4.225898, ' UP': -7.1684713, 'Up': -8.24158, ' ': -9.894061}
{' Down': -0.5847628, ' down': -0.84530866, ' Up': -5.2062836, 'down': -6.056303, 'Down': -6.3981338}
{' Up': -0.24495798, ' up': -1.5963335, ' UP': -5.1058474, ' down': -5.524394, ' Down': -5.7069325}
{' down': -0.4152444, ' Down': -1.0849737, 'down': -7.1001062, 'Down': -7.4300833, ' DOWN': -8.546109}
{' Up': -0.23940828, ' up': -1.5600394, ' UP': -6.3197207, ' Down': -7.9832034, ' down': -8.123271}
{' down': -0.3667176, ' Down': -1.2207197, ' up': -5.3072696, ' Up': -5.5048685, 'down': -6.632203}
{' Up': -0.590899, ' up': -0.82739305, ' UP': -5.399718, ' down': -5.874592, ' Down': -6.8440347}
{' Down': -0.46105903, ' down': -1.0088857, 'Down': -6.093783, 'down': -6.158147, ' DOWN': -8.896501}
{' Up': -0.027735306, ' up': -3.6526666, ' UP': -7.3175683, 'Up': -7.396357, 'up': -9.5520115}
{' Down': -0.36255583, ' down': -1.2232469, 'down': -5.572732, 'Down': -5.8115873, ' DOWN': -6.4779253}
{' Up': -0.15142235, ' up': -2.0327926, ' UP': -5.4014945, ' Down': -6.214552, ' down': -6.6306095}
{' Down': -0.16816075, ' down': -1.8837005, 'down': -6.860417, 'Down': -7.1343293, ' Up': -7.9979367}
{' Up': -0.014608806, ' up': -4.3012257, ' UP': -7.2077236, 'Up': -8.963144, ' Down': -9.837375}
{' Down': -0.75874686, ' Up': -1.1294229, ' down': -1.8546199, ' up': -3.1464574, ' e': -5.562059}
{' Up': -0.08722904, ' up': -2.573561, ' UP': -5.60903, ' Down': -6.0680733, ' down': -6.9104633}
{' down': -0.13490838, ' Down': -2.430473, 'down': -3.4986548, 'Down': -5.0490947, ' ': -7.1226172}
{' Up': -0.54925984, ' up': -0.90134305, 'Up': -4.952, 'up': -5.145472, ' UP': -6.3753114}
{' down': -0.18847653, ' Down': -2.2160912, 'down': -3.6068306, ' up': -4.007635, 'Down': -5.0941296}
{' up': -0.41320658, ' Up': -1.2173009, ' down': -3.9218774, 'up': -4.8164067, 'Up': -5.0895677}
{' Down': -0.21456513, ' down': -1.6640567, ' Up': -5.7497745, 'Down': -8.461587, ' up': -8.723601}
{' Down': -0.12359011, ' down': -2.2060256, ' Up': -5.1963553, ' up': -8.346143, 'Down': -8.491335}
{' Up': -0.095953375, ' up': -2.593096, ' Down': -4.2842336, ' down': -5.878149, ' UP': -9.900286}
{' Down': -0.43310466, ' down': -1.0466548, 'down': -8.424632, 'Down': -8.789773, ' DOWN': -10.857432}
{' Down': -0.06730799, ' down': -2.7666562, 'Down': -6.8388414, 'down': -7.517276, ' Up': -7.529483}
{' Down': -0.05292008, ' Up': -3.574551, ' down': -3.7993016, 'Down': -7.279059, 'down': -8.544234}
{' Up': -0.20995648, ' Down': -1.7590898, ' up': -4.6159587, ' down': -4.9971786, 'Down': -8.817706}
{' Down': -0.07910943, ' down': -2.5907195, 'Down': -7.393102, 'down': -7.7100806, ' DOWN': -10.690261}
{' Down': -0.036402874, ' down': -3.3950565, 'Down': -6.4649935, 'down': -7.5335493, ' DOWN': -9.341311}
{' Down': -0.02411089, ' down': -4.060877, ' Up': -5.3777046, 'Down': -6.5733657, 'down': -7.9207993}
{' Up': -0.5786898, ' Down': -0.89403754, ' down': -3.7994673, ' up': -5.0912704, 'Down': -7.320753}
{' Down': -0.10023519, ' down': -2.3729403, 'down': -6.8719997, 'Down': -6.880472, ' DOWN': -9.786816}
{' Down': -0.19853592, ' down': -1.7215098, 'Down': -7.5684466, ' Up': -7.8807087, 'down': -8.047461}
{' Down': -0.64484507, ' Up': -0.8383665, ' down': -3.328969, ' up': -5.0277085, 'Down': -8.304851}
{' Up': -0.16739385, ' up': -2.4701855, ' Down': -2.9656973, ' down': -4.035262, ' UP': -9.044961}
{' Down': -0.46311164, ' down': -0.99526566, 'down': -7.5329146, 'Down': -7.7288203, ' DOWN': -10.108573}
{' Down': -0.054967053, ' down': -2.9900196, 'Down': -6.0896363, 'down': -7.24083, ' DOWN': -8.587608}
{' Down': -0.022927973, ' down': -3.979213, 'Down': -6.285431, ' Up': -6.612809, 'down': -7.743488}
{' Down': -0.39638883, ' Up': -1.1827716, ' down': -4.090841, 'Down': -6.440746, ' up': -6.6289344}
{' Down': -0.065480776, ' down': -2.8059592, 'Down': -6.2070265, 'down': -7.1591673, ' DOWN': -9.094144}
{' Down': -0.024611756, ' down': -3.8095143, ' Up': -6.4477854, 'Down': -7.9499655, 'down': -8.666768}
{' Down': -0.012598113, ' down': -4.778137, ' Up': -5.5811787, 'Down': -8.369228, 'down': -9.493608}
{' Up': -0.026491899, ' Down': -3.7752843, ' up': -5.8582597, ' down': -8.344664, 'Up': -9.879424}
{' Down': -0.021183632, ' down': -3.881741, 'Down': -8.485232, 'down': -9.1578455, ' "': -11.001577}
{' Down': -0.08911, ' down': -2.518021, 'Down': -5.651804, 'down': -6.91816, ' DOWN': -9.540129}
{' Up': -0.29544842, ' Down': -1.4301318, ' down': -4.8372726, ' up': -5.14023, 'Down': -6.7894783}
{' Up': -0.2235056, ' Down': -1.9761283, ' up': -3.330664, ' down': -3.7867131, 'Up': -6.6154766}
{' Down': -0.3135899, ' down': -1.3367851, 'Down': -5.706349, 'down': -5.796889, ' DOWN': -9.696483}
{' Down': -0.08635189, ' down': -2.507937, ' Up': -6.910755, 'Down': -8.447543, 'down': -9.717282}
{' Down': -0.052967526, ' down': -3.1081564, ' Up': -5.033192, 'Down': -8.29113, ' up': -9.48394}
{' Down': -0.17893434, ' down': -2.5120413, ' Up': -2.5184767, ' up': -6.2870655, 'Down': -8.478426}
{' Down': -0.14480452, ' down': -2.006083, 'Down': -8.64163, 'down': -9.551834, ' Up': -10.218708}
{' Down': -0.10296071, ' down': -2.450138, ' Up': -4.543213, 'Down': -7.5354004, 'down': -8.48532}
{' Down': -0.15528098, ' Up': -2.2730675, ' down': -3.2516875, ' up': -6.549854, 'Down': -7.561632}
{' Down': -0.6049914, ' Up': -0.8835501, ' down': -3.466682, ' up': -4.7257323, 'Down': -8.050702}
{' Down': -0.12510173, ' down': -2.1491723, 'Down': -7.703554, ' Up': -8.082417, 'down': -8.378889}
{' Down': -0.18059877, ' down': -1.8167663, ' Up': -6.4626303, 'Down': -7.3036394, 'down': -7.978757}
{' Up': -0.6571843, ' Down': -0.79883933, ' down': -3.667518, ' up': -5.187219, 'Down': -7.8644476}
{' Up': -0.6197993, ' Down': -0.8837172, ' down': -3.2970853, ' up': -4.506207, 'Down': -8.014107}
{' Down': -0.18158062, ' down': -1.8022013, 'Down': -7.2796383, 'down': -7.9806066, ' Up': -10.297018}
{' Down': -0.28286833, ' down': -1.4242811, ' Up': -5.32574, 'Down': -7.852025, ' up': -8.222812}
{' Down': -0.17600502, ' down': -2.14918, ' Up': -3.1600826, ' up': -6.2553663, 'Down': -7.964598}
{' Down': -0.8943037, ' Up': -1.2233214, ' down': -1.415727, ' up': -2.9271595, 'Down': -8.203103}
{' down': -0.69241685, ' Down': -0.6954, 'Down': -8.144891, 'down': -8.28959, ' Up': -8.733896}
{' Down': -0.14176084, ' down': -2.045148, ' Up': -6.6697946, 'Down': -6.821221, 'down': -7.8825655}
{' Down': -0.4298275, ' Up': -1.1722515, ' down': -3.3505387, ' up': -5.6428113, 'Down': -7.2132034}
{' Down': -0.5785303, ' Up': -0.92908573, ' down': -3.291253, ' up': -5.097028, 'Down': -7.341264}
{' Down': -0.19888432, ' down': -1.7221903, 'Down': -6.7608747, 'down': -7.7526617, ' DOWN': -9.896575}
{' Down': -0.013146399, ' down': -4.4395685, ' Up': -6.8726487, 'Down': -8.625815, 'down': -10.385249}
{' Down': -0.03201801, ' Up': -3.7195349, ' down': -4.96466, 'Down': -8.560449, ' up': -9.808993}
{' Down': -0.034639746, ' Up': -3.7401984, ' down': -4.607416, 'Down': -8.640587, ' up': -9.280397}
{' Down': -0.029238915, ' down': -3.5630124, 'Down': -8.532933, ' Up': -8.585635, 'down': -9.692052}
{' Down': -0.6425538, ' down': -0.9916596, ' Up': -2.5017915, ' up': -4.0817914, 'Down': -5.89118}
{' Down': -0.5196928, ' down': -1.188949, ' Up': -2.5511775, ' up': -4.0140257, 'Down': -5.7590976}
{' Down': -0.9440941, ' Up': -1.3083749, ' down': -1.4158216, ' up': -2.37843, 'Down': -5.8809934}
{' down': -0.654587, ' Down': -0.77849984, ' Up': -4.418974, ' up': -5.5954967, 'Down': -5.8066344}
{' Down': -0.14671795, ' Up': -2.3373058, ' down': -3.2616835, ' up': -6.87851, 'Down': -7.80613}
{' Down': -0.07296171, ' down': -2.6592386, 'Down': -8.190854, 'down': -9.605859, ' DOWN': -11.033275}
{' Down': -0.30346817, ' down': -1.3425668, 'Down': -8.045295, 'down': -8.684867, ' Up': -10.156537}
{' Down': -0.113402255, ' down': -2.2391574, 'Down': -8.065048, ' Up': -8.4080105, 'down': -9.400742}
{' Down': -0.05636661, ' Up': -3.2246406, ' down': -4.260243, 'Down': -7.4441075, ' up': -8.514779}
{' Down': -0.037580274, ' down': -3.3195624, 'Down': -7.468204, 'down': -8.949296, ' DOWN': -11.373299}
{' Down': -0.15995008, ' down': -1.9199655, 'Down': -7.28988, 'down': -7.682164, ' DOWN': -10.505127}
{' Down': -0.04240922, ' down': -3.2168305, ' Up': -7.397483, 'Down': -7.4154425, 'down': -8.609769}
{' Down': -0.07158395, ' down': -3.2215357, ' Up': -3.6022446, 'Down': -6.655965, 'down': -8.077781}
{' Down': -0.1302936, ' down': -2.1156852, 'Down': -6.8006554, 'down': -7.7872524, ' DOWN': -9.565487}
{' Down': -0.22761324, ' down': -1.6040379, 'Down': -6.499122, 'down': -7.1063967, ' DOWN': -9.184739}
{' Down': -0.05773197, ' down': -2.9173703, 'Down': -6.6595955, 'down': -7.81691, ' Up': -8.611601}
{' Down': -0.4313554, ' Up': -1.5148325, ' down': -2.1286707, ' up': -4.527764, 'Down': -7.687472}
{' Down': -0.25715026, ' down': -1.4866196, 'Down': -7.734475, 'down': -8.8696375, ' DOWN': -10.518924}
{' down': -0.6780125, ' Down': -0.7103974, 'Down': -7.678281, 'down': -8.112567, ' Up': -9.342467}
{' Down': -0.4020848, ' down': -1.1135793, ' Up': -6.523459, 'Down': -7.3394094, 'down': -8.21948}
{' Down': -0.1270696, ' down': -2.4469855, ' Up': -3.5930672, 'Down': -5.6799846, 'down': -6.905708}
{' Down': -0.12365345, ' down': -2.1673431, 'Down': -6.6030455, 'down': -7.9618044, ' DOWN': -9.044315}
{' Down': -0.23402025, ' down': -1.5819874, 'Down': -6.189478, 'down': -7.0508194, ' DOWN': -9.00297}
{' Down': -0.05231689, ' down': -3.029976, 'Down': -6.3244762, 'down': -7.7225623, ' Up': -8.417465}
{' Down': -0.1253546, ' Up': -2.2074888, ' down': -4.9466624, 'Down': -7.8802567, ' up': -8.322806}
{' Down': -0.012561113, ' down': -4.4187174, 'Down': -7.9358435, 'down': -9.824109, ' DOWN': -10.901504}
{' Down': -0.11342108, ' down': -2.241465, 'Down': -7.485899, 'down': -8.072279, ' DOWN': -10.368446}
{' Down': -0.03109365, ' down': -3.512489, 'Down': -7.5836234, 'down': -8.809884, ' Up': -9.20363}
{' Down': -0.6802969, ' Up': -1.2302064, ' down': -1.810706, ' up': -3.585452, 'Down': -5.1969557}
{' Down': -0.5871253, ' down': -0.836759, 'Down': -5.0863338, 'down': -5.3906226, ' DOWN': -9.435731}
{' down': -0.29888338, ' Down': -1.4081839, 'down': -4.670976, 'Down': -5.641502, ' Up': -7.9856853}
{' Down': -0.72645485, ' down': -0.8651916, ' Up': -2.8061247, ' up': -3.8062184, 'down': -5.031892}
{' Down': -0.07258089, ' Up': -2.7992272, ' down': -4.773255, ' up': -7.5446515, 'Down': -8.9917965}
{' Up': -0.03087337, ' Down': -3.7787812, ' up': -4.9740896, ' down': -7.5714974, ' UP': -9.484734}
{' Down': -0.061430704, ' down': -2.9730685, ' Up': -4.8273892, ' up': -8.678461, 'Down': -8.793144}
{' Up': -0.016774036, ' up': -4.579264, ' Down': -5.1039624, ' down': -8.861704, ' UP': -8.994536}
{' Down': -0.19221582, ' Up': -1.8220986, ' down': -4.537558, ' up': -6.27554, 'Down': -7.6889043}
{' Down': -0.2051751, ' Up': -1.8613583, ' down': -3.6062026, ' up': -6.1715975, 'Down': -7.5220995}
{' Down': -0.26489028, ' Up': -1.6096452, ' down': -3.5609586, ' up': -5.6726522, 'Down': -7.460288}
{' Up': -0.60103446, ' Down': -0.82693315, ' up': -4.941328, ' down': -5.0121403, 'Down': -8.133001}
{' Up': -0.09835768, ' Down': -2.4275966, ' up': -5.517513, ' down': -6.8385367, 'Up': -9.110287}
{' Down': -0.031998195, ' down': -3.8570924, ' Up': -4.6644197, 'Down': -7.39761, 'down': -8.833456}
{' Down': -0.23447432, ' Up': -1.7054693, ' down': -3.725826, ' up': -6.1139393, 'Down': -7.3932853}
{' Up': -0.2185674, ' Down': -1.6810232, ' up': -5.001465, ' down': -5.857857, ' UP': -8.683374}
{' Down': -0.25772947, ' Up': -2.1133566, ' down': -2.393693, ' up': -4.2384305, 'Down': -7.8945355}
{' Up': -0.28253326, ' up': -2.183912, ' Down': -2.296802, ' down': -3.4262767, ' UP': -8.85826}
{' Down': -0.5600803, ' down': -1.4117305, ' Up': -1.905339, ' up': -3.3413398, 'Down': -7.75779}
{' Up': -0.50303376, ' Down': -1.474475, ' up': -2.1337807, ' down': -3.0491152, ' UP': -8.67452}
{' Up': -0.14187644, ' Down': -2.0859663, ' up': -5.3211193, ' down': -5.8985996, 'Up': -8.679428}
{' Down': -0.06154835, ' down': -2.8859975, ' Up': -6.0856752, 'Down': -6.7942843, 'down': -7.9160266}
{' Down': -0.2970185, ' Up': -1.4882512, ' down': -3.5909007, ' up': -5.986225, 'Down': -7.3761253}
{' Down': -0.49200013, ' Up': -0.98051965, ' down': -4.6584005, ' up': -5.788192, 'Down': -7.544963}
{' Up': -0.40374747, ' Down': -1.1106013, ' up': -6.4939322, ' down': -6.7588096, 'Down': -9.632019}
{' Down': -0.098526515, ' Up': -2.44311, ' down': -5.05918, ' up': -8.213762, 'Down': -8.45656}
{' Down': -0.38433316, ' Up': -1.1526036, ' down': -6.0259585, ' up': -7.57621, 'Down': -8.720259}
{' Up': -0.46701714, ' Down': -0.99215406, ' up': -6.716178, ' down': -7.0094557, 'Down': -9.362905}
{' Up': -0.35485944, ' Down': -1.3058482, ' up': -4.2249117, ' down': -4.6007586, 'Down': -6.4822736}
{' Down': -0.07255986, ' down': -2.9695172, ' Up': -4.435984, 'Down': -5.2424664, 'down': -7.048254}
{' Up': -0.51228845, ' Down': -1.1240286, ' down': -3.2616131, ' up': -3.412532, 'Down': -6.1668806}
{' Down': -0.48084715, ' Up': -1.1085004, ' down': -3.4425743, ' up': -4.199372, 'Down': -5.824713}
{' Down': -0.13700642, ' down': -2.0670905, ' Up': -7.056247, 'Down': -8.156922, ' DOWN': -8.693231}
{' Up': -0.021229291, ' up': -3.9379888, ' UP': -7.192665, ' Down': -7.3619847, 'Up': -9.633911}
{' Down': -0.7048075, ' down': -1.3689826, ' Up': -1.6469673, ' up': -2.869995, ' UP': -7.115576}
{' Up': -0.26396784, ' up': -1.928614, ' Down': -3.0303042, ' down': -3.3646317, ' UP': -5.6800785}
{' down': -0.43444648, ' Down': -1.0498849, 'down': -6.544155, 'Down': -7.184552, ' Even': -9.306326}
{' Up': -0.049691547, ' up': -3.0432885, 'Up': -8.02748, ' UP': -8.074388, ' Down': -9.743655}
{' down': -0.31135955, ' Down': -1.3368379, 'down': -5.9934916, 'Down': -6.9816856, ' e': -7.4005394}
{' Up': -0.24081463, ' up': -1.5587182, ' UP': -6.2820873, 'Up': -7.376379, ' Down': -7.589979}
{' down': -0.49316645, ' Down': -0.95319784, 'down': -6.041924, 'Down': -7.0131345, ' ': -8.488797}
{' Up': -0.041918993, ' up': -3.2247384, ' UP': -7.2818594, 'Up': -8.058988, ' ': -9.4762335}
{' down': -0.49176306, ' Down': -1.0220174, ' Up': -4.4131746, ' up': -5.039174, ' e': -5.5222178}
{' Up': -0.3919628, ' up': -1.2292602, ' down': -4.076506, ' Down': -4.6910787, ' UP': -5.550722}
{' down': -0.36442903, ' Down': -1.1924586, 'down': -7.0823417, 'Down': -7.4300666, ' Up': -8.779784}
{' Up': -0.24428125, ' up': -1.540418, ' UP': -6.839362, ' Down': -7.54629, ' down': -7.6833143}
{' down': -0.3681694, ' Down': -1.2354542, ' up': -4.7750793, ' Up': -5.125501, 'down': -6.746719}
{' up': -0.64230067, ' Up': -0.7896776, ' down': -4.328889, ' Down': -5.6111073, ' UP': -6.036368}
{' Down': -0.53894114, ' down': -0.88466716, 'down': -6.335341, 'Down': -6.408645, ' ': -8.805756}
{' Up': -0.043522056, ' up': -3.187647, 'Up': -7.3539987, ' UP': -7.7445216, 'up': -9.208996}
{' Down': -0.33665943, ' down': -1.2865285, 'down': -5.919036, ' Up': -6.0256352, 'Down': -6.0878477}
{' Up': -0.15181127, ' up': -2.0485091, ' Down': -5.4067435, ' UP': -5.737943, ' down': -5.869697}
{' Down': -0.152131, ' down': -1.9805896, ' Up': -6.623217, 'Down': -7.137, 'down': -7.393668}
{' Up': -0.012181532, ' up': -4.4926863, ' UP': -7.2459493, 'Up': -9.079551, ' Down': -9.599086}
{' Up': -0.36936885, ' Down': -1.5257752, ' up': -2.8780472, ' down': -3.4298508, ' UP': -6.414327}
{' Up': -0.09670946, ' up': -2.7491753, ' Down': -3.9446993, ' down': -5.157754, ' UP': -5.893677}
{' down': -0.10681879, ' Down': -2.6679091, 'down': -3.6561253, 'Down': -5.345117, ' up': -7.6688967}
{' Up': -0.6542263, ' up': -0.763094, 'Up': -5.284361, 'up': -5.3694324, ' UP': -6.5824313}
{' down': -0.18263453, ' Down': -2.345215, ' up': -3.4349139, 'down': -3.9349308, ' Up': -4.877365}
{' up': -0.3866604, ' Up': -1.3278512, ' down': -3.3419619, 'up': -5.15342, ' Down': -5.1867514}
{' Down': -0.2847535, ' down': -1.6880928, ' Up': -2.8147082, ' up': -5.986795, 'Down': -8.299936}
{' Down': -0.12542346, ' down': -2.1487446, ' Up': -7.180654, 'Down': -8.201192, 'down': -8.890302}
{' Up': -0.053132262, ' up': -3.023961, ' Down': -5.9795084, ' down': -7.808223, ' UP': -9.03942}
{' Down': -0.24165827, ' down': -1.5409441, 'Down': -8.334698, 'down': -8.392345, ' DOWN': -10.549983}
{' Down': -0.09040588, ' down': -2.4811146, 'Down': -6.7359166, ' Up': -6.991221, 'down': -7.397224}
{' Down': -0.06648308, ' Up': -3.3219495, ' down': -3.6135697, 'Down': -7.2247405, ' up': -8.263566}
{' Up': -0.18544595, ' Down': -1.9015046, ' up': -4.455017, ' down': -4.8629, 'Up': -8.74552}
