{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' Yes': -0.0085074175, '\n': -5.590748, 'Yes': -6.096386, ' ': -6.757757, ' No': -7.6130695}
{' Yes': -0.07785379, ' No': -2.697687, '\n': -5.7589235, 'Yes': -6.42571, ' ': -6.677968}
{' Yes': -0.73212653, ' No': -0.8352779, '\n': -3.226843, 'No': -3.945494, ' ': -4.5148244}
{' Yes': -0.07810556, ' No': -3.4375339, '\n': -4.137651, 'Yes': -4.3644385, ' ': -5.168508}
{' Yes': -0.28570795, ' No': -1.9740624, ' Ko': -3.1323912, '\n': -3.3918655, ' ': -4.392678}
{' Yes': -0.5567107, ' No': -1.099033, '\n': -3.2119935, ' Ko': -3.9381382, 'No': -4.317052}
{' Yes': -0.52654046, ' No': -1.2115189, '\n': -3.2621763, ' A': -3.4170086, 'No': -4.210748}
{' Yes': -0.20362125, ' No': -2.1672862, ' A': -3.7096157, 'Yes': -4.1229863, '\n': -4.238716}
{' Yes': -0.56498575, ' No': -1.4261327, ' Ko': -2.092999, '\n': -3.5989764, ' ': -4.1144166}
{' No': -0.32406774, ' Yes': -1.7292402, ' Ko': -3.3585086, 'No': -3.6600566, '\n': -3.784309}
{' Yes': -0.07607363, ' No': -2.9597328, '\n': -4.702306, ' ': -5.0062814, 'Yes': -5.9484468}
{' Yes': -0.030165825, ' No': -4.006547, ' ': -5.7062826, '\n': -5.7824736, 'Yes': -5.9033194}
{' Yes': -0.03527632, '\n': -4.411451, ' No': -4.94351, ' ': -5.082586, ' Ko': -5.289467}
{' Yes': -0.38089603, ' No': -1.2831025, '\n': -4.1357827, ' ': -4.616593, ' Ko': -4.9244294}
{' No': -0.078265205, 'No': -2.9639482, ' Yes': -4.374499, ' ': -5.3019624, '\n': -5.9327493}
{' No': -0.11220025, 'No': -2.8941462, ' Yes': -3.606892, ' A': -4.5878167, ' ': -5.154377}
{' No': -0.29364532, ' Yes': -1.8714155, 'No': -3.2679057, ' Ko': -3.3861496, ' ': -4.3585157}
{' No': -0.066896655, 'No': -3.327114, ' Ko': -4.5340405, '\n': -5.024044, ' ': -5.1066666}
{' Yes': -0.028902402, ' No': -4.899225, 'Yes': -4.9298115, '\n': -5.3916283, ' ': -5.570719}
{' Yes': -0.022087874, 'Yes': -4.980424, ' yes': -5.4881597, '\n': -5.5268335, ' ': -5.8797956}
{' Yes': -0.026941303, 'Yes': -4.837763, '\n': -5.192528, ' ': -5.344389, ' yes': -5.515052}
{' Yes': -0.05019601, ' No': -3.8555794, 'Yes': -4.7934303, '\n': -5.230481, ' Ko': -5.285653}
{' No': -0.02114047, 'No': -3.998887, ' Generally': -6.424874, ' Ko': -7.782382, ' A': -8.676196}
{' No': -0.025842488, 'No': -3.8194613, ' Generally': -6.156354, ' Ko': -7.7485514, ' A': -7.8697367}
{' No': -0.034169596, 'No': -3.774526, ' Ko': -5.0120177, ' Generally': -5.941821, '\n': -7.7745976}
{' No': -0.018990798, 'No': -4.3769636, ' Ko': -5.2916365, ' Generally': -7.417578, ' ': -8.456386}
{' No': -0.08752514, 'No': -2.5095124, ' Generally': -7.2277093, ' Ko': -7.340847, ' ': -7.684313}
{' No': -0.05237153, 'No': -3.0430882, ' Generally': -6.9998865, ' Ko': -7.0531325, ' A': -7.3076415}
{' No': -0.07775696, 'No': -2.6751652, ' Ko': -5.4921875, ' ': -6.9627376, ' Generally': -8.102957}
{' No': -0.061597094, 'No': -2.8882437, ' Ko': -5.902428, ' ': -7.2510653, '\n': -8.639611}
{' No': -0.09178335, 'No': -2.511419, '\n': -5.6549425, ' ': -6.487102, ' Ko': -7.3053885}
{' No': -0.0629715, 'No': -2.9166548, '\n': -6.090559, ' A': -6.463763, ' ': -6.470747}
{' No': -0.09700529, 'No': -2.5723338, ' Ko': -4.800718, '\n': -5.5709233, ' ': -5.798973}
{' No': -0.08846356, 'No': -2.7060516, ' Ko': -4.5361695, '\n': -5.831803, ' ': -6.000687}
{' No': -0.028459908, 'No': -3.7311273, ' Generally': -6.011524, ' Ko': -7.485287, ' A': -7.730173}
{' No': -0.021546425, 'No': -3.9855618, ' Generally': -6.5197926, ' A': -7.694943, ' Ko': -7.7099648}
{' No': -0.052383777, 'No': -3.452656, ' Ko': -4.2564487, ' Generally': -5.547411, ' On': -7.936837}
{' No': -0.022290623, 'No': -4.3363643, ' Ko': -4.7943206, ' ': -8.504084, ' Generally': -8.730031}
{' No': -0.13581677, 'No': -2.16136, '\n': -5.311632, ' ': -6.047858, ' Ko': -6.1094527}
{' No': -0.11737645, 'No': -2.320259, '\n': -5.348608, ' ': -6.056426, ' Ko': -6.188715}
{' No': -0.17158054, 'No': -2.2276986, ' Ko': -3.6075847, '\n': -4.6138754, ' ': -5.061755}
{' No': -0.16488445, 'No': -2.3025796, ' Ko': -3.550188, '\n': -4.574742, ' ': -5.161955}
{' No': -0.08321234, 'No': -2.6435056, ' Ko': -5.8885593, ' Generally': -6.2692084, ' ': -6.830925}
{' No': -0.07553943, 'No': -2.927466, ' A': -4.9802594, ' Ko': -5.410168, ' Generally': -5.574778}
{' No': -0.13465874, 'No': -2.501171, ' Ko': -3.404457, ' Ravens': -5.8803463, ' ': -5.99648}
{' No': -0.12684913, 'No': -2.630017, ' Ko': -3.393136, ' KO': -5.458476, ' ': -5.9400034}
{' No': -0.00532233, 'No': -5.396903, ' ': -7.7525206, '\n': -8.389002, ' A': -9.848562}
{' No': -0.00610631, 'No': -5.3372235, ' ': -7.38653, '\n': -7.7286406, ' A': -8.850528}
{' No': -0.007990393, 'No': -5.1278844, ' ': -7.080948, '\n': -7.386162, ' Ko': -7.6445103}
{' No': -0.00438132, 'No': -5.8962383, '\n': -7.2935395, ' ': -7.6587796, ' Ko': -7.8985176}
{' No': -0.064544775, 'No': -2.838766, '\n': -6.2534633, ' ': -6.461477, ' A': -8.116361}
{' No': -0.05591315, 'No': -3.01632, ' A': -6.0868883, '\n': -6.5986166, ' ': -6.6047645}
{' No': -0.04411267, 'No': -3.35222, ' Ko': -5.4851203, ' ': -5.968812, '\n': -6.873184}
{' No': -0.034248058, 'No': -3.715076, ' Ko': -5.3864894, ' ': -6.2891, ' KO': -6.8042026}
{' No': -0.16884544, 'No': -2.3334684, '\n': -2.9856045, ' ': -5.0799246, ' A': -6.8263874}
{' No': -0.11118247, 'No': -2.49764, '\n': -4.1509695, ' ': -5.620406, ' A': -5.81368}
{' No': -0.16023584, 'No': -2.5748992, '\n': -2.8882456, ' ': -4.548999, ' Ko': -5.4043593}
{' No': -0.14142807, 'No': -2.6811314, '\n': -2.954285, ' ': -4.8960457, ' Ko': -6.0808206}
{' No': -0.005040072, 'No': -5.397235, ' ': -7.7846403, ' A': -10.22772, '\n': -10.717844}
{' No': -0.007960113, 'No': -4.9546266, ' ': -7.4031124, ' A': -8.719957, '\n': -9.805052}
{' No': -0.009739788, 'No': -4.9244695, ' Ko': -6.366362, ' ': -7.5670004, '\n': -9.082223}
{' No': -0.006025953, 'No': -5.245265, ' Ko': -8.008924, ' ': -8.239529, '\n': -9.84189}
{' No': -0.24311931, 'No': -1.6191874, '\n': -4.737899, ' ': -5.098092, ' A': -6.5173}
{' No': -0.21350823, 'No': -1.754993, '\n': -4.8796754, ' A': -5.2749496, ' ': -5.293384}
{' No': -0.19929565, 'No': -1.8761145, '\n': -4.5355496, ' ': -4.654697, ' Ko': -5.3979716}
{' No': -0.17105111, 'No': -2.02108, '\n': -4.6146812, ' Ko': -4.9491453, ' ': -5.314081}
{' No': -0.043204598, 'No': -3.2674322, ' ': -6.2831583, ' A': -6.8451657, ' no': -7.6230416}
{' No': -0.045929033, 'No': -3.6260831, ' A': -4.358757, ' ': -5.97835, '\n': -6.9920597}
{' No': -0.06859896, 'No': -3.0374591, ' Ko': -4.7286425, ' ': -5.2971716, '\n': -6.266454}
{' No': -0.06426305, 'No': -3.572497, ' Ko': -4.038008, ' KO': -5.0827155, ' ': -5.4076285}
{' No': -0.13550276, 'No': -2.1246939, ' A': -6.2645216, ' ': -6.5306993, ' no': -6.8512187}
{' No': -0.11722752, 'No': -2.3239305, ' A': -5.2353864, ' ': -6.5194364, ' no': -6.6058702}
{' No': -0.13666435, 'No': -2.2378283, ' Ko': -4.6896305, '\n': -5.6388793, ' ': -5.8378177}
{' No': -0.118551336, 'No': -2.4658794, ' Ko': -4.2157087, '\n': -5.6738048, ' ': -6.1574674}
{' No': -0.170463, 'No': -1.8650161, ' ': -7.539249, ' no': -7.692019, ' Ko': -7.7196465}
{' No': -0.124312565, 'No': -2.1587632, ' ': -7.767337, ' Ko': -8.122735, ' no': -8.2872925}
{' No': -0.14998466, 'No': -1.9844819, ' Ko': -7.0855346, ' ': -7.5929437, '\n': -8.5855665}
{' No': -0.12158859, 'No': -2.18414, ' Ko': -6.8582196, ' ': -7.928632, ' KO': -8.886288}
{' No': -0.256372, 'No': -1.5013939, '\n': -7.0032506, ' ': -7.0275893, ' Ko': -7.3072414}
{' No': -0.15800065, 'No': -1.9398438, ' ': -7.3058944, '\n': -7.889185, ' A': -8.023274}
{' No': -0.19111018, 'No': -1.7910532, ' Ko': -5.7472506, ' ': -6.586823, '\n': -6.617129}
{' No': -0.18534322, 'No': -1.8387399, ' Ko': -5.374901, ' ': -6.4128222, '\n': -6.4271483}
{' No': -0.02556331, 'No': -3.7248812, ' Ko': -7.699494, ' ': -8.017026, ' A': -8.98891}
{' No': -0.024838608, 'No': -3.7495658, ' ': -7.9782705, ' Ko': -8.339018, ' A': -8.922457}
{' No': -0.038172405, 'No': -3.3975625, ' Ko': -5.8278394, ' ': -7.3855176, ' no': -9.369204}
{' No': -0.030800525, 'No': -3.5934927, ' Ko': -6.1737256, ' ': -7.860434, ' KO': -9.513516}
{' No': -0.5321532, 'No': -0.9160375, ' Ko': -5.1107244, '\n': -6.1293173, ' ': -6.564512}
{' No': -0.50424284, 'No': -0.96051496, '\n': -5.437457, ' Ko': -6.18464, ' ': -6.281947}
{' No': -0.42211917, 'No': -1.1877404, ' Ko': -3.8252096, '\n': -5.0293903, 'Ko': -5.848073}
{' No': -0.42667636, 'No': -1.1472994, ' Ko': -4.1695933, '\n': -5.5388207, 'Ko': -5.72265}
{' No': -0.15497811, 'No': -2.0593247, ' Ko': -4.7755237, '\n': -5.699436, ' ': -6.5259495}
{' No': -0.10723773, 'No': -2.4353664, ' Ko': -5.386888, ' A': -5.813301, ' KO': -6.0840383}
{' No': -0.15436259, 'No': -2.0634775, ' Ko': -4.4328585, ' ': -6.8097997, '\n': -7.1313496}
{' No': -0.15898107, 'No': -2.1212192, ' Ko': -3.900371, ' KO': -6.0117736, 'Ko': -6.669334}
{' No': -0.012234387, 'No': -5.083344, ' no': -5.7318583, ' ': -6.232768, '\n': -7.609947}
{' No': -0.02676246, 'No': -4.244349, ' no': -5.1564236, ' ': -5.519894, '\n': -6.69005}
{' No': -0.012423626, 'No': -4.930711, ' ': -5.973015, ' no': -6.7603664, ' Ko': -7.219302}
{' No': -0.016665487, 'No': -4.5617056, ' ': -6.1507597, ' no': -6.4319477, '\n': -6.812677}
{' No': -0.07314439, 'No': -2.7062066, ' ': -6.331645, '\n': -6.9201417, ' no': -7.4455943}
{' No': -0.075329065, 'No': -2.7212527, ' ': -6.1772695, '\n': -6.2572374, ' A': -6.354313}
{' No': -0.080844544, 'No': -2.6569536, '\n': -5.687373, ' ': -5.9792147, ' Ko': -6.998105}
{' No': -0.07915524, 'No': -2.7070563, '\n': -5.5252495, ' ': -6.0686617, ' Ko': -6.2957726}
{' No': -0.13122764, 'No': -2.247578, '\n': -4.394509, ' ': -5.96055, ' no': -6.774123}
{' No': -0.12932825, 'No': -2.2669206, '\n': -4.5739465, ' A': -5.690675, ' ': -5.97806}
{' No': -0.16765538, 'No': -2.3475049, '\n': -3.1229434, ' ': -4.8724537, ' Ko': -5.2437425}
{' No': -0.18442628, 'No': -2.2061203, '\n': -3.2012012, ' Ko': -4.863635, ' ': -5.0713906}
{' No': -0.01507474, 'No': -4.3259077, ' ': -6.839394, ' no': -7.8628254, '\n': -8.496718}
{' No': -0.02224644, 'No': -3.9392574, ' ': -6.751152, '\n': -7.4907527, ' A': -7.747125}
{' No': -0.019016497, 'No': -4.1420994, ' ': -6.6819396, '\n': -7.279451, ' Ko': -7.3273177}
{' No': -0.023653671, 'No': -3.933085, ' Ko': -6.1503263, ' ': -7.3873744, '\n': -7.4202504}
{' No': -0.28133646, 'No': -1.4873949, '\n': -4.465937, ' ': -5.8006167, ' no': -5.80298}
{' No': -0.30627993, 'No': -1.4276006, '\n': -4.1155467, ' ': -5.7269063, ' no': -6.285525}
{' No': -0.2994929, 'No': -1.4742748, '\n': -4.0689077, ' ': -5.1264515, ' no': -5.6566243}
{' No': -0.2788869, 'No': -1.5851575, '\n': -3.5807457, ' ': -5.3252316, ' Ko': -6.1904736}
{' No': -0.060388807, 'No': -3.1496851, ' no': -4.5800266, ' ': -5.9816375, '\n': -6.550168}
{' No': -0.065656304, 'No': -3.4743779, ' no': -4.1247783, ' A': -4.7127395, ' ': -5.8909326}
{' No': -0.0852769, 'No': -2.8673203, ' no': -4.87914, '\n': -5.1162815, ' ': -5.3222475}
{' No': -0.1068365, 'No': -2.7798522, ' Ko': -4.48211, '\n': -4.6876125, ' no': -5.05354}
{' No': -0.009631634, 'No': -5.119325, '\n': -6.0815673, ' ': -6.83422, ' A': -8.8639555}
{' No': -0.0072798845, 'No': -5.331107, '\n': -6.815547, ' ': -7.0155225, ' A': -8.196107}
{' No': -0.020182097, '\n': -4.7650356, 'No': -4.985331, ' ': -5.6661186, ' Ko': -6.91598}
{' No': -0.008014127, 'No': -5.5742335, '\n': -5.926421, ' ': -7.031707, ' Ko': -7.542918}
{' No': -0.06896775, 'No': -3.0598292, '\n': -4.2116275, ' ': -5.463751, ' A': -8.037112}
{' No': -0.07214344, 'No': -3.126802, '\n': -3.9665122, ' ': -5.2938843, ' A': -6.7187324}
{' No': -0.10354719, 'No': -3.1096087, '\n': -3.2901294, ' ': -4.7591677, ' Ko': -4.915593}
{' No': -0.06656672, 'No': -3.4929755, '\n': -3.6847267, ' Ko': -5.483238, ' ': -5.5052433}
{' No': -0.08414588, 'No': -2.9037771, '\n': -4.020858, ' ': -5.2550898, ' A': -6.2170553}
{' No': -0.06614112, 'No': -3.005619, '\n': -4.790876, ' ': -5.5978985, ' A': -6.303801}
{' No': -0.09361367, 'No': -3.118733, '\n': -3.782195, ' Ko': -4.3777666, ' ': -4.741416}
{' No': -0.04683333, 'No': -3.5028496, '\n': -4.9924927, ' Ko': -5.381523, ' ': -5.7097464}
{' No': -0.01696347, 'No': -4.385864, ' ': -6.138629, '\n': -6.384097, ' A': -7.8672996}
{' No': -0.018155627, 'No': -4.470115, ' ': -5.8390894, '\n': -5.9396663, ' A': -7.158784}
{' No': -0.038909696, 'No': -4.2507873, '\n': -4.5242496, ' ': -4.9722533, ' Ko': -5.1411967}
{' No': -0.020130584, 'No': -4.567236, '\n': -5.4421487, ' ': -5.8738923, ' Ko': -6.112637}
{' No': -0.04194087, 'No': -3.2845097, ' ': -6.2295747, '\n': -7.17789, ' A': -7.3049517}
{' No': -0.060546666, 'No': -2.9546487, ' ': -5.940229, '\n': -6.24781, ' A': -6.3478675}
{' No': -0.061146293, 'No': -3.1496778, ' ': -5.074496, ' Ko': -5.313084, '\n': -5.4047093}
{' No': -0.04006639, 'No': -3.504851, '\n': -5.823101, ' Ko': -5.8315544, ' ': -5.8880315}
{' No': -0.036245752, 'No': -3.7338796, ' ': -5.3686814, '\n': -5.4581466, ' A': -6.293719}
{' No': -0.046239488, 'No': -3.8372703, ' A': -4.653726, '\n': -5.07954, ' ': -5.2475543}
{' No': -0.060095772, 'No': -3.605626, '\n': -4.5499635, ' ': -4.5615587, ' Ko': -4.7557225}
{' No': -0.052205727, 'No': -3.8178916, ' Ko': -4.250559, '\n': -5.0063386, ' ': -5.2744956}
{' Yes': -0.014065888, ' No': -4.672301, 'Yes': -5.5058126, 'No': -8.794286, ' Generally': -8.944651}
{' Yes': -0.0067769364, 'Yes': -5.3251953, ' No': -6.7730803, ' Generally': -7.8741612, ' yes': -9.036553}
{' Yes': -0.02003152, ' No': -4.280207, 'Yes': -5.4205785, ' Ravens': -7.3299413, 'No': -8.322863}
{' Yes': -0.016750943, ' No': -4.656229, 'Yes': -5.546101, ' Generally': -6.5892167, ' Ravens': -6.717533}
{' Yes': -0.027324263, 'Yes': -4.2358203, ' No': -4.548671, 'No': -7.3444777, ' ': -7.595985}
{' Yes': -0.016070817, 'Yes': -4.4749866, ' No': -5.769564, ' ': -7.8686037, ' Generally': -7.9535513}
{' Yes': -0.025101263, 'Yes': -4.085089, ' No': -5.215796, ' Ravens': -6.9148903, ' ': -7.733497}
{' Yes': -0.014191388, 'Yes': -4.5611806, ' No': -6.189055, ' Generally': -7.502243, ' Ravens': -7.788098}
{' Yes': -0.10098884, ' No': -2.7107222, 'Yes': -3.964108, 'No': -5.4900894, '\n': -5.756289}
{' Yes': -0.07297633, ' No': -3.1048307, 'Yes': -4.209197, '\n': -5.5075846, 'No': -5.9258356}
{' Yes': -0.06901508, ' No': -3.4474213, 'Yes': -3.8402836, ' Ravens': -5.36898, '\n': -5.678893}
{' Yes': -0.020478578, 'Yes': -4.1975965, ' No': -6.4091215, ' Ravens': -6.4332986, '\n': -7.273362}
{' Yes': -0.017128684, ' No': -4.3375344, 'Yes': -5.885441, ' Generally': -7.722891, ' A': -8.755923}
{' Yes': -0.005506731, 'Yes': -5.900995, ' No': -6.055364, ' yes': -9.077845, ' Generally': -9.407272}
{' Yes': -0.028210346, ' No': -3.9999301, 'Yes': -5.411267, ' Ravens': -5.560177, 'No': -7.8194795}
{' Yes': -0.029570442, ' No': -3.9055202, 'Yes': -5.2937307, ' Ravens': -6.146979, ' Generally': -7.0404286}
{' No': -0.1257494, 'No': -2.45244, '\n': -4.3107753, ' Yes': -4.4286113, ' ': -5.5087276}
{' No': -0.20195453, 'No': -2.2130058, ' Yes': -2.9749665, '\n': -4.904822, ' Generally': -5.7080655}
{' No': -0.21545891, ' Yes': -2.5183325, 'No': -2.62704, '\n': -4.263604, ' Ravens': -4.494297}
{' No': -0.6417636, ' Yes': -1.0889397, 'No': -2.5667572, ' Ravens': -3.5069158, 'Yes': -4.2905126}
{' Yes': -0.065251, ' No': -3.1963623, 'Yes': -4.3945565, ' Generally': -5.847956, 'No': -6.0472727}
{' Yes': -0.12080035, ' No': -2.6066477, 'Yes': -4.1812077, ' Generally': -4.769285, 'No': -5.0003967}
{' Yes': -0.109838635, ' No': -2.980606, 'Yes': -3.836962, ' Ravens': -3.8976955, 'No': -5.337269}
{' Yes': -0.047790695, 'Yes': -3.8015213, ' No': -4.2797394, ' Ravens': -5.2904797, 'No': -6.3145065}
{' Yes': -0.008640336, ' No': -5.613611, 'Yes': -5.839739, ' ': -6.9989524, ' yes': -7.269037}
{' Yes': -0.030555977, ' No': -3.6777818, 'Yes': -5.918312, ' ': -6.983322, ' yes': -7.5509796}
{' Yes': -0.006069547, 'Yes': -5.878757, ' No': -6.3522797, ' yes': -7.427507, ' ': -7.846315}
{' Yes': -0.0051885894, 'Yes': -5.716368, ' No': -7.0954633, ' yes': -7.7988763, '\n': -7.988806}
{' No': -0.0658947, 'No': -2.968765, '\n': -5.262822, ' ': -5.686307, ' Yes': -5.8987556}
{' No': -0.19092612, ' Yes': -2.0957036, 'No': -3.255808, '\n': -5.45339, ' ': -5.946131}
{' No': -0.42315304, ' Yes': -1.1820548, 'No': -3.869072, 'Yes': -5.290825, ' Ravens': -5.37364}
{' Yes': -0.060539767, ' No': -3.3104138, 'Yes': -4.2516217, ' Ravens': -5.87463, 'No': -6.1784286}
{' No': -0.22552407, '\n': -2.4647417, 'No': -2.611001, ' Yes': -3.864289, ' ': -4.1881323}
{' No': -0.16458702, 'No': -2.67465, '\n': -2.7507534, ' ': -4.8104377, ' Yes': -5.1054683}
{' No': -0.44148636, '\n': -1.692543, ' Yes': -2.7820644, 'No': -2.8779771, ' ': -3.5273416}
{' No': -0.66563606, ' Yes': -1.3137723, '\n': -2.241478, 'No': -3.0114117, ' Ravens': -3.4362848}
{' No': -0.03187463, ' Yes': -3.6806686, 'No': -5.476699, ' ': -6.483016, '\n': -8.776965}
{' No': -0.031195905, ' Yes': -3.772365, 'No': -5.074771, ' ': -6.852198, '\n': -8.861629}
{' No': -0.3214063, ' Yes': -1.3129244, 'No': -5.797589, ' ': -6.7447433, 'Yes': -7.042828}
{' No': -0.57047933, ' Yes': -0.85129064, 'No': -5.3610296, 'Yes': -6.397534, ' ': -7.19563}
{' No': -0.2554538, 'No': -1.6687018, '\n': -3.7930036, ' ': -4.595552, ' NO': -6.6970696}
{' No': -0.19540282, 'No': -1.8098781, '\n': -4.8743215, ' ': -5.4113507, ' A': -7.24925}
{' No': -0.20490436, 'No': -2.048662, '\n': -3.4345129, ' ': -4.262326, ' Ravens': -5.6356297}
{' No': -0.21565092, 'No': -1.786692, '\n': -4.3203115, ' ': -4.830669, ' Ravens': -5.9128904}
{' Yes': -0.30508614, ' No': -1.5189152, 'Yes': -4.2733536, ' ': -4.6536655, 'No': -4.696571}
{' Yes': -0.04633931, ' No': -3.805363, 'Yes': -4.621702, ' yes': -5.0766926, ' ': -5.9223156}
{' Yes': -0.21524428, ' No': -1.8843765, 'Yes': -4.171138, ' ': -4.9770236, 'No': -5.1436396}
{' Yes': -0.024040127, 'Yes': -4.3911166, ' yes': -5.164472, ' No': -6.045228, ' ': -6.5411363}
{' No': -0.27742994, ' Yes': -1.8712445, 'No': -2.5928137, 'Yes': -5.062905, ' yes': -6.572695}
{' Yes': -0.16315395, ' No': -2.3434231, 'Yes': -3.546998, 'No': -4.4536486, ' yes': -5.0720577}
{' Yes': -0.18803512, ' No': -2.4911375, 'Yes': -3.132006, ' yes': -4.23211, 'No': -4.500089}
{' Yes': -0.12626283, ' No': -3.0108316, 'Yes': -3.4653912, ' yes': -4.037833, ' Ravens': -4.912015}
{' No': -0.1453527, 'No': -2.0523732, ' Yes': -5.2258983, ' ': -7.3228507, 'Yes': -8.014353}
{' No': -0.14560612, 'No': -2.4259675, ' Yes': -3.1085308, 'Yes': -6.466233, ' ': -7.437791}
{' Yes': -0.56843835, ' No': -1.0514954, 'No': -2.9034126, 'Yes': -3.679381, ' Ravens': -6.0922728}
{' Yes': -0.5913581, ' No': -1.050537, 'No': -2.6854837, 'Yes': -3.7715242, ' Ravens': -5.8180904}
{' No': -0.47779045, ' Yes': -1.2608142, 'No': -2.5560584, 'Yes': -4.1233897, ' ': -6.6425843}
{' No': -0.40875256, ' Yes': -1.765171, 'No': -1.9027425, 'Yes': -4.4914474, ' ': -6.2715716}
{' Yes': -0.31208906, ' No': -1.6925383, 'Yes': -3.1119356, 'No': -3.4958255, ' Ravens': -5.629161}
{' Yes': -0.09006237, 'Yes': -3.147544, ' No': -3.384946, 'No': -5.068818, ' Ravens': -7.141509}
{' No': -0.117184356, ' Yes': -2.4115148, 'No': -3.978749, 'Yes': -6.7767377, ' ': -7.4650307}
{' No': -0.6385521, ' Yes': -0.7920975, 'No': -4.3306336, 'Yes': -5.386582, ' ': -7.1548533}
{' Yes': -0.025826767, 'Yes': -4.279447, ' No': -4.7854376, ' Ravens': -6.5929384, ' yes': -7.1890864}
{' Yes': -0.12820114, ' No': -2.303845, 'Yes': -4.4540677, 'No': -5.3021283, ' Ravens': -5.9449177}
{' No': -0.3716962, 'No': -1.1894777, '\n': -5.9592123, ' ': -6.648432, ' Ravens': -6.851102}
{' No': -0.44206667, 'No': -1.0435815, '\n': -6.5038157, ' ': -6.899541, ' Yes': -7.8349}
{' No': -0.56055313, 'No': -1.3147874, ' Yes': -2.4722733, ' Ravens': -3.1631246, 'Yes': -4.1604314}
{' No': -1.1363016, ' Yes': -1.2306027, 'No': -1.3484293, 'Yes': -2.804421, ' Ravens': -2.9350095}
{' No': -0.09593494, 'No': -2.739108, ' Yes': -3.7841327, ' ': -6.416028, 'Yes': -7.2852774}
{' No': -0.14682811, 'No': -2.1799626, ' Yes': -4.004635, '\n': -6.530202, ' ': -6.8142734}
{' Yes': -0.804918, ' No': -0.94039905, ' Ravens': -2.621187, 'No': -2.7965276, 'Yes': -3.8673627}
{' Yes': -0.57965845, ' No': -1.161644, 'No': -2.5729427, 'Yes': -3.4702911, ' Ravens': -4.2384644}
{' Yes': -0.0443615, ' yes': -3.2710385, 'Yes': -5.706335, ' ': -6.866894, 'yes': -8.017943}
{' Yes': -0.042017456, ' yes': -3.4579415, 'Yes': -5.1540093, ' ': -6.0055246, 'yes': -7.715238}
{' Yes': -0.03423245, ' yes': -3.604089, 'Yes': -5.658813, ' ': -6.895015, ' No': -7.178552}
{' Yes': -0.060147293, ' yes': -3.005191, 'Yes': -5.3896317, ' No': -6.3492613, ' ': -6.6312933}
{' Yes': -0.5228411, ' No': -1.0764261, 'No': -3.7692475, 'Yes': -3.9737191, ' ': -4.7446847}
{' Yes': -0.14571555, ' No': -2.4694116, 'Yes': -3.8702488, ' yes': -4.5701003, '\n': -5.0197635}
{' Yes': -0.14728914, ' No': -2.4343567, 'Yes': -3.6126077, ' yes': -4.9666057, 'No': -5.048237}
{' Yes': -0.05054673, 'Yes': -3.7235773, ' yes': -4.5843277, ' No': -4.598448, '\n': -6.491109}
{' Yes': -0.3857584, '\n': -2.1781337, ' No': -2.3205822, 'Yes': -2.868615, ' ': -3.956317}
{' Yes': -0.62136304, ' No': -1.4743656, '\n': -2.1129591, 'Yes': -3.213093, 'No': -3.2869973}
{' Yes': -0.83689433, ' No': -1.1563028, '\n': -1.9292387, 'No': -3.3666182, 'Yes': -3.4902909}
{' Yes': -0.16369879, 'Yes': -2.9871986, '\n': -3.1604412, ' No': -3.610768, ' yes': -4.426678}
{' Yes': -0.05174432, ' No': -3.3175294, 'Yes': -4.953508, ' yes': -5.7244506, ' ': -6.1105437}
{' Yes': -0.061576433, ' No': -3.1016915, 'Yes': -5.0025134, ' yes': -5.474078, ' ': -6.424571}
{' Yes': -0.23509195, ' No': -1.6381242, 'Yes': -5.1091, 'No': -6.0299487, ' yes': -6.17958}
{' Yes': -0.03241738, ' No': -3.8842676, 'Yes': -4.979662, ' yes': -5.8411307, ' ': -7.718296}
{' No': -0.3220055, 'No': -1.5425466, '\n': -3.15706, ' ': -4.7091923, ' no': -5.2817974}
{' No': -0.25759375, 'No': -1.6526877, '\n': -3.7430043, ' ': -5.233214, ' no': -5.472326}
{' No': -0.27095193, 'No': -1.8812766, '\n': -2.8700747, ' ': -4.3529963, ' NO': -5.4479437}
{' No': -0.30076727, 'No': -1.5312322, '\n': -3.7023401, ' ': -5.0671844, ' no': -5.108945}
{' Yes': -0.19840573, ' yes': -2.1858137, ' No': -3.4870064, 'Yes': -4.0674033, ' ': -4.9296517}
{' Yes': -0.14326395, ' yes': -2.3000193, 'Yes': -4.3384676, ' No': -4.6170406, '\n': -5.59638}
{' Yes': -0.41227525, ' No': -1.6540507, ' yes': -2.5695457, '\n': -3.9687061, 'Yes': -4.0515223}
{' Yes': -0.1731327, ' yes': -2.1411824, 'Yes': -3.9283264, ' No': -4.7855945, '\n': -5.3443856}
{' Yes': -0.026081547, ' No': -4.085894, '\n': -5.651167, 'Yes': -6.008286, ' ': -6.201147}
{' Yes': -0.011009239, ' No': -5.2687626, 'Yes': -5.806247, '\n': -6.846124, ' yes': -7.2563133}
{' Yes': -0.091776825, ' No': -2.6351595, '\n': -4.6731915, ' ': -5.895924, 'Yes': -6.0134716}
{' Yes': -0.010059679, ' No': -5.4255624, 'Yes': -5.829499, '\n': -6.4238777, ' yes': -7.719181}
