{' Yes': -0.004286734, 'Yes': -6.3658724, ' No': -6.7376213, ' Spider': -6.779202, ' yes': -9.341253}
{' St': -0.3989032, ' Stars': -1.6670669, ' Yes': -2.5610182, ' stairs': -3.9807472, 'stairs': -4.6098256}
{' St': -0.7771219, ' Yes': -1.2002177, ' Stars': -1.7735571, ' No': -3.467419, ' stairs': -4.8893337}
{' Yes': -0.0016782199, 'Yes': -6.7238073, ' Doctor': -7.9704027, ' No': -9.827327, ' yes': -9.864671}
{' Yes': -0.0032888094, 'Yes': -6.4051933, ' Doctor': -6.7206764, ' No': -8.047414, ' yes': -10.037375}
{' No': -0.019335538, ' Yes': -4.7688794, 'No': -5.138716, ' Not': -6.059467, ' Nope': -6.268824}
{' No': -0.01982071, ' Yes': -4.535053, 'No': -5.4836206, ' Not': -6.029381, ' Nope': -6.2546887}
{' No': -0.7667615, ' Tennis': -1.5025995, ' Yes': -1.5875031, ' Tenn': -2.5258482, ' Ten': -4.466958}
{' No': -1.2389281, ' Tennis': -1.2557795, ' Yes': -1.609152, ' Tenn': -1.7694703, ' Ten': -3.9046564}
{' Yes': -0.37465417, ' No': -1.2714113, ' Bucket': -3.7499728, 'Yes': -5.6327887, 'No': -6.152045}
{' Yes': -0.250679, ' Bucket': -2.2550392, ' No': -2.297018, ' Buck': -4.8223763, 'Yes': -5.4140835}
{' Yes': -0.11300603, ' No': -2.6993117, ' St': -3.9332857, 'Yes': -4.5348253, ' States': -4.9945483}
{' Yes': -0.2448813, ' No': -1.8390719, ' St': -3.6186604, ' States': -3.936137, 'Yes': -4.782576}
{' Yes': -0.0024670565, 'Yes': -6.8110356, ' No': -6.9341326, ' Sure': -8.506503, ' Nope': -10.256541}
{' Yes': -0.012907388, ' No': -4.5289693, 'Yes': -6.417509, ' Nope': -8.6868725, ' Sure': -9.167594}
{' Yes': -0.46045542, ' In': -1.4161706, ' No': -2.2406735, ' inh': -4.7230153, ' Breat': -5.938019}
{' No': -0.025550714, ' Yes': -4.178472, 'No': -5.3161774, ' Nope': -5.518699, ' Nah': -8.486607}
{' Yes': -0.0031328592, 'Yes': -6.2522817, ' Loving': -7.026789, ' yes': -9.292493, ' YES': -9.409187}
{' Yes': -0.002094271, 'Yes': -6.410808, ' No': -8.842659, ' yes': -9.762098, ' YES': -9.995348}
{' Yes': -0.24467963, ' No': -1.5966561, ' Turtle': -4.4976454, 'Yes': -6.2302923, 'No': -7.46474}
{' No': -0.16437407, ' Yes': -1.9071776, 'No': -6.6034074, ' Turtle': -6.9845433, ' Nope': -7.8363557}
{' Yes': -0.02807333, ' No': -3.8711138, ' Butter': -5.6517797, 'Yes': -5.8681707, 'No': -9.021092}
{' Yes': -0.6178579, ' No': -1.2262582, ' Butter': -1.8263749, 'Yes': -6.243055, 'No': -6.450806}
{' Yes': -0.004101779, ' No': -5.701602, 'Yes': -7.3264318, ' yes': -10.511268, ' Bing': -11.620639}
{' Yes': -0.034941163, ' No': -3.4099088, 'Yes': -6.810904, 'No': -9.131884, ' yes': -10.37238}
{' Yes': -0.42157978, ' No': -1.0742592, 'Yes': -6.792734, 'No': -7.259794, ' Nope': -7.8948355}
{' No': -0.03721904, ' Yes': -3.3960676, 'No': -6.1253514, ' Nope': -7.3751135, 'Yes': -9.4865885}
{' Yes': -0.0081606805, 'Yes': -5.112199, ' No': -6.5783796, ' She': -8.132542, '\n': -9.217086}
{' Yes': -0.00945959, 'Yes': -5.0648775, ' No': -5.998212, ' She': -8.5882635, '\n': -9.2941265}
{' Yes': -0.0036897385, 'Yes': -6.07032, ' No': -6.9743366, ' YES': -9.208994, ' Stress': -9.210176}
{' Yes': -0.011838885, ' No': -4.882328, 'Yes': -5.7706695, ' Stress': -7.7544603, ' St': -8.831831}
{' Yes': -0.07654125, ' No': -2.6891396, 'Yes': -5.450179, ' Sunset': -7.652941, 'No': -8.064849}
{' Yes': -0.050937533, ' No': -3.2215576, 'Yes': -5.0223484, ' Sunset': -6.6875234, ' Sun': -7.3339844}
{' No': -0.27398777, ' Yes': -1.438056, 'No': -6.777747, ' Nope': -7.9729643, ' Minute': -8.075967}
{' No': -0.56649965, ' Yes': -0.8602524, ' Minute': -5.31257, 'No': -6.558028, 'Yes': -6.891383}
{' Yes': -0.06369631, ' No': -2.8088365, 'Yes': -6.674435, 'No': -9.355963, ' Nope': -10.775728}
{' Yes': -0.013526828, ' No': -4.4056106, 'Yes': -6.966757, ' Sure': -8.91857, ' Nope': -9.715595}
{' Yes': -0.16585864, ' No': -1.9232935, 'Yes': -5.7324023, 'No': -6.8592906, ' Water': -7.650128}
{' Yes': -0.009750561, ' No': -5.24725, 'Yes': -5.8493533, ' Water': -7.1611457, ' yes': -8.9544115}
{' No': -0.38680875, ' Yes': -1.1465898, 'No': -6.2575765, 'Yes': -7.4866138, ' Nope': -8.02843}
{' No': -0.24836591, ' Yes': -1.5324235, 'No': -6.1357594, ' Nope': -7.257481, 'Yes': -7.919256}
{' No': -0.09619714, ' Yes': -2.4139802, 'No': -6.7030215, ' Length': -7.3669157, ' Nope': -8.38041}
{' No': -0.047562826, ' Yes': -3.1218712, 'No': -6.487672, ' Nope': -7.3129754, 'Yes': -9.704783}
{' Yes': -0.0069059636, ' No': -5.2280383, 'Yes': -6.6548624, ' yes': -9.468165, ' Dream': -10.091296}
{' Yes': -0.0021274814, 'Yes': -6.596695, ' No': -7.51685, ' Sure': -9.611135, ' yes': -9.66843}
{' Yes': -0.008463893, ' No': -5.031661, 'Yes': -6.392077, ' Sure': -9.439061, ' yes': -9.871433}
{' Yes': -0.114470355, ' No': -2.2927198, 'Yes': -5.5073442, ' Nope': -7.277621, ' Sure': -7.5096626}
{' Yes': -0.0970227, ' No': -2.4363666, 'Yes': -6.2867556, ' Muscle': -6.8140497, ' Mus': -7.1169133}
{' Yes': -0.28991506, ' No': -1.4356688, ' Mus': -5.4866652, ' Muscle': -5.6652694, 'Yes': -5.761121}
{' Empire': -0.45817518, ' Yes': -1.4426188, ' Em': -2.6524634, ' Emperor': -3.3069377, ' No': -4.105533}
{' Empire': -0.4181939, ' Yes': -1.7788087, ' Em': -2.0562308, ' No': -3.773249, ' Emperor': -4.080007}
{' No': -0.0077102827, ' Nope': -5.4710073, 'No': -5.8985577, ' Yes': -7.3218503, ' N': -11.254557}
{' No': -0.017190898, ' Nope': -4.5144877, 'No': -5.2934055, ' Yes': -7.1305575, ' Kn': -9.841404}
{' Yes': -0.0018523938, 'Yes': -7.0284233, ' No': -7.268263, ' Hunger': -8.583338, ' yes': -10.895792}
{' Yes': -0.012101891, ' No': -4.489568, 'Yes': -7.309814, ' Hunger': -10.547027, ' Nope': -10.739592}
{' Yes': -0.0010342719, 'Yes': -7.2698073, ' No': -8.080135, ' yes': -11.176263, ' YES': -12.166927}
{' Yes': -0.16082059, ' No': -1.9527175, 'Yes': -5.779057, ' Nope': -6.7239757, 'No': -7.2134886}
{' Yes': -0.26794812, ' No': -1.4906273, ' Dagger': -5.1735477, 'Yes': -5.9827514, 'No': -7.388567}
{' Yes': -0.070727766, ' No': -2.724624, 'Yes': -6.1497946, 'No': -8.530438, ' Dagger': -9.05388}
{' Yes': -0.030603848, ' No': -3.5675244, 'Yes': -6.363258, 'No': -9.40097, ' YES': -10.332344}
{' Yes': -0.035750695, ' No': -3.4188817, 'Yes': -6.2547784, 'No': -9.133313, ' Direct': -9.683043}
{' No': -0.2915475, ' Yes': -1.3860871, 'No': -6.412059, 'Yes': -7.6156363, ' Maybe': -7.9067106}
{' Yes': -0.67207134, ' No': -0.7205942, 'No': -6.7881365, 'Yes': -6.8802137, ' Nope': -8.334493}
{' No': -0.124091476, ' Yes': -2.4295056, ' Nope': -4.26801, ' Off': -4.7575555, 'No': -6.082591}
{' No': -0.50455606, ' Yes': -1.1032326, ' Office': -3.5150714, ' Off': -4.2191525, ' Nope': -4.764093}
{' No': -0.06437289, ' Yes': -2.8437228, 'No': -5.864738, ' Nope': -7.590998, ' Behind': -8.077869}
{' Yes': -0.12565154, ' No': -2.177741, 'Yes': -5.8571115, 'No': -7.365538, ' Nope': -8.281825}
{' Yes': -0.07188569, ' Thread': -3.2211165, ' No': -3.7080016, 'Yes': -6.2979817, ' Dread': -7.2241635}
{' Yes': -0.20999728, ' No': -1.8980026, ' Thread': -3.356823, 'Yes': -6.871035, ' Nope': -6.9555955}
{' Yes': -0.5820063, ' No': -0.87339586, ' Nope': -4.908649, 'Yes': -5.4633517, ' Sure': -6.1132226}
{' Yes': -0.59974444, ' No': -0.8222977, ' Nope': -5.741154, 'Yes': -5.829665, 'No': -6.562064}
{' Yes': -0.17033549, ' No': -1.9266737, ' Sure': -4.805122, 'Yes': -6.4368644, ' Nope': -7.7632318}
{' Yes': -0.12235266, ' No': -2.4992123, ' Sure': -3.5848656, 'Yes': -5.9175606, 'No': -7.8015428}
{' No': -0.45378017, ' Yes': -1.0271254, 'Yes': -6.1523156, 'No': -6.523474, ' Fl': -6.5412984}
{' No': -0.407493, ' Yes': -1.1082338, 'Yes': -6.172126, 'No': -6.4347925, ' Nope': -7.4057956}
{' Yes': -0.26685938, ' No': -1.4737114, 'Yes': -5.805895, ' Nope': -7.0859118, 'No': -7.4276114}
{' Yes': -0.41739354, ' No': -1.0912827, 'Yes': -6.07346, ' Nope': -6.459427, 'No': -7.2809806}
{' Yes': -0.0163313, ' Better': -4.8366017, ' No': -5.1480966, 'Yes': -6.1582336, ' yes': -9.981855}
{' Yes': -0.17329691, ' No': -1.8583974, 'Yes': -6.2498617, 'No': -7.474144, ' Nope': -8.6048355}
{' Yes': -0.2896985, ' No': -1.386134, 'Yes': -6.9785085, 'No': -7.852024, ' Nope': -9.6214485}
{' No': -0.4849744, ' Yes': -0.9730707, ' Purple': -5.9728413, ' Nope': -6.6182218, 'No': -6.70188}
{' Yes': -0.052414306, ' No': -3.438637, ' Animal': -4.432532, 'Yes': -5.0961823, 'No': -7.819036}
{' Yes': -0.3824969, ' No': -1.342538, ' Animal': -3.0929096, 'Yes': -5.376567, 'No': -5.751715}
{' Hel': -0.087489754, ' Yes': -2.6618307, ' Help': -5.4806104, 'Helper': -5.598826, ' Helic': -6.1250806}
{' Hel': -0.1737916, ' Yes': -1.9301794, ' Help': -5.2393584, 'Helper': -5.6726003, ' Helic': -6.606139}
{' Yes': -0.028433967, ' No': -3.6086702, 'Yes': -7.1052485, 'No': -9.693639, ' yes': -11.164763}
{' Yes': -0.0021026335, 'Yes': -6.6045494, ' No': -7.3326154, ' yes': -10.498992, ' Sure': -11.38355}
{' Yes': -0.055912584, ' No': -2.9573922, 'Yes': -6.2272243, 'No': -8.65342, ' Branch': -9.5131855}
{' Yes': -0.072055355, ' Branch': -3.2109063, ' No': -3.9645207, 'Yes': -4.920234, ' Br': -6.8548756}
{' Yes': -0.19797571, ' No': -1.741591, 'Yes': -6.0128727, 'No': -7.220648, ' Nope': -7.8050213}
{' Yes': -0.64683074, ' No': -0.77521825, ' Pretty': -5.151408, 'No': -5.971774, ' Nope': -6.0062494}
{' No': -0.22246827, ' Yes': -1.7571688, ' Ign': -4.6593885, ' Ignore': -4.763812, ' Nope': -5.2398133}
{' No': -0.019904371, ' Yes': -4.070066, 'No': -6.99721, ' Nope': -7.0073214, ' Ignore': -7.609839}
{' Divide': -0.9908733, ' No': -1.1278839, ' Yes': -1.2040234, ' Div': -5.898227, 'No': -7.288779}
{' Divide': -0.7138599, ' Yes': -0.842997, ' No': -2.6485884, ' Div': -5.0907807, 'Yes': -6.910708}
{' Yes': -0.16211915, ' Hammer': -1.9231284, 'Yes': -6.2000885, ' No': -7.48768, ' Ham': -8.1403675}
{' Yes': -0.2290476, ' Hammer': -1.6346853, ' No': -5.122823, 'Yes': -6.1869483, ' Ham': -7.304628}
{' Yes': -0.004253153, ' No': -6.1555457, 'Yes': -6.2048087, ' yes': -10.575547, ' YES': -11.15889}
{' Yes': -0.004672436, 'Yes': -6.0551767, ' No': -6.148345, ' yes': -10.112897, ' Sure': -10.725075}
{' No': -0.2055934, ' Yes': -1.8043444, 'No': -4.6769648, ' Mount': -5.887225, 'Yes': -6.504087}
{' No': -0.3992822, ' Yes': -1.1357114, 'No': -5.310699, 'Yes': -6.3276305, ' Nope': -7.484405}
{' Yes': -0.016937522, ' Ex': -4.536175, ' No': -5.729465, 'Yes': -6.015234, ' yes': -9.55153}
{' No': -0.06575395, ' Yes': -2.850397, ' Nope': -5.9679046, 'No': -5.9944215, ' Ex': -7.7948427}
{' Yes': -0.1745559, ' No': -1.9187118, ' Dollar': -4.445573, 'Yes': -7.163657, 'No': -8.362868}
{' Yes': -0.0058129807, ' No': -5.32866, 'Yes': -7.100741, ' yes': -10.277533, ' Sure': -10.92856}
{' Yes': -0.12876078, ' Planet': -2.4600024, ' No': -3.473598, 'Yes': -5.736051, 'Planet': -8.359948}
{' Yes': -0.44561827, ' Planet': -1.3699633, ' No': -2.3014913, 'Yes': -5.874872, 'Planet': -7.0588727}
{' Yes': -0.120219946, ' No': -2.2587278, 'Yes': -5.668049, ' Car': -5.6755676, 'No': -7.4176245}
{' Yes': -0.15639783, ' No': -1.9670649, 'Yes': -5.863932, ' Car': -7.168051, 'No': -7.4060407}
{' Yes': -0.033964977, ' Ass': -3.7259583, 'Yes': -5.457833, ' No': -5.539658, ' Absolutely': -8.18013}
{' Yes': -0.19229282, ' No': -1.8115671, 'Yes': -5.2640586, ' Ass': -5.7730756, 'No': -6.9105244}
{' No': -0.14054075, ' Yes': -2.660112, ' Circ': -3.3483691, ' Cir': -4.425155, ' Circus': -4.6615653}
{' No': -0.7083153, ' Circ': -1.2019353, ' Cir': -2.6016698, ' Yes': -2.7127557, ' Circus': -2.837031}
{' Yes': -0.045585178, ' No': -3.2160752, 'Yes': -5.8365016, ' Balloon': -7.6992407, ' yes': -8.665377}
{' Yes': -0.17593615, ' No': -2.060248, ' Bullet': -4.7413235, ' Balloon': -4.972419, 'Yes': -5.362385}
{' Yes': -0.019593718, ' No': -4.0069, 'Yes': -7.002996, ' Nope': -9.456604, ' Finger': -9.50755}
{' Yes': -0.11380999, ' No': -2.2521806, 'Yes': -6.738898, ' Finger': -7.471911, 'No': -8.282085}
{' No': -0.52925056, ' Yes': -1.2002329, ' Law': -2.6811767, ' Nope': -5.242933, ' L': -5.281915}
{' Yes': -0.30633318, ' No': -1.4052902, 'Yes': -5.6090627, ' Nope': -5.9389668, ' Law': -6.057569}
{' Yes': -0.22575843, ' No': -1.7124796, ' Smooth': -4.3201127, ' Nope': -5.878439, 'Yes': -5.903754}
{' Yes': -0.6651974, ' No': -0.74940497, ' Smooth': -5.327358, ' Nope': -6.0150166, 'No': -6.0678887}
{' Yes': -0.06923064, ' Cancer': -3.132034, ' No': -4.049537, 'Yes': -5.590959, ' Cance': -7.0581365}
{' Yes': -0.31686464, ' No': -1.4547029, ' Cance': -4.6426435, 'Yes': -5.052304, ' Dance': -5.4803977}
{' Yes': -0.025698334, ' Sc': -4.330931, 'Yes': -5.1997285, ' No': -5.528929, ' Scar': -7.1072793}
{' Yes': -0.017109342, ' No': -4.389809, 'Yes': -5.761748, ' Sc': -6.973408, ' Sure': -9.096106}
{' No': -0.074725136, ' Yes': -2.673709, 'No': -6.0070524, ' Nope': -8.112943, 'Yes': -8.564146}
{' No': -0.5883331, ' Yes': -0.8234043, 'No': -5.9421196, 'Yes': -6.310111, ' Nope': -6.7541156}
{' No': -0.19957353, ' Yes': -1.7337494, 'No': -5.9698124, ' Nope': -7.3396125, 'Yes': -7.363098}
{' No': -0.23971938, ' Yes': -1.5721855, 'No': -5.837562, 'Yes': -7.010144, ' Ex': -7.1300197}
{' No': -0.14266413, ' Yes': -2.0363464, 'No': -6.8187327, ' Nope': -6.843774, 'Yes': -8.785887}
{' No': -0.055044767, ' Yes': -2.963759, 'No': -6.501797, ' Nope': -8.154125, 'Yes': -9.41124}
{' No': -0.02537096, ' Yes': -3.8542168, 'No': -5.8333254, ' Nope': -7.300906, ' Not': -9.422605}
{' No': -0.013508463, ' Yes': -4.7543244, 'No': -5.509829, ' Nope': -8.025898, ' Cow': -8.287663}
{' No': -0.67266893, ' Yes': -1.179602, ' Finish': -1.7885727, 'No': -5.3028607, ' Fish': -5.7328167}
{' Yes': -0.1302515, ' No': -2.6374462, ' Finish': -3.2806628, 'Yes': -5.120917, ' Fish': -5.4543247}
{' No': -0.44933248, ' Yes': -1.0348942, 'No': -5.9947596, ' Nope': -6.4385943, 'Yes': -6.7255545}
{' Yes': -0.62802845, ' No': -0.79345477, ' Puzzle': -5.613553, ' Nope': -5.815837, 'Yes': -5.964883}
{' Yes': -0.004276499, ' Repeat': -6.4436088, ' No': -6.6735, 'Yes': -6.709434, ' Repe': -9.782411}
{' Yes': -0.013128401, ' No': -5.0030556, ' Repeat': -5.319218, 'Yes': -6.7649302, ' Repe': -8.747955}
{' Yes': -0.0048878035, ' Spider': -6.018117, 'Yes': -6.2230997, ' No': -8.611718, ' yes': -9.230353}
{' Yes': -0.049188465, ' No': -3.324045, ' Spider': -4.747228, 'Yes': -5.9839168, ' Sp': -8.732832}
{' Yes': -0.025313431, ' Candle': -4.212245, ' No': -4.915799, 'Yes': -6.3596964, ' Cand': -7.4472184}
{' Yes': -0.04778094, ' Candle': -3.2073324, 'Yes': -6.1522365, ' No': -6.426852, ' Cand': -6.434041}
{' Yes': -0.013441284, ' No': -4.523651, 'Yes': -6.4140334, ' Thr': -8.231291, '\n': -8.504171}
{' Yes': -0.019078886, ' No': -4.2546153, 'Yes': -6.087782, ' Thr': -6.93928, ' Th': -7.188845}
{' Yes': -0.024703948, ' No': -3.8512192, 'Yes': -6.3233294, ' Beach': -6.94236, '\n': -9.309425}
{' Yes': -0.012669764, ' No': -4.6246104, 'Yes': -6.3440866, ' Beach': -7.1723127, ' yes': -9.481849}
{' Yes': -0.0017036555, 'Yes': -6.9234715, ' No': -7.2969418, ' yes': -11.161693, '\n': -11.553258}
{' Yes': -0.062950104, ' No': -2.834669, 'Yes': -6.425304, ' Flower': -8.541977, 'No': -8.560646}
{' No': -0.017939752, ' Yes': -4.163003, 'No': -6.2319093, ' Nope': -9.454681, '\n': -9.794322}
{' No': -0.086505316, ' Yes': -2.5281157, 'No': -5.9844337, 'Yes': -8.250634, ' Nope': -9.212296}
{' No': -0.07513301, ' Yes': -2.7005658, 'No': -5.4874616, ' Indian': -7.540259, 'Yes': -8.479069}
{' No': -0.02936498, ' Yes': -3.7223468, 'No': -5.43642, ' Indian': -8.9154825, 'Yes': -9.232603}
{' Yes': -0.1571163, ' Orange': -1.9388545, 'Yes': -7.0361576, ' No': -8.06884, ' Or': -9.59829}
{' Yes': -0.049074393, ' Orange': -3.0968, 'Yes': -6.581045, ' No': -6.881593, ' yes': -9.511218}
{' Yes': -0.017053923, ' No': -4.348669, 'Yes': -5.807741, ' Hungry': -7.194021, 'No': -9.427687}
{' Yes': -0.19421619, ' No': -1.7640765, ' Hungry': -6.357628, 'Yes': -6.374401, ' Nope': -7.0739746}
{' Yes': -0.41942653, ' No': -1.1173903, ' Number': -4.4533467, 'Yes': -6.44139, 'No': -6.703373}
{' No': -0.13125734, ' Yes': -2.3227818, ' Number': -3.926946, 'No': -5.4931707, '\n': -7.7621584}
{' No': -0.2577244, ' Yes': -1.7545676, ' Mirror': -3.0820937, ' Mir': -5.516664, 'No': -5.9919796}
{' No': -0.03920838, ' Yes': -3.3783994, 'No': -6.3308415, ' Mirror': -6.378519, ' Mir': -7.560439}
{' Yes': -0.000493718, 'Yes': -7.694059, ' YES': -11.30931, ' yes': -11.382929, ' Mother': -12.073619}
{' Yes': -0.0010099844, 'Yes': -6.9365726, ' yes': -11.598646, ' YES': -11.699758, '\n': -11.712511}
{' No': -0.6888106, ' Yes': -0.7885324, ' Pepper': -3.519743, ' Pe': -5.1568737, 'No': -5.956561}
{' Yes': -0.6408222, ' No': -0.7628334, 'Yes': -6.3326573, 'No': -6.3616953, ' Pepper': -6.367398}
{' Yes': -0.016732398, ' Cheese': -4.873918, 'Yes': -5.3760977, ' No': -5.7655168, ' Che': -7.207373}
{' Yes': -0.003586486, 'Yes': -6.044802, ' Cheese': -7.0228715, ' No': -8.696581, ' YES': -10.118226}
{' Yes': -0.46765825, ' No': -0.9961216, ' Nope': -6.5282254, 'Yes': -6.6927657, 'No': -6.7607656}
{' No': -0.26518005, ' Yes': -1.4916682, 'No': -5.5979757, ' Nope': -5.9113455, 'Yes': -7.0867376}
{' No': -0.3006689, ' Yes': -1.3851492, ' Sure': -5.3294215, 'No': -6.207485, ' Squ': -6.71681}
{' No': -0.16960652, ' Yes': -1.9147296, ' Sure': -5.5818896, 'No': -5.8364897, ' Squ': -7.2225175}
{' Yes': -0.00104143, 'Yes': -7.1336913, ' No': -9.348897, ' Change': -9.434932, '\n': -10.220947}
{' Yes': -0.0045632715, ' No': -5.67162, 'Yes': -7.042214, ' Change': -8.857625, '\n': -10.0835085}
{' Yes': -0.013914959, ' No': -4.692227, 'Yes': -5.569735, ' Leaves': -7.6913533, ' YES': -8.863843}
{' Yes': -0.14540868, ' No': -2.0537071, 'Yes': -5.235218, ' Leaves': -7.3104, 'No': -7.763004}
{' Ending': -0.35670435, ' Yes': -1.4465576, ' No': -2.8162663, ' End': -6.4460096, 'Yes': -6.6494637}
{' Ending': -0.5398265, ' Yes': -0.9645472, ' No': -3.565507, 'Yes': -6.0607734, ' End': -6.0832677}
{' Yes': -0.072046325, ' Energy': -2.7612798, ' No': -5.6309013, 'Yes': -6.146911, 'Energy': -8.812827}
{' Yes': -0.18544675, ' Energy': -1.8598183, ' No': -4.586507, 'Yes': -6.23022, 'Energy': -7.7213354}
{' Yes': -0.012833728, ' No': -5.1640005, ' Father': -5.2273912, 'Yes': -6.6447835, ' yes': -9.383053}
{' Yes': -0.0045046536, ' No': -5.8820887, 'Yes': -6.6218843, ' Father': -8.16767, ' yes': -10.738159}
{' No': -0.29025245, ' Yes': -1.4074665, ' Pen': -5.781255, 'No': -5.928355, 'Yes': -7.14635}
{' Yes': -0.061499033, ' No': -2.8544085, 'Yes': -6.52746, ' Pen': -8.515671, 'No': -9.003234}
{' Yes': -0.051064048, ' Street': -3.0480003, 'Yes': -6.382725, ' No': -8.296576, ' YES': -9.046349}
{' Yes': -0.019351337, ' Street': -4.3282733, ' No': -5.852977, 'Yes': -5.972783, ' YES': -8.535942}
{' Yes': -0.0025934412, ' Strong': -6.390191, 'Yes': -7.2150526, ' No': -9.3505945, '\n': -10.329759}
{' Yes': -0.0041895267, ' Strong': -5.8246274, 'Yes': -7.0238385, ' No': -8.584858, '\n': -9.655483}
{' Yes': -0.044315893, ' Seller': -3.3346486, ' No': -5.058892, 'Yes': -6.8885956, ' yes': -9.019826}
{' Yes': -0.008528396, ' Seller': -5.137074, ' No': -6.68067, 'Yes': -6.8093877, ' yes': -8.88537}
{' Yes': -0.06629899, ' No': -3.2949922, ' Bl': -3.669767, 'Yes': -6.7671824, ' yes': -8.83676}
{' Yes': -0.17100577, ' No': -1.9167371, ' Bl': -5.043704, 'Yes': -6.219456, ' yes': -7.7564178}
{' Yes': -0.0085324235, ' No': -4.9436884, 'Yes': -6.9096723, ' B': -8.801945, '\n': -9.827531}
{' Yes': -0.02141263, ' No': -4.0224066, 'Yes': -6.24556, ' B': -7.618928, '\n': -8.123401}
{' Yes': -0.0028049524, ' No': -6.171546, 'Yes': -7.3071084, ' yes': -10.644801, ' YES': -11.4746685}
{' Yes': -0.07216157, ' No': -2.8103836, ' Prince': -5.160029, 'Yes': -6.322577, ' Princess': -7.426663}
{' Yes': -0.0035857079, 'Yes': -6.395832, ' No': -6.474405, ' Parent': -8.457108, ' yes': -9.830237}
{' Yes': -0.019325878, ' Parent': -4.325726, 'Yes': -5.718111, ' No': -6.3126125, ' Parents': -8.283817}
{' Yes': -0.0012659825, 'Yes': -6.885322, ' No': -8.507306, ' yes': -11.258687, ' YES': -11.356197}
{' Yes': -0.00092735497, 'Yes': -7.276848, ' No': -8.5465145, '\n': -10.849899, ' yes': -11.436878}
{' Yes': -0.4471702, ' No': -1.0340652, 'Yes': -6.486892, ' Weight': -6.492536, 'No': -6.714163}
{' Yes': -0.4891144, ' No': -0.9599129, ' Nope': -6.4244704, ' Weight': -7.222467, 'Yes': -7.297914}
{' Yes': -0.18781057, ' St': -2.6031203, ' Stars': -3.1088157, ' No': -3.3954558, 'Yes': -4.3340316}
{' Yes': -0.52988017, ' St': -1.6455817, ' Stars': -1.949697, ' No': -2.9666915, 'Yes': -4.7136817}
{' Yes': -0.0026078436, ' Doctor': -6.514111, 'Yes': -6.9562364, ' yes': -9.561773, ' No': -9.758051}
{' Yes': -0.02012955, ' Doctor': -4.160888, 'Yes': -6.2239294, ' No': -6.238967, ' yes': -8.722833}
{' No': -0.010720132, ' Yes': -5.0805426, 'No': -5.7508764, ' Nope': -7.5125437, ' Not': -7.605801}
{' No': -0.031212201, ' Yes': -3.7912161, 'No': -5.6654315, ' Not': -6.2818513, ' Nope': -6.368855}
{' No': -0.8507079, ' Yes': -1.038845, ' Tennis': -1.7220343, ' Tenn': -3.5977495, ' Ten': -5.281123}
{' Yes': -0.6595251, ' No': -1.0994189, ' Tennis': -2.1114998, ' Tenn': -4.127781, ' Ten': -5.3490067}
{' Yes': -0.4927859, ' No': -1.1629882, ' Bucket': -2.704488, ' Buck': -5.508477, 'Yes': -6.005721}
{' Yes': -0.6669326, ' Bucket': -1.0838008, ' No': -2.163797, ' Buck': -3.7233307, 'Yes': -5.821212}
{' Yes': -0.31741646, ' No': -1.409982, ' States': -3.8900232, 'Yes': -5.3308325, 'No': -7.2809553}
{' Yes': -0.28316614, ' No': -1.6670486, ' States': -3.1820672, 'Yes': -4.9072294, ' St': -5.153281}
{' Yes': -0.0023778502, 'Yes': -6.46046, ' No': -7.616763, ' Coffee': -9.512337, ' YES': -10.036897}
{' Yes': -0.005920839, ' No': -5.8490205, 'Yes': -6.135058, ' Coffee': -7.928327, ' Nope': -8.809686}
{' Yes': -0.38091007, ' No': -1.4359524, ' In': -2.7144804, ' inh': -5.165071, 'Yes': -5.9055953}
{' No': -0.05596704, ' Yes': -3.0691142, 'No': -5.542171, ' Nope': -5.8504825, ' Nah': -8.244193}
{' Yes': -0.019497136, ' Loving': -4.2021523, 'Yes': -6.0160403, ' Lov': -7.3790817, ' No': -7.6213107}
{' Yes': -0.008549015, 'Yes': -5.7388706, ' No': -5.7669334, ' Loving': -6.7487984, ' yes': -8.304146}
{' Yes': -0.13312033, ' No': -2.2233207, ' Turtle': -4.240618, 'Yes': -6.7089677, 'No': -8.790986}
{' No': -0.30837566, ' Yes': -1.3730081, ' Turtle': -4.5770984, 'No': -6.903688, 'Yes': -7.9573107}
{' Yes': -0.011228326, ' Butter': -5.2123394, ' No': -5.850419, 'Yes': -6.055357, ' But': -8.937036}
{' Yes': -0.08097813, ' No': -2.9453428, ' Butter': -3.864351, 'Yes': -5.960016, ' But': -7.587297}
{' Yes': -0.020481616, ' No': -3.9532034, 'Yes': -7.035235, ' yes': -9.536866, 'No': -10.187655}
{' Yes': -0.031688333, ' No': -3.5038295, 'Yes': -7.029212, ' yes': -9.525257, 'No': -9.6842575}
{' No': -0.62179404, ' Yes': -0.7750038, 'No': -6.812872, 'Yes': -7.073808, ' Nope': -8.836198}
{' No': -0.22246665, ' Yes': -1.6256155, 'No': -6.4433684, 'Yes': -7.925988, ' Nope': -7.961523}
{' Yes': -0.009557615, ' No': -5.4701424, 'Yes': -5.513296, ' She': -7.1082377, '\n': -8.635179}
{' Yes': -0.007971105, 'Yes': -5.399533, ' No': -5.898094, ' She': -8.052155, '\n': -9.199659}
{' Yes': -0.0062966724, ' No': -5.700505, 'Yes': -6.0817266, ' YES': -8.673464, ' Stress': -8.877567}
