{' Yes': -0.0061298776, 'Yes': -5.340942, ' Generally': -7.020786, ' yes': -8.552528, ' An': -10.049665}
{' No': -0.54600406, ' Yes': -1.6533382, 'No': -2.3118064, ' Generally': -3.3319097, ' Cats': -4.011506}
{' Yes': -0.21503238, ' No': -1.9591616, ' Generally': -3.9289012, 'Yes': -4.3422565, 'No': -4.4903545}
{' Yes': -0.057830926, 'Yes': -4.068966, ' No': -4.201666, ' Generally': -4.27437, ' A': -5.539366}
{' Yes': -0.16598038, ' Generally': -2.873267, ' No': -2.9541671, 'Yes': -4.240261, ' Cats': -4.498782}
{' Yes': -0.14119877, ' No': -3.0788646, ' Generally': -3.5156226, 'Yes': -3.602344, ' Cats': -4.8122654}
{' Yes': -0.008780491, ' No': -5.5263624, 'Yes': -5.7938256, ' yes': -7.316168, ' ': -7.3751297}
{' Yes': -0.0056460267, 'Yes': -5.7473965, ' No': -6.832531, ' ': -7.6624317, ' yes': -7.6897187}
{' Yes': -0.005490728, ' No': -6.1527567, 'Yes': -6.2292566, ' Generally': -7.580144, ' yes': -7.890172}
{' Yes': -0.12017101, ' No': -2.2668748, ' Generally': -5.9027896, 'Yes': -5.9051013, '\n': -7.00039}
{' No': -0.08061089, 'No': -2.7131886, '\n': -5.3206944, ' ': -5.8392634, ' Yes': -6.7143464}
{' No': -0.06631504, 'No': -2.8767664, '\n': -6.111292, ' A': -6.2594275, ' ': -6.3782206}
{' No': -0.15109952, ' Yes': -2.6896682, 'No': -3.2686608, ' Generally': -4.133235, ' Cats': -4.964587}
{' No': -0.09722434, 'No': -3.1515, ' Yes': -3.5656366, ' Generally': -5.107423, ' Cats': -5.1703367}
{' No': -0.15886377, 'No': -2.367173, '\n': -3.2602315, ' ': -4.6878333, ' Yes': -6.154217}
{' No': -0.14224826, 'No': -2.4870625, '\n': -3.6291065, ' ': -4.8016644, ' Yes': -4.9392395}
{' No': -0.38035557, '\n': -1.8755928, 'No': -2.6569285, ' Yes': -2.9418466, ' ': -3.7816427}
{' No': -0.1989186, 'No': -2.3641484, '\n': -2.7261956, ' ': -4.549033, ' Yes': -5.48129}
{' No': -0.5898764, ' Yes': -0.8301012, 'No': -5.4623847, ' ': -6.12791, 'Yes': -6.14629}
{' No': -0.13893409, ' Yes': -2.1549616, 'No': -4.5269613, ' ': -6.768346, 'Yes': -7.214028}
{' Yes': -0.27117804, ' No': -1.4681233, 'Yes': -5.931597, 'No': -6.1269975, ' ': -7.554209}
{' No': -0.015345679, 'No': -4.5414267, ' Yes': -5.6975603, ' ': -7.7375474, ' Cats': -7.859942}
{' No': -0.3334957, 'No': -1.4084086, '\n': -3.7720609, ' ': -4.5805373, ' A': -6.3172965}
{' No': -0.27789563, 'No': -1.5636202, '\n': -4.0463185, ' ': -4.7511935, ' A': -5.4457526}
{' No': -0.2848945, 'No': -1.6623359, '\n': -3.4330897, ' ': -4.2767034, ' Cats': -5.5171156}
{' No': -0.2609155, 'No': -1.6381986, '\n': -3.9726675, ' ': -4.593942, ' Cats': -5.858267}
{' No': -0.49145502, ' Yes': -1.0820655, 'No': -3.7106302, ' ': -5.0360155, 'Yes': -5.1347485}
{' No': -0.23396413, ' Yes': -1.8888161, 'No': -3.609313, ' A': -4.119461, ' ': -5.451684}
{' Yes': -0.14835998, ' No': -2.3501499, 'Yes': -4.421508, ' yes': -4.8729444, ' Generally': -5.2966247}
{' No': -0.434933, ' Yes': -1.2420027, 'No': -3.7000325, ' Cats': -4.8244886, ' ': -5.207896}
{' Yes': -0.49853593, ' No': -1.2009172, 'No': -3.477369, 'Yes': -3.904963, ' A': -3.9897156}
{' No': -0.8491357, ' Yes': -0.8942828, 'No': -2.5634472, ' A': -3.3290484, 'Yes': -3.821048}
{' Yes': -0.19126482, ' No': -2.6575572, 'Yes': -3.3125358, ' yes': -3.7816186, ' Generally': -4.3647933}
{' Yes': -0.48253587, ' No': -1.5351521, 'Yes': -3.1945527, 'No': -3.259613, ' yes': -3.712539}
{' No': -0.1578914, 'No': -2.19382, ' Yes': -3.4828997, 'Yes': -6.441769, ' Generally': -7.214047}
{' No': -0.124220036, 'No': -2.1609268, ' Yes': -7.2612934, ' ': -8.175477, ' Generally': -8.445009}
{' No': -0.83296055, ' Yes': -0.9873605, 'No': -2.2153726, ' Generally': -3.0663362, 'Yes': -3.7778974}
{' Yes': -0.8133903, ' No': -0.917789, 'No': -2.3451934, 'Yes': -3.428186, ' Generally': -3.8898098}
{' Yes': -0.64854753, ' No': -1.0140489, 'No': -2.6140358, 'Yes': -3.4100106, ' Generally': -5.781049}
{' No': -0.26143774, 'No': -1.8416378, ' Yes': -2.807895, 'Yes': -5.4741106, ' Generally': -5.650346}
{' Yes': -0.35213333, ' No': -1.7387643, 'Yes': -2.9745545, 'No': -3.1116014, ' Generally': -4.2343774}
{' Yes': -0.82572013, ' No': -0.93563116, 'No': -2.2773728, 'Yes': -3.1899683, ' Generally': -4.3006344}
{' No': -0.06657743, ' Yes': -3.4473033, 'No': -3.4993014, 'Yes': -7.254129, ' ': -7.3875628}
{' No': -0.36464828, ' Yes': -1.2965978, 'No': -3.682239, 'Yes': -5.3464313, ' A': -7.381989}
{' Yes': -0.10452289, ' No': -2.6380274, 'Yes': -4.163086, ' Generally': -5.35063, 'No': -5.355587}
{' Yes': -0.06901073, ' No': -3.2097137, 'Yes': -4.0770254, ' Generally': -5.7450047, 'No': -6.06658}
{' No': -0.40974194, 'No': -1.1226764, ' A': -5.970567, ' Generally': -6.3534417, '\n': -6.4317617}
{' No': -0.47630107, 'No': -1.0111731, ' A': -5.7288103, ' Generally': -5.7493386, ' Cats': -6.3259377}
{' No': -1.1916884, ' Yes': -1.2694035, 'No': -1.7554301, ' Generally': -2.5469398, ' Cats': -2.6950324}
{' No': -0.70969886, 'No': -0.93908614, ' Generally': -3.4153833, ' Cats': -4.084167, ' It': -4.1435456}
{' No': -0.34802794, ' Yes': -1.5361285, 'No': -2.7141473, 'Yes': -4.9350715, ' ': -6.601075}
{' No': -0.10672998, 'No': -2.3173337, ' Yes': -7.0209618, ' A': -7.392773, ' ': -7.970064}
{' Yes': -0.069826916, 'Yes': -3.4562974, ' Generally': -4.451117, ' No': -4.4714303, ' yes': -5.423337}
{' No': -0.72032213, ' Yes': -1.2315125, 'No': -2.2239633, ' Generally': -2.9731164, ' Cats': -3.7672973}
{' Yes': -0.058854908, ' yes': -3.0976198, 'Yes': -5.179626, ' No': -5.971932, ' ': -6.148764}
{' Yes': -0.042945296, ' yes': -3.4574466, 'Yes': -4.9017367, ' ': -6.387665, '\n': -7.4461155}
{' Yes': -0.018840156, ' yes': -4.294406, 'Yes': -5.8253207, ' No': -7.1092443, ' ': -7.612996}
{' Yes': -0.052275375, ' yes': -3.1221912, 'Yes': -5.291569, ' ': -7.574805, '\n': -7.9806023}
{' No': -0.22998856, ' Yes': -2.0671277, 'No': -2.786482, ' ': -5.491319, '\n': -5.5087514}
{' No': -0.43163517, ' Yes': -1.3795341, 'No': -2.7244513, ' A': -4.8501883, 'Yes': -4.949401}
{' Yes': -0.3274265, ' No': -1.5962366, 'No': -3.6965325, 'Yes': -3.993114, ' Generally': -4.343494}
{' No': -0.68596727, ' Yes': -0.921437, 'No': -2.9985054, 'Yes': -4.395049, ' Generally': -4.592307}
{' No': -0.49365595, ' Yes': -1.7037426, '\n': -2.406799, 'No': -2.5330389, ' ': -4.1935024}
{' No': -0.8225703, ' Yes': -1.1770473, '\n': -2.2641141, 'No': -2.5180275, 'Yes': -3.7919343}
{' Yes': -0.4288859, ' No': -1.8022416, '\n': -2.3355289, 'Yes': -3.340665, 'No': -3.6308358}
{' Yes': -0.64340466, ' No': -1.5218132, '\n': -2.1105468, 'No': -3.0042768, 'Yes': -3.0994403}
{' No': -0.14801222, ' Yes': -2.1601124, 'No': -4.141512, ' ': -6.064722, 'Yes': -6.5851126}
{' Yes': -0.07986586, ' No': -2.8268406, 'Yes': -4.5309157, ' yes': -6.0723643, 'No': -6.247291}
{' Yes': -0.071917266, ' No': -2.9483838, 'Yes': -4.730416, ' yes': -5.7998905, 'No': -6.438185}
{' Yes': -0.04554949, ' No': -3.6559849, 'Yes': -4.529579, ' yes': -5.647297, ' Generally': -6.3754005}
{' No': -0.33737406, 'No': -1.4563545, '\n': -3.4295368, ' ': -4.5001874, ' no': -5.283842}
{' No': -0.354546, 'No': -1.3812203, '\n': -3.358948, ' ': -5.0104585, ' no': -6.085103}
{' No': -0.29972774, 'No': -1.6535275, '\n': -3.1954165, ' ': -4.693717, ' Yes': -4.9093027}
{' No': -0.35742477, 'No': -1.4585447, '\n': -3.1328344, ' ': -4.807966, ' Yes': -4.8835506}
{' Yes': -0.32344386, ' No': -2.1507373, ' yes': -2.2058692, 'Yes': -4.0988545, '\n': -4.524982}
{' Yes': -0.18318073, ' yes': -2.5406713, ' No': -3.0365493, 'Yes': -4.2400656, '\n': -4.54747}
{' Yes': -0.14440408, ' yes': -2.4629123, 'Yes': -4.042176, ' No': -4.108788, '\n': -5.1291227}
{' Yes': -0.19459476, ' yes': -2.09563, 'Yes': -3.9836435, ' No': -4.111924, '\n': -4.945845}
{' Yes': -0.007648176, 'Yes': -5.485094, '\n': -6.635683, ' ': -7.24969, ' yes': -7.398866}
{' Yes': -0.007878947, 'Yes': -5.2636027, '\n': -7.1602645, ' yes': -7.214811, ' ': -7.582891}
{' Yes': -0.019136056, ' No': -4.8857493, '\n': -5.670966, 'Yes': -5.880916, ' Generally': -5.909639}
{' Yes': -0.05621839, ' No': -3.1715746, 'Yes': -5.628098, ' Generally': -5.716719, '\n': -6.113076}
{' No': -0.2522644, ' Yes': -2.3102956, 'No': -2.6899323, '\n': -3.3492303, ' ': -4.387419}
{' Yes': -0.4409453, ' No': -1.3054453, 'No': -3.7583146, '\n': -3.8461804, 'Yes': -4.135222}
{' No': -0.34213, ' Yes': -1.892711, '\n': -2.9041417, 'No': -3.114934, ' Generally': -4.202615}
{' No': -0.14136077, 'No': -2.9015994, ' Yes': -3.2365756, '\n': -4.034055, ' ': -5.056623}
{' No': -0.13973518, 'No': -2.9512663, ' Yes': -3.3278036, '\n': -3.6504087, ' ': -4.644807}
{' No': -0.46691522, ' Yes': -1.3018743, 'No': -3.1722584, '\n': -3.735756, ' A': -4.072469}
{' No': -0.33061486, ' Yes': -1.8717107, '\n': -2.9724832, 'No': -3.293593, ' Cats': -4.2756414}
{' No': -0.45591867, ' Yes': -1.3553461, 'No': -3.3965065, '\n': -3.670953, ' Cats': -3.7093098}
{' No': -0.14054973, ' Yes': -2.2886477, 'No': -4.446807, ' ': -4.7792044, '\n': -4.910247}
{' Yes': -0.016642395, 'Yes': -5.201884, '\n': -5.670859, ' No': -5.7362833, ' ': -5.7442937}
{' No': -0.43781567, ' Yes': -1.2890158, '\n': -3.4536788, 'No': -4.122609, ' ': -4.332625}
{' Yes': -0.14045356, ' No': -2.3347933, '\n': -4.347439, ' ': -4.906397, 'Yes': -5.0133457}
{' No': -0.08893037, 'No': -2.6796591, '\n': -4.750534, ' ': -5.021822, ' Yes': -7.6650667}
{' No': -0.07872089, 'No': -2.8040588, '\n': -4.939072, ' ': -5.3755636, ' A': -6.1035757}
{' No': -0.08186389, 'No': -2.9426787, '\n': -4.6300797, ' ': -4.805933, ' Yes': -5.509792}
{' No': -0.08049719, 'No': -2.9947963, '\n': -4.6412044, ' ': -4.9429445, ' Yes': -5.386828}
{' Yes': -0.21584988, ' No': -2.0400455, '\n': -3.8720465, ' ': -4.153695, 'Yes': -4.3687525}
{' Yes': -0.07438601, ' No': -3.6098433, 'Yes': -4.3730097, '\n': -4.6476603, ' A': -4.99594}
{' Yes': -0.13349769, ' No': -2.408156, 'Yes': -4.582743, '\n': -4.973658, ' ': -5.2425656}
{' Yes': -0.11545759, ' No': -2.64637, 'Yes': -4.531193, ' yes': -5.036927, '\n': -5.263623}
{' No': -0.020917071, 'No': -3.9897296, ' Generally': -6.495402, ' A': -8.381488, ' ': -8.846657}
{' No': -0.07843494, ' Yes': -3.1192887, 'No': -3.9512188, ' Generally': -4.838517, ' A': -6.0586324}
{' No': -0.04397327, ' Generally': -3.737815, 'No': -4.0905275, ' Not': -7.3425837, ' Cats': -7.9100943}
{' No': -0.04142404, 'No': -3.8256893, ' Generally': -4.1879196, ' Cats': -6.558023, ' Not': -7.6047726}
{' No': -0.078255154, 'No': -2.617373, ' Generally': -6.9934673, ' ': -7.4186583, ' A': -8.293957}
{' No': -0.07528691, 'No': -2.663992, ' Generally': -6.7818165, ' A': -7.321546, ' ': -7.481992}
{' No': -0.0790786, 'No': -2.7499177, ' Generally': -4.772693, ' Cats': -6.6033974, ' ': -7.4193726}
{' No': -0.0902801, 'No': -2.5385184, ' Generally': -5.805871, ' Cats': -6.2084002, ' ': -7.0638876}
{' No': -0.09127478, 'No': -2.4956727, '\n': -5.955004, ' ': -6.834864, ' Generally': -7.8016076}
{' No': -0.09085728, 'No': -2.5058658, '\n': -6.0598717, ' ': -6.832604, ' A': -6.86759}
{' No': -0.08617859, 'No': -2.656472, ' Generally': -5.604311, ' Cats': -5.816194, '\n': -6.182427}
{' No': -0.07928686, 'No': -2.7583983, ' Cats': -5.4185314, ' Generally': -5.9386697, ' ': -6.309745}
{' No': -0.02293743, 'No': -3.826486, ' Generally': -7.703792, ' A': -8.585724, ' ': -8.941755}
{' No': -0.04014736, 'No': -3.2846582, ' A': -6.9278083, ' Generally': -7.713693, ' ': -8.455785}
{' No': -0.04151835, 'No': -3.7821665, ' Generally': -4.2394648, ' Cats': -6.2708445, ' Not': -8.084529}
{' No': -0.035800915, 'No': -3.6375482, ' Generally': -5.370561, ' Cats': -5.7100134, ' ': -8.753214}
{' No': -0.13215221, 'No': -2.263534, '\n': -4.575729, ' ': -5.526068, ' A': -6.1033154}
{' No': -0.13372014, 'No': -2.2047918, ' Generally': -5.357162, ' A': -5.850489, '\n': -6.0239577}
{' No': -0.15182091, 'No': -2.3664892, '\n': -4.2834907, ' Cats': -4.5108747, ' ': -4.8687587}
{' No': -0.18133485, 'No': -2.002233, '\n': -4.7598653, ' Cats': -5.0633106, ' ': -5.186576}
{' No': -0.08510017, 'No': -2.686691, ' Generally': -4.8791504, ' A': -6.345692, ' ': -6.9963202}
{' No': -0.15315714, 'No': -2.736571, ' Generally': -3.5737596, ' Yes': -3.7423506, ' A': -4.239281}
{' No': -0.12565443, 'No': -2.3481617, ' Generally': -4.652623, ' Cats': -5.1045847, ' ': -6.2956967}
{' No': -0.1380468, 'No': -2.285607, ' Cats': -4.6029058, ' Generally': -4.755379, ' ': -6.243961}
{' No': -0.006554083, 'No': -5.263399, ' ': -6.9553432, '\n': -8.253325, ' no': -9.98581}
{' No': -0.0072236285, 'No': -5.174336, ' ': -6.989218, '\n': -8.030457, ' A': -8.422075}
{' No': -0.005832945, 'No': -5.3561006, '\n': -7.7760773, ' ': -7.816089, ' Generally': -8.888221}
{' No': -0.0069216876, 'No': -5.3700237, ' ': -7.2790146, '\n': -7.3940086, ' Generally': -7.5956087}
{' No': -0.09334253, 'No': -2.5787437, '\n': -4.801625, ' ': -5.499268, ' A': -7.6468053}
{' No': -0.05346603, 'No': -3.0592053, '\n': -6.1491404, ' ': -6.177434, ' A': -7.3143973}
{' No': -0.048990075, 'No': -3.147068, ' ': -6.0636477, '\n': -6.534042, ' Cats': -7.7176}
{' No': -0.04175336, 'No': -3.3287363, ' ': -6.21787, ' Cats': -6.839315, '\n': -7.075866}
{' No': -0.18100213, 'No': -2.3621526, '\n': -2.8340895, ' ': -4.600203, ' A': -6.6555023}
{' No': -0.14094296, 'No': -2.4647763, '\n': -3.2736259, ' ': -4.9894953, ' A': -6.786033}
{' No': -0.2751809, '\n': -1.9723626, 'No': -2.5109844, ' ': -4.107591, ' Cats': -6.403515}
{' No': -0.16238008, 'No': -2.5315075, '\n': -2.8349893, ' ': -4.687326, ' Cats': -6.887598}
{' No': -0.010110795, 'No': -4.746877, ' ': -6.837339, '\n': -8.897083, ' NO': -9.81901}
{' No': -0.009190782, 'No': -4.805959, ' ': -7.1700883, '\n': -9.318709, ' A': -9.717101}
{' No': -0.010138732, 'No': -4.649768, ' ': -8.160475, ' Cats': -9.358153, '\n': -10.007305}
{' No': -0.010736158, 'No': -4.5833015, ' ': -8.174342, ' Cats': -9.546074, '\n': -10.244437}
{' No': -0.3469194, 'No': -1.3829283, '\n': -3.6823294, ' ': -4.5732446, ' A': -6.048358}
{' No': -0.25185013, 'No': -1.6516037, '\n': -3.9964435, ' ': -4.74303, ' A': -6.2704062}
{' No': -0.28933394, 'No': -1.6049906, '\n': -3.4319708, ' ': -4.4766173, ' NO': -5.9553}
{' No': -0.22055957, 'No': -1.7583784, '\n': -4.3415065, ' ': -4.7932286, ' Cats': -6.2240977}
{' No': -0.059072472, 'No': -3.0140548, ' ': -5.558865, '\n': -6.312678, ' A': -6.889629}
{' No': -0.05011742, 'No': -3.2156675, ' ': -5.695555, ' A': -5.799644, '\n': -6.725912}
{' No': -0.06853922, 'No': -2.8785975, ' ': -5.5521145, '\n': -6.2006383, ' NO': -6.7186575}
{' No': -0.054127917, 'No': -3.1553469, ' ': -5.679759, ' Cats': -6.4294224, '\n': -6.435355}
{' No': -0.10983512, 'No': -2.359694, ' A': -5.816766, ' no': -5.936424, ' ': -6.42281}
{' No': -0.1347618, 'No': -2.1717222, ' A': -4.968135, ' ': -6.5259333, ' no': -6.9117007}
{' No': -0.14995143, 'No': -2.1211734, '\n': -5.6324186, ' no': -5.813823, ' Generally': -5.8657293}
{' No': -0.15424569, 'No': -2.0433142, ' no': -5.897129, '\n': -5.9603825, ' Cats': -6.242671}
{' No': -0.119981885, 'No': -2.1892967, ' ': -7.6429596, ' no': -8.51981, ' NO': -8.931154}
{' No': -0.087148406, 'No': -2.4885042, ' ': -8.210438, ' no': -9.755451, ' NO': -10.778691}
{' No': -0.19824968, 'No': -1.753372, ' Generally': -5.529279, ' Cats': -7.2805476, ' ': -7.6584754}
{' No': -0.17281991, 'No': -1.8629864, ' Generally': -6.3257146, ' Cats': -7.4262314, ' ': -8.18536}
{' No': -0.15497443, 'No': -1.9587501, ' ': -7.086746, '\n': -7.653172, ' Generally': -8.089004}
{' No': -0.16518603, 'No': -1.8958244, ' ': -7.3801994, ' A': -7.5115447, '\n': -7.852871}
{' No': -0.2195916, 'No': -1.6818298, ' Generally': -5.5719566, ' Cats': -6.4216895, '\n': -6.454925}
{' No': -0.20339324, 'No': -1.7328808, ' Cats': -6.272664, ' Generally': -6.3210745, ' ': -6.94691}
{' No': -0.031372894, 'No': -3.501332, ' ': -8.076621, ' A': -9.186243, ' NO': -9.38276}
{' No': -0.033346437, 'No': -3.4410632, ' ': -8.258351, ' A': -8.317153, ' Yes': -9.873524}
{' No': -0.055061013, 'No': -2.983352, ' Generally': -6.8649616, ' Cats': -7.023428, ' ': -7.869077}
{' No': -0.04053585, 'No': -3.2646587, ' Cats': -7.4232984, ' Generally': -8.103614, ' ': -8.256369}
{' No': -0.46156463, 'No': -1.0094658, '\n': -6.3324404, ' ': -6.9168625, ' A': -7.101989}
{' No': -0.5471169, 'No': -0.8884903, ' Generally': -5.9298434, ' A': -6.2925034, '\n': -6.489642}
{' No': -0.4708068, 'No': -1.0607477, ' Cats': -4.4973598, ' Generally': -4.8190846, '\n': -5.6969}
{' No': -0.6803089, 'No': -0.7431713, ' Cats': -5.2208095, ' Generally': -5.668312, 'C': -6.2955465}
{' No': -0.1001417, 'No': -2.4093344, '\n': -6.477966, ' ': -6.7813373, ' A': -6.850384}
{' No': -0.08564976, 'No': -2.5243552, ' A': -7.3226337, ' ': -7.756256, '\n': -8.255158}
{' No': -0.20819877, 'No': -1.8988762, ' Generally': -4.3477993, ' Cats': -4.5023127, ' Yes': -6.18831}
{' No': -0.25306925, 'No': -1.6199993, ' Cats': -4.562589, ' Generally': -4.9382405, ' Yes': -6.425076}
{' No': -0.014718948, 'No': -5.0849056, ' no': -5.564791, ' ': -5.5661025, '\n': -7.7632422}
{' No': -0.016077237, 'No': -4.6514893, ' ': -5.5615044, ' no': -6.5343666, '\n': -7.30121}
{' No': -0.0076557444, 'No': -5.5209193, ' ': -6.292514, ' no': -6.6934466, '\n': -8.218765}
{' No': -0.013625132, 'No': -4.8188252, ' ': -6.021403, ' no': -6.1882734, '\n': -7.491233}
{' No': -0.09439543, 'No': -2.5405777, '\n': -5.2712774, ' ': -5.426102, ' no': -6.923121}
{' No': -0.1016115, 'No': -2.4121678, '\n': -5.8247747, ' ': -5.9634414, ' A': -7.4458084}
{' No': -0.08493864, 'No': -2.6479402, '\n': -5.1372933, ' ': -5.740107, ' no': -7.5163007}
{' No': -0.08553755, 'No': -2.6053987, '\n': -5.6602864, ' ': -5.8102193, ' no': -7.4318576}
{' No': -0.20958978, 'No': -2.0399673, '\n': -3.0690813, ' ': -4.727671, ' no': -6.4040136}
{' No': -0.19465753, 'No': -1.9236557, '\n': -3.8302147, ' ': -5.0766897, ' A': -6.6910563}
{' No': -0.22858155, 'No': -2.260396, '\n': -2.444108, ' ': -4.617076, ' NO': -7.026117}
{' No': -0.21233808, 'No': -2.022532, '\n': -3.0567992, ' ': -4.830027, ' Cats': -6.64625}
{' No': -0.026203731, 'No': -3.7656271, ' ': -6.51953, ' no': -7.410485, '\n': -7.6462007}
{' No': -0.029712886, 'No': -3.6119344, ' ': -6.6128654, '\n': -7.730826, ' A': -8.370407}
{' No': -0.029614218, 'No': -3.60208, ' ': -7.245463, '\n': -7.5838804, ' no': -7.7815623}
{' No': -0.026165243, 'No': -3.7187328, ' ': -7.5070043, '\n': -8.140198, ' no': -8.290192}
{' No': -0.3652468, 'No': -1.3784724, '\n': -3.3605509, ' ': -4.564143, ' no': -5.3804493}
{' No': -0.35863128, 'No': -1.4023248, '\n': -3.154013, ' ': -4.8479795, ' no': -5.994024}
{' No': -0.36404842, 'No': -1.4319444, '\n': -3.0554354, ' ': -4.6790233, ' no': -5.3850365}
{' No': -0.29761797, 'No': -1.5002488, '\n': -3.8272972, ' ': -5.0828104, ' no': -5.6824346}
{' No': -0.09436274, 'No': -3.0776885, ' no': -3.6004488, '\n': -4.917692, ' ': -5.115805}
{' No': -0.06699914, 'No': -3.2107923, ' no': -4.617802, '\n': -5.0524364, ' ': -5.360886}
{' No': -0.0998921, 'No': -2.8142629, ' no': -4.2209196, '\n': -4.500571, ' ': -5.2200894}
{' No': -0.10556823, 'No': -2.7156658, ' no': -4.110034, '\n': -4.7000427, ' ': -5.4578943}
{' No': -0.016558522, 'No': -4.7820115, '\n': -5.2244534, ' ': -6.0939035, ' A': -8.709592}
{' No': -0.01756031, 'No': -4.42155, '\n': -5.8406496, ' ': -6.338763, ' A': -7.584222}
{' No': -0.028457763, '\n': -4.3556843, 'No': -4.570677, ' ': -5.805588, ' Generally': -6.756666}
{' No': -0.017797215, 'No': -4.4508433, '\n': -5.891879, ' ': -6.409927, ' Generally': -7.165654}
{' No': -0.10812548, 'No': -2.6411588, '\n': -3.78993, ' ': -4.8727794, ' A': -8.086926}
{' No': -0.08172061, 'No': -2.8814318, '\n': -4.1398454, ' ': -5.284767, ' A': -6.996887}
{' No': -0.111828774, 'No': -2.9984481, '\n': -3.1027858, ' ': -4.739314, ' Cats': -6.9089046}
{' No': -0.08197885, 'No': -3.014302, '\n': -3.8396711, ' ': -5.3017244, ' Cats': -6.1897154}
{' No': -0.111479685, 'No': -2.7407749, '\n': -3.4443347, ' ': -4.9071794, ' A': -7.1286325}
{' No': -0.079718925, 'No': -2.9544005, '\n': -4.0279765, ' ': -5.3708563, ' A': -6.44308}
{' No': -0.112010755, '\n': -3.002815, 'No': -3.1162584, ' ': -4.720636, ' Cats': -6.285811}
{' No': -0.07297588, 'No': -3.2680938, '\n': -3.7938523, ' ': -5.1484, ' Cats': -5.828078}
{' No': -0.020000445, 'No': -4.408396, ' ': -5.4850445, '\n': -5.7738857, ' A': -8.959075}
{' No': -0.024607545, 'No': -4.092004, ' ': -5.5768437, '\n': -5.7691445, ' A': -7.52108}
{' No': -0.03348757, 'No': -3.9807987, '\n': -4.6838207, ' ': -5.491907, ' Cats': -7.8163333}
{' No': -0.035426244, 'No': -3.7753325, '\n': -5.156644, ' ': -5.561612, ' Cats': -6.5496416}
{' No': -0.06320189, 'No': -3.071329, '\n': -4.9263663, ' ': -5.005205, ' A': -7.7099853}
{' No': -0.05621442, 'No': -3.1564379, '\n': -5.0004816, ' ': -5.498374, ' A': -6.8984566}
{' No': -0.06785337, 'No': -3.140298, '\n': -4.546748, ' ': -4.693925, ' Cats': -6.5364404}
{' No': -0.07091125, 'No': -3.0579886, '\n': -4.592258, ' ': -4.9287543, ' Cats': -5.7536764}
{' No': -0.057780404, 'No': -3.3683536, '\n': -4.5300074, ' ': -4.767928, ' A': -6.9315114}
{' No': -0.04871455, 'No': -3.4853258, '\n': -5.0173464, ' ': -5.264304, ' A': -5.5926566}
{' No': -0.0543914, 'No': -3.2963176, '\n': -4.8248415, ' ': -5.1398005, ' Cats': -7.369053}
{' No': -0.0397152, 'No': -3.6375906, ' ': -5.4578915, '\n': -5.5569286, ' Cats': -6.022869}
{' Yes': -0.004356775, 'Yes': -5.9527225, ' Generally': -6.5090747, ' yes': -9.005047, ' ': -10.763298}
{' Yes': -0.2104093, ' No': -2.084942, ' Generally': -3.487257, ' It': -4.1578636, 'Yes': -5.1082077}
{' Yes': -0.036032673, ' Generally': -3.685109, 'Yes': -5.698033, ' B': -5.7739015, ' In': -6.735165}
{' Yes': -0.03392021, ' Generally': -4.078054, ' B': -4.9812984, 'Yes': -5.2867985, ' On': -6.6838064}
{' Yes': -0.027966486, ' Generally': -4.3322, 'Yes': -4.5275335, ' It': -7.1974173, ' yes': -7.566736}
{' Yes': -0.14767776, ' No': -2.5798504, 'Yes': -3.9269533, ' Generally': -3.970369, 'No': -4.9619627}
{' Yes': -0.02924585, ' Generally': -4.237246, 'Yes': -4.672554, ' B': -6.024719, ' In': -7.398131}
{' Yes': -0.03694192, 'Yes': -4.3235416, ' B': -4.6183796, ' Generally': -5.1930904, ' No': -5.338045}
{' Yes': -0.019959766, 'Yes': -4.1252756, ' Generally': -6.765046, ' yes': -7.482214, '\n': -7.615738}
{' No': -0.75028265, ' Yes': -0.83876836, 'No': -3.296774, ' It': -3.9962275, ' Generally': -4.5924516}
{' Yes': -0.026601218, 'Yes': -4.0941367, ' Generally': -5.6057534, ' B': -5.8596754, '\n': -7.494797}
{' Yes': -0.028533991, 'Yes': -4.0615807, ' B': -5.103746, ' Generally': -6.250154, ' No': -7.2526107}
{' Yes': -0.012807347, ' Generally': -4.844243, 'Yes': -5.828372, ' A': -7.871691, ' On': -7.924306}
{' Yes': -0.32907256, ' No': -1.4188418, ' Generally': -4.5915556, 'Yes': -4.8860927, 'No': -4.9339933}
{' Yes': -0.026199754, ' Generally': -4.368246, ' B': -4.9762554, 'Yes': -5.4411983, ' On': -7.5213323}
{' Yes': -0.047623277, ' B': -3.766659, ' Generally': -4.668795, 'Yes': -4.8164716, ' No': -6.064593}
{' Yes': -0.061129883, 'Yes': -3.896945, ' No': -4.2115736, ' Generally': -4.8930426, '\n': -4.9926004}
{' No': -0.11811791, 'No': -2.3862777, '\n': -5.203874, ' Generally': -5.5119967, ' ': -6.0358624}
{' Yes': -0.072508596, 'Yes': -3.4673104, ' Generally': -4.7336183, ' B': -4.979998, ' No': -5.253898}
{' Yes': -0.8188846, ' No': -1.4523475, ' B': -1.6402863, 'No': -3.0557792, 'Yes': -3.73902}
{' Yes': -0.022839183, ' Generally': -4.6694436, 'Yes': -4.7117143, ' yes': -6.9516115, ' A': -7.361746}
{' Yes': -0.104379505, ' Generally': -3.3062892, ' No': -3.5825517, 'Yes': -4.1149426, ' A': -5.382917}
