{' Right': -0.039885, ' Left': -3.3768294, ' right': -5.4826035, ' left': -7.4533596, 'Right': -8.778944}
{' Left': -0.07758103, ' left': -2.6767821, ' Right': -5.480123, 'Left': -6.9270563, 'left': -7.5832343}
{' Left': -0.08506317, ' left': -2.6748533, ' Right': -4.5449934, 'Left': -7.0324183, ' right': -7.46514}
{' Left': -0.33827025, ' Right': -1.750038, ' left': -2.3698654, ' right': -3.9985063, 'Left': -7.474743}
{' Left': -0.16643378, ' left': -1.9012378, ' Right': -6.313473, 'Left': -6.81428, 'left': -7.1010394}
{' Left': -0.068316594, ' Right': -3.0925417, ' left': -3.9250307, ' right': -7.528708, 'Left': -8.47272}
{' Left': -0.05969271, ' Right': -3.3602734, ' left': -3.801962, ' right': -7.5244956, 'Left': -8.569061}
{' Left': -0.08161002, ' left': -3.2135584, ' Right': -3.31473, ' right': -6.535801, 'Left': -8.643703}
{' Left': -0.11295151, ' Right': -2.8681014, ' left': -3.0379658, ' right': -6.532198, 'left': -8.181341}
{' Left': -0.67007095, ' Right': -1.0385593, ' left': -2.4810812, ' right': -3.0905437, 'Right': -6.081411}
{' Left': -0.5436018, ' Right': -1.5357186, ' left': -1.8965489, ' right': -3.0154986, 'Left': -6.4122043}
{' Right': -0.98196346, ' Left': -1.1295254, ' right': -1.8601849, ' left': -1.9645532, 'Right': -5.9720373}
{' Left': -0.55784816, ' Right': -1.6234189, ' left': -1.7114277, ' right': -3.1701314, 'Left': -5.8261504}
{' Right': -0.070223205, ' Left': -2.8619823, ' right': -4.762514, ' left': -6.3317657, 'Right': -8.238041}
{' Left': -0.032317337, ' left': -3.4644022, 'Left': -8.004693, 'left': -9.269781, ' Right': -9.441048}
{' Left': -0.20524104, ' left': -1.7042032, ' Right': -6.0341325, 'left': -7.5559635, 'Left': -7.5826054}
{' Left': -0.18307531, ' left': -1.8183787, ' Right': -5.5635796, 'left': -7.737751, ' right': -7.8308964}
{' Right': -0.6848817, ' Left': -0.7586522, ' left': -3.936228, ' right': -4.9289513, 'Right': -8.053463}
{' Left': -0.01783423, ' left': -4.1131253, 'Left': -7.304827, ' Right': -7.713904, 'left': -8.539194}
{' Left': -0.07498054, ' left': -2.706082, ' Right': -5.668663, 'Left': -6.860222, 'left': -7.12183}
{' Left': -0.1294214, ' left': -2.1701586, ' Right': -5.233736, 'left': -7.0022583, 'Left': -7.3743095}
{' Right': -0.30661598, ' Left': -1.6382905, ' right': -3.1570418, ' left': -3.7134364, 'Right': -6.632782}
{' Left': -0.11034309, ' left': -2.283908, 'Left': -6.717389, 'left': -6.999469, ' Right': -7.7462816}
{' Left': -0.29053932, ' left': -1.4008431, 'left': -6.0641766, ' Right': -6.350868, 'Left': -6.6286106}
{' Left': -0.3740421, ' left': -1.2265736, ' Right': -4.433574, ' right': -5.710668, 'left': -5.998912}
{' Right': -0.5444548, ' Left': -1.1691438, ' right': -2.8471146, ' left': -2.9889927, 'Right': -7.9597716}
{' Left': -0.12804876, ' left': -2.1304119, 'Left': -7.2932215, 'left': -7.9720964, ' Right': -7.986165}
{' Left': -0.43045515, ' left': -1.0648221, ' Right': -6.102376, 'left': -6.8264723, 'Left': -7.0642977}
{' Left': -0.441854, ' left': -1.2678828, ' Right': -2.938968, ' right': -3.8330224, 'left': -7.302875}
{' Right': -0.36489764, ' Left': -1.3458337, ' left': -3.8428028, ' right': -3.848334, 'Right': -6.5990205}
{' Left': -0.065551035, ' left': -2.794198, 'Left': -6.4070997, 'left': -7.5254197, ' Right': -9.336053}
{' Left': -0.09917093, ' left': -2.405203, 'Left': -6.0760975, 'left': -6.7574277, ' Right': -7.341959}
{' Left': -0.18610583, ' left': -1.9866447, ' Right': -3.6131399, ' right': -6.0403857, 'Left': -6.4208794}
{' Left': -0.68267673, ' Right': -0.729445, ' left': -4.737526, ' right': -5.692644, 'Right': -8.686153}
{' Left': -0.0114894835, ' left': -4.5259624, 'Left': -7.7560415, 'left': -9.137536, ' Right': -9.678262}
{' Left': -0.056528624, ' left': -2.947884, ' Right': -6.7152367, 'Left': -7.3641057, 'left': -7.3774567}
{' Left': -0.046822894, ' left': -3.1733637, ' Right': -5.758528, 'left': -8.031325, 'Left': -8.091775}
{' Right': -0.17460124, ' Left': -2.5043168, ' right': -2.863194, ' left': -4.476897, 'Right': -4.915019}
{' Left': -0.06854502, ' left': -2.8783364, 'Left': -4.8821073, ' Right': -6.612154, 'left': -6.910773}
{' Left': -0.34144467, ' left': -1.4188582, ' Right': -3.6144986, 'Left': -4.672978, ' right': -5.0715547}
{' Left': -0.51671576, ' left': -1.287319, ' Right': -2.4907908, ' right': -3.36285, 'Left': -5.360952}
{' Left': -0.6908118, ' Right': -0.77203053, ' left': -3.6403663, ' right': -4.58198, 'Right': -9.344066}
{' Right': -0.0036028768, ' right': -6.1465206, ' Left': -6.6570563, 'Right': -8.910693, ' left': -10.949616}
{' Right': -0.06963768, ' Left': -2.8675902, ' right': -4.822703, ' left': -6.1678176, 'Right': -8.460491}
{' Right': -0.07261441, ' right': -2.7690501, ' Left': -5.101991, ' left': -6.9882765, 'Right': -8.530775}
{' Left': -0.2820421, ' Right': -1.6305567, ' left': -3.1261065, ' right': -5.3184075, 'Left': -7.665074}
{' Right': -0.009885452, ' right': -5.1403365, ' Left': -5.796647, 'Right': -7.18732, 'right': -9.2651}
{' Right': -0.12685677, ' Left': -2.264533, ' right': -4.6082444, ' left': -5.5539026, 'Right': -6.8856053}
{' Right': -0.35630822, ' Left': -1.4149497, ' right': -3.3727477, ' left': -3.8543968, 'Right': -7.389112}
{' Right': -0.22419348, ' Left': -1.8067796, ' right': -3.7177773, ' left': -4.496874, 'Right': -7.2962832}
{' Right': -0.18765344, ' Left': -1.9909695, ' right': -3.790253, ' left': -4.6055555, 'Right': -6.70608}
{' Right': -0.16934003, ' Left': -2.088102, ' right': -3.8539827, ' left': -4.7789702, 'Right': -6.588764}
{' Right': -0.0929617, ' right': -2.9585679, ' Left': -3.4569695, ' left': -5.651424, 'Right': -6.819}
{' Left': -0.6955736, ' Right': -1.1425378, ' left': -2.0139139, ' right': -3.0391765, 'left': -8.064913}
{' Right': -0.07779568, ' right': -2.7083688, ' Left': -5.0871744, ' left': -6.757725, 'Right': -7.4441586}
{' Right': -0.29356337, ' right': -2.2084706, ' Left': -2.2223678, ' left': -3.3711061, 'Right': -7.10921}
{' Right': -0.58219546, ' right': -1.4016076, ' Left': -2.04846, ' left': -2.7395346, 'right': -7.2225184}
{' Right': -0.12503839, ' Left': -2.362799, ' right': -4.0240192, ' left': -5.4514565, 'Right': -7.064709}
{' Right': -0.45607743, ' Left': -1.0912797, ' left': -4.0903907, ' right': -4.4578037, 'Right': -6.7441955}
{' Right': -0.5178531, ' Left': -0.99018896, ' left': -3.9466364, ' right': -4.524683, 'Right': -6.693863}
{' Left': -0.4070634, ' Right': -1.2427834, ' left': -3.3522978, ' right': -4.681361, 'Left': -7.313742}
{' Right': -0.45756942, ' Left': -1.0527004, ' left': -4.492241, ' right': -5.0135956, 'Right': -8.757694}
{' Right': -0.012486696, ' Left': -4.9095297, ' right': -5.413306, 'Right': -8.035775, ' left': -8.636861}
{' Right': -0.015699454, ' Left': -4.4552574, ' right': -5.707622, 'Right': -8.007125, ' left': -8.484459}
{' Right': -0.17241149, ' Left': -1.9549508, ' right': -4.4607415, ' left': -5.3248124, 'Right': -8.415117}
{' Right': -0.6310223, ' Left': -0.90808004, ' left': -3.3973129, ' right': -3.6960666, 'Right': -5.774468}
{' Right': -0.14689377, ' Left': -2.2728283, ' right': -3.8994017, 'Right': -5.0837145, ' left': -5.2226114}
{' Right': -0.2068575, ' Left': -2.1073167, ' right': -3.214893, ' left': -4.3162723, 'Right': -4.77049}
{' Left': -0.32956916, ' Right': -1.8155519, ' left': -2.3412614, ' right': -4.2584, 'Left': -5.548933}
{' Left': -0.063656926, ' Right': -3.2075186, ' left': -3.897355, ' right': -7.43257, 'Left': -8.380841}
{' Right': -0.025165439, ' right': -3.7423053, ' Left': -7.3233733, 'Right': -7.9887767, 'right': -9.382534}
{' Left': -0.6244984, ' Right': -1.2501355, ' left': -2.0772762, ' right': -2.9537964, 'Right': -8.741465}
{' Right': -0.10269311, ' right': -2.6607318, ' Left': -3.8016982, ' left': -5.349952, 'Right': -7.8107486}
{' Left': -0.034253668, ' left': -3.466264, 'Left': -6.7715087, ' Right': -6.950105, 'left': -8.092072}
{' Right': -0.032830708, ' right': -3.5120597, 'Right': -6.4711432, ' Left': -7.665012, 'right': -7.885434}
{' Left': -0.2934229, ' left': -1.3781282, 'left': -6.887483, 'Left': -6.9439874, ' Right': -8.433876}
{' Right': -0.08762891, ' right': -2.5998685, ' Left': -5.162429, 'Right': -6.223563, ' left': -6.610545}
{' Left': -0.03944551, ' left': -3.3251338, 'Left': -6.7471666, ' Right': -6.882013, 'left': -7.8084273}
{' Right': -0.037246447, ' right': -3.4461114, 'Right': -6.1281505, ' Left': -6.5460577, 'right': -7.1879725}
{' Left': -0.20528801, ' left': -1.7323551, ' Right': -5.1286583, 'Left': -6.9806266, 'left': -6.9807277}
{' Right': -0.21098605, ' Left': -2.1314344, ' right': -2.985139, ' left': -4.0063314, 'Right': -6.374247}
{' Left': -0.23500758, ' left': -1.7002691, ' Right': -3.872846, ' right': -5.4073744, 'Left': -7.042933}
{' Right': -0.25060672, ' right': -1.5216715, 'Right': -6.458732, 'right': -7.247638, ' Left': -7.2716117}
{' left': -0.5433961, ' Left': -1.0022413, ' right': -3.5094793, ' Right': -3.892803, 'left': -7.0667186}
{' Right': -0.5344461, ' right': -0.9685282, ' left': -4.128698, ' Left': -4.145013, 'Right': -6.6708674}
{' Left': -0.05054673, ' left': -3.0793455, 'Left': -6.229234, ' Right': -7.211839, 'left': -7.5235133}
{' Right': -0.02762893, ' right': -3.7503784, 'Right': -5.9400277, 'right': -7.614798, ' Left': -7.6669493}
{' Left': -0.15575323, ' left': -1.9559909, 'Left': -6.561791, 'left': -7.021184, ' Right': -7.7253156}
{' Right': -0.110588714, ' Left': -2.8449352, ' right': -3.3307102, ' left': -4.8991113, 'Right': -6.035157}
{' Left': -0.041393038, ' left': -3.85165, ' Right': -3.986381, 'Left': -7.9307876, ' right': -8.408467}
{' Right': -0.026553536, ' right': -3.6863074, 'Right': -7.301141, ' Left': -8.41059, 'right': -8.798799}
{' Left': -0.19689041, ' left': -2.4025311, ' Right': -2.491116, ' right': -5.3476205, 'Left': -8.1985235}
{' Right': -0.05859341, ' right': -3.3246436, ' Left': -4.0647655, ' left': -6.0061316, 'Right': -7.0855193}
{' Left': -0.117777556, ' left': -2.626479, 'Left': -3.850001, ' Right': -4.391566, 'left': -5.7972927}
{' Right': -0.19945374, ' right': -2.206942, 'Right': -3.2231066, 'right': -4.094692, ' Left': -4.434313}
{' Left': -0.34430686, ' left': -1.4015063, 'Left': -3.722097, 'left': -4.476269, ' Right': -5.0661235}
{' Right': -0.5438781, ' Left': -1.5889391, ' right': -2.1602185, ' left': -2.9382184, 'Right': -3.5367653}
{' Right': -0.5623625, ' Left': -0.8664568, ' left': -5.1791263, ' right': -5.5658984, 'Right': -9.1729355}
{' Left': -0.031035855, ' left': -3.6809552, ' Right': -5.3079004, 'Left': -8.688407, 'left': -8.819804}
{' Right': -0.032396633, ' right': -3.4771652, ' Left': -7.368791, 'Right': -8.499446, 'right': -9.179382}
{' Left': -0.04988131, ' left': -3.0576575, ' Right': -6.8011804, 'left': -8.233095, 'Left': -8.311184}
{' Left': -0.025808236, ' Right': -4.188207, ' left': -4.6587753, 'Left': -7.5786567, 'left': -8.461678}
{' Left': -0.020866007, ' left': -4.003467, ' Right': -6.641139, 'Left': -7.3141546, 'left': -7.80239}
{' Right': -0.030459007, ' right': -3.986912, ' Left': -4.605822, 'Right': -7.1942883, ' left': -7.949915}
{' Left': -0.0364208, ' left': -3.3726096, 'Left': -7.2234125, 'left': -7.4042454, ' Right': -9.014694}
{' Left': -0.016981235, ' left': -4.2245536, ' Right': -6.874454, 'Left': -7.2158675, 'left': -7.772508}
{' Left': -0.11092218, ' Right': -2.4687922, ' left': -4.048239, ' right': -6.718933, 'Left': -7.1872234}
{' Right': -0.15611073, ' Left': -2.1366882, ' right': -3.9482098, ' left': -5.436037, 'Right': -6.599169}
{' Left': -0.03746672, ' left': -3.3587422, 'Left': -7.0026875, 'left': -7.013266, ' Right': -8.687456}
{' Left': -0.19430993, ' Right': -1.8676345, ' left': -3.951722, ' right': -6.0218835, 'Left': -8.295288}
{' Left': -0.38307926, ' Right': -1.2177713, ' left': -4.136406, ' right': -5.155874, 'Left': -8.367236}
{' Right': -0.05800777, ' right': -3.225959, ' Left': -4.2012014, ' left': -7.037456, 'Right': -7.6559076}
{' Left': -0.09067434, ' left': -2.5479631, ' Right': -4.9549336, 'left': -7.586582, 'Left': -7.7187233}
{' Left': -0.010862443, ' left': -4.866926, ' Right': -6.201202, 'Left': -7.0677657, 'left': -8.480568}
{' Left': -0.023084784, ' Right': -4.356703, ' left': -4.756647, 'Left': -6.9228573, 'left': -8.083021}
{' Right': -0.014482709, ' right': -4.8037033, ' Left': -5.5512333, 'Right': -6.3452625, 'right': -7.836672}
{' Left': -0.024459045, ' left': -3.799365, 'Left': -6.7078905, 'left': -7.5574174, ' Right': -10.739676}
{' Left': -0.12834209, ' Right': -2.188994, ' left': -4.873131, ' right': -7.6986346, 'Left': -8.734434}
{' Left': -0.016487017, ' left': -4.370966, ' Right': -5.714422, 'Left': -8.400195, 'left': -8.76959}
{' Right': -0.007379495, ' right': -5.1533375, ' Left': -6.685678, 'Right': -8.373118, 'right': -9.612123}
{' Left': -0.021365803, ' left': -3.888149, 'Left': -8.1858015, 'left': -8.319982, ' Right': -9.011458}
{' Left': -0.07021861, ' Right': -2.9545393, ' left': -4.505634, 'Left': -5.68988, 'left': -7.7001853}
{' Right': -0.25103715, ' Left': -1.6238686, ' right': -4.623044, 'Right': -4.86396, ' left': -5.3470736}
{' Right': -0.057029843, ' right': -3.407955, ' Left': -4.445648, 'Right': -4.925759, 'right': -6.0200324}
{' Left': -0.044630397, ' left': -3.3417437, 'Left': -5.3116817, ' Right': -6.274423, 'left': -6.612812}
{' Left': -0.11957176, ' Right': -2.4384196, ' left': -3.724207, ' right': -6.8579845, 'Left': -9.057789}
{' Left': -0.07076154, ' left': -3.2454305, ' Right': -3.5631337, ' right': -7.1631665, 'Left': -9.018822}
{' Left': -0.3581023, ' Right': -1.5386097, ' left': -2.684238, ' right': -4.0295267, 'left': -9.187867}
{' Left': -0.11293917, ' left': -2.3949273, ' Right': -4.230245, ' right': -7.3440237, 'left': -8.387191}
{' Left': -0.147568, ' Right': -2.1607668, ' left': -3.9068813, ' right': -6.6702538, 'Left': -8.062166}
{' Left': -0.053650223, ' Right': -3.6400738, ' left': -3.6886084, ' right': -7.8883953, 'Left': -8.003294}
{' Left': -0.48577708, ' Right': -1.1139776, ' left': -3.1983564, ' right': -4.202816, 'Right': -8.382472}
{' Left': -0.08830209, ' left': -2.679664, ' Right': -4.2389464, ' right': -7.5113688, 'Left': -7.5839777}
{' Left': -0.07930924, ' left': -2.6457784, ' Right': -5.495294, 'Left': -7.5724316, 'left': -7.6681933}
{' Left': -0.16770811, ' Right': -2.5913322, ' left': -2.607825, ' right': -5.377972, 'left': -7.5575905}
{' Left': -0.681166, ' Right': -1.0012993, ' left': -2.596411, ' right': -2.9806273, 'Right': -7.8097577}
{' Left': -0.09520148, ' left': -2.4662893, ' Right': -5.418594, 'Left': -7.4014735, 'left': -7.441557}
{' Left': -0.29538348, ' left': -1.6355246, ' Right': -2.9720457, ' right': -4.7165504, 'left': -7.9201617}
{' Left': -0.17199211, ' left': -1.9793497, ' Right': -4.071685, ' right': -6.1045804, 'Left': -8.168196}
{' Left': -0.5038095, ' left': -1.3410288, ' Right': -2.3930652, ' right': -3.164412, 'left': -8.110535}
{' Left': -0.43453696, ' left': -1.0769129, ' Right': -4.798053, ' right': -5.9663987, 'left': -7.433721}
{' Left': -0.06947724, ' left': -2.7747746, ' Right': -5.722507, 'Left': -7.007181, 'left': -7.7145953}
{' Left': -0.08282349, ' left': -2.8114154, ' Right': -4.0533795, ' right': -7.1681843, 'Left': -7.182017}
{' Left': -0.176051, ' Right': -2.466975, ' left': -2.6549196, ' right': -5.255252, 'Left': -7.527346}
{' Left': -0.1637052, ' left': -1.9137243, ' Right': -6.4646525, 'Left': -6.9678183, 'left': -7.089433}
{' Left': -0.032027736, ' left': -4.1456714, ' Right': -4.1846385, 'Left': -8.532748, ' right': -8.791003}
{' Left': -0.0437779, ' Right': -3.8012643, ' left': -3.917975, ' right': -8.10858, 'Left': -8.660099}
{' Left': -0.043256197, ' left': -3.729013, ' Right': -4.0328593, ' right': -8.00354, 'Left': -8.878158}
{' Left': -0.05710121, ' left': -3.329608, ' Right': -3.97376, ' right': -7.8972287, 'Left': -8.188084}
{' Left': -0.5912911, ' Right': -1.1102902, ' left': -2.5500963, ' right': -3.383758, 'Right': -6.253017}
{' Left': -0.3250975, ' left': -1.9131236, ' Right': -2.2411094, ' right': -3.9336867, 'Left': -6.2584314}
{' Left': -0.67713445, ' Right': -1.5641909, ' left': -1.6026505, ' right': -2.570954, 'Left': -6.4521394}
{' Left': -0.5086921, ' Right': -1.6671469, ' left': -1.7790931, ' right': -3.3962214, 'Left': -5.7622375}
{' Right': -0.1289553, ' Left': -2.2098956, ' right': -4.81297, ' left': -5.8493934, 'Right': -8.5465555}
{' Left': -0.026054017, ' left': -3.676677, 'Left': -8.23198, 'left': -9.516389, ' Right': -9.571845}
{' Left': -0.1811543, ' left': -1.809166, ' Right': -7.0230517, 'Left': -7.654873, 'left': -7.6920466}
{' Left': -0.13276815, ' left': -2.1007628, ' Right': -6.63327, 'left': -8.17817, 'Left': -8.264981}
{' Right': -0.2918295, ' Left': -1.4236063, ' left': -5.1284785, ' right': -5.1912265, 'Right': -7.682542}
{' Left': -0.014441345, ' left': -4.326009, 'Left': -7.397225, ' Right': -7.9707317, 'left': -8.768204}
{' Left': -0.050735526, ' left': -3.0797539, ' Right': -6.2315707, 'Left': -6.974857, 'left': -7.521808}
{' Left': -0.071475424, ' left': -2.718637, ' Right': -6.2089205, 'left': -7.6692, 'Left': -7.6719565}
{' Right': -0.16433473, ' Left': -2.3678486, ' right': -3.1140661, ' left': -4.5080276, 'Right': -6.6095223}
{' Left': -0.09473939, ' left': -2.4331696, 'Left': -6.7299457, 'left': -7.0572977, ' Right': -7.527911}
{' Left': -0.18554814, ' left': -1.8186389, ' Right': -5.7307534, 'left': -6.231646, 'Left': -6.4937596}
{' Left': -0.28988886, ' left': -1.453362, ' Right': -4.4038796, ' right': -6.000849, 'left': -6.1594787}
{' Left': -0.7483015, ' Right': -0.9170751, ' left': -2.524556, ' right': -3.0734565, 'Right': -8.341842}
{' Left': -0.16384941, ' left': -1.899365, 'Left': -7.2471294, 'left': -7.8127923, ' Right': -8.08797}
{' Left': -0.4868272, ' left': -0.96604466, ' Right': -6.183028, 'left': -6.8470354, ' right': -6.996991}
{' Left': -0.42097872, ' left': -1.2163355, ' Right': -3.4078124, ' right': -4.3399944, 'left': -7.2954273}
{' Right': -0.19457571, ' Left': -2.0689995, ' right': -3.4138498, ' left': -4.2025633, 'Right': -6.491462}
{' Left': -0.071840726, ' left': -2.7033732, 'Left': -6.3877425, 'left': -7.509083, ' Right': -9.19251}
{' Left': -0.11021371, ' left': -2.3048413, 'Left': -6.080806, 'left': -6.7951384, ' Right': -6.8173876}
{' Left': -0.15816365, ' left': -1.9946905, ' Right': -4.988898, 'Left': -6.511772, 'left': -6.6331425}
{' Right': -0.34922707, ' Left': -1.2634784, ' left': -5.11077, ' right': -5.1728144, 'Right': -8.429776}
{' Left': -0.017764939, ' left': -4.0737376, 'Left': -7.8288355, 'left': -8.904487, ' Right': -9.735014}
{' Left': -0.06505137, ' left': -2.8117895, ' Right': -6.4354734, 'left': -7.3794394, 'Left': -7.4214225}
{' Left': -0.051429443, ' left': -3.061458, ' Right': -5.966541, 'left': -7.91381, 'Left': -8.114154}
{' Right': -0.1269576, ' Left': -2.8946195, ' right': -3.0324178, ' left': -4.8986535, 'Right': -5.048891}
{' Left': -0.054245774, ' left': -3.1063256, 'Left': -5.1078596, ' Right': -6.789276, 'left': -7.1368256}
{' Left': -0.3169193, ' left': -1.4397125, ' Right': -3.9645555, 'Left': -4.950189, ' right': -5.404396}
{' Left': -0.59055424, ' left': -1.3578482, ' Right': -2.0453234, ' right': -2.9794548, 'Left': -5.6175885}
{' Left': -0.2602045, ' Right': -1.6363279, ' left': -3.484581, ' right': -5.652439, 'Left': -9.239162}
{' Right': -0.0033008899, ' right': -6.3263807, ' Left': -6.598536, 'Right': -9.088819, ' left': -11.052188}
{' Right': -0.19010344, ' Left': -1.8247087, ' right': -5.0578747, ' left': -5.249986, 'Right': -8.828378}
{' Right': -0.037154023, ' right': -3.4073243, ' Left': -5.85306, ' left': -8.249641, 'Right': -8.871713}
{' Left': -0.37546808, ' Right': -1.3771617, ' left': -2.9887207, ' right': -4.695168, 'left': -7.63975}
{' Right': -0.012547351, ' Left': -5.0014806, ' right': -5.329304, 'Right': -7.3611326, ' left': -8.839816}
{' Right': -0.12919217, ' Left': -2.3059576, ' right': -4.217006, ' left': -5.2431927, 'Right': -6.8907976}
{' Right': -0.6711014, ' Left': -0.83203006, ' left': -3.455769, ' right': -3.873053, 'Right': -7.683781}
{' Right': -0.2319583, ' Left': -1.7743548, ' right': -3.6901965, ' left': -4.4900055, 'Right': -7.299272}
{' Right': -0.0940476, ' Left': -2.6762962, ' right': -4.151386, ' left': -5.6310687, 'Right': -6.808872}
{' Right': -0.18624204, ' Left': -2.0060203, ' right': -3.7778916, ' left': -4.5830507, 'Right': -6.6066294}
{' Right': -0.18848012, ' Left': -2.3030946, ' right': -2.8527715, ' left': -4.405952, 'Right': -6.922197}
{' Left': -0.52624166, ' Right': -1.4806141, ' left': -1.9096701, ' right': -3.4267583, 'left': -7.6850104}
{' Right': -0.08220803, ' right': -2.6281083, ' Left': -5.3364058, ' left': -6.9438796, 'Right': -7.391834}
{' Right': -0.2844628, ' right': -2.095416, ' Left': -2.4036224, ' left': -3.4290414, 'Right': -7.1519594}
{' Right': -0.63118464, ' Left': -1.6149206, ' right': -1.7029411, ' left': -2.4588175, 'right': -7.5008187}
{' Right': -0.4602293, ' Left': -1.079509, ' left': -4.1806254, ' right': -4.3773837, 'Right': -7.353528}
{' Left': -0.42133602, ' Right': -1.2126511, ' left': -3.2697282, ' right': -5.0485787, 'Left': -6.976433}
{' Right': -0.7312097, ' Left': -0.732417, ' left': -3.6300266, ' right': -4.715253, 'Right': -6.9536653}
{' Left': -0.3127389, ' Right': -1.4652542, ' left': -3.493605, ' right': -5.160774, 'Left': -7.229435}
{' Right': -0.50599736, ' Left': -0.9929568, ' left': -4.115031, ' right': -4.603934, 'Right': -9.067238}
{' Right': -0.021443749, ' Left': -4.230905, ' right': -5.130014, ' left': -7.7961397, 'Right': -8.213288}
{' Right': -0.014773568, ' Left': -4.4966764, ' right': -5.836627, 'Right': -7.9801164, ' left': -8.68212}
{' Left': -0.6502806, ' Right': -0.7696406, ' left': -4.550698, ' right': -5.506434, 'Right': -9.113306}
{' Right': -0.67029274, ' Left': -0.82357293, ' left': -3.6604638, ' right': -4.0794992, 'Right': -5.702133}
{' Right': -0.20417392, ' Left': -1.8762378, ' right': -4.0063534, ' left': -4.9518814, 'Right': -5.383056}
{' Right': -0.2551945, ' Left': -1.7273129, ' right': -3.6731648, ' left': -4.433423, 'Right': -4.9452753}
{' Left': -0.20908107, ' Right': -2.4104667, ' left': -2.4711165, ' right': -5.0482664, 'Left': -5.2814627}
{' Left': -0.08483638, ' Right': -2.7388394, ' left': -4.156947, ' right': -7.2425413, 'Left': -8.427972}
{' Right': -0.01950449, ' right': -4.0539646, ' Left': -6.4888835, 'Right': -8.128316, 'right': -9.764241}
{' Left': -0.6842639, ' Right': -1.314919, ' left': -1.817845, ' right': -2.7486005, 'left': -8.576151}
{' Right': -0.1718736, ' right': -2.525351, ' Left': -2.7773573, ' left': -4.1998615, 'Right': -7.7728868}
{' Left': -0.027027888, ' left': -3.7178676, 'Left': -6.692658, ' Right': -7.1072354, 'left': -8.151345}
{' Right': -0.034250338, ' right': -3.5443935, 'Right': -6.128561, ' Left': -6.316296, 'right': -7.551983}
{' Left': -0.3583697, ' left': -1.211727, 'left': -6.3047256, 'Left': -6.547249, ' Right': -8.701522}
{' Right': -0.11321054, ' right': -2.5704725, ' Left': -3.7792776, ' left': -5.27758, 'Right': -6.252956}
{' Left': -0.050660033, ' left': -3.0664601, ' Right': -6.6176724, 'Left': -6.9660897, 'left': -7.7606936}
{' Right': -0.05213646, ' right': -3.1175375, ' Left': -5.9659758, 'Right': -6.0305276, 'right': -6.976958}
{' Left': -0.3181938, ' left': -1.3412079, ' Right': -4.9476814, ' right': -6.4008193, 'left': -6.7356086}
{' Right': -0.389851, ' Left': -1.4731164, ' right': -2.9775639, ' left': -3.213389, 'Right': -6.640396}
{' Left': -0.21391219, ' left': -1.7573099, ' Right': -4.1624365, ' right': -5.8089395, 'Left': -7.0240436}
{' Right': -0.2618802, ' right': -1.495847, ' Left': -5.760215, 'Right': -6.5898013, ' left': -6.8448477}
{' left': -0.51010704, ' Left': -1.0760403, ' right': -3.329563, ' Right': -3.8867033, 'left': -6.7788887}
{' Right': -0.62318957, ' right': -0.93854487, ' left': -3.284614, ' Left': -3.4194903, 'Right': -6.7465453}
{' Left': -0.059319988, ' left': -2.9120324, 'Left': -6.1396704, 'left': -7.4047384, ' Right': -7.7853613}
{' Right': -0.036290318, ' right': -3.4410162, 'Right': -6.027629, 'right': -7.545163, ' Left': -7.602147}
{' Left': -0.18676284, ' left': -1.795411, 'Left': -6.353488, 'left': -6.694104, ' Right': -6.7728944}
{' Right': -0.2538511, ' Left': -1.8195765, ' right': -3.3163128, ' left': -3.7979832, 'Right': -6.116083}
{' Left': -0.022910045, ' left': -4.189303, ' Right': -4.9682074, 'Left': -7.9076695, 'left': -9.284449}
{' Right': -0.011957473, ' right': -4.7371254, ' Left': -6.031903, 'Right': -7.5183525, 'right': -9.618094}
{' Left': -0.27209878, ' left': -2.1166804, ' Right': -2.2464507, ' right': -4.486008, 'Left': -8.0507965}
{' Right': -0.23445727, ' Left': -1.7217201, ' right': -4.0233307, ' left': -4.464596, 'Right': -7.58336}
{' Left': -0.14878057, ' left': -2.4054601, ' Right': -3.8548636, 'Left': -3.9338663, 'left': -5.6944747}
{' Right': -0.24238306, ' right': -1.8888731, 'Right': -3.4861305, 'right': -4.1660585, ' Left': -4.2494154}
{' Left': -0.42384025, ' left': -1.2123536, 'Left': -3.9239643, 'left': -4.3793664, ' Right': -4.6004987}
{' Right': -0.5364027, ' Left': -1.6020956, ' right': -2.1565466, ' left': -2.8811026, 'Right': -3.6962004}
{' Right': -0.12785651, ' Left': -2.1630564, ' right': -5.649104, ' left': -6.638175, 'Right': -8.776961}
{' Left': -0.02102213, ' left': -4.043029, ' Right': -5.8555746, 'Left': -8.465148, 'left': -8.793427}
{' Right': -0.015187781, ' right': -4.239911, ' Left': -7.9715934, 'Right': -8.397841, 'right': -9.5051565}
{' Left': -0.0286301, ' left': -3.5993125, ' Right': -7.7024555, 'Left': -8.345173, 'left': -8.59973}
{' Left': -0.034765262, ' Right': -3.7311113, ' left': -4.67712, 'Left': -7.550665, 'left': -8.319527}
{' Left': -0.02000987, ' left': -4.038999, ' Right': -6.8560634, 'Left': -7.254171, 'left': -7.7689757}
{' Right': -0.019928996, ' right': -4.364623, ' Left': -5.1938276, 'Right': -6.9796243, 'right': -7.9474173}
