{'\n': -11.393823, ' ': -10.280131, ' Yes': -0.004631475, ' yes': -10.561475, 'Yes': -5.4026356}
{' No': -0.061554246, '\n': -8.146383, ' ': -7.6789317, ' March': -7.9899297, 'No': -2.848236}
{' No': -0.0048589325, '\n': -8.09304, ' ': -6.508025, 'No': -5.8429723, ' no': -9.994973}
{' No': -0.03621825, '\n': -6.401769, ' ': -6.1697135, ' March': -9.363734, 'No': -3.4571202}
{' No': -0.04761234, '\xa0': -8.789961, '\n': -5.1390676, ' ': -5.386924, 'No': -3.341199}
{' No': -0.0059971707, '\n': -9.889352, ' ': -6.7650547, 'No': -5.356949, ' no': -10.628278}
{' No': -0.1472915, '\n': -4.8831887, ' ': -4.866825, 'No': -2.1157172, ' no': -8.16012}
{' No': -0.044760544, '\n': -6.8572717, ' ': -5.874207, 'No': -3.2668025, ' no': -7.2164454}
{' No': -0.07719727, '\n': -7.2049456, ' ': -6.470316, 'No': -2.6771383, ' no': -6.115546}
{' No': -0.12363327, ' ': -7.3050904, 'No': -2.1641433, ' Yes': -9.133135, ' no': -8.685838}
{' No': -0.14441758, '\n': -7.693379, ' ': -6.8489823, 'No': -2.0251014, ' no': -8.467196}
{' False': -10.202985, ' No': -0.03530256, ' ': -7.8131943, 'No': -3.38404, ' no': -9.222738}
{' No': -0.51709837, '\n': -6.8824387, ' ': -7.234886, 'No': -0.91342634, 'no': -8.613828}
{' No': -0.12184339, '\n': -8.596548, ' ': -7.497659, 'No': -2.176796, ' no': -8.516027}
{' No': -0.02645218, '\n': -7.097142, ' ': -5.217969, 'No': -5.0789003, ' no': -4.334756}
{' No': -0.048197765, '\n': -6.616923, ' ': -5.762809, 'No': -3.205947, ' no': -6.3635535}
{' No': -0.12587804, '\n': -4.7410016, ' ': -5.1902347, 'No': -2.2929673, ' no': -6.2191167}
{' No': -0.025573766, '\n': -7.3026314, ' ': -6.364666, 'No': -3.8338523, ' no': -6.9004707}
{' No': -0.23889516, '\n': -3.526924, ' ': -4.859937, 'No': -1.7880685, ' no': -5.2079196}
{' No': -0.072266124, '\n': -5.2692566, ' ': -5.565074, 'No': -3.601761, ' no': -3.4716115}
{' No': -0.0061617224, '\n': -7.1054335, ' ': -6.3487005, 'No': -5.70844, ' no': -9.277658}
{' No': -0.038708255, '\n': -5.799999, ' ': -5.855477, ' March': -8.802601, 'No': -3.4548535}
{' No': -0.040848423, '\n': -5.4799123, ' ': -5.7078094, ' March': -7.750735, 'No': -3.4520402}
{' No': -0.0119744195, '\n': -8.012529, ' ': -5.697447, ' March': -9.742722, 'No': -4.82613}
{' No': -0.050507296, '\n': -5.392263, ' ': -5.256829, 'No': -3.2442327, ' no': -8.78187}
{' No': -0.033144757, '\n': -5.9331155, ' ': -5.517774, ' March': -7.38846, 'No': -3.7239308}
{' No': -3.5671875, ' Generally': -7.942874, 'No': -7.3557563, ' Yes': -0.034079924, 'Yes': -5.6802034}
{' No': -0.09006465, ' ': -7.436408, 'No': -2.5050406, ' Yes': -6.6243153, ' It': -6.677536}
{' No': -0.110125735, '\n': -7.7642846, ' ': -6.8492274, 'No': -2.28144, ' Yes': -8.1049185}
{' No': -0.02647972, ' Not': -8.39726, 'No': -3.786268, ' Yes': -5.8978853, ' It': -9.004639}
{' No': -0.22046936, '\n': -5.500798, ' ': -5.925828, 'No': -1.7292948, ' Yes': -4.4861956}
{' No': -0.13193463, '\n': -7.780501, ' ': -7.260457, 'No': -2.1362548, ' Yes': -5.825268}
{' No': -0.006763074, ' Not': -9.765789, '\n': -7.633132, ' ': -6.5773315, 'No': -5.373483}
{' No': -0.042719584, '\n': -7.0453353, ' ': -6.388333, 'No': -3.2476966, ' Yes': -8.9413185}
{' No': -0.07261537, '\xa0': -8.37747, '\n': -4.7550473, ' ': -5.128678, 'No': -2.905102}
{' No': -0.008710801, '\n': -9.715845, ' ': -6.7508807, 'No': -4.908472, ' no': -10.927889}
{' No': -0.21941455, '\n': -4.3281784, ' ': -4.784081, 'No': -1.7486447, ' no': -7.9159584}
{' No': -0.047923874, '\n': -6.9390965, ' ': -6.1275463, 'No': -3.1643293, ' no': -7.353157}
{' No': -0.09645717, '\n': -7.4591184, ' ': -6.3967667, 'No': -2.4499764, ' no': -6.1227875}
{' No': -0.123654455, ' ': -7.211231, 'No': -2.1697035, ' Yes': -7.411934, ' no': -8.439952}
{' No': -0.23281609, ' ': -6.5088944, 'No': -1.683677, ' Yes': -4.0639334, 'Yes': -6.580733}
{' No': -0.057227433, ' ': -7.638073, 'No': -2.9074852, ' Yes': -9.415078, ' no': -8.790425}
{' No': -0.552385, '\n': -7.1428185, ' ': -7.08654, 'No': -0.86477625, ' Yes': -7.6987834}
{' No': -0.17184219, ' ': -7.643971, 'No': -1.8547093, 'no': -8.946625, ' no': -8.017932}
{' No': -0.020993276, '\n': -6.7455883, ' ': -5.024699, 'No': -4.9691877, ' no': -5.160239}
{' No': -0.05637014, '\n': -6.744183, ' ': -5.677952, 'No': -3.0165958, ' no': -6.9245625}
{' No': -0.14557013, '\n': -4.257312, ' ': -4.9205356, 'No': -2.193906, ' no': -6.421416}
{' No': -0.05552407, '\n': -6.5077624, ' ': -5.9249635, 'No': -3.0163333, ' no': -7.438414}
{' No': -0.2722287, '\n': -3.583699, ' ': -4.79601, 'No': -1.6401447, ' no': -5.176337}
{' No': -0.06951896, '\n': -5.094725, ' ': -5.5741806, 'No': -3.3151264, ' no': -3.9677951}
{' No': -0.009889967, '\n': -6.617277, ' ': -6.102595, 'No': -5.1216393, ' no': -9.533854}
{' No': -0.052840456, '\n': -5.685082, ' ': -5.642546, 'No': -3.1228876, ' Yes': -8.963546}
{' No': -0.07883723, '\n': -4.91928, ' ': -5.136605, 'No': -2.8911884, ' Yes': -5.0670614}
{' No': -0.019221546, '\n': -7.2140512, ' ': -5.591771, 'No': -4.238265, ' no': -10.1737175}
{' No': -0.07880015, '\n': -4.9704533, ' ': -5.055744, 'No': -2.7860413, ' Yes': -8.327447}
{' No': -0.057593692, '\n': -5.1100245, ' ': -5.4188266, 'No': -3.1689043, ' no': -6.6669726}
{'\n': -11.322602, ' ': -10.524787, ' Yes': -0.004238787, ' yes': -10.210039, 'Yes': -5.4862084}
{' No': -3.3778663, ' ': -7.555224, 'No': -6.314344, ' Yes': -0.05399284, 'Yes': -4.1563373}
{' No': -2.2270772, ' ': -6.739019, 'No': -5.060016, ' Yes': -0.14929765, 'Yes': -3.8069587}
{' No': -7.1942286, ' ': -10.855108, ' Yes': -0.003713371, ' yes': -10.246963, 'Yes': -5.867004}
{' No': -4.9448724, '\n': -6.8669925, ' ': -6.6300597, ' Yes': -0.048569437, 'Yes': -3.3087163}
{' No': -6.344814, ' ': -7.839078, ' Yes': -0.016622093, ' yes': -8.111474, 'Yes': -4.3089843}
{' No': -3.8425252, '\n': -7.925527, ' ': -6.8130736, ' Yes': -0.025033973, 'Yes': -6.5240417}
{' No': -7.7172394, '\n': -7.22311, ' ': -6.746399, ' Yes': -0.020885421, 'Yes': -4.0300403}
{' No': -5.8961835, '\n': -4.92569, ' ': -5.3280773, ' Yes': -0.046701852, 'Yes': -3.5255399}
{' No': -0.011472542, '\n': -9.217301, ' ': -6.672788, 'No': -4.707292, ' Yes': -6.954864}
{' No': -0.90320003, ' ': -4.0863094, 'No': -2.7854993, ' Yes': -0.7824401, 'Yes': -3.2187498}
{' No': -6.10526, ' ': -6.458789, ' Yes': -0.022530057, ' yes': -5.936096, 'Yes': -4.2230763}
{' No': -2.8747828, 'No': -5.3373523, ' Yes': -0.105741665, ' yes': -4.7506466, 'Yes': -3.58556}
{' No': -0.8062898, ' ': -6.9433336, 'No': -3.2075825, ' Yes': -0.7108786, 'Yes': -3.9294224}
{' No': -1.5483584, ' ': -6.106737, 'No': -3.7132869, ' Yes': -0.3287369, 'Yes': -3.2770152}
{' No': -0.052789494, ' ': -7.571912, 'No': -3.1996343, ' Yes': -4.647257, 'Yes': -8.389244}
{' No': -1.2249769, ' ': -6.5312386, 'No': -1.8794283, ' Yes': -0.73886424, 'Yes': -2.636537}
{' No': -0.20640686, ' ': -6.9930377, 'No': -2.425891, ' Yes': -2.3922513, 'Yes': -5.4044275}
{' No': -3.7434695, ' ': -5.2826886, ' Yes': -0.054537296, ' yes': -3.937075, 'Yes': -5.734249}
{'\n': -7.048755, ' ': -6.2316113, ' Yes': -0.035236493, ' yes': -5.091461, 'Yes': -3.7004302}
{'\n': -4.7080154, ' ': -5.0216656, ' Yes': -0.09929461, ' yes': -4.923605, 'Yes': -2.6656036}
{' No': -0.032921623, '\n': -6.6344666, ' ': -6.1603765, 'No': -3.6617954, ' Yes': -5.9422636}
{' No': -0.70705277, '\n': -2.7763236, 'No': -2.2345119, ' Yes': -1.2993265, 'Yes': -3.2493355}
{' No': -4.348974, '\n': -4.6562443, ' Yes': -0.14961356, ' yes': -2.4092438, 'Yes': -3.9796}
{' No': -1.3871149, '\n': -5.923478, ' ': -6.048093, ' Yes': -0.29826692, 'Yes': -6.4509096}
{' No': -4.682246, '\n': -5.7092633, ' ': -6.189412, ' Yes': -0.034453537, 'Yes': -4.009324}
{' No': -6.041698, '\n': -5.2762203, ' ': -5.6197753, ' Yes': -0.03580691, 'Yes': -3.7756197}
{' No': -0.24090959, '\n': -6.573189, ' ': -5.4118366, 'No': -5.0298615, ' Yes': -1.6064967}
{' No': -2.092679, '\n': -4.330554, ' ': -4.548911, ' Yes': -0.21519573, 'Yes': -3.2948864}
{' No': -4.717266, '\n': -5.1291895, ' ': -5.5553284, ' Yes': -0.03773723, 'Yes': -4.274794}
{' ': -10.397876, ' March': -10.389312, ' Yes': -0.0033929893, ' yes': -10.316858, 'Yes': -5.741802}
{' No': -0.6886496, 'No': -3.571214, ' Yes': -0.7796759, 'Yes': -5.042064, ' It': -6.63506}
{' No': -0.17283197, ' ': -6.4955263, 'No': -2.57719, ' Yes': -2.563499, 'Yes': -5.9334}
{' No': -0.8173622, ' March': -6.593014, 'No': -4.8530617, ' Yes': -0.605101, 'Yes': -6.0522957}
{' No': -1.4029278, '\n': -5.7173553, 'No': -3.324303, ' Yes': -0.38437876, 'Yes': -3.5678139}
{' No': -2.30012, ' March': -6.8066173, 'No': -4.989341, ' Yes': -0.13070583, 'Yes': -4.400969}
{' No': -0.016499197, '\n': -6.776945, ' ': -5.7046566, 'No': -5.297072, ' Yes': -5.0377183}
{' No': -0.042601585, '\n': -6.934941, ' ': -6.345518, 'No': -3.285586, ' Yes': -6.768907}
{' No': -0.11207269, '\n': -3.8942971, ' ': -4.4677477, 'No': -2.8457134, ' Yes': -4.260329}
{' No': -0.009015265, '\n': -9.280406, ' ': -6.587587, ' March': -8.924162, 'No': -4.924388}
{' No': -0.17613047, '\n': -4.38667, ' ': -4.5916414, 'No': -1.9930744, ' Yes': -6.739152}
{' No': -0.94157284, ' March': -4.3938637, 'No': -4.353204, ' Yes': -0.5613105, 'Yes': -4.9862113}
{' No': -0.11030089, ' ': -6.011416, 'No': -2.6584232, ' Yes': -3.7591684, ' no': -5.6665816}
{' No': -0.2257229, ' ': -7.1122546, 'No': -2.2485175, ' Yes': -2.4058225, 'Yes': -5.5085063}
{' No': -0.57327366, ' ': -6.481588, 'No': -2.4872198, ' Yes': -1.1055841, 'Yes': -4.0054884}
{' No': -0.05917453, ' ': -7.561858, 'No': -3.1906097, ' Yes': -4.2306275, 'Yes': -8.291279}
{' No': -0.5811231, ' March': -6.6133413, 'No': -1.4287336, ' Yes': -1.7495459, 'Yes': -3.8959155}
{' No': -0.14391445, ' ': -7.3295836, 'No': -2.2107842, ' Yes': -3.8289385, 'Yes': -6.832429}
{' No': -0.0302232, '\n': -6.1159253, ' ': -4.7440205, 'No': -4.769985, ' no': -4.8075056}
{' No': -0.08772963, '\n': -6.0367613, ' ': -5.357441, 'No': -2.7840643, ' Yes': -4.292886}
{' No': -0.18687399, '\n': -3.836395, ' ': -4.6016245, 'No': -2.0206847, ' Yes': -5.543896}
{' No': -0.044319756, '\n': -6.8899097, ' ': -6.000813, ' March': -7.5900664, 'No': -3.259226}
{' No': -0.25551113, '\n': -3.2612693, ' ': -4.703558, 'No': -1.7836789, ' Yes': -5.5796547}
{' No': -0.10153061, '\n': -4.50201, 'No': -3.1946855, ' Yes': -4.0437436, ' no': -4.269485}
{' No': -0.058860093, '\n': -6.417531, ' ': -5.724042, 'No': -5.2262087, ' Yes': -3.0713415}
{' No': -0.059745226, '\n': -5.7663584, ' ': -5.8437643, 'No': -3.0132194, ' Yes': -6.1959834}
{' No': -0.40635577, '\n': -4.580674, ' ': -4.749301, 'No': -3.5442016, ' Yes': -1.2866315}
{' No': -0.019575726, '\n': -7.0175476, ' ': -5.506024, ' March': -7.6926193, 'No': -4.3084836}
{' No': -0.10906222, '\n': -4.62599, ' ': -4.8741016, 'No': -2.737997, ' Yes': -3.9269521}
{' No': -0.09834209, '\n': -4.8095374, ' ': -5.0848207, 'No': -3.5666485, ' Yes': -3.0885572}
{' No': -0.03102116, '\n': -8.663603, ' March': -7.818421, 'No': -3.5343971, ' Yes': -8.522701}
{' No': -0.069293305, '\n': -9.11563, ' ': -7.3604927, ' March': -8.256416, 'No': -2.723735}
{' No': -0.067264445, '\n': -7.5014486, ' ': -7.081154, ' March': -8.1841545, 'No': -2.763895}
{' No': -0.022508843, ' ': -9.577928, ' March': -9.516008, 'No': -3.8191872, ' Yes': -9.302326}
{' No': -0.095939144, '\n': -6.459903, ' ': -6.3512335, ' March': -6.971312, 'No': -2.4458327}
{' No': -0.07491618, '\n': -7.8955193, ' ': -7.590314, ' March': -7.163812, 'No': -2.6639838}
{' No': -0.005748534, '\n': -7.8139358, ' ': -6.3757014, ' March': -9.816647, 'No': -5.6693263}
{' No': -0.037055537, '\n': -6.4022474, ' ': -6.063367, ' March': -8.994508, 'No': -3.4412434}
{' No': -0.055750795, '\xa0': -8.619002, '\n': -4.721324, ' ': -5.1749654, 'No': -3.2474256}
{' No': -0.005872036, '\n': -9.849922, ' ': -6.6559935, 'No': -5.4134316, ' no': -10.701858}
{' No': -0.15666606, '\n': -4.41965, ' ': -4.686546, 'No': -2.1010344, ' no': -8.128335}
{' No': -0.039498523, '\n': -6.7664547, ' ': -5.8259497, ' March': -7.10037, 'No': -3.4230564}
{' No': -0.08483671, '\n': -6.9427443, ' ': -6.4932566, 'No': -2.587221, ' no': -6.1318355}
{' No': -0.13068362, ' ': -7.277802, 'No': -2.112146, ' Yes': -9.082139, ' no': -8.605274}
{' No': -0.14254846, '\n': -7.766882, ' ': -6.8241596, 'No': -2.036311, ' no': -8.5537}
{' No': -0.037218418, ' ': -7.7129307, ' March': -10.130528, 'No': -3.3323636, ' no': -9.237388}
{' No': -0.4520872, '\n': -6.768172, ' ': -7.060989, ' March': -8.155844, 'No': -1.020128}
{' No': -0.11231322, '\n': -8.93095, ' ': -7.705361, 'No': -2.252406, ' no': -8.573688}
{' No': -0.02556698, '\n': -6.9677515, ' ': -5.1476636, 'No': -4.9303365, ' no': -4.5426893}
{' No': -0.04586289, '\n': -6.6451793, ' ': -5.685174, 'No': -3.2533174, ' no': -6.7286553}
{' No': -0.12282012, '\n': -4.662902, ' ': -5.107826, 'No': -2.3306925, ' no': -6.2993464}
{' No': -0.03095968, '\n': -7.1176963, ' ': -6.1988177, 'No': -3.6355605, ' no': -6.9106245}
{' No': -0.25318328, '\n': -3.3599968, ' ': -4.739075, 'No': -1.7633723, ' no': -5.1371307}
{' No': -0.06812081, '\n': -5.164321, ' ': -5.5320153, 'No': -3.6351163, ' no': -3.593703}
{' No': -0.007240919, '\n': -6.746023, ' ': -6.1566944, 'No': -5.6127625, ' no': -9.27181}
{' No': -0.04324045, '\n': -5.7311087, ' ': -5.7244043, ' March': -8.586391, 'No': -3.345889}
{' No': -0.038289573, '\n': -5.624299, ' ': -5.6487455, ' March': -7.7136264, 'No': -3.523542}
{' No': -0.01285317, '\n': -7.713589, ' ': -5.540117, ' March': -9.481477, 'No': -4.808402}
{' No': -0.047378764, '\n': -5.59191, ' ': -5.4095, 'No': -3.2812846, ' no': -8.848997}
{' No': -0.037703563, '\n': -5.521003, ' ': -5.351099, ' March': -7.0030766, 'No': -3.6454916}
{' No': -5.662426, ' Generally': -8.588922, ' Yes': -0.0070978594, 'Yes': -5.9311814, ' It': -8.638339}
{' No': -0.07612585, ' ': -7.322783, 'No': -2.7389543, ' Yes': -5.2951083, ' It': -6.5442615}
{' No': -0.08717311, '\n': -8.016177, ' ': -7.0069165, 'No': -2.5318732, ' Yes': -6.132261}
{' No': -0.037563067, ' July': -8.198939, 'No': -4.189821, ' Yes': -3.899677, ' It': -8.231731}
{' No': -0.21763396, '\n': -5.441747, ' ': -5.805082, 'No': -1.8685167, ' Yes': -3.5364509}
{' No': -0.09975477, '\n': -7.255417, ' ': -7.1353307, 'No': -2.6916296, ' Yes': -3.8068051}
{' No': -0.0061941086, '\n': -7.336127, ' ': -6.339936, 'No': -5.6519117, ' Yes': -9.713861}
{' No': -0.037801363, '\n': -7.0635824, ' ': -6.323456, 'No': -3.3845649, ' Yes': -8.634248}
{' No': -0.06601759, '\xa0': -8.496531, '\n': -4.753878, ' ': -5.1782417, 'No': -3.0188086}
{' No': -0.008279372, '\xa0': -10.976129, '\n': -9.69329, ' ': -6.4498777, 'No': -5.0305533}
{' No': -0.17630571, '\n': -4.4709563, ' ': -4.8373084, 'No': -1.9609985, ' no': -8.3321495}
{' No': -0.04249193, '\n': -6.9421587, ' ': -5.833298, 'No': -3.3818014, ' Yes': -6.7303076}
{' No': -0.08363024, '\n': -7.4016514, ' ': -6.311969, 'No': -2.6101463, ' no': -6.119379}
{' No': -0.120357014, ' ': -7.412795, 'No': -2.2087548, ' Yes': -6.200522, ' no': -8.633987}
{' No': -0.19076331, ' ': -6.5141997, 'No': -1.9603002, ' Yes': -3.5790958, 'Yes': -6.3267026}
{' No': -0.038544144, ' ': -7.649441, 'No': -3.3107705, ' Yes': -7.872014, ' no': -9.045763}
{' No': -0.5141026, ' ': -7.149722, 'No': -0.9329506, ' Yes': -5.555233, 'Yes': -7.2544103}
{' No': -0.14769123, ' ': -7.628146, 'No': -1.998323, ' Yes': -7.6602163, ' no': -8.126872}
{' No': -0.02305703, '\n': -6.7602677, ' ': -4.7648554, 'No': -4.80412, ' no': -5.4152336}
{' No': -0.047605522, '\n': -6.7419686, ' ': -5.585626, 'No': -3.2038977, ' no': -7.441492}
{' No': -0.14013082, '\n': -4.0466323, ' ': -4.6857734, 'No': -2.2831914, ' no': -6.9365973}
{' No': -0.038216, '\n': -6.64322, ' ': -5.960192, 'No': -3.4111922, ' no': -8.049884}
{' No': -0.25505355, '\n': -3.4873512, ' ': -4.757579, 'No': -1.7211066, ' no': -5.452903}
{' No': -0.062348705, '\n': -5.0653486, ' ': -5.5656614, 'No': -3.4148715, ' no': -4.2264676}
{' No': -0.007232993, '\n': -7.269928, ' ': -6.456276, 'No': -5.421763, ' Yes': -8.218619}
{' No': -0.037334796, '\n': -5.9111576, ' ': -5.85348, 'No': -3.4881728, ' Yes': -9.240232}
{' No': -0.057857703, '\n': -5.1423054, ' ': -5.274189, 'No': -3.15662, ' Yes': -6.333246}
{' No': -0.016649304, '\n': -7.225698, ' ': -5.583919, 'No': -4.439249, ' no': -10.235698}
{' No': -0.08132656, '\n': -5.0258374, ' ': -5.3497586, 'No': -2.7150927, ' Yes': -8.985672}
{' No': -0.048019826, '\n': -5.5654936, ' ': -5.4449606, 'No': -3.4241776, ' Yes': -5.728913}
{'\n': -11.479693, ' ': -10.798726, ' Yes': -0.0028760242, ' yes': -10.531226, 'Yes': -5.8763266}
{' No': -3.116404, ' ': -7.9115043, 'No': -6.300683, ' Yes': -0.06085847, 'Yes': -4.4374185}
{' No': -0.5528678, ' ': -6.651454, 'No': -3.3946626, ' Yes': -0.97474676, 'Yes': -4.5551224}
{' No': -7.034876, ' July': -9.155878, ' Yes': -0.0041067484, ' yes': -10.389179, 'Yes': -5.8061447}
{' No': -3.736339, ' ': -6.507676, 'No': -6.1388564, ' Yes': -0.06214686, 'Yes': -3.486551}
{' No': -6.5601034, '\n': -7.9388804, ' ': -7.8072844, ' Yes': -0.013146762, 'Yes': -4.5791793}
{' No': -5.54655, '\n': -8.163687, ' ': -6.9911046, ' Yes': -0.0064231795, 'Yes': -6.83125}
{' No': -1.854398, ' ': -5.881269, 'No': -5.281074, ' Yes': -0.19734122, 'Yes': -4.450906}
{' No': -2.2882411, '\n': -4.063187, ' ': -4.500544, ' Yes': -0.17326991, 'Yes': -3.7789714}
{' No': -0.024666434, '\n': -8.89377, ' ': -6.208269, 'No': -5.4486947, ' Yes': -4.0314546}
{' No': -0.26663464, '\n': -4.1241975, ' ': -4.300121, 'No': -2.3523698, ' Yes': -2.314595}
{' No': -5.2538304, ' ': -6.052792, ' Yes': -0.023276147, ' yes': -6.290918, 'Yes': -4.477092}
{' No': -2.5845215, 'No': -5.3816967, ' Yes': -0.117011264, ' yes': -5.000039, 'Yes': -3.8922205}
{' No': -1.2773234, 'No': -3.7711587, ' Yes': -0.39579257, ' yes': -7.2769732, 'Yes': -3.7594686}
{' No': -0.81052613, ' ': -6.484691, 'No': -2.927666, ' Yes': -0.7484706, 'Yes': -3.6755695}
{' No': -0.05547713, ' ': -7.5512023, 'No': -3.568346, ' Yes': -3.7125907, 'Yes': -7.8295445}
{' No': -1.3080996, ' ': -6.677358, 'No': -2.148323, ' Yes': -0.62067026, 'Yes': -2.645332}
{' No': -0.354562, ' ': -6.9523706, 'No': -2.978301, ' Yes': -1.4383023, 'Yes': -4.849818}
{' No': -0.80428183, ' ': -4.7050977, 'No': -6.0535994, ' Yes': -0.6453749, ' yes': -4.6045995}
{' No': -6.03285, ' ': -5.8826976, ' Yes': -0.030941052, ' yes': -5.498922, 'Yes': -3.931585}
{' No': -3.663521, '\n': -4.1438313, ' ': -4.6612625, ' Yes': -0.12828083, 'Yes': -2.8008025}
{' No': -0.027362179, '\n': -6.767571, ' ': -6.272866, 'No': -3.9201062, ' Yes': -5.6503115}
{' No': -0.46328506, '\n': -2.9938595, 'No': -1.9498554, ' Yes': -1.9999157, 'Yes': -3.9504225}
{' No': -2.5403075, '\n': -4.3041177, ' Yes': -0.16921973, ' yes': -3.2117627, 'Yes': -4.5248}
{' No': -3.9436107, '\n': -6.9523935, ' ': -6.5048323, ' Yes': -0.024705473, 'Yes': -6.2121134}
{' No': -2.9661443, '\n': -5.460874, ' ': -6.008153, ' Yes': -0.07791887, 'Yes': -4.250545}
{' No': -3.2605834, '\n': -4.954824, ' ': -5.2109165, ' Yes': -0.073381305, 'Yes': -4.053135}
{' No': -0.054786466, '\n': -6.851434, ' ': -5.445167, 'No': -4.8664603, ' Yes': -3.226114}
{' No': -0.62765414, '\n': -4.5805883, 'No': -3.6862571, ' Yes': -0.90222836, 'Yes': -4.217288}
{' No': -3.007693, '\n': -4.9747753, ' ': -5.174574, ' Yes': -0.08125195, 'Yes': -4.592574}
{' Generally': -10.367404, ' March': -9.939148, ' Yes': -0.0029355017, ' yes': -10.241324, 'Yes': -5.907018}
{' No': -1.829437, ' March': -6.906751, 'No': -4.7735057, ' Yes': -0.19996053, 'Yes': -4.6438365}
{' No': -0.59519297, ' ': -6.555656, 'No': -2.9975672, ' Yes': -0.9579269, 'Yes': -4.4145594}
{' No': -2.645405, ' March': -7.2001295, 'No': -6.8806677, ' Yes': -0.079090275, 'Yes': -5.868719}
{' No': -2.9478421, '\n': -6.1660028, 'No': -4.8162274, ' Yes': -0.10937555, 'Yes': -3.2825758}
{' No': -4.086136, 'No': -6.7292843, ' Yes': -0.034603465, ' yes': -7.627224, 'Yes': -4.2776318}
{' No': -0.071211055, '\n': -7.27069, ' ': -6.031883, 'No': -5.7675242, ' Yes': -2.7810822}
{' No': -0.045868002, '\n': -7.0203233, ' ': -6.3527164, 'No': -3.2352254, ' Yes': -6.0015717}
{' No': -0.110084616, '\n': -4.0848217, ' ': -4.66156, 'No': -2.7683697, ' Yes': -4.3059497}
{' No': -0.0112187425, '\n': -9.172277, ' ': -6.5521154, ' March': -9.102982, 'No': -4.667185}
{' No': -0.21334769, '\n': -4.432908, ' ': -4.5271425, 'No': -1.8531811, ' Yes': -4.608642}
{' No': -2.230881, ' March': -5.1692677, 'No': -5.3682775, ' Yes': -0.1471464, 'Yes': -4.4125547}
{' No': -0.14267018, ' ': -6.079707, 'No': -2.7618527, ' Yes': -2.8414824, ' no': -6.0696}
{' No': -0.2570493, ' ': -7.0933676, 'No': -2.355316, ' Yes': -2.0884492, 'Yes': -5.2802844}
{' No': -1.5113162, 'No': -3.5275686, ' Yes': -0.33904457, ' yes': -6.5226703, 'Yes': -3.3911626}
{' No': -0.09865887, ' ': -7.4018226, 'No': -3.39932, ' Yes': -2.8489888, 'Yes': -7.102194}
{' No': -0.8729769, 'No': -1.5951908, ' Yes': -1.1108749, 'Yes': -3.2035682, ' It': -6.3151984}
{' No': -0.15746006, ' ': -7.191234, 'No': -2.05111, ' Yes': -4.242263, 'Yes': -7.088947}
{' No': -0.029945808, ' ': -4.8035655, 'No': -4.782131, ' Yes': -5.469617, ' no': -5.134636}
{' No': -0.08637366, '\n': -6.0731654, ' ': -5.4988484, 'No': -2.815528, ' Yes': -4.2120414}
{' No': -0.19355956, '\n': -3.8057442, ' ': -4.6073546, 'No': -2.0904996, ' Yes': -4.107185}
{' No': -0.042501077, '\n': -6.9801617, ' ': -6.097631, 'No': -3.2869203, ' no': -7.7149706}
{' No': -0.26729316, '\n': -3.2851248, ' ': -4.6060276, 'No': -1.7549545, ' Yes': -4.859008}
{' No': -0.16461563, '\n': -4.369973, 'No': -3.183158, ' Yes': -2.6578941, ' no': -4.5370674}
{' No': -0.14477263, '\n': -6.208102, ' ': -5.810773, 'No': -5.5005236, ' Yes': -2.080148}
{' No': -0.05417668, '\n': -5.611601, ' ': -6.007191, 'No': -3.1913626, ' Yes': -5.316647}
{' No': -0.6880893, '\n': -4.4977756, 'No': -3.6768663, ' Yes': -0.82534784, 'Yes': -4.4504395}
{' No': -0.019615903, '\n': -7.1345005, ' ': -5.686669, 'No': -4.293093, ' Yes': -6.923842}
{' No': -0.2672528, '\n': -4.440259, ' ': -4.642678, 'No': -2.749917, ' Yes': -1.9569346}
{' No': -0.62483096, '\n': -4.782127, ' ': -5.03992, 'No': -3.8761306, ' Yes': -0.8778331}
{' No': -0.02375303, '\n': -9.031426, ' March': -8.239915, 'No': -3.8139427, ' Yes': -7.3282633}
{' No': -0.06334292, '\n': -9.294249, ' ': -7.28838, ' March': -8.374816, 'No': -2.8120856}
{' No': -0.080255814, '\n': -7.177467, ' ': -6.9573646, ' March': -8.275648, 'No': -2.59326}
{' No': -0.020344136, ' ': -9.734365, ' March': -9.460869, 'No': -3.952263, ' Yes': -7.2475247}
{' No': -0.10153879, '\n': -6.391654, ' ': -6.3440323, ' March': -7.4494867, 'No': -2.3858995}
{' No': -0.0771099, ' ': -7.4951653, ' March': -7.6308017, 'No': -2.6388469, ' Yes': -7.1754413}
{' No': -0.005170437, '\n': -7.992832, ' ': -6.6923723, 'No': -5.6836443, ' no': -9.881338}
{' No': -0.038162746, '\n': -6.406143, ' ': -6.0623455, ' March': -9.39761, 'No': -3.4063916}
{' No': -0.058780823, '\xa0': -8.684322, '\n': -5.0029354, ' ': -5.3903637, 'No': -3.0990603}
{' No': -0.0061649615, '\n': -9.509636, ' ': -6.6942787, 'No': -5.3445187, ' no': -10.784942}
{' No': -0.145121, '\n': -4.8874183, ' ': -4.815291, 'No': -2.1351092, ' no': -8.211229}
{' No': -0.043486882, '\n': -6.8341627, ' ': -5.7732015, 'No': -3.3050508, ' no': -7.3948426}
{' No': -0.08123126, '\n': -7.0587087, ' ': -6.4016633, 'No': -2.627118, ' no': -6.261375}
