{' Yes': -0.055776756, ' No': -2.984169, ' The': -6.1620555, 'Yes': -6.8753333, '\n': -8.805377}
{' No': -0.028647827, ' Yes': -3.9636796, 'No': -4.812534, ' The': -7.6887407, '\n': -8.084117}
{' No': -0.05112998, ' Yes': -3.182407, 'No': -5.0099463, ' The': -7.0607467, '\n': -8.372699}
{' No': -0.15241516, ' Yes': -2.027867, 'No': -4.8900456, ' The': -6.7321224, 'Yes': -7.3750215}
{' No': -0.062702894, ' Yes': -2.9767234, 'No': -4.7995133, ' The': -7.268585, '\n': -7.845598}
{' Yes': -0.08976206, ' No': -2.523081, 'Yes': -5.4241714, 'No': -7.1190186, ' The': -8.467886}
{' No': -0.114563935, ' Yes': -2.294118, 'No': -5.12659, 'Yes': -7.5451937, ' The': -7.758481}
{' Yes': -0.28382048, ' No': -1.424911, 'Yes': -5.5999384, 'No': -5.954093, '\n': -9.16118}
{' No': -0.05439266, ' Yes': -3.0423324, 'No': -5.359721, ' The': -8.544178, 'Yes': -8.878973}
{' No': -0.1379142, ' Yes': -2.0951514, 'No': -5.3142924, 'Yes': -7.753047, ' The': -8.4638815}
{' No': -0.35829315, ' Yes': -1.2273365, 'No': -5.1120048, 'Yes': -6.614549, ' The': -7.913936}
{' Yes': -0.33744565, ' No': -1.271045, 'No': -5.925008, 'Yes': -5.936429, ' The': -7.996644}
{' Yes': -0.110199064, ' No': -2.32275, 'Yes': -5.411726, 'No': -6.695593, ' The': -7.7869663}
{' No': -0.012310477, 'No': -4.739542, ' Yes': -5.82778, ' The': -8.656908, '\n': -8.891686}
{' No': -0.018859167, 'No': -4.037612, ' Yes': -7.353894, ' Not': -8.611455, '\n': -9.413407}
{' No': -0.013768098, 'No': -4.325261, ' Yes': -8.053794, ' The': -10.285943, '\n': -10.306565}
{' No': -0.016981235, 'No': -4.1271095, ' Yes': -7.8560557, ' The': -8.97203, ' Not': -9.704982}
{' Yes': -0.5248861, ' No': -0.91742224, 'No': -5.3215165, 'Yes': -5.9231234, '\n': -7.4148107}
{' No': -0.3018581, ' Yes': -1.378358, 'No': -5.0551786, 'Yes': -6.988011, ' The': -7.5675154}
{' Yes': -0.64945066, ' No': -0.75681156, 'No': -5.348421, 'Yes': -5.825422, ' The': -7.8661485}
{' No': -0.30735853, ' Yes': -1.3707817, 'No': -5.0310335, ' The': -6.184969, 'Yes': -6.6733475}
{' No': -0.01105751, 'No': -4.817969, ' Yes': -5.937231, ' The': -9.122055, '\n': -9.666149}
{' No': -0.012855402, 'No': -4.9091315, ' Yes': -5.3025756, ' The': -8.917105, '\n': -9.092921}
{' No': -0.048959963, ' Yes': -3.3117182, 'No': -4.56234, ' The': -7.9508743, 'Yes': -8.423805}
{' No': -0.030191993, ' Yes': -3.9333177, 'No': -4.652069, ' The': -8.066904, 'Yes': -9.170509}
{' No': -0.0052664825, 'No': -5.3966274, ' Yes': -7.610195, ' The': -9.164377, '\n': -10.361415}
{' No': -0.01040292, 'No': -4.5903435, ' The': -9.694548, '\n': -9.924662, ' ': -10.247829}
{' No': -0.17017995, ' Yes': -1.8961436, 'No': -5.238049, 'Yes': -7.722876, ' The': -8.294915}
{' No': -0.034782168, ' Yes': -3.985624, 'No': -4.1785316, 'Yes': -8.826853, ' The': -10.083905}
{' No': -0.20256993, ' Yes': -1.7390137, 'No': -5.1188006, 'Yes': -7.258559, ' Not': -8.042735}
{' Yes': -0.40983313, ' No': -1.1084548, 'No': -5.8090487, 'Yes': -6.0034056, ' The': -7.7800717}
{' No': -0.015587448, 'No': -4.8074594, ' Yes': -5.0243287, ' The': -8.354914, '\n': -8.378771}
{' No': -0.023872, 'No': -4.08027, ' Yes': -5.1387935, '\n': -8.091825, ' The': -8.372548}
{' No': -0.015296957, 'No': -4.6600475, ' Yes': -5.239412, ' Not': -9.068497, '\n': -9.343045}
{' No': -0.6737282, ' Yes': -0.7215054, 'No': -6.02604, 'Yes': -6.8188086, ' The': -8.022252}
{' No': -0.017223705, 'No': -4.216107, ' Yes': -6.1507716, ' The': -9.507196, ' Not': -10.384275}
{' No': -0.034284875, ' Yes': -3.6138747, 'No': -5.07079, ' The': -8.394701, 'Yes': -8.966492}
{' No': -0.02359008, ' Yes': -4.2609158, 'No': -4.7589493, ' The': -8.076834, 'Yes': -9.197364}
{' No': -0.039713833, ' Yes': -3.385623, 'No': -5.3873854, ' The': -8.173644, 'Yes': -8.867076}
{' No': -0.012020993, 'No': -4.7735815, ' Yes': -5.7514105, ' The': -9.009603, '\n': -9.553773}
{' No': -0.012382411, 'No': -4.903562, ' Yes': -5.3950076, ' The': -9.282149, '\n': -9.322755}
{' No': -0.014744113, 'No': -4.7818356, ' Yes': -5.2355084, ' The': -7.41996, '\n': -9.229124}
{' No': -0.010226045, 'No': -5.025723, ' Yes': -5.7852707, '\n': -8.498217, ' The': -8.590469}
{' No': -0.017032037, 'No': -4.5567904, ' Yes': -5.14496, ' The': -8.208617, '\n': -8.914588}
{' No': -0.009260866, 'No': -4.758843, ' Yes': -7.8131943, ' The': -9.102387, '\n': -10.082838}
{' No': -0.023479015, 'No': -4.4490957, ' Yes': -4.511848, ' The': -8.342988, '\n': -9.336867}
{' No': -0.019878287, ' Yes': -4.513105, 'No': -4.795461, ' The': -8.270936, 'Yes': -9.919482}
{' No': -0.02214942, ' Yes': -4.2577357, 'No': -5.03267, ' The': -7.4674563, '\n': -7.8995104}
{' No': -0.011609474, 'No': -4.6248775, ' Yes': -6.604108, ' The': -8.618812, '\n': -9.3708315}
{' No': -0.035796095, ' Yes': -3.5806224, 'No': -5.0240216, ' The': -7.840861, 'Yes': -8.572718}
{' No': -0.015534659, ' Yes': -4.705596, 'No': -5.1310663, ' The': -8.1662245, '\n': -9.9598}
{' No': -0.039791733, ' Yes': -3.585284, 'No': -4.559981, '\n': -7.8509784, 'Yes': -8.73823}
{' No': -0.082994774, ' Yes': -2.936331, 'No': -3.7033293, ' The': -7.436249, 'Yes': -7.4377937}
{' No': -0.021262417, ' Yes': -4.312316, 'No': -4.9024115, 'Yes': -9.740853, ' The': -9.797444}
{' No': -0.012264438, ' Yes': -4.728016, 'No': -5.7676277, ' The': -9.408161, '\n': -10.137732}
{' Yes': -0.12277046, ' No': -2.1992111, 'Yes': -5.776087, 'No': -7.0672474, ' The': -7.9297695}
{' No': -0.06949162, ' Yes': -2.9460669, 'No': -4.3391542, ' The': -7.4818177, '\n': -7.8500085}
{' Yes': -0.16771488, ' No': -1.9163779, 'Yes': -5.7144136, ' The': -6.5775123, 'No': -6.7146688}
{' No': -0.6070985, ' Yes': -0.80584806, 'No': -5.405696, 'Yes': -6.204323, ' The': -7.0708394}
{' No': -0.54108745, ' Yes': -0.90054643, 'No': -4.738471, 'Yes': -5.9926, ' ': -9.374612}
{' No': -0.6835818, ' Yes': -0.7167278, 'No': -5.490802, 'Yes': -6.3704505, ' The': -7.5056734}
{' No': -0.12219134, ' Yes': -2.2643802, 'No': -4.652728, 'Yes': -7.3667307, ' The': -7.891698}
{' Yes': -0.037440974, ' No': -3.41801, 'Yes': -5.745553, ' The': -8.153184, 'No': -8.482022}
{' No': -0.116048485, ' Yes': -2.3444304, 'No': -4.3620677, 'Yes': -7.34621, ' The': -9.316073}
{' No': -0.093201384, ' Yes': -2.6691043, 'No': -3.9874365, 'Yes': -7.0526414, ' Not': -9.305702}
{' No': -0.014316358, ' Yes': -4.8043113, 'No': -5.2029457, ' The': -8.513808, '\n': -9.123971}
{' No': -0.0071255323, 'No': -5.1436114, ' Yes': -6.967786, ' The': -9.126109, '\n': -9.50304}
{' No': -0.01059862, 'No': -5.1200056, ' Yes': -5.504098, ' The': -8.484015, '\n': -8.787927}
{' No': -0.0315784, ' Yes': -3.6902869, 'No': -5.1735554, ' The': -8.414495, 'Yes': -9.085892}
{' Yes': -0.5529068, ' No': -0.8737591, 'No': -5.5458837, 'Yes': -5.8769193, ' The': -8.033484}
{' Yes': -0.21747342, ' No': -1.6749661, 'Yes': -5.405769, 'No': -6.091186, ' The': -7.2638807}
{' No': -0.09006139, ' Yes': -2.5529366, 'No': -4.899229, 'Yes': -7.9720645, ' The': -8.462866}
{' Yes': -0.084048435, ' No': -2.5851605, 'Yes': -5.594587, 'No': -7.208752, ' The': -7.4361773}
{' No': -0.009751345, 'No': -4.766532, ' Yes': -6.961873, ' The': -8.728028, '\n': -10.255641}
{' No': -0.009789625, 'No': -4.975127, ' Yes': -6.0130525, '\n': -8.873366, ' The': -8.938516}
{' No': -0.070410386, ' Yes': -2.7824233, 'No': -5.19846, ' The': -8.383162, 'Yes': -8.587436}
{' No': -0.012199633, 'No': -4.474579, ' Yes': -7.955002, ' The': -8.679777, '\n': -9.47146}
{' Yes': -0.21928297, ' No': -1.6748607, 'Yes': -5.2533784, 'No': -5.580933, ' The': -7.9416647}
{' Yes': -0.40433395, ' No': -1.1215353, 'No': -5.705006, 'Yes': -5.7772813, ' The': -8.802981}
{' No': -0.01757754, 'No': -4.488204, ' Yes': -5.175603, ' The': -8.2116995, '\n': -9.545994}
{' No': -0.095495544, ' Yes': -2.5047667, 'No': -4.7566814, 'Yes': -7.767725, ' The': -8.402561}
{' No': -0.033635132, ' Yes': -3.666114, 'No': -5.055423, ' Not': -7.715651, ' The': -8.427203}
{' Yes': -0.53588176, ' No': -0.89754766, 'No': -5.678889, 'Yes': -5.754227, ' The': -8.071453}
{' No': -0.010607114, ' Yes': -5.2304707, 'No': -5.3268075, ' The': -8.919701, '\n': -9.03961}
{' No': -0.024856329, 'No': -4.037376, ' Yes': -5.0194526, '\n': -9.337476, 'Yes': -9.380707}
{' No': -0.005704292, 'No': -5.301215, ' Yes': -7.5332956, ' The': -9.422587, ' ': -10.55918}
{' No': -0.007575324, 'No': -5.5405493, ' Yes': -5.6767983, ' The': -9.496707, '\n': -10.27037}
{' No': -0.042367373, ' Yes': -3.6850216, 'No': -4.186778, ' The': -7.925824, 'Yes': -8.232652}
{' No': -0.069709964, ' Yes': -2.8410149, 'No': -4.833805, ' The': -8.017599, 'Yes': -8.124565}
{' No': -0.1537708, ' Yes': -2.0594563, 'No': -4.329218, 'Yes': -7.2869205, '\n': -7.7016673}
{' No': -0.027235627, ' Yes': -4.0932813, 'No': -4.620323, ' The': -9.054523, 'Yes': -9.571621}
{' No': -0.5713734, ' Yes': -0.84405935, 'No': -6.0293255, 'Yes': -6.5530486, ' The': -7.3761134}
{' No': -0.02087538, ' Yes': -4.424091, 'No': -4.807525, ' The': -8.893853, 'Yes': -9.113008}
{' No': -0.015715016, 'No': -4.488142, ' Yes': -5.5823593, ' The': -7.9831944, ' Not': -9.466757}
{' No': -0.0227165, ' Yes': -4.3693542, 'No': -4.688637, ' The': -8.225284, '\n': -8.890558}
{' No': -0.21858053, ' Yes': -1.6746333, 'No': -4.929476, 'Yes': -6.9988904, ' The': -7.5391197}
{' Yes': -0.63216674, ' No': -0.7701386, 'No': -5.842948, 'Yes': -6.140946, ' The': -8.235943}
{' No': -0.28447732, ' Yes': -1.4221077, 'No': -5.3479805, 'Yes': -7.1984897, ' The': -7.4533973}
{' No': -0.14707555, ' Yes': -2.0712545, 'No': -4.7030334, 'Yes': -7.305017, ' The': -7.570041}
{' No': -0.012122948, 'No': -4.650722, ' Yes': -6.2091174, '\n': -8.448101, ' The': -8.828318}
{' No': -0.009470242, 'No': -5.0739117, ' Yes': -5.7945957, ' The': -9.986465, ' Not': -10.793106}
{' No': -0.008630658, 'No': -5.0692267, ' Yes': -6.2432666, ' The': -8.525161, '\n': -10.060109}
{' No': -0.009360192, 'No': -4.874766, ' Yes': -6.654284, ' The': -8.40111, '\n': -9.80304}
{' No': -0.01532958, 'No': -4.2472534, ' Yes': -7.348694, ' The': -9.1461525, '\n': -9.705294}
{' No': -0.017015122, 'No': -4.1733184, ' Yes': -6.866615, ' The': -8.545117, '\n': -9.447271}
{' No': -0.014334195, 'No': -4.2878575, ' Not': -8.547527, ' The': -9.419172, ' Unfortunately': -9.710457}
{' No': -0.046810277, ' Yes': -3.379238, 'No': -4.4982433, 'Yes': -8.334066, ' The': -8.785786}
{' No': -0.01869142, ' Yes': -4.297536, 'No': -5.3733363, ' The': -9.020751, 'Yes': -10.027312}
{' No': -0.16084473, ' Yes': -1.9893284, 'No': -4.580919, 'Yes': -6.9658756, ' The': -7.7599535}
{' No': -0.02530041, ' Yes': -4.17826, 'No': -4.687326, ' The': -8.857549, 'Yes': -9.233373}
{' No': -0.03020471, ' Yes': -3.8395958, 'No': -4.9048653, ' The': -8.270249, ' Unfortunately': -8.85561}
{' Yes': -0.00724434, 'Yes': -5.551998, ' No': -5.962677, '\n': -7.903101, ' yes': -8.905706}
{' No': -0.58589363, ' Yes': -0.8294658, 'No': -5.3890686, 'Yes': -6.533321, ' The': -7.20565}
{' Yes': -0.28790614, ' No': -1.3917099, ' The': -7.5710917, '\n': -8.29856, ' yes': -8.412906}
{' Yes': -0.034958076, ' No': -3.401083, 'Yes': -7.7709866, ' yes': -8.000141, ' The': -9.207808}
{' Yes': -0.13341942, ' No': -2.0858636, 'Yes': -7.884693, ' yes': -8.92507, '\n': -9.67301}
{' Yes': -0.11455965, ' No': -2.2305455, 'Yes': -7.5757394, ' yes': -9.556302, '\n': -9.801949}
{' No': -0.0075631314, ' Yes': -5.0916615, 'No': -7.4675064, '\n': -7.607115, ' ': -8.998882}
{' No': -0.032515835, ' Yes': -3.4907773, 'No': -6.9437666, '\n': -8.318425, ' ': -8.945174}
{' No': -0.018959818, ' Yes': -4.0774407, 'No': -6.6539707, '\n': -8.027674, ' ': -9.465661}
{' No': -0.011266122, ' Yes': -4.6271467, 'No': -6.9548864, '\n': -8.091283, ' ': -9.635188}
{' No': -0.22816008, ' Yes': -1.5967323, 'No': -7.1775217, '\n': -8.172812, 'Yes': -8.861785}
{' No': -0.20798469, ' Yes': -1.6790235, 'No': -7.2722354, '\n': -8.475773, 'Yes': -9.093498}
{' No': -0.0025637404, 'No': -6.738874, ' Yes': -6.7593246, ' ': -9.714718, '\n': -9.917621}
{' No': -0.07321121, ' Yes': -2.689216, 'No': -6.3394084, '\n': -7.5555296, 'Yes': -8.946006}
{' No': -0.03919691, ' Yes': -3.2893229, 'No': -7.221778, '\n': -8.786841, ' The': -9.081878}
{' No': -0.0022505964, ' Yes': -6.6872306, 'No': -7.02695, '\n': -10.018823, ' no': -10.496915}
{' Yes': -0.15618654, ' No': -1.9434371, ' yes': -7.15978, 'Yes': -8.114068, ' The': -9.207139}
{' Yes': -0.009678879, ' No': -4.7357073, 'Yes': -7.43949, ' yes': -8.92139, '\n': -9.538349}
{' No': -0.018411497, ' Yes': -4.130466, 'No': -6.4277167, '\n': -7.9586077, ' ': -9.522933}
{' No': -0.048306353, ' Yes': -3.0873897, 'No': -6.9013734, '\n': -7.9866905, ' ': -9.848993}
{' Yes': -0.21900699, ' No': -1.6370518, 'Yes': -7.225272, '\n': -7.262189, 'No': -8.056848}
{' No': -0.0012348278, 'No': -6.792702, ' Yes': -9.974131, ' ': -10.360508, '\n': -10.609986}
{' No': -0.07292998, ' Yes': -2.7037644, 'No': -6.6745224, '\n': -6.889189, ' ': -7.7180862}
{' No': -0.0076900995, ' Yes': -5.704082, 'No': -5.8848796, '\n': -7.0488024, ' ': -7.843551}
{' Yes': -0.00072518643, 'Yes': -7.4032407, ' yes': -9.476923, '\n': -10.905729, ' YES': -11.443617}
{' Yes': -0.0010851074, 'Yes': -7.108211, ' yes': -9.219413, ' No': -9.529962, '\n': -9.673504}
{' No': -0.055701196, ' Yes': -2.948619, 'No': -6.616584, ' The': -9.065761, ' Not': -9.289225}
{' No': -0.0043213954, ' Yes': -6.019195, 'No': -6.476153, '\n': -8.6085005, ' ': -9.571633}
{' Yes': -0.4814216, ' No': -0.9677116, 'Yes': -7.3260484, '\n': -7.5051527, 'No': -7.8378963}
{' No': -0.35863325, ' Yes': -1.205847, 'No': -7.2688007, '\n': -7.57283, 'Yes': -7.957336}
{' No': -0.0020009147, ' Yes': -7.0338454, 'No': -7.125429, '\n': -8.661715, ' ': -9.528444}
{' No': -0.0037494467, ' Yes': -6.1397357, 'No': -6.6282344, '\n': -8.823138, ' ': -9.374681}
{' No': -0.004300744, ' Yes': -5.96252, 'No': -6.4894004, ' ': -9.582773, '\n': -9.706185}
{' No': -0.022860283, ' Yes': -3.8630645, 'No': -6.730757, '\n': -8.354082, ' ': -9.397803}
{' Yes': -0.32994223, ' No': -1.2749496, 'Yes': -7.4294963, 'No': -8.146178, '\n': -8.273906}
{' No': -0.029460741, ' Yes': -3.5712986, 'No': -7.2814264, '\n': -9.019427, ' ': -9.82805}
{' No': -0.6193947, ' Yes': -0.7785801, 'Yes': -6.90268, 'No': -7.2652116, '\n': -7.35027}
{' No': -0.09187469, ' Yes': -2.450378, 'No': -6.820054, 'Yes': -8.60266, '\n': -8.856351}
{' No': -0.009022002, ' Yes': -4.8904686, 'No': -6.6765957, '\n': -9.398758, ' ': -9.964272}
{' No': -0.017019732, ' Yes': -4.2183175, 'No': -6.271704, '\n': -9.301325, ' ': -9.999834}
{' Yes': -0.29165807, ' No': -1.3839604, ' yes': -7.369909, 'Yes': -7.39092, '\n': -7.400817}
{' No': -0.098068625, ' Yes': -2.391825, 'No': -6.676243, '\n': -7.8818207, 'Yes': -9.069998}
{' Yes': -0.00074427295, 'Yes': -7.928801, ' No': -8.462442, ' yes': -8.8369665, '\n': -11.338688}
{' No': -0.3759882, ' Yes': -1.1667922, 'No': -6.928383, '\n': -7.6491084, 'Yes': -8.123728}
{' No': -0.011272993, ' Yes': -4.559611, 'No': -7.4089394, ' The': -10.005447, ' ': -10.498697}
{' Yes': -0.16313007, ' No': -1.9032385, 'Yes': -7.539906, '\n': -8.231529, ' yes': -8.325249}
{' Yes': -0.003650315, ' No': -5.9129024, 'Yes': -7.707163, '\n': -8.477214, ' yes': -8.480441}
{' No': -0.09509514, ' Yes': -2.4193025, 'No': -7.111969, '\n': -7.5750556, ' ': -8.681215}
{' Yes': -0.08198635, ' No': -2.557517, 'Yes': -7.671664, '\n': -8.156249, ' yes': -8.307476}
{' Yes': -0.31253055, ' No': -1.3199596, 'Yes': -8.029925, ' yes': -8.087952, '\n': -8.452304}
{' Yes': -0.055174943, ' No': -2.9433467, 'Yes': -7.5902014, '\n': -8.449817, ' yes': -8.923425}
{' No': -0.4594967, ' Yes': -1.0035069, 'No': -7.4369726, '\n': -7.635159, 'Yes': -8.313561}
{' No': -0.0452153, ' Yes': -3.1490188, 'No': -7.1812677, '\n': -8.302297, ' The': -9.116267}
{' No': -0.025034461, ' Yes': -3.761784, 'No': -6.9259953, '\n': -8.119181, ' ': -9.786472}
{' Yes': -0.3546032, ' No': -1.2144933, 'Yes': -7.853131, ' yes': -7.86332, 'No': -8.0508995}
{' No': -0.17596792, ' Yes': -1.8342509, 'No': -6.9371614, '\n': -8.158139, 'Yes': -9.083514}
{' No': -0.2498008, ' Yes': -1.5150253, 'No': -7.339368, 'Yes': -8.623488, ' Not': -8.870282}
{' No': -0.10851391, ' Yes': -2.2817392, 'No': -7.9792466, ' The': -9.115714, '\n': -9.126817}
{' Yes': -0.0029322777, ' No': -6.1927805, 'Yes': -7.3492947, ' yes': -9.098024, '\n': -9.392475}
{' No': -0.58021474, ' Yes': -0.8234857, 'No': -7.565734, 'Yes': -7.9124646, '\n': -8.515248}
{' Yes': -0.003627582, ' No': -5.9081373, 'Yes': -7.251334, ' yes': -9.425307, '\n': -9.653438}
{' Yes': -0.2704649, ' No': -1.4473944, 'Yes': -7.39181, '\n': -7.5525, 'No': -8.103941}
{' No': -0.0033121915, 'No': -5.929429, ' Yes': -7.938979, '\n': -9.160956, ' The': -9.5202875}
{' No': -0.0024275612, 'No': -6.4073343, ' Yes': -7.574348, '\n': -9.013392, ' ': -9.866286}
{' No': -0.003301485, ' Yes': -6.2366138, 'No': -6.9785533, '\n': -8.175503, ' ': -9.371856}
{' No': -0.14287464, ' Yes': -2.02666, 'No': -7.095988, '\n': -8.565286, 'Yes': -8.674234}
{' Yes': -0.00186601, ' No': -6.8503513, 'Yes': -7.664457, ' yes': -8.203022, '\n': -10.872408}
{' Yes': -0.5081951, ' No': -0.92593306, '\n': -7.3384643, ' yes': -7.446992, 'Yes': -8.143426}
{' No': -0.018754397, ' Yes': -4.1068907, 'No': -6.6733255, '\n': -7.4103274, ' ': -8.946679}
{' No': -0.030545712, ' Yes': -3.542102, 'No': -7.314391, '\n': -8.1425905, ' ': -9.600841}
{' No': -0.0503759, ' Yes': -3.0332534, 'No': -7.494616, '\n': -8.351369, ' ': -9.493464}
{' No': -0.032198224, ' Yes': -3.519146, 'No': -6.981308, '\n': -7.3508506, ' The': -8.377556}
{' No': -0.0059242565, ' Yes': -5.43086, 'No': -6.770559, '\n': -8.548031, ' ': -9.114243}
{' No': -0.028349161, ' Yes': -3.6257133, 'No': -6.9168115, '\n': -9.22483, ' ': -9.491034}
{' No': -0.008393207, ' Yes': -4.978389, 'No': -6.884923, '\n': -8.273438, ' ': -9.128041}
{' No': -0.0021494036, ' Yes': -6.7752337, 'No': -7.0991945, '\n': -9.595968, ' ': -9.792853}
{' Yes': -0.114168376, ' No': -2.2354662, 'Yes': -7.5627823, ' yes': -9.080938, '\n': -9.43688}
{' Yes': -0.15601493, ' No': -1.9440607, 'Yes': -7.0489573, '\n': -8.966111, 'No': -9.029262}
{' No': -0.5902681, ' Yes': -0.80906004, 'No': -8.714953, 'Yes': -8.907098, ' yes': -9.435149}
{' No': -0.019470334, ' Yes': -3.9877834, 'No': -7.6770916, '\n': -9.038069, ' The': -9.991051}
{' Yes': -0.0045798593, ' No': -5.9673963, 'Yes': -7.1843452, ' yes': -7.4629784, '\n': -7.506361}
{' Yes': -0.45691907, ' No': -1.0065616, 'Yes': -7.5510755, 'No': -7.67133, '\n': -9.177532}
{' No': -0.5924168, ' Yes': -0.806965, 'No': -8.400443, 'Yes': -8.684875, ' ': -8.9014015}
{' No': -0.037434664, ' Yes': -3.3453856, 'No': -6.872205, '\n': -8.528085, ' ': -9.356469}
{' Yes': -0.009099712, ' No': -4.822862, 'Yes': -7.245494, ' yes': -8.781621, '\n': -9.351222}
{' No': -0.46919873, ' Yes': -0.9880433, 'No': -7.022675, '\n': -7.412482, 'Yes': -7.708}
{' No': -0.07284164, ' Yes': -2.6765192, 'No': -6.8306556, '\n': -8.820011, ' ': -9.609172}
{' No': -0.060016964, ' Yes': -2.8708458, 'No': -6.7713914, '\n': -8.465231, ' ': -9.356691}
{' No': -0.004303855, ' Yes': -5.8377023, 'No': -6.911267, '\n': -8.586321, ' ': -9.387289}
{' No': -0.046190236, ' Yes': -3.1297226, 'No': -7.1032825, ' The': -8.31435, '\n': -8.728155}
{' No': -0.011881528, ' Yes': -4.6145444, 'No': -7.073575, '\n': -7.2877245, ' ': -8.747343}
{' No': -0.041992404, ' Yes': -3.246546, '\n': -6.8546486, 'No': -7.126711, ' ': -9.28289}
{' No': -0.14573424, ' Yes': -2.0139306, 'No': -7.065017, '\n': -7.3282447, ' The': -8.081122}
{' No': -0.034273155, ' Yes': -3.4755552, '\n': -6.6836696, 'No': -6.7684345, ' ': -8.879653}
{' Yes': -0.22002667, ' No': -1.628224, 'Yes': -7.3250794, 'No': -8.597521, '\n': -8.749239}
{' No': -0.059712324, ' Yes': -2.8913581, 'No': -6.6086583, '\n': -7.1840158, ' ': -8.586279}
{' Yes': -0.0037975498, ' No': -5.9462156, 'Yes': -6.945487, ' yes': -9.336733, '\n': -9.34892}
{' No': -0.034729406, ' Yes': -3.4031985, 'No': -7.583029, '\n': -8.3931675, ' ': -9.392798}
{' Yes': -0.4627356, ' No': -0.99587387, 'Yes': -7.9052377, 'No': -8.310166, '\n': -8.521285}
{' Yes': -0.36571085, ' No': -1.1866909, 'Yes': -7.6738462, 'No': -8.255536, '\n': -8.923262}
{' Yes': -0.21313116, ' No': -1.6586726, 'Yes': -7.1997027, 'No': -8.25069, ' yes': -8.326965}
{' Yes': -0.14704946, ' No': -2.0049732, 'Yes': -6.7482133, ' yes': -8.089986, 'No': -8.164021}
{' No': -0.0034273176, ' Yes': -6.279863, 'No': -6.87149, '\n': -8.040303, ' ': -9.347678}
{' No': -0.0019613798, 'No': -6.820227, ' Yes': -7.3616185, '\n': -9.014326, ' no': -10.092248}
{' No': -0.002980997, 'No': -6.197635, ' Yes': -7.0856185, '\n': -9.897897, ' ': -10.646335}
{' No': -0.0027022692, 'No': -6.364471, ' Yes': -7.137273, '\n': -9.640057, ' ': -9.651244}
{' Yes': -0.6790183, ' No': -0.7131217, '\n': -6.8658276, 'No': -7.2283006, 'Yes': -7.773913}
{' No': -0.3657728, ' Yes': -1.189713, '\n': -7.0973043, 'No': -7.269728, 'Yes': -8.456537}
{' Yes': -0.20056291, ' No': -1.7114902, 'Yes': -7.548373, ' yes': -8.759007, 'No': -8.830953}
{' Yes': -0.53214145, ' No': -0.890847, '\n': -7.016157, 'Yes': -7.6427135, 'No': -7.683754}
{' No': -0.02228209, ' Yes': -3.864075, 'No': -7.268484, '\n': -8.709295, ' ': -9.80146}
{' No': -0.004853961, ' Yes': -5.5648937, 'No': -7.164907, '\n': -8.959027, ' ': -9.635882}
{' No': -0.07898364, ' Yes': -2.5911543, 'No': -7.3987236, ' ': -9.07489, '\n': -9.382889}
{' No': -0.029653206, ' Yes': -3.5774496, 'No': -7.1280947, '\n': -8.492291, ' ': -8.996255}
{' No': -0.0011447802, 'No': -7.5345383, ' Yes': -7.8234515, '\n': -9.218365, ' no': -9.805162}
{' No': -0.0016696219, 'No': -6.495064, '\n': -9.801929, ' ': -10.106491, ' Yes': -10.53648}
{' Yes': -0.47062823, ' No': -0.98288864, 'Yes': -7.934903, 'No': -8.075555, '\n': -8.820876}
{' No': -0.088385105, ' Yes': -2.484236, 'No': -6.9765778, '\n': -9.357124, 'Yes': -9.488319}
{' Yes': -0.68388927, ' No': -0.7063636, 'No': -7.3605, 'Yes': -7.733535, '\n': -7.876371}
{' No': -0.40597612, ' Yes': -1.101695, 'No': -7.233628, 'Yes': -8.184876, '\n': -9.097579}
{' No': -0.005180501, ' Yes': -5.59308, 'No': -7.034477, '\n': -7.939625, ' ': -8.90072}
{' No': -0.006640963, ' Yes': -5.6746917, 'No': -6.216224, '\n': -6.989595, ' ': -8.616952}
{' No': -0.010281267, ' Yes': -4.733231, 'No': -6.810631, '\n': -8.8177395, ' ': -9.356443}
{' No': -0.46335518, ' Yes': -0.9944449, 'No': -8.214667, '\n': -8.344104, 'Yes': -8.9312525}
{' No': -0.036256634, ' Yes': -3.3699987, 'No': -7.088491, '\n': -8.34026, ' ': -9.671784}
{' No': -0.09393595, ' Yes': -2.4229078, 'No': -7.7079782, '\n': -8.424922, ' The': -9.0695715}
{' No': -0.1894301, ' Yes': -1.7662029, 'No': -7.4350715, '\n': -8.0307865, ' The': -8.466974}
{' No': -0.03558954, ' Yes': -3.3802166, 'No': -7.6974697, ' The': -8.465713, '\n': -9.89737}
{' No': -0.0024694453, 'No': -6.619206, ' Yes': -7.004105, '\n': -9.045226, ' ': -9.66129}
{' No': -0.003546465, ' Yes': -5.9069753, 'No': -7.496725, '\n': -9.04621, ' no': -9.732504}
{' No': -0.01056362, ' Yes': -4.6523733, 'No': -7.4185777, '\n': -8.883522, ' The': -9.338533}
{' No': -0.0041239867, ' Yes': -5.8868804, 'No': -7.101682, '\n': -8.443472, ' no': -8.830116}
{' No': -0.004474356, ' Yes': -5.688686, 'No': -7.0095415, '\n': -9.393401, ' The': -10.228242}
{' No': -0.002934305, ' Yes': -6.283141, 'No': -7.103204, '\n': -9.245471, ' no': -9.684819}
{' No': -0.0063276817, ' Yes': -5.2964044, 'No': -6.8186064, '\n': -9.3593645, ' ': -9.6390295}
