{' No': -3.5439048, ' ': -9.908948, 'No': -9.454865, ' Yes': -0.030950211, 'Yes': -6.564}
{'\n': -11.620397, ' ': -10.035255, ' Yes': -0.0020757553, ' yes': -9.761444, 'Yes': -6.2366033}
{' No': -3.033099, ' ': -9.532949, 'No': -9.00769, ' Yes': -0.051087197, 'Yes': -6.5642414}
{' No': -4.1944304, ' ': -9.436786, 'No': -8.598136, ' Yes': -0.02078196, 'Yes': -5.2635856}
{' No': -4.3311496, ' ': -9.128941, 'No': -8.384362, ' Yes': -0.021653863, 'Yes': -4.843614}
{' No': -3.9831738, ' ': -9.807957, 'No': -9.156542, ' Yes': -0.021538142, 'Yes': -5.9932823}
{' No': -2.0026138, ' ': -8.199566, 'No': -5.9634466, ' Yes': -0.15614006, 'Yes': -5.009249}
{' No': -5.691098, ' ': -9.190511, ' Yes': -0.008837674, ' yes': -8.676904, 'Yes': -5.2834806}
{' No': -10.536056, ' ': -10.591696, ' Yes': -0.00052687584, ' yes': -9.296405, 'Yes': -7.880654}
{' No': -6.377019, ' ': -9.430982, ' Yes': -0.005588064, ' yes': -9.390737, 'Yes': -5.6029367}
{' No': -6.0153313, ' ': -8.640038, ' Yes': -0.006149428, ' yes': -9.463503, 'Yes': -5.685806}
{' No': -8.645475, ' ': -10.329603, ' Yes': -0.0012702787, ' yes': -10.058256, 'Yes': -6.8948684}
{' No': -6.6459074, ' ': -7.7273407, ' Yes': -0.0061541647, ' yes': -9.440005, 'Yes': -5.4587927}
{' No': -9.202628, ' ': -8.753851, ' Yes': -0.003967009, ' yes': -7.677444, 'Yes': -5.7499995}
{' No': -7.2861176, ' ': -10.812239, ' Yes': -0.006462173, ' yes': -7.965341, 'Yes': -5.2285156}
{' No': -8.826863, ' ': -12.046615, ' Yes': -0.005393339, ' yes': -9.994286, 'Yes': -5.2638845}
{' No': -10.157863, ' ': -9.863302, ' Yes': -0.014647212, ' yes': -8.128503, 'Yes': -4.2599854}
{' No': -8.434418, ' ': -10.707329, ' Yes': -0.0038225001, ' yes': -9.103374, 'Yes': -5.6681495}
{' No': -6.7258186, ' ': -9.176203, ' Yes': -0.015529937, ' yes': -8.253094, 'Yes': -4.2854443}
{' No': -8.791649, ' ': -9.260765, ' Yes': -0.019287292, ' yes': -6.4126167, 'Yes': -4.067637}
{' No': -10.614486, ' ': -9.384257, ' Yes': -0.0022031637, ' yes': -6.7908354, 'Yes': -6.959427}
{' No': -6.847095, ' ': -8.353311, ' Yes': -0.007390603, ' yes': -7.523927, 'Yes': -5.2056136}
{' No': -9.983711, ' ': -8.136068, ' Yes': -0.00923584, ' yes': -7.8640995, 'Yes': -4.77924}
{' No': -9.070896, ' ': -8.426059, ' Yes': -0.004369708, ' yes': -6.911192, 'Yes': -5.8153453}
{' No': -7.4464617, ' ': -7.4457483, ' Yes': -0.0076996507, ' yes': -7.9376154, 'Yes': -5.1110206}
{' No': -7.0949807, ' ': -7.138729, ' Yes': -0.014149008, ' yes': -5.2701225, 'Yes': -4.959078}
{' No': -10.145869, ' ': -10.065862, ' Yes': -0.00058711285, ' yes': -9.837304, 'Yes': -7.721872}
{' No': -5.6522474, ' ': -8.142489, ' Yes': -0.0068718744, ' yes': -9.63515, 'Yes': -5.8273463}
{' No': -6.0248938, '\n': -8.795497, ' ': -7.459821, ' Yes': -0.008821141, 'Yes': -5.1987095}
{' No': -6.9855056, ' ': -8.709355, ' Yes': -0.0021896057, ' yes': -9.887203, 'Yes': -6.8810096}
{' No': -5.159546, '\n': -9.200905, ' ': -6.9106064, ' Yes': -0.011808487, 'Yes': -5.3424435}
{' No': -7.5267544, ' ': -8.6347275, ' Yes': -0.0023483953, ' yes': -8.91576, 'Yes': -6.519297}
{' No': -0.002951763, ' ': -9.684472, 'No': -5.8497705, ' no': -13.538369, ' NO': -13.429391}
{' No': -0.008615866, ' ': -9.714372, 'No': -4.766178, ' no': -13.726719, ' NO': -12.718408}
{' No': -0.0127882045, '\n': -12.789031, ' ': -9.094939, 'No': -4.3752875, ' NO': -12.348026}
{' No': -0.0037378387, ' ': -10.0668955, 'No': -5.603444, ' no': -13.859694, ' NO': -13.616434}
{' No': -0.016025754, '\n': -12.24762, ' ': -8.761446, 'No': -4.15238, ' NO': -12.890779}
{' No': -0.013728338, ' ': -8.53415, 'No': -4.3112555, ' no': -11.853302, ' NO': -12.272438}
{' No': -0.0005764348, '\n': -12.386327, ' ': -9.46578, 'No': -7.619568, ' no': -13.399852}
{' No': -0.004017038, '\n': -12.078646, ' ': -8.802817, 'No': -5.5604587, ' NO': -13.030312}
{' No': -0.0035218836, '\n': -10.516453, ' ': -8.627182, 'No': -5.7134457, ' NO': -12.886837}
{' No': -0.0014614556, '\n': -12.34894, ' ': -9.517797, 'No': -6.5858474, ' NO': -13.576618}
{' No': -0.005375365, '\n': -9.882277, ' ': -7.8982487, 'No': -5.312945, ' NO': -12.647747}
{' No': -0.005405805, '\n': -9.381693, ' ': -8.070822, 'No': -5.3038907, ' no': -11.463364}
{' No': -0.01209037, ' ': -9.258679, 'No': -4.43443, ' no': -10.212973, ' NO': -11.493553}
{' No': -0.0090042595, ' ': -10.810307, 'No': -4.7171493, ' no': -13.718471, ' NO': -14.189267}
{' No': -0.032424767, '\n': -11.256131, ' ': -8.508093, 'No': -3.4531302, ' no': -11.129307}
{' No': -0.008096805, ' ': -9.334563, 'No': -4.833477, ' no': -11.766889, ' NO': -12.417222}
{' No': -0.028167, '\n': -10.848877, ' ': -8.523618, 'No': -3.5936122, ' no': -10.762398}
{' No': -0.05009135, ' ': -7.9291797, 'No': -3.0351264, 'no': -9.888887, ' no': -8.357956}
{' No': -0.0012250404, '\n': -11.242369, ' ': -8.210796, 'No': -7.0072465, ' no': -10.494234}
{' No': -0.007426932, '\n': -11.045281, ' ': -8.052, 'No': -4.955831, ' no': -11.159208}
{' No': -0.012778786, '\n': -8.804305, ' ': -7.1942472, 'No': -4.442685, ' no': -11.240135}
{' No': -0.0041943737, '\n': -10.122343, ' ': -7.692005, 'No': -5.619686, ' no': -9.950186}
{' No': -0.0062170797, '\n': -8.692098, ' ': -7.3251643, 'No': -5.231452, ' no': -11.238424}
{' No': -0.009807201, '\n': -8.427873, ' ': -6.936239, 'No': -4.80784, ' no': -7.9198484}
{' No': -0.00052878505, '\n': -11.916676, ' ': -9.28689, 'No': -7.7589417, ' NO': -13.767026}
{' No': -0.0034957433, '\n': -10.973105, ' ': -8.264953, 'No': -5.7416587, ' NO': -12.80839}
{' No': -0.0078596, '\n': -8.355685, ' ': -7.3664446, 'No': -4.969571, ' NO': -12.221546}
{' No': -0.0017879031, '\n': -10.715321, ' ': -8.089113, 'No': -6.537125, ' NO': -12.355273}
{' No': -0.0054653157, '\n': -9.254837, ' ': -7.4696693, 'No': -5.345019, ' NO': -12.478668}
{' No': -0.001989508, '\n': -11.562423, ' ': -8.61083, 'No': -6.3266597, ' no': -12.40035}
{' No': -0.0027555213, ' ': -11.321408, 'No': -5.9282904, ' Yes': -9.505919, ' NO': -14.294399}
{' No': -0.00849287, ' ': -10.039956, 'No': -4.8080034, ' Yes': -8.326156, ' NO': -12.869806}
{' No': -0.015380904, ' ': -9.705938, 'No': -4.199236, ' Yes': -8.599267, ' NO': -12.707141}
{' No': -0.0035295992, ' ': -11.397989, 'No': -5.6690583, ' Yes': -9.741154, ' NO': -14.116064}
{' No': -0.017066836, ' ': -9.345722, 'No': -4.2482505, ' Yes': -5.9872336, 'Yes': -10.593752}
{' No': -0.07296082, ' ': -8.422463, 'No': -4.6877394, ' Yes': -2.803231, 'Yes': -8.152735}
{' No': -0.052170306, ' ': -9.183262, 'No': -7.8231235, ' Yes': -2.9899716, 'Yes': -10.579444}
{' No': -0.004890977, ' ': -9.789503, 'No': -5.6688695, ' Yes': -6.602728, 'Yes': -11.969896}
{' No': -0.005373567, '\n': -10.6086235, ' ': -8.979828, 'No': -5.667372, ' Yes': -6.3567758}
{' No': -0.002249163, '\n': -12.771336, ' ': -9.96583, 'No': -6.948197, ' Yes': -6.6988583}
{' No': -0.020221815, ' ': -7.3353004, 'No': -5.276291, ' Yes': -4.263136, 'Yes': -9.378159}
{' No': -0.04085699, ' ': -7.645568, 'No': -5.566812, ' Yes': -3.338716, 'Yes': -8.98627}
{' No': -0.012934801, ' ': -10.122764, 'No': -4.723752, ' Yes': -5.555178, 'Yes': -10.471346}
{' No': -0.027399791, ' ': -11.167952, 'No': -4.5537, ' Yes': -4.113034, 'Yes': -9.00609}
{' No': -0.0369486, ' ': -8.8709955, 'No': -3.842948, ' Yes': -4.238681, 'Yes': -8.358096}
{' No': -0.17085747, ' ': -9.563571, 'No': -5.535083, ' Yes': -1.8810779, 'Yes': -7.444938}
{' No': -0.11776435, ' ': -8.2336235, 'No': -3.8976352, ' Yes': -2.4166877, 'Yes': -6.7134194}
{' No': -0.72335076, 'No': -3.992546, ' Yes': -0.7180427, ' yes': -7.136593, 'Yes': -4.9365406}
{' No': -0.0027121285, ' ': -8.46779, 'No': -7.0427375, ' Yes': -6.4532995, ' no': -10.312013}
{' No': -0.00964662, ' ': -8.54634, 'No': -4.823434, ' Yes': -6.62691, ' no': -11.011092}
{' No': -0.015512017, '\n': -9.428678, ' ': -7.6197658, 'No': -4.7046466, ' Yes': -5.1691713}
{' No': -0.0044992045, ' ': -8.025495, 'No': -5.7114234, ' Yes': -7.130878, ' no': -10.529724}
{' No': -0.02741627, '\n': -8.535606, ' ': -6.896791, 'No': -4.968052, ' Yes': -3.9799573}
{' No': -0.013226725, ' ': -6.767329, 'No': -4.83545, ' Yes': -5.6220884, ' no': -8.569515}
{' No': -0.01334028, '\n': -11.188301, ' ': -8.888369, 'No': -7.523891, ' Yes': -4.3783092}
{' No': -0.005847873, ' ': -8.794054, 'No': -5.751165, ' Yes': -6.0014153, 'Yes': -11.434385}
{' No': -0.015206539, '\n': -8.55655, ' ': -7.4680524, 'No': -5.2850657, ' Yes': -4.689927}
{' No': -0.003889816, '\n': -11.468309, ' ': -8.571184, 'No': -6.9952455, ' Yes': -5.893284}
{' No': -0.059955638, ' ': -6.6114197, 'No': -5.1111813, ' Yes': -2.9910164, 'Yes': -7.963417}
{' No': -0.035689104, ' ': -7.558422, 'No': -6.3793125, ' Yes': -3.4191177, 'Yes': -9.83935}
{' YES': -12.552457, ' ': -12.177151, ' Yes': -0.001854305, ' yes': -10.601379, 'Yes': -6.310105}
{' YES': -12.009643, ' ': -11.631259, ' Yes': -0.004912898, ' yes': -10.044311, 'Yes': -5.3309455}
{' YES': -11.572494, ' ': -11.533911, ' Yes': -0.0067906184, ' yes': -9.9523945, 'Yes': -5.006064}
{' YES': -12.736389, ' ': -12.67205, ' Yes': -0.0024346123, ' yes': -10.574517, 'Yes': -6.0327177}
{' YES': -12.188883, ' ': -11.537128, ' Yes': -0.006361214, ' yes': -9.978777, 'Yes': -5.0710735}
{' YES': -11.756219, ' ': -11.175622, ' Yes': -0.0041818046, ' yes': -9.182816, 'Yes': -5.5102296}
{' YES': -11.920813, ' ': -11.121927, ' Yes': -0.0005210318, ' yes': -9.667194, 'Yes': -7.7448463}
{' YES': -11.828534, ' ': -10.889563, ' Yes': -0.0032215347, ' yes': -9.619223, 'Yes': -5.770672}
{'\n': -10.428985, ' ': -10.114651, ' Yes': -0.0035426992, ' yes': -9.271469, 'Yes': -5.6958914}
{' YES': -12.265077, ' ': -11.826291, ' Yes': -0.000792055, ' yes': -10.016073, 'Yes': -7.218455}
{'\n': -10.728905, ' ': -9.483741, ' Yes': -0.004338039, ' yes': -9.761451, 'Yes': -5.482009}
{'\n': -10.039698, ' ': -9.513704, ' Yes': -0.0043301955, ' yes': -8.079567, 'Yes': -5.5551534}
{' YES': -11.543957, ' ': -11.66485, ' Yes': -0.004490284, ' yes': -8.391396, 'Yes': -5.4664707}
{' YES': -13.067933, ' Yes': -0.0068128826, ' yes': -10.112048, 'Yes': -4.999355, 'yes': -12.7406025}
{' YES': -10.804494, ' ': -10.977571, ' Yes': -0.012597026, ' yes': -8.27099, 'Yes': -4.4055014}
{' YES': -12.055131, ' ': -11.887156, ' Yes': -0.004378268, ' yes': -9.266073, 'Yes': -5.459204}
{' YES': -11.436026, ' ': -10.441595, ' Yes': -0.011199875, ' yes': -8.687044, 'Yes': -4.5177364}
{' ': -10.001033, ' Yes': -0.014236308, ' yes': -6.8771186, 'Yes': -4.343557, 'yes': -10.268971}
{' YES': -11.336948, ' ': -9.91187, ' Yes': -0.0017541089, ' yes': -7.5698595, 'Yes': -6.7580767}
{' ': -9.522177, ' Yes': -0.010046313, ' yes': -7.2401175, 'Yes': -4.6942215, 'yes': -10.519857}
{'\n': -9.658876, ' ': -9.093324, ' Yes': -0.007954527, ' yes': -8.199859, 'Yes': -4.8996973}
{' ': -9.665003, ' Yes': -0.005173371, ' yes': -6.921234, 'Yes': -5.5098176, 'yes': -10.49537}
{'\n': -8.678201, ' ': -8.275375, ' Yes': -0.010809058, ' yes': -7.874664, 'Yes': -4.6143646}
{'\n': -8.888844, ' ': -8.610018, ' Yes': -0.012481867, ' yes': -5.5855484, 'Yes': -4.7983475}
{'\n': -11.498713, ' ': -10.547389, ' Yes': -0.000672576, ' yes': -10.062749, 'Yes': -7.44389}
{'\n': -11.088661, ' ': -9.9946375, ' Yes': -0.0034029775, ' yes': -9.524414, 'Yes': -5.729521}
{'\n': -8.856182, ' ': -9.094536, ' Yes': -0.0054033473, ' yes': -9.228921, 'Yes': -5.2958584}
{' YES': -11.809258, ' ': -10.325537, ' Yes': -0.00096356997, ' yes': -10.17861, 'Yes': -7.0392056}
{'\n': -9.4345045, ' ': -8.820934, ' Yes': -0.0067609134, ' yes': -9.51452, 'Yes': -5.04852}
{'\n': -11.7394285, ' ': -10.193396, ' Yes': -0.001083796, ' yes': -9.601624, 'Yes': -6.94413}
{' No': -7.1122117, ' ': -10.572576, ' Yes': -0.002637185, ' yes': -10.28671, 'Yes': -6.3463697}
{' No': -6.836687, ' ': -9.978596, ' Yes': -0.0061075687, ' yes': -10.091808, 'Yes': -5.316759}
{' No': -10.193963, ' ': -10.288009, ' Yes': -0.010530671, ' yes': -9.847931, 'Yes': -4.5717473}
{' No': -8.121576, ' ': -10.9762, ' Yes': -0.0037350873, ' yes': -10.587292, 'Yes': -5.6887403}
{' No': -7.922654, ' ': -10.270207, ' Yes': -0.0076328, ' yes': -9.962634, 'Yes': -4.9411902}
{' No': -10.070618, ' ': -10.185488, ' Yes': -0.0066631036, ' yes': -8.750223, 'Yes': -5.0530534}
{' YES': -12.859895, ' ': -10.786562, ' Yes': -0.000494912, ' yes': -9.3081875, 'Yes': -7.8824463}
{' No': -9.442456, ' ': -9.672036, ' Yes': -0.0048366506, ' yes': -9.279313, 'Yes': -5.3866415}
{' No': -9.829661, ' ': -8.918078, ' Yes': -0.0051095644, ' yes': -9.300033, 'Yes': -5.344278}
{' No': -11.749283, ' ': -10.787996, ' Yes': -0.0010178615, ' yes': -10.010744, 'Yes': -6.970393}
{' No': -8.4654, ' ': -7.97151, ' Yes': -0.004970823, ' yes': -9.652443, 'Yes': -5.449993}
{'\n': -10.488047, ' ': -8.824375, ' Yes': -0.0043450403, ' yes': -7.6038494, 'Yes': -5.6207404}
{' No': -10.486133, ' ': -11.020921, ' Yes': -0.005971446, ' yes': -7.9739585, 'Yes': -5.1948614}
{' No': -10.520973, ' ': -12.446751, ' Yes': -0.005395018, ' yes': -10.284906, 'Yes': -5.2376885}
{' YES': -11.379494, ' ': -10.381809, ' Yes': -0.014085774, ' yes': -8.422789, 'Yes': -4.2899075}
{' No': -10.686243, ' ': -11.263178, ' Yes': -0.0032924581, ' yes': -9.426512, 'Yes': -5.7559032}
{' No': -10.04805, ' ': -9.924735, ' Yes': -0.01529968, ' yes': -8.542271, 'Yes': -4.208407}
{' ': -9.717, ' Yes': -0.019177675, ' yes': -6.7145333, 'Yes': -4.0374994, 'yes': -10.031322}
{' ': -9.5732975, ' Yes': -0.0022550186, ' yes': -6.799795, 'Yes': -6.8619347, 'yes': -11.575475}
{' ': -8.980723, ' Yes': -0.0075000743, ' yes': -7.4336963, 'Yes': -5.0042725, 'yes': -10.856548}
{'\n': -9.849353, ' ': -8.034294, ' Yes': -0.011164554, ' yes': -7.7661533, 'Yes': -4.5792265}
{' ': -8.710605, ' Yes': -0.0043978444, ' yes': -6.933145, 'Yes': -5.749061, 'yes': -10.583253}
{'\n': -9.184658, ' ': -7.512548, ' Yes': -0.008434562, ' yes': -8.073662, 'Yes': -4.9126935}
{'\n': -8.863615, ' ': -7.368065, ' Yes': -0.015165449, ' yes': -5.1836395, 'Yes': -4.7723904}
{'\n': -12.2635355, ' ': -10.155977, ' Yes': -0.00050290365, ' yes': -9.810269, 'Yes': -7.8305902}
{' No': -10.235829, ' ': -8.818179, ' Yes': -0.0033301327, ' yes': -9.433301, 'Yes': -5.79465}
{' No': -8.514047, ' ': -8.005809, ' Yes': -0.0059084264, ' yes': -9.317473, 'Yes': -5.26189}
{' No': -9.592208, ' ': -9.0140085, ' Yes': -0.0011457329, ' yes': -9.721747, 'Yes': -7.034251}
{' No': -8.531051, ' ': -7.525481, ' Yes': -0.00633776, ' yes': -9.674912, 'Yes': -5.2112823}
{' No': -11.6388855, ' ': -9.355348, ' Yes': -0.0013860068, ' yes': -9.343246, 'Yes': -6.7333155}
{' No': -0.00347439, ' ': -9.447814, 'No': -5.688609, ' no': -13.484106, ' NO': -13.3022}
{' No': -0.009020259, ' ': -9.448259, 'No': -4.7222524, ' no': -13.856473, ' NO': -12.620437}
{' No': -0.017065626, '\n': -12.537125, ' ': -8.692755, 'No': -4.089953, ' NO': -12.0999775}
{' No': -0.0053270636, ' ': -9.837612, 'No': -5.248384, ' no': -14.016176, ' NO': -13.331762}
{' No': -0.015429511, '\n': -12.786976, ' ': -8.884252, 'No': -4.1890097, ' NO': -12.804755}
{' No': -0.014605478, ' ': -8.507057, 'No': -4.2491465, ' no': -12.0552845, ' NO': -12.258012}
{' No': -0.00065277616, '\n': -12.160377, ' ': -9.212381, 'No': -7.517657, ' NO': -13.410776}
{' No': -0.0045943493, '\n': -11.868484, ' ': -8.568419, 'No': -5.430698, ' NO': -12.7689905}
{' No': -0.004303975, '\n': -10.018831, ' ': -8.348166, 'No': -5.5204473, ' NO': -12.757813}
{' No': -0.0016201288, '\n': -12.107102, ' ': -9.354675, 'No': -6.486758, ' NO': -13.338192}
{' No': -0.005720658, '\n': -9.630884, ' ': -7.6610703, 'No': -5.267485, ' NO': -12.51123}
{' No': -0.006091258, '\n': -9.353488, ' ': -7.9279103, 'No': -5.1846666, ' no': -11.535831}
{' No': -0.0148266805, ' ': -9.110715, 'No': -4.229457, ' no': -10.588535, ' NO': -11.569051}
{' No': -0.009445209, ' ': -10.626826, 'No': -4.669784, ' no': -14.138862, ' NO': -14.28805}
{' No': -0.030962326, '\n': -11.533671, ' ': -8.70316, 'No': -3.4972367, ' no': -11.643666}
{' No': -0.005972166, ' ': -9.559216, 'No': -5.1377215, ' no': -12.177301, ' NO': -12.527222}
{' No': -0.03044463, '\n': -11.126444, ' ': -8.406791, 'No': -3.5162957, ' no': -11.301914}
{' No': -0.048391435, '\n': -10.311358, ' ': -7.832449, 'No': -3.0659733, ' no': -9.128529}
{' No': -0.0014172826, '\n': -10.814293, ' ': -8.0336895, 'No': -6.865504, ' no': -10.743652}
{' No': -0.009315672, '\n': -10.574013, ' ': -7.645801, 'No': -4.7392216, ' no': -11.276262}
{' No': -0.015244123, '\n': -8.611218, ' ': -6.952517, 'No': -4.2718964, ' no': -11.310675}
{' No': -0.004559619, '\n': -10.106867, ' ': -7.5995603, 'No': -5.5328436, ' no': -10.224664}
{' No': -0.008253951, '\n': -8.557895, ' ': -7.0872636, 'No': -4.9381623, ' no': -11.442599}
{' No': -0.013739277, '\n': -8.039862, ' ': -6.6140084, 'No': -4.455504, ' no': -8.064629}
{' No': -0.0006275471, '\n': -11.513799, ' ': -8.891529, 'No': -7.648237, ' NO': -13.583089}
{' No': -0.0037045756, '\n': -10.954891, ' ': -7.940592, 'No': -5.7084775, ' NO': -12.593083}
{' No': -0.007299637, '\n': -8.487379, ' ': -7.230577, 'No': -5.063179, ' NO': -12.022288}
{' No': -0.0020244475, '\n': -10.459354, ' ': -7.798077, 'No': -6.455813, ' NO': -12.057351}
{' No': -0.005576795, '\n': -9.075166, ' ': -7.196195, 'No': -5.363773, ' NO': -12.412006}
{' No': -0.0019360605, '\n': -11.155467, ' ': -8.287205, 'No': -6.4003634, ' no': -12.729318}
{' No': -0.0062543857, ' ': -10.195445, 'No': -5.862358, ' Yes': -5.7026153, 'Yes': -11.28897}
{' No': -0.022339324, ' ': -9.374508, 'No': -4.4759984, ' Yes': -4.555516, 'Yes': -9.101118}
{' No': -0.021372015, ' ': -8.961385, 'No': -4.1075854, ' Yes': -5.40687, 'Yes': -9.509062}
{' No': -0.018937707, ' ': -9.922946, 'No': -4.946298, ' Yes': -4.4637656, 'Yes': -9.46631}
{' No': -0.06894885, ' ': -8.796568, 'No': -4.1011505, ' Yes': -3.0101912, 'Yes': -7.3806725}
{' No': -1.1748549, ' ': -8.418616, 'No': -5.3165445, ' Yes': -0.38482535, 'Yes': -5.2386975}
{' No': -4.320385, ' ': -9.241481, ' Yes': -0.014284253, ' yes': -8.951271, 'Yes': -7.360759}
{' No': -2.528944, ' ': -8.391703, 'No': -7.5060825, ' Yes': -0.09012987, 'Yes': -5.194725}
{' No': -1.5539851, ' ': -7.2526927, 'No': -6.8099213, ' Yes': -0.24589314, 'Yes': -5.4051814}
{' No': -1.4184812, ' ': -8.330056, 'No': -7.8348975, ' Yes': -0.27988386, 'Yes': -6.6183233}
{' No': -1.4627672, ' ': -6.2852726, 'No': -6.4780006, ' Yes': -0.27491447, 'Yes': -5.3002057}
{' No': -2.14156, ' ': -7.090578, 'No': -6.999558, ' Yes': -0.13382582, 'Yes': -5.2510934}
{' No': -0.13292548, ' ': -8.949284, 'No': -4.3922944, ' Yes': -2.200377, 'Yes': -6.800312}
{' No': -1.8090163, 'No': -6.505694, ' Yes': -0.18772815, ' yes': -9.973876, 'Yes': -5.158281}
{' No': -0.9465399, ' ': -8.256108, 'No': -4.8243723, ' Yes': -0.520875, 'Yes': -4.6638136}
{' No': -3.852775, 'No': -8.942729, ' Yes': -0.026241116, ' yes': -9.0957575, 'Yes': -5.430612}
{' No': -0.25787497, ' ': -7.9323554, 'No': -3.9526207, ' Yes': -1.5882754, 'Yes': -5.6914115}
{' No': -2.2311223, 'No': -5.134431, ' Yes': -0.14543073, ' yes': -6.9628534, 'Yes': -3.886947}
{' No': -2.7289083, ' ': -7.437759, ' Yes': -0.07139195, ' yes': -6.6403766, 'Yes': -6.4800887}
{' No': -0.0658856, ' ': -7.309227, 'No': -4.6081524, ' Yes': -2.949585, 'Yes': -7.3510203}
{' No': -1.6492848, ' ': -6.210953, 'No': -6.128868, ' Yes': -0.2309804, 'Yes': -4.698834}
{' No': -0.07650316, ' ': -6.700219, 'No': -5.3985343, ' Yes': -2.6993458, 'Yes': -7.768842}
{' No': -0.68212456, ' ': -5.697673, 'No': -5.4666686, ' Yes': -0.73196745, 'Yes': -5.324653}
{' No': -0.19179657, ' ': -5.627002, 'No': -4.6699667, ' Yes': -1.8475945, 'Yes': -6.399144}
{' No': -4.1664577, ' ': -8.891622, ' Yes': -0.016412307, ' yes': -9.61387, 'Yes': -7.54379}
{' No': -0.37211868, ' ': -6.993201, 'No': -5.6846967, ' Yes': -1.1880119, 'Yes': -6.510257}
{' No': -2.559151, '\n': -7.771449, ' ': -6.7798767, ' Yes': -0.08850681, 'Yes': -5.2479587}
{' No': -0.4947414, ' ': -6.9202647, 'No': -7.1322017, ' Yes': -0.94747734, 'Yes': -7.345056}
{' No': -2.9816904, ' ': -6.668263, 'No': -8.057543, ' Yes': -0.059861347, 'Yes': -5.202392}
{' No': -3.0876136, ' ': -7.719938, ' Yes': -0.04907214, ' yes': -8.907147, 'Yes': -6.462627}
{' YES': -12.127935, ' ': -11.569598, ' Yes': -0.0027494258, ' yes': -10.242993, 'Yes': -5.917033}
{' YES': -11.435917, ' ': -11.326911, ' Yes': -0.007930914, ' yes': -9.741802, 'Yes': -4.8518543}
{' YES': -10.955932, ' ': -11.1171665, ' Yes': -0.010694044, ' yes': -9.830083, 'Yes': -4.551988}
{' YES': -12.189476, ' ': -11.815152, ' Yes': -0.00473298, ' yes': -10.248975, 'Yes': -5.366219}
{' YES': -11.645475, ' ': -11.071036, ' Yes': -0.010940659, ' yes': -9.852231, 'Yes': -4.5284576}
{' YES': -11.267484, ' ': -10.628388, ' Yes': -0.008590496, ' yes': -8.881493, 'Yes': -4.783029}
{' YES': -11.711565, ' ': -10.827975, ' Yes': -0.00062313356, ' yes': -9.534375, 'Yes': -7.5655375}
{' YES': -11.305672, ' ': -10.427599, ' Yes': -0.005883185, ' yes': -9.347988, 'Yes': -5.1628766}
{'\n': -10.178289, ' ': -9.90544, ' Yes': -0.00495441, ' yes': -9.170957, 'Yes': -5.3533964}
{' YES': -11.960467, ' ': -11.39754, ' Yes': -0.0012958832, ' yes': -9.799187, 'Yes': -6.710665}
{'\n': -10.281419, ' ': -9.132913, ' Yes': -0.006604723, ' yes': -9.482715, 'Yes': -5.0601516}
{'\n': -9.431463, ' ': -9.147713, ' Yes': -0.006807961, ' yes': -7.88134, 'Yes': -5.0867243}
{' YES': -10.998677, ' ': -10.85533, ' Yes': -0.007243799, ' yes': -8.165731, 'Yes': -4.9788203}
{' ': -12.835313, ' Yes': -0.008594586, ' yes': -10.183181, 'Yes': -4.7663193, 'yes': -12.601548}
{' YES': -10.7078085, ' ': -10.778047, ' Yes': -0.018576648, ' yes': -8.438521, 'Yes': -4.010384}
{' YES': -11.759837, ' ': -11.268931, ' Yes': -0.0058789863, ' yes': -9.082478, 'Yes': -5.163647}
{' YES': -11.000228, ' ': -10.269708, ' Yes': -0.016608702, ' yes': -8.768353, 'Yes': -4.119964}
{' ': -9.645947, ' Yes': -0.02503874, ' yes': -6.929285, 'Yes': -3.747046, 'yes': -9.79353}
{'\n': -10.870239, ' ': -9.480505, ' Yes': -0.0029285708, ' yes': -7.0128713, 'Yes': -6.266621}
{' ': -9.072491, ' Yes': -0.01491513, ' yes': -7.000665, 'Yes': -4.2921233, 'yes': -9.965172}
{'\n': -8.887936, ' ': -8.6947, ' Yes': -0.014011789, ' yes': -7.8382587, 'Yes': -4.330042}
{' ': -9.220375, ' Yes': -0.0062610423, ' yes': -6.9381337, 'Yes': -5.282214, 'yes': -10.294847}
{'\n': -8.971501, ' ': -8.2895, ' Yes': -0.013698245, ' yes': -8.1226, 'Yes': -4.35189}
{'\n': -8.245953, ' ': -8.108, ' Yes': -0.020887492, ' yes': -5.200329, 'Yes': -4.2408504}
{'\n': -11.536287, ' ': -10.460364, ' Yes': -0.00063679187, ' yes': -10.019105, 'Yes': -7.5143995}
{'\n': -10.8284235, ' ': -9.894612, ' Yes': -0.0048498274, ' yes': -9.482432, 'Yes': -5.3667383}
{'\n': -8.801039, ' ': -8.959061, ' Yes': -0.006374709, ' yes': -9.246746, 'Yes': -5.1244354}
{' YES': -11.411496, ' ': -9.996578, ' Yes': -0.0012103018, ' yes': -9.918508, 'Yes': -6.820107}
{'\n': -9.903109, ' ': -8.908119, ' Yes': -0.0063288817, ' yes': -9.667618, 'Yes': -5.109043}
{'\n': -11.800713, ' ': -10.292944, ' Yes': -0.0014376382, ' yes': -9.586095, 'Yes': -6.629718}
{' No': -8.098039, ' ': -10.985034, ' Yes': -0.001982702, ' yes': -10.274437, 'Yes': -6.424191}
{' No': -8.308163, ' ': -10.3398075, ' Yes': -0.005285598, ' yes': -9.923239, 'Yes': -5.3113327}
