{' Yes': -0.021824969, ' No': -3.942994, 'Yes': -6.408141, ' The': -8.148902, ' yes': -9.244042}
{' Yes': -0.015219854, 'Yes': -4.8961954, ' No': -4.9513464, ' The': -8.476481, 'No': -8.862472}
{' Yes': -0.0025130664, 'Yes': -6.036259, ' The': -10.001647, ' yes': -10.007282, ' No': -11.15209}
{' Yes': -0.685334, ' No': -0.72219914, 'No': -5.039382, 'Yes': -5.948458, ' The': -7.153296}
{' Yes': -0.06075966, ' No': -2.9149694, 'Yes': -5.6276, 'No': -7.5970354, ' The': -8.010014}
{' Yes': -0.0134186875, ' No': -5.0089746, 'Yes': -5.071646, ' The': -8.756674, 'No': -9.100367}
{' No': -0.032240946, ' Yes': -3.743573, 'No': -4.8777514, ' Not': -9.020256, 'Yes': -9.175635}
{' Yes': -0.19484727, ' No': -1.7797184, 'Yes': -5.238722, 'No': -6.075768, ' The': -7.764707}
{' No': -0.09249444, ' Yes': -2.5087962, 'No': -5.1124544, ' The': -7.67856, 'Yes': -8.295865}
{' No': -0.6580512, ' Yes': -0.7453143, 'No': -5.388266, 'Yes': -6.2960033, ' The': -7.3531704}
{' Yes': -0.006509507, ' No': -5.67514, 'Yes': -5.840179, ' yes': -9.790269, ' The': -10.439089}
{' Yes': -0.5120145, ' No': -0.931452, ' The': -6.002744, 'No': -6.061636, 'Yes': -6.3826337}
{' Yes': -0.0045786006, 'Yes': -5.45975, '\n': -9.4180355, ' The': -9.488278, ' yes': -9.656894}
{' Yes': -0.025005618, ' No': -3.9026337, 'Yes': -5.5433903, 'No': -8.448252, ' The': -8.681772}
{' Yes': -0.0031346523, 'Yes': -5.8488684, ' No': -9.011542, ' yes': -9.610127, '\n': -10.31185}
{' Yes': -0.002664557, 'Yes': -6.007881, ' No': -9.16259, ' yes': -9.6307335, ' The': -10.984612}
{' Yes': -0.056328464, ' No': -2.9760919, 'Yes': -5.900442, 'No': -7.726574, ' The': -7.7852597}
{' Yes': -0.058922302, ' No': -2.9584413, 'Yes': -5.550328, 'No': -7.5970235, ' The': -7.778696}
{' Yes': -0.0077407947, 'Yes': -5.2254815, ' No': -6.163417, ' yes': -9.368905, '\n': -9.627616}
{' Yes': -0.06293252, ' No': -2.9005368, 'Yes': -5.2785597, 'No': -7.4226923, ' The': -8.970569}
{' Yes': -0.03506721, ' No': -3.4605339, 'Yes': -6.1333103, ' The': -7.884814, 'No': -8.632283}
{' No': -0.064691074, ' Yes': -3.0132153, 'No': -4.3760448, 'Yes': -7.856153, ' The': -8.153838}
{' No': -0.43459752, ' Yes': -1.0599484, 'No': -5.683348, ' The': -6.553959, 'Yes': -7.0420747}
{' Yes': -0.114737794, ' No': -2.2887356, 'Yes': -5.533883, ' The': -6.5751143, 'No': -6.671414}
{' Yes': -0.34910795, ' No': -1.2524474, 'No': -5.5269394, 'Yes': -5.5965977, ' The': -7.2064366}
{' Yes': -0.0066415626, 'Yes': -5.301161, ' No': -6.558502, ' The': -9.063576, ' yes': -10.155439}
{' No': -0.17426069, ' Yes': -1.8838344, 'No': -4.960229, 'Yes': -7.4825664, ' The': -8.770321}
{' Yes': -0.1507101, ' No': -2.0178308, 'Yes': -5.4206705, 'No': -6.238034, ' The': -8.259464}
{' Yes': -0.19422394, ' No': -1.8008617, 'Yes': -4.9511604, 'No': -5.745665, ' "': -7.797894}
{' No': -0.09772746, ' Yes': -2.527987, 'No': -4.412148, 'Yes': -7.547489, ' The': -7.8124485}
{' No': -0.029448463, ' Yes': -3.9162474, 'No': -4.747699, ' The': -8.503903, 'Yes': -9.276817}
{' Yes': -0.41127813, ' No': -1.107323, 'No': -5.7254925, 'Yes': -5.747061, ' The': -8.787058}
{' Yes': -0.18050502, ' No': -1.8355496, 'Yes': -5.967044, ' The': -6.391452, 'No': -6.9000554}
{' No': -0.063040435, ' Yes': -3.0011432, 'No': -4.602082, ' The': -7.166579, 'Yes': -8.087151}
{' Yes': -0.008683384, ' No': -5.073074, 'Yes': -6.175656, ' yes': -9.054538, ' The': -9.340619}
{' Yes': -0.050380915, ' No': -3.100567, 'Yes': -5.691475, 'No': -8.03289, ' The': -8.232704}
{' No': -0.07131827, ' Yes': -2.944226, 'No': -4.1930337, ' The': -7.744372, 'Yes': -7.9437776}
{' No': -0.053773366, ' Yes': -3.3900328, 'No': -4.053285, ' The': -7.334823, 'Yes': -8.128345}
{' No': -0.1182612, ' Yes': -2.262201, 'No': -5.146229, ' The': -7.39224, 'Yes': -8.05359}
{' No': -0.0564759, ' Yes': -3.1818323, 'No': -4.3938684, ' The': -7.8679037, 'Yes': -8.187709}
{' Yes': -0.38212612, ' No': -1.1837562, 'Yes': -5.4097214, 'No': -5.430805, '\n': -7.0067177}
{' No': -0.024066078, ' Yes': -4.240775, 'No': -4.7429094, ' The': -8.494049, ' Not': -8.509907}
{' Yes': -0.18625575, ' No': -1.8076603, 'Yes': -5.6692915, 'No': -6.431152, ' The': -7.682349}
{' No': -0.36230987, ' Yes': -1.2244126, 'No': -5.024137, 'Yes': -6.6455703, ' The': -6.657838}
{' No': -0.643502, ' Yes': -0.76558, 'No': -5.218132, 'Yes': -5.7882576, ' The': -7.694447}
{' Yes': -0.17797191, ' No': -1.853427, 'Yes': -5.5797105, 'No': -6.5156984, ' The': -7.1907682}
{' Yes': -0.005142574, ' No': -5.891348, 'Yes': -6.231535, ' The': -8.5441475, ' yes': -9.603325}
{' Yes': -0.04857519, ' No': -3.1659575, 'Yes': -5.47815, 'No': -7.6276326, ' The': -8.008925}
{' Yes': -0.0036822602, 'Yes': -5.9735384, ' No': -6.9158106, ' yes': -9.903998, ' The': -9.923282}
{' Yes': -0.005148986, 'Yes': -5.9714766, ' No': -6.066792, ' The': -8.835343, ' yes': -9.833456}
{' No': -0.19891918, ' Yes': -1.7703818, 'No': -4.738817, 'Yes': -7.1700644, ' The': -8.615782}
{' Yes': -0.014707213, ' No': -4.450317, 'Yes': -6.0155134, ' The': -8.589454, 'No': -9.186275}
{' Yes': -0.57323796, ' No': -0.8544804, 'No': -5.041948, 'Yes': -5.6455717, ' The': -7.6779475}
{' No': -0.49066514, ' Yes': -0.976957, 'No': -5.11342, 'Yes': -6.2958922, ' The': -6.3342357}
{' Yes': -0.004451007, 'Yes': -5.7069807, ' No': -6.922793, ' yes': -9.783763, ' The': -10.468703}
{' Yes': -0.07917672, ' No': -2.6660032, 'Yes': -5.252608, 'No': -6.8901887, ' The': -9.173752}
{' No': -0.023574274, 'No': -3.794641, ' Yes': -7.7969103, ' The': -8.488252, ' "': -9.703076}
{' No': -0.024970353, 'No': -3.7805686, ' Yes': -6.5918703, ' The': -8.254149, '\n': -9.753846}
{' Yes': -0.42836243, ' No': -1.0973992, 'No': -4.863333, 'Yes': -5.0744424, '\n': -8.60338}
{' No': -0.25371164, ' Yes': -1.5250015, 'No': -5.2732196, 'Yes': -7.243976, ' The': -8.111576}
{' Yes': -0.6899362, ' No': -0.71177906, 'No': -5.4732113, 'Yes': -6.3026204, ' The': -6.794192}
{' No': -0.16165839, ' Yes': -1.9484262, 'No': -5.241233, 'Yes': -7.483458, ' The': -7.7094445}
{' Yes': -0.0031363268, 'Yes': -6.091568, ' No': -7.255087, ' yes': -9.673323, ' The': -9.697517}
{' No': -0.12708755, ' Yes': -2.2439888, 'No': -4.4084306, 'Yes': -7.3183594, ' The': -8.466166}
{' Yes': -0.15970287, ' No': -1.965136, 'Yes': -5.4482236, 'No': -6.3237042, ' The': -7.421517}
{' No': -0.25454608, ' Yes': -1.5560158, 'No': -4.489959, 'Yes': -6.395983, ' The': -7.773196}
{' No': -0.5175334, ' Yes': -0.9403182, 'No': -4.7590094, 'Yes': -6.0914297, '\n': -6.796855}
{' No': -0.23852715, ' Yes': -1.5929564, 'No': -4.953176, 'Yes': -7.050619, ' The': -7.965692}
{' Yes': -0.32822168, ' No': -1.2897848, 'Yes': -6.051327, 'No': -6.410565, ' The': -8.34644}
{' Yes': -0.003942771, 'Yes': -5.649116, ' No': -8.373674, ' yes': -9.225338, ' The': -9.972641}
{' Yes': -0.2082884, ' No': -1.6907542, 'Yes': -6.362385, 'No': -7.3669643, ' The': -7.4578}
{' Yes': -0.005696378, 'Yes': -5.7027116, ' No': -6.216546, ' The': -8.546193, ' yes': -9.608966}
{' No': -0.08969256, ' Yes': -2.616382, 'No': -4.493493, ' The': -7.5238943, 'Yes': -7.816533}
{' No': -0.45000935, ' Yes': -1.045781, 'No': -4.9397173, 'Yes': -6.3389688, ' The': -6.843713}
{' No': -0.048884727, ' Yes': -3.5411618, 'No': -4.0663695, ' The': -7.344401, ' Not': -7.685256}
{' Yes': -0.39573634, ' No': -1.146732, 'No': -5.641437, 'Yes': -5.7036643, ' The': -6.480193}
{' Yes': -0.0053956173, 'Yes': -5.261272, ' yes': -9.671113, ' No': -9.719794, ' The': -10.375866}
{' Yes': -0.0035028611, 'Yes': -5.741029, ' No': -8.912568, ' yes': -9.503865, ' The': -10.152432}
{' Yes': -0.18130368, ' No': -1.8362337, 'Yes': -5.595688, 'No': -6.314036, ' The': -8.247223}
{' Yes': -0.056832287, ' No': -2.9971743, 'Yes': -5.5880914, ' The': -7.145053, 'No': -7.7602677}
{' No': -0.03726872, ' Yes': -3.642516, 'No': -4.7540846, ' The': -6.7714033, ' "': -8.264071}
{' No': -0.39382493, ' Yes': -1.1495013, 'No': -5.115812, 'Yes': -6.6818266, ' The': -6.949471}
{' No': -0.21406619, ' Yes': -1.7083498, 'No': -4.7007184, 'Yes': -6.3299623, '\n': -8.526027}
{' No': -0.06236653, ' Yes': -2.978941, 'No': -4.8047867, ' The': -7.6981025, ' Not': -7.7097507}
{' Yes': -0.01484574, ' No': -4.8303914, 'Yes': -5.085505, ' The': -8.3385, ' yes': -9.16622}
{' Yes': -0.23272225, ' No': -1.6290655, 'Yes': -4.9351315, 'No': -5.727156, ' The': -7.369202}
{' No': -0.041517105, ' Yes': -3.5551546, 'No': -4.5886664, ' Not': -7.094921, ' The': -7.4762607}
{' Yes': -0.17902061, ' No': -1.8465506, 'Yes': -5.5600953, 'No': -6.5007787, ' The': -7.667965}
{' Yes': -0.0036064663, 'Yes': -5.9204907, ' No': -7.258439, ' yes': -9.537709, ' The': -9.706609}
{' Yes': -0.49256387, ' No': -0.96856546, 'No': -5.3672695, 'Yes': -5.7608857, ' The': -7.0893135}
{' No': -0.058189195, ' Yes': -3.1474338, 'No': -4.390064, '\n': -7.6912537, 'Yes': -8.078738}
{' Yes': -0.016010856, ' No': -4.573008, 'Yes': -5.322876, ' The': -8.28421, 'No': -8.959946}
{' Yes': -0.0071344175, 'Yes': -5.502297, ' No': -5.8678856, ' The': -9.674082, ' yes': -9.776331}
{' No': -0.5714951, ' Yes': -0.84878165, 'No': -5.2898006, 'Yes': -6.4311404, ' The': -7.899057}
{' No': -0.2542392, ' Yes': -1.5524836, 'No': -4.6072664, 'Yes': -6.7369313, ' The': -7.362672}
{' No': -0.04096553, 'No': -3.737037, ' Yes': -4.1707664, '\n': -8.065436, 'Yes': -8.555865}
{' Yes': -0.050128073, ' No': -3.1536381, 'Yes': -5.4496145, ' The': -7.208287, 'No': -7.4961915}
{' Yes': -0.007862066, ' No': -5.553148, 'Yes': -5.5895586, ' The': -9.510927, ' yes': -9.620268}
{' Yes': -0.053610094, ' No': -3.0531597, 'Yes': -5.5897202, 'No': -7.6416836, ' The': -8.129692}
{' No': -0.013154249, 'No': -4.6114893, ' Yes': -5.9722447, ' The': -8.150586, ' ': -9.299523}
{' No': -0.09516535, ' Yes': -2.5272694, 'No': -4.6243763, 'Yes': -7.7001014, ' The': -8.185137}
{' Yes': -0.103543945, ' No': -2.3880498, 'Yes': -5.372274, 'No': -6.8142576, ' The': -7.6010675}
{' Yes': -0.01120759, 'Yes': -4.836273, ' No': -5.9627724, '\n': -7.9121265, ' yes': -9.44047}
{' Yes': -0.00878025, 'Yes': -4.7956796, ' No': -8.125017, ' yes': -9.611412, ' The': -10.128207}
{' Yes': -0.008820179, 'Yes': -5.2562504, ' No': -5.6898746, ' yes': -9.887078, 'No': -9.952553}
{' Yes': -0.009667444, ' No': -5.227929, 'Yes': -5.5611444, ' The': -8.497804, ' yes': -9.524184}
{' Yes': -0.5770433, ' No': -0.83499885, 'No': -6.1608324, 'Yes': -6.624052, ' The': -7.0404754}
{' Yes': -0.05594851, ' No': -2.980387, 'Yes': -5.971031, ' The': -7.5001273, 'No': -7.930658}
{' Yes': -0.006642883, 'Yes': -5.1305346, ' No': -7.435903, ' The': -10.078349, ' yes': -10.203679}
{' Yes': -0.08587712, ' No': -2.5558267, 'Yes': -5.660322, 'No': -7.094749, ' The': -8.563936}
{' No': -0.32798293, ' Yes': -1.3218508, 'No': -4.909436, ' The': -5.656949, 'Yes': -6.507815}
{' No': -0.20653033, ' Yes': -1.7172799, 'No': -5.3087397, ' The': -6.6971173, 'Yes': -7.3948293}
{' Yes': -0.20426744, ' No': -1.7190303, 'Yes': -5.862165, 'No': -6.4859424, ' The': -7.5005007}
{' Yes': -0.03011539, ' No': -3.75774, 'Yes': -5.1557903, 'No': -7.944029, ' The': -9.368528}
{' Yes': -0.15500623, ' No': -1.991041, 'Yes': -5.4672236, 'No': -6.332141, ' The': -7.6823187}
{' No': -0.25665033, ' Yes': -1.5449022, 'No': -4.502137, 'Yes': -6.6604567, ' The': -7.891059}
{' Yes': -0.48094597, ' No': -0.9874653, 'No': -5.475357, 'Yes': -5.764396, '\n': -6.953675}
{' No': -0.06494585, ' Yes': -2.9183583, 'No': -4.8385735, ' The': -7.8422165, 'Yes': -8.383362}
{' Yes': -0.0036223782, 'Yes': -5.6526165, ' yes': -10.075169, ' No': -10.524418, ' The': -10.966747}
{' Yes': -0.010688742, 'Yes': -5.265568, ' No': -5.2783217, ' The': -9.049233, '\n': -9.508277}
{' Yes': -0.0753817, ' No': -2.691682, 'Yes': -5.554551, 'No': -7.237851, ' The': -9.166696}
{' Yes': -0.3558404, ' No': -1.2282712, 'No': -5.789884, 'Yes': -5.8127666, ' The': -7.9074416}
{' Yes': -0.56410486, ' No': -0.84410167, 'Yes': -8.064775, 'No': -8.168697, ' yes': -8.6314745}
{' Yes': -0.013958112, ' No': -4.3395443, 'Yes': -7.6792736, ' yes': -8.876516, '\n': -9.119915}
{' Yes': -0.0019217874, ' No': -6.8076334, 'Yes': -7.4139524, ' yes': -9.451505, '\n': -9.476546}
{' No': -0.11471707, ' Yes': -2.2348018, 'No': -6.9513183, '\n': -8.852572, ' ': -9.2634115}
{' No': -0.33028507, ' Yes': -1.2791587, '\n': -6.850293, 'No': -7.028411, ' The': -8.05544}
{' Yes': -0.01648011, ' No': -4.1657205, 'Yes': -7.3580422, ' yes': -9.415112, ' ': -10.128174}
{' No': -0.05556509, ' Yes': -2.9488108, 'No': -6.628525, ' ': -9.237513, '\n': -9.4366}
{' Yes': -0.008969557, ' No': -4.882331, 'Yes': -7.0535917, '\n': -8.518886, ' yes': -8.887311}
{' Yes': -0.00065874035, 'Yes': -7.864668, ' No': -8.878819, ' yes': -9.42379, ' YES': -10.901129}
{' No': -0.2504242, ' Yes': -1.5128353, 'No': -7.4584026, '\n': -8.388464, 'Yes': -8.835594}
{' Yes': -0.011573416, ' No': -4.5234694, 'Yes': -7.8466415, ' yes': -8.601851, ' ': -10.357753}
{' Yes': -0.007891863, ' No': -4.936864, 'Yes': -7.620278, ' yes': -9.143628, '\n': -10.025654}
{' Yes': -0.06890511, ' No': -2.727457, 'Yes': -7.356716, ' yes': -8.539372, ' ': -9.205416}
{' Yes': -0.040054727, ' No': -3.2789497, 'Yes': -7.028524, '\n': -8.108511, ' yes': -8.433881}
{' Yes': -0.0072302907, ' No': -5.256088, '\n': -7.125983, 'Yes': -7.227492, ' yes': -8.349174}
{' Yes': -0.007235515, ' No': -5.004744, 'Yes': -7.950096, ' The': -9.808201, ' yes': -9.8117075}
{' Yes': -0.0015553545, ' No': -7.090563, 'Yes': -7.564266, ' yes': -8.777235, '\n': -10.938663}
{' No': -0.3875365, ' Yes': -1.1410022, 'No': -7.197787, '\n': -7.9196634, 'Yes': -8.269351}
{' Yes': -0.059821356, ' No': -2.8589354, 'Yes': -7.7653284, ' yes': -9.053489, '\n': -9.333451}
{' Yes': -0.038977806, ' No': -3.2911558, 'Yes': -7.2066903, ' yes': -8.937592, 'No': -9.928687}
{' No': -0.019786544, ' Yes': -3.9831061, 'No': -7.133636, '\n': -9.918588, ' ': -9.934907}
{' Yes': -0.017758809, ' No': -4.127244, ' yes': -7.2437277, 'Yes': -7.5259595, '\n': -9.544262}
{' No': -0.0028175632, 'No': -6.0091953, ' Yes': -8.357262, ' ': -9.953667, '\n': -10.019638}
{' No': -0.0049837613, ' Yes': -5.742494, 'No': -6.414932, '\n': -9.944357, ' ': -10.397563}
{' Yes': -0.004491122, ' No': -5.5060434, 'Yes': -8.129762, ' yes': -9.372962, ' The': -11.128633}
{' No': -0.002662048, 'No': -6.519202, ' Yes': -6.841487, ' ': -10.32525, '\n': -10.360521}
{' Yes': -0.00281852, ' No': -6.1548166, 'Yes': -7.7056932, ' yes': -8.80188, ' The': -10.060824}
{' Yes': -0.09877248, ' No': -2.3722212, 'Yes': -7.6785927, '\n': -9.398539, 'No': -9.486944}
{' Yes': -0.0016545171, ' No': -6.9801083, 'Yes': -7.5280786, ' yes': -9.272811, '\n': -10.073732}
{' Yes': -0.6674316, ' No': -0.72111017, 'No': -8.019246, 'Yes': -8.057914, ' yes': -9.994395}
{' Yes': -0.087204464, ' No': -2.5006204, 'Yes': -7.469404, '\n': -7.9594307, ' yes': -8.084217}
{' Yes': -0.01386147, ' No': -4.3607125, 'Yes': -7.3058805, ' yes': -8.977811, '\n': -9.152342}
{' Yes': -0.00056343444, 'Yes': -7.853224, ' yes': -9.332015, ' No': -9.997884, '\n': -10.893404}
{' Yes': -0.6563187, ' No': -0.73399556, '\n': -7.9115133, 'No': -8.056054, 'Yes': -8.203341}
{' Yes': -0.001436922, 'Yes': -7.1363306, ' No': -8.279413, ' yes': -8.551346, '\n': -9.337421}
{' No': -0.06763338, ' Yes': -2.7557874, 'No': -6.570718, ' ': -8.88277, '\n': -9.120571}
{' Yes': -0.0014748238, ' No': -7.459919, 'Yes': -7.6643453, ' yes': -8.118597, '\n': -10.032281}
{' Yes': -0.12189045, ' No': -2.1797535, 'Yes': -7.293875, ' yes': -8.118482, '\n': -8.336892}
{' No': -0.047879543, ' Yes': -3.0803654, 'No': -7.5857244, ' ': -8.57829, '\n': -10.016492}
{' No': -0.006588403, ' Yes': -5.2307034, 'No': -6.89381, ' ': -9.311857, '\n': -9.51499}
{' Yes': -0.00486606, ' No': -5.457415, 'Yes': -7.9562798, ' yes': -8.685743, ' The': -10.230938}
{' Yes': -0.048287395, ' No': -3.0902128, 'Yes': -6.857823, ' yes': -8.467174, ' The': -8.906898}
{' No': -0.20566487, ' Yes': -1.6923039, 'No': -6.737675, ' Not': -8.489066, 'Yes': -8.507823}
{' No': -0.006089697, ' Yes': -5.4282756, 'No': -6.477065, ' ': -9.772754, '\n': -10.183068}
{' No': -0.21571985, ' Yes': -1.6439731, 'No': -7.4853024, 'Yes': -9.209202, ' ': -10.102165}
{' No': -0.035957724, ' Yes': -3.3609242, 'No': -7.7227407, '\n': -9.686914, ' ': -9.749017}
{' Yes': -0.13053907, ' No': -2.1169758, 'Yes': -7.37355, ' The': -7.89117, ' yes': -7.9963436}
{' No': -0.48621318, ' Yes': -0.96046776, 'No': -6.9597178, ' The': -7.3898935, 'Yes': -7.913144}
{' No': -0.14433555, ' Yes': -2.019799, 'No': -6.8566747, ' ': -8.447122, '\n': -8.876122}
{' No': -0.12345968, ' Yes': -2.1608896, 'No': -7.461272, ' ': -9.303917, '\n': -9.457109}
{' No': -0.16393802, ' Yes': -1.8978627, 'No': -7.180854, ' The': -8.83294, ' ': -9.002091}
{' Yes': -0.09281303, ' No': -2.4366927, 'Yes': -7.396058, ' yes': -8.335363, ' The': -9.15474}
{' Yes': -0.0026576843, ' No': -6.310658, 'Yes': -7.3357606, ' yes': -8.938249, '\n': -10.803883}
{' No': -0.13407259, ' Yes': -2.084863, 'No': -7.0459013, 'Yes': -9.227167, '\n': -9.563762}
{' Yes': -0.0019603642, ' No': -6.630704, 'Yes': -7.8095183, ' yes': -8.672429, '\n': -10.68497}
{' Yes': -0.015833834, ' No': -4.2185125, 'Yes': -7.485596, ' yes': -8.771052, '\n': -8.927816}
{' No': -0.26910093, ' Yes': -1.4529884, 'No': -6.7816586, 'Yes': -8.354148, ' The': -8.385682}
{' No': -0.007169355, ' Yes': -5.1462054, 'No': -6.8328047, '\n': -8.908893, ' ': -9.833152}
{' Yes': -0.00047517402, 'Yes': -8.173961, ' yes': -9.109963, ' The': -10.221871, ' No': -10.428078}
{' Yes': -0.016792098, ' No': -4.1403885, 'Yes': -7.90442, ' yes': -8.330157, '\n': -9.984435}
{' Yes': -0.0007582317, 'Yes': -7.4557695, ' yes': -9.506771, ' No': -9.875396, '\n': -10.511554}
{' Yes': -0.06561278, ' No': -2.76902, 'Yes': -7.89772, ' yes': -8.756548, '\n': -8.851329}
{' Yes': -0.004595667, ' No': -5.603289, 'Yes': -7.939387, ' yes': -8.045175, ' The': -9.102307}
{' Yes': -0.009363501, ' No': -4.8204556, 'Yes': -7.72274, ' yes': -7.83077, ' The': -8.087536}
{' No': -0.41704065, ' Yes': -1.0801114, 'No': -7.8504834, '\n': -7.890913, ' yes': -8.3808155}
{' Yes': -0.03196847, ' No': -3.4853451, 'Yes': -7.449725, ' yes': -8.795175, 'No': -10.459279}
{' Yes': -0.08923348, ' No': -2.4749222, 'Yes': -7.33732, ' yes': -8.303085, '\n': -9.306601}
{' No': -0.01775954, ' Yes': -4.1154385, 'No': -6.9884605, '\n': -8.914976, ' ': -9.216162}
{' Yes': -0.07402023, ' No': -2.6583326, 'Yes': -7.161649, ' yes': -8.595425, '\n': -8.996352}
{' Yes': -0.25310203, ' No': -1.5050304, ' yes': -7.2380204, 'Yes': -7.5195446, 'No': -8.811972}
{' No': -0.005327423, ' Yes': -5.56159, 'No': -6.731734, ' The': -9.077742, ' ': -9.6002865}
{' No': -0.019027552, ' Yes': -4.0351157, 'No': -7.0577006, ' ': -9.290308, ' The': -9.366736}
{' Yes': -0.0014609777, ' No': -7.107124, 'Yes': -7.577873, ' yes': -9.887531, '\n': -10.04439}
{' Yes': -0.4155273, ' No': -1.0844821, 'Yes': -7.4886622, '\n': -7.742599, 'No': -8.000589}
{' Yes': -0.25382596, ' No': -1.5009209, 'Yes': -7.6468515, 'No': -8.3294, '\n': -8.633134}
{' No': -0.0039857966, ' Yes': -5.865021, 'No': -6.870698, ' ': -9.841996, ' The': -10.91685}
{' Yes': -0.00092007476, ' No': -8.031487, 'Yes': -8.044243, ' yes': -8.385139, ' The': -11.126557}
{' Yes': -0.032015365, ' No': -3.497143, 'Yes': -7.1753235, ' yes': -8.254063, '\n': -9.617521}
{' Yes': -0.007677186, ' No': -5.0929146, 'Yes': -6.912393, ' The': -8.614379, ' yes': -9.053529}
{' Yes': -0.14969268, ' No': -1.9860172, 'Yes': -6.9640827, 'No': -8.403082, '\n': -8.561781}
{' Yes': -0.000444405, 'Yes': -8.033531, ' yes': -9.376711, ' YES': -11.682966, '\n': -11.827285}
{' No': -0.2835982, ' Yes': -1.4043812, 'No': -7.3035355, '\n': -8.489801, ' ': -8.60273}
{' Yes': -0.12547575, ' No': -2.1462314, 'Yes': -7.7980556, ' yes': -8.68131, ' The': -9.079235}
{' Yes': -0.021438267, ' No': -3.903268, 'Yes': -7.094104, ' yes': -9.318248, '\n': -10.255204}
{' No': -0.009260504, ' Yes': -4.834755, 'No': -6.8009777, ' ': -9.630577, '\n': -10.711105}
{' Yes': -0.6917378, ' No': -0.69765437, 'No': -7.411176, 'Yes': -7.7726946, '\n': -8.785206}
{' No': -0.16856985, ' Yes': -1.8712676, 'No': -7.386417, '\n': -8.231436, ' The': -9.3290615}
{' No': -0.15895241, ' Yes': -1.9248044, 'No': -7.381461, '\n': -8.944985, ' ': -9.170795}
{' Yes': -0.0007123636, 'Yes': -7.7982163, ' No': -8.6257925, ' yes': -9.40522, ' ': -10.964983}
{' Yes': -0.67585564, ' No': -0.71336365, 'No': -8.128741, ' The': -8.244338, 'Yes': -8.401795}
{' Yes': -0.00078644656, 'Yes': -7.50664, ' yes': -9.045662, ' No': -9.847433, ' The': -10.74963}
{' Yes': -0.2273892, ' No': -1.5971781, 'Yes': -7.747797, 'No': -8.574968, ' yes': -8.991055}
{' Yes': -0.0029451288, ' No': -6.006258, 'Yes': -8.082228, ' yes': -9.038364, '\n': -10.699087}
{' Yes': -0.0025401954, ' No': -6.1417956, 'Yes': -8.230578, ' yes': -9.182872, '\n': -12.202189}
{' Yes': -0.014554495, ' No': -4.3267736, 'Yes': -7.291629, '\n': -8.647552, ' yes': -8.814624}
{' Yes': -0.16931404, ' No': -1.8713403, '\n': -7.171641, 'Yes': -7.6797466, ' ': -8.463637}
{' Yes': -0.003851461, ' No': -5.956244, 'Yes': -7.2406406, '\n': -8.221533, ' yes': -8.560755}
{' Yes': -0.35788563, ' No': -1.2038538, 'Yes': -8.117674, ' yes': -8.431328, 'No': -8.802683}
{' Yes': -0.09036518, ' No': -2.4596314, 'Yes': -7.910987, '\n': -8.542815, ' yes': -8.818774}
{' No': -0.017645605, ' Yes': -4.1502137, 'No': -6.56642, '\n': -8.953817, ' ': -9.355661}
{' No': -0.13451017, ' Yes': -2.0788481, 'No': -7.9866695, '\n': -8.470268, ' The': -9.546683}
{' No': -0.6642996, ' Yes': -0.7264621, 'No': -7.459557, 'Yes': -7.9807014, '\n': -8.329932}
{' Yes': -0.13898046, ' No': -2.0525105, 'Yes': -7.478982, '\n': -8.232621, ' ': -8.648673}
{' Yes': -0.007894206, ' No': -5.064014, 'Yes': -6.8009257, '\n': -8.299674, ' yes': -9.467879}
{' Yes': -0.5695121, ' No': -0.83704835, 'No': -7.7176104, 'Yes': -7.843009, '\n': -8.84803}
{' Yes': -0.11544989, ' No': -2.2254524, 'Yes': -7.4476256, '\n': -8.971078, 'No': -9.066607}
{' Yes': -0.25452432, ' No': -1.5033666, 'Yes': -6.72183, 'No': -7.557274, '\n': -8.368315}
{' No': -0.0669987, ' Yes': -2.7559521, 'No': -6.8697667, 'Yes': -9.7642145, ' ': -9.974093}
{' No': -0.016143866, ' Yes': -4.185505, 'No': -7.3584905, ' ': -9.804716, ' The': -10.166892}
{' Yes': -0.21683785, ' No': -1.6396168, 'Yes': -7.6242414, 'No': -8.716874, ' yes': -9.481032}
{' Yes': -0.44530132, ' No': -1.0266365, 'Yes': -8.101292, ' The': -8.241486, 'No': -8.690248}
{' No': -0.007770709, ' Yes': -4.998394, 'No': -7.1056457, '\n': -9.729389, ' ': -10.295176}
{' Yes': -0.06517682, ' No': -2.7820973, 'Yes': -7.6491747, ' yes': -7.7414646, ' ': -9.233925}
{' Yes': -0.052734077, ' No': -2.9832873, 'Yes': -7.7454996, ' yes': -9.182385, '\n': -9.415523}
{' No': -0.20568544, ' Yes': -1.6893642, 'No': -7.211252, '\n': -8.752508, 'Yes': -8.966351}
{' No': -0.007235515, ' Yes': -5.149039, 'No': -6.6878777, '\n': -9.667073, ' ': -10.225626}
{' No': -0.14102216, ' Yes': -2.040381, 'No': -6.964237, '\n': -8.6688795, ' The': -8.7628975}
{' No': -0.011954515, ' Yes': -4.5424547, 'No': -6.880688, '\n': -9.465209, ' ': -9.847812}
{' Yes': -0.048048466, ' No': -3.1124806, 'Yes': -6.447115, '\n': -7.994631, ' ': -8.719234}
{' No': -0.004590096, ' Yes': -5.6565576, 'No': -7.019593, '\n': -9.459645, ' ': -9.692666}
