{' Yes': -0.00454453, 'Yes': -5.773289, ' Generally': -6.811503, ' yes': -8.638304, ' An': -10.67748}
{' No': -0.20256892, 'No': -2.6101787, ' Yes': -2.6266963, '\n': -4.228913, ' ': -4.9390492}
{' Yes': -0.5649972, ' No': -1.1168656, 'No': -3.574303, '\n': -3.8687978, ' A': -4.3326054}
{' No': -0.35900256, ' Yes': -2.433223, 'No': -2.6403193, ' Bears': -3.0920858, '\n': -3.1903222}
{' Yes': -0.9268667, ' No': -1.0463142, ' Bears': -2.122139, 'No': -3.0731661, '\n': -3.3377533}
{' No': -0.59772193, ' Yes': -1.1383407, 'No': -3.061591, '\n': -3.3892756, ' A': -3.7296607}
{' Yes': -0.14550443, ' No': -2.6470551, '\n': -3.9383721, 'Yes': -4.178242, ' A': -4.316487}
{' No': -0.59128445, ' Yes': -1.4699999, ' Bears': -2.2442746, 'No': -3.0426698, '\n': -3.9091916}
{' No': -0.8801332, ' Yes': -1.0467229, ' Bears': -1.9009213, 'No': -3.262669, '\n': -3.9184306}
{' No': -0.36331162, ' Yes': -1.3144568, 'No': -4.333114, '\n': -4.8007846, ' ': -4.9383807}
{' Yes': -0.061908975, ' No': -3.2416897, '\n': -5.236004, 'Yes': -5.283964, ' ': -5.303232}
{' No': -0.3460934, ' Yes': -1.8675892, ' Bears': -3.2287114, '\n': -3.5414457, 'No': -3.5687475}
{' Yes': -0.24692503, ' No': -1.871368, ' Bears': -3.9403205, '\n': -4.2664523, ' Generally': -4.816791}
{' No': -0.1459956, 'No': -2.5749946, ' Yes': -3.221662, '\n': -4.8686323, ' ': -5.077598}
{' No': -0.769357, ' Yes': -0.8257325, 'No': -3.2763398, '\n': -3.9182217, ' ': -4.3222995}
{' No': -0.13493218, 'No': -2.5675225, ' Yes': -3.785094, ' Bears': -4.7552915, ' ': -4.8761954}
{' No': -0.3120651, ' Yes': -2.0125902, 'No': -2.7000482, ' Bears': -3.2949197, '\n': -4.355821}
{' Yes': -0.11591013, ' No': -2.8934944, '\n': -4.4391418, ' ': -4.5783014, 'Yes': -4.661821}
{' Yes': -0.06391989, ' No': -4.024018, '\n': -4.7785277, 'Yes': -4.913235, ' ': -5.041863}
{' Yes': -0.20026684, ' No': -2.0700235, ' Bears': -4.43871, 'Yes': -4.7601404, ' ': -4.78617}
{' Yes': -0.054004103, 'Yes': -4.345718, ' No': -4.4878955, ' yes': -4.756095, ' Bears': -4.8156295}
{' Yes': -0.0152832195, ' Generally': -4.5872493, 'Yes': -5.803707, ' No': -7.111861, ' A': -8.349483}
{' Yes': -0.003551969, 'Yes': -5.8207684, ' Generally': -7.863114, ' yes': -9.239716, ' ': -10.531813}
{' Yes': -0.08318663, ' Generally': -2.7740338, ' Bears': -5.0960174, 'Yes': -5.5861235, ' On': -5.9619937}
{' Yes': -0.018742919, ' Generally': -4.5590506, 'Yes': -5.3412733, ' Bears': -6.200686, ' In': -7.9712667}
{' Yes': -0.116220534, ' Generally': -2.817953, ' No': -3.6805534, 'Yes': -4.292074, ' A': -6.036178}
{' Yes': -0.017269788, 'Yes': -4.438189, ' Generally': -5.470097, ' yes': -8.020072, ' A': -8.415839}
{' Yes': -0.2494, ' Generally': -2.017577, ' Bears': -3.1579807, 'Yes': -4.131966, ' In': -4.8461347}
{' Yes': -0.052343395, ' Generally': -3.9977396, 'Yes': -4.000147, ' Bears': -4.744522, ' No': -6.760837}
{' Yes': -0.028917924, 'Yes': -4.1426296, ' No': -5.593624, ' Generally': -5.6297994, '\n': -6.4168625}
{' Yes': -0.018432565, 'Yes': -4.1312804, '\n': -7.5484314, ' yes': -7.732055, ' ': -7.745922}
{' Yes': -0.2702009, ' Bears': -2.3059254, ' Generally': -2.9977167, ' No': -3.4006634, 'Yes': -3.8206825}
{' Yes': -0.061635643, 'Yes': -3.4485297, ' Bears': -3.9496455, ' Generally': -5.948231, ' ': -6.372045}
{' Yes': -0.09118924, ' Generally': -3.0648906, ' Bears': -3.9719224, ' No': -4.580189, 'Yes': -5.248757}
{' Yes': -0.006113626, 'Yes': -5.699932, ' Generally': -6.1038685, ' yes': -8.488844, ' A': -8.954208}
{' Yes': -0.18346398, ' Bears': -2.4090614, ' Generally': -2.8537443, 'Yes': -5.1219635, ' On': -5.175569}
{' Yes': -0.0273933, ' Bears': -4.514526, 'Yes': -4.899547, ' Generally': -4.9198623, ' In': -7.8951435}
{' Yes': -0.06738832, ' Generally': -4.0002513, 'Yes': -4.013435, ' No': -4.180959, ' Bears': -5.77012}
{' Yes': -0.02791255, 'Yes': -3.8000298, ' Generally': -6.1861916, '\n': -6.856806, ' ': -6.9590974}
{' Yes': -0.3792408, ' Bears': -2.1970034, ' No': -2.7537146, ' Generally': -2.9139771, 'Yes': -3.607107}
{' Yes': -0.07706651, 'Yes': -3.1156824, ' Bears': -4.2733364, ' Generally': -5.3462515, ' ': -5.877783}
{' Yes': -0.030722097, ' Generally': -4.278929, 'Yes': -4.5805473, ' Bears': -6.365239, ' A': -6.8355203}
{' Yes': -0.020689951, 'Yes': -4.2403893, ' Generally': -5.6031194, ' yes': -7.25724, ' ': -7.7389836}
{' Yes': -0.10914178, ' Bears': -3.0775788, ' Generally': -3.7637665, 'Yes': -3.816669, ' yes': -6.276391}
{' Yes': -0.040227648, 'Yes': -3.5828035, ' Bears': -5.3640723, ' Generally': -5.7663207, ' yes': -6.437818}
{' Yes': -0.010760075, ' No': -5.3893285, 'Yes': -5.707222, ' ': -6.880455, ' yes': -7.3924413}
{' Yes': -0.0026456714, 'Yes': -6.1787376, ' yes': -8.295891, ' ': -8.762104, '\n': -9.421274}
{' Yes': -0.010389368, 'Yes': -5.6588664, ' No': -6.0250807, ' Generally': -6.169145, ' yes': -7.349754}
{' Yes': -0.0063420185, 'Yes': -5.6714096, ' Generally': -6.995167, ' yes': -7.5611086, ' ': -7.5992255}
{' Yes': -0.6306291, ' No': -1.1301522, ' A': -3.090075, 'No': -3.4156897, ' Generally': -3.9965768}
{' Yes': -0.023597095, 'Yes': -4.147924, ' A': -6.1783957, '\n': -6.293472, ' ': -6.5827074}
{' Yes': -0.23256604, ' Bears': -2.4026136, ' No': -2.9073057, ' Generally': -3.4831765, 'Yes': -4.286031}
{' Yes': -0.028970629, 'Yes': -4.1082954, ' Bears': -5.220924, ' Generally': -6.4655037, ' ': -6.510244}
{' Yes': -0.41471145, '\n': -2.0782838, ' No': -2.4597094, ' A': -3.0983565, 'Yes': -3.2264025}
{' Yes': -0.070097506, 'Yes': -3.2582705, '\n': -3.8964694, ' ': -5.42022, ' A': -6.0307484}
{' Yes': -0.588501, '\n': -1.564867, ' Bears': -2.542629, ' No': -2.873598, ' ': -3.3582478}
{' Yes': -0.21870202, '\n': -2.3558042, 'Yes': -2.936233, ' Bears': -3.778406, ' ': -4.042442}
{' No': -0.07638355, ' Yes': -2.9893682, 'No': -4.259018, ' A': -5.215393, ' ': -5.966675}
{' Yes': -0.0040941797, 'Yes': -5.7333817, ' yes': -8.074732, ' ': -8.100681, ' A': -8.988294}
{' Yes': -0.5224806, ' Bears': -1.5743815, ' No': -1.7809952, ' Generally': -4.0487027, 'No': -5.323452}
{' Yes': -0.0073301387, 'Yes': -5.3505764, ' Bears': -6.6240764, ' yes': -7.830934, ' ': -7.992454}
{' No': -0.63286924, 'No': -1.5147642, ' Yes': -2.0822845, '\n': -3.2820067, ' A': -3.2880206}
{' Yes': -0.13813788, 'Yes': -2.2428951, '\n': -4.799077, ' ': -5.0726786, ' yes': -5.5832887}
{' No': -0.8347549, 'No': -1.5566349, ' Bears': -1.7060432, ' Yes': -2.3682652, '\n': -3.4116092}
{' Yes': -0.17425856, 'Yes': -2.1312175, ' Bears': -4.1275897, '\n': -4.89744, ' ': -5.175602}
{' Yes': -0.04296483, 'Yes': -4.119562, ' A': -4.737608, ' yes': -4.982817, ' ': -5.679495}
{' Yes': -0.024563925, 'Yes': -4.2134523, ' yes': -5.3504496, ' A': -6.474477, ' ': -6.567689}
{' Yes': -0.05640886, 'Yes': -3.9001935, ' Bears': -4.2916403, ' yes': -4.6750975, ' Generally': -5.660026}
{' Yes': -0.03777394, 'Yes': -4.0360174, ' yes': -4.861991, ' Bears': -5.332388, ' ': -6.1411686}
{' Yes': -0.14994249, ' No': -3.2948453, 'Yes': -3.3619673, ' A': -3.8863165, ' Generally': -4.113288}
{' Yes': -0.05130828, 'Yes': -3.3261669, ' yes': -4.806905, ' Generally': -6.0336967, ' A': -6.575282}
{' Yes': -0.19747314, ' Bears': -2.6658645, 'Yes': -3.206962, ' Generally': -3.7141213, ' yes': -3.8978698}
{' Yes': -0.0956374, 'Yes': -2.9883435, ' Bears': -4.1570234, ' yes': -4.2758617, ' Generally': -5.3749547}
{' Yes': -0.106403686, 'Yes': -3.0520728, ' No': -3.331629, 'No': -4.893711, ' yes': -5.30982}
{' Yes': -0.037545618, 'Yes': -3.4102032, ' yes': -5.77678, 'yes': -8.429284, ' ': -8.513522}
{' Yes': -0.18016297, ' Generally': -2.9662347, 'Yes': -3.076073, ' No': -3.3975737, ' Bears': -4.234818}
{' Yes': -0.08566001, 'Yes': -2.9502037, ' Generally': -4.5964513, ' No': -4.659283, ' Bears': -5.418555}
{' Yes': -0.10010275, 'Yes': -2.897401, ' No': -3.570266, 'No': -5.107028, ' yes': -6.308555}
{' Yes': -0.051140197, 'Yes': -3.0490458, ' yes': -6.9087944, ' ': -7.364713, '\n': -8.243782}
{' Yes': -0.1543162, 'Yes': -2.9063075, ' No': -3.4051285, ' Bears': -3.9741843, ' Generally': -4.0833626}
{' Yes': -0.10967461, 'Yes': -2.4538634, ' Bears': -5.3188744, ' No': -5.408842, ' Generally': -5.8846755}
{' Yes': -0.29015675, ' No': -1.495969, 'Yes': -4.6963725, 'No': -4.987037, ' A': -5.431342}
{' Yes': -0.010237126, 'Yes': -4.7427773, ' yes': -7.369854, ' Generally': -8.151831, ' A': -8.798206}
{' Yes': -0.14512932, ' Bears': -3.0686693, ' No': -3.2219896, 'Yes': -3.8590612, ' Generally': -3.9992154}
{' Yes': -0.024348864, 'Yes': -4.0535464, ' Bears': -5.9303813, ' Generally': -6.1335483, ' yes': -7.221376}
{'No': -1.0216995, ' No': -1.1639458, ' Bears': -1.5086056, ' Yes': -3.0024831, 'Yes': -4.2226424}
{' Yes': -0.18834715, 'Yes': -1.852051, ' Generally': -5.2899, '\n': -6.0798435, ' A': -6.263134}
{' Yes': -0.8825877, ' Bears': -1.0573485, 'Yes': -2.8343067, ' No': -2.8885725, ' Generally': -2.9633772}
{' Yes': -0.46410975, ' Bears': -1.7866689, 'Yes': -1.8663448, ' Generally': -4.0632977, 'No': -4.739874}
{' Yes': -0.05900671, 'Yes': -3.3862295, ' yes': -5.027938, ' Bear': -5.067252, ' Bears': -5.6819305}
{' Yes': -0.044361375, 'Yes': -3.497387, ' yes': -4.9897156, ' A': -5.890577, ' ': -6.8457394}
{' Yes': -0.076129384, 'Yes': -3.0972931, ' Bears': -4.1124487, ' Generally': -5.415332, ' yes': -5.556687}
{' Yes': -0.069213204, 'Yes': -2.8506272, ' yes': -5.5970984, ' Bears': -6.023532, ' Generally': -7.030365}
{' Yes': -0.050734468, ' No': -3.7617369, ' yes': -4.336217, ' ': -5.3017125, 'Yes': -5.304097}
{' Yes': -0.018459583, ' yes': -4.571533, 'Yes': -5.0294247, ' ': -7.251236, '\n': -8.17649}
{' Yes': -0.035204757, ' yes': -4.206881, ' No': -4.4337583, 'Yes': -5.4735703, ' ': -6.558563}
{' Yes': -0.016315548, 'Yes': -4.894144, ' yes': -4.980354, ' Bears': -7.1021233, ' ': -7.5871563}
{' Yes': -0.13601498, ' No': -3.1018636, 'Yes': -3.28965, ' A': -4.430168, '\n': -4.755823}
{' Yes': -0.04704897, 'Yes': -3.353079, ' yes': -5.1249223, '\n': -6.082697, ' ': -6.722334}
{' Yes': -0.1578722, ' No': -3.4121559, 'Yes': -3.4952476, ' Generally': -3.558652, ' Bears': -4.3182306}
{' Yes': -0.051700942, 'Yes': -3.2766266, ' yes': -5.0671597, '\n': -5.8762984, ' ': -6.510225}
{' Yes': -0.25706464, '\n': -2.3910923, 'Yes': -2.5979402, ' A': -3.8298738, ' No': -4.3564086}
{' Yes': -0.111102805, 'Yes': -2.6076922, '\n': -3.8705554, ' yes': -5.2638164, ' ': -5.811155}
{' Yes': -0.29381964, '\n': -2.289944, 'Yes': -2.704752, ' Bears': -3.1440067, ' ': -4.2822113}
{' Yes': -0.17425652, 'Yes': -2.4965622, '\n': -2.9856198, ' Bears': -4.673978, ' yes': -4.7034464}
{' Yes': -0.41954476, ' No': -1.1763635, 'No': -4.6595807, 'Yes': -4.6809697, ' A': -5.355004}
{' Yes': -0.013625615, 'Yes': -4.4525676, ' yes': -6.5866423, ' ': -8.712558, '\n': -8.793189}
{' Yes': -0.058987994, ' No': -4.001491, 'Yes': -4.105312, ' Bears': -4.4381557, ' yes': -5.726712}
{' Yes': -0.018695973, 'Yes': -4.2384605, ' yes': -6.3806148, ' Bears': -6.6602764, '\n': -8.081427}
{' No': -0.4581993, 'No': -1.2594554, '\n': -2.942763, ' Yes': -4.5980573, ' ': -4.6273885}
{' Yes': -0.21908556, 'Yes': -1.8413045, '\n': -3.7562327, ' yes': -4.785619, ' ': -5.6510043}
{' No': -0.45402542, 'No': -1.1429902, '\n': -3.662554, ' ': -4.856653, ' Yes': -5.798132}
{' Yes': -0.18651982, 'Yes': -1.9774058, ' yes': -4.4008408, '\n': -4.641266, 'yes': -5.8456187}
{' Yes': -0.11901798, ' yes': -2.727876, 'Yes': -3.5393271, '\n': -4.8920093, ' ': -5.6629386}
{' Yes': -0.08292891, ' yes': -3.051093, 'Yes': -3.7142098, '\n': -5.608204, 'yes': -6.510555}
{' Yes': -0.1357967, ' yes': -2.671054, 'Yes': -3.4301846, '\n': -4.737049, ' Bears': -5.447727}
{' Yes': -0.11928737, ' yes': -2.7859876, 'Yes': -3.447975, '\n': -4.6780777, 'yes': -5.7934403}
{' Yes': -0.025605135, ' No': -4.712077, '\n': -5.099358, 'Yes': -5.311742, ' ': -5.928381}
{' Yes': -0.007016884, 'Yes': -5.3162665, '\n': -7.0586505, ' yes': -7.4875436, ' ': -7.7991214}
{' Yes': -0.03618939, '\n': -4.610921, ' Generally': -4.981, ' No': -5.1034307, 'Yes': -5.4010363}
{' Yes': -0.017959898, 'Yes': -5.167412, '\n': -5.2186832, ' ': -6.111555, ' Bears': -6.3020005}
{' No': -0.47302717, ' Yes': -1.4789284, 'No': -2.7668219, '\n': -3.3630495, ' A': -3.871121}
{' Yes': -0.038478605, 'Yes': -3.7529905, '\n': -4.870765, ' ': -5.859714, ' A': -6.4696364}
{' Yes': -0.6947064, ' No': -1.6272264, ' Bears': -2.203318, '\n': -2.3847032, ' Generally': -3.38435}
{' Yes': -0.088463694, 'Yes': -3.5384586, ' Bears': -3.634383, '\n': -4.20311, ' ': -5.2482343}
{' Yes': -0.23319261, ' No': -2.576151, '\n': -2.9812279, ' A': -3.4152453, 'Yes': -3.789366}
{' Yes': -0.043051697, 'Yes': -3.787364, '\n': -4.5566435, ' A': -5.545338, ' ': -5.6485066}
{' Yes': -0.20735115, ' Bears': -2.580976, ' No': -3.3762984, '\n': -3.4777062, 'Yes': -3.9443123}
{' Yes': -0.09889848, ' Bears': -3.2305837, 'Yes': -3.7704587, '\n': -3.9115376, ' ': -5.1785626}
{' No': -0.07986024, ' Yes': -3.4078763, 'No': -4.0561748, '\n': -4.6238437, ' ': -4.7546744}
{' Yes': -0.013862619, 'Yes': -5.057493, '\n': -5.7933893, ' ': -6.082735, ' A': -6.8701324}
{' Yes': -1.1010978, ' No': -1.2309138, ' Bears': -1.4014136, '\n': -2.8785732, ' Generally': -3.589129}
{' Yes': -0.036529418, '\n': -4.6627555, ' Bears': -4.6931586, 'Yes': -4.7126136, ' ': -5.3572135}
{' No': -0.27617267, ' Yes': -2.0416183, 'No': -2.823162, '\n': -3.848894, ' ': -4.3548317}
{' Yes': -0.047190107, 'Yes': -3.422045, '\n': -5.159012, ' ': -5.471997, ' A': -6.2855077}
{' Yes': -0.8513606, ' No': -0.8733199, ' Bears': -2.8789942, 'No': -3.1693861, '\n': -3.9933834}
{' Yes': -0.26217866, ' Bears': -2.219862, ' No': -2.9227238, 'Yes': -3.4171236, '\n': -4.1499844}
{' Yes': -0.059809458, 'Yes': -4.144917, '\n': -4.543443, ' ': -4.8013844, ' yes': -4.8817887}
{' Yes': -0.031139273, 'Yes': -4.377748, ' yes': -4.924085, '\n': -5.223091, ' ': -5.7598844}
{' Yes': -0.04446232, 'Yes': -4.031189, ' yes': -4.9855347, ' Bears': -5.2527113, '\n': -5.3078823}
{' Yes': -0.036686953, 'Yes': -4.1411085, ' yes': -4.998273, ' Bears': -5.4195585, '\n': -5.420182}
{' Yes': -0.015275229, ' No': -4.4432116, 'Yes': -5.979055, ' Absolutely': -8.060079, ' Definitely': -8.656978}
{' Yes': -0.04182999, ' No': -3.3377302, 'Yes': -5.4789042, 'No': -7.7478027, ' A': -7.8817477}
{' Yes': -0.07408011, ' No': -2.71975, 'Yes': -5.600838, 'No': -7.314348, ' Generally': -8.165035}
{' Yes': -0.0720462, ' No': -2.7808855, 'Yes': -5.324356, 'No': -6.9652495, ' R': -7.8422885}
{' Yes': -0.012827027, 'Yes': -4.6273937, ' No': -6.3341517, ' yes': -7.9103355, ' ': -7.960821}
{' Yes': -0.052852586, ' No': -3.2821274, 'Yes': -4.580837, 'No': -6.5921645, ' A': -6.8712764}
{' Yes': -0.011885752, 'Yes': -4.558949, ' No': -7.3637204, ' yes': -8.229768, ' ': -8.259197}
{' Yes': -0.017570017, 'Yes': -4.3556285, ' No': -5.702615, ' yes': -7.964324, ' ': -8.045316}
{' Yes': -0.05994564, ' No': -3.2841601, 'Yes': -4.260366, '\n': -6.047004, ' ': -6.379596}
{' Yes': -0.17535822, ' No': -2.1470397, 'Yes': -3.9905455, '\n': -4.431172, 'No': -4.973486}
{' Yes': -0.020420175, 'Yes': -4.190531, ' No': -5.8199043, ' ': -7.232849, '\n': -7.289671}
{' Yes': -0.025162566, 'Yes': -4.0358987, ' No': -5.624043, ' ': -6.5872197, '\n': -6.991484}
{' Yes': -0.014992635, ' No': -4.4637365, 'Yes': -5.979733, ' A': -8.259334, ' Absolutely': -8.620017}
{' Yes': -0.023210017, ' No': -4.1015844, 'Yes': -5.3367515, ' A': -7.0361795, 'No': -8.301213}
{' Yes': -0.034168426, ' No': -3.5546398, 'Yes': -5.494156, 'No': -7.7479897, ' yes': -8.463409}
{' Yes': -0.00991754, 'Yes': -4.9938097, ' No': -6.015632, ' yes': -8.011964, ' ': -9.369098}
{' No': -0.15877113, 'No': -2.5121322, ' Yes': -3.027305, '\n': -4.857698, ' ': -5.5086455}
{' No': -0.12629056, 'No': -2.2555783, '\n': -4.988372, ' Yes': -5.8061285, ' ': -6.192888}
{' Yes': -0.20912705, ' No': -2.0482402, 'Yes': -3.4018798, 'No': -4.210859, ' ': -5.6218386}
{' No': -0.78717196, ' Yes': -0.8893334, 'No': -2.695558, 'Yes': -3.7381718, '\n': -4.1034894}
{' Yes': -0.023490977, ' No': -4.3093224, 'Yes': -4.9664726, ' ': -7.378332, ' yes': -7.6797585}
{' No': -0.6474332, ' Yes': -0.84339404, 'No': -3.6145425, 'Yes': -4.9594884, ' A': -5.3857656}
{' Yes': -0.04575918, 'Yes': -3.8680875, ' No': -3.9626825, 'No': -6.491595, ' yes': -6.9571834}
{' Yes': -0.11846498, ' No': -2.6167598, 'Yes': -3.6977096, 'No': -5.014261, ' ': -6.2740192}
{' Yes': -0.004622852, 'Yes': -6.098237, ' yes': -7.122747, ' ': -7.344856, ' No': -8.032735}
{' Yes': -0.022828147, ' No': -4.133635, 'Yes': -6.0033154, ' ': -6.463822, '\n': -6.7360826}
{' Yes': -0.005018744, 'Yes': -5.9635854, ' No': -6.756621, ' yes': -7.665415, ' ': -7.820008}
{' Yes': -0.019370602, ' No': -4.3029056, 'Yes': -5.8843374, ' ': -6.979434, '\n': -7.047508}
{' No': -0.19750509, ' Yes': -2.0392141, 'No': -3.649751, '\n': -4.6043, ' ': -5.019992}
{' No': -0.04796752, 'No': -3.311992, '\n': -5.2850986, ' ': -5.9574127, ' A': -6.3517303}
{' Yes': -0.104445465, ' No': -2.5727816, 'Yes': -4.394511, ' ': -5.6205053, '\n': -6.0018277}
{' Yes': -0.20020567, ' No': -1.9146296, 'Yes': -4.4918485, ' ': -5.0361085, '\n': -5.3723283}
{' No': -0.27694374, '\n': -2.192656, ' Yes': -2.7501757, 'No': -3.241995, ' ': -4.0148263}
{' No': -0.16891235, '\n': -2.5854638, 'No': -2.7674994, ' ': -4.513734, ' A': -5.404826}
{' No': -1.0502309, ' Yes': -1.0644617, '\n': -1.4464787, ' ': -3.5645607, 'No': -3.7947206}
{' No': -0.2838763, '\n': -1.8441617, 'No': -2.8963468, ' ': -4.1354747, ' Yes': -4.321722}
{' No': -0.22271736, ' Yes': -1.6588001, 'No': -5.3042946, ' ': -6.033867, 'Yes': -7.1779704}
{' No': -0.064789966, ' Yes': -2.905469, 'No': -5.4108076, ' ': -6.1913075, ' A': -7.104947}
{' Yes': -0.588741, ' No': -0.82006425, 'No': -6.5022926, 'Yes': -6.513214, ' ': -6.79603}
{' Yes': -0.50230527, ' No': -0.9505817, 'No': -5.884295, ' ': -6.1280603, 'Yes': -6.128719}
{' No': -0.20976754, 'No': -1.883258, '\n': -3.8546476, ' ': -4.633212, ' NO': -6.166504}
{' No': -0.2156113, 'No': -1.7838734, '\n': -4.19983, ' ': -4.8816, ' A': -6.2251067}
{' No': -0.31911492, 'No': -2.0289214, ' Yes': -2.7584727, '\n': -3.1500456, ' ': -4.090719}
{' No': -0.24247093, 'No': -1.7682468, '\n': -3.7072687, ' ': -4.3606386, ' Yes': -6.5711}
{' Yes': -0.062165763, ' No': -3.442857, 'Yes': -4.7064533, ' yes': -5.051834, ' ': -5.1184206}
{' Yes': -0.13061012, ' No': -2.475142, 'Yes': -4.5976434, ' ': -4.8888087, ' yes': -4.9755063}
{' Yes': -0.044980973, 'Yes': -4.089361, ' No': -4.5729103, ' yes': -4.861842, ' ': -5.700341}
{' Yes': -0.048632324, 'Yes': -3.9585137, ' yes': -4.0987477, ' ': -5.5049577, '\n': -6.1016383}
{' Yes': -0.14167719, ' No': -2.5301392, 'Yes': -3.467887, 'No': -4.844017, ' yes': -5.1396704}
{' No': -0.2029719, 'No': -2.3885052, ' Yes': -2.5591404, ' A': -5.1826067, 'Yes': -5.701003}
{' Yes': -0.102962114, 'Yes': -2.8113112, ' yes': -3.9631076, ' No': -4.841023, ' YES': -5.610326}
{' Yes': -0.1389145, 'Yes': -2.9933763, ' No': -3.4137843, ' yes': -3.4598162, 'No': -5.369543}
{' Yes': -0.11978614, ' No': -2.772984, 'Yes': -3.3473308, 'No': -4.982457, ' yes': -5.1969495}
{' Yes': -0.7253747, ' No': -0.80486345, 'No': -3.0644841, 'Yes': -4.0349317, ' yes': -6.1925564}
{' Yes': -0.09043922, 'Yes': -3.217108, ' No': -3.2388191, 'No': -5.1478543, ' yes': -7.486183}
{' Yes': -0.16886018, ' No': -2.3204334, 'Yes': -3.2324567, 'No': -4.1765604, ' yes': -7.157603}
{' Yes': -0.11015921, ' No': -3.0473979, 'Yes': -3.127699, 'No': -5.1163507, ' yes': -5.784102}
{' Yes': -0.66165566, ' No': -0.9511836, 'No': -2.7827492, 'Yes': -3.5498865, ' ': -5.8500767}
{' Yes': -0.07006893, 'Yes': -2.8741498, ' No': -5.038651, 'No': -6.5813174, ' yes': -6.9725013}
{' Yes': -0.09771248, 'Yes': -2.872504, ' No': -3.6099956, 'No': -5.2500143, ' ': -6.6738486}
{' Yes': -0.25362077, ' No': -1.5480143, 'Yes': -5.1785975, 'No': -5.775671, ' yes': -6.885838}
{' Yes': -0.6798974, ' No': -0.7429276, 'No': -4.594845, 'Yes': -5.2501373, ' ': -6.805662}
{' Yes': -0.016198628, 'Yes': -4.5620875, ' No': -5.4352813, ' yes': -7.3244586, ' ': -8.54368}
{' Yes': -0.01894846, 'Yes': -4.216124, ' No': -5.977671, ' yes': -7.1800785, ' ': -8.023422}
{' No': -0.44539115, 'No': -1.060013, '\n': -5.776932, ' A': -6.1178856, ' Yes': -6.2217226}
{' No': -0.43319348, 'No': -1.0581743, ' ': -6.8513927, '\n': -7.054737, ' A': -7.327506}
{' Yes': -0.35525578, 'Yes': -1.9133402, ' No': -2.579764, 'No': -2.8943336, ' Rats': -4.738746}
{' No': -0.6856569, 'No': -0.8520788, ' Yes': -3.640548, ' Rats': -4.579871, 'Yes': -4.745127}
{' No': -0.17010604, 'No': -2.6097212, ' Yes': -2.6683683, ' ': -6.031532, ' Rat': -6.1252112}
{' No': -0.29107937, 'No': -1.9860502, ' Yes': -2.6949756, ' Rat': -3.873692, '\n': -4.9929147}
{' Yes': -0.051296357, 'Yes': -3.2236614, ' No': -5.3828125, ' yes': -5.9016585, 'No': -7.077992}
{' Yes': -0.13669059, ' No': -2.79678, 'Yes': -3.1053965, 'No': -4.5552087, ' yes': -5.6463346}
{' Yes': -0.04407623, ' yes': -3.531951, 'Yes': -5.2788143, ' ': -5.6611357, ' No': -5.8129454}
{' Yes': -0.061042316, ' yes': -3.2020752, 'Yes': -5.2092867, ' No': -5.2126064, ' ': -5.3145165}
{' Yes': -0.02575533, ' yes': -4.09487, 'Yes': -5.27784, ' ': -6.500467, ' YES': -6.9299197}
{' Yes': -0.048089184, ' yes': -3.391021, 'Yes': -4.9999, ' ': -5.9495883, ' No': -6.1201763}
{' Yes': -0.14568086, ' No': -2.4595962, 'Yes': -3.923053, ' yes': -4.822498, ' ': -4.953112}
{' No': -0.54761803, ' Yes': -1.1017619, 'No': -3.3342447, '\n': -4.1601295, ' ': -4.3333445}
{' Yes': -0.04813653, 'Yes': -3.5441766, ' yes': -4.5332246, '\n': -5.903727, ' ': -6.072401}
{' Yes': -0.053689275, 'Yes': -3.5663729, ' yes': -4.3021536, '\n': -5.329425, ' ': -5.708571}
{' Yes': -0.46578896, ' No': -1.7788858, '\n': -2.0710156, 'Yes': -3.5775356, ' ': -3.8357182}
{' No': -0.4566248, '\n': -1.762491, 'No': -2.3970602, ' Yes': -2.8348098, ' ': -3.6461484}
{' Yes': -0.18360741, '\n': -2.5974407, 'Yes': -2.9769955, ' No': -4.1717873, ' yes': -4.528925}
{' Yes': -0.39407638, '\n': -2.0844622, ' No': -2.5699625, 'Yes': -2.912631, ' yes': -3.7180371}
{' Yes': -0.02630714, ' No': -4.3269415, 'Yes': -5.019202, ' yes': -5.7804475, ' ': -6.522595}
{' Yes': -0.27879688, ' No': -1.5153978, 'Yes': -4.9227805, ' ': -5.3982577, 'No': -5.41719}
{' Yes': -0.0123872375, 'Yes': -4.874812, ' yes': -6.215766, ' No': -6.3485208, ' ': -7.639472}
{' Yes': -0.02202383, 'Yes': -4.325126, ' yes': -5.666982, ' No': -5.786583, ' ': -7.082599}
{' No': -0.2620465, 'No': -1.9277132, '\n': -3.052242, ' Yes': -4.259949, ' ': -4.465211}
{' No': -0.26900035, 'No': -1.6850904, '\n': -3.3091462, ' ': -4.767564, ' no': -5.765773}
{' No': -0.6012394, ' Yes': -1.751239, 'No': -2.0595696, '\n': -2.446235, 'Yes': -3.5411923}
{' No': -0.3499605, 'No': -1.7074375, '\n': -2.9086714, ' Yes': -3.75549, ' ': -4.054405}
{' Yes': -0.15076743, ' yes': -2.2650023, 'Yes': -4.4298105, '\n': -4.7560854, ' No': -5.1698074}
{' Yes': -0.17960677, ' yes': -2.3197892, ' No': -3.5970068, 'Yes': -4.373924, '\n': -4.471288}
