{' No': -0.016526647, ' Yes': -4.539882, 'No': -5.366693, ' Not': -7.1851287, ' Unfortunately': -9.273784}
{' Yes': -0.21543495, ' No': -1.6660593, 'Yes': -5.673591, 'No': -6.679267, ' Not': -10.435588}
{' No': -0.2734249, ' Yes': -1.4639785, 'No': -5.123509, 'Yes': -6.760365, ' The': -7.98395}
{' No': -0.35221916, ' Yes': -1.2395884, 'No': -5.279799, 'Yes': -6.4073925, ' Not': -8.257877}
{' Yes': -0.53853714, ' No': -0.88656527, 'No': -6.311072, 'Yes': -6.3217516, ' The': -7.5483913}
{' No': -0.45635673, ' Yes': -1.0238922, 'No': -5.718312, 'Yes': -6.284882, ' Unfortunately': -6.6753488}
{' No': -0.06832157, ' Yes': -2.8783457, 'No': -5.019924, ' Unfortunately': -6.260033, ' The': -7.8412514}
{' No': -0.025087329, 'No': -3.7070942, ' Yes': -8.502597, ' ': -11.25181, 'Yes': -12.133395}
{' No': -0.015663732, 'No': -4.6076016, ' Yes': -5.344336, ' Unfortunately': -7.6580644, ' The': -9.019592}
{' Yes': -0.0233989, ' No': -3.9547818, 'Yes': -5.653053, ' The': -8.332673, 'No': -9.1485815}
{' No': -0.6637818, ' Yes': -0.7283685, 'No': -6.839793, 'Yes': -7.2579, ' The': -8.393731}
{' No': -0.07583851, ' Yes': -2.6815798, 'No': -5.53229, ' The': -8.3404045, 'Yes': -8.608362}
{' Yes': -0.031446088, ' No': -3.518701, 'Yes': -6.797943, 'No': -9.66743, ' The': -9.694419}
{' Yes': -0.47497827, ' No': -0.9925297, 'No': -5.6554527, 'Yes': -5.697591, ' The': -7.8802094}
{' No': -0.31459263, ' Yes': -1.3267118, 'No': -5.8948097, 'Yes': -7.0270934, ' The': -7.761486}
{' Yes': -0.5009701, ' No': -0.97367215, 'No': -4.9053946, 'Yes': -5.100381, ' Unfortunately': -6.3856916}
{' Yes': -0.46504024, ' No': -1.0082417, 'No': -5.6782336, 'Yes': -5.7714, ' The': -8.4161}
{' No': -0.046730142, ' Yes': -3.220005, 'No': -5.231365, 'Yes': -8.877529, ' The': -9.272213}
{' No': -0.13729616, ' Yes': -2.1351638, 'No': -4.9240828, ' The': -6.7697024, 'Yes': -7.55195}
{' No': -0.019288989, 'No': -4.674419, ' Yes': -4.703171, ' Not': -7.6929197, ' Unfortunately': -8.954959}
{' No': -0.3372158, ' Yes': -1.2853721, 'No': -4.9099317, 'Yes': -6.2949595, ' Not': -7.817226}
{' Yes': -0.21013288, ' No': -1.6819252, 'Yes': -5.999287, 'No': -7.2981963, ' The': -8.973246}
{' Yes': -0.044204246, ' No': -3.2109427, 'Yes': -6.009738, ' The': -8.568362, 'No': -8.667851}
{' No': -0.5847363, ' Yes': -0.8402637, 'No': -5.1446347, 'Yes': -5.4221554, ' The': -7.7469482}
{' No': -0.048612986, 'No': -3.0516398, ' Not': -9.630018, ' ': -10.23572, ' Nope': -10.466534}
{' Yes': -0.34442165, ' No': -1.2614368, 'Yes': -5.570507, 'No': -6.000194, ' The': -6.731979}
{' No': -0.28625324, ' Yes': -1.4437163, 'No': -4.6148815, 'Yes': -6.0265465, ' The': -7.961845}
{' Yes': -0.46523604, ' No': -1.0008863, 'Yes': -6.3507414, 'No': -6.454432, ' Not': -7.7544312}
{' No': -0.09869813, ' Yes': -2.4284482, 'No': -5.4087205, ' Not': -7.70236, 'Yes': -8.0738945}
{' No': -0.018398747, 'No': -4.581114, ' Yes': -4.8603063, ' Not': -9.676943, 'Yes': -9.720627}
{' No': -0.023627246, ' Yes': -3.9889073, 'No': -5.435792, ' Not': -8.695919, ' Unfortunately': -9.159589}
{' No': -0.022548346, 'No': -4.224689, ' Still': -5.3446326, ' Yes': -6.107734, ' Not': -7.7761106}
{' No': -0.082016826, ' Yes': -2.6133316, 'No': -5.4453073, ' The': -8.126605, ' Unfortunately': -8.425748}
{' Yes': -0.44490358, ' No': -1.048341, 'No': -5.4275866, 'Yes': -5.5196486, ' Unfortunately': -9.563334}
{' Yes': -0.08856502, ' No': -2.5379972, 'Yes': -5.337674, 'No': -7.0633154, ' ': -10.756354}
{' Yes': -0.015980452, ' No': -4.647631, 'Yes': -5.1383767, ' Purs': -8.822521, ' The': -9.343388}
{' Yes': -0.4283985, ' No': -1.0651343, 'Yes': -6.3061576, 'No': -6.717504, ' The': -7.970543}
{' No': -0.016034778, ' Yes': -4.7173743, 'No': -5.000747, ' Unfortunately': -9.249168, ' Not': -9.950204}
{' No': -0.037393577, ' Yes': -3.5246754, 'No': -5.0268135, ' Not': -8.197365, 'Yes': -8.982019}
{' No': -0.10612077, ' Yes': -2.381454, 'No': -5.022428, 'Yes': -7.620639, ' The': -7.6397886}
{' No': -0.37124494, ' Yes': -1.1889348, 'No': -5.636265, 'Yes': -6.588145, ' The': -7.7250676}
{' No': -0.012721196, 'No': -5.0100026, ' Yes': -5.1798716, ' The': -9.244929, ' ': -9.256326}
{' No': -0.010955121, 'No': -4.9425497, ' Yes': -5.67936, ' Unfortunately': -8.900756, ' The': -9.20062}
{' No': -0.52755433, 'No': -0.99483764, ' Un': -3.8180585, ' False': -5.0948014, 'Un': -5.5253644}
{' No': -0.36980498, ' Yes': -1.1873804, 'No': -5.9435883, 'Yes': -6.814333, ' The': -8.774292}
{' No': -0.43536428, ' Yes': -1.0662446, 'No': -5.046448, 'Yes': -6.358521, ' The': -8.413205}
{' Yes': -0.33015576, ' No': -1.2844595, 'Yes': -6.2847686, 'No': -6.7259912, ' The': -6.862809}
{' No': -0.004892415, 'No': -5.628372, ' Yes': -6.77936, ' Not': -9.465635, ' ': -10.471092}
{' No': -0.11952943, ' Yes': -2.3063693, 'No': -4.5065703, 'Yes': -6.8844137, ' Not': -7.3273077}
{' Yes': -0.0031986316, 'Yes': -5.767745, ' yes': -10.579339, ' ': -10.877639, ' No': -11.52033}
{' Yes': -0.36420026, ' No': -1.202873, 'Yes': -5.9043436, 'No': -6.2802362, ' The': -9.524968}
{' Yes': -0.52271765, ' No': -0.9077408, 'Yes': -6.4480505, 'No': -6.53123, ' The': -7.910943}
{' No': -0.005804827, 'No': -5.7622914, ' Yes': -5.9639645, ' ': -10.576607, ' Not': -10.80315}
{' Yes': -0.16607621, ' No': -1.9858203, 'Yes': -4.6510196, 'No': -6.0392942, '\n': -6.6835227}
{' Yes': -0.50248, ' No': -0.95233, 'Yes': -5.321314, 'No': -5.5761228, ' The': -8.753778}
{' Yes': -0.64210737, ' No': -0.76273966, 'No': -5.4773083, 'Yes': -5.9578495, ' The': -8.142963}
{' Yes': -0.51273406, ' No': -0.9211395, 'No': -6.506695, 'Yes': -6.74375, ' The': -8.523415}
{' No': -0.48750943, ' Yes': -1.0122764, 'No': -4.173098, 'Yes': -5.08981, ' Not': -7.465325}
{' Yes': -0.4179458, ' No': -1.0940208, 'Yes': -6.0412083, 'No': -6.0942264, ' Not': -7.115049}
{' Yes': -0.22507113, ' No': -1.6154805, 'Yes': -6.1707363, 'No': -7.6290207, ' The': -9.472361}
{' Yes': -0.044392843, ' No': -3.2043564, 'Yes': -5.947194, 'No': -9.0174265, ' The': -9.859166}
{' No': -0.044946812, ' Yes': -3.2048264, 'No': -5.790624, ' The': -8.944954, 'Yes': -9.01305}
{' No': -0.007986248, 'No': -4.9908524, ' Yes': -6.903784, ' ': -10.065685, ' The': -10.124233}
{' No': -0.015397248, 'No': -4.2065115, ' Yes': -8.486638, ' Not': -9.736571, ' Unfortunately': -10.076203}
{' Yes': -0.24792682, ' No': -1.5369874, 'Yes': -6.0514483, 'No': -6.9324946, ' The': -7.111648}
{' No': -0.03414203, 'No': -3.5467856, ' Yes': -5.500639, ' Not': -8.153534, 'Yes': -8.879018}
{' Yes': -0.4559657, ' No': -1.0169798, 'Yes': -6.2318063, 'No': -6.343907, ' The': -8.187586}
{' Yes': -0.0022403812, 'Yes': -6.4412775, ' No': -7.4428573, ' The': -10.379397, ' yes': -11.051238}
{' Yes': -0.006509387, 'Yes': -5.515342, ' No': -6.023713, 'No': -11.333257, ' yes': -11.637947}
{' Yes': -0.07329324, ' No': -2.6852202, 'Yes': -6.2694144, ' The': -8.2675085, 'No': -8.380948}
{' No': -0.39543173, ' Yes': -1.1344016, 'No': -5.7339587, 'Yes': -6.917709, ' The': -7.916773}
{' Yes': -0.01615598, 'Yes': -4.698359, ' No': -5.0032697, 'No': -9.578623, ' The': -9.800441}
{' Yes': -0.0051813414, 'Yes': -5.3469915, ' No': -7.944808, ' yes': -10.7330885, ' The': -11.262895}
{' Yes': -0.2223659, ' No': -1.6398274, 'Yes': -5.550691, 'No': -6.7958384, ' The': -9.30635}
{' No': -0.022564745, ' Yes': -4.2791314, 'No': -4.7983766, 'Yes': -9.088977, ' Not': -10.589237}
{' No': -0.48338982, ' Yes': -0.97392935, 'No': -5.6455045, 'Yes': -6.529845, ' The': -8.128706}
{' No': -0.05285642, ' Yes': -3.0786586, 'No': -5.3398223, 'Yes': -8.616245, ' Unfortunately': -8.884067}
{' No': -0.047083892, ' Yes': -3.343549, 'No': -4.9453225, ' Unfortunately': -6.0578756, ' Not': -7.0001}
{' No': -0.043259308, ' Yes': -3.3602357, 'No': -4.926371, 'Yes': -8.346773, ' ': -9.987438}
{' No': -0.011962175, 'No': -4.835742, ' Yes': -5.8422256, ' Unfortunately': -7.860564, ' Not': -8.57051}
{' No': -0.31475428, ' Yes': -1.3303124, 'No': -5.540525, 'Yes': -6.74911, ' Not': -8.489188}
{' No': -0.54852784, ' Yes': -0.88362616, 'No': -5.1808577, 'Yes': -5.885167, ' The': -8.080483}
{' Yes': -0.15330122, ' No': -1.9802532, 'Yes': -5.9051266, 'No': -7.2605076, ' The': -7.702644}
{' No': -0.2129009, ' Yes': -1.6715839, 'No': -5.805756, 'Yes': -7.363486, ' The': -9.380587}
{' Yes': -0.049823355, ' No': -3.0956817, 'Yes': -5.7809634, 'No': -8.70147, ' The': -9.7558775}
{' No': -0.018185854, ' Yes': -4.197292, 'No': -5.8952703, ' The': -9.615945, 'Yes': -9.947957}
{' No': -0.20995192, ' Yes': -1.6967398, 'No': -5.4376206, 'Yes': -6.857176, ' The': -7.4775853}
{' Yes': -0.346351, ' No': -1.2408516, 'Yes': -6.1416965, 'No': -6.6891336, ' The': -9.145076}
{' Yes': -0.04560489, ' No': -3.1706657, 'Yes': -6.2307596, ' The': -7.759826, 'No': -9.068613}
{' Yes': -0.0032383983, 'Yes': -5.974548, ' No': -7.383554, ' The': -10.220565, ' yes': -11.111775}
{' Yes': -0.049634732, ' No': -3.0784755, 'Yes': -6.264051, ' The': -8.235105, 'No': -8.752014}
{' Yes': -0.039328456, ' No': -3.4411857, ' Rough': -5.410022, 'Yes': -6.270375, 'No': -9.265127}
{' No': -0.03858509, 'No': -3.5744507, ' Yes': -4.6885276, 'Yes': -8.338496, ' Rough': -8.580476}
{' No': -0.358623, ' Yes': -1.2322153, 'No': -4.9939966, 'Yes': -6.044707, ' Not': -7.975513}
{' No': -0.16698974, ' Yes': -1.9228737, 'No': -5.100515, 'Yes': -6.7826915, ' The': -8.596296}
{' Yes': -0.2148984, ' No': -1.6641781, 'Yes': -5.84937, 'No': -7.2530074, ' The': -7.9713492}
{' No': -0.19131368, ' Yes': -1.775853, 'No': -5.566773, 'Yes': -7.2712975, ' The': -8.706077}
{' No': -0.6168759, ' Yes': -0.7870705, 'No': -6.1707125, 'Yes': -6.281064, ' The': -7.186246}
{' No': -0.06618398, ' Yes': -2.8078868, 'No': -5.771497, 'Yes': -8.151849, ' The': -8.9221945}
{' Yes': -0.07092047, ' No': -2.7494674, 'Yes': -5.589313, 'No': -7.887313, ' The': -8.336427}
{' Yes': -0.0047858628, 'Yes': -5.9882293, ' No': -6.227041, ' The': -8.413889, ' yes': -10.774158}
{' Yes': -0.20611706, ' No': -1.7090255, 'Yes': -5.9401574, ' The': -6.862006, 'No': -6.893306}
{' Yes': -0.051904712, ' No': -3.0920925, 'Yes': -5.3983283, 'No': -7.8237076, ' The': -8.886826}
{' No': -0.021698084, ' Yes': -4.0703654, 'No': -5.5301647, ' Unfortunately': -8.568299, 'Yes': -9.772993}
{' No': -0.6130879, ' Yes': -0.7918331, 'No': -5.962722, 'Yes': -6.4530306, ' Not': -7.488259}
{' Yes': -0.090438575, ' No': -2.509855, 'Yes': -5.422025, 'No': -7.8626437, ' The': -8.202259}
{' No': -0.13198258, ' Yes': -2.186094, 'No': -4.658567, 'Yes': -6.5080256, ' The': -8.805097}
{' No': -0.01982989, 'No': -4.465764, ' Yes': -4.8789873, ' ': -8.19904, 'Yes': -9.116132}
{' No': -0.025751662, ' Yes': -3.85554, 'No': -5.5841064, ' Not': -8.63377, 'Yes': -9.161356}
{' Yes': -0.0019687857, 'Yes': -6.6042633, ' No': -7.4550915, ' yes': -11.050634, ' The': -11.624723}
{' Yes': -0.0068890406, ' No': -5.384458, 'Yes': -6.1251388, ' yes': -10.410687, 'No': -10.869374}
{' No': -0.6829909, ' Yes': -0.7144107, 'No': -5.8038406, 'Yes': -6.1691756, ' The': -8.756723}
{' Yes': -0.18574499, ' No': -1.8038821, 'Yes': -5.6633925, 'No': -6.8790298, ' The': -8.675374}
{' Yes': -0.046030693, ' No': -3.26006, 'Yes': -5.11307, 'No': -7.6764417, ' The': -10.12862}
{' No': -0.23177844, ' Yes': -1.6385186, 'No': -4.5355234, 'Yes': -6.5839734, ' The': -8.796275}
{' Yes': -0.09805455, ' No': -2.4308565, 'Yes': -5.509479, 'No': -6.884263, ' The': -8.662251}
{' Yes': -0.6433839, ' No': -0.7636843, 'No': -5.258265, 'Yes': -5.909308, ' The': -8.08963}
{' Yes': -0.16445908, ' No': -1.9050729, 'Yes': -6.290485, 'No': -7.3442335, ' The': -8.349851}
{' Yes': -0.5059147, ' No': -0.9325638, 'No': -6.498943, 'Yes': -6.626083, ' The': -7.81385}
{' Yes': -0.25202733, ' No': -1.513832, 'Yes': -6.401014, 'No': -7.3072042, ' The': -8.454965}
{' Yes': -0.55782855, ' No': -0.85313, 'No': -7.334026, 'Yes': -7.3656783, ' The': -9.7876835}
{' Yes': -0.0068133622, 'Yes': -5.309151, ' No': -6.4238453, ' The': -8.8519535, ' yes': -10.517448}
{' Yes': -0.00877141, 'Yes': -5.2892942, ' No': -5.8115077, ' The': -7.6494536, ' Heart': -9.436738}
{' Yes': -0.0043316316, 'Yes': -6.049703, ' No': -6.282907, ' The': -9.77091, ' yes': -11.143195}
{' Yes': -0.0032848625, 'Yes': -5.7836113, ' No': -8.621407, ' The': -11.544725, ' yes': -12.160425}
{' No': -0.012281273, ' Yes': -4.5756183, 'No': -6.426994, ' The': -9.538915, '\n': -9.725369}
{' No': -0.16096115, ' Yes': -1.9267616, 'No': -6.523357, ' The': -7.3278294, '\n': -8.168339}
{' No': -0.07084919, ' Yes': -2.733622, 'No': -5.8443394, 'Yes': -8.532545, ' Pizza': -8.702066}
{' No': -0.0014360857, 'No': -7.0232863, ' Yes': -7.5795474, ' ': -10.991241, ' Not': -12.082025}
{' Yes': -0.052154988, ' No': -3.0603657, 'Yes': -6.437967, ' Snake': -6.7773533, ' The': -7.3171444}
{' Yes': -0.02946375, ' No': -3.7461972, ' Snake': -5.706906, 'Yes': -6.4108243, ' The': -8.822263}
{' No': -0.2879373, ' Yes': -1.591282, ' G': -3.2538435, ' ': -5.443533, 'No': -6.52136}
{' Yes': -0.61248755, ' No': -0.7838533, 'Yes': -7.482387, 'No': -7.671917, '\n': -9.198714}
{' No': -0.33232713, ' Yes': -1.2669185, 'No': -7.477213, 'Yes': -8.4319725, ' The': -8.88447}
{' No': -0.07554464, ' Yes': -2.638508, 'No': -7.053229, ' Queen': -8.568998, ' ': -9.72674}
{' No': -0.0022600966, 'No': -6.2992835, ' Yes': -7.9316883, ' ': -10.714696, '\n': -11.068451}
{' No': -0.062819794, ' Yes': -2.8302603, 'No': -6.657428, ' The': -8.327506, 'Yes': -9.247584}
{' No': -0.562455, ' Yes': -0.8503616, 'Yes': -6.914704, 'No': -6.946675, ' Plane': -8.041177}
{' No': -0.027537819, ' Yes': -3.6721013, ' Plane': -7.19852, 'No': -7.200288, ' Nope': -9.825481}
{' Yes': -0.5028345, ' No': -0.9622613, ' Found': -4.5394726, 'Yes': -7.258199, 'No': -7.7338324}
{' No': -0.2286868, ' Yes': -1.6034406, 'No': -6.9352226, ' Found': -7.251231, ' ': -7.354925}
{' Yes': -0.1543153, ' No': -2.5646737, ' Uncle': -2.7883542, ' ': -6.416566, 'Yes': -6.9437704}
{' No': -0.05881926, ' Yes': -2.87772, 'No': -7.712242, ' ': -9.014098, '\n': -9.596815}
{' No': -0.0025668447, 'No': -6.432466, ' Yes': -7.1832786, ' The': -9.359065, '\n': -10.316471}
{' No': -0.23568213, ' Yes': -1.5696743, 'No': -6.5734887, 'Yes': -8.101065, ' ': -10.186358}
{' Yes': -0.1485957, ' No': -1.9962538, 'Yes': -6.8887577, '\n': -7.7278605, ' The': -8.298237}
{' Yes': -0.00530777, ' No': -5.518977, 'Yes': -7.051471, ' yes': -8.633895, '\n': -9.082683}
{' No': -0.008862871, ' Yes': -4.8013415, 'No': -7.7057467, ' ': -10.096087, ' The': -10.4184265}
{' No': -0.16730238, ' Yes': -1.8796377, 'No': -7.59323, ' The': -7.6353674, 'Yes': -8.91269}
{' No': -0.21153258, ' Yes': -1.6779499, 'No': -6.5065746, ' The': -7.118838, 'Yes': -7.7552648}
{' No': -0.5479969, ' Yes': -0.8769458, ' The': -5.856371, 'No': -6.995018, 'Yes': -7.220799}
{' Yes': -0.25256217, ' No': -1.5053717, 'Yes': -7.1781807, 'No': -8.352644, ' yes': -9.573026}
{' Yes': -0.13687532, ' No': -2.0679038, 'Yes': -7.1175933, '\n': -8.349096, 'No': -8.776039}
{' Yes': -0.3481934, ' No': -1.2366078, 'Yes': -6.4134684, ' ': -7.4674706, 'No': -7.492978}
{' No': -0.17303993, ' Yes': -1.8723178, ' Drunk': -6.4710836, 'No': -6.535968, ' ': -7.637726}
{' No': -0.023532348, ' Yes': -3.8025622, 'No': -7.580274, '\n': -8.9745, ' The': -9.0952635}
{' No': -0.0029915795, ' Yes': -6.2575645, 'No': -7.0612106, '\n': -9.457991, ' ': -9.943946}
{' Yes': -0.003338924, ' No': -5.9680605, 'Yes': -7.40376, ' yes': -9.696731, ' The': -10.193108}
{' Yes': -0.00053743285, 'Yes': -7.8240423, ' yes': -9.459811, ' No': -10.290775, '\n': -11.561493}
{' Yes': -0.33726206, ' No': -1.2560492, 'Yes': -7.5513062, '\n': -7.73198, 'No': -8.541437}
{' No': -0.0011154774, 'No': -7.0551386, ' Yes': -8.683009, ' ': -10.27621, '\n': -10.472674}
{' Yes': -0.0112187425, ' No': -4.628803, 'Yes': -6.889499, ' yes': -8.906507, '\n': -9.329436}
{' Yes': -0.04747445, ' No': -3.100403, 'Yes': -7.1902676, ' The': -8.5386505, ' Woman': -8.80914}
{' Yes': -0.0049571632, ' No': -5.6062813, 'Yes': -6.8893504, ' Party': -9.317652, ' yes': -9.542416}
{' No': -0.27077523, ' Yes': -1.4462378, 'No': -6.7766304, 'Yes': -8.002058, ' ': -8.997859}
{' No': -0.50069284, ' Yes': -0.93432105, 'No': -7.4671097, 'Yes': -8.165507, ' yes': -9.894504}
{' No': -0.06089015, ' Yes': -2.8444824, 'No': -7.445562, ' ': -9.469072, ' The': -9.543915}
{' No': -0.27998582, ' Yes': -1.4156364, 'No': -7.384508, 'Yes': -7.793358, ' ': -8.5611725}
{' Yes': -0.07481031, ' No': -2.6513233, 'Yes': -6.6960964, 'No': -9.688623, ' yes': -9.776035}
{' No': -0.12564091, ' Yes': -2.147707, 'No': -6.9391174, 'Yes': -9.097446, ' The': -9.286745}
{' No': -0.19555289, ' Yes': -1.741396, ' Ghost': -7.14072, 'No': -7.240026, ' The': -7.945886}
{' Yes': -0.009887016, ' No': -4.766635, 'Yes': -7.3789372, ' Shirt': -7.4755588, ' yes': -9.7475195}
{' Yes': -0.003616933, ' No': -5.872668, 'Yes': -7.287321, ' yes': -9.628418, '\n': -11.296358}
{' Yes': -0.1325052, ' No': -2.0941503, 'Yes': -7.254451, 'No': -9.652047, ' yes': -10.199808}
{' No': -0.073037244, ' Yes': -2.669551, 'No': -7.4341884, ' The': -8.496924, 'Yes': -8.948086}
{' No': -0.63813907, ' Yes': -0.75838035, ' The': -7.0006137, 'No': -7.1832232, 'Yes': -7.2865496}
{' No': -0.008769485, ' Yes': -5.5167227, 'No': -5.6450286, ' Board': -7.666468, ' B': -8.242258}
{' Yes': -0.07550531, ' No': -2.6622458, 'Yes': -6.343154, ' The': -7.631039, ' ': -8.328926}
{' No': -0.2742508, ' Yes': -1.4324025, 'No': -7.819565, 'Yes': -8.467684, ' The': -8.639288}
{' Yes': -0.28323245, ' No': -1.4042555, 'Yes': -7.567921, 'No': -8.805116, ' The': -8.986997}
{' No': -0.45347905, ' Yes': -1.0188496, ' The': -6.6503205, 'No': -7.107803, 'Yes': -7.44877}
{' Yes': -0.21426556, ' No': -1.6542319, 'Yes': -7.155179, ' ': -8.325471, 'No': -8.493529}
{' No': -0.016462538, ' Yes': -4.2556915, 'No': -6.2256336, ' ': -10.38517, ' The': -10.536035}
{' Yes': -0.05238277, ' No': -2.9978323, 'Yes': -7.248914, ' ': -9.042914, ' The': -9.207488}
{' No': -0.52341706, ' Yes': -0.9006887, 'No': -7.675169, 'Yes': -7.8246846, ' yes': -9.25428}
{' No': -0.1146543, ' Yes': -2.2295454, 'No': -8.077075, ' The': -8.988872, ' ': -9.160539}
{' Yes': -0.093429886, ' No': -2.4307272, ' The': -7.4576473, 'Yes': -8.1765785, ' Throw': -9.37382}
{' Yes': -0.05692276, ' No': -2.9158664, 'Yes': -7.26008, ' yes': -8.960312, ' The': -8.967445}
{' Yes': -0.7295458, ' Women': -0.90123576, ' No': -2.2522163, 'Women': -6.4222383, ' women': -6.6618934}
{' No': -0.05473301, ' Yes': -3.094755, 'No': -5.0960813, 'Yes': -7.807989, '\n': -8.053922}
{' Yes': -0.38978192, ' No': -1.1396543, '\n': -6.7716174, 'Yes': -7.373733, ' yes': -7.795867}
{' No': -0.0051774466, ' Yes': -5.4278646, 'No': -7.3874745, ' ': -9.87843, ' The': -10.722191}
{' No': -0.26291373, ' Yes': -1.4749918, ' The': -7.4423547, 'No': -7.448056, 'Yes': -8.129479}
{' No': -0.16214171, ' Yes': -1.9027938, 'No': -8.105719, 'Yes': -9.62868, '\n': -9.734768}
{' No': -0.20421785, ' Yes': -1.6964549, 'No': -7.056045, 'Yes': -8.372079, '\n': -9.169376}
{' Yes': -0.07202545, ' No': -2.677145, 'Yes': -7.811966, ' Shark': -8.821789, ' The': -9.47192}
{' Yes': -0.0032621978, ' No': -6.166123, 'Yes': -6.8927517, ' yes': -9.643211, ' Shark': -10.66596}
{' No': -0.04130644, ' Yes': -3.2437506, 'No': -6.863692, '\n': -8.8165245, ' ': -8.895372}
{' Yes': -0.55883646, ' No': -0.850594, 'Yes': -7.996453, 'No': -8.0571, ' Lemon': -8.675303}
{' No': -0.0010952523, 'No': -7.3719635, ' Yes': -8.375434, ' ': -9.327223, '\n': -9.503704}
{' No': -0.006740449, ' Yes': -5.178594, 'No': -7.271299, ' ': -8.727779, '\n': -9.312428}
{' No': -0.38718522, ' Yes': -1.1391822, 'No': -7.6567063, 'Yes': -8.3422365, ' ': -9.453036}
{' No': -0.020723782, ' Yes': -3.9921439, 'No': -6.629431, '\n': -8.479597, ' The': -8.722353}
{' No': -0.32082573, ' Yes': -1.3010619, 'No': -7.0470543, ' Sm': -7.719177, 'Yes': -7.927496}
{' Yes': -0.29918417, ' No': -1.364776, 'Yes': -6.9623213, ' Sm': -7.6229534, 'No': -7.9419217}
{' No': -0.19369245, ' Yes': -1.7533617, ' ': -7.3684387, ' Unfortunately': -7.381727, ' Your': -7.5297127}
{' No': -0.03064441, ' Yes': -3.55375, 'No': -7.512992, ' The': -8.136346, ' Unfortunately': -8.536237}
{' No': -0.0025821435, 'No': -6.4785795, ' Yes': -6.984914, ' ': -10.168871, ' no': -10.203298}
{' No': -0.007547157, ' Yes': -5.029367, 'No': -7.0871253, '\n': -9.821977, ' ': -10.186059}
{' No': -0.5977226, ' Yes': -0.9038024, ' Devil': -3.17959, ' The': -7.372704, 'No': -7.4209657}
{' No': -0.31107512, ' Yes': -1.3354644, ' Devil': -6.313138, ' The': -6.6751494, 'No': -8.200166}
{' No': -0.0031346523, ' Yes': -6.073392, 'No': -7.369265, ' ': -9.785494, ' The': -10.0735235}
{' Yes': -0.30016422, ' No': -1.3549795, 'Yes': -7.6988816, ' ': -8.121774, ' yes': -8.635339}
{' Yes': -0.14520225, ' No': -2.0089374, 'Yes': -7.54613, ' yes': -9.018342, ' The': -9.127168}
{' No': -0.026498633, ' Yes': -3.6692123, 'No': -7.7004943, '\n': -9.518487, ' ': -10.280234}
{' No': -0.14376745, ' Yes': -2.0203009, 'No': -7.0705647, 'Yes': -9.0026455, ' The': -9.349903}
{' No': -0.33045536, ' Yes': -1.274736, 'No': -6.7585845, 'Yes': -8.094224, '\n': -9.047811}
{' No': -0.014939209, ' Yes': -4.265479, 'No': -7.27154, ' ': -10.43302, ' The': -10.814671}
{' No': -0.016774036, ' Yes': -4.575413, 'No': -5.937157, ' Pound': -6.0103364, ' P': -7.543985}
{' No': -0.12915, ' Yes': -2.1242554, 'No': -7.2597346, ' Unfortunately': -8.035675, ' Not': -8.679013}
{' Yes': -0.14780968, ' No': -2.004396, 'Yes': -6.7247076, ' Dirty': -7.1514225, 'No': -8.431306}
{' Yes': -0.03352424, ' No': -3.4672341, 'Yes': -6.9649696, ' ': -8.003231, '\n': -8.565285}
{' Yes': -0.014843258, ' No': -4.29538, 'Yes': -7.2269187, ' yes': -8.956642, ' The': -9.388535}
{' No': -0.36590832, ' Yes': -1.2851168, ' erupt': -4.6509385, 'rupt': -5.0436215, 'No': -5.8525558}
{' No': -0.021973684, 'No': -4.4311924, ' Nope': -5.2609143, ' Not': -6.793561, 'rupt': -7.5894947}
{' Yes': -0.525362, ' No': -0.8998204, 'Yes': -7.398727, '\n': -7.611123, 'No': -8.050994}
{' No': -0.44118962, ' Yes': -1.0341194, 'No': -7.6878185, 'Yes': -7.8908105, ' The': -9.11713}
{' No': -0.23342727, ' Yes': -1.6484033, ' Armor': -4.2891293, 'No': -6.8251495, ' The': -8.150515}
{' No': -0.06915099, ' Yes': -2.738756, 'No': -6.8306365, ' The': -7.7353373, '\n': -8.703149}
{' No': -0.026783949, ' Yes': -3.6634912, 'No': -8.030517, '\n': -8.997868, ' ': -9.132074}
{' No': -0.009543354, ' Yes': -4.7727113, 'No': -7.2538567, ' ': -8.944231, '\n': -9.28298}
{' No': -0.0042167, 'No': -6.4848237, ' Yes': -6.6078277, ' Still': -6.715875, '\n': -10.163367}
{' No': -0.039174777, ' Yes': -3.3219945, 'No': -7.2955775, ' Still': -7.5379457, ' The': -7.8843894}
{' No': -0.04233839, ' Yes': -3.2448015, 'No': -6.0550504, 'Yes': -9.41064, '\n': -10.739197}
{' Yes': -0.27871212, ' No': -1.4195468, 'Yes': -7.1015453, 'No': -7.5809593, ' yes': -9.924746}
{' Yes': -0.019828068, ' No': -4.1499624, 'Yes': -6.3477545, ' Purs': -6.6334004, ' Pur': -7.688395}
{' Yes': -0.4355187, ' No': -1.0505815, '\n': -7.0872903, 'Yes': -7.179831, ' The': -7.374613}
{' No': -0.060282517, ' Yes': -2.8631752, 'No': -7.010907, '\n': -8.945498, ' ': -9.188411}
{' No': -0.0031778247, ' Yes': -6.49193, 'No': -6.5737762, ' ': -9.218645, '\n': -9.482413}
{' No': -0.1192912, ' Yes': -2.207157, 'No': -6.5509105, ' The': -7.9089904, 'Yes': -8.436931}
