{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{' YES': -11.796064, ' ': -11.511305, ' Yes': -0.00094042, ' yes': -9.527138, 'Yes': -7.0744185}
{' YES': -11.349923, ' ': -10.595596, ' Yes': -0.0063292426, ' yes': -9.227575, 'Yes': -5.0889535}
{'\n': -10.800181, ' ': -10.340101, ' Yes': -0.004932487, ' yes': -9.183666, 'Yes': -5.350183}
{' YES': -12.041346, ' ': -11.8028145, ' Yes': -0.0010840317, ' yes': -9.99028, 'Yes': -6.886383}
{'\n': -10.594515, ' ': -9.536526, ' Yes': -0.005576435, ' yes': -9.608281, 'Yes': -5.2251506}
{'\n': -9.93526, ' ': -9.529182, ' Yes': -0.0067976406, ' yes': -7.8847504, 'Yes': -5.0776057}
{' YES': -10.970446, ' Yes': -0.01096374, ' yes': -7.758255, 'Yes': -4.5646157, 'yes': -10.588545}
{' YES': -12.778846, ' Yes': -0.010999957, ' yes': -9.694643, 'Yes': -4.5220165, 'yes': -11.941984}
{' YES': -10.571312, ' Yes': -0.02043362, ' yes': -7.9277663, 'Yes': -3.9229374, 'yes': -10.409829}
{' YES': -11.527956, ' Yes': -0.0068023796, ' yes': -8.634251, 'Yes': -5.0245695, 'yes': -11.549519}
{' ': -10.613887, ' Yes': -0.021955166, ' yes': -8.326621, 'Yes': -3.8444762, 'yes': -10.305749}
{' ': -10.043994, ' Yes': -0.024342695, ' yes': -6.760125, 'Yes': -3.7843163, 'yes': -9.473224}
{' YES': -11.037462, ' ': -10.185087, ' Yes': -0.0025009362, ' yes': -7.44685, 'Yes': -6.295279}
{' ': -9.468372, ' Yes': -0.011564792, ' yes': -7.2262406, 'Yes': -4.545237, 'yes': -10.287457}
{'\n': -10.568898, ' ': -9.534129, ' Yes': -0.009177609, ' yes': -8.244161, 'Yes': -4.739618}
{' ': -10.03295, ' Yes': -0.006020734, ' yes': -7.188891, 'Yes': -5.2710123, 'yes': -10.399138}
{'\n': -10.012533, ' ': -8.967028, ' Yes': -0.013231677, ' yes': -8.223721, 'Yes': -4.369461}
{'\n': -8.782244, ' ': -8.446559, ' Yes': -0.01769814, ' yes': -5.3654704, 'Yes': -4.396774}
{' YES': -11.587804, ' ': -10.867408, ' Yes': -0.0008058335, ' yes': -9.883826, 'Yes': -7.239215}
{' YES': -11.074764, ' ': -10.124461, ' Yes': -0.0057189185, ' yes': -9.385315, 'Yes': -5.1949983}
{'\n': -9.607546, ' ': -9.788764, ' Yes': -0.0063056694, ' yes': -9.385027, 'Yes': -5.1061516}
{' YES': -11.57649, ' ': -10.424357, ' Yes': -0.0013751438, ' yes': -9.824404, 'Yes': -6.664945}
{'\n': -10.339862, ' ': -9.568496, ' Yes': -0.0069746296, ' yes': -9.669993, 'Yes': -4.994811}
{'\n': -11.229844, ' ': -10.445543, ' Yes': -0.0029323967, ' yes': -9.195022, 'Yes': -5.887255}
{' No': -9.351272, ' ': -12.121428, ' Yes': -0.0016831169, ' yes': -10.19336, 'Yes': -6.469836}
{' No': -10.514513, ' ': -11.215825, ' Yes': -0.008114289, ' yes': -9.252982, 'Yes': -4.8365674}
{' No': -9.989287, ' ': -10.931265, ' Yes': -0.01304941, ' yes': -9.319587, 'Yes': -4.358329}
{' No': -9.535365, ' ': -11.786211, ' Yes': -0.0033100382, ' yes': -10.2418585, 'Yes': -5.749068}
{' No': -9.004825, ' ': -10.635987, ' Yes': -0.010068527, ' yes': -9.398553, 'Yes': -4.6280437}
{' No': -10.330789, ' ': -10.456652, ' Yes': -0.0073659252, ' yes': -8.438323, 'Yes': -4.9551005}
{' YES': -13.055225, ' ': -11.734675, ' Yes': -0.00060154457, ' yes': -9.236588, 'Yes': -7.6172056}
{' ': -10.960579, ' Yes': -0.0038221413, ' yes': -9.243755, 'Yes': -5.6021323, 'yes': -12.547535}
{'\n': -11.805908, ' ': -10.13574, ' Yes': -0.0048112576, ' yes': -9.112973, 'Yes': -5.3755407}
{' YES': -12.87261, ' ': -11.553036, ' Yes': -0.0012834677, ' yes': -9.667508, 'Yes': -6.722261}
{' No': -10.447599, ' ': -8.735376, ' Yes': -0.0050262925, ' yes': -9.442656, 'Yes': -5.3559747}
{'\n': -10.44345, ' ': -9.377712, ' Yes': -0.005263665, ' yes': -7.500668, 'Yes': -5.39145}
{' No': -8.391906, ' Yes': -0.010028491, ' yes': -7.3938813, 'Yes': -4.701549, 'yes': -10.80534}
{' No': -12.424464, ' Yes': -0.01014301, ' yes': -9.219499, 'Yes': -4.6071486, 'yes': -12.103283}
{' ': -10.706949, ' Yes': -0.018609073, ' yes': -7.398953, 'Yes': -4.0308332, 'yes': -10.503669}
{' No': -10.141833, ' ': -11.497052, ' Yes': -0.004697466, ' yes': -8.57307, 'Yes': -5.4177814}
{' ': -10.440008, ' Yes': -0.02643186, ' yes': -7.750259, 'Yes': -3.6665149, 'yes': -10.110612}
{' ': -10.171546, ' Yes': -0.025047112, ' yes': -6.3354335, 'Yes': -3.7802386, 'yes': -9.464855}
{' ': -10.472956, ' Yes': -0.00200683, ' yes': -6.966578, 'Yes': -6.889673, 'yes': -11.739584}
{' ': -9.772984, ' Yes': -0.006449215, ' yes': -7.302296, 'Yes': -5.172938, 'yes': -10.902405}
{' ': -9.48221, ' Yes': -0.0075819297, ' yes': -8.020933, 'Yes': -4.944639, 'yes': -11.371987}
{' ': -9.647965, ' Yes': -0.003827048, ' yes': -7.051171, 'Yes': -5.862113, 'yes': -10.728719}
{'\n': -10.29392, ' ': -8.45872, ' Yes': -0.008012026, ' yes': -8.015914, 'Yes': -4.9090095}
{' ': -8.216802, ' Yes': -0.013901901, ' yes': -5.099614, 'Yes': -4.9295964, 'yes': -9.254278}
{'\n': -12.5163965, ' ': -11.024745, ' Yes': -0.0005682056, ' yes': -9.582439, 'Yes': -7.6508536}
{' No': -11.690137, ' ': -9.8677225, ' Yes': -0.003737481, ' yes': -9.404616, 'Yes': -5.6330614}
{'\n': -10.310372, ' ': -9.275615, ' Yes': -0.005236464, ' yes': -9.291222, 'Yes': -5.3023405}
{' No': -11.929841, ' ': -10.008036, ' Yes': -0.0010531849, ' yes': -9.642006, 'Yes': -6.9813194}
{' No': -9.188628, ' ': -7.8953347, ' Yes': -0.0062185186, ' yes': -9.581486, 'Yes': -5.186398}
{'\n': -11.320987, ' ': -9.883931, ' Yes': -0.0017200725, ' yes': -8.779969, 'Yes': -6.5061874}
{' No': -0.005363019, ' ': -10.30573, 'No': -5.237922, ' no': -13.693012, ' NO': -13.728334}
{' No': -0.01841259, ' ': -10.099164, 'No': -4.006694, ' no': -12.910441, ' NO': -12.254153}
{' No': -0.026664754, '\n': -13.020193, ' ': -9.370481, 'No': -3.6414032, ' NO': -12.328396}
{' No': -0.006444296, ' ': -10.657455, 'No': -5.051938, ' no': -13.731446, ' NO': -13.761968}
{' No': -0.025710993, '\n': -12.147566, ' ': -9.21385, 'No': -3.678371, ' no': -12.411095}
{' No': -0.017453615, ' ': -8.811645, 'No': -4.0672407, ' no': -11.538873, ' NO': -12.303035}
{' No': -0.0010222788, '\n': -12.80691, ' ': -9.988012, 'No': -6.9392085, ' no': -13.183468}
{' No': -0.007002297, '\n': -12.244748, ' ': -9.225954, 'No': -4.9809804, ' NO': -12.945723}
{' No': -0.0062610423, '\n': -10.571004, ' ': -8.842292, 'No': -5.105859, ' NO': -12.723864}
{' No': -0.0022884128, '\n': -12.724721, ' ': -9.969182, 'No': -6.104606, ' NO': -13.347937}
{' No': -0.0056764786, '\n': -10.238138, ' ': -8.267664, 'No': -5.2291546, ' NO': -12.635575}
{' No': -0.0072970553, '\n': -9.342824, ' ': -8.542075, 'No': -4.967185, ' no': -11.183155}
{' No': -0.029396595, ' ': -9.207855, 'No': -3.547772, ' no': -9.905153, ' NO': -11.398043}
{' No': -0.022125896, ' ': -11.022829, 'No': -3.8231587, 'no': -13.136779, ' no': -12.517591}
{' No': -0.06321141, ' ': -8.666796, 'No': -2.7968805, 'no': -11.068264, ' no': -10.518642}
{' No': -0.0062657814, ' ': -9.969377, 'No': -5.086071, ' no': -11.558132, ' NO': -12.5679865}
{' No': -0.0732806, '\n': -10.80342, ' ': -8.548437, 'No': -2.6539423, ' no': -10.448263}
{' No': -0.063882016, '\n': -9.706961, ' ': -8.163575, 'No': -2.7939253, ' no': -8.5621805}
{' No': -0.001664189, '\n': -11.277433, ' ': -8.566787, 'No': -6.5501084, ' no': -10.643748}
{' No': -0.009047084, '\n': -11.662701, ' ': -8.45262, 'No': -4.7373676, ' no': -11.174598}
{' No': -0.01211414, '\n': -9.839678, ' ': -8.094004, 'No': -4.4513173, ' no': -11.735043}
{' No': -0.0053353934, '\n': -10.863644, ' ': -8.241549, 'No': -5.3018975, ' no': -10.058706}
{' No': -0.011799618, '\n': -9.060586, ' ': -7.5840344, 'No': -4.5035806, ' no': -10.683854}
{' No': -0.01258218, '\n': -8.423219, ' ': -7.3213983, 'No': -4.487638, ' no': -7.9945273}
{' No': -0.0010442939, '\n': -11.795798, ' ': -9.347416, 'No': -6.963839, ' no': -13.4101305}
{' No': -0.0047442396, '\n': -11.515794, ' ': -8.650013, 'No': -5.394488, ' NO': -12.811261}
{' No': -0.0073145283, '\n': -9.165045, ' ': -8.066748, 'No': -4.9822726, ' NO': -12.616962}
{' No': -0.0025004584, '\n': -11.366752, ' ': -8.533866, 'No': -6.083753, ' NO': -12.284554}
{' No': -0.0070390333, '\n': -9.5160885, ' ': -7.7367005, 'No': -5.037038, ' NO': -12.4493685}
{' No': -0.0033069882, '\n': -10.819896, ' ': -8.530446, 'No': -5.7849684, ' no': -12.053603}
{' No': -0.0036762774, ' ': -10.857859, 'No': -5.6242948, ' Yes': -10.162156, ' no': -13.877839}
{' No': -0.015338052, ' ': -10.049893, 'No': -4.197839, ' Yes': -8.86979, ' NO': -12.688249}
{' No': -0.019825455, ' ': -9.706394, 'No': -3.9398215, ' Yes': -9.1276245, ' NO': -12.90542}
{' No': -0.0052802633, ' ': -10.847389, 'No': -5.2565775, ' Yes': -10.415014, ' no': -13.580975}
{' No': -0.026624478, ' ': -9.089774, 'No': -3.822351, ' Yes': -5.470773, 'Yes': -9.71172}
{' No': -0.028582627, ' ': -8.675797, 'No': -4.0611105, ' Yes': -4.542138, 'Yes': -9.194575}
{' No': -0.0075633717, ' ': -9.4565735, 'No': -7.451691, ' Yes': -4.9817185, 'Yes': -11.923215}
{' No': -0.0068331677, ' ': -9.258613, 'No': -5.505494, ' Yes': -5.9416604, 'Yes': -11.167243}
{' No': -0.0056711426, '\n': -10.808085, ' ': -8.770432, 'No': -5.4082036, ' Yes': -6.921732}
{' No': -0.0016747572, '\n': -13.60333, ' ': -10.081173, 'No': -6.600755, ' Yes': -8.225225}
{' No': -0.008117717, '\n': -10.324228, ' ': -8.1746645, 'No': -5.1611786, ' Yes': -6.208212}
{' No': -0.035684846, ' ': -7.658758, 'No': -5.1846504, ' Yes': -3.5522976, 'Yes': -8.735817}
{' No': -0.01929513, ' ': -9.363782, 'No': -4.143816, ' Yes': -5.7840314, 'Yes': -10.21673}
{' No': -0.015113226, ' ': -11.393784, 'No': -4.3975782, ' Yes': -5.9340158, 'Yes': -10.465896}
{' No': -0.11714301, ' ': -8.661283, 'No': -3.654651, ' Yes': -2.4925225, 'Yes': -6.3714476}
{' No': -0.021654839, ' ': -9.923079, 'No': -5.2140164, ' Yes': -4.1461496, 'Yes': -9.324014}
{' No': -2.4440649, 'No': -5.60621, ' Yes': -0.11601053, ' yes': -7.711426, 'Yes': -3.998655}
{' No': -1.0092795, 'No': -4.062542, ' Yes': -0.5022032, ' yes': -6.9971657, 'Yes': -4.461689}
{' No': -0.0042334604, ' ': -8.239551, 'No': -6.9848523, ' Yes': -5.8165674, ' no': -10.178176}
{' No': -0.007504339, ' ': -8.263799, 'No': -5.081267, ' Yes': -6.939503, ' no': -10.9417}
{' No': -0.011206626, ' ': -7.748101, 'No': -5.0495424, ' Yes': -5.4673376, 'Yes': -10.169269}
{' No': -0.0042702127, ' ': -8.24322, 'No': -5.643691, ' Yes': -7.7867084, ' no': -10.647586}
{' No': -0.0089210225, '\n': -9.527317, ' ': -7.4009514, 'No': -5.0404153, ' Yes': -6.381782}
{' No': -0.011544773, ' ': -7.0131936, 'No': -4.7447677, ' Yes': -6.575761, ' no': -8.190797}
{' No': -0.0029285708, '\n': -12.077185, ' ': -8.949073, 'No': -7.691319, ' Yes': -6.063567}
{' No': -0.004455858, ' ': -8.784142, 'No': -5.7732086, ' Yes': -6.7526073, 'Yes': -12.071258}
{' No': -0.006967965, '\n': -9.800545, ' ': -8.180098, 'No': -5.3826776, ' Yes': -6.2187734}
{' No': -0.00186613, '\n': -12.730414, ' ': -8.882824, 'No': -7.0073514, ' Yes': -7.1160893}
{' No': -0.018060701, '\n': -9.313428, ' ': -7.202243, 'No': -5.1314883, ' Yes': -4.5044894}
{' No': -0.020090507, ' ': -7.9646287, 'No': -6.213087, ' Yes': -4.048069, 'Yes': -10.212189}
{' YES': -12.332193, ' ': -12.464129, ' Yes': -0.0026739398, ' yes': -10.274441, 'Yes': -5.942346}
{' YES': -11.39251, ' ': -11.548512, ' Yes': -0.008248481, ' yes': -9.394979, 'Yes': -4.815488}
{' YES': -11.240124, ' ': -11.515823, ' Yes': -0.010243149, ' yes': -9.465929, 'Yes': -4.596831}
{' YES': -12.241718, ' ': -12.163869, ' Yes': -0.0038263297, ' yes': -10.1199875, 'Yes': -5.5817204}
{' ': -11.416447, ' Yes': -0.011245865, ' yes': -9.588945, 'Yes': -4.5021324, 'yes': -11.574125}
{' YES': -11.45589, ' ': -10.553991, ' Yes': -0.0075538834, ' yes': -8.696678, 'Yes': -4.9182324}
{' YES': -11.93085, ' ': -11.579369, ' Yes': -0.00077069976, ' yes': -9.709234, 'Yes': -7.276836}
{' YES': -11.555919, ' ': -10.640896, ' Yes': -0.0053671543, ' yes': -9.3257265, 'Yes': -5.255071}
{' YES': -11.24495, ' ': -10.130959, ' Yes': -0.0049239807, ' yes': -9.21475, 'Yes': -5.3516035}
{' YES': -11.949924, ' ': -11.89306, ' Yes': -0.0014202675, ' yes': -9.867131, 'Yes': -6.60644}
{'\n': -11.050552, ' ': -9.384163, ' Yes': -0.0063685887, ' yes': -9.659674, 'Yes': -5.0886974}
{'\n': -10.416423, ' ': -9.553344, ' Yes': -0.006438476, ' yes': -7.8456345, 'Yes': -5.135831}
{' ': -10.926444, ' Yes': -0.011761204, ' yes': -7.4931283, 'Yes': -4.504502, 'yes': -10.171421}
{' YES': -12.7012005, ' Yes': -0.011237125, ' yes': -9.43446, 'Yes': -4.502795, 'yes': -11.456526}
{' ': -10.504684, ' Yes': -0.023413911, ' yes': -7.8417788, 'Yes': -3.7875278, 'yes': -10.076402}
{' YES': -11.4938545, ' Yes': -0.005512542, ' yes': -8.517298, 'Yes': -5.2464104, 'yes': -11.433415}
{' ': -10.397598, ' Yes': -0.025280053, ' yes': -7.97965, 'Yes': -3.7082748, 'yes': -9.866236}
{' ': -9.829645, ' Yes': -0.021541309, ' yes': -6.5829005, 'Yes': -3.9246478, 'yes': -9.369197}
{' YES': -11.218823, ' ': -10.2606735, ' Yes': -0.0024181802, ' yes': -7.4924693, 'Yes': -6.322425}
{' ': -9.582548, ' Yes': -0.010412014, ' yes': -7.4927006, 'Yes': -4.638372, 'yes': -10.345672}
{'\n': -10.816424, ' ': -9.422454, ' Yes': -0.010253806, ' yes': -8.432044, 'Yes': -4.620573}
{' ': -10.089936, ' Yes': -0.0067741754, ' yes': -7.2042494, 'Yes': -5.133361, 'yes': -10.050768}
{' ': -8.60884, ' Yes': -0.012357666, ' yes': -8.012865, 'Yes': -4.4504585, 'yes': -10.152214}
{' ': -8.447247, ' Yes': -0.016386313, ' yes': -5.2946796, 'Yes': -4.536257, 'yes': -8.902522}
{' YES': -11.8433485, ' ': -10.996312, ' Yes': -0.0006619627, ' yes': -10.113232, 'Yes': -7.4298573}
{' YES': -11.265519, ' ': -9.911617, ' Yes': -0.005325086, ' yes': -9.540442, 'Yes': -5.2662425}
{'\n': -10.607372, ' ': -9.999485, ' Yes': -0.0058119614, ' yes': -9.510771, 'Yes': -5.179123}
{' YES': -11.78721, ' ': -10.665847, ' Yes': -0.0012618037, ' yes': -9.819393, 'Yes': -6.7486787}
{'\n': -10.675864, ' ': -9.289918, ' Yes': -0.0078826705, ' yes': -9.603379, 'Yes': -4.8723826}
{'\n': -11.869384, ' ': -10.540825, ' Yes': -0.002200175, ' yes': -9.256303, 'Yes': -6.1844378}
{' No': -10.046674, ' ': -11.619322, ' Yes': -0.0018151933, ' yes': -10.177335, 'Yes': -6.36519}
{' No': -11.128256, ' ': -11.076005, ' Yes': -0.0082027465, ' yes': -9.258637, 'Yes': -4.8243723}
{' No': -11.428103, ' ': -11.018583, ' Yes': -0.012255567, ' yes': -9.299974, 'Yes': -4.418732}
{' No': -12.356564, ' ': -12.036094, ' Yes': -0.002852055, ' yes': -10.348038, 'Yes': -5.877306}
{' No': -11.006196, ' ': -10.611854, ' Yes': -0.009106568, ' yes': -9.564107, 'Yes': -4.7169995}
{' ': -10.330478, ' Yes': -0.007299037, ' yes': -8.277404, 'Yes': -4.9674983, 'yes': -11.736277}
{' YES': -12.862379, ' ': -11.644165, ' Yes': -0.0005841889, ' yes': -9.274376, 'Yes': -7.6493893}
{' YES': -12.200209, ' ': -10.546512, ' Yes': -0.004242799, ' yes': -9.151989, 'Yes': -5.4995394}
{'\n': -11.826171, ' ': -10.049186, ' Yes': -0.0053815967, ' yes': -8.954597, 'Yes': -5.2640047}
{' YES': -12.870612, ' ': -11.4494, ' Yes': -0.0011090336, ' yes': -9.777777, 'Yes': -6.872128}
{'\n': -10.516114, ' ': -8.406243, ' Yes': -0.0055043334, ' yes': -9.224952, 'Yes': -5.275396}
{'\n': -10.28859, ' ': -9.1334715, ' Yes': -0.005397295, ' yes': -7.4814496, 'Yes': -5.372747}
{' No': -8.753957, ' Yes': -0.0127515625, ' yes': -7.133963, 'Yes': -4.4541726, 'yes': -10.323397}
{' No': -12.977296, ' Yes': -0.009300392, ' yes': -9.117741, 'Yes': -4.695757, 'yes': -11.811513}
{' ': -10.437477, ' Yes': -0.025423966, ' yes': -7.2556615, 'Yes': -3.717219, 'yes': -9.980973}
{' No': -11.476906, ' ': -11.540119, ' Yes': -0.005149764, ' yes': -8.487076, 'Yes': -5.3191853}
{' ': -10.243829, ' Yes': -0.025900656, ' yes': -7.6205792, 'Yes': -3.6898408, 'yes': -9.922617}
{' ': -9.909385, ' Yes': -0.02352222, ' yes': -6.2541637, 'Yes': -3.8559003, 'yes': -9.33036}
{' ': -10.516243, ' Yes': -0.002078142, ' yes': -7.023615, 'Yes': -6.776429, 'yes': -11.608672}
{' ': -9.831254, ' Yes': -0.0069383737, ' yes': -7.2551703, 'Yes': -5.0964193, 'yes': -10.642791}
{' ': -9.151604, ' Yes': -0.008163866, ' yes': -7.936596, 'Yes': -4.8756337, 'yes': -11.083488}
{' ': -9.284712, ' Yes': -0.0045356075, ' yes': -6.722265, 'Yes': -5.7539687, 'yes': -10.259441}
{'\n': -9.308753, ' ': -8.108611, ' Yes': -0.009320245, ' yes': -7.585011, 'Yes': -4.786803}
{' ': -8.042264, ' Yes': -0.015252712, ' yes': -4.983812, 'Yes': -4.86984, 'yes': -8.944501}
{'\n': -12.267552, ' ': -10.975906, ' Yes': -0.0006050035, ' yes': -9.798534, 'Yes': -7.553274}
{' YES': -12.206713, ' ': -9.894141, ' Yes': -0.0040913075, ' yes': -9.341557, 'Yes': -5.5390835}
{'\n': -10.068556, ' ': -9.188866, ' Yes': -0.0055547385, ' yes': -9.259877, 'Yes': -5.2426476}
{' YES': -12.0481205, ' ': -9.6866255, ' Yes': -0.0013564618, ' yes': -9.341911, 'Yes': -6.732449}
{'\n': -9.542642, ' ': -7.9841075, ' Yes': -0.0064041032, ' yes': -9.613666, 'Yes': -5.135865}
{'\n': -10.856584, ' ': -9.604374, ' Yes': -0.0018795651, ' yes': -8.757292, 'Yes': -6.421416}
{' No': -0.0037665586, ' ': -10.33104, 'No': -5.593186, ' no': -13.648127, ' NO': -13.696008}
{' No': -0.014707333, ' ': -10.049743, 'No': -4.230314, ' no': -12.953812, ' NO': -12.39106}
{' No': -0.022750886, ' ': -9.407209, 'No': -3.798708, ' no': -13.030279, ' NO': -12.243564}
{' No': -0.0051398217, ' ': -10.664695, 'No': -5.278405, ' no': -13.899499, ' NO': -13.82557}
{' No': -0.024226664, '\n': -11.997199, ' ': -9.039405, 'No': -3.7382426, ' no': -12.405599}
{' No': -0.012737556, ' ': -8.919374, 'No': -4.3825817, ' no': -11.524036, ' NO': -12.391522}
{' No': -0.0010355832, '\n': -12.299705, ' ': -9.642304, 'No': -6.9478316, ' no': -13.031982}
{' No': -0.0054360693, '\n': -12.481218, ' ': -9.230484, 'No': -5.2377224, ' no': -12.907569}
{' No': -0.0053062113, '\n': -10.587063, ' ': -9.00247, 'No': -5.2717113, ' no': -12.837567}
{' No': -0.0018866734, '\n': -12.705681, ' ': -9.883072, 'No': -6.3048763, ' NO': -13.426407}
{' No': -0.005547246, '\n': -9.959574, ' ': -8.121185, 'No': -5.2639985, ' NO': -12.398302}
{' No': -0.0066076033, '\n': -9.407063, ' ': -8.383636, 'No': -5.0751915, ' no': -11.222923}
{' No': -0.02444274, ' ': -9.02451, 'No': -3.7322557, ' no': -9.80423, ' NO': -11.282201}
{' No': -0.01571447, ' ': -10.9902935, 'No': -4.162575, 'no': -13.470241, ' no': -12.533582}
{' No': -0.060252693, '\n': -10.638573, ' ': -8.421317, 'No': -2.844804, ' no': -10.41075}
{' No': -0.0066060424, ' ': -10.107098, 'No': -5.0318003, ' no': -11.70409, ' NO': -12.407578}
{' No': -0.06210278, '\n': -10.5511055, ' ': -8.344352, 'No': -2.8153605, ' no': -10.67265}
{' No': -0.053270057, '\n': -9.627412, ' ': -7.929203, 'No': -2.9733863, ' no': -8.699319}
{' No': -0.0018107733, '\n': -10.966459, ' ': -8.533931, 'No': -6.462439, ' no': -10.513348}
{' No': -0.009322648, '\n': -11.4026375, ' ': -8.317948, 'No': -4.7119594, ' no': -10.609251}
{' No': -0.011616893, '\n': -9.648635, ' ': -7.9480786, 'No': -4.4998426, ' no': -11.686858}
{' No': -0.0049366197, '\n': -10.8501, ' ': -8.161231, 'No': -5.3889523, ' no': -10.131471}
{' No': -0.011323328, '\n': -8.513986, ' ': -7.3757353, 'No': -4.5673366, ' no': -10.433835}
{' No': -0.012017434, '\n': -8.561025, ' ': -7.3767805, 'No': -4.523877, ' no': -8.307603}
{' No': -0.0010554508, '\n': -11.313462, ' ': -8.96159, 'No': -7.0035114, ' NO': -12.934326}
{' No': -0.0057201786, '\n': -11.128073, ' ': -8.496832, 'No': -5.207483, ' NO': -12.406257}
{' No': -0.0074519124, '\n': -8.741378, ' ': -7.8443217, 'No': -4.982149, ' NO': -12.541737}
{' No': -0.0023608822, '\n': -11.196293, ' ': -8.398742, 'No': -6.1615114, ' NO': -12.27866}
{' No': -0.0071972734, '\n': -9.055294, ' ': -7.493721, 'No': -5.038344, ' NO': -12.368197}
{' No': -0.0029132671, '\n': -10.585978, ' ': -8.384868, 'No': -5.9354887, ' no': -11.974698}
{' No': -0.0033633832, ' ': -10.6215105, 'No': -5.8011694, ' Yes': -8.094419, 'Yes': -13.624249}
{' No': -0.01440869, ' ': -9.796635, 'No': -4.2832646, ' Yes': -7.7346153, 'Yes': -12.120274}
{' No': -0.020385744, ' ': -9.392006, 'No': -3.9287336, ' Yes': -7.797874, 'Yes': -11.803374}
{' No': -0.0044270004, ' ': -10.770483, 'No': -5.448868, ' Yes': -9.305614, ' NO': -13.542487}
{' No': -0.04863314, ' ': -8.649226, 'No': -4.0284038, ' Yes': -3.5350776, 'Yes': -8.070692}
{' No': -0.03126681, ' ': -8.361268, 'No': -4.220674, ' Yes': -4.1543517, 'Yes': -8.962905}
{' No': -0.022063924, ' ': -9.012155, 'No': -7.346364, ' Yes': -3.8622963, 'Yes': -10.8314905}
{' No': -0.012850693, ' ': -9.091066, 'No': -5.441184, ' Yes': -4.795716, 'Yes': -10.01508}
{' No': -0.02494866, ' ': -7.9172654, 'No': -5.375973, ' Yes': -3.9395068, 'Yes': -8.985289}
{' No': -0.006991313, ' ': -9.502236, 'No': -6.692374, ' Yes': -5.1786146, 'Yes': -11.515072}
{' No': -0.049703326, ' ': -7.3087325, 'No': -5.158979, ' Yes': -3.177055, 'Yes': -8.203616}
{' No': -0.05739224, ' ': -7.488666, 'No': -5.2681046, ' Yes': -3.0023766, 'Yes': -8.311466}
{' No': -0.016297616, ' ': -9.295078, 'No': -4.2114635, ' Yes': -6.748805, ' no': -10.291289}
{' No': -0.043053064, ' ': -10.457933, 'No': -4.6023674, ' Yes': -3.4479544, 'Yes': -8.260307}
{' No': -0.30517253, ' ': -8.161874, 'No': -4.148108, ' Yes': -1.4162908, 'Yes': -5.4931393}
{' No': -0.27831274, ' ': -9.2486515, 'No': -5.3365307, ' Yes': -1.4403133, 'Yes': -6.807386}
{' No': -3.3584268, 'No': -6.5611606, ' Yes': -0.055459864, ' yes': -7.7801127, 'Yes': -4.0697875}
{' No': -1.196815, 'No': -4.265741, ' Yes': -0.39876124, ' yes': -7.1493344, 'Yes': -4.4899764}
{' No': -0.0063926456, ' ': -8.15491, 'No': -6.901145, ' Yes': -5.298665, ' no': -9.882575}
{' No': -0.0110228, ' ': -8.061625, 'No': -4.893074, ' Yes': -5.7835374, 'Yes': -10.463509}
{' No': -0.040211268, ' ': -7.1896935, 'No': -5.089829, ' Yes': -3.4372146, 'Yes': -8.248283}
{' No': -0.00717608, ' ': -7.845471, 'No': -5.6517754, ' Yes': -5.752592, ' no': -10.495873}
{' No': -0.024322297, '\n': -8.655277, ' ': -6.7530513, 'No': -4.926349, ' Yes': -4.182401}
{' No': -0.013921787, ' ': -6.784361, 'No': -4.8913097, ' Yes': -5.3917675, ' no': -8.048795}
{' No': -0.013775531, '\n': -11.484273, ' ': -8.524303, 'No': -7.674206, ' Yes': -4.3433785}
{' No': -0.010231164, ' ': -8.369829, 'No': -5.725883, ' Yes': -5.0141983, 'Yes': -10.457966}
{' No': -0.13945831, ' ': -6.956473, 'No': -5.5696874, ' Yes': -2.0828233, 'Yes': -7.3646855}
{' No': -0.006006163, ' ': -8.3980665, 'No': -6.9225993, ' Yes': -5.3479915, 'Yes': -11.788227}
{' No': -0.5479846, ' ': -6.0670905, 'No': -5.7113986, ' Yes': -0.88273954, 'Yes': -6.076425}
{' No': -0.18579055, ' ': -7.014959, 'No': -6.443588, ' Yes': -1.7915682, 'Yes': -8.211125}
{' YES': -11.734202, ' ': -12.382566, ' Yes': -0.002322344, ' yes': -10.17093, 'Yes': -6.0891747}
{' YES': -10.860495, ' ': -11.17116, ' Yes': -0.00869968, ' yes': -9.238934, 'Yes': -4.765135}
{' YES': -10.893495, ' ': -11.198195, ' Yes': -0.01113303, ' yes': -9.448209, 'Yes': -4.514272}
{' YES': -11.851761, ' ': -12.379076, ' Yes': -0.0033573438, ' yes': -10.1903305, 'Yes': -5.7136645}
{' YES': -11.642663, ' ': -11.200522, ' Yes': -0.0080296295, ' yes': -9.761829, 'Yes': -4.839721}
{' YES': -11.117312, ' ': -10.40737, ' Yes': -0.0069999555, ' yes': -8.723747, 'Yes': -4.9972477}
{' YES': -11.392147, ' ': -11.297123, ' Yes': -0.00086900836, ' yes': -9.3373375, 'Yes': -7.191266}
{' YES': -11.0835085, ' ': -10.445931, ' Yes': -0.005532441, ' yes': -9.154538, 'Yes': -5.2296877}
{'\n': -10.584222, ' ': -9.82698, ' Yes': -0.0054158745, ' yes': -9.047725, 'Yes': -5.263093}
