{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' Yes': -0.04924012, 'Yes': -3.3700638, ' No': -4.4154816, 'No': -6.904073, ' yes': -7.686292}
{' Yes': -0.6183258, ' No': -0.96933705, 'No': -3.1573613, 'Yes': -3.272567, ' ': -7.7218747}
{' Yes': -0.05803664, 'Yes': -2.913412, ' No': -6.886579, ' yes': -7.210874, 'No': -9.042589}
{' No': -0.189975, ' Yes': -1.8631183, 'No': -4.164808, 'Yes': -6.1674085, ' ': -9.232826}
{' Yes': -0.011835689, 'Yes': -4.583645, ' No': -6.796009, ' yes': -7.950327, 'No': -10.61422}
{' Yes': -0.28315845, ' No': -1.727603, 'Yes': -3.0802164, 'No': -3.8077173, ' yes': -8.027768}
{' Yes': -0.043542042, 'Yes': -3.1965551, ' No': -6.945834, ' yes': -7.65877, 'No': -9.123784}
{' Yes': -0.47044045, ' No': -1.2066828, 'No': -3.1653218, 'Yes': -3.432728, ' yes': -7.078055}
{' Yes': -0.04378581, 'Yes': -3.2473743, ' yes': -6.098988, ' No': -6.714535, 'No': -8.6847515}
{' Yes': -0.035166048, ' No': -3.4809017, 'Yes': -6.184704, ' yes': -6.572605, ' ': -8.679422}
{' Yes': -0.00310984, 'Yes': -6.271575, ' yes': -7.1278405, ' No': -8.072427, ' ': -9.554805}
{' Yes': -0.26562238, ' No': -1.5134614, 'Yes': -4.7293615, 'No': -5.736422, ' yes': -7.4070125}
{' Yes': -0.025373649, 'Yes': -4.404028, ' No': -4.4419575, ' yes': -7.540235, 'No': -8.298429}
{' Yes': -0.03785701, ' No': -3.6395338, 'Yes': -4.6372848, ' ': -7.9227467, ' yes': -8.00848}
{' Yes': -0.009042453, 'Yes': -4.754804, ' yes': -8.721245, ' No': -9.0062065, ' ': -9.499854}
{' Yes': -0.1787364, ' No': -1.8408438, 'Yes': -5.6939836, 'No': -7.2053666, ' yes': -7.466252}
{' Yes': -0.015248965, ' No': -4.5155025, 'Yes': -5.658113, ' yes': -7.676639, ' ': -8.778131}
{' Yes': -0.13604258, ' No': -2.172639, 'Yes': -4.6154656, 'No': -6.3587236, ' ': -6.896258}
{' Yes': -0.015993474, 'Yes': -4.2142625, ' No': -7.717432, ' ': -8.213984, ' yes': -8.349674}
{' Yes': -0.15249352, ' No': -2.0748932, 'Yes': -4.739842, ' yes': -5.751984, 'No': -6.3018727}
{' Yes': -0.022078304, 'Yes': -4.2407765, ' yes': -5.223433, ' No': -6.618586, ' ': -8.034227}
{' Yes': -0.017025005, ' No': -4.199335, 'Yes': -6.4478073, ' yes': -9.106365, ' ': -9.137102}
{' Yes': -0.0033792334, 'Yes': -6.3676596, ' No': -6.531854, ' yes': -9.1123705, ' ': -9.784482}
{' Yes': -0.072010584, ' No': -2.7989774, 'Yes': -4.9032803, 'No': -7.259372, ' ': -8.181725}
{' Yes': -0.0653278, ' No': -2.9001417, 'Yes': -4.9641905, 'No': -7.3167887, ' ': -7.8905687}
{' Yes': -0.026674245, ' No': -4.0869675, 'Yes': -4.747917, ' ': -7.9721465, 'No': -8.453615}
{' Yes': -0.01706902, 'Yes': -4.6932755, ' No': -4.951023, ' ': -8.161106, '\n': -8.549463}
{' Yes': -0.6352994, ' No': -0.75899667, 'Yes': -6.963142, 'No': -7.206598, ' ': -8.054331}
{' Yes': -0.117170885, ' No': -2.2317681, 'Yes': -6.1095395, ' ': -7.5992775, 'No': -8.126144}
{' Yes': -0.021970209, 'Yes': -4.5558677, ' No': -4.638662, ' ': -7.073005, '\n': -7.785512}
{' Yes': -0.01306487, 'Yes': -4.5193815, ' No': -6.5823627, ' ': -7.854236, '\n': -8.619603}
{' Yes': -0.00731771, ' No': -5.4023867, 'Yes': -6.0026617, ' ': -9.032626, ' yes': -9.055758}
{' Yes': -0.052458655, ' No': -3.0679214, 'Yes': -5.6045346, ' ': -8.144139, 'No': -8.159227}
{' Yes': -0.0053035147, 'Yes': -5.260045, ' yes': -9.579654, ' YES': -11.442177, ' ': -11.746151}
{' Yes': -0.0076022884, 'Yes': -4.8927493, ' yes': -9.809411, ' YES': -11.591548, ' ': -12.137614}
{' Yes': -0.020898446, 'Yes': -3.897779, ' yes': -8.15849, ' YES': -9.885934, ' ': -10.521831}
{' Yes': -0.028651873, 'Yes': -3.5765224, ' yes': -8.490697, ' YES': -10.335217, 'yes': -10.7894745}
{' Yes': -0.025395961, 'Yes': -3.6962998, ' yes': -8.65342, ' YES': -9.868547, ' ': -11.091722}
{' Yes': -0.03912352, 'Yes': -3.2668855, ' yes': -8.676462, ' YES': -10.268402, ' ': -10.910206}
{' Yes': -0.0067218486, 'Yes': -5.0301094, ' yes': -9.090975, ' YES': -10.779795, ' ': -11.123751}
{' Yes': -0.014160252, 'Yes': -4.2725697, ' yes': -9.36871, ' YES': -11.021946, 'yes': -11.970245}
{' Yes': -0.021719093, 'Yes': -3.8507328, ' yes': -8.826614, ' YES': -10.541807, ' ': -10.5688}
{' Yes': -0.0338641, 'Yes': -3.407443, ' yes': -9.106801, ' ': -10.799221, 'yes': -10.8200245}
{' Yes': -0.017452888, 'Yes': -4.087992, ' yes': -7.7890835, ' YES': -9.928642, ' ': -10.2502775}
{' Yes': -0.021487532, 'Yes': -3.8730693, ' yes': -7.9208493, ' YES': -10.108027, ' ': -10.304563}
{' Yes': -0.0009490115, 'Yes': -7.1161065, ' yes': -9.062826, ' YES': -11.4078665, ' ': -12.463425}
{' Yes': -0.0013090722, 'Yes': -6.7185955, ' yes': -9.406319, ' YES': -11.421274, ' ': -12.337759}
{' Yes': -0.0071630534, 'Yes': -4.980176, ' yes': -8.522059, ' YES': -10.29882, ' ': -10.969595}
{' Yes': -0.007652801, 'Yes': -4.8986115, ' yes': -8.99939, ' YES': -10.813832, ' ': -11.20796}
{' Yes': -0.010624221, 'Yes': -4.5821514, ' yes': -8.499596, ' YES': -10.000238, ' ': -10.003569}
{' Yes': -0.010515914, 'Yes': -4.5796475, ' yes': -9.040446, ' ': -10.150732, ' YES': -10.600201}
{' Yes': -0.0019028557, 'Yes': -6.326743, ' yes': -9.310744, ' YES': -11.272215, ' ': -12.219661}
{' Yes': -0.002237036, 'Yes': -6.14483, ' yes': -9.593544, ' YES': -11.206651, ' ': -12.1191845}
{' Yes': -0.00984795, 'Yes': -4.6659336, ' yes': -8.803899, ' ': -8.952897, '\n': -9.605216}
{' Yes': -0.009773192, 'Yes': -4.652971, ' yes': -9.375964, ' ': -9.640975, ' YES': -10.902875}
{' Yes': -0.0057822852, 'Yes': -5.25196, ' yes': -7.869229, '\n': -9.976218, ' ': -10.005803}
{' Yes': -0.008194093, 'Yes': -4.8798833, ' yes': -7.730511, ' ': -10.08258, ' YES': -10.227106}
{' Yes': -0.017523551, 'Yes': -4.0961976, ' yes': -7.411635, ' YES': -9.847056, 'yes': -10.164728}
{' Yes': -0.02855932, 'Yes': -3.6456892, ' yes': -6.306286, 'yes': -9.103756, ' YES': -9.481474}
{' Yes': -0.03298421, 'Yes': -3.4380589, ' yes': -8.291761, 'yes': -10.2719555, ' YES': -10.750029}
{' Yes': -0.032148123, 'Yes': -3.472402, ' yes': -7.644536, 'yes': -9.678248, ' YES': -10.116256}
{' Yes': -0.0684503, 'Yes': -2.7307923, ' yes': -7.40698, ' YES': -8.810044, ' ': -9.364455}
{' Yes': -0.07398666, 'Yes': -2.6560445, ' yes': -7.1599164, 'yes': -8.984017, ' YES': -9.171465}
{' Yes': -0.013113423, 'Yes': -4.373793, ' yes': -8.009098, ' YES': -10.5726185, ' No': -10.645643}
{' Yes': -0.01483739, 'Yes': -4.2574024, ' yes': -7.6014113, 'yes': -10.421493, ' YES': -10.471773}
{' Yes': -0.06365737, 'Yes': -2.793691, ' yes': -8.116141, 'yes': -9.610936, ' ': -9.943912}
{' Yes': -0.049450465, 'Yes': -3.0443254, ' yes': -7.755247, 'yes': -9.405186, ' ': -9.809166}
{' Yes': -0.04582701, 'Yes': -3.1438742, ' yes': -6.5726275, 'yes': -9.0430765, ' YES': -9.534594}
{' Yes': -0.048946254, 'Yes': -3.116266, ' yes': -5.8137903, 'yes': -8.323993, ' YES': -9.038242}
{' Yes': -0.0026688606, 'Yes': -6.2121086, ' yes': -7.414671, ' YES': -10.787794, ' ': -10.796864}
{' Yes': -0.0020931342, 'Yes': -6.413609, ' yes': -7.8058476, ' ': -10.812439, ' YES': -11.18529}
{' Yes': -0.013752329, 'Yes': -4.3612537, ' yes': -7.2238736, ' YES': -9.693527, ' ': -9.823753}
{' Yes': -0.013276855, 'Yes': -4.374496, ' yes': -7.5956297, ' ': -10.299987, 'yes': -10.464195}
{' Yes': -0.009620322, 'Yes': -4.6968474, ' yes': -8.191569, ' ': -9.394172, '\n': -10.099474}
{' Yes': -0.011663447, 'Yes': -4.4807243, ' yes': -8.62203, ' ': -9.952074, ' YES': -11.011469}
{' Yes': -0.0043644975, 'Yes': -5.5905247, ' yes': -7.515576, ' ': -10.563709, ' YES': -10.689981}
{' Yes': -0.005256897, 'Yes': -5.3889103, ' yes': -7.419777, ' ': -10.424395, ' YES': -10.708866}
{' Yes': -0.014284855, 'Yes': -4.306206, ' yes': -7.8601265, ' ': -8.673487, '\n': -9.467995}
{' Yes': -0.017350629, 'Yes': -4.0851717, ' yes': -8.552901, ' ': -9.115836, '\n': -10.267385}
{' Yes': -0.018568572, 'Yes': -4.2981343, ' yes': -5.468935, '\n': -8.486788, ' ': -8.680933}
{' Yes': -0.029027265, 'Yes': -3.806428, ' yes': -5.148467, 'yes': -8.5548315, ' ': -8.804662}
{' Yes': -0.0015026435, 'Yes': -6.590774, ' yes': -9.349287, ' ': -10.945933, ' YES': -11.173209}
{' Yes': -0.0025889582, 'Yes': -6.0255094, ' yes': -9.141716, ' ': -10.520304, ' YES': -10.761681}
{' Yes': -0.008751447, 'Yes': -4.7730584, ' yes': -8.758373, ' ': -9.916544, ' YES': -10.330778}
{' Yes': -0.011471216, 'Yes': -4.4967346, ' yes': -8.78858, ' ': -9.914484, ' YES': -10.381041}
{' Yes': -0.0102294795, 'Yes': -4.627503, '\n': -8.948701, ' yes': -9.002733, ' ': -9.125629}
{' Yes': -0.012405222, 'Yes': -4.4167037, ' yes': -9.1641, '\n': -9.683169, ' ': -9.690135}
{' Yes': -0.0015615626, 'Yes': -6.5350146, ' yes': -9.708861, ' ': -10.5564165, ' YES': -11.168839}
{' Yes': -0.0031030816, 'Yes': -5.8394847, ' yes': -9.097281, ' ': -10.261705, ' YES': -10.466826}
{' Yes': -0.0138791185, 'Yes': -4.332029, ' ': -8.2569275, '\n': -8.409093, ' yes': -8.96083}
{' Yes': -0.012990958, 'Yes': -4.374223, ' ': -8.967018, '\n': -9.411123, ' yes': -9.4468355}
{' Yes': -0.0030037144, 'Yes': -5.866204, ' yes': -9.258291, ' ': -10.190932, '\n': -10.878766}
{' Yes': -0.0041387104, 'Yes': -5.533891, ' yes': -9.01184, ' ': -10.66837, '\n': -10.971967}
{' Yes': -0.007024568, 'Yes': -5.649516, ' No': -5.7004595, ' yes': -9.43926, 'No': -10.22202}
{' No': -0.123861134, ' Yes': -2.237106, 'No': -4.7154827, 'Yes': -7.2895336, ' ': -9.461657}
{' Yes': -0.029241923, 'Yes': -3.6900158, ' No': -5.757778, ' yes': -8.0031395, 'No': -8.271423}
{' No': -0.08518415, ' Yes': -3.0369947, 'No': -3.4212592, 'Yes': -7.039537, ' ': -9.105351}
{' Yes': -0.050566107, 'Yes': -3.6152098, ' No': -3.8862574, 'No': -6.4763494, ' yes': -8.510607}
{' No': -0.12305198, ' Yes': -2.587621, 'No': -3.2644305, 'Yes': -6.19085, ' ': -8.184287}
{' Yes': -0.014186489, 'Yes': -4.8570127, ' No': -5.1137176, 'No': -8.89732, ' yes': -9.06759}
{' No': -0.26314574, ' Yes': -1.5115817, 'No': -4.704357, 'Yes': -6.433132, ' ': -8.989534}
{' Yes': -0.044542897, 'Yes': -3.4676745, ' No': -4.5131073, 'No': -6.85804, ' yes': -8.587759}
{' No': -0.09603033, ' Yes': -2.9978876, 'No': -3.2105377, 'Yes': -6.7894316, ' ': -8.595833}
{' Yes': -0.012292312, 'Yes': -4.5350084, ' No': -6.9335184, ' yes': -7.8992586, ' ': -9.633403}
{' Yes': -0.6653117, ' No': -0.7736777, 'No': -4.091148, 'Yes': -4.997856, ' ': -7.452427}
{' Yes': -0.0014627686, 'Yes': -6.652744, ' yes': -8.949531, ' No': -10.852374, ' ': -11.53795}
{' Yes': -0.00452076, ' No': -5.687143, 'Yes': -6.9201126, ' yes': -9.34543, ' ': -10.320688}
{' Yes': -0.011320013, 'Yes': -4.7730045, ' No': -6.0193267, ' yes': -8.522225, ' ': -9.32998}
{' Yes': -0.115407005, ' No': -2.2729406, 'Yes': -5.345439, 'No': -7.0351105, ' ': -8.541147}
{' Yes': -0.014735644, 'Yes': -4.5973697, ' No': -5.51402, ' yes': -8.599486, ' ': -8.67957}
{' Yes': -0.356906, ' No': -1.2414771, 'Yes': -4.9830046, 'No': -5.631692, ' ': -7.444798}
{' Yes': -0.0052207042, ' No': -5.7325687, 'Yes': -6.310556, ' yes': -9.307943, ' ': -10.326684}
{' No': -0.36437476, ' Yes': -1.1932418, 'No': -6.6366854, 'Yes': -7.545449, ' ': -8.285507}
{' Yes': -0.04171346, ' No': -3.5707014, 'Yes': -4.530988, ' ': -6.9539676, 'No': -7.5527167}
{' No': -0.43894657, ' Yes': -1.0678241, 'No': -4.981936, 'Yes': -5.776383, ' ': -6.646204}
{' Yes': -0.0072933924, 'Yes': -5.071878, ' yes': -7.698257, ' No': -8.267033, ' ': -8.952598}
{' Yes': -0.033767175, ' No': -3.5908463, 'Yes': -5.443782, ' ': -7.6242495, ' yes': -7.905654}
{' Yes': -0.02232756, 'Yes': -4.0374737, ' No': -5.7272964, ' yes': -7.0333323, 'No': -8.721397}
{' Yes': -0.47063443, ' No': -1.0518398, 'No': -4.26481, 'Yes': -4.538923, ' yes': -6.9527473}
{' Yes': -0.035096347, 'Yes': -3.4423323, ' No': -6.257821, ' yes': -8.042015, 'No': -8.569276}
{' Yes': -0.32084823, ' No': -1.4316385, 'Yes': -3.97821, 'No': -4.123983, ' yes': -7.6871867}
{' Yes': -0.11202082, 'Yes': -2.288033, ' No': -6.120869, ' yes': -6.6704736, 'No': -7.5284595}
{' Yes': -0.09471738, 'Yes': -3.079922, ' No': -3.2400553, 'No': -5.5371265, ' yes': -6.976176}
{' Yes': -0.062804565, ' No': -3.150037, 'Yes': -4.145128, 'No': -6.5855746, ' yes': -7.359271}
{' No': -0.11879685, ' Yes': -2.2848487, 'No': -4.6772203, 'Yes': -7.167434, ' ': -9.304798}
{' Yes': -0.101759315, 'Yes': -2.490246, ' No': -4.555426, 'No': -6.0032387, ' yes': -7.5913796}
{' Yes': -0.14041303, ' No': -2.567531, 'Yes': -3.1276183, 'No': -4.6650906, ' yes': -7.37067}
{' Yes': -0.051681675, 'Yes': -3.0620766, ' yes': -6.283975, ' No': -6.721082, 'No': -8.479215}
{' Yes': -0.07885419, ' No': -3.3683589, 'Yes': -3.431271, ' yes': -5.452847, 'No': -5.510981}
{' Yes': -0.0033519017, 'Yes': -6.059979, ' yes': -7.035839, ' ': -9.735662, ' No': -10.3201275}
{' Yes': -0.003462487, ' No': -6.5020432, 'Yes': -6.8383756, ' yes': -7.14934, ' ': -9.436835}
{' Yes': -0.014918397, 'Yes': -4.3672605, ' No': -6.8897295, ' yes': -7.1056733, ' ': -8.632157}
{' Yes': -0.19543202, ' No': -1.7894222, 'Yes': -4.970691, 'No': -6.102475, ' yes': -7.377789}
{' Yes': -0.015240854, 'Yes': -4.3428583, ' No': -6.883956, ' ': -7.69987, ' yes': -7.723851}
{' Yes': -0.5310888, ' No': -0.9316644, 'Yes': -4.7863073, 'No': -4.8456335, ' ': -6.5107775}
{' Yes': -0.006467033, 'Yes': -5.6892214, ' No': -6.0892305, ' yes': -7.3919573, ' ': -9.061734}
{' No': -0.20758724, ' Yes': -1.6978654, 'No': -5.872884, ' ': -7.1843495, 'Yes': -7.38246}
{' Yes': -0.015688859, 'Yes': -4.628308, ' No': -5.471928, ' ': -7.0200925, ' yes': -7.8462358}
{' Yes': -0.24966712, ' No': -1.5920038, 'Yes': -4.5866556, 'No': -5.586962, ' ': -5.946282}
{' Yes': -0.0142178675, 'Yes': -4.6556435, ' yes': -5.80509, ' No': -7.3183804, ' ': -7.6531315}
{' Yes': -0.28069592, ' No': -1.4967642, 'Yes': -4.904589, ' ': -5.4801965, ' yes': -5.4831014}
{' Yes': -0.0020438607, 'Yes': -6.32842, ' yes': -8.835855, ' ': -9.786078, ' No': -10.759963}
{' Yes': -0.00711965, ' No': -5.2170286, 'Yes': -6.6101675, ' ': -8.794734, ' yes': -9.072898}
{' Yes': -0.009097605, 'Yes': -4.844646, ' No': -7.2683916, ' ': -8.423652, ' yes': -8.551568}
{' Yes': -0.25640076, ' No': -1.5199945, 'Yes': -5.42802, 'No': -6.303483, ' ': -6.905071}
{' Yes': -0.010734049, 'Yes': -4.833581, ' No': -6.321706, ' ': -7.6741076, '\n': -8.207438}
{' No': -0.3193604, ' Yes': -1.3673341, 'No': -4.549495, ' ': -5.7053924, 'Yes': -5.8169913}
{' Yes': -0.016612155, ' No': -4.2528543, 'Yes': -6.4323244, ' ': -7.7638063, ' yes': -9.113183}
{' No': -0.07518069, ' Yes': -2.6730962, 'No': -6.219118, ' ': -6.7540474, 'Yes': -8.83802}
{' Yes': -0.0191123, 'Yes': -4.458874, ' No': -5.3364987, ' ': -6.4336147, '\n': -7.4697957}
{' No': -0.13605247, ' Yes': -2.174064, 'No': -4.6961145, ' ': -5.9937825, 'Yes': -6.842401}
{' Yes': -0.003417811, 'Yes': -5.786401, ' yes': -8.681784, ' ': -9.273193, '\n': -10.06429}
{' Yes': -0.24807882, ' No': -1.5449138, 'Yes': -5.995029, ' ': -6.219049, 'No': -6.637283}
{' No': -0.00942728, 'No': -4.671817, ' ': -10.846974, ' NO': -12.486329, ' no': -13.387917}
{' No': -0.007925809, 'No': -4.84451, ' ': -10.866695, ' no': -13.598412, ' NO': -13.62916}
{' No': -0.06083136, 'No': -2.8321342, ' ': -9.470774, ' NO': -10.285715, ' no': -11.561958}
{' No': -0.03130088, 'No': -3.4817858, ' ': -9.9726515, ' NO': -11.649644, ' no': -12.21044}
{' No': -0.061200216, 'No': -2.825776, ' ': -9.618987, ' NO': -10.705482, ' no': -12.346028}
{' No': -0.03472725, 'No': -3.3800795, ' ': -9.619479, ' NO': -11.396251, ' no': -12.580595}
{' No': -0.011578963, 'No': -4.4683104, ' ': -10.339959, ' NO': -11.896133, ' no': -12.514688}
{' No': -0.0072693177, 'No': -4.931589, ' ': -10.669027, ' NO': -13.121796, ' no': -13.221546}
{' No': -0.07610045, 'No': -2.6163607, ' ': -8.869651, ' NO': -10.568707, '\n': -11.34975}
{' No': -0.03893666, 'No': -3.2689528, ' ': -9.044319, ' NO': -11.987034, ' no': -12.034613}
{' No': -0.026867153, 'No': -3.6385155, ' ': -8.815956, ' no': -10.813561, ' NO': -10.857689}
{' No': -0.026749605, 'No': -3.6451614, ' ': -8.588059, ' no': -10.535748, ' NO': -10.688341}
{' No': -0.0012073187, 'No': -6.7495975, ' ': -10.546164, ' NO': -12.583266, ' no': -12.922813}
{' No': -0.0014843154, 'No': -6.546034, ' ': -10.145357, '\n': -12.749152, ' no': -12.822614}
{' No': -0.011604891, 'No': -4.469151, ' ': -9.727699, ' NO': -11.631455, ' no': -12.184796}
{' No': -0.0078572, 'No': -4.8626814, ' ': -9.403935, ' NO': -12.219263, ' no': -12.39408}
{' No': -0.012495447, 'No': -4.405518, ' ': -8.866176, '\n': -10.118392, ' NO': -11.099081}
{' No': -0.008964204, 'No': -4.732288, ' ': -9.247729, '\n': -11.413435, ' NO': -12.27119}
{' No': -0.0022498795, 'No': -6.1150084, ' ': -10.471839, ' NO': -12.420741, '\n': -12.772995}
{' No': -0.0018371661, 'No': -6.3205113, ' ': -10.378382, ' NO': -13.224305, '\n': -13.360052}
{' No': -0.012724397, 'No': -4.4032764, ' ': -8.128874, '\n': -9.378519, ' NO': -11.162938}
{' No': -0.008421818, 'No': -4.802838, ' ': -8.855445, '\n': -10.577365, ' NO': -12.225798}
{' No': -0.008715251, 'No': -4.7770486, ' ': -8.927899, '\n': -9.286741, ' no': -11.169448}
{' No': -0.006433857, 'No': -5.0822797, ' ': -8.948535, '\n': -9.937784, ' no': -10.951099}
{' No': -0.03323275, 'No': -3.4263487, ' ': -9.222997, ' NO': -10.233009, ' no': -10.35749}
{' No': -0.027395014, 'No': -3.6185606, ' ': -9.442517, ' no': -9.47066, ' NO': -10.665337}
{' No': -0.103123724, 'No': -2.3247557, ' ': -9.249162, ' no': -10.708716, 'no': -10.770199}
{' No': -0.09387375, 'No': -2.4142835, ' ': -9.741589, ' no': -9.808564, 'no': -10.601701}
{' No': -0.22991452, 'No': -1.5865716, ' ': -7.9181366, ' NO': -9.111779, '\n': -9.121866}
{' No': -0.10906647, 'No': -2.2741377, ' ': -8.50082, ' no': -9.422763, ' NO': -9.826638}
{' No': -0.025310986, 'No': -3.6947212, ' ': -9.55188, ' no': -10.436535, ' NO': -10.469767}
{' No': -0.008244455, 'No': -4.8124585, ' ': -10.014886, ' no': -10.604793, ' NO': -11.674941}
{' No': -0.16024129, 'No': -1.9128829, ' ': -8.385758, '\n': -9.854299, ' NO': -10.066589}
{' No': -0.10586703, 'No': -2.3016884, ' ': -8.577882, ' no': -9.832913, ' NO': -10.297475}
{' No': -0.100238085, 'No': -2.3573887, ' ': -8.033753, ' no': -8.65819, ' NO': -9.650569}
{' No': -0.08048091, 'No': -2.581238, ' no': -7.3451524, ' ': -7.803437, ' NO': -8.838118}
{' No': -0.002367156, 'No': -6.126411, ' ': -8.985928, ' no': -10.333664, '\n': -11.412928}
{' No': -0.0016504566, 'No': -6.507115, ' ': -9.178444, ' no': -10.0887985, '\n': -12.007179}
{' No': -0.020912748, 'No': -3.8930042, ' ': -8.336309, ' no': -10.365803, ' NO': -10.754883}
{' No': -0.008962699, 'No': -4.739317, ' ': -8.890653, ' no': -10.527701, ' NO': -11.926552}
{' No': -0.016489806, 'No': -4.1367345, ' ': -8.345408, '\n': -9.112381, ' NO': -11.070425}
{' No': -0.019125666, 'No': -3.9827101, ' ': -8.290422, '\n': -10.287312, ' no': -11.370413}
{' No': -0.0038524184, 'No': -5.5925627, ' ': -9.407033, ' no': -10.844179, ' NO': -11.6201}
{' No': -0.004065452, 'No': -5.5578146, ' ': -8.815389, ' no': -10.286248, '\n': -11.553994}
{' No': -0.010292226, 'No': -4.638603, ' ': -7.751314, '\n': -9.208913, ' no': -11.115793}
{' No': -0.013725678, 'No': -4.331583, ' ': -7.9311786, '\n': -9.415285, ' no': -10.508022}
{' No': -0.014565441, 'No': -4.296483, ' ': -7.851601, '\n': -8.198219, ' no': -8.900828}
{' No': -0.015319047, 'No': -4.2809534, ' ': -7.3515997, ' no': -7.7423773, '\n': -8.336303}
{' No': -0.0026711915, 'No': -5.984637, ' ': -9.048542, '\n': -10.770904, ' NO': -11.85018}
{' No': -0.0020740824, 'No': -6.2708, ' ': -8.867193, '\n': -10.377626, ' NO': -12.3364105}
{' No': -0.015383387, 'No': -4.202479, ' ': -8.309864, '\n': -10.234558, ' NO': -11.0907135}
{' No': -0.00794972, 'No': -4.8711185, ' ': -8.427522, '\n': -10.792281, ' NO': -11.8215885}
{' No': -0.013209449, 'No': -4.3706136, ' ': -8.096365, '\n': -8.788262, ' NO': -11.354456}
{' No': -0.012510052, 'No': -4.427301, ' ': -7.9230723, '\n': -9.129569, ' NO': -12.087123}
{' No': -0.002924805, 'No': -5.912068, ' ': -8.628847, '\n': -10.993488, ' NO': -11.3475685}
{' No': -0.0023066357, 'No': -6.1816254, ' ': -8.472832, '\n': -11.053553, ' NO': -11.981533}
{' No': -0.017138083, 'No': -4.1593785, ' ': -7.0636334, '\n': -7.6477513, ' NO': -10.945496}
{' No': -0.011633595, 'No': -4.511313, ' ': -7.7022195, '\n': -9.057006, ' NO': -12.164579}
{' No': -0.0053675133, 'No': -5.2792115, ' ': -8.6444845, '\n': -9.670923, ' NO': -11.858908}
{' No': -0.004975434, 'No': -5.357026, ' ': -8.546421, '\n': -10.332466, ' no': -11.365144}
{' No': -0.25488836, ' Yes': -1.5293044, 'No': -4.956951, 'Yes': -6.697504, ' ': -10.715796}
{' No': -0.020098716, ' Yes': -4.6028676, 'No': -4.6291914, 'Yes': -9.357304, ' ': -10.735462}
{' No': -0.5965246, ' Yes': -0.8834089, 'No': -3.6401682, 'Yes': -4.6609354, ' yes': -9.235442}
{' No': -0.039432302, 'No': -3.5106292, ' Yes': -4.7661414, 'Yes': -8.542554, ' ': -9.684788}
{' Yes': -0.68427753, ' No': -0.785367, 'No': -3.73355, 'Yes': -4.1737523, ' ': -8.983756}
{' Yes': -0.71320975, ' No': -0.7675806, 'No': -3.5848107, 'Yes': -4.0333447, ' ': -8.421751}
{' No': -0.4456487, ' Yes': -1.0475202, 'No': -4.9812856, 'Yes': -6.297375, ' ': -10.172907}
{' No': -0.12052234, ' Yes': -2.3014035, 'No': -4.3927045, 'Yes': -6.925507, ' ': -9.78826}
{' Yes': -0.09063166, ' No': -2.7226963, 'Yes': -4.0446243, 'No': -5.7478733, ' yes': -9.059877}
{' Yes': -0.21424215, ' No': -1.8246871, 'Yes': -3.853896, 'No': -4.602721, ' ': -8.652734}
{' Yes': -0.040999744, ' No': -3.719699, 'Yes': -4.246448, 'No': -6.822562, ' yes': -7.89103}
{' Yes': -0.40132338, ' No': -1.1708508, 'No': -4.5031815, 'Yes': -4.74045, ' ': -8.049128}
{' Yes': -0.04725309, ' No': -3.1009238, 'Yes': -6.9734535, ' yes': -9.164301, 'No': -9.817575}
{' Yes': -0.4020699, ' No': -1.1095818, 'Yes': -7.113184, 'No': -7.7191186, ' yes': -9.776669}
{' Yes': -0.21244547, ' No': -1.6950352, 'Yes': -5.170041, 'No': -6.2933016, ' yes': -8.959479}
{' No': -0.20580126, ' Yes': -1.7350066, 'No': -4.8246017, 'Yes': -6.5916085, ' ': -8.732082}
{' Yes': -0.4876512, ' No': -0.97889847, 'Yes': -5.1213617, 'No': -5.57248, ' ': -8.468875}
{' No': -0.44600815, ' Yes': -1.0486654, 'No': -5.1501193, 'Yes': -5.7749987, ' ': -7.8135233}
{' Yes': -0.5228111, ' No': -0.90362275, 'Yes': -6.762913, 'No': -7.187426, ' ': -9.687205}
{' No': -0.26215455, ' Yes': -1.4779652, 'No': -6.3109694, 'Yes': -7.49139, ' ': -9.257524}
{' Yes': -0.103241354, ' No': -2.4389882, 'Yes': -4.723812, 'No': -6.8004403, ' ': -7.592191}
{' No': -0.5690952, ' Yes': -0.85829705, 'No': -5.211315, 'Yes': -5.6500106, ' ': -7.033628}
{' Yes': -0.14521927, ' No': -2.0457702, 'Yes': -5.4887667, 'No': -6.9737067, ' yes': -7.9800487}
{' Yes': -0.31175992, ' No': -1.3455297, 'Yes': -5.5184135, 'No': -6.08896, ' ': -7.3763857}
{' Yes': -0.6639709, ' No': -0.76861185, 'No': -4.295408, 'Yes': -4.8860455, ' yes': -8.486038}
{' Yes': -0.33323857, ' No': -1.3104496, 'Yes': -4.929504, 'No': -5.150144, ' yes': -7.5667834}
{' No': -0.29039398, ' Yes': -1.5935842, 'No': -3.1711218, 'Yes': -5.0044174, ' yes': -9.409623}
{' No': -0.65180224, ' Yes': -0.830128, 'No': -3.5249445, 'Yes': -4.3370023, ' yes': -8.315603}
{' Yes': -0.56374645, ' No': -1.0980827, 'Yes': -3.0030375, 'No': -3.069352, ' yes': -7.6466274}
