{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{' No': -0.00550697, ' ': -10.821247, 'No': -5.268412, ' Yes': -8.059843, 'Yes': -13.286131}
{' No': -0.032665037, ' ': -9.736852, 'No': -3.446014, ' Yes': -8.567927, 'Yes': -12.274876}
{' No': -0.04414743, ' ': -9.09383, 'No': -3.1551476, ' Yes': -7.7845263, 'Yes': -11.159286}
{' No': -0.008987659, ' ': -11.216059, 'No': -4.7377987, ' Yes': -8.668043, 'Yes': -13.462133}
{' No': -0.05465457, ' ': -9.021361, 'No': -3.2211335, ' Yes': -4.353271, 'Yes': -8.211505}
{' No': -0.09444011, ' ': -8.273952, 'No': -3.9062915, ' Yes': -2.6722658, 'Yes': -7.4406104}
{' No': -0.009784088, ' ': -9.908582, 'No': -7.0616274, ' Yes': -4.731797, 'Yes': -11.493957}
{' No': -0.020001965, ' ': -9.285375, 'No': -4.822198, ' Yes': -4.4599066, 'Yes': -9.363313}
{' No': -0.3537725, ' ': -7.991559, 'No': -5.362001, ' Yes': -1.2337469, 'Yes': -6.4159427}
{' No': -0.0022585432, '\n': -13.093211, ' ': -10.1829605, 'No': -6.456138, ' Yes': -7.3518023}
{' No': -0.0481127, ' ': -7.7944064, 'No': -4.8944964, ' Yes': -3.2513938, 'Yes': -8.186742}
{' No': -0.18368083, ' ': -7.615998, 'No': -4.73244, ' Yes': -1.8510067, 'Yes': -6.764102}
{' No': -0.01769814, ' ': -9.480642, 'No': -4.1573215, ' Yes': -6.342062, 'Yes': -10.801952}
{' No': -0.017282283, ' ': -11.36376, 'No': -4.1268764, ' Yes': -6.937597, 'Yes': -11.19451}
{' No': -0.11963679, ' ': -9.194393, 'No': -3.6500778, ' Yes': -2.466999, 'Yes': -6.344623}
{' No': -0.05968569, ' ': -9.992476, 'No': -4.8378897, ' Yes': -3.0037527, 'Yes': -7.9875207}
{' No': -1.2009422, 'No': -4.1966085, ' Yes': -0.40063965, ' yes': -8.3212185, 'Yes': -4.2943068}
{' No': -2.8324237, 'No': -5.7856307, ' Yes': -0.07998426, ' yes': -6.643205, 'Yes': -4.3194785}
{' No': -0.0051719933, ' ': -8.54345, 'No': -6.4380674, ' Yes': -5.7065477, ' no': -10.892194}
{' No': -0.013352603, ' ': -8.551602, 'No': -4.5056634, ' Yes': -6.224587, 'Yes': -10.749793}
{' No': -0.096286334, ' ': -7.2521334, 'No': -4.832212, ' Yes': -2.4963584, 'Yes': -7.341817}
{' No': -0.0043421686, ' ': -8.556846, 'No': -5.5734396, ' Yes': -8.052582, ' no': -11.570931}
{' No': -0.014781735, '\n': -9.413928, ' ': -7.4880056, 'No': -4.5791125, ' Yes': -5.595741}
{' No': -0.021136023, '\n': -8.495189, ' ': -6.71073, 'No': -4.3425794, ' Yes': -5.0828347}
{' No': -0.0041988026, '\n': -11.47591, ' ': -9.328608, 'No': -6.8702335, ' Yes': -5.7944894}
{' No': -0.008586588, ' ': -8.934472, 'No': -5.1581626, ' Yes': -5.9367537, 'Yes': -11.157903}
{' No': -0.022905717, '\n': -8.95182, ' ': -7.73482, 'No': -5.018467, ' Yes': -4.177115}
{' No': -0.0018015191, '\n': -12.130205, ' ': -9.094879, 'No': -6.771186, ' Yes': -7.539422}
{' No': -0.1305151, ' ': -6.8489885, 'No': -4.7712374, ' Yes': -2.1923587, 'Yes': -6.997483}
{' No': -0.0682081, ' ': -7.791688, 'No': -6.240316, ' Yes': -2.758468, 'Yes': -9.068036}
{' YES': -12.2295685, ' ': -11.693054, ' Yes': -0.0036533666, ' yes': -9.860836, 'Yes': -5.633076}
{' ': -11.021028, ' Yes': -0.015779577, ' yes': -8.810353, 'Yes': -4.169348, 'yes': -11.153218}
{' YES': -11.033476, ' ': -10.821868, ' Yes': -0.021765755, ' yes': -8.933942, 'Yes': -3.8469036}
{' YES': -12.293436, ' ': -11.784285, ' Yes': -0.0068330476, ' yes': -9.776999, 'Yes': -5.0003}
{' ': -11.146476, ' Yes': -0.014133231, ' yes': -9.525453, 'Yes': -4.27408, 'yes': -11.228358}
{' ': -10.477455, ' Yes': -0.009201428, ' yes': -8.712097, 'Yes': -4.716635, 'yes': -11.544187}
{' YES': -12.110464, ' ': -11.22901, ' Yes': -0.0010476356, ' yes': -9.221855, 'Yes': -6.985752}
{' YES': -11.745096, ' ': -10.329733, ' Yes': -0.0073734904, ' yes': -9.112634, 'Yes': -4.936109}
{'\n': -10.513729, ' ': -9.927421, ' Yes': -0.006267881, ' yes': -9.005144, 'Yes': -5.110588}
{' YES': -12.53053, ' ': -11.437306, ' Yes': -0.0012822766, ' yes': -9.89245, 'Yes': -6.7146873}
{'\n': -10.15004, ' ': -9.330132, ' Yes': -0.0074005714, ' yes': -9.366695, 'Yes': -4.94149}
{'\n': -10.038077, ' ': -9.3532715, ' Yes': -0.009315913, ' yes': -7.764219, 'Yes': -4.7474976}
{' ': -10.789227, ' Yes': -0.011715491, ' yes': -7.700056, 'Yes': -4.4983582, 'yes': -10.408138}
{' YES': -12.886799, ' Yes': -0.012394779, ' yes': -9.388353, 'Yes': -4.404765, 'yes': -11.412079}
{' ': -10.93816, ' Yes': -0.02635022, ' yes': -7.8744216, 'Yes': -3.667526, 'yes': -9.896854}
{' ': -11.642578, ' Yes': -0.009904957, ' yes': -8.258138, 'Yes': -4.6503143, 'yes': -10.811911}
{' ': -10.662652, ' Yes': -0.024344893, ' yes': -8.429212, 'Yes': -3.7399762, 'yes': -10.082953}
{' ': -9.969884, ' Yes': -0.022985853, ' yes': -6.7602997, 'Yes': -3.8451865, 'yes': -9.218634}
{' ': -9.896826, ' Yes': -0.0027457802, ' yes': -7.386297, 'Yes': -6.1930776, 'yes': -11.364802}
{' ': -9.307286, ' Yes': -0.011308679, ' yes': -7.469957, 'Yes': -4.5540867, 'yes': -10.240084}
{'\n': -10.434364, ' ': -9.506566, ' Yes': -0.007848487, ' yes': -8.60208, 'Yes': -4.8915915}
{' ': -9.878028, ' Yes': -0.004947462, ' yes': -7.742542, 'Yes': -5.4244266, 'yes': -10.663253}
{'\n': -9.336292, ' ': -8.490437, ' Yes': -0.011758974, ' yes': -8.602669, 'Yes': -4.494072}
{'\n': -8.5394745, ' ': -8.270031, ' Yes': -0.01864709, ' yes': -5.50186, 'Yes': -4.28679}
{'\n': -11.4766, ' ': -10.503549, ' Yes': -0.001184104, ' yes': -9.69654, 'Yes': -6.83386}
{' YES': -11.812046, ' ': -9.85893, ' Yes': -0.0057175998, ' yes': -9.469157, 'Yes': -5.193593}
{'\n': -9.821918, ' ': -9.65231, ' Yes': -0.0054619, ' yes': -9.475295, 'Yes': -5.2514734}
{'\n': -12.214401, ' ': -10.3941965, ' Yes': -0.0012249213, ' yes': -9.897972, 'Yes': -6.7831}
{'\n': -10.01996, ' ': -9.162546, ' Yes': -0.011334057, ' yes': -9.67074, 'Yes': -4.5059}
{'\n': -11.125321, ' ': -10.241208, ' Yes': -0.0019523648, ' yes': -9.697489, 'Yes': -6.30107}
{' No': -10.188948, ' ': -11.347967, ' Yes': -0.0021675627, ' yes': -10.1260395, 'Yes': -6.179284}
{' No': -9.870292, ' ': -10.619983, ' Yes': -0.011262384, ' yes': -9.043742, 'Yes': -4.51107}
{' No': -9.544171, ' ': -10.381742, ' Yes': -0.017224673, ' yes': -9.124284, 'Yes': -4.083783}
{' No': -10.748389, ' ': -11.467046, ' Yes': -0.004187731, ' yes': -10.093459, 'Yes': -5.496602}
{' No': -8.7367325, ' ': -10.300365, ' Yes': -0.011360824, ' yes': -9.482807, 'Yes': -4.5093236}
{' No': -10.279084, ' ': -10.297982, ' Yes': -0.008443099, ' yes': -8.537732, 'Yes': -4.8127317}
{' YES': -12.598858, ' ': -10.910382, ' Yes': -0.0009300986, ' yes': -9.0958395, 'Yes': -7.142043}
{' No': -11.377828, ' ': -10.227113, ' Yes': -0.0058572264, ' yes': -9.103057, 'Yes': -5.1730514}
{'\n': -11.113122, ' ': -9.63058, ' Yes': -0.005431994, ' yes': -8.984448, 'Yes': -5.2607512}
{' No': -12.150771, ' ': -10.928422, ' Yes': -0.0013116975, ' yes': -9.674207, 'Yes': -6.7095823}
{' No': -10.177638, ' ': -8.508449, ' Yes': -0.0067956, ' yes': -9.010937, 'Yes': -5.0560966}
{'\n': -10.324417, ' ': -9.089949, ' Yes': -0.007012142, ' yes': -7.5339127, 'Yes': -5.073422}
{' No': -8.658306, ' ': -10.206845, ' Yes': -0.010487846, ' yes': -7.4842043, 'Yes': -4.645219}
{' No': -10.328957, ' Yes': -0.012385125, ' yes': -9.425671, 'Yes': -4.40799, 'yes': -11.684394}
{' ': -10.527526, ' Yes': -0.017666899, ' yes': -7.827735, 'Yes': -4.072015, 'yes': -10.403487}
{' ': -11.102079, ' Yes': -0.008036477, ' yes': -8.177235, 'Yes': -4.8694067, 'yes': -11.069023}
{' ': -9.841156, ' Yes': -0.025666837, ' yes': -7.790572, 'Yes': -3.697, 'yes': -9.842563}
{' ': -9.999826, ' Yes': -0.015340535, ' yes': -6.6164217, 'Yes': -4.2866054, 'yes': -9.68896}
{' ': -9.787069, ' Yes': -0.0021456995, ' yes': -7.2291756, 'Yes': -6.6138244, 'yes': -11.468378}
{' ': -9.392444, ' Yes': -0.010297106, ' yes': -7.4092927, 'Yes': -4.656186, 'yes': -10.26101}
{'\n': -10.921803, ' ': -8.740176, ' Yes': -0.007907484, ' yes': -8.313388, 'Yes': -4.9024005}
{' No': -9.873756, ' ': -8.683426, ' Yes': -0.0053125033, ' yes': -7.2311363, 'Yes': -5.448725}
{' No': -10.099298, ' ': -7.9268885, ' Yes': -0.010316675, ' yes': -7.896035, 'Yes': -4.6663375}
{' ': -7.5037723, ' Yes': -0.014680417, ' yes': -5.3396926, 'Yes': -4.718227, 'yes': -8.918937}
{'\n': -11.876611, ' ': -10.09283, ' Yes': -0.0009859399, ' yes': -9.4881735, 'Yes': -7.0668826}
{' No': -9.8296585, ' ': -9.312088, ' Yes': -0.0053042937, ' yes': -9.415878, 'Yes': -5.2881503}
{'\n': -9.790466, ' ': -8.485762, ' Yes': -0.0067944597, ' yes': -9.286055, 'Yes': -5.054873}
{' No': -9.103548, ' ': -9.298068, ' Yes': -0.0014430091, ' yes': -9.466107, 'Yes': -6.7669497}
{' No': -8.429045, '\n': -8.351559, ' ': -7.19994, ' Yes': -0.0074641034, 'Yes': -5.0970507}
{'\n': -10.40336, ' ': -8.843712, ' Yes': -0.0023844207, ' yes': -8.894396, 'Yes': -6.1899223}
{' No': -0.006981952, ' ': -10.063289, 'No': -4.9747896, ' no': -13.490178, ' NO': -13.507067}
{' No': -0.024902828, ' ': -9.8427925, 'No': -3.7078686, ' no': -12.666613, ' NO': -12.051855}
{' No': -0.0397325, ' ': -9.061228, 'No': -3.248795, ' no': -12.70343, ' NO': -12.072027}
{' No': -0.00870016, ' ': -10.808245, 'No': -4.7514863, ' no': -13.698197, ' NO': -13.657169}
{' No': -0.028894551, '\n': -12.232602, ' ': -9.009785, 'No': -3.5635529, ' NO': -12.32488}
{' No': -0.027892873, ' ': -8.98776, 'No': -3.5989435, ' no': -11.558902, ' NO': -12.207511}
{' No': -0.0016549949, '\n': -12.266196, ' ': -9.61617, 'No': -6.4528093, ' no': -12.584839}
{' No': -0.01200223, '\n': -11.82611, ' ': -9.020968, 'No': -4.4403067, ' no': -12.59229}
{' No': -0.009440818, '\n': -9.965215, ' ': -8.764987, 'No': -4.690664, ' no': -12.515234}
{' No': -0.0027970034, '\n': -12.212856, ' ': -9.685147, 'No': -5.9066973, ' no': -13.209965}
{' No': -0.009602869, '\n': -9.968293, ' ': -8.224778, 'No': -4.685512, ' no': -12.421072}
{' No': -0.0132822925, '\n': -9.030282, ' ': -8.245505, 'No': -4.3603454, ' no': -10.743227}
{' No': -0.025111776, ' ': -9.050143, 'No': -3.7048295, ' no': -9.965636, ' NO': -11.495833}
{' No': -0.028731244, ' ': -10.563, 'No': -3.5654285, 'no': -12.887504, ' no': -12.16839}
{' No': -0.043544903, '\n': -11.72521, ' ': -8.8421135, 'No': -3.160137, ' no': -11.108213}
{' No': -0.012834997, ' ': -9.836636, 'No': -4.3680997, ' no': -11.208758, ' NO': -12.409705}
{' No': -0.0784996, '\n': -10.460635, ' ': -8.419226, 'No': -2.588, ' no': -10.647966}
{' No': -0.058155205, '\n': -9.710755, ' ': -7.998655, 'No': -2.8864117, ' no': -8.727645}
{' No': -0.0026826062, '\n': -11.00101, ' ': -8.260796, 'No': -6.044896, ' no': -10.544411}
{' No': -0.022207132, '\n': -10.966494, ' ': -7.985918, 'No': -3.8367424, ' no': -10.594227}
{' No': -0.015406025, '\n': -9.418697, ' ': -7.8610516, 'No': -4.2131634, ' no': -11.73641}
{' No': -0.008809835, '\n': -10.324913, ' ': -7.938139, 'No': -4.788236, ' no': -10.18906}
{' No': -0.014737882, '\n': -8.834185, ' ': -7.32048, 'No': -4.2846103, ' no': -10.659175}
{' No': -0.018755065, '\n': -8.392387, ' ': -7.1057296, 'No': -4.0615807, ' no': -8.219032}
{' No': -0.0018794468, '\n': -10.968761, ' ': -8.982289, 'No': -6.3606787, ' NO': -12.827409}
{' No': -0.009367171, '\n': -11.2060175, ' ': -8.448273, 'No': -4.700903, ' NO': -12.647674}
{' No': -0.011439079, '\n': -8.433424, ' ': -7.5203304, 'No': -4.5473733, '  ': -12.279691}
{' No': -0.0024145956, '\n': -11.247321, ' ': -8.68483, 'No': -6.109357, ' NO': -12.757023}
{' No': -0.009746288, '\n': -9.040944, ' ': -7.614963, 'No': -4.702436, ' NO': -12.403194}
{' No': -0.0049689054, '\n': -10.1982155, ' ': -8.101946, 'No': -5.3809814, ' no': -11.938408}
{' No': -0.029719027, ' ': -10.216012, 'No': -5.2161984, ' Yes': -3.7425559, 'Yes': -9.045505}
{' No': -0.106154576, ' ': -9.248918, 'No': -3.6293402, ' Yes': -2.6229448, 'Yes': -6.5251813}
{' No': -0.23242413, ' ': -8.462437, 'No': -3.251778, ' Yes': -1.8128017, 'Yes': -5.2537384}
{' No': -0.016884476, ' ': -10.595604, 'No': -4.7558446, ' Yes': -4.8220525, 'Yes': -9.685104}
{' No': -0.725235, ' ': -8.831432, 'No': -4.1745186, ' Yes': -0.70771414, 'Yes': -4.9042397}
{' No': -1.4706392, ' ': -8.785163, 'No': -5.358451, ' Yes': -0.27576932, 'Yes': -5.083968}
{' No': -2.5259266, 'No': -9.385747, ' Yes': -0.08467672, ' yes': -9.042544, 'Yes': -6.9965167}
{' No': -1.9846482, ' ': -8.782448, 'No': -6.75198, ' Yes': -0.15579669, 'Yes': -5.2237535}
{' No': -6.6784077, ' ': -9.543213, ' Yes': -0.007202736, ' yes': -9.069173, 'Yes': -5.167908}
{' No': -0.32263598, ' ': -9.13539, 'No': -6.95688, ' Yes': -1.2936462, 'Yes': -7.814098}
{' No': -4.6990576, ' ': -8.284781, ' Yes': -0.01675349, ' yes': -9.15833, 'Yes': -4.962569}
{' No': -4.4327164, ' ': -8.42816, ' Yes': -0.020504616, ' yes': -7.484352, 'Yes': -4.9139447}
{' No': -0.14377074, ' ': -8.910191, 'No': -4.2038784, ' Yes': -2.1422887, 'Yes': -6.633936}
{' No': -0.16968794, ' ': -10.612074, 'No': -3.6577115, ' Yes': -2.0552125, 'Yes': -6.13855}
{' No': -4.7251177, 'No': -8.212416, ' Yes': -0.027562143, ' yes': -7.6929426, 'Yes': -4.0456147}
{' No': -3.7418928, 'No': -8.178564, ' Yes': -0.031653572, ' yes': -8.287713, 'Yes': -4.9806757}
{' No': -5.4756346, 'No': -8.164739, ' Yes': -0.030945849, ' yes': -7.727994, 'Yes': -3.6724005}
{' No': -7.3200192, ' Yes': -0.02024377, ' yes': -6.2451506, 'Yes': -4.061351, 'yes': -9.3123665}
{' No': -1.2764239, 'No': -7.6519, ' Yes': -0.3309208, ' yes': -7.6173086, 'Yes': -6.6933303}
{' No': -0.7308634, ' ': -7.5999675, 'No': -5.0708117, ' Yes': -0.68125504, 'Yes': -5.2199554}
{' No': -3.9180968, ' ': -7.7304325, 'No': -8.220987, ' Yes': -0.030966137, 'Yes': -4.6514015}
{' No': -0.08367858, ' ': -7.4825425, 'No': -5.5024786, ' Yes': -2.588304, 'Yes': -7.8843484}
{' No': -0.32632294, ' ': -6.367592, 'No': -4.635273, ' Yes': -1.3343738, 'Yes': -5.755247}
{' No': -1.0953047, 'No': -5.3105106, ' Yes': -0.43168095, ' yes': -6.111624, 'Yes': -5.045841}
{' No': -0.89471704, ' ': -8.244721, 'No': -7.8640404, ' Yes': -0.52774686, 'Yes': -7.4339643}
{' No': -0.28392443, ' ': -8.053051, 'No': -5.335549, ' Yes': -1.424107, 'Yes': -6.6691594}
{' No': -3.468112, ' ': -7.727629, 'No': -8.105227, ' Yes': -0.04002296, 'Yes': -4.9535456}
{' No': -0.09490801, ' ': -8.264845, 'No': -6.9516525, ' Yes': -2.4170954, 'Yes': -8.997187}
{' No': -4.0532103, '\n': -8.43129, ' ': -7.3553967, ' Yes': -0.025763711, 'Yes': -4.9728537}
{' No': -5.0058722, ' ': -8.88355, ' Yes': -0.008973827, ' yes': -9.09801, 'Yes': -6.2498107}
{' YES': -12.148139, ' ': -12.078845, ' Yes': -0.004452444, ' yes': -9.743212, 'Yes': -5.4332128}
{' YES': -11.066426, ' Yes': -0.019732796, ' yes': -8.733918, 'Yes': -3.9460843, 'yes': -10.990178}
{' YES': -10.737324, ' Yes': -0.027757797, ' yes': -8.814558, 'Yes': -3.6058407, 'yes': -10.731329}
{' YES': -11.98923, ' ': -12.00175, ' Yes': -0.0071523064, ' yes': -9.601621, 'Yes': -4.956096}
{' ': -11.497201, ' Yes': -0.016014487, ' yes': -9.491619, 'Yes': -4.149233, 'yes': -11.091506}
{' ': -11.01734, ' Yes': -0.011810116, ' yes': -8.977997, 'Yes': -4.4587874, 'yes': -11.413531}
{' YES': -11.861288, ' ': -11.393937, ' Yes': -0.0013243515, ' yes': -9.138779, 'Yes': -6.731344}
{' ': -10.800283, ' Yes': -0.008384672, ' yes': -8.923883, 'Yes': -4.8069077, 'yes': -11.469355}
{'\n': -10.801887, ' ': -10.214635, ' Yes': -0.0065549836, ' yes': -8.944434, 'Yes': -5.062755}
{' YES': -12.13921, ' ': -11.64933, ' Yes': -0.0014557851, ' yes': -9.659344, 'Yes': -6.590443}
{'\n': -10.655961, ' ': -9.70324, ' Yes': -0.008745315, ' yes': -9.271737, 'Yes': -4.7668934}
{'\n': -10.2020645, ' ': -9.675114, ' Yes': -0.010299935, ' yes': -7.7417545, 'Yes': -4.640053}
{' ': -10.846393, ' Yes': -0.012331176, ' yes': -7.4710574, 'Yes': -4.456381, 'yes': -10.068777}
{' YES': -12.396649, ' Yes': -0.019640828, ' yes': -9.118974, 'Yes': -3.946921, 'yes': -10.851291}
{' YES': -10.791332, ' Yes': -0.028009698, ' yes': -7.799946, 'Yes': -3.6074543, 'yes': -9.840132}
{' YES': -11.682113, ' Yes': -0.010284217, ' yes': -8.36452, 'Yes': -4.608688, 'yes': -10.833827}
{' ': -10.651542, ' Yes': -0.036380004, ' yes': -8.186145, 'Yes': -3.3430872, 'yes': -9.495567}
{' ': -10.204944, ' Yes': -0.026270915, ' yes': -6.5735044, 'Yes': -3.7160861, 'yes': -8.9637165}
{' ': -10.084263, ' Yes': -0.0032728422, ' yes': -7.287309, 'Yes': -5.989851, 'yes': -11.026098}
{' ': -9.600367, ' Yes': -0.015689705, ' yes': -7.2157016, 'Yes': -4.2219353, 'yes': -9.647374}
{'\n': -10.521564, ' ': -9.706509, ' Yes': -0.011187639, ' yes': -8.348782, 'Yes': -4.531209}
{' ': -9.780453, ' Yes': -0.006620741, ' yes': -7.2861595, 'Yes': -5.1524544, 'yes': -10.001307}
{'\n': -9.585312, ' ': -9.067367, ' Yes': -0.013850048, ' yes': -8.168529, 'Yes': -4.325019}
{' ': -8.622615, ' Yes': -0.021361053, ' yes': -5.523014, 'Yes': -4.10054, 'yes': -8.485701}
{'\n': -11.613343, ' ': -10.572818, ' Yes': -0.0016082464, ' yes': -9.416849, 'Yes': -6.515837}
{' YES': -11.441448, ' ': -10.370829, ' Yes': -0.007057701, ' yes': -9.260828, 'Yes': -4.978699}
{'\n': -10.205803, ' ': -10.123534, ' Yes': -0.0071123857, ' yes': -9.401036, 'Yes': -4.974296}
{' YES': -12.101723, ' ': -10.99728, ' Yes': -0.0013678017, ' yes': -9.833654, 'Yes': -6.6556015}
{'\n': -9.849854, ' ': -9.504141, ' Yes': -0.009260383, ' yes': -9.456295, 'Yes': -4.7108097}
{'\n': -11.349885, ' ': -10.490006, ' Yes': -0.0027515756, ' yes': -9.649962, 'Yes': -5.9379873}
{' No': -11.587065, ' ': -11.510262, ' Yes': -0.0022284933, ' yes': -10.058634, 'Yes': -6.137715}
{' No': -11.561822, ' ': -10.632988, ' Yes': -0.010601571, ' yes': -9.0223255, 'Yes': -4.5685773}
{' No': -11.110188, ' ': -10.572699, ' Yes': -0.019642346, ' yes': -9.03134, 'Yes': -3.9493122}
{' No': -12.353968, ' ': -11.754809, ' Yes': -0.003567762, ' yes': -10.243497, 'Yes': -5.6523104}
{' No': -10.38599, ' ': -10.411648, ' Yes': -0.011949933, ' yes': -9.4275055, 'Yes': -4.4464784}
{' No': -11.561194, ' ': -10.025339, ' Yes': -0.0074732318, ' yes': -8.646755, 'Yes': -4.93355}
{' YES': -12.752842, ' ': -11.320652, ' Yes': -0.0008343478, ' yes': -9.37428, 'Yes': -7.22107}
{' ': -10.412071, ' Yes': -0.0051749293, ' yes': -9.174942, 'Yes': -5.2955284, 'yes': -12.0199175}
{'\n': -11.41624, ' ': -9.86257, ' Yes': -0.0051181326, ' yes': -8.981356, 'Yes': -5.317826}
{' YES': -12.909039, ' ': -11.359198, ' Yes': -0.0012976732, ' yes': -9.678417, 'Yes': -6.7114015}
{'\n': -11.195882, ' ': -9.053477, ' Yes': -0.0052467706, ' yes': -9.110856, 'Yes': -5.302646}
{' ': -9.391088, ' Yes': -0.0062383707, ' yes': -7.657033, 'Yes': -5.184045, 'yes': -10.642791}
{' ': -10.577246, ' Yes': -0.009980027, ' yes': -7.5506687, 'Yes': -4.6756673, 'yes': -10.509651}
{' No': -12.951079, ' Yes': -0.014156867, ' yes': -9.582153, 'Yes': -4.2705426, 'yes': -11.728829}
{' ': -10.875119, ' Yes': -0.014361224, ' yes': -8.201203, 'Yes': -4.2732778, 'yes': -10.812111}
{' ': -11.311013, ' Yes': -0.005979061, ' yes': -8.480737, 'Yes': -5.163266, 'yes': -11.4665365}
{' ': -10.386125, ' Yes': -0.02092675, ' yes': -7.906937, 'Yes': -3.8992302, 'yes': -10.086749}
{' ': -10.233979, ' Yes': -0.015729971, ' yes': -6.590671, 'Yes': -4.260267, 'yes': -9.689706}
{' ': -10.041318, ' Yes': -0.0017847389, ' yes': -7.312185, 'Yes': -6.854405, 'yes': -11.659523}
{' ': -9.268626, ' Yes': -0.009779694, ' yes': -7.449694, 'Yes': -4.709704, 'yes': -10.237828}
{' ': -8.912792, ' Yes': -0.0062756194, ' yes': -8.087423, 'Yes': -5.1531186, 'yes': -11.151691}
{' ': -9.147812, ' Yes': -0.0050009545, ' yes': -7.4945025, 'Yes': -5.453758, 'yes': -10.463211}
{'\n': -10.378277, ' ': -8.229195, ' Yes': -0.008303232, ' yes': -8.030911, 'Yes': -4.877909}
{' ': -7.9395704, ' Yes': -0.014245378, ' yes': -5.3653026, 'Yes': -4.725303, 'yes': -8.853545}
{'\n': -12.036449, ' ': -10.270961, ' Yes': -0.00080774265, ' yes': -9.574891, 'Yes': -7.276801}
{' No': -11.324433, ' ': -9.520735, ' Yes': -0.004729387, ' yes': -9.458983, 'Yes': -5.3943663}
{'\n': -10.365445, ' ': -8.980232, ' Yes': -0.00553514, ' yes': -9.294389, 'Yes': -5.2483726}
{' No': -12.377262, ' ': -9.775201, ' Yes': -0.0010556901, ' yes': -9.643531, 'Yes': -6.9902596}
{'\n': -10.199258, ' ': -8.274945, ' Yes': -0.005480719, ' yes': -9.517461, 'Yes': -5.2823515}
{'\n': -10.951767, ' ': -9.3605585, ' Yes': -0.0018795651, ' yes': -9.13201, 'Yes': -6.400735}
{' No': -0.0061373143, ' ': -10.081899, 'No': -5.1040373, ' no': -13.497966, ' NO': -13.502543}
{' No': -0.026289027, ' ': -9.946412, 'No': -3.6539476, ' no': -12.833098, ' NO': -12.291099}
{' No': -0.04718748, ' ': -9.091954, 'No': -3.0799024, ' no': -12.8939905, ' NO': -11.956915}
{' No': -0.008019475, ' ': -11.180368, 'No': -4.8319616, ' no': -13.899714, ' NO': -13.875262}
{' No': -0.03373309, '\n': -12.471697, ' ': -8.950883, 'No': -3.4106078, ' NO': -12.266296}
{' No': -0.02461683, ' ': -9.116436, 'No': -3.722014, ' no': -11.795389, ' NO': -12.4148855}
{' No': -0.0013931696, '\n': -12.38524, ' ': -9.988573, 'No': -6.6165657, ' no': -13.053157}
{' No': -0.010107122, '\n': -12.188488, ' ': -9.102803, 'No': -4.611902, ' no': -12.944061}
{' No': -0.0072112614, '\n': -10.188737, ' ': -8.919761, 'No': -4.9611654, ' no': -12.840414}
{' No': -0.002375102, '\n': -12.840469, ' ': -10.046238, 'No': -6.065012, ' NO': -13.411979}
{' No': -0.0070502567, '\n': -9.899088, ' ': -8.428451, 'No': -4.9986196, ' no': -12.714945}
{' No': -0.011394404, '\n': -9.496532, ' ': -8.354977, 'No': -4.5104504, ' no': -11.21675}
{' No': -0.02257072, ' ': -9.400679, 'No': -3.808083, ' no': -10.526961, ' NO': -11.753743}
{' No': -0.026961388, ' ': -11.01056, 'No': -3.6277037, 'no': -13.20132, ' no': -12.549335}
{' No': -0.043317504, ' ': -9.17125, 'No': -3.1639552, 'no': -12.122778, ' no': -11.418917}
{' No': -0.011026958, ' ': -9.902769, 'No': -4.519259, ' no': -11.326521, ' NO': -12.677451}
{' No': -0.063310914, '\n': -11.132718, ' ': -8.581247, 'No': -2.7953436, ' no': -10.806373}
{' No': -0.046554282, ' x': -9.971488, ' ': -8.1642, 'No': -3.1025958, ' no': -9.0642395}
{' No': -0.0019915996, '\n': -11.468679, ' ': -8.467834, 'No': -6.3517756, ' no': -10.814595}
{' No': -0.01835989, '\n': -11.5759115, ' ': -7.9830756, 'No': -4.027647, ' no': -11.10471}
{' No': -0.01619372, '\n': -9.819092, ' ': -7.8010554, 'No': -4.161803, ' no': -11.81992}
{' No': -0.007962696, '\n': -10.876373, ' ': -8.140113, 'No': -4.8815513, ' no': -10.661504}
{' No': -0.011587227, '\n': -9.715199, ' ': -7.619878, 'No': -4.5149136, ' no': -11.255786}
{' No': -0.015531388, '\n': -8.883126, ' ': -7.3259387, 'No': -4.2360992, ' no': -9.003352}
{' No': -0.0013766944, '\n': -11.80614, ' ': -9.216586, 'No': -6.672925, ' NO': -13.235847}
{' No': -0.007981618, '\n': -11.477248, ' ': -8.67769, 'No': -4.858285, ' NO': -13.009559}
{' No': -0.0071988334, '\n': -9.018938, ' ': -8.030823, 'No': -5.0032144, ' NO': -12.923265}
{' No': -0.00215472, '\n': -11.634918, ' ': -8.905971, 'No': -6.2136064, ' NO': -12.863833}
{' No': -0.009135082, '\n': -9.390962, ' ': -7.747189, 'No': -4.7597165, ' NO': -12.757503}
{' No': -0.0038045503, '\n': -10.8791685, ' ': -8.242959, 'No': -5.652886, ' no': -12.437719}
{' No': -0.0051623476, ' ': -11.089726, 'No': -5.2921724, ' Yes': -9.210546, ' no': -13.878746}
{' No': -0.032150336, ' ': -9.98324, 'No': -3.4633179, ' Yes': -8.292734, 'Yes': -11.896897}
{' No': -0.04733102, ' ': -9.318657, 'No': -3.0813828, ' Yes': -8.415407, 'Yes': -11.581193}
