{' Yes': -0.002734724, 'Yes': -5.9330664, ' yes': -10.151877, '\n': -11.201728, ' YES': -11.638396}
{' Yes': -0.0029720913, 'Yes': -6.216061, ' Loud': -7.4333935, ' YES': -9.39351, ' Yep': -9.68099}
{' Yes': -0.013832762, ' Loud': -4.533103, 'Yes': -6.144438, ' No': -8.759291, ' YES': -9.005907}
{' Yes': -0.0043726997, 'Yes': -6.026549, ' Sure': -6.799433, ' Star': -7.2646275, ' yes': -9.913791}
{' Yes': -0.0026221261, 'Yes': -6.294005, ' Sure': -7.4164968, ' Star': -9.490153, ' yes': -10.27974}
{' Yes': -0.005447875, 'Yes': -5.9406147, ' Card': -5.954413, ' yes': -9.354923, ' YES': -10.436608}
{' Yes': -0.001609919, 'Yes': -6.4879546, ' yes': -9.99477, ' Card': -10.972798, ' YES': -11.779069}
{' Yes': -0.111278005, ' Deer': -2.278007, 'Yes': -6.420666, ' Dear': -7.5780993, ' yes': -8.813073}
{' Yes': -0.2851588, ' Deer': -1.4120834, ' Dear': -6.5930295, 'Yes': -6.881945, ' De': -7.3604355}
{' Yes': -0.0041143494, ' Look': -6.2305255, 'Yes': -6.3413906, ' No': -8.735241, ' YES': -9.6073265}
{' Yes': -0.00205455, 'Yes': -6.442698, ' Look': -8.259796, ' YES': -9.872925, ' Yep': -10.145846}
{' Yes': -0.0012213441, 'Yes': -7.052342, ' No': -8.587696, ' Sure': -9.190567, ' yes': -10.78092}
{' Yes': -0.0009946515, 'Yes': -7.212471, ' Sure': -9.098921, ' No': -9.634678, ' yes': -10.593609}
{' Yes': -0.0010936997, 'Yes': -6.906456, ' Less': -10.434662, ' yes': -10.807784, ' YES': -11.0734}
{' Yes': -0.0015598917, 'Yes': -6.7082033, ' Less': -8.560777, ' yes': -9.970786, ' YES': -10.201954}
{' Yes': -0.0029055553, 'Yes': -6.2800922, ' Sure': -7.106922, ' No': -9.576061, ' Absolutely': -10.592566}
{' Yes': -0.0020403953, 'Yes': -6.5734086, ' Sure': -7.7748513, ' No': -9.499961, ' yes': -10.279863}
{' Yes': -0.0010251408, 'Yes': -7.240961, ' Sure': -8.173204, ' No': -11.565558, ' yes': -12.25791}
{' Yes': -0.0030954292, ' Sure': -6.465368, 'Yes': -6.543243, ' Shoes': -10.656268, ' YES': -11.077954}
{' Exit': -0.18639816, ' Yes': -1.791947, 'Exit': -6.287228, ' No': -7.2756443, 'Yes': -7.6970773}
{' Yes': -0.4880996, ' Exit': -0.97117394, ' No': -5.235454, 'Yes': -6.8190055, 'Exit': -7.1577125}
{' Yes': -0.004309902, ' Lion': -6.0906916, 'Yes': -6.273808, ' No': -9.970238, ' yes': -9.978549}
{' Yes': -0.0046499167, 'Yes': -6.2541156, ' No': -6.525425, ' Lion': -6.830219, ' yes': -9.585959}
{' Yes': -0.25586256, ' Roof': -1.5095762, 'Yes': -5.609534, ' Ro': -8.163505, ' yes': -8.792091}
{' Yes': -0.23743492, ' Roof': -1.5724454, 'Yes': -6.019152, ' No': -7.6847143, ' yes': -8.179194}
{' Yes': -0.662379, ' Want': -0.7399395, ' Wanted': -6.0868506, 'Want': -6.4407625, 'Yes': -6.701351}
{' Yes': -0.4152009, ' Want': -1.1061761, ' Wanted': -5.689112, 'Yes': -6.7042866, 'Want': -6.7809954}
{' Yes': -0.0016390538, 'Yes': -6.853209, ' Wind': -7.6129994, ' yes': -10.364418, ' Yep': -11.084876}
{' Yes': -0.0018473186, 'Yes': -6.8030877, ' Wind': -7.5317984, ' No': -9.022881, ' yes': -10.346206}
{' Yes': -0.00079217425, 'Yes': -7.2110906, ' yes': -10.886819, ' YES': -11.198292, ' No': -11.834005}
{' Yes': -0.0026988008, 'Yes': -6.4452987, ' Foot': -7.260871, ' No': -8.8647, ' yes': -9.367041}
{' Yes': -0.22388536, ' Hate': -2.0261562, ' No': -2.7237995, 'Yes': -6.486377, ' Nope': -7.709125}
{' Yes': -0.3815226, ' No': -1.5127234, ' Hate': -2.3932164, ' Nope': -6.1197114, 'Yes': -6.443939}
{' Yes': -0.015146325, ' No': -4.299944, 'Yes': -6.64998, ' Slow': -10.084475, 'No': -10.368186}
{' Yes': -0.0023650057, 'Yes': -6.1666007, ' YES': -9.527928, ' yes': -9.554206, ' Slow': -9.899444}
{' Yes': -0.0021436682, 'Yes': -6.7515025, ' Ring': -7.743823, ' No': -8.032051, ' yes': -9.800564}
{' Yes': -0.0015218043, 'Yes': -6.9536815, ' No': -8.105964, ' Ring': -9.1386795, ' yes': -9.982011}
{' Yes': -0.0023989407, ' Bear': -6.5173144, 'Yes': -7.192035, ' yes': -10.008983, ' Yeah': -10.573817}
{' Yes': -0.0024998595, ' Bear': -6.667407, 'Yes': -6.8694086, ' yes': -9.88161, ' YES': -10.583349}
{' Yes': -0.0009915503, 'Yes': -7.1098075, ' YES': -9.245136, ' ': -10.749091, ' Self': -11.306448}
{' Yes': -0.00077988545, 'Yes': -7.4200487, ' No': -8.892085, ' YES': -10.856051, ' yes': -11.692496}
{' Yes': -0.0019210712, 'Yes': -6.361052, ' yes': -9.463135, ' YES': -10.513644, ' Sure': -10.688339}
{' Yes': -0.002855104, 'Yes': -5.967529, ' yes': -8.797449, ' YES': -10.281398, ' Fish': -10.500962}
{' Yes': -0.008622601, ' Skin': -5.572412, 'Yes': -5.5778913, ' Ski': -8.1553335, ' Sk': -8.490147}
{' Yes': -0.02823628, ' No': -3.8732488, 'Yes': -5.243229, ' Skin': -6.853784, ' Ski': -8.932314}
{' Yes': -0.0026226041, 'Yes': -6.1533847, ' So': -7.988865, ' yes': -10.159428, ' Yep': -10.191081}
{' Yes': -0.0028029224, 'Yes': -6.0491705, ' So': -8.85529, ' Yep': -9.192859, ' Sure': -9.457234}
{' Yes': -0.0014645586, 'Yes': -6.955056, ' Sure': -7.6586676, ' Yep': -10.911349, ' yes': -12.293767}
{' Yes': -0.0014615756, 'Yes': -6.739016, ' Che': -9.136229, ' Sure': -9.509009, ' Yep': -10.510954}
{' Yes': -0.026811805, ' No': -3.857401, 'Yes': -6.0090046, ' Male': -6.2359157, ' yes': -8.885006}
{' Yes': -0.0049448246, 'Yes': -5.962008, ' No': -7.260908, ' Male': -7.387275, ' yes': -8.191833}
{' Yes': -0.0019313429, 'Yes': -6.889252, ' No': -7.2903314, ' Sure': -9.29359, ' Nope': -10.340673}
{' Yes': -0.0014718397, 'Yes': -6.7616014, ' No': -8.557496, ' yes': -10.332946, ' Yep': -10.760025}
{' Yes': -0.0017568534, 'Yes': -6.588014, ' Bike': -8.334999, ' Sure': -10.389221, ' yes': -10.409122}
{' Yes': -0.0047482518, ' No': -6.5348253, ' Bike': -6.5501146, 'Yes': -6.583792, ' Sure': -9.122896}
{' Yes': -0.033944875, ' Dead': -3.814121, 'Yes': -5.779458, ' De': -6.3543563, ' No': -6.543092}
{' Yes': -0.005554857, ' Dead': -6.301928, 'Yes': -6.319924, ' No': -7.5987287, ' yes': -8.179639}
{' Yes': -0.005943383, 'Yes': -5.898906, ' Cave': -6.6704826, ' Sure': -7.0876865, ' yes': -8.486387}
{' Yes': -0.14468928, ' Cave': -2.0434928, 'Yes': -5.879623, ' YES': -8.208924, ' Sure': -8.284129}
{' Yes': -0.0048237154, 'Yes': -6.0069466, ' Moon': -6.693552, ' No': -7.0741744, ' yes': -9.289911}
{' Yes': -0.005856147, ' No': -5.8411717, 'Yes': -5.9776998, ' yes': -9.356694, ' Moon': -9.514225}
{' Yes': -0.044838835, ' Pain': -3.9926708, ' No': -4.535184, ' Plain': -5.3874936, 'Yes': -5.9492693}
{' Yes': -0.013745984, ' No': -4.941419, 'Yes': -5.9870734, ' Pain': -6.3127203, ' Plain': -7.511302}
{' Yes': -0.0017610351, 'Yes': -6.419537, ' No': -9.784292, ' Plus': -10.177347, ' yes': -10.872907}
{' Yes': -0.0021451025, 'Yes': -6.625797, ' Plus': -7.3001018, ' No': -9.738431, ' yes': -10.478156}
{' Yes': -0.14627519, ' Area': -2.0668378, ' Sure': -5.9849663, ' Arena': -6.1450887, 'Yes': -6.1957765}
{' Yes': -0.08984325, ' Area': -2.6258407, ' Sure': -4.9749274, 'Yes': -6.18451, ' Arena': -6.339963}
{' Yes': -0.079254135, ' Dive': -2.6330109, 'Yes': -5.823072, ' Sure': -8.16049, ' yes': -8.516262}
{' Yes': -0.14299381, ' Dive': -2.0725095, 'Yes': -5.721124, ' D': -7.1676793, ' YES': -7.519504}
{' Yes': -0.0009786607, 'Yes': -7.525551, ' Hear': -7.9453773, ' Sure': -10.5676365, ' Yeah': -10.8474}
{' Yes': -0.0027247411, 'Yes': -6.6371427, ' Hear': -6.784774, ' Yeah': -9.121105, ' yes': -10.575791}
{' Yes': -0.0065153264, ' Bush': -5.2881293, 'Yes': -6.7005057, ' Sure': -9.289182, ' yes': -9.948053}
{' Yes': -0.31455857, ' Bush': -1.3278089, 'Yes': -5.764473, 'Bush': -7.0447655, ' Sure': -8.887224}
{' Yes': -0.0059538153, ' Near': -5.8958497, ' No': -6.3274846, 'Yes': -7.0348287, ' yes': -9.097721}
{' Yes': -0.006004724, ' Near': -5.724752, ' No': -6.5548477, 'Yes': -7.079689, ' yes': -9.1272545}
{' Yes': -0.1342918, ' Mile': -2.1862936, ' No': -4.6770964, 'Yes': -6.429899, ' Miles': -7.0288906}
{' Yes': -0.06312379, ' Mile': -3.0205019, ' No': -5.746168, 'Yes': -5.997294, ' Miles': -6.194955}
{' Yes': -0.119725205, ' Navy': -2.2153807, 'Yes': -6.013346, ' No': -8.101944, ' Naval': -8.630162}
{' Yes': -0.005157493, 'Yes': -5.540083, ' Navy': -7.0494456, ' yes': -9.281081, ' Yep': -10.015874}
{' No': -0.8304769, ' Yes': -1.2845403, ' Okay': -1.3205338, ' Ok': -5.342472, ' Nope': -5.4843063}
{' No': -0.369961, ' Yes': -1.3342268, ' Okay': -3.2336407, ' Nope': -6.1408362, 'No': -6.293982}
{' Yes': -0.0013458955, 'Yes': -6.954459, ' No': -8.40339, ' Sure': -9.897001, ' Maybe': -10.566838}
{' Yes': -0.0011369031, 'Yes': -7.132625, ' No': -8.57989, ' Math': -10.814251, ' YES': -10.821448}
{' Yes': -0.0040317588, ' Beef': -6.2508235, 'Yes': -6.382459, ' No': -8.227298, ' yes': -9.639704}
{' Yes': -0.008371931, ' Beef': -5.6776104, ' No': -5.874261, 'Yes': -6.676279, ' Bee': -7.42802}
{' Yes': -0.0013130127, 'Yes': -6.6815248, ' yes': -10.74989, ' Milk': -11.024453, ' YES': -12.003892}
{' Yes': -0.002029704, 'Yes': -6.4130993, ' No': -8.108448, ' Milk': -10.139683, ' yes': -10.515081}
{' Yes': -0.0031707685, 'Yes': -5.892674, ' Bass': -8.453707, ' yes': -9.933582, ' No': -9.99522}
{' Yes': -0.0063535357, 'Yes': -5.50128, ' Bass': -6.242618, ' yes': -9.420791, ' No': -9.46494}
{' Yes': -0.0022035204, 'Yes': -6.5617166, ' Bird': -7.36295, ' yes': -9.549572, ' YES': -10.400945}
{' Yes': -0.011881528, ' Bird': -4.7186036, 'Yes': -6.027308, ' yes': -8.613359, ' YES': -9.868284}
{' Yes': -0.0017050888, 'Yes': -6.506853, ' YES': -9.286375, ' yes': -9.978446, ' Sure': -10.790636}
{' Yes': -0.0027016702, 'Yes': -6.1343794, ' YES': -8.766594, ' Sure': -9.119435, ' yes': -9.386909}
{' Yes': -0.03836092, ' Need': -3.8564532, ' Indeed': -4.6212387, 'Yes': -6.3790956, ' Needs': -6.699686}
{' Yes': -0.010666213, ' Need': -5.1637235, 'Yes': -6.507676, ' Indeed': -6.556652, ' No': -7.052454}
{' Yes': -0.0010593893, 'Yes': -6.9087396, ' yes': -10.902525, ' YES': -11.704284, ' No': -11.911188}
{' Yes': -0.0018003242, 'Yes': -6.5047693, ' Too': -9.271215, ' Tool': -9.618579, ' yes': -9.868735}
{' Yes': -0.028044945, ' Po': -3.7945187, 'Yes': -5.7545114, ' No': -6.4685445, ' Yep': -9.033001}
{' Yes': -0.018806448, ' Po': -4.2266407, 'Yes': -6.242714, ' No': -6.3303795, ' Yep': -9.711438}
{' Yes': -0.000886487, 'Yes': -7.304952, ' Sure': -9.169673, ' yes': -9.829583, ' YES': -11.270783}
{' Yes': -0.0032092768, 'Yes': -6.248595, ' Rock': -7.83898, ' yes': -8.348218, ' Cro': -8.441083}
{' Yes': -0.0026890624, 'Yes': -5.9449134, ' No': -10.687587, ' yes': -11.024715, ' YES': -12.008433}
{' Yes': -0.008469066, ' Last': -5.5288854, 'Yes': -5.5654087, ' Blast': -7.8894744, ' yes': -9.294958}
{' Yes': -0.0025563298, 'Yes': -6.5162377, ' Door': -7.561629, ' Sure': -7.749708, ' yes': -10.081221}
{' Yes': -0.0051265215, ' Door': -6.0709414, 'Yes': -6.1167116, ' No': -8.564826, ' yes': -8.625483}
{' Yes': -0.020728227, ' No': -4.408534, 'Yes': -5.160411, ' To': -6.5448294, ' Nope': -8.721737}
{' Yes': -0.08953284, ' No': -2.6433046, 'Yes': -4.8134937, ' St': -6.392051, ' To': -6.5704823}
{' Yes': -0.039859876, ' Maze': -3.3745422, 'Yes': -5.4584007, ' yes': -9.075565, ' YES': -9.521654}
{' Yes': -0.0031445175, 'Yes': -5.9297686, ' Maze': -7.97236, ' yes': -10.444306, ' No': -10.677635}
{' Yes': -0.4333277, ' Monk': -1.1801652, ' Monkey': -4.0828943, ' Mon': -4.8949137, ' No': -5.1959023}
{' Yes': -0.01083768, 'Yes': -5.601898, ' No': -6.1832366, ' Mon': -6.194745, ' Monkey': -6.9883747}
{' Yes': -0.00079939154, 'Yes': -7.269045, ' Yep': -10.246628, ' yes': -10.676409, ' Sure': -10.968824}
{' Yes': -0.00537057, ' Camp': -5.9760466, 'Yes': -6.0678854, ' yes': -8.714004, ' Yep': -9.076823}
{' Yes': -0.44009036, ' Most': -1.0417712, 'Yes': -6.4830356, ' Mostly': -7.100577, 'Most': -7.539751}
{' Yes': -0.08109299, ' Most': -2.5830078, 'Yes': -6.7421455, ' Mostly': -7.3918567, ' Almost': -8.612549}
{' Yes': -0.01791633, ' Trip': -4.5543313, ' Tri': -5.667689, 'Yes': -6.193951, ' Triple': -7.3340354}
{' Yes': -0.003161739, 'Yes': -6.335185, ' Trip': -7.984305, ' yes': -8.2756195, ' Tri': -8.276968}
{' Yes': -0.18472408, ' Dusk': -1.9180062, ' No': -4.3580236, 'Yes': -4.9133997, ' D': -7.4585834}
{' Yes': -0.004047018, 'Yes': -5.69791, ' No': -7.977218, ' Dusk': -8.477313, ' yes': -9.675059}
{' Yes': -0.0015035991, 'Yes': -7.410692, ' Hello': -7.65646, ' Hell': -8.566452, ' No': -9.166624}
{' Yes': -0.0006108457, 'Yes': -7.5945497, ' Hello': -10.80178, ' yes': -11.065336, ' Hell': -11.071318}
{' Yes': -0.023320502, ' No': -3.8968022, 'Yes': -6.194291, ' Lawn': -8.677287, 'No': -8.9826}
{' Yes': -0.47797537, ' Lawn': -1.4979929, ' No': -1.9760013, ' lawn': -5.559802, ' Nope': -5.7874823}
{' Yes': -0.010644161, ' Hill': -4.722495, 'Yes': -6.9568377, ' No': -7.6863585, ' yes': -9.35274}
{' Yes': -0.36450893, ' Hill': -1.1991303, ' No': -6.877029, 'Yes': -7.0045786, 'Hill': -7.5358763}
{' Yes': -0.0021697131, 'Yes': -6.409028, ' No': -8.5875435, ' Sure': -8.74401, ' Take': -9.8012}
{' Yes': -0.0036392477, 'Yes': -6.0639358, ' Take': -7.104797, ' Sure': -9.118175, ' yes': -9.266946}
{' Yes': -0.0018919288, 'Yes': -6.507885, ' Part': -9.156329, ' No': -9.406315, ' Sure': -9.505524}
{' Yes': -0.0017784096, 'Yes': -6.4107766, ' yes': -10.02806, ' Part': -10.44688, '\n': -11.031021}
{' Yes': -0.0016360688, 'Yes': -7.1586185, ' No': -7.693477, ' Sure': -8.053109, ' Maybe': -10.950974}
{' Yes': -0.0019284762, 'Yes': -6.4230003, ' No': -8.987663, ' Yep': -9.958242, ' yes': -10.191679}
{' Yes': -0.0016206064, 'Yes': -6.49589, ' Sure': -9.603604, ' yes': -11.0962105, ' No': -12.030195}
{' Yes': -0.00071940065, 'Yes': -7.336123, ' Sure': -10.219482, ' No': -11.22487, ' yes': -11.788654}
{' Yes': -0.021821985, ' No': -3.9381025, 'Yes': -6.431432, ' De': -8.655926, ' yes': -9.308624}
{' Yes': -0.0063914447, 'Yes': -6.0464606, ' De': -6.3208385, ' No': -6.5374293, ' yes': -8.451287}
{' Yes': -0.0017828278, 'Yes': -6.3944483, ' yes': -9.746369, ' YES': -10.903867, '\n': -11.532276}
{' Yes': -0.0051059104, 'Yes': -5.4746723, ' Kiss': -8.076496, ' yes': -8.161724, ' No': -9.16103}
{' Yes': -0.001389231, 'Yes': -6.9245877, ' No': -8.378447, ' Sure': -9.524477, ' Soda': -9.867952}
{' Yes': -0.0014252827, 'Yes': -6.848873, ' No': -8.4515915, ' Sure': -9.443298, ' Soda': -10.480274}
{' Yes': -0.013149235, ' No': -4.420627, 'Yes': -7.2656703, ' Nope': -9.003285, ' Gone': -9.114869}
{' Yes': -0.106365636, ' No': -2.3226972, ' Nope': -6.586836, 'Yes': -7.1576843, ' Gone': -7.9420476}
{' Yes': -0.006226316, ' Fire': -6.030678, 'Yes': -6.3936605, ' Sure': -6.590605, ' yes': -8.487043}
{' Yes': -0.008764436, ' Fire': -5.664924, ' Sure': -6.1052904, 'Yes': -6.3260436, ' F': -8.320305}
{' Yes': -0.0014824043, 'Yes': -6.7480526, ' yes': -8.848201, ' Sure': -10.094538, ' YES': -10.293824}
{' Yes': -0.0012478994, 'Yes': -6.966785, ' yes': -8.74865, ' Sure': -10.002106, ' YES': -10.697054}
{' Yes': -0.0013557448, 'Yes': -6.770213, ' No': -9.456637, ' yes': -9.854579, ' YES': -10.63568}
{' Yes': -0.00127768, 'Yes': -6.7980037, ' No': -10.052479, '\n': -10.213923, ' yes': -10.340508}
{' Yes': -0.12290477, ' Stop': -2.1836805, 'Yes': -6.374627, ' YES': -7.5558705, 'Stop': -8.417556}
{' Yes': -0.05036343, ' Stop': -3.0689867, 'Yes': -6.366447, ' YES': -8.414146, ' Yep': -8.627004}
{' Yes': -0.0040396573, ' Late': -6.0140686, 'Yes': -6.601621, ' YES': -9.124474, ' yes': -9.836199}
{' Yes': -0.009035114, ' Late': -5.0123744, 'Yes': -6.7148495, ' No': -7.065666, ' YES': -9.494207}
{' Yes': -0.0028503814, ' No': -6.5525637, 'Yes': -6.6860294, ' yes': -9.371449, ' YES': -10.228957}
{' Yes': -0.0012427659, 'Yes': -6.830481, ' No': -9.652528, ' yes': -10.135238, ' YES': -10.568694}
{' Yes': -0.024139285, ' Wife': -3.813236, 'Yes': -6.6357512, ' YES': -8.878009, ' yes': -9.28303}
{' Yes': -0.03418514, ' Wife': -3.5251863, 'Yes': -6.347953, ' W': -6.6024165, ' No': -8.007836}
{' Yes': -0.0020940315, 'Yes': -6.7065315, ' Frog': -7.463962, ' yes': -8.882308, ' YES': -9.762887}
{' Yes': -0.0015746369, 'Yes': -7.0244207, ' Frog': -7.861911, ' yes': -8.957358, ' YES': -9.148129}
{' Yes': -0.0021028726, 'Yes': -6.48759, ' Duck': -7.811633, ' yes': -9.238397, ' YES': -10.200444}
{' Yes': -0.0014063595, 'Yes': -6.8268113, ' Duck': -8.839006, ' yes': -9.641577, ' YES': -9.888029}
{' Yes': -0.004620098, ' Bank': -5.7968082, 'Yes': -6.5612874, ' yes': -9.5846615, ' YES': -9.960041}
{' Yes': -0.001253628, 'Yes': -6.7940736, ' yes': -9.763493, ' YES': -9.889933, ' Bank': -10.9536}
{' Yes': -0.00086566684, 'Yes': -7.3074865, ' Test': -9.013911, ' yes': -10.521737, ' YES': -10.634378}
{' Yes': -0.002606648, 'Yes': -6.6946993, ' Test': -6.8128786, ' No': -9.298573, ' yes': -9.785466}
{' Yes': -0.0011439439, 'Yes': -6.8682604, ' Stay': -9.569907, ' YES': -11.328433, ' yes': -11.376716}
{' Yes': -0.0022747312, 'Yes': -6.552867, ' Stay': -7.1877623, '\n': -10.663917, ' yes': -10.718074}
{' Yes': -0.0024540883, 'Yes': -6.326848, ' No': -7.795251, ' yes': -8.819249, ' YES': -9.902232}
{' Yes': -0.012351089, ' Ye': -5.4191504, 'Yes': -5.5110173, ' East': -7.0711365, ' yes': -7.1647754}
{' Yes': -0.023186713, ' No': -4.200694, ' High': -4.9965677, 'Yes': -7.0737176, ' Nope': -9.445903}
{' Yes': -0.11289392, ' High': -2.491367, ' No': -3.8798711, 'Yes': -6.577503, '\n': -7.595636}
{' Yes': -0.046711158, ' Draw': -3.1557388, ' No': -6.4919047, 'Yes': -6.813041, ' yes': -8.802849}
{' Yes': -0.09167451, ' Draw': -2.469753, 'Yes': -6.378891, ' No': -8.296996, ' yes': -8.333349}
{' Yes': -0.12331754, ' King': -2.1903262, 'Yes': -6.467071, 'King': -6.73439, ' Kings': -7.110801}
{' Yes': -0.05369814, ' King': -3.0289347, 'Yes': -6.515801, ' No': -6.7268333, 'King': -7.755878}
{' Yes': -0.0021244946, ' No': -6.6927, 'Yes': -7.164394, ' Lose': -9.760428, ' YES': -11.060416}
{' Yes': -0.002299105, 'Yes': -6.867804, ' No': -7.4392285, ' Lose': -7.725489, ' Lo': -8.841977}
{' Yes': -0.042694453, ' Here': -3.221081, 'Yes': -6.7759743, ' No': -8.50415, ' Sure': -8.916315}
{' Yes': -0.0022664277, ' Here': -6.8304462, 'Yes': -6.924103, '\n': -9.493778, ' Sure': -9.851978}
{' Yes': -0.0012408558, 'Yes': -6.797183, ' YES': -10.005975, ' yes': -10.108212, ' Sick': -10.722383}
{' Yes': -0.0010566456, 'Yes': -6.9551735, ' yes': -10.291124, ' YES': -10.385624, ' Sick': -11.524699}
{' Yes': -0.04654161, ' Dirt': -3.18426, 'Yes': -5.9835796, ' Dirty': -6.955847, ' yes': -8.727921}
{' Yes': -0.008322646, ' Dirt': -5.2227545, 'Yes': -6.442939, ' No': -6.911036, ' Dirty': -8.945037}
{' Yes': -0.0013906625, 'Yes': -6.816511, ' YES': -9.306626, ' Tears': -9.796355, ' yes': -9.865124}
{' Yes': -0.0017575707, 'Yes': -6.7051525, ' YES': -8.631231, ' Tears': -9.273059, ' yes': -9.298571}
{' No': -0.0043962887, 'No': -5.4428115, ' Nope': -10.634835, ' Yes': -11.037291, '\n': -11.059764}
{' Yes': -0.017449126, ' True': -4.483521, ' No': -5.714936, 'Yes': -6.6055675, ' Sure': -7.914795}
{' Yes': -0.36857727, ' Rain': -1.2145816, 'Rain': -5.0493383, 'Yes': -6.1668983, ' Rainbow': -7.28432}
{' Rain': -0.17388374, ' Yes': -2.1364539, 'Rain': -3.7633345, ' Train': -4.713572, ' Rainbow': -5.561097}
{' Yes': -0.00063655345, 'Yes': -7.4567614, ' No': -10.429623, ' yes': -11.22521, ' YES': -11.709183}
{' Yes': -0.004380603, ' Verb': -6.143025, 'Yes': -6.4456434, ' No': -8.134278, ' Ver': -9.352788}
{' Yes': -0.0058719157, ' Sure': -5.9862127, 'Yes': -6.6676254, ' Absolutely': -6.8609586, ' C': -8.234206}
{' Yes': -0.003071335, 'Yes': -6.6978726, ' Sure': -7.009981, ' No': -7.866612, ' C': -9.219429}
{' Yes': -0.0008786136, 'Yes': -7.4165945, ' yes': -9.389211, ' YES': -9.392753, ' Kill': -9.638257}
{' Yes': -0.001148838, ' No': -7.316193, 'Yes': -7.79521, ' yes': -10.257899, ' YES': -10.748944}
{' Yes': -0.0014583505, ' No': -6.958508, 'Yes': -7.659707, ' Thin': -11.1529, ' yes': -11.78012}
{' Yes': -0.0029990503, ' No': -6.0957184, 'Yes': -7.3315105, ' yes': -10.800596, ' Thin': -10.935516}
{' Yes': -0.037856825, ' No': -3.326379, 'Yes': -7.162116, ' Tail': -8.25245, ' yes': -9.826639}
{' Yes': -0.016178578, ' No': -4.3362203, ' Tail': -6.396105, 'Yes': -6.8760242, ' yes': -9.440556}
{' Yes': -0.0015306388, 'Yes': -6.8051248, ' Land': -8.230163, ' yes': -9.236775, ' YES': -10.198606}
{' Yes': -0.009747614, ' Land': -5.069995, 'Yes': -5.9649124, ' yes': -7.8799305, ' YES': -9.010832}
{' Yes': -0.0036440936, ' Feel': -5.9588017, 'Yes': -7.134301, ' yes': -9.422895, ' YES': -9.428421}
{' Yes': -0.0045479424, ' Feel': -5.718983, 'Yes': -7.086211, ' YES': -9.058466, ' yes': -9.093851}
{' Yes': -0.02538979, ' Loud': -3.7677412, 'Yes': -6.658295, ' YES': -8.388003, ' No': -9.087469}
{' Yes': -0.046089243, ' Loud': -3.1582794, 'Yes': -6.712892, ' L': -7.6062083, ' No': -8.435947}
{' Yes': -0.003998963, 'Yes': -6.209134, ' Star': -6.8563085, ' Sure': -7.3096266, ' Start': -9.195407}
{' Yes': -0.0012083926, 'Yes': -6.902016, ' Sure': -9.155881, ' Star': -10.460191, ' yes': -10.559302}
{' Yes': -0.015587448, ' Card': -4.452746, 'Yes': -5.6922493, ' yes': -8.855871, ' YES': -9.289223}
{' Yes': -0.0018631442, 'Yes': -6.51624, ' Card': -8.423911, ' yes': -9.416184, ' YES': -10.044465}
{' Yes': -0.038994353, ' Deer': -3.3181746, 'Yes': -6.6798325, ' YES': -8.418327, ' yes': -8.465567}
{' Yes': -0.11311835, ' Deer': -2.2602513, 'Yes': -6.751654, ' Dear': -7.9993196, ' deer': -8.165296}
{' Yes': -0.0072426, ' Look': -5.1763387, 'Yes': -6.745287, ' YES': -8.408564, ' yes': -9.807205}
{' Yes': -0.002135486, 'Yes': -6.89005, ' Look': -7.007216, ' YES': -8.943311, ' yes': -10.315438}
{' Yes': -0.0014486223, 'Yes': -7.055096, ' No': -7.9670243, ' Gl': -9.484283, ' YES': -9.702443}
{' Yes': -0.0018735944, 'Yes': -6.9070873, ' Gl': -7.8234653, ' No': -8.438854, ' YES': -9.155509}
{' Yes': -0.0007404546, 'Yes': -7.3132615, ' YES': -10.815998, ' yes': -10.848572, ' Less': -11.141386}
{' Yes': -0.0008444299, 'Yes': -7.3153505, ' No': -9.094413, ' YES': -10.550805, ' yes': -10.699569}
{' Yes': -0.008811699, ' No': -5.2560763, 'Yes': -6.1038585, ' Code': -7.1275077, ' Sure': -8.863785}
{' Yes': -0.011206746, ' Code': -4.7015643, 'Yes': -6.4257154, ' YES': -8.917925, ' yes': -9.558718}
{' Yes': -0.0009793768, 'Yes': -7.2286363, ' Sure': -8.431656, ' No': -11.54434, ' YES': -11.601499}
{' Yes': -0.001129683, 'Yes': -6.884096, ' Sure': -9.593398, ' YES': -10.876848, ' yes': -11.856495}
{' Yes': -0.058550503, ' Exit': -2.9033265, 'Yes': -6.779007, ' No': -7.374296, 'Exit': -9.527618}
{' Yes': -0.46204355, ' Exit': -1.1044937, ' No': -3.329023, 'Yes': -6.9313297, 'Exit': -7.254709}
{' Yes': -0.0028267107, ' Lion': -6.357258, 'Yes': -6.9274883, ' YES': -10.089264, ' yes': -10.12661}
{' Yes': -0.021905573, ' Lion': -4.0458636, ' No': -6.2477145, 'Yes': -6.334369, ' yes': -8.79453}
{' Yes': -0.08568904, ' Roof': -2.5247874, 'Yes': -6.480083, ' yes': -8.673249, ' No': -9.245587}
{' Yes': -0.14077045, ' Roof': -2.0453799, 'Yes': -6.59532, ' yes': -8.585056, ' roof': -8.953339}
{' Yes': -0.12242393, ' Want': -2.1924255, 'Yes': -6.224163, 'Want': -7.526834, ' Wanted': -7.9800367}
{' Yes': -0.10544198, ' Want': -2.351925, 'Yes': -6.231904, ' Wanted': -6.8238993, 'Want': -7.581311}
{' Yes': -0.0022000559, ' Wind': -6.5218797, 'Yes': -7.381394, ' yes': -9.972758, ' YES': -10.655181}
