{' Right': -0.019237828, ' right': -3.9719508, 'Right': -9.226725, ' "': -9.861021, 'right': -10.116972}
{' Left': -0.3499424, ' left': -1.5602065, ' Right': -2.6780977, ' right': -4.423831, 'left': -5.7150984}
{' left': -0.6737088, ' Left': -0.90793884, ' Right': -3.178931, ' right': -3.2531762, 'left': -5.2814317}
{' Left': -0.7535714, ' left': -1.0092553, ' Right': -2.2584715, ' right': -2.8799484, 'left': -5.867476}
{' left': -0.61382735, ' Left': -1.6050898, ' right': -1.8555094, ' Right': -2.340718, 'left': -5.647646}
{' left': -0.6279238, ' Left': -1.1638602, ' right': -2.3939495, ' Right': -2.8590927, 'left': -5.5428977}
{' Left': -0.23416819, ' left': -1.6872511, ' Right': -4.2913275, 'left': -5.155755, ' right': -6.1223288}
{' Left': -0.11620206, ' left': -2.8441741, ' Right': -3.0844867, 'left': -6.1494946, ' right': -6.2778554}
{' Left': -0.44285977, ' left': -1.093258, ' Right': -4.5537667, 'left': -4.9037404, ' right': -5.9338937}
{' Left': -0.28305754, ' left': -1.4934324, ' Right': -4.342096, 'left': -5.3493323, ' right': -5.952033}
{' Left': -0.26814988, ' left': -1.5148653, ' Right': -4.540664, 'left': -6.021014, ' right': -6.466357}
{' Left': -0.1474165, ' left': -2.1826642, ' Right': -3.9318497, 'left': -5.9550657, ' right': -6.557727}
{' Left': -0.4518348, ' left': -1.2729044, ' Right': -2.696818, ' right': -4.475091, 'left': -5.607642}
{' Left': -0.35161904, ' left': -1.2684375, ' Right': -4.614066, 'left': -5.9978395, ' right': -6.0949736}
{' Left': -0.39381966, ' left': -1.2920263, ' Right': -3.5329835, ' right': -4.6724777, 'left': -4.7899737}
{' Left': -0.2671079, ' left': -1.7584409, ' Right': -3.120591, ' right': -4.849896, 'left': -5.155141}
{' Left': -0.70968044, ' left': -0.7991599, ' Right': -3.641428, ' right': -4.05826, 'left': -4.5362644}
{' Left': -0.6098977, ' left': -0.89713115, ' Right': -3.8025417, ' right': -4.2941303, 'left': -4.702406}
{' Right': -0.08654125, ' right': -2.4994898, 'Right': -7.9390187, 'right': -8.179316, ' Left': -9.328322}
{' Left': -0.23377052, ' left': -1.6563168, ' Right': -4.29821, ' right': -5.914631, 'left': -6.87948}
{' Right': -0.5476794, ' right': -0.86664546, 'right': -6.828328, 'Right': -8.422918, ' RIGHT': -10.75025}
{' Left': -0.45749682, ' left': -1.1560118, ' Right': -3.363905, ' right': -4.1517696, 'left': -6.3887715}
{' Right': -0.05525582, ' right': -2.9941254, 'Right': -6.703094, ' Left': -6.7780585, 'right': -6.7985716}
{' Left': -0.19990127, ' left': -1.7413193, 'left': -5.46396, 'Left': -6.966752, ' Right': -7.3840227}
{' Right': -0.17550966, ' right': -1.8407376, 'right': -6.48988, 'Right': -7.2611585, ' RIGHT': -10.959666}
{' Left': -0.26948345, ' left': -1.4657133, 'left': -5.598142, 'Left': -7.1778674, ' Right': -7.2855334}
{' Right': -0.018420663, ' right': -4.128171, 'Right': -6.84184, 'right': -7.7325583, ' Left': -7.842925}
{' Left': -0.11808304, ' left': -2.2341642, 'left': -5.8510714, 'Left': -6.957541, ' Right': -7.8314347}
{' Right': -0.16750307, ' right': -1.8954197, 'right': -5.9984794, 'Right': -6.6234584, ' ': -9.876887}
{' Left': -0.13280465, ' left': -2.1274602, 'left': -5.9591627, ' Right': -6.5466604, 'Left': -6.936111}
{' Right': -0.2832284, ' right': -1.4154991, ' Left': -6.452145, 'right': -7.042386, 'Right': -7.2339406}
{' Left': -0.51555717, ' left': -1.0935811, ' Right': -3.2742088, ' right': -3.637204, 'left': -5.8687997}
{' right': -0.5084839, ' Right': -0.92884445, 'right': -5.8372817, 'Right': -7.4333487, ' RIGHT': -10.357589}
{' left': -0.83753693, ' Left': -0.87032616, ' right': -2.5306444, ' Right': -2.7358143, 'left': -5.843539}
{' Right': -0.014914161, ' right': -4.427937, 'Right': -6.234999, 'right': -7.851959, ' Left': -8.185644}
{' Left': -0.05858374, ' left': -2.9253078, 'left': -6.412023, 'Left': -6.481403, ' Right': -9.860457}
{' Right': -0.05749773, ' right': -2.9587963, 'Right': -5.92458, 'right': -6.6967416, ' ': -9.878649}
{' Left': -0.17226908, ' left': -1.8892928, 'left': -5.3634577, 'Left': -6.1072664, ' Right': -9.528544}
{' Right': -0.008762091, ' right': -4.809072, 'Right': -8.108866, ' Left': -8.895844, 'right': -9.299278}
{' Left': -0.08801995, ' left': -2.4887233, 'left': -7.121288, 'Left': -7.8094893, ' Right': -11.277532}
{' Right': -0.14336948, ' right': -2.0202308, 'right': -7.365714, 'Right': -8.2314005, ' ': -10.98771}
{' Left': -0.1698591, ' left': -1.8711759, 'left': -6.4171977, 'Left': -7.822452, ' Right': -8.592236}
{' Right': -0.15063249, ' right': -2.13907, 'right': -4.5356326, 'Right': -4.5558333, ' Left': -7.5848823}
{' Left': -1.2362157, ' left': -1.3520051, ' Right': -1.4818459, ' right': -1.7183055, 'right': -3.93704}
{' right': -0.72447836, ' Right': -0.72486746, 'right': -3.6908937, 'Right': -5.158419, ' ': -8.761936}
{' Left': -0.99773294, ' left': -1.2983464, ' Right': -1.6014869, ' right': -2.0651176, 'left': -4.278441}
{' Right': -0.068039075, ' right': -2.7302055, 'Right': -8.036676, 'right': -8.58992, ' Left': -10.203858}
{' Left': -0.19126888, ' left': -1.7658919, ' Right': -6.7202063, 'left': -7.0379343, 'Left': -7.110954}
{' Right': -0.097632885, ' right': -2.3819115, 'Right': -7.910251, 'right': -8.633502, ' RIGHT': -9.986598}
{' Left': -0.39917183, ' left': -1.1159897, 'left': -6.8596377, 'Left': -7.7024403, ' Right': -10.597765}
{' Right': -0.16971663, ' right': -1.8750101, 'right': -6.6051526, 'Right': -6.627034, ' Left': -10.496805}
{' Left': -0.1911793, ' left': -1.895567, ' Right': -4.0033092, 'left': -6.055227, ' right': -6.429533}
{' Right': -0.06323504, ' right': -2.8203685, 'Right': -6.8151956, 'right': -7.6789384, ' RIGHT': -10.095417}
{' Left': -0.32164988, ' left': -1.30452, 'left': -5.9408517, 'Left': -6.8030305, ' "': -13.027793}
{' Right': -0.3100053, ' right': -1.347355, 'right': -5.5038123, 'Right': -6.240715, ' Left': -8.264654}
{' Left': -0.38064718, ' left': -1.2353398, ' Right': -4.18214, 'left': -5.3395014, ' right': -5.8509645}
{' Right': -0.12876973, ' right': -2.1447036, 'Right': -6.2952423, 'right': -6.454788, ' RIGHT': -9.371974}
{' Left': -0.6123963, ' left': -0.79337895, 'left': -5.4475975, 'Left': -6.640909, ' Right': -11.539565}
{' right': -0.35579023, ' Right': -1.211217, 'right': -6.817601, 'Right': -7.8315682, ' left': -10.618572}
{' left': -0.5361218, ' Left': -0.8919205, 'left': -5.9816055, ' Right': -7.0269313, 'Left': -7.055626}
{' Right': -0.6180004, ' right': -0.77962905, 'right': -6.5799484, 'Right': -7.187784, ' left': -9.458843}
{' left': -0.2610115, ' Left': -1.4828303, 'left': -6.0724487, 'Left': -7.8030376, ' right': -11.613566}
{' Right': -0.30613387, ' right': -1.401013, 'right': -4.587609, 'Right': -5.1592736, ' Left': -7.3773193}
{' Left': -0.54463667, ' left': -0.9285897, 'left': -4.4923596, 'Left': -5.0138726, ' Right': -5.20814}
{' Right': -0.15038002, ' right': -2.0135126, 'Right': -5.6759305, 'right': -6.2241693, ' Left': -8.151603}
{' left': -0.66566306, ' Left': -0.7415145, 'left': -4.9534173, 'Left': -5.956766, ' Right': -11.2074175}
{' Right': -0.036765918, ' right': -3.3380504, 'Right': -7.8323965, 'right': -8.6586485, ' RIGHT': -11.525889}
{' Left': -0.19039449, ' left': -1.8159363, ' Right': -4.9356527, 'left': -6.2343664, 'Left': -6.8894076}
{' Right': -0.023418486, ' right': -3.7938328, 'Right': -7.719525, 'right': -9.101931, ' RIGHT': -10.020626}
{' Left': -0.0684907, ' left': -2.728002, 'left': -7.747226, 'Left': -7.7992206, ' "': -12.713605}
{' right': -0.6633063, ' Right': -0.8069811, 'right': -3.576547, 'Right': -4.5566187, ' ': -8.995693}
{' left': -0.39816993, ' Left': -1.2332473, 'left': -4.068483, ' right': -4.915427, 'Left': -4.9238234}
{' right': -0.42408836, ' Right': -1.1617802, 'right': -3.7661772, 'Right': -4.680957, ' ': -8.869967}
{' left': -0.17154968, ' Left': -2.0473354, 'left': -3.7376564, 'Left': -5.3567343, ' ': -10.345155}
{' Left': -0.5138225, ' left': -0.9176941, 'left': -6.3013763, 'Left': -8.099682, ' Right': -8.664379}
{' Right': -0.07981492, ' right': -2.577301, 'Right': -7.9399395, 'right': -8.092224, ' Left': -10.408051}
{' Left': -0.34633967, ' left': -1.2378726, 'left': -6.3673015, 'Left': -7.427392, ' Right': -8.003499}
{' Right': -0.09426319, ' right': -2.4199352, 'Right': -7.775284, 'right': -7.776109, ' Left': -8.930837}
{' Left': -0.4936061, ' left': -0.96420425, 'left': -5.015264, 'Left': -6.52176, ' Right': -8.933154}
{' Right': -0.16819791, ' right': -1.8851701, 'right': -6.496845, 'Right': -6.5986176, ' ': -10.002909}
{' Left': -0.36868954, ' left': -1.2726259, ' Right': -4.1720304, 'left': -4.9378443, ' right': -5.7423725}
{' Left': -0.35547796, ' left': -1.2559698, 'left': -4.701404, 'Left': -5.9358554, ' Right': -6.184358}
{' left': -0.23042572, ' Left': -1.6047294, 'left': -5.410277, 'Left': -7.9240212, ' right': -11.562013}
{' Right': -0.2895399, ' right': -1.3985659, 'right': -6.026306, 'Right': -6.3646145, ' ': -9.176817}
{' left': -0.6402274, ' Left': -0.7680026, 'left': -4.97963, 'Left': -6.2549734, ' ': -10.218999}
{' Right': -0.27265462, ' right': -1.4634162, 'right': -5.5850186, 'Right': -6.296706, ' Left': -7.030736}
{' left': -0.1538242, ' Left': -1.9821721, 'left': -5.477291, 'Left': -8.194164, ' right': -8.396816}
{' right': -0.58502537, ' Right': -0.8212467, 'right': -6.222795, 'Right': -7.475103, ' left': -8.3206215}
{' left': -0.28381068, ' Left': -1.4555006, 'left': -4.9804907, ' right': -5.5398417, ' Right': -6.2194176}
{' right': -0.5646616, ' Right': -0.8938758, ' left': -4.403973, ' Left': -5.2445054, 'right': -5.5527534}
{' left': -0.28365988, ' Left': -1.4378117, 'left': -4.78579, 'Left': -6.77134, ' ': -11.181547}
{' Right': -0.5363293, ' right': -0.9035226, 'right': -5.1504006, 'Right': -5.683496, ' ': -7.986059}
{' left': -0.30885622, ' Left': -1.3945819, 'left': -4.1943126, 'Left': -5.9688787, ' ': -9.3261}
{' Right': -0.58717054, ' right': -0.82868475, 'right': -5.289649, 'Right': -6.069155, ' ': -9.515378}
{' Left': -0.39049616, ' left': -1.1358652, 'left': -6.342822, 'Left': -7.950621, ' Right': -11.165266}
{' Right': -0.04418188, ' right': -3.1600606, 'Right': -7.756603, 'right': -8.087175, ' RIGHT': -10.652653}
{' Left': -0.28850734, ' left': -1.3945388, 'left': -6.22275, 'Left': -7.3634386, ' ': -10.705162}
{' Right': -0.056023963, ' right': -2.9204838, 'Right': -8.179162, 'right': -8.269, ' ': -11.096261}
{' left': -0.3896403, ' Left': -1.2419963, 'left': -3.915849, ' right': -5.276618, ' Right': -5.426284}
{' Right': -0.46294865, ' right': -1.5765103, ' Left': -2.459647, ' left': -2.8116176, 'right': -4.6664777}
{' left': -0.49600294, ' Left': -1.0651253, ' right': -4.265628, 'left': -4.312743, ' Right': -4.3387556}
{' left': -0.8714739, ' Left': -1.1095376, ' Right': -2.0853736, ' right': -2.2418487, 'left': -4.557698}
{' Left': -0.095750935, ' left': -2.7554553, ' Right': -3.6550045, ' right': -6.8494697, 'Left': -7.824186}
{' Right': -0.11394492, ' right': -2.7131653, ' Left': -3.3225381, ' left': -5.5307026, 'Right': -7.282612}
{' Left': -0.33568776, ' left': -1.2751696, ' Right': -5.6935883, 'left': -6.926176, ' right': -7.07798}
{' Right': -0.15168495, ' right': -2.2513993, ' Left': -3.6586199, ' left': -4.7858114, 'Right': -7.289197}
{' Left': -0.18612966, ' left': -1.8218012, 'left': -5.703984, 'Left': -5.9323587, ' Right': -6.8055997}
{' Right': -0.4252351, ' right': -1.1216596, 'right': -4.670623, 'Right': -5.5225596, ' Left': -5.6419973}
{' Left': -0.5036756, ' left': -0.94689757, 'left': -5.2668114, 'Left': -6.007051, ' ': -9.324898}
{' Right': -0.1494142, ' right': -2.0473616, 'Right': -5.4453125, 'right': -5.7207265, ' Left': -6.622579}
{' Left': -0.11427302, ' left': -2.2968063, 'Left': -5.866764, 'left': -6.206775, ' Right': -6.2431064}
{' Right': -0.28502694, ' right': -1.5075248, 'right': -4.5482845, ' Left': -5.084795, 'Right': -5.2216835}
{' Left': -0.42273542, ' left': -1.0850279, 'left': -5.5333805, 'Left': -6.035715, ' Right': -8.292968}
{' Right': -0.15254213, ' right': -2.092735, ' Left': -4.9324355, 'Right': -5.4317813, 'right': -5.720789}
{' Left': -0.68087614, ' left': -0.78098524, ' Right': -4.072062, ' right': -4.35759, 'left': -5.6724834}
{' right': -0.19097424, ' Right': -1.9038248, ' left': -4.4729414, 'right': -4.9453573, ' Left': -5.784047}
{' left': -0.37914145, ' Left': -1.1693676, 'left': -5.7435036, 'Left': -6.7068663, ' right': -8.072682}
{' right': -0.5424085, ' Right': -0.9195887, ' left': -4.8695436, 'right': -5.141596, ' Left': -5.6196632}
{' Left': -0.13455695, ' left': -2.1456406, 'Left': -5.3081656, 'left': -5.728804, ' Right': -7.592515}
{' Right': -0.105671376, ' right': -2.3869002, 'Right': -5.405787, 'right': -5.7080727, ' ': -8.100328}
{' Left': -0.1567903, ' left': -1.9658647, 'Left': -5.9388103, 'left': -6.083943, ' Right': -9.024416}
{' Right': -0.095436335, ' right': -2.5330718, 'Right': -5.2716007, ' Left': -5.90826, 'right': -6.018398}
{' Left': -0.20587552, ' left': -1.8893719, ' Right': -3.5666425, ' right': -5.94948, 'left': -6.321663}
{' Right': -0.2687677, ' right': -1.4559225, 'right': -6.6175303, 'Right': -6.9378786, ' RIGHT': -9.648709}
{' Left': -0.08821114, ' left': -2.4888725, 'Left': -7.461881, 'left': -7.536997, ' Right': -8.133184}
{' Right': -0.033107422, ' right': -3.5089068, 'Right': -6.5563674, ' Left': -7.593199, 'right': -7.6474814}
{' left': -0.7621865, ' Left': -0.81555986, 'left': -3.0550196, 'Left': -3.6026385, ' Right': -5.1175637}
{' right': -0.5352506, ' Right': -1.4478617, 'right': -1.9426337, 'Right': -3.5358894, ' left': -6.066092}
{' left': -0.42488652, ' Left': -1.2832259, 'left': -3.0191855, 'Left': -3.930839, ' ': -7.6427636}
{' right': -0.59504503, ' Right': -1.1696339, 'right': -2.3009298, 'Right': -3.4810865, ' left': -5.637443}
{' Left': -0.6977332, ' left': -0.82399213, ' Right': -3.165705, ' right': -3.952429, 'left': -6.292719}
{' Left': -1.0269724, ' left': -1.042752, ' Right': -1.7356328, ' right': -2.203591, 'left': -6.2237744}
{' left': -0.3660174, ' Left': -1.5325557, ' right': -2.9444969, ' Right': -3.3860939, 'left': -5.629979}
{' right': -1.0183083, ' left': -1.1582066, ' Right': -1.6528354, ' Left': -2.033697, 'left': -6.8142157}
{' Left': -0.22994994, ' left': -1.7346362, ' Right': -3.9915943, 'left': -5.120569, ' right': -5.7353287}
{' Left': -0.50157714, ' Right': -1.1725423, ' left': -2.8212583, ' right': -3.798311, 'left': -6.475913}
{' Left': -0.4436208, ' left': -1.6972141, ' Right': -1.9411794, ' right': -3.6641483, 'left': -5.4549522}
{' Left': -0.5438826, ' left': -1.3580744, ' Right': -2.1707172, ' right': -3.1968992, 'left': -5.188286}
{' Left': -0.31526965, ' left': -1.7903959, ' Right': -2.4471495, ' right': -4.398905, 'left': -5.6863112}
{' Left': -0.07585472, ' left': -2.9229386, ' Right': -4.1128287, 'left': -6.533075, ' right': -7.251909}
{' Left': -0.16265875, ' left': -2.1069376, ' Right': -3.7762299, 'left': -5.97073, ' right': -6.2232437}
{' Left': -0.27328473, ' left': -2.180395, ' Right': -2.1979024, ' right': -4.4086986, 'left': -6.272998}
{' left': -0.6105021, ' Left': -0.97971904, ' right': -3.219467, ' Right': -3.355255, 'left': -5.238872}
{' Left': -0.70650935, ' left': -1.1774052, ' Right': -2.0033863, ' right': -2.8375003, 'left': -5.6688147}
{' left': -0.73437804, ' Left': -1.5467883, ' right': -1.7239581, ' Right': -2.1024983, 'left': -5.4369197}
{' left': -0.647695, ' Left': -1.2742571, ' right': -2.0771632, ' Right': -2.722564, 'left': -5.465612}
{' Left': -0.1666819, ' left': -2.0494065, ' Right': -4.1872635, 'left': -5.1652036, 'Left': -6.175186}
{' Left': -0.084278814, ' left': -2.9318454, ' Right': -3.8041444, 'left': -6.104302, 'Left': -6.29089}
{' Left': -0.19761156, ' left': -1.8792962, ' Right': -4.0174546, 'left': -5.4868855, ' right': -6.075978}
{' Left': -0.15783758, ' left': -2.1337383, ' Right': -3.8496194, 'left': -5.997035, ' right': -6.0340466}
{' Left': -0.22370939, ' left': -2.0127833, ' Right': -2.8512077, ' right': -5.1799545, 'left': -6.058283}
{' Left': -0.11857711, ' left': -2.3787336, ' Right': -4.207801, 'left': -6.057658, ' right': -6.8434477}
{' Left': -0.2615415, ' left': -1.8424455, ' Right': -2.7834604, ' right': -5.0823784, 'left': -5.9111133}
{' Left': -0.19440295, ' left': -1.8923113, ' Right': -3.8611262, ' right': -5.9170475, 'left': -6.370188}
{' Left': -0.5620555, ' left': -0.9619253, ' Right': -3.8956983, ' right': -4.385406, 'left': -4.5065327}
{' Left': -0.42449197, ' left': -1.6402531, ' Right': -2.2101023, ' right': -3.5488148, 'left': -5.0206966}
{' left': -0.69772136, ' Left': -0.91398036, ' right': -3.1433828, ' Right': -3.185541, 'left': -4.438209}
{' left': -0.6595591, ' Left': -0.8769111, ' right': -3.6092334, ' Right': -3.738027, 'left': -4.43765}
{' Right': -0.05763353, ' right': -2.9127817, ' Left': -6.8750424, 'Right': -8.212571, 'right': -8.312112}
{' Left': -0.2883451, ' left': -1.5304638, ' Right': -3.6289234, ' right': -5.1115303, 'left': -6.727229}
{' Right': -0.34935308, ' right': -1.225181, 'right': -7.071315, 'Right': -8.354667, ' Left': -10.409502}
{' Left': -0.343078, ' left': -1.5997766, ' Right': -2.681251, ' right': -3.9797394, 'left': -6.940427}
{' Right': -0.046880234, ' right': -3.203275, ' Left': -5.7864637, 'Right': -6.892671, 'right': -7.139972}
{' Left': -0.15102257, ' left': -2.0476632, ' Right': -5.0365796, 'left': -5.7948594, ' right': -7.1224446}
{' Right': -0.22266753, ' right': -1.6418265, 'right': -5.6353106, ' Left': -6.7805934, 'Right': -6.949844}
{' Left': -0.13122568, ' left': -2.3473299, ' Right': -3.7814674, 'left': -6.2349753, ' right': -6.2721877}
{' Right': -0.05008339, ' Left': -3.440552, ' right': -4.247946, ' left': -6.9934726, 'Right': -7.0222335}
{' Left': -0.049255524, ' left': -3.330925, ' Right': -4.5788956, 'left': -6.8143115, 'Left': -7.4573417}
{' Right': -0.074292846, ' right': -2.6891189, 'right': -6.692819, ' Left': -6.770757, 'Right': -6.880157}
{' Left': -0.10335094, ' Right': -2.9123204, ' left': -3.2274256, ' right': -6.1399393, 'left': -6.8105702}
{' Right': -0.30592543, ' right': -1.3706934, ' Left': -5.204273, ' left': -6.284389, 'right': -6.606205}
{' Left': -0.9411628, ' Right': -1.0522431, ' right': -1.8892068, ' left': -2.2391174, 'right': -6.7791147}
{' right': -0.6079757, ' Right': -0.8015507, 'right': -5.6494145, ' Left': -6.425045, ' left': -6.9092007}
{' Right': -1.1448896, ' Left': -1.3105009, ' right': -1.3899171, ' left': -1.8415277, 'right': -6.2730575}
{' Right': -0.013261334, ' right': -4.8313556, ' Left': -5.7118983, 'Right': -6.537221, 'right': -8.33925}
{' Left': -0.030892055, ' left': -3.626305, ' Right': -6.4358444, 'left': -6.815302, 'Left': -6.863203}
{' Right': -0.02640585, ' right': -3.757361, 'Right': -6.273133, 'right': -7.380614, ' Left': -8.943413}
{' Left': -0.10136905, ' Right': -2.8817453, ' left': -3.3430684, 'left': -6.41212, 'Left': -6.536032}
{' Right': -0.009390154, ' right': -4.8673744, ' Left': -6.7405877, 'Right': -8.147091, 'right': -9.366573}
{' Left': -0.054110304, ' left': -3.0054154, ' Right': -6.0661683, 'left': -7.564749, 'Left': -8.439476}
{' Right': -0.036336422, ' right': -3.349416, 'right': -8.227815, 'Right': -8.330376, ' Left': -9.95032}
{' Left': -0.08454647, ' left': -2.9114027, ' Right': -3.706382, ' right': -6.827022, 'left': -7.3481603}
{' Right': -0.11080597, ' right': -2.645943, ' Left': -4.211106, 'Right': -4.720679, 'right': -4.844942}
{' Right': -0.22636594, ' right': -1.7974929, 'right': -4.0211234, 'Right': -4.6374393, ' Left': -4.976581}
{' Right': -0.29083034, ' right': -1.4726064, 'right': -4.2001987, 'Right': -4.860122, ' ': -8.775852}
{' Left': -0.5825158, ' Right': -1.613619, ' left': -1.7844353, ' right': -2.9186018, 'left': -4.7550316}
{' Right': -0.051565558, ' right': -3.0548422, ' Left': -6.0756645, 'Right': -7.9529705, ' left': -8.266966}
{' Left': -0.2563232, ' Right': -1.9595417, ' left': -2.5664256, ' right': -4.9033546, 'Left': -7.724554}
{' Right': -0.08579717, ' right': -2.5083206, 'Right': -8.1521015, ' Left': -8.472715, 'right': -8.667587}
{' Left': -0.23036455, ' left': -1.586743, 'left': -7.328167, 'Left': -7.74532, ' Right': -9.634174}
{' Right': -0.20783874, ' right': -1.8608595, ' Left': -3.902535, ' left': -4.8389783, 'right': -5.986129}
{' Left': -0.25643057, ' Right': -1.9677001, ' left': -2.566613, ' right': -5.009444, 'left': -6.583937}
{' Right': -0.05538408, ' right': -2.9597914, 'Right': -6.799766, 'right': -7.3276343, ' Left': -8.743965}
{' Left': -0.28729236, ' left': -1.4070643, 'left': -5.665603, 'Left': -6.6073027, ' Right': -10.57736}
{' Right': -0.37435734, ' right': -1.265671, 'right': -4.586508, ' left': -4.7301483, ' Left': -4.824148}
{' Left': -0.42035934, ' left': -1.6865432, ' Right': -2.005904, ' right': -4.0378613, 'left': -5.8567505}
{' Right': -0.16685739, ' right': -1.9128519, 'right': -5.9515915, 'Right': -6.2263184, ' Left': -7.1749473}
{' Left': -0.5282999, ' left': -0.90898764, 'left': -5.239825, 'Left': -6.5222077, ' Right': -7.595782}
{' right': -0.56149894, ' Right': -0.8590855, 'right': -5.9012794, ' left': -6.4680343, ' Left': -6.941778}
{' Left': -0.74977136, ' left': -1.1535951, ' Right': -1.939196, ' right': -2.7487583, 'left': -5.993156}
{' Right': -0.46975496, ' right': -0.9882238, 'right': -6.5361853, 'Right': -7.008468, ' ': -9.686573}
{' left': -0.3929906, ' Left': -1.1348443, 'left': -5.9041862, 'Left': -7.334564, ' Right': -9.838921}
{' Right': -0.47645065, ' right': -1.3559538, ' left': -2.8629234, ' Left': -3.1005542, 'right': -4.39572}
{' Left': -0.7861201, ' left': -0.8860614, ' Right': -2.443528, ' right': -3.6811433, 'left': -4.406512}
{' Right': -0.11878678, ' right': -2.2796278, 'Right': -5.66544, ' Left': -5.9054456, 'right': -6.167067}
{' left': -0.6812737, ' Left': -0.73228395, 'left': -4.6649523, 'Left': -5.6063776, ' Right': -9.50353}
{' Right': -0.0858877, ' right': -2.8359811, ' Left': -4.0078826, ' left': -5.672773, 'right': -6.9129257}
{' Left': -0.119976036, ' left': -2.3644905, ' Right': -4.13389, 'left': -6.606456, 'Left': -6.955278}
{' Right': -0.025884876, ' right': -3.695864, 'Right': -7.6355953, 'right': -8.844683, ' RIGHT': -10.15947}
{' Left': -0.0722011, ' left': -2.6786788, 'Left': -7.5750566, 'left': -7.644058, ' "': -12.157563}
{' right': -0.44269422, ' Right': -1.1443754, 'right': -3.5582662, 'Right': -5.0782666, ' left': -5.8652463}
{' Left': -0.76336664, ' left': -1.0027122, ' Right': -2.3456478, ' right': -2.9762611, 'left': -4.7038803}
{' Right': -0.5187769, ' right': -0.9776717, 'right': -4.076337, 'Right': -4.5090666, ' ': -7.837203}
{' left': -0.2833077, ' Left': -1.4884754, 'left': -4.1177287, 'Left': -5.3671966, ' ': -10.123216}
{' Left': -0.18737088, ' left': -1.7971368, ' Right': -5.71558, 'left': -6.736647, 'Left': -7.9019914}
{' Right': -0.024147345, ' right': -3.782677, ' Left': -7.4128513, 'Right': -8.230864, 'right': -8.7824}
{' Left': -0.2942336, ' left': -1.9752446, ' Right': -2.244448, ' right': -4.7914925, 'left': -6.691691}
{' Right': -0.13561635, ' Left': -2.8107471, ' right': -2.8805387, ' left': -4.6830635, 'right': -7.342646}
{' Left': -0.6002864, ' left': -0.8232803, 'left': -4.7026615, ' Right': -6.510875, 'Left': -6.625259}
{' Right': -0.09046735, ' right': -2.6021059, ' Left': -4.9242835, ' left': -6.213086, 'right': -6.3507056}
{' Right': -0.13691859, ' right': -2.6860194, ' Left': -3.0758872, ' left': -4.6185184, 'right': -6.2066965}
{' Left': -0.38420054, ' left': -1.4048667, ' Right': -2.8877919, ' right': -4.6289916, 'left': -5.1148176}
{' Right': -0.8053869, ' right': -1.0134273, ' left': -2.1224205, ' Left': -2.764236, 'right': -5.330941}
{' Left': -0.75758225, ' left': -0.78130966, ' Right': -3.0394425, ' right': -3.9962485, 'left': -5.201361}
{' Right': -0.1469722, ' right': -2.1182494, ' Left': -4.8371406, 'right': -5.753755, ' left': -5.7575145}
{' Left': -0.48027128, ' left': -1.0511656, ' Right': -3.9465892, ' right': -5.0236444, 'left': -5.4157324}
{' left': -0.40298787, ' Left': -1.1381048, 'left': -5.41261, ' Right': -5.7382326, ' right': -5.7912207}
{' Right': -0.2612691, ' right': -1.4937177, 'right': -6.2579136, ' Left': -6.4940796, ' left': -6.857937}
{' Left': -0.8089548, ' left': -1.2270114, ' Right': -1.6780993, ' right': -2.6823735, 'left': -5.570557}
{' Right': -1.0673803, ' Left': -1.3282446, ' left': -1.5010294, ' right': -1.8244928, 'right': -5.8617125}
{' left': -0.2801382, ' Left': -1.6399462, ' right': -3.7601452, ' Right': -4.082552, 'left': -4.7454796}
{' left': -0.30041087, ' Left': -1.4441962, 'left': -4.6592116, ' right': -5.060331, ' Right': -5.1002326}
{' Right': -0.61313933, ' right': -1.701854, ' Left': -1.9678432, ' left': -2.0713856, 'right': -5.427497}
{' Left': -0.4557733, ' left': -1.0417051, ' Right': -5.3093667, 'left': -5.370572, 'Left': -6.2873516}
{' Left': -0.15732576, ' left': -1.9429646, 'left': -6.923321, ' Right': -6.950191, 'Left': -8.145736}
{' Right': -0.023036415, ' right': -4.2167063, ' Left': -5.0114202, 'Right': -7.604257, ' left': -7.720626}
{' Left': -0.111142635, ' left': -2.700193, ' Right': -3.3531964, 'left': -6.5201273, ' right': -7.055876}
{' Right': -0.021578522, ' right': -4.05312, ' Left': -5.7611275, 'Right': -8.003674, 'right': -8.222874}
{' left': -0.30981532, ' Left': -1.4302319, 'left': -4.0772448, ' right': -5.565724, ' Right': -5.805121}
{' Right': -0.36494958, ' right': -1.4264007, ' Left': -3.639621, ' left': -3.8602786, 'right': -4.514333}
{' Right': -0.8192008, ' right': -1.1445316, ' left': -2.1061502, ' Left': -2.359381, 'right': -4.209257}
{' left': -0.66429037, ' Left': -1.0311004, ' Right': -2.8468063, ' right': -2.988015, 'left': -4.3354306}
{' Left': -0.2789606, ' Right': -1.7000304, ' left': -2.9718637, ' right': -4.7596636, 'Left': -7.8592076}
{' Right': -0.15711595, ' right': -2.4534492, ' Left': -2.9851434, ' left': -4.974615, 'Right': -7.003191}
{' Left': -0.33385587, ' left': -1.2781327, ' Right': -5.898553, 'left': -6.744806, ' right': -7.2648754}
{' Right': -0.22878316, ' right': -1.7246424, ' Left': -4.078591, ' left': -4.836617, 'right': -7.300722}
