{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' Yes': -0.017378405, 'Yes': -4.078625, ' yes': -8.495333, ' YES': -10.091768, ' ': -10.831657}
{' Yes': -0.017169248, 'Yes': -4.0876245, ' yes': -8.667464, ' YES': -10.398061, ' ': -10.554463}
{' Yes': -0.023955876, 'Yes': -3.754022, ' yes': -8.859727, ' YES': -9.716859, ' ': -11.020642}
{' Yes': -0.020821398, 'Yes': -3.8904426, ' yes': -9.0578375, ' YES': -10.58693, ' ': -10.9225445}
{' Yes': -0.008834487, 'Yes': -4.756252, ' yes': -8.873775, ' YES': -10.3071375, ' ': -11.244275}
{' Yes': -0.010387922, 'Yes': -4.5828996, ' yes': -9.47934, ' YES': -11.051073, ' ': -11.416735}
{' Yes': -0.027231583, 'Yes': -3.6280482, ' yes': -8.581568, ' YES': -10.04463, ' ': -10.355587}
{' Yes': -0.024717199, 'Yes': -3.71895, ' yes': -9.220052, ' ': -10.653292, ' YES': -11.083999}
{' Yes': -0.016252723, 'Yes': -4.16555, ' yes': -7.6532288, ' YES': -9.773825, ' ': -10.333093}
{' Yes': -0.013275586, 'Yes': -4.3618875, ' yes': -8.040977, ' ': -9.783019, ' YES': -10.230534}
{' Yes': -0.0007460621, 'Yes': -7.3969955, ' yes': -9.146191, ' YES': -11.240574, ' No': -12.125876}
{' Yes': -0.00077630725, 'Yes': -7.262472, ' yes': -9.741425, ' YES': -11.702903, ' ': -12.256708}
{' Yes': -0.0052611507, 'Yes': -5.29332, ' yes': -8.799633, ' YES': -10.243715, ' ': -10.918844}
{' Yes': -0.0054677133, 'Yes': -5.239043, ' yes': -9.230174, ' ': -10.661761, ' YES': -10.988824}
{' Yes': -0.007539109, 'Yes': -4.924964, ' yes': -8.892402, ' ': -10.16269, ' YES': -10.423717}
{' Yes': -0.00857583, 'Yes': -4.7859325, ' yes': -9.200853, ' ': -9.988371, ' YES': -10.833143}
{' Yes': -0.0013906625, 'Yes': -6.6442356, ' yes': -9.562644, ' YES': -11.496878, ' ': -12.502125}
{' Yes': -0.0019554652, 'Yes': -6.279284, ' yes': -9.761377, ' YES': -11.462267, ' ': -11.780789}
{' Yes': -0.006875414, 'Yes': -5.032035, ' yes': -8.994069, ' ': -9.086917, '\n': -9.737194}
{' Yes': -0.0074564167, 'Yes': -4.9308, ' ': -9.423178, ' yes': -9.460428, '\n': -10.4984455}
{' Yes': -0.005311424, 'Yes': -5.3522506, ' yes': -7.936276, '\n': -9.279222, ' ': -9.690117}
{' Yes': -0.006540764, 'Yes': -5.1162395, ' yes': -7.9002585, ' ': -9.622654, '\n': -10.093681}
{' Yes': -0.01784503, 'Yes': -4.078157, ' yes': -7.409668, ' YES': -9.949925, ' ': -10.236846}
{' Yes': -0.021500142, 'Yes': -3.9221537, ' yes': -6.6314473, 'yes': -9.679186, ' YES': -9.753714}
{' Yes': -0.028085833, 'Yes': -3.5973513, ' yes': -8.32677, ' YES': -10.613588, 'yes': -10.672322}
{' Yes': -0.028634211, 'Yes': -3.5838423, ' yes': -7.8598013, 'yes': -10.252475, ' YES': -10.508946}
{' Yes': -0.062470898, 'Yes': -2.819089, ' yes': -7.5220346, ' YES': -8.602191, 'yes': -9.5904665}
{' Yes': -0.06406057, 'Yes': -2.7932818, ' yes': -7.4007015, ' YES': -9.326233, 'yes': -9.460943}
{' Yes': -0.013098991, 'Yes': -4.378686, ' yes': -7.863917, ' YES': -10.344224, ' ': -10.904162}
{' Yes': -0.014072114, 'Yes': -4.314232, ' yes': -7.5480046, ' YES': -10.463669, 'yes': -10.583935}
{' Yes': -0.070957445, 'Yes': -2.6890068, ' yes': -7.997482, 'yes': -9.472771, ' YES': -9.743663}
{' Yes': -0.04408059, 'Yes': -3.1576402, ' yes': -7.7944393, ' ': -9.648118, 'yes': -9.649206}
{' Yes': -0.046155155, 'Yes': -3.1374786, ' yes': -6.5629582, 'yes': -8.946654, ' YES': -9.461787}
{' Yes': -0.04672939, 'Yes': -3.1522572, ' yes': -6.0146894, 'yes': -8.523593, ' YES': -9.180715}
{' Yes': -0.0030498104, 'Yes': -6.175124, ' yes': -7.0640955, ' ': -10.084401, ' YES': -10.524565}
{' Yes': -0.0015629958, 'Yes': -6.7663693, ' yes': -7.8940415, ' ': -10.88692, ' YES': -11.448575}
{' Yes': -0.0095047215, 'Yes': -4.7463326, ' yes': -7.3732867, ' ': -9.846489, ' YES': -9.854372}
{' Yes': -0.011271908, 'Yes': -4.551643, ' yes': -7.515622, ' ': -9.735187, ' YES': -10.587641}
{' Yes': -0.00888825, 'Yes': -4.7824574, ' yes': -8.123349, ' ': -9.513625, '\n': -9.755966}
{' Yes': -0.010409424, 'Yes': -4.5969915, ' yes': -8.692782, ' ': -9.652532, '\n': -11.065316}
{' Yes': -0.0044217897, 'Yes': -5.58514, ' yes': -7.4568524, ' ': -10.615573, ' YES': -10.675293}
{' Yes': -0.004491122, 'Yes': -5.5513873, ' yes': -7.5738635, ' ': -10.113103, ' YES': -10.780494}
{' Yes': -0.010016571, 'Yes': -4.6818323, ' yes': -8.051063, ' ': -8.329477, '\n': -9.231873}
{' Yes': -0.009916876, 'Yes': -4.6617665, ' ': -8.647948, ' yes': -8.856092, '\n': -9.514846}
{' Yes': -0.016287437, 'Yes': -4.4851384, ' yes': -5.5096936, '\n': -7.8485723, ' ': -8.345419}
{' Yes': -0.022075139, 'Yes': -4.130761, ' yes': -5.276733, ' ': -8.376885, '\n': -8.426112}
{' Yes': -0.0008790905, 'Yes': -7.1870947, ' yes': -9.47029, ' ': -10.838309, ' YES': -11.502336}
{' Yes': -0.0017393598, 'Yes': -6.4419975, ' yes': -9.491599, ' ': -10.200396, ' YES': -11.092274}
{' Yes': -0.006199985, 'Yes': -5.118512, ' yes': -9.006974, ' ': -10.279782, ' YES': -10.924241}
{' Yes': -0.0080403825, 'Yes': -4.8569307, ' yes': -9.127126, ' ': -9.519946, '\n': -10.626441}
{' Yes': -0.006357675, 'Yes': -5.103302, ' yes': -9.407757, '\n': -9.443056, ' ': -9.459057}
{' Yes': -0.010669524, 'Yes': -4.578676, '\n': -9.046899, ' ': -9.171045, ' yes': -9.228765}
{' Yes': -0.0010991918, 'Yes': -6.8976135, ' yes': -9.902811, ' ': -10.722908, ' YES': -11.62703}
{' Yes': -0.0021780764, 'Yes': -6.2046866, ' yes': -9.473209, ' ': -9.935059, ' YES': -11.078489}
{' Yes': -0.010621149, 'Yes': -4.6219563, ' ': -8.113633, '\n': -8.194606, ' yes': -8.96296}
{' Yes': -0.010230561, 'Yes': -4.627317, ' ': -8.604518, '\n': -9.148429, ' yes': -9.325131}
{' Yes': -0.0020178189, 'Yes': -6.300588, ' yes': -9.1851, ' ': -10.274919, '\n': -10.31657}
{' Yes': -0.0028003505, 'Yes': -5.9643764, ' yes': -8.747219, ' ': -10.215252, '\n': -10.974707}
{' Yes': -0.013220262, ' No': -4.592928, 'Yes': -5.8764515, ' yes': -9.290564, 'No': -9.643497}
{' Yes': -0.03496616, ' No': -3.4908378, 'Yes': -5.6496873, 'No': -8.425988, ' ': -9.367232}
{' Yes': -0.017488854, 'Yes': -4.1050553, ' No': -7.778003, ' yes': -8.084276, ' YES': -10.04398}
{' Yes': -0.03771885, ' No': -3.6863334, 'Yes': -4.507821, 'No': -7.382922, ' yes': -8.623202}
{' Yes': -0.01947574, 'Yes': -3.9832282, ' No': -7.9655185, ' yes': -8.569329, ' YES': -9.742371}
{' Yes': -0.017600833, 'Yes': -4.164024, ' No': -6.450866, ' yes': -8.762474, ' ': -9.448363}
{' Yes': -0.010391956, 'Yes': -5.1939187, ' No': -5.393534, ' yes': -9.049217, 'No': -9.715475}
{' Yes': -0.018785128, ' No': -4.3017173, 'Yes': -5.3382564, 'No': -8.958501, ' ': -9.614686}
{' Yes': -0.022918645, 'Yes': -3.8176534, ' No': -7.9345202, ' yes': -8.56302, ' ': -9.851146}
{' Yes': -0.022687048, 'Yes': -4.1571474, ' No': -5.076876, 'No': -8.267966, ' yes': -8.914092}
{' Yes': -0.010223336, 'Yes': -4.647503, ' yes': -7.728824, ' No': -9.567244, ' ': -10.173767}
{' Yes': -0.013910243, 'Yes': -4.5798683, ' No': -5.8825283, ' yes': -7.6630054, ' ': -8.787925}
{' Yes': -0.0009699528, 'Yes': -7.220637, ' yes': -8.553612, ' ': -11.006501, ' YES': -11.145727}
{' Yes': -0.00071916316, 'Yes': -7.443472, ' yes': -9.374432, ' ': -10.662264, ' No': -10.855177}
{' Yes': -0.006332902, 'Yes': -5.1399083, ' No': -8.634754, ' yes': -8.6441, ' ': -9.733612}
{' Yes': -0.004031819, 'Yes': -5.613139, ' No': -8.59188, ' yes': -9.108089, ' ': -9.669051}
{' Yes': -0.009076373, 'Yes': -4.798209, ' No': -7.8074193, ' yes': -8.6507845, ' ': -8.863481}
{' Yes': -0.009048827, 'Yes': -4.9853134, ' No': -6.2986164, ' ': -8.834388, ' yes': -8.954655}
{' Yes': -0.0032929368, ' No': -6.2911463, 'Yes': -6.6527886, ' yes': -9.289518, ' ': -10.407484}
{' Yes': -0.001886434, 'Yes': -6.851423, ' No': -7.273404, ' yes': -9.595912, ' ': -9.798002}
{' Yes': -0.011653194, 'Yes': -4.7106733, ' No': -6.4929624, ' ': -7.322449, '\n': -8.689347}
{' Yes': -0.013812459, ' No': -5.0261545, 'Yes': -5.0653605, ' ': -7.4522815, ' yes': -9.048001}
{' Yes': -0.005432593, 'Yes': -5.420126, ' yes': -7.352297, ' ': -8.982958, ' No': -9.1776905}
{' Yes': -0.004193894, 'Yes': -5.6612635, ' yes': -7.7209272, ' ': -8.804065, '\n': -9.92311}
{' Yes': -0.0136757055, 'Yes': -4.5383487, ' No': -6.3764973, ' yes': -6.8812404, 'No': -9.964197}
{' Yes': -0.02727152, ' No': -4.2623844, 'Yes': -4.504402, ' yes': -6.6831284, 'No': -7.93318}
{' Yes': -0.024683174, 'Yes': -3.758196, ' No': -7.268542, ' yes': -8.24214, 'No': -10.052816}
{' Yes': -0.028185884, 'Yes': -3.697886, ' No': -6.18648, ' yes': -7.1782207, 'No': -9.094778}
{' Yes': -0.052813683, 'Yes': -3.0033884, ' yes': -6.6782193, ' YES': -8.413619, ' ': -9.176002}
{' Yes': -0.036559522, 'Yes': -3.3569005, ' yes': -7.115615, ' ': -9.487702, ' No': -9.578866}
{' Yes': -0.01609874, 'Yes': -4.6405168, ' No': -5.176232, ' yes': -7.669958, 'No': -9.12801}
{' Yes': -0.010852925, ' No': -5.158079, 'Yes': -5.3672633, ' yes': -8.210327, 'No': -9.979879}
{' Yes': -0.05709515, 'Yes': -2.9144042, ' yes': -7.5222497, ' No': -7.872256, ' ': -9.25877}
{' Yes': -0.035167344, 'Yes': -3.3934836, ' yes': -7.3838286, ' No': -8.808511, ' ': -9.321725}
{' Yes': -0.038420256, 'Yes': -3.348429, ' yes': -6.153118, ' No': -8.829306, 'yes': -9.192486}
{' Yes': -0.033079512, 'Yes': -3.549704, ' yes': -5.6787624, 'yes': -9.030222, ' ': -9.132337}
{' Yes': -0.0029456054, ' yes': -6.378068, 'Yes': -6.8062234, ' ': -9.516013, ' YES': -10.656639}
{' Yes': -0.0015274144, 'Yes': -7.1866717, ' yes': -7.3427687, ' ': -9.632043, ' No': -10.044297}
{' Yes': -0.009246065, 'Yes': -4.8553, ' yes': -6.933589, ' No': -8.475476, ' ': -8.815604}
{' Yes': -0.005988175, 'Yes': -5.2994657, ' yes': -7.592583, ' No': -8.0418625, ' ': -8.980721}
{' Yes': -0.009755496, 'Yes': -4.7231054, ' yes': -7.6853213, ' ': -8.56273, ' No': -9.5207615}
{' Yes': -0.011330623, 'Yes': -4.6742163, ' No': -6.7262425, ' ': -7.9004426, ' yes': -8.108902}
{' Yes': -0.0038926883, 'Yes': -6.0053396, ' yes': -7.284938, ' No': -7.3903346, ' ': -9.52208}
{' Yes': -0.004795505, 'Yes': -6.0011406, ' No': -6.5793037, ' yes': -7.4853897, ' ': -8.044731}
{' Yes': -0.009636028, 'Yes': -4.7834244, ' ': -7.621102, ' yes': -8.006483, ' No': -8.378117}
{' Yes': -0.013198397, 'Yes': -4.7711744, ' No': -5.744703, ' ': -6.9570956, ' yes': -8.101141}
{' Yes': -0.012210615, 'Yes': -5.124746, ' yes': -5.24698, ' ': -7.848659, ' No': -8.330726}
{' Yes': -0.016365532, 'Yes': -4.950646, ' yes': -5.1232095, ' No': -6.4416814, ' ': -6.708872}
{' Yes': -0.0014721974, 'Yes': -6.7736506, ' yes': -8.581087, ' ': -9.495141, ' YES': -10.578817}
{' Yes': -0.0011127337, 'Yes': -7.123417, ' yes': -9.059666, ' ': -9.371823, ' No': -9.408712}
{' Yes': -0.0063992427, 'Yes': -5.158251, ' No': -8.449434, ' ': -8.569945, ' yes': -8.692408}
{' Yes': -0.0051654633, 'Yes': -5.5327134, ' No': -7.1928353, ' ': -8.119612, ' yes': -9.112576}
{' Yes': -0.008959151, 'Yes': -5.0394135, ' No': -6.3344197, ' ': -7.8964024, ' yes': -8.972548}
{' Yes': -0.01514796, 'Yes': -4.9106784, ' No': -5.0422, ' ': -7.179416, '\n': -8.365288}
{' Yes': -0.015658706, ' No': -4.2808375, 'Yes': -6.7269793, ' ': -8.008632, ' yes': -9.199939}
{' Yes': -0.0065983622, ' No': -5.399775, 'Yes': -6.61635, ' ': -7.4512157, ' yes': -9.33156}
{' Yes': -0.014548748, 'Yes': -4.417789, ' ': -6.965993, ' No': -7.0242524, '\n': -8.007741}
{' Yes': -0.019304, ' No': -4.5795035, 'Yes': -4.9842525, ' ': -6.506997, '\n': -8.083377}
{' Yes': -0.002594515, 'Yes': -6.152109, ' yes': -8.4195595, ' ': -8.986021, ' No': -9.677191}
{' Yes': -0.0035285228, 'Yes': -6.169566, ' No': -7.255323, ' ': -7.8713813, ' yes': -8.312866}
{' No': -0.0073829163, 'No': -4.918773, ' ': -10.264794, ' NO': -11.787532, ' no': -13.227724}
{' No': -0.006200105, 'No': -5.0922956, ' ': -10.389211, ' NO': -13.046471, '\n': -13.241737}
{' No': -0.033775624, 'No': -3.4080033, ' ': -9.748041, ' NO': -10.336133, ' no': -11.972581}
{' No': -0.01681598, 'No': -4.0978856, ' ': -9.996927, ' NO': -11.100912, ' no': -12.52776}
{' No': -0.03065197, 'No': -3.5043821, ' ': -9.534801, ' NO': -10.1816435, ' no': -12.631554}
{' No': -0.021185398, 'No': -3.8708196, ' ': -9.3552, ' NO': -10.69833, ' no': -12.5279455}
{' No': -0.007171457, 'No': -4.9478106, ' ': -10.364978, ' NO': -11.544137, ' no': -12.664393}
{' No': -0.0066862046, 'No': -5.0183783, ' ': -10.12979, ' NO': -12.299955, ' no': -13.020558}
{' No': -0.045531277, 'No': -3.1162345, ' ': -8.966616, ' NO': -10.71633, '\n': -11.15252}
{' No': -0.024931062, 'No': -3.7092593, ' ': -9.261806, ' NO': -11.535382, ' Yes': -11.668656}
{' No': -0.023081856, 'No': -3.7889736, ' ': -8.91802, ' NO': -10.975019, ' Yes': -11.087032}
{' No': -0.020925105, 'No': -3.8904014, ' ': -8.714203, ' NO': -10.361531, ' X': -10.699603}
{' No': -0.0008863669, 'No': -7.094006, ' ': -10.058433, ' NO': -11.966208, '\n': -12.816003}
{' No': -0.0010614177, 'No': -6.907267, ' ': -9.926132, '\n': -12.251736, ' NO': -12.759509}
{' No': -0.0074694483, 'No': -4.913023, ' ': -9.596735, ' NO': -11.166548, ' no': -12.553277}
{' No': -0.0064540743, 'No': -5.068401, ' ': -9.043477, ' NO': -11.646157, '\n': -12.033959}
{' No': -0.006383285, 'No': -5.080718, ' ': -9.15628, '\n': -10.831008, ' NO': -11.069377}
{' No': -0.006312325, 'No': -5.092757, ' ': -9.0605955, '\n': -10.791728, ' NO': -11.781193}
{' No': -0.0017378073, 'No': -6.3728137, ' ': -10.814819, ' NO': -12.147235, '\n': -13.242767}
{' No': -0.001736374, 'No': -6.3803425, ' ': -10.332386, '\n': -12.482239, ' NO': -13.00644}
{' No': -0.008865097, 'No': -4.769056, ' ': -8.358407, '\n': -9.505837, ' NO': -10.914012}
{' No': -0.00599573, 'No': -5.158572, ' ': -8.630681, '\n': -10.330404, ' NO': -11.5935755}
{' No': -0.0061159045, 'No': -5.1481676, ' ': -8.852656, '\n': -9.147377, ' NO': -10.87599}
{' No': -0.0056934403, 'No': -5.2270026, ' ': -8.645824, '\n': -9.207534, ' no': -11.208412}
{' No': -0.018893486, 'No': -3.9859269, ' ': -9.523534, ' NO': -10.175449, ' no': -10.864806}
{' No': -0.01807648, 'No': -4.0332913, ' ': -9.438841, ' no': -9.909967, ' NO': -10.060313}
{' No': -0.04787185, 'No': -3.0651507, ' ': -9.734603, ' NO': -11.356569, ' no': -11.527175}
{' No': -0.028897313, 'No': -3.5615168, ' ': -10.328927, ' NO': -10.952756, ' no': -10.955355}
{' No': -0.12368177, 'No': -2.1574934, ' ': -7.9681983, '\n': -8.757543, ' NO': -9.06438}
{' No': -0.097103745, 'No': -2.3852258, ' ': -8.386709, ' NO': -9.648797, ' Yes': -10.005975}
{' No': -0.013648151, 'No': -4.306863, ' ': -10.001987, ' NO': -10.923568, ' no': -11.38202}
{' No': -0.0069581824, 'No': -4.98567, ' ': -9.831921, ' no': -10.877074, ' NO': -11.151293}
{' No': -0.10610526, 'No': -2.30009, ' ': -8.323482, '\n': -9.688285, ' NO': -9.943285}
{' No': -0.07651641, 'No': -2.6153252, ' Yes': -8.468789, ' ': -8.6977415, ' NO': -10.290696}
{' No': -0.09661604, 'No': -2.3917494, ' ': -8.112492, ' no': -9.208449, ' NO': -9.669429}
{' No': -0.07222794, 'No': -2.6879144, ' Yes': -7.4851785, ' ': -7.906761, ' no': -8.225635}
{' No': -0.0015476528, 'No': -6.6071725, ' ': -8.8466625, ' no': -10.695799, '\n': -11.159279}
{' No': -0.0012938529, 'No': -6.805865, ' ': -8.857307, ' no': -10.899934, '\n': -10.973097}
{' No': -0.009883826, 'No': -4.654333, ' ': -8.306114, ' NO': -10.416178, ' no': -10.939844}
{' No': -0.00797952, 'No': -4.866235, ' ': -8.514092, ' no': -10.817178, ' NO': -11.425047}
{' No': -0.012459415, 'No': -4.4274106, ' ': -8.138013, '\n': -9.143977, ' NO': -10.69911}
{' No': -0.012371002, 'No': -4.4286857, ' ': -8.14834, '\n': -9.871486, ' NO': -11.528798}
{' No': -0.0031101976, 'No': -5.814826, ' ': -9.361608, ' no': -11.221927, '\n': -11.439949}
{' No': -0.0047240574, 'No': -5.4248824, ' ': -8.322495, '\n': -10.463719, ' no': -10.6722975}
{' No': -0.009442142, 'No': -4.719111, ' ': -7.989731, '\n': -9.203533, ' NO': -10.931875}
{' No': -0.011322966, 'No': -4.542834, ' ': -7.666356, '\n': -9.0836115, ' no': -11.120537}
{' No': -0.01053055, 'No': -4.642172, ' ': -7.8943768, '\n': -8.191795, ' no': -9.006035}
{' No': -0.013262602, 'No': -4.4560347, ' ': -7.1000657, '\n': -7.8053346, ' no': -8.236315}
{' No': -0.0016029936, 'No': -6.5565577, ' ': -8.905351, '\n': -10.470405, ' NO': -11.47563}
{' No': -0.0015056266, 'No': -6.6434383, ' ': -8.739412, '\n': -10.355288, ' NO': -12.170912}
{' No': -0.009293834, 'No': -4.715001, ' ': -8.360925, '\n': -10.45753, ' NO': -10.821187}
{' No': -0.006599083, 'No': -5.0711093, ' ': -8.236093, '\n': -10.869987, ' NO': -11.462044}
{' No': -0.009503518, 'No': -4.7171106, ' ': -7.979802, '\n': -8.819764, ' NO': -10.922568}
{' No': -0.00883118, 'No': -4.789379, ' ': -7.9819636, '\n': -9.04596, ' NO': -11.864661}
{' No': -0.0017724378, 'No': -6.437641, ' ': -8.858404, '\n': -11.212882, ' NO': -11.418336}
{' No': -0.0022360794, 'No': -6.2417226, ' ': -8.281107, '\n': -10.711393, ' NO': -11.97124}
{' No': -0.013438262, 'No': -4.426635, ' ': -7.0941706, '\n': -7.5467405, ' NO': -11.014701}
{' No': -0.007829219, 'No': -4.9400306, ' ': -7.664771, '\n': -8.743886, ' NO': -11.85111}
{' No': -0.003908007, 'No': -5.61611, ' ': -8.608948, '\n': -9.659661, ' NO': -11.850536}
{' No': -0.0034859923, 'No': -5.773267, ' ': -8.227675, '\n': -9.42209, ' no': -11.519278}
{' No': -0.027570171, ' Yes': -3.941146, 'No': -4.8775764, 'Yes': -9.133586, ' ': -10.246581}
{' Yes': -0.116745904, ' No': -2.25858, 'Yes': -5.3591523, 'No': -7.0515776, ' ': -9.713128}
{' No': -0.08133502, ' Yes': -3.1109178, 'No': -3.4315698, 'Yes': -6.8825946, ' ': -8.986711}
{' Yes': -0.15943795, ' No': -2.056754, 'Yes': -4.1975274, 'No': -5.490851, ' yes': -8.647297}
{' No': -0.6507338, ' Yes': -0.81437117, 'No': -3.7700536, 'Yes': -4.4166145, ' ': -9.065123}
{' Yes': -0.03922406, 'Yes': -3.6128876, ' No': -4.534488, 'No': -7.528491, ' yes': -8.953544}
{' No': -0.068296865, ' Yes': -2.8547611, 'No': -4.819432, 'Yes': -8.093233, ' ': -10.003662}
{' Yes': -0.25529173, ' No': -1.5378999, 'Yes': -4.962035, 'No': -5.7111497, ' ': -9.344157}
{' No': -0.61887246, ' Yes': -0.8866527, 'No': -3.3347366, 'Yes': -4.3271456, ' ': -8.015655}
{' Yes': -0.02899787, 'Yes': -3.7120285, ' No': -5.5937386, 'No': -8.367071, ' yes': -9.0542145}
{' Yes': -0.05552653, ' No': -3.3106494, 'Yes': -4.182298, 'No': -6.453514, ' yes': -7.6631827}
{' Yes': -0.014294349, 'Yes': -4.3816495, ' No': -6.7173843, ' yes': -7.970666, ' ': -9.890589}
{' Yes': -0.11804393, ' No': -2.2055225, 'Yes': -7.1668377, ' yes': -8.46766, 'No': -9.340023}
{' Yes': -0.0014562628, 'Yes': -6.9305754, ' No': -8.024294, ' yes': -9.034282, ' ': -10.925014}
{' Yes': -0.06178983, ' No': -2.919412, 'Yes': -5.256366, 'No': -7.8992414, ' yes': -8.365769}
{' Yes': -0.007113826, 'Yes': -5.1766577, ' No': -6.7161965, ' yes': -8.902547, ' ': -9.747739}
{' Yes': -0.09778832, ' No': -2.4849494, 'Yes': -4.7703366, 'No': -7.123163, ' ': -8.457493}
{' Yes': -0.009411215, 'Yes': -4.770514, ' No': -7.378613, ' yes': -8.986372, ' ': -9.28381}
{' No': -0.20068587, ' Yes': -1.7154756, 'No': -6.51963, 'Yes': -7.871929, ' ': -9.775906}
{' Yes': -0.004505612, ' No': -5.9273076, 'Yes': -6.374925, ' yes': -9.488452, ' ': -10.377764}
{' Yes': -0.23664428, ' No': -1.6042647, 'Yes': -5.043138, 'No': -6.315379, ' ': -7.135791}
{' Yes': -0.00788868, 'Yes': -4.9263816, ' No': -8.270814, ' ': -8.602178, ' yes': -9.171056}
{' Yes': -0.20727319, ' No': -1.7121141, 'Yes': -5.451116, 'No': -6.713189, ' yes': -7.447055}
{' Yes': -0.006658964, 'Yes': -5.2019806, ' yes': -7.420328, ' No': -8.109545, ' ': -8.961863}
{' No': -0.61437404, ' Yes': -0.8370912, 'No': -3.9950767, 'Yes': -4.962972, ' yes': -7.931471}
{' Yes': -0.026299614, 'Yes': -4.016576, ' No': -5.0977755, ' yes': -6.5693116, 'No': -8.23145}
{' No': -0.12619825, ' Yes': -2.6124902, 'No': -3.1503127, 'Yes': -6.1172748, ' ': -9.504954}
{' Yes': -0.06278666, ' No': -3.431685, 'Yes': -3.645701, 'No': -6.336121, ' yes': -7.5377793}
{' Yes': -0.2289827, ' No': -1.957584, 'Yes': -3.019207, 'No': -4.348291, ' yes': -7.2255626}
{' Yes': -0.05724353, 'Yes': -2.937645, ' No': -6.6833644, ' yes': -6.912626, 'No': -8.962692}
{' No': -0.17634426, ' Yes': -1.9190239, 'No': -4.326618, 'Yes': -6.514088, ' ': -9.10981}
{' Yes': -0.015085149, ' No': -4.891609, 'Yes': -4.961597, ' yes': -8.031084, 'No': -9.353435}
{' Yes': -0.3486678, ' No': -1.4656721, 'Yes': -3.251351, 'No': -3.7389133, ' yes': -7.818848}
{' Yes': -0.037200168, 'Yes': -3.3430016, ' yes': -7.4278626, ' No': -7.9253964, ' ': -9.324538}
{' Yes': -0.085385896, ' No': -3.2479603, 'Yes': -3.3024228, 'No': -5.4773936, ' yes': -6.463792}
{' Yes': -0.039910488, 'Yes': -3.3406172, ' yes': -5.890597, ' No': -7.526585, 'yes': -8.892277}
{' Yes': -0.034468405, ' No': -3.507056, ' yes': -6.3002176, 'Yes': -6.3550076, ' ': -8.612666}
{' Yes': -0.0021932488, 'Yes': -6.776094, ' yes': -7.345651, ' No': -8.035856, ' ': -9.731211}
{' Yes': -0.15583633, ' No': -2.0030673, 'Yes': -4.9779434, 'No': -6.6406856, ' yes': -7.2855434}
{' Yes': -0.012495687, 'Yes': -4.5249066, ' No': -7.1503587, ' yes': -7.398026, ' ': -8.993479}
{' Yes': -0.07143068, ' No': -2.8330328, 'Yes': -4.7789063, 'No': -7.446966, ' ': -7.615488}
{' Yes': -0.010503685, 'Yes': -4.604212, ' yes': -8.417836, ' ': -9.288406, ' No': -9.335987}
{' Yes': -0.64030445, ' No': -0.7583217, 'Yes': -6.2525077, 'No': -6.4078503, ' yes': -7.840973}
{' Yes': -0.01440603, ' No': -4.6067257, 'Yes': -5.6734715, ' yes': -7.4193554, ' ': -8.516298}
{' Yes': -0.2322593, ' No': -1.6413053, 'Yes': -4.7455783, 'No': -5.9975557, ' ': -6.5503206}
{' Yes': -0.01308685, 'Yes': -4.420428, ' ': -8.0703945, ' No': -8.142696, ' yes': -8.268349}
{' Yes': -0.50926626, ' No': -0.9651761, 'Yes': -5.0138836, 'No': -5.2952085, ' yes': -5.672049}
{' Yes': -0.021568716, 'Yes': -4.3062363, ' yes': -4.9778366, ' ': -7.9758015, ' No': -8.093203}
{' Yes': -0.11242166, ' No': -2.2569356, 'Yes': -6.8032894, ' ': -8.454781, ' yes': -8.897242}
{' Yes': -0.002479185, 'Yes': -6.5795817, ' No': -7.0505233, ' yes': -9.05647, ' ': -9.5072775}
{' Yes': -0.050302185, ' No': -3.1620038, 'Yes': -5.1390433, 'No': -7.9015617, ' ': -8.2520275}
{' Yes': -0.019882176, ' No': -4.39306, 'Yes': -5.0015526, ' ': -8.188721, ' yes': -8.90218}
{' Yes': -0.20599541, ' No': -1.7266557, 'Yes': -5.1649413, 'No': -6.6433406, ' ': -7.063058}
{' Yes': -0.014080818, 'Yes': -4.50743, ' No': -6.1137185, ' ': -8.077092, '\n': -8.319602}
{' Yes': -0.5233727, ' No': -0.9026319, 'Yes': -6.975195, 'No': -7.5372696, ' ': -7.8547225}
{' Yes': -0.05601854, ' No': -2.9616866, 'Yes': -6.238487, ' ': -7.632804, 'No': -9.084786}
{' Yes': -0.13960674, ' No': -2.1618676, 'Yes': -4.6077957, ' ': -6.1177673, 'No': -6.3349204}
{' Yes': -0.012442938, 'Yes': -4.515777, ' No': -7.37761, ' ': -7.772321, '\n': -8.342311}
{' Yes': -0.105836146, ' No': -2.3288317, 'Yes': -6.2040815, ' ': -7.870473, 'No': -8.172332}
{' Yes': -0.009342685, ' No': -5.187933, 'Yes': -5.756661, ' yes': -8.146637, ' ': -8.734127}
{' Yes': -0.005434632, 'Yes': -5.2369924, ' yes': -9.488607, ' YES': -11.157198, ' ': -11.9047575}
{' Yes': -0.0074176234, 'Yes': -4.917539, ' yes': -9.877661, ' YES': -11.374495, ' ': -11.832203}
{' Yes': -0.02032686, 'Yes': -3.9243085, ' yes': -8.314722, ' YES': -9.611104, ' ': -10.545071}
