{' Yes': -0.0008259966, 'Yes': -7.33266, ' Spider': -9.466446, ' yes': -10.101548, ' The': -10.42057}
{' Yes': -0.15939006, ' No': -1.9425743, 'Yes': -5.8365903, 'No': -7.3489747, ' The': -8.443689}
{' No': -0.007409819, 'No': -5.602525, ' Yes': -5.6395736, ' Ex': -10.283341, ' Not': -10.333432}
{' Yes': -0.17730919, ' No': -1.8516942, 'Yes': -5.624716, 'No': -6.8749022, ' Not': -8.022911}
{' Yes': -0.008788789, 'Yes': -4.888906, ' Loving': -7.076471, ' yes': -8.835546, ' No': -9.492084}
{' Yes': -0.020970752, ' No': -4.0372443, 'Yes': -5.891114, ' The': -8.887633, 'No': -9.313928}
{' No': -0.31584167, ' Yes': -1.3212929, 'No': -5.8246036, 'Yes': -7.0670414, ' The': -9.468251}
{' No': -0.41963553, ' Yes': -1.080322, 'No': -6.379995, 'Yes': -7.242046, ' The': -7.8115435}
{' Yes': -0.11547444, ' No': -2.2825105, 'Yes': -5.3099456, 'No': -6.7436805, ' Butter': -7.7739134}
{' Yes': -0.0037395142, 'Yes': -5.7837768, ' No': -7.3984156, ' yes': -10.699513, ' The': -11.573194}
{' No': -0.016311731, 'No': -4.3336926, ' Yes': -5.809029, 'Yes': -10.578169, ' ': -10.619575}
{' Yes': -0.022815218, ' No': -3.9145384, 'Yes': -6.0885577, ' The': -8.871959, 'No': -9.162478}
{' Yes': -0.24708898, ' No': -1.5387417, 'Yes': -5.8059993, 'No': -7.1788325, ' The': -7.912261}
{' No': -0.5335911, ' Yes': -0.89124006, 'No': -6.3903127, 'Yes': -6.544471, ' The': -9.175608}
{' Yes': -0.039022055, ' No': -3.5312324, 'Yes': -4.8641963, ' The': -7.326358, ' She': -8.406768}
{' Yes': -0.03902813, ' No': -3.5187259, 'Yes': -4.797691, 'No': -8.356912, ' yes': -9.963076}
{' Yes': -0.011262746, ' No': -4.8958893, 'Yes': -5.695242, ' The': -8.369742, ' yes': -10.018648}
{' Yes': -0.009541549, ' No': -5.201735, 'Yes': -5.6276445, ' The': -8.206769, ' yes': -9.910977}
{' No': -0.34956256, ' Yes': -1.2374848, 'No': -6.0570736, ' Not': -6.765715, 'Yes': -6.898442}
{' Yes': -0.009836152, ' No': -4.8248, 'Yes': -6.3995466, ' The': -10.361039, ' yes': -10.741288}
{' Yes': -0.027665818, ' No': -3.6649604, 'Yes': -6.5020633, ' The': -9.411177, 'No': -9.757321}
{' No': -0.22005638, ' Yes': -1.6334761, 'No': -6.364149, 'Yes': -7.905742, ' Not': -9.732922}
{' Yes': -0.29156026, ' No': -1.4021292, 'Yes': -5.4224977, 'No': -6.101514, ' Not': -9.387988}
{' Yes': -0.08861706, ' No': -2.5258043, 'Yes': -5.4918456, 'No': -7.520274, ' The': -9.846734}
{' Yes': -0.08109984, ' No': -2.5802913, 'Yes': -6.705549, ' The': -7.545257, 'No': -8.686135}
{' Yes': -0.030174056, ' No': -3.602064, 'Yes': -6.2180743, ' The': -8.3055315, 'No': -9.24369}
{' Yes': -0.022675706, ' No': -4.026479, 'Yes': -5.560721, ' The': -8.676936, ' Not': -8.726308}
{' No': -0.19104783, ' Yes': -1.8021071, 'No': -5.0163903, ' Not': -6.8139567, 'Yes': -7.150314}
{' No': -0.113568716, ' Yes': -2.2598453, 'No': -6.152095, ' The': -8.280127, 'Yes': -8.430907}
{' No': -0.16580454, ' Yes': -1.9319482, 'No': -5.5007043, ' Not': -5.8589387, 'Yes': -7.480706}
{' Yes': -0.0013474489, 'Yes': -6.659402, ' The': -10.432703, ' yes': -10.543031, '\n': -13.034437}
{' Yes': -0.0016529646, 'Yes': -6.448451, ' yes': -10.529458, ' No': -10.970543, ' The': -11.080097}
{' Yes': -0.0032650072, 'Yes': -5.7492723, ' yes': -10.160256, ' ': -11.358234, ' No': -11.836775}
{' Yes': -0.0017769762, 'Yes': -6.360542, ' yes': -10.7137, ' ': -11.99897, ' No': -12.05121}
{' No': -0.2988821, ' Yes': -1.3598046, 'No': -6.836218, 'Yes': -8.00856, ' The': -9.322531}
{' Yes': -0.25938904, ' No': -1.5022898, 'Yes': -5.9413023, 'No': -7.050893, ' Muscle': -7.231421}
{' Yes': -0.3611223, ' No': -1.2014638, 'Yes': -6.849153, 'No': -7.1661115, ' The': -8.026912}
{' Yes': -0.008364477, ' No': -5.0720696, 'Yes': -6.49001, ' Empire': -8.019577, ' The': -9.234074}
{' No': -0.008556772, 'No': -5.076342, ' Yes': -6.1057897, ' ': -11.031315, 'Yes': -11.057274}
{' No': -0.01378387, 'No': -4.7122397, ' Yes': -5.3958693, ' ': -10.214559, ' The': -10.2713175}
{' Yes': -0.0037900724, 'Yes': -5.9783397, ' No': -6.768661, ' The': -10.231817, ' yes': -10.687973}
{' Yes': -0.0015537436, 'Yes': -6.529921, ' No': -9.667888, ' yes': -10.848173, ' The': -12.354091}
{' Yes': -0.022733506, ' No': -3.888624, 'Yes': -6.313192, 'No': -9.359498, ' The': -10.242217}
{' Yes': -0.8025871, ' No': -0.8633324, '\n': -2.1241128, ' ': -5.8903966, 'No': -5.94921}
{' Yes': -0.012047112, ' No': -4.6795845, 'Yes': -6.1485977, ' The': -7.8505173, ' yes': -9.6191845}
{' Yes': -0.27972317, ' No': -1.4300871, 'Yes': -5.8225465, 'No': -6.5868497, ' The': -8.739851}
{' No': -0.07305834, ' Yes': -2.7100382, 'No': -5.6356854, 'Yes': -8.538948, ' The': -10.047267}
{' Yes': -0.0062077222, ' No': -5.5990877, 'Yes': -6.0492086, ' The': -9.812498, ' yes': -10.457882}
{' Yes': -0.09434466, ' No': -2.4453576, 'Yes': -5.93201, 'No': -7.909143, ' The': -8.581962}
{' Yes': -0.20421785, ' No': -1.7123871, 'Yes': -6.0329986, 'No': -7.095147, ' The': -7.348977}
{' Yes': -0.021160314, ' No': -4.0443306, 'Yes': -5.9597545, ' The': -7.251489, 'No': -10.11191}
{' Yes': -0.5647298, ' No': -0.8517209, 'Yes': -6.1292133, 'No': -6.7138863, ' The': -7.164678}
{' No': -0.5352157, ' Yes': -0.8892635, 'No': -6.1546865, 'Yes': -6.759819, ' ': -9.675732}
{' Yes': -0.5647396, ' No': -0.8520854, 'Yes': -6.058844, 'No': -6.2358365, ' ': -8.175129}
{' Yes': -0.101172574, ' No': -2.3632631, 'Yes': -6.498837, ' The': -8.068346, 'No': -8.817143}
{' Yes': -0.045826823, ' No': -3.175067, 'Yes': -6.021311, ' The': -7.9036584, 'No': -9.154679}
{' No': -0.030974004, ' Yes': -3.6912847, 'No': -5.2479177, 'Yes': -8.528433, ' The': -10.6377945}
{' Yes': -0.39052793, ' No': -1.136555, 'Yes': -6.481072, 'No': -7.2074356, ' ': -9.973782}
{' Yes': -0.0066968864, ' No': -5.4040565, 'Yes': -6.1878395, ' The': -9.882073, ' yes': -10.490997}
{' Yes': -0.16804516, ' No': -1.8916321, 'Yes': -6.058372, 'No': -7.4077773, ' The': -7.704948}
{' No': -0.4338293, ' Yes': -1.0590143, 'Yes': -6.030474, 'No': -6.2440386, ' The': -7.5389466}
{' No': -0.00976019, ' Yes': -5.220585, 'No': -5.4829655, 'Yes': -9.962116, ' Unfortunately': -9.995054}
{' Yes': -0.052178975, ' No': -3.068132, 'Yes': -5.6416106, ' The': -7.543649, 'No': -8.8716545}
{' Yes': -0.51581, ' No': -0.9219685, 'Yes': -5.838304, 'No': -6.5410357, ' The': -7.2197504}
{' No': -0.05421922, 'No': -2.9703226, ' Yes': -6.741944, ' Not': -8.914892, ' ': -9.5421505}
{' Yes': -0.0053832745, 'Yes': -5.6639404, ' No': -6.414915, ' The': -8.607964, ' yes': -10.236431}
{' Yes': -0.09914769, ' No': -2.3782578, 'Yes': -6.5536437, 'No': -8.54958, ' Not': -10.985401}
{' Yes': -0.06221004, ' No': -2.847162, 'Yes': -6.3092666, ' Purple': -8.650094, 'No': -8.70403}
{' Yes': -0.0018171044, 'Yes': -6.622743, ' No': -7.8936906, ' The': -9.825096, ' yes': -10.233205}
{' Yes': -0.0116818985, ' No': -4.7725897, 'Yes': -5.8128524, ' yes': -9.9767885, ' The': -10.006196}
{' Yes': -0.0028114696, 'Yes': -6.249548, ' No': -7.5243683, ' The': -8.562126, ' yes': -9.52317}
{' Yes': -0.0044119693, 'Yes': -5.6154404, ' No': -7.327465, ' yes': -10.008661, ' The': -10.393602}
{' Yes': -0.014524676, ' No': -4.4051304, 'Yes': -6.1625004, 'No': -9.655405, ' yes': -11.471507}
{' Yes': -0.027504187, ' No': -3.676237, 'Yes': -6.4446025, 'No': -9.372361, ' The': -9.904268}
{' Yes': -0.0037073279, 'Yes': -5.995658, ' No': -6.8254614, ' The': -9.698148, ' yes': -10.090449}
{' Yes': -0.0014086263, 'Yes': -6.642957, ' yes': -10.1540785, ' ': -10.573276, ' No': -11.243319}
{' Yes': -0.007848127, 'Yes': -5.153369, ' No': -6.2476683, ' Unfortunately': -10.739717, 'No': -10.861224}
{' Yes': -0.010804659, ' No': -5.045797, 'Yes': -5.4721937, 'No': -10.061066, ' The': -10.653006}
{' No': -0.06462126, ' Yes': -3.0340178, 'No': -4.331553, 'Yes': -7.264223, ' Dis': -8.080704}
{' No': -0.4014809, ' Yes': -1.1172403, 'No': -6.052335, 'Yes': -7.114333, ' The': -9.304185}
{' Yes': -0.038075123, ' No': -3.3955884, 'Yes': -5.6291356, 'No': -8.611867, ' The': -10.6812}
{' Yes': -0.007961735, 'Yes': -5.482582, ' No': -5.614548, ' The': -9.894493, ' yes': -10.487106}
{' Yes': -0.003940915, 'Yes': -5.87009, ' No': -6.925434, ' The': -9.8929825, ' yes': -9.904833}
{' Yes': -0.0047428017, 'Yes': -5.755734, ' No': -6.545773, ' The': -9.633073, ' yes': -10.629862}
{' Yes': -0.68171626, ' No': -0.7132791, 'No': -6.2799864, ' The': -6.836692, 'Yes': -6.980899}
{' Yes': -0.002137338, 'Yes': -6.3124037, ' No': -8.424617, ' The': -9.780795, ' yes': -10.279538}
{' No': -0.06900026, ' Yes': -2.769661, 'No': -5.668007, 'Yes': -8.4808855, ' The': -8.50975}
{' No': -0.5380603, ' Yes': -0.8897124, 'No': -5.7964926, 'Yes': -6.3392477, ' The': -7.946353}
{' Yes': -0.0016545171, 'Yes': -6.6855927, ' No': -7.967087, ' The': -10.101448, ' yes': -11.4211035}
{' No': -0.31927788, ' Yes': -1.3148452, 'No': -5.72244, 'Yes': -6.969918, ' The': -8.218032}
{' Yes': -0.03193247, ' No': -3.5286994, 'Yes': -6.3208513, 'No': -8.898545, ' The': -9.767417}
{' Yes': -0.0022870987, 'Yes': -6.1835976, ' No': -9.057749, ' yes': -10.148851, ' ': -10.614627}
{' Yes': -0.46567675, ' No': -1.0128815, 'No': -5.5955915, 'Yes': -5.80446, ' Planet': -6.728339}
{' Yes': -0.043954894, ' No': -3.3371084, 'Yes': -4.9848537, 'No': -7.7372503, ' The': -9.502347}
{' Yes': -0.008612559, 'Yes': -4.918925, ' No': -6.7503076, ' yes': -9.849176, ' ': -11.113949}
{' Yes': -0.0030435328, 'Yes': -6.2792883, ' No': -6.8407907, ' yes': -9.741511, ' ': -11.220813}
{' Yes': -0.0046727937, 'Yes': -5.4039474, ' No': -8.987439, ' yes': -11.230964, ' ': -11.41714}
{' Yes': -0.6514298, ' No': -0.78639764, 'Yes': -4.4415812, 'No': -4.5045757, '\n': -8.706889}
{' No': -0.033570472, ' Yes': -3.505416, 'No': -5.9500055, 'Yes': -9.139607, ' The': -9.365621}
{' No': -0.5364812, ' Yes': -0.88725597, 'No': -6.6098065, 'Yes': -6.8941145, ' Unfortunately': -7.736571}
{' Yes': -0.07023516, ' No': -2.7425318, 'Yes': -5.8830347, 'No': -8.136084, ' Not': -8.968074}
{' Yes': -0.0039677243, 'Yes': -5.594202, ' No': -8.691702, ' yes': -10.372572, ' The': -10.576324}
{' Yes': -0.14668413, ' No': -2.012445, 'Yes': -6.338233, 'No': -7.385547, ' Not': -9.089499}
{' Yes': -0.011755475, ' No': -4.620678, 'Yes': -6.386305, 'No': -10.066046, ' Not': -10.363665}
{' Yes': -0.004478429, 'Yes': -5.424604, ' yes': -10.632694, ' The': -10.863853, ' ': -11.985818}
{' Yes': -0.008518358, ' No': -5.3634777, 'Yes': -5.80711, ' The': -7.5468097, ' yes': -9.7703905}
{' Yes': -0.0021474913, 'Yes': -6.2389064, ' No': -8.722892, ' yes': -11.052863, ' ': -11.533555}
{' Yes': -0.002981476, 'Yes': -6.2103634, ' No': -7.538513, ' The': -7.95917, ' yes': -10.104914}
{' Yes': -0.07090517, ' No': -2.8054116, 'Yes': -5.0013843, 'No': -6.919368, ' The': -9.077027}
{' Yes': -0.6097835, ' No': -0.790768, 'Yes': -6.7512536, 'No': -6.769697, ' The': -8.170099}
{' Yes': -0.40404305, ' Sc': -1.1716727, 'Yes': -4.9924464, 'Sc': -5.004057, ' yes': -6.1843805}
{' Yes': -0.003155461, 'Yes': -5.808579, ' yes': -9.73539, ' No': -9.924252, ' The': -10.628462}
{' No': -0.02887811, 'No': -3.6149223, ' Yes': -6.5949445, ' Unfortunately': -10.0081415, ' Not': -10.098311}
{' No': -0.013275104, 'No': -5.0030804, ' Yes': -5.0665107, 'Yes': -9.791122, ' ': -9.880304}
{' Yes': -0.15238148, ' No': -2.0082219, 'Yes': -5.1572638, 'No': -6.809684, ' The': -9.802915}
{' Yes': -0.058820397, ' No': -2.9306102, 'Yes': -5.7466044, 'No': -8.411634, ' The': -8.500176}
{' Yes': -0.18848826, ' No': -1.7853032, 'Yes': -5.873732, 'No': -6.9311485, ' The': -9.03721}
{' Yes': -0.1419731, ' No': -2.0639205, 'Yes': -5.463594, 'No': -6.9641905, ' The': -9.340894}
{' Yes': -0.0018808801, 'Yes': -6.3354473, ' No': -9.38549, ' yes': -11.081644, ' ': -12.893297}
{' Yes': -0.1258343, ' No': -2.187394, 'Yes': -5.3661547, 'No': -7.1140814, ' The': -8.479704}
{' Yes': -0.0070603415, 'Yes': -5.379781, ' No': -6.0691876, ' The': -9.775401, ' yes': -10.566038}
{' Yes': -0.09692963, ' No': -2.425602, 'Yes': -5.7080994, 'No': -7.7954483, ' The': -9.004644}
{' No': -0.21710828, ' Yes': -1.6585889, 'No': -5.815808, 'Yes': -7.4979672, ' The': -7.675755}
{' Yes': -0.37527168, ' No': -1.1758622, 'Yes': -6.054766, 'No': -6.556072, ' The': -8.0828495}
{' Yes': -0.0118607795, ' No': -4.606086, 'Yes': -6.4216905, ' Repeat': -9.501548, 'No': -10.352165}
{' Yes': -0.0032903638, ' No': -6.339617, 'Yes': -6.5292225, ' The': -10.535295, ' yes': -11.023522}
{' Yes': -0.0036506737, ' Spider': -6.122387, ' No': -7.2555423, 'Yes': -7.8949656, ' yes': -8.844474}
{' Yes': -0.0009490115, 'Yes': -7.7939496, ' No': -8.156595, ' yes': -9.006379, ' YES': -9.909986}
{' Yes': -0.0017338067, ' No': -6.9928966, 'Yes': -7.702593, ' Candle': -8.767997, ' yes': -9.850938}
{' Yes': -0.0500827, ' Candle': -3.2329307, ' No': -5.171468, ' Cand': -6.587238, 'Yes': -7.194064}
{' No': -0.6201064, ' Yes': -0.7959697, ' Th': -5.529365, ' Thr': -6.2574077, ' The': -6.377514}
{' Yes': -0.17163545, ' No': -1.8630168, '\n': -6.9523745, 'Yes': -7.6443634, ' yes': -7.964751}
{' Yes': -0.10338187, ' No': -2.8658845, ' Bleach': -3.4701784, ' Ble': -5.2860675, 'Yes': -6.228023}
{' Yes': -0.01344539, ' No': -4.525334, 'Yes': -6.6136456, ' yes': -8.007578, ' Beach': -8.241972}
{' Yes': -0.31790495, ' No': -1.3084788, 'Yes': -7.202946, '\n': -7.887919, 'No': -7.985282}
{' Yes': -0.0020332888, ' No': -6.97488, 'Yes': -7.673759, ' yes': -8.021442, ' The': -8.9346075}
{' No': -0.25641638, ' Yes': -1.4898435, 'No': -7.9689746, 'Yes': -8.779173, ' ': -9.221999}
{' No': -0.6819899, ' Yes': -0.71126777, ' The': -6.552631, 'Yes': -7.341348, 'No': -7.734913}
{' Yes': -0.32727483, ' No': -1.2815938, 'Yes': -7.322235, 'No': -8.198656, ' The': -8.216351}
{' No': -0.3379786, ' Yes': -1.2657473, ' Indian': -6.112394, 'No': -6.586126, 'Yes': -7.3106055}
{' Yes': -0.003981967, ' No': -5.7172976, 'Yes': -7.588496, ' ': -9.329936, ' yes': -9.872245}
{' Yes': -0.2985316, ' No': -1.3633432, '\n': -7.1657896, 'Yes': -7.3886137, ' ': -7.8656034}
{' Yes': -0.28475335, ' No': -1.4168773, ' Hungry': -5.960517, 'Yes': -6.442212, 'No': -7.151172}
{' Yes': -0.016105037, ' No': -4.230275, 'Yes': -7.479921, '\n': -7.997182, ' yes': -8.319129}
{' No': -0.0019732038, 'No': -6.816159, ' Yes': -7.385331, ' ': -9.329072, '\n': -9.455724}
{' No': -0.027548358, ' Yes': -3.9923153, ' Number': -4.980841, 'No': -6.691122, ' ': -7.7984695}
{' No': -0.43826982, ' Yes': -1.0433762, '\n': -7.2156034, 'No': -7.474803, ' ': -7.858737}
{' No': -0.02992038, ' Yes': -3.5667338, 'No': -7.35304, ' ': -8.543681, ' The': -8.935248}
{' Yes': -0.00054995355, 'Yes': -7.5878973, ' yes': -10.659552, ' No': -12.095218, ' YES': -12.13198}
{' Yes': -0.0014512477, 'Yes': -6.807126, ' yes': -8.823162, ' No': -9.4606, ' The': -10.3003645}
{' No': -0.64933366, ' Yes': -0.74698615, 'No': -7.2159576, 'Yes': -7.301227, ' Pepper': -7.505713}
{' Yes': -0.16530024, ' No': -2.130745, ' Pepper': -4.3390727, ' Pe': -4.9660096, 'Yes': -5.537371}
{' Yes': -0.03508962, ' No': -3.4233568, 'Yes': -6.7920947, '\n': -8.074535, ' yes': -8.90456}
{' Yes': -0.01213924, ' No': -4.5831404, 'Yes': -6.670022, ' The': -8.51481, '\n': -8.985565}
{' Yes': -0.049224343, ' No': -3.7021384, ' Nep': -3.9892282, 'Yes': -6.28699, ' ': -6.420852}
{' Yes': -0.034534726, ' No': -3.8761578, ' Neph': -5.4361362, ' Nep': -5.456795, 'Yes': -5.871052}
{' No': -0.10339145, ' Yes': -2.329994, 'No': -7.4137607, 'Yes': -9.294058, ' ': -9.398666}
{' No': -0.671657, ' Yes': -0.7186694, 'Yes': -7.857433, ' ': -7.8579836, 'No': -7.85943}
{' Yes': -0.0017649747, 'Yes': -7.1455407, ' No': -7.159417, ' yes': -9.531478, ' ': -9.952699}
{' Yes': -0.0017159528, ' No': -7.1942677, 'Yes': -7.486633, '\n': -8.652293, ' yes': -9.188969}
{' Yes': -0.062043414, ' No': -2.8406765, 'Yes': -6.6479974, ' yes': -8.935039, '\n': -9.130897}
{' Yes': -0.15533875, ' No': -1.9573883, 'Yes': -6.200945, ' yes': -8.874525, ' ': -8.943935}
{' No': -0.019521205, ' Yes': -4.090883, 'No': -6.07314, ' ': -9.120574, '\n': -9.658572}
{' No': -0.23653819, ' Yes': -1.5793954, ' Ending': -5.8499565, 'No': -7.3422837, ' ': -8.138228}
{' Yes': -0.024922812, ' No': -4.0305305, ' Energy': -5.286405, 'Yes': -6.958188, ' ': -8.238948}
{' Yes': -0.29744366, ' Energy': -1.4496653, ' No': -3.951586, ' energy': -6.937809, 'Yes': -6.9688435}
{' Yes': -0.009927712, ' No': -5.050678, ' Father': -6.090524, 'Yes': -6.976326, ' yes': -8.853662}
{' Yes': -0.32271284, ' No': -1.2929811, 'Yes': -7.4456244, 'No': -8.271314, ' The': -8.943437}
{' No': -0.14923766, ' Yes': -1.9990586, ' The': -6.9368086, ' Pen': -6.9778166, 'No': -7.464183}
{' No': -0.006968205, ' Yes': -5.89214, 'No': -6.1297116, ' Pen': -6.936024, ' Nope': -7.7132897}
{' Yes': -0.02891161, ' No': -3.6163251, 'Yes': -7.1256003, ' Street': -7.97767, ' yes': -8.704013}
{' No': -0.01109512, ' Yes': -5.5108542, 'No': -5.6499476, '\n': -5.999059, ' ': -7.120807}
{' Yes': -0.0013550294, 'Yes': -6.8009453, '\n': -9.102949, ' Strong': -9.599682, ' yes': -10.445543}
{' Yes': -0.00039234746, 'Yes': -8.096463, ' yes': -9.8994875, ' No': -10.654868, ' YES': -11.925747}
{' Yes': -0.023861377, ' No': -3.8643382, ' Seller': -7.0181727, 'Yes': -7.2398415, ' The': -7.7338805}
{' Yes': -0.009163773, ' Seller': -5.186269, ' No': -6.3581414, 'Yes': -6.9644914, ' yes': -7.5810685}
{' Yes': -0.396028, ' No': -1.5191073, ' Bl': -2.261024, ' ': -6.283, 'Yes': -7.0220294}
{' Yes': -0.30588683, ' No': -1.3512912, ' yes': -6.510574, ' Bl': -6.7285886, 'Yes': -6.973655}
{' Yes': -0.046428215, ' No': -3.1172044, 'Yes': -7.338826, ' yes': -8.908904, ' The': -8.977172}
{' Yes': -0.017765846, ' No': -4.1647553, 'Yes': -7.1278267, ' B': -7.2655625, ' ': -8.098022}
{' Yes': -0.0013262617, ' No': -7.3024793, 'Yes': -7.44018, ' yes': -10.3420315, '\n': -11.202474}
{' Yes': -0.22989224, ' No': -1.5922922, 'Yes': -7.100801, ' The': -7.8355665, ' ': -8.469415}
{' Yes': -0.001220627, 'Yes': -7.3362155, ' No': -7.965385, ' The': -9.51546, ' yes': -9.586601}
{' Yes': -0.009049789, ' No': -4.9771433, 'Yes': -6.5966563, ' Parent': -7.628846, ' yes': -8.652936}
{' Yes': -0.00092031324, 'Yes': -7.243661, ' No': -9.13223, ' yes': -9.8543825, '\n': -11.148404}
{' Yes': -0.01810798, ' No': -4.0854216, 'Yes': -7.1166506, ' ': -9.042786, '\n': -9.108928}
{' No': -0.016588582, ' Yes': -4.2091446, 'No': -7.157957, ' The': -7.424217, ' ': -9.778473}
{' No': -0.037088323, ' Yes': -3.3877962, 'No': -6.33575, '\n': -8.314853, ' ': -8.334873}
{' Yes': -0.12907356, ' No': -2.1314635, 'Yes': -6.802175, ' The': -7.4686785, '\n': -8.371764}
{' Yes': -0.019013396, ' No': -4.3674803, 'Yes': -5.6522627, ' Stars': -6.6076345, ' yes': -7.4506674}
{' Yes': -0.0025384023, 'Yes': -6.761703, ' No': -7.130357, ' yes': -8.470503, ' The': -8.530561}
{' Yes': -0.10210522, ' No': -2.424842, ' Doctor': -4.8940783, 'Yes': -7.392169, ' yes': -8.304618}
{' No': -0.2435573, ' Yes': -1.550791, 'No': -6.598667, ' Spo': -6.999522, ' Rot': -7.5816107}
{' Yes': -0.41422892, ' No': -1.0877957, 'Yes': -6.9413915, 'No': -7.955238, ' yes': -8.165154}
{' Yes': -0.2673478, ' No': -1.457724, 'Yes': -7.4019094, ' ': -7.90906, '\n': -8.214819}
{' No': -0.6125883, ' Yes': -0.7891497, 'Yes': -6.651807, 'No': -6.928664, ' The': -7.4487157}
{' No': -0.075514115, ' Yes': -2.6387656, 'No': -7.249806, '\n': -9.1642685, 'Yes': -9.237361}
{' Yes': -0.6395429, ' No': -0.76488435, ' Bucket': -5.8496046, 'Yes': -6.9688687, 'No': -7.4565525}
{' Yes': -0.020039119, ' No': -4.2988763, 'Yes': -5.6264653, ' States': -6.3700485, ' The': -8.282132}
{' Yes': -0.19148, ' No': -1.7864486, 'Yes': -5.74858, ' States': -6.5066648, ' yes': -7.9238167}
{' Yes': -0.0392509, ' No': -3.2818615, 'Yes': -7.2192183, ' ': -9.38576, ' yes': -10.427316}
{' No': -0.16234243, ' Yes': -1.905968, 'No': -7.5835514, 'Yes': -8.543887, ' ': -8.768514}
{' No': -0.010199609, ' Yes': -4.6901045, ' Ex': -7.659552, 'No': -7.875705, ' In': -10.600415}
{' Yes': -0.4543936, ' No': -1.0282594, 'Yes': -6.230715, ' The': -6.6196356, 'No': -6.8799796}
{' Yes': -0.05981363, ' Loving': -3.3658457, ' No': -4.3241835, '\n': -5.4904623, 'Yes': -5.9607687}
{' Yes': -0.1591399, ' No': -1.9377521, ' The': -6.808466, 'Yes': -6.978346, '\n': -8.180451}
{' No': -0.041554265, ' Yes': -3.2204995, 'No': -7.601446, ' ': -9.093044, '\n': -9.413277}
{' No': -0.32428566, ' Yes': -1.2931635, ' The': -6.8025756, 'No': -7.6498427, 'Yes': -8.225904}
{' Yes': -0.15280424, ' No': -2.0512512, ' Butter': -4.9481783, ' ': -5.6459565, 'Yes': -6.637966}
{' Yes': -0.0054861726, ' No': -5.3719964, 'Yes': -7.2921643, ' yes': -9.468088, ' Butter': -10.790775}
{' No': -0.04403337, ' Yes': -3.1661475, 'No': -7.1695747, ' ': -9.383799, 'Yes': -10.383635}
{' Yes': -0.024701321, ' No': -3.7631562, 'Yes': -7.2802362, ' yes': -8.790051, ' ': -8.849706}
{' No': -0.6112521, ' Yes': -0.7885898, ' The': -6.542156, 'Yes': -7.826603, 'No': -8.04825}
{' Yes': -0.36110246, ' No': -1.2017244, 'Yes': -7.0327744, ' The': -7.3993654, 'No': -8.2292385}
{' Yes': -0.06427246, ' No': -3.221745, ' She': -4.110426, 'Yes': -5.5479355, ' Sheet': -7.6012316}
{' Yes': -0.011825436, ' No': -4.71747, 'Yes': -6.0804744, ' yes': -8.290774, ' The': -9.15406}
{' Yes': -0.17453519, ' No': -1.8496318, 'Yes': -6.4826, 'No': -8.101526, ' yes': -8.274459}
{' Yes': -0.11331432, ' No': -2.2580612, 'Yes': -6.706593, ' The': -7.8703966, '\n': -8.066841}
{' No': -0.065714106, ' Yes': -2.7697814, 'No': -7.6762156, ' Sunset': -9.382579, 'Yes': -9.420354}
{' Yes': -0.07604488, ' No': -2.6306064, 'Yes': -7.19558, '\n': -9.221874, ' yes': -9.331575}
{' Yes': -0.3336974, ' No': -1.2659255, ' The': -7.177998, 'Yes': -7.7491255, ' ': -8.830049}
{' No': -0.05677261, ' Yes': -3.1298907, ' Minute': -4.5652885, 'No': -7.4574647, ' ': -8.620207}
{' Yes': -0.38299185, ' No': -1.1551667, ' Car': -6.5085616, 'Yes': -6.984012, 'No': -7.842056}
{' Yes': -0.06250148, ' No': -2.8380005, 'Yes': -6.7634454, ' Car': -7.715768, ' The': -8.827836}
{' Yes': -0.20436014, ' No': -1.7110453, ' The': -6.0706043, ' yes': -7.008176, 'Yes': -7.6986}
{' Yes': -0.06570175, ' No': -2.77629, 'Yes': -7.388251, ' The': -8.124846, ' yes': -8.603757}
{' Yes': -0.054245897, ' No': -2.9691417, 'Yes': -7.4784718, ' The': -8.145346, '\n': -8.5952215}
{' No': -0.010054922, ' Yes': -4.890992, 'No': -6.200621, '\n': -8.669616, ' Not': -8.963746}
{' No': -0.007559108, ' Yes': -5.038458, 'No': -7.2014656, ' The': -8.965172, '\n': -9.763712}
{' No': -0.35773882, ' Yes': -1.2215942, ' Length': -5.732329, '\n': -6.7725387, 'No': -7.4244747}
{' Yes': -0.0003540674, 'Yes': -8.213218, ' yes': -10.137166, ' No': -10.88972, '\n': -11.371505}
{' Yes': -0.00086495065, 'Yes': -7.54798, ' No': -8.934119, ' yes': -9.208383, ' The': -9.94058}
{' Yes': -0.0019248935, 'Yes': -7.0297027, ' France': -7.472099, ' No': -8.287291, ' yes': -8.997345}
{' Yes': -0.0013377809, 'Yes': -7.283615, ' No': -8.05039, ' yes': -8.920805, '\n': -9.708439}
{' No': -0.57547665, ' Yes': -0.82991123, ' The': -7.775946, 'Yes': -8.347568, 'No': -8.349041}
{' No': -0.41727775, ' Yes': -1.1287473, ' Muscle': -4.2847686, ' Mus': -7.0371284, 'No': -7.048659}
{' Yes': -0.5635498, ' No': -0.8468292, ' The': -7.2078934, 'Yes': -7.9298215, 'No': -8.17479}
{' Empire': -0.3400496, ' Yes': -1.4494493, ' No': -3.2443216, ' Emperor': -4.997074, ' Em': -5.2738833}
