{'\n': -9.868756, ' ': -9.318076, ' Yes': -0.0024784687, ' yes': -8.480762, 'Yes': -6.177218}
{' No': -0.024717024, '\n': -5.6123996, ' ': -5.650035, 'No': -4.0870624, ' no': -8.7282295}
{' No': -0.08462469, '\n': -3.2511208, ' ': -4.4284296, 'No': -3.5459225, ' no': -8.056358}
{' No': -0.00312347, '\n': -9.001426, ' ': -6.5678473, 'No': -6.487664, ' no': -10.4913435}
{' No': -0.16648497, '\n': -3.8559198, ' ': -4.44299, 'No': -2.1416206, ' no': -7.0944304}
{' No': -0.028001668, '\n': -6.391504, ' ': -5.461019, 'No': -3.981304, ' no': -6.404184}
{' No': -0.058197156, ' ': -6.0079985, 'No': -3.0945508, ' Yes': -6.9095054, ' no': -5.2573557}
{' No': -0.07299582, ' ': -6.3954787, 'No': -2.7016652, ' Yes': -7.6867743, ' no': -7.958034}
{' No': -1.5568018, 'No': -3.7894733, ' Yes': -0.34963897, ' yes': -4.57773, 'Yes': -3.219369}
{' No': -0.014748225, ' ': -7.1912355, 'No': -4.326079, ' Yes': -8.583605, ' no': -8.259554}
{' No': -0.30145988, '\n': -6.5462756, ' ': -6.4316916, 'No': -1.3622167, ' no': -7.9345}
{' No': -0.091190755, ' ': -7.3830147, 'No': -2.453972, 'no': -9.005941, ' no': -8.165146}
{' No': -0.021418294, '\n': -6.509688, ' ': -4.9964485, 'No': -5.7767406, ' no': -4.714544}
{' No': -0.04122656, '\n': -4.947345, ' ': -5.066848, 'No': -3.7381833, ' no': -5.9267383}
{' No': -0.11678208, '\n': -2.9729166, ' ': -4.605214, 'No': -3.170865, ' no': -5.2232933}
{' No': -0.015362384, '\n': -6.31835, ' ': -5.6870255, 'No': -4.6927586, ' no': -7.3050175}
{' No': -0.20544772, '\n': -2.7966418, ' ': -4.4876766, 'No': -2.258779, ' no': -5.1461244}
{' No': -0.10706189, '\n': -4.317432, ' ': -4.812364, 'No': -4.0761666, ' no': -2.8786051}
{' No': -0.014430098, '\n': -5.1611567, ' ': -5.313212, 'No': -5.7215505, ' no': -8.934096}
{' No': -0.047013294, '\n': -3.8088083, ' ': -5.005664, 'No': -4.1228113, ' no': -8.232565}
{' No': -0.08019374, '\n': -3.2435846, ' ': -4.3668013, 'No': -3.7512445, ' no': -7.7167673}
{' No': -0.01741516, '\n': -5.599124, ' ': -4.8554125, 'No': -5.2475367, ' Yes': -9.036284}
{' No': -0.066153474, '\n': -3.5096443, ' ': -4.8376966, 'No': -3.6943977, ' no': -7.61711}
{' No': -0.063151225, '\n': -3.9603813, ' ': -4.3968782, 'No': -3.9670513, ' no': -5.4982595}
{'\n': -9.24821, ' ': -8.755769, ' Yes': -0.005688347, ' yes': -8.630663, 'Yes': -5.2604165}
{' YES': -9.287957, ' ': -7.653565, ' Yes': -0.015879797, ' yes': -7.29522, 'Yes': -4.244296}
{'\n': -8.331544, ' ': -7.460577, ' Yes': -0.028439302, ' yes': -6.9694314, 'Yes': -3.6534486}
{' YES': -10.402718, ' ': -8.699011, ' Yes': -0.004159956, ' yes': -8.28115, 'Yes': -5.6131015}
{'\n': -7.569832, ' ': -6.8969293, ' Yes': -0.031226162, ' yes': -7.568631, 'Yes': -3.561698}
{' YES': -8.341234, ' ': -7.5652766, ' Yes': -0.024633937, ' yes': -6.596506, 'Yes': -3.8235745}
{'\n': -7.1728835, ' ': -6.880405, ' Yes': -0.005231971, ' yes': -7.2683234, 'Yes': -5.9723983}
{'\n': -6.434341, ' ': -6.507938, ' Yes': -0.022891628, ' yes': -6.621153, 'Yes': -4.0348186}
{'\n': -4.3856406, ' ': -5.4537964, ' Yes': -0.05936831, ' yes': -6.338286, 'Yes': -3.2713337}
{'\n': -8.227274, ' ': -6.8657722, ' Yes': -0.005708728, ' yes': -7.608227, 'Yes': -5.584055}
{'\n': -4.6103067, ' ': -5.210926, ' Yes': -0.12790014, ' yes': -5.5428514, 'Yes': -2.314124}
{'\n': -6.898625, ' ': -6.214171, ' Yes': -0.030993983, ' yes': -4.9304233, 'Yes': -3.9740329}
{' YES': -7.147246, ' ': -6.9001923, ' Yes': -0.053167086, ' yes': -4.1312118, 'Yes': -3.4416022}
{' YES': -7.7480226, ' ': -7.249026, ' Yes': -0.04872325, ' yes': -5.5592723, 'Yes': -3.1697922}
{' ': -6.452856, ' Yes': -0.080820374, ' yes': -4.8938394, 'Yes': -2.7183058, 'yes': -7.1342244}
{' YES': -8.545336, ' ': -7.286262, ' Yes': -0.015367167, ' yes': -6.180825, 'Yes': -4.423675}
{' ': -7.2327256, ' Yes': -0.117032915, ' yes': -5.9610515, 'Yes': -2.245861, 'yes': -7.5111175}
{' ': -8.053896, ' Yes': -0.040821288, ' yes': -5.098175, 'Yes': -3.411295, 'yes': -7.73361}
{'\n': -6.0022383, ' ': -5.935077, ' Yes': -0.068597876, ' yes': -3.0048482, 'Yes': -4.6652117}
{'\n': -4.828349, ' ': -5.186958, ' Yes': -0.07435313, ' yes': -4.3131795, 'Yes': -3.1592376}
{'\n': -3.3851361, ' ': -5.0193114, ' Yes': -0.12615626, ' yes': -4.0144587, 'Yes': -2.8756773}
{'\n': -7.0601373, ' ': -6.684018, ' Yes': -0.020724392, ' yes': -5.5021296, 'Yes': -4.2787976}
{'\n': -2.761665, ' ': -4.7643714, ' Yes': -0.2246034, ' yes': -3.7607791, 'Yes': -2.3145044}
{'\n': -4.9979434, ' ': -5.600034, ' Yes': -0.19182834, ' yes': -1.9969982, 'Yes': -3.819098}
{'\n': -5.234806, ' ': -5.888887, ' Yes': -0.018939894, ' yes': -6.114146, 'Yes': -4.8674865}
{'\n': -4.98218, ' ': -5.7503667, ' Yes': -0.03804287, ' yes': -6.3673406, 'Yes': -3.702317}
{'\n': -3.8125014, ' ': -4.918773, ' Yes': -0.074395895, ' yes': -5.805274, 'Yes': -3.2879865}
{'\n': -5.4160857, ' ': -5.218675, ' Yes': -0.020879336, ' yes': -6.7394814, 'Yes': -4.686704}
{'\n': -3.341739, ' ': -4.9468904, ' Yes': -0.097976446, ' yes': -5.643599, 'Yes': -3.0973983}
{'\n': -4.6744394, ' ': -4.876502, ' Yes': -0.056872856, ' yes': -4.1509647, 'Yes': -3.9877656}
{'\n': -10.092629, ' ': -9.5421, ' Yes': -0.0038620508, ' yes': -9.355899, 'Yes': -5.61704}
{' ': -8.394037, ' Yes': -0.015579275, ' yes': -7.8033023, 'Yes': -4.2238464, ' True': -9.896004}
{'\n': -9.262919, ' ': -8.264505, ' Yes': -0.020800399, ' yes': -7.8392267, 'Yes': -3.927758}
{' ': -10.394038, ' Yes': -0.0016314122, ' yes': -9.744368, 'Yes': -6.4903164, ' True': -11.532114}
{'\n': -8.530921, ' ': -7.344346, ' Yes': -0.025966046, ' yes': -8.274578, 'Yes': -3.7219918}
{'\n': -8.630198, ' ': -8.359408, ' Yes': -0.022808084, ' yes': -6.841663, 'Yes': -3.8702908}
{'\n': -8.725093, ' ': -7.4488864, ' Yes': -0.002448949, ' yes': -8.264676, 'Yes': -6.6024084}
{' No': -4.0492506, '\n': -6.7435455, ' ': -6.143187, ' Yes': -0.03322862, 'Yes': -4.5562677}
{'\n': -4.178972, ' ': -5.1408052, ' Yes': -0.05787981, ' yes': -6.282991, 'Yes': -3.4531796}
{'\n': -10.254578, ' ': -8.030971, ' Yes': -0.0018566939, ' yes': -8.531712, 'Yes': -6.670038}
{'\n': -4.717846, ' ': -5.10083, ' Yes': -0.10337373, ' yes': -5.807449, 'Yes': -2.548652}
{'\n': -7.1801863, ' ': -6.2731004, ' Yes': -0.023895377, ' yes': -5.065916, 'Yes': -4.3102646}
{' ': -7.1034207, ' Yes': -0.04323497, ' yes': -4.0393934, 'Yes': -3.7976367, 'yes': -7.4896064}
{' No': -7.636909, ' ': -7.6316586, ' Yes': -0.026403157, ' yes': -6.09003, 'Yes': -3.8078096}
{' ': -7.2535496, ' Yes': -0.051198605, ' yes': -4.6831584, 'Yes': -3.2616057, 'yes': -7.266253}
{' No': -7.8747215, ' ': -8.15834, ' Yes': -0.009714208, ' yes': -6.6160216, 'Yes': -4.9118767}
{' No': -6.960267, ' ': -7.3209567, ' Yes': -0.12223599, ' yes': -6.773555, 'Yes': -2.195112}
{' No': -8.090515, ' Yes': -0.025900595, ' yes': -5.4623265, 'Yes': -3.889443, 'yes': -8.276178}
{'\n': -7.352686, ' ': -6.24098, ' Yes': -0.03516203, ' yes': -3.6094701, 'Yes': -5.590746}
{' No': -2.8058548, '\n': -4.776518, ' ': -4.5098953, ' Yes': -0.116256826, 'Yes': -3.9229581}
{'\n': -3.0842311, ' ': -4.836479, ' Yes': -0.11838265, ' yes': -4.3900557, 'Yes': -3.163045}
{'\n': -7.350337, ' ': -6.924943, ' Yes': -0.013121698, ' yes': -5.6977525, 'Yes': -4.862914}
{' No': -4.0199747, '\n': -2.1228487, ' ': -4.4245195, ' Yes': -0.3068831, 'Yes': -2.3498976}
{'\n': -5.1067867, ' ': -5.8071084, ' Yes': -0.1401815, ' yes': -2.2840223, 'Yes': -4.20467}
{'\n': -6.6292524, ' ': -6.750211, ' Yes': -0.007505298, ' yes': -7.0702796, 'Yes': -5.548055}
{' No': -6.31177, '\n': -5.781903, ' ': -6.007431, ' Yes': -0.024691422, 'Yes': -4.1613297}
{'\n': -4.433536, ' ': -5.404273, ' Yes': -0.04716236, ' yes': -6.3206263, 'Yes': -3.6189892}
{'\n': -6.5347385, ' ': -5.8623166, ' Yes': -0.008677253, ' yes': -7.517655, 'Yes': -5.6317124}
{' No': -6.489341, '\n': -3.9282107, ' ': -5.3240523, ' Yes': -0.06708308, 'Yes': -3.3014808}
{'\n': -4.958168, ' ': -5.5328374, ' Yes': -0.042917233, ' yes': -4.3216724, 'Yes': -4.1663094}
{' No': -0.0074125226, '\n': -8.499758, ' ': -7.833046, 'No': -4.9988503, ' no': -11.186499}
{' No': -0.028612984, '\n': -8.798084, ' ': -6.644725, 'No': -3.6270397, ' no': -10.251955}
{' No': -0.05069245, '\xa0': -9.858898, '\n': -7.1403937, ' ': -6.65379, 'No': -3.0554378}
{' No': -0.0076807304, '\n': -10.799793, ' ': -8.023748, 'No': -4.9274306, ' no': -11.041267}
{' No': -0.0498414, '\n': -7.1607575, ' ': -6.205805, 'No': -3.0913053, ' 3': -9.175885}
{' No': -0.055771653, '\n': -7.9870706, ' ': -7.3295536, 'No': -2.9425764, ' no': -8.341282}
{' No': -0.005018744, '\n': -6.84235, ' ': -6.042187, 'No': -6.5756326, ' no': -9.201937}
{' No': -0.02483366, '\n': -6.074691, ' ': -5.6452155, 'No': -4.001919, ' no': -8.569795}
{' No': -0.060025703, '\n': -4.091014, ' ': -4.6552305, 'No': -3.4799645, ' no': -8.093668}
{' No': -0.003923921, '\n': -8.613485, ' ': -6.3322544, 'No': -6.287752, ' no': -9.855714}
{' No': -0.13191022, '\n': -4.5053554, ' ': -4.642486, 'No': -2.2945175, ' no': -7.348051}
{' No': -0.032284893, '\n': -6.301905, ' ': -5.3897095, 'No': -3.7936428, ' no': -6.07955}
{' No': -0.05730677, '\n': -7.2613964, ' ': -5.9827633, 'No': -3.1055968, ' no': -5.015919}
{' No': -0.058654908, ' ': -6.6540065, 'No': -2.9028988, 'no': -9.195907, ' no': -7.8615985}
{' No': -0.14598878, '\n': -7.259433, ' ': -6.262781, 'No': -2.024851, ' no': -7.6047163}
{' No': -0.015506387, ' ': -7.093133, 'No': -4.278478, 'no': -9.991988, ' no': -7.70925}
{' No': -0.290284, '\n': -6.7911654, ' ': -6.1782994, 'No': -1.3957164, 'no': -7.817862}
{' No': -0.113260925, ' ': -6.941294, 'No': -2.2565753, 'no': -7.904531, ' no': -7.062807}
{' No': -0.04391211, '\n': -6.1771946, ' ': -5.046829, 'No': -5.050102, ' no': -3.6159525}
{' No': -0.058803644, '\n': -4.8763313, ' ': -4.7691503, 'No': -3.306112, ' no': -5.6697373}
{' No': -0.10481773, '\n': -3.5719347, ' ': -4.5779324, 'No': -2.9293072, ' no': -5.1179686}
{' No': -0.020659039, '\n': -6.150173, ' ': -5.5208364, 'No': -4.4635873, ' no': -5.997957}
{' No': -0.19034393, '\n': -3.1324797, ' ': -4.396139, 'No': -2.2351248, ' no': -4.9251137}
{' No': -0.14635412, '\n': -4.5918345, ' ': -5.0119004, 'No': -3.887405, ' no': -2.3538337}
{' No': -0.012498706, '\n': -5.538551, ' ': -5.435085, 'No': -5.617833, ' no': -7.9796214}
{' No': -0.039184883, '\n': -4.7248764, ' ': -5.163355, 'No': -3.7714505, ' no': -7.8845196}
{' No': -0.0636157, '\n': -4.005512, ' ': -4.615486, 'No': -3.430454, ' no': -8.069824}
{' No': -0.017909532, '\n': -5.5247455, ' ': -4.9082522, 'No': -5.1275115, ' no': -8.414282}
{' No': -0.07500078, '\n': -3.5064278, ' ': -4.566492, 'No': -3.495935, ' no': -7.3367963}
{' No': -0.042607557, '\n': -4.744113, ' ': -4.8813148, 'No': -3.9153569, ' no': -5.432332}
{' No': -0.011376499, '\n': -7.6088247, ' ': -7.0937853, 'No': -4.7500887, ' Yes': -6.692361}
{' No': -0.04668043, '\n': -8.617026, ' ': -6.8866997, 'No': -3.1455212, ' Yes': -6.8445144}
{' No': -0.04191744, '\n': -6.7400284, ' ': -6.4346547, 'No': -3.3317883, ' Yes': -6.182456}
{' No': -0.0054304977, ' ': -8.669361, 'No': -5.2877216, ' Yes': -9.063774, ' 6': -10.121007}
{' No': -0.06463265, '\n': -6.271661, ' ': -5.7260404, 'No': -2.89283, ' Yes': -6.730522}
{' No': -0.040531874, '\n': -8.313513, ' ': -7.121312, 'No': -3.2794538, ' Yes': -7.611629}
{' No': -0.0050469614, '\n': -7.1309986, ' ': -5.8533454, 'No': -6.863706, ' Yes': -8.862767}
{' No': -0.02218044, '\n': -5.7647343, ' ': -5.546216, 'No': -4.2403045, ' no': -8.5805435}
{' No': -0.08614279, '\n': -3.227168, ' ': -4.1779127, 'No': -3.6569302, ' no': -7.8924203}
{' No': -0.0028483493, '\n': -8.970774, ' ': -6.813917, 'No': -6.4675846, ' no': -10.154397}
{' No': -0.13880691, '\n': -3.9289527, ' ': -4.3628497, 'No': -2.3542898, ' no': -7.337037}
{' No': -0.032506965, '\n': -6.193248, ' ': -5.3405457, 'No': -3.8415585, ' no': -6.049683}
{' No': -0.055090673, ' ': -6.0137997, 'No': -3.2344842, ' Yes': -5.3961596, ' no': -5.306277}
{' No': -0.06649696, '\n': -8.648455, ' ': -6.597311, 'No': -2.7828534, ' no': -7.941742}
{' No': -1.4049683, 'No': -3.907136, ' Yes': -0.38317692, ' yes': -4.4923058, 'Yes': -3.4609764}
{' No': -0.012020147, ' ': -7.368551, 'No': -4.607773, ' Yes': -7.1907554, ' no': -7.830192}
{' No': -0.29216322, '\n': -6.5768957, ' ': -6.2218914, 'No': -1.3937104, ' no': -7.445567}
{' No': -0.09568108, ' ': -7.570979, 'No': -2.409455, 'no': -8.460947, ' no': -7.6719823}
{' No': -0.02393567, '\n': -6.4445972, ' ': -4.902767, 'No': -5.6722155, ' no': -4.549345}
{' No': -0.044005096, '\n': -4.8964124, ' ': -4.9770627, 'No': -3.7384799, ' no': -5.4349732}
{' No': -0.13580741, '\n': -2.7090783, ' ': -4.2907987, 'No': -3.2455122, ' no': -5.1266637}
{' No': -0.015691582, '\n': -5.9500914, ' ': -5.7256155, 'No': -4.7868915, ' no': -6.724153}
{' No': -0.23633276, '\n': -2.6223354, ' ': -4.3883147, 'No': -2.1918972, ' no': -4.629684}
{' No': -0.16934186, '\n': -3.5601058, ' ': -4.435406, 'No': -4.023393, ' no': -2.4023757}
{' No': -0.015784666, '\n': -5.1637645, ' ': -5.1097994, 'No': -5.682912, ' no': -8.586046}
{' No': -0.045223348, '\n': -4.059986, ' ': -4.9221244, 'No': -3.9712484, ' no': -8.087494}
{' No': -0.07969459, '\n': -3.3176172, ' ': -4.2462554, 'No': -3.7221239, ' no': -7.542667}
{' No': -0.017237104, '\n': -5.862808, ' ': -4.77924, 'No': -5.2122, ' no': -9.001305}
{' No': -0.058847703, '\n': -3.825213, ' ': -4.8573217, 'No': -3.6355689, ' no': -7.581316}
{' No': -0.07284658, '\n': -3.9272797, ' ': -4.15541, 'No': -3.9743223, ' no': -5.013187}
{'\n': -9.324216, ' ': -8.799946, ' Yes': -0.004705912, ' yes': -9.110153, 'Yes': -5.4449883}
{' YES': -9.991755, ' ': -7.6951904, ' Yes': -0.012879494, ' yes': -7.7592874, 'Yes': -4.44353}
{'\n': -7.978947, ' ': -7.569992, ' Yes': -0.022063255, ' yes': -7.326922, 'Yes': -3.9098234}
{' YES': -11.246016, ' ': -9.14668, ' Yes': -0.0030759368, ' yes': -9.024064, 'Yes': -5.8730555}
{'\n': -7.568179, ' ': -7.1322603, ' Yes': -0.025067586, ' yes': -7.610745, 'Yes': -3.786956}
{'\n': -8.177095, ' ': -7.8297286, ' Yes': -0.016943645, ' yes': -6.93532, 'Yes': -4.2073326}
{'\n': -7.0583916, ' ': -6.6619363, ' Yes': -0.0054973196, ' yes': -7.541294, 'Yes': -5.926613}
{'\n': -7.376609, ' ': -6.861445, ' Yes': -0.014765946, ' yes': -7.298865, 'Yes': -4.4155874}
{'\n': -4.0778894, ' ': -5.3055544, ' Yes': -0.06280634, ' yes': -6.4837384, 'Yes': -3.3150988}
{'\n': -8.845225, ' ': -7.0844884, ' Yes': -0.0036799868, ' yes': -7.986405, 'Yes': -6.0784807}
{'\n': -5.008932, ' ': -5.3110538, ' Yes': -0.10564693, ' yes': -5.632714, 'Yes': -2.4840667}
{'\n': -6.979469, ' ': -6.3389187, ' Yes': -0.021094447, ' yes': -5.2854643, 'Yes': -4.394559}
{' YES': -7.587691, ' ': -7.1040473, ' Yes': -0.04104837, ' yes': -4.3000093, 'Yes': -3.7183151}
{' YES': -8.29041, ' ': -7.4095125, ' Yes': -0.035014, ' yes': -6.046038, 'Yes': -3.4796627}
{' ': -6.706182, ' Yes': -0.06838169, ' yes': -5.1346736, 'Yes': -2.861352, 'yes': -7.4349604}
{' YES': -8.788257, ' ': -7.472313, ' Yes': -0.011305724, ' yes': -6.3007455, 'Yes': -4.774592}
{' ': -7.3350005, ' Yes': -0.13156588, ' yes': -6.260262, 'Yes': -2.1235206, 'yes': -7.5224366}
{' ': -8.079192, ' Yes': -0.029526243, ' yes': -5.0343175, 'Yes': -3.8309748, 'yes': -7.8703785}
{'\n': -5.951556, ' ': -5.7577744, ' Yes': -0.061407067, ' yes': -3.144634, 'Yes': -4.74296}
{'\n': -5.498451, ' ': -5.384648, ' Yes': -0.04892591, ' yes': -4.745354, 'Yes': -3.5351284}
{'\n': -3.320246, ' ': -4.879993, ' Yes': -0.11968831, ' yes': -4.189503, 'Yes': -2.9742148}
{'\n': -7.361654, ' ': -6.815124, ' Yes': -0.015100276, ' yes': -5.664472, 'Yes': -4.6574435}
{'\n': -3.352172, ' ': -4.8831596, ' Yes': -0.16838177, ' yes': -3.8967206, 'Yes': -2.4455366}
{'\n': -5.1064177, ' ': -5.7624755, ' Yes': -0.1359837, ' yes': -2.302007, 'Yes': -4.248748}
{'\n': -5.108417, ' ': -5.762252, ' Yes': -0.019143652, ' yes': -6.341713, 'Yes': -4.916452}
{'\n': -4.9214096, ' ': -5.735609, ' Yes': -0.030905029, ' yes': -6.61355, 'Yes': -4.020987}
{'\n': -3.9204693, ' ': -5.0361004, ' Yes': -0.06530591, ' yes': -5.9060316, 'Yes': -3.4213507}
{'\n': -5.54353, ' ': -5.3027444, ' Yes': -0.017057804, ' yes': -6.8744316, 'Yes': -5.0119514}
{'\n': -3.5119588, ' ': -4.925297, ' Yes': -0.090167835, ' yes': -5.6762147, 'Yes': -3.1286638}
{'\n': -4.520972, ' ': -4.966499, ' Yes': -0.051018197, ' yes': -4.24202, 'Yes': -4.1924195}
{'\n': -9.517401, ' ': -9.202245, ' Yes': -0.0037212085, ' yes': -9.590323, 'Yes': -5.6685753}
{' ': -8.115515, ' Yes': -0.012632461, ' yes': -7.9392376, 'Yes': -4.446556, ' True': -9.714682}
{'\n': -9.358529, ' ': -8.159032, ' Yes': -0.01697905, ' yes': -7.862621, 'Yes': -4.13949}
{' ': -10.34363, ' Yes': -0.0011469278, ' yes': -10.170667, 'Yes': -6.8541393, ' True': -11.71869}
{'\n': -8.648104, ' ': -7.313948, ' Yes': -0.020535218, ' yes': -8.248902, 'Yes': -3.9606922}
{'\n': -9.3731, ' ': -8.431076, ' Yes': -0.01528098, ' yes': -7.090113, 'Yes': -4.278781}
{'\n': -8.473605, ' ': -7.340751, ' Yes': -0.0024393327, ' yes': -8.264883, 'Yes': -6.7044387}
{'\n': -7.3246803, ' ': -6.792173, ' Yes': -0.013143681, ' yes': -7.2745743, 'Yes': -4.6142063}
{'\n': -4.6696553, ' ': -5.4375157, ' Yes': -0.041100167, ' yes': -6.526167, 'Yes': -3.71551}
{'\n': -9.959101, ' ': -7.7343545, ' Yes': -0.0018375238, ' yes': -8.52487, 'Yes': -6.7942867}
{'\n': -4.7029266, ' ': -5.2064905, ' Yes': -0.10310258, ' yes': -5.6959085, 'Yes': -2.546107}
{'\n': -7.5374026, ' ': -6.2700734, ' Yes': -0.018260758, ' yes': -5.3039927, 'Yes': -4.634567}
{' ': -6.92141, ' Yes': -0.039056826, ' yes': -4.139599, 'Yes': -3.907541, 'yes': -7.6824083}
{' ': -7.7322173, ' Yes': -0.025703533, ' yes': -6.3164024, 'Yes': -3.796091, ' True': -8.181179}
{' ': -7.221646, ' Yes': -0.0521774, ' yes': -4.6631045, 'Yes': -3.2390804, 'yes': -7.3992457}
{' ': -8.068378, ' Yes': -0.009124433, ' yes': -6.6702495, 'Yes': -4.939697, ' True': -8.9967575}
{' ': -7.4790215, ' Yes': -0.10567078, ' yes': -6.6903567, 'Yes': -2.3253267, 'yes': -7.816101}
{' ': -8.919336, ' Yes': -0.018696582, ' yes': -5.7327156, 'Yes': -4.2080197, 'yes': -8.541645}
{'\n': -7.491688, ' ': -6.1551294, ' Yes': -0.03144799, ' yes': -3.7509074, 'Yes': -5.610431}
{'\n': -5.543695, ' ': -5.067466, ' Yes': -0.036858987, ' yes': -5.154594, 'Yes': -4.0434866}
{'\n': -3.4419801, ' ': -5.074196, ' Yes': -0.095222384, ' yes': -4.381704, 'Yes': -3.2716215}
{'\n': -7.5903306, ' ': -7.2211876, ' Yes': -0.011154489, ' yes': -5.770022, 'Yes': -5.035618}
{'\n': -2.7737267, ' ': -4.823084, ' Yes': -0.19939533, ' yes': -4.3350763, 'Yes': -2.4274933}
{'\n': -5.3070865, ' ': -5.5121684, ' Yes': -0.1310193, ' yes': -2.3423917, 'Yes': -4.386663}
{'\n': -6.768115, ' ': -6.8330455, ' Yes': -0.0058436766, ' yes': -7.486442, 'Yes': -5.8683596}
{'\n': -5.779382, ' ': -6.0185995, ' Yes': -0.021131216, ' yes': -7.107316, 'Yes': -4.274776}
{'\n': -4.3633246, ' ': -5.3301444, ' Yes': -0.041343402, ' yes': -6.592996, 'Yes': -3.8789477}
{'\n': -6.4062676, ' ': -5.7763777, ' Yes': -0.008940509, ' yes': -7.423978, 'Yes': -5.699437}
{'\n': -3.7487957, ' ': -5.274553, ' Yes': -0.0651737, ' yes': -6.612864, 'Yes': -3.4524262}
{'\n': -5.270782, ' ': -5.397109, ' Yes': -0.034768905, ' yes': -4.6537204, 'Yes': -4.3501816}
{' No': -0.007977955, '\n': -8.361115, ' ': -7.619533, 'No': -4.9363685, ' no': -11.255265}
{' No': -0.02773402, '\t': -10.378711, '\n': -8.90673, ' ': -6.4983435, 'No': -3.6671267}
{' No': -0.047885913, '\xa0': -9.289529, '\n': -6.892866, ' ': -6.3745804, 'No': -3.1306646}
{' No': -0.007421166, '\n': -10.483852, ' ': -7.7814765, 'No': -4.976785, ' no': -11.2886095}
{' No': -0.05100847, '\n': -6.5115747, ' ': -5.94749, 'No': -3.1008554, ' 3': -8.624185}
{' No': -0.038585894, '\n': -8.233743, ' ': -6.9134803, 'No': -3.3167975, ' no': -8.962509}
{' No': -0.004942009, '\n': -7.0615196, ' ': -5.9710617, 'No': -6.6022053, ' no': -9.360594}
{' No': -0.024566492, '\n': -5.625459, ' ': -5.288156, 'No': -4.1944118, ' no': -8.382694}
{' No': -0.069687404, '\n': -3.6449568, ' ': -4.364107, 'No': -3.6097395, ' no': -8.037069}
{' No': -0.00413458, '\n': -8.407414, ' ': -6.185622, 'No': -6.349847, ' no': -10.007445}
{' No': -0.113732114, '\n': -4.0635853, ' ': -4.311871, 'No': -2.5987308, ' no': -7.158892}
{' No': -0.026768949, '\n': -6.2626667, ' ': -5.234369, 'No': -4.1079493, ' no': -6.132253}
{' No': -0.05195619, '\n': -7.011087, ' ': -5.717065, 'No': -3.2270737, ' no': -5.167989}
{' No': -0.058655035, '\n': -9.243401, ' ': -6.5980105, 'No': -2.9056418, ' no': -7.742038}
{' No': -0.12746839, '\n': -6.811215, ' ': -6.1411715, 'No': -2.1637976, ' no': -7.303574}
{' No': -0.012673628, '\t': -9.8934355, ' ': -7.026226, 'No': -4.5145864, ' no': -7.616761}
{' No': -0.26276103, '\n': -6.6048756, ' ': -6.098964, 'No': -1.4851941, ' no': -7.9844465}
{' No': -0.08606152, ' ': -6.930101, 'No': -2.5260315, 'no': -8.10158, ' no': -6.9483576}
{' No': -0.03155582, '\n': -6.283287, ' ': -5.1120195, 'No': -5.257544, ' no': -4.073441}
{' No': -0.06635791, '\n': -4.4269905, ' ': -4.632436, 'No': -3.2832482, ' no': -5.5301676}
{' No': -0.11552581, '\n': -3.1399283, ' ': -4.412496, 'No': -3.079042, ' no': -5.123057}
{' No': -0.021997813, '\n': -5.7359996, ' ': -5.282976, 'No': -4.5092506, ' no': -6.1542506}
{' No': -0.18782365, '\n': -2.7858002, ' ': -4.2618136, 'No': -2.4458334, ' no': -5.116137}
{' No': -0.13118687, '\n': -4.549763, ' ': -4.887995, 'No': -3.9172785, ' no': -2.5113883}
{' No': -0.017429473, '\n': -5.0805545, ' ': -5.0310574, 'No': -5.536562, ' no': -7.884855}
{' No': -0.043905385, '\n': -4.234665, ' ': -4.8227882, 'No': -3.9404297, ' no': -7.930614}
{' No': -0.0719833, '\n': -3.531696, ' ': -4.3164253, 'No': -3.6782548, ' no': -7.8275056}
{' No': -0.022432705, '\n': -5.09482, ' ': -4.626368, 'No': -5.1554627, ' no': -8.436298}
{' No': -0.1111004, '\n': -2.8010952, ' ': -4.1546474, 'No': -3.6406434, ' no': -7.0196}
{' No': -0.053422518, '\n': -4.338122, ' ': -4.395766, 'No': -3.9453511, ' no': -5.242825}
{' No': -0.009746409, '\n': -7.215355, ' ': -6.851263, 'No': -4.888637, ' Yes': -8.445686}
{' No': -0.041231155, '\n': -8.385744, ' ': -6.4446793, 'No': -3.3692622, ' Yes': -5.5746245}
{' No': -0.04958036, '\n': -6.170293, ' ': -6.1585298, 'No': -3.273377, ' Yes': -5.1881127}
{' No': -0.005874374, ' ': -8.029103, 'No': -5.25011, ' Yes': -8.38436, ' 7': -11.232299}
{' No': -0.059422642, '\n': -6.074471, ' ': -5.3511524, 'No': -3.025594, ' Yes': -6.9139466}
{' No': -0.058015734, '\n': -7.1489463, ' ': -6.543493, 'No': -3.1042228, ' Yes': -4.8120418}
{' No': -0.005327183, '\n': -7.2020216, ' ': -5.7742643, 'No': -6.9432383, ' Yes': -8.057313}
{' No': -0.020778127, '\n': -5.4332194, ' ': -5.4291263, 'No': -4.475629, ' no': -8.92139}
{' No': -0.092872344, '\n': -3.060516, ' ': -4.1585574, 'No': -3.7311265, ' Yes': -7.3474555}
{' No': -0.0033681686, '\n': -8.598683, ' ': -6.4153647, 'No': -6.538137, ' no': -10.047117}
