{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Up': -0.45219776, ' up': -1.1362244, ' down': -3.923551, ' Down': -4.0246367, ' "': -5.8061705}
{' Down': -0.15189771, ' down': -1.9879153, 'Down': -6.3678384, ' "': -6.6775823, 'down': -7.1911144}
{' Up': -0.841381, ' Down': -1.367262, ' down': -1.5813962, ' up': -2.2732337, ' "': -5.528816}
{' up': -0.62318426, ' Up': -0.77098095, ' "': -7.38592, 'up': -8.389397, 'Up': -8.66835}
{' up': -0.7805714, ' Up': -0.8875851, ' down': -2.5184598, ' Down': -3.043898, ' "': -7.421858}
{' Up': -0.10492642, ' up': -2.3524964, ' Down': -6.170665, ' "': -6.880605, ' down': -7.286683}
{' Up': -0.46857592, ' up': -1.3849845, ' down': -2.8070252, ' Down': -2.81088, 'Up': -7.1804914}
{' down': -0.33170405, ' Down': -1.4768208, ' up': -3.599486, ' Up': -4.017342, 'down': -5.0229864}
{' Up': -0.3292427, ' up': -1.7851275, ' Down': -2.617588, ' down': -3.2901857, 'Up': -7.3103867}
{' Down': -0.4589739, ' down': -1.0235034, ' Up': -5.843001, 'down': -5.918574, 'Down': -6.3404527}
{' Up': -0.28244638, ' up': -1.4750448, ' down': -5.1160054, ' Down': -5.213288, ' "': -5.453936}
{' down': -0.65463537, ' Down': -0.7465581, 'down': -5.9958787, ' "': -6.0831475, 'Down': -6.754372}
{' Up': -0.34332523, ' up': -1.3138204, ' down': -4.6111608, ' Down': -4.6811795, ' "': -7.0493937}
{' Down': -0.5615461, ' down': -0.85955596, ' "': -5.792135, 'down': -6.3188243, 'Down': -6.957582}
{' Up': -0.5534841, ' up': -1.0092679, ' down': -3.1852686, ' Down': -4.5754547, ' "': -4.8999844}
{' down': -0.33025423, ' Down': -1.9362093, ' up': -2.5073247, ' Up': -3.0391624, ' "': -5.1924996}
{' Up': -0.25532645, ' up': -1.5775157, ' Down': -4.810712, ' down': -4.8133917, ' "': -6.6747403}
{' down': -0.4338294, ' Down': -1.0568115, 'down': -6.378667, ' "': -6.4322686, 'Down': -6.946}
{' Down': -0.4772901, ' down': -1.1352568, ' Up': -3.1117733, ' "': -4.9795613, ' up': -5.2910047}
{' down': -0.6564401, ' Down': -0.9891122, ' Up': -2.7954283, ' up': -3.1550057, ' "': -5.5045805}
{' Up': -0.27312723, ' up': -1.8696563, ' Down': -2.9050753, ' down': -3.5616632, ' "': -6.998862}
{' Down': -0.627642, ' down': -0.7823012, ' "': -5.549498, ' Up': -5.9826965, 'down': -7.1180344}
{' Up': -0.22237365, ' up': -2.041105, ' Down': -3.4561136, ' "': -4.0032783, ' down': -4.108791}
{' Down': -0.22830597, ' down': -1.6250783, ' "': -5.432749, 'Down': -6.4292407, 'down': -7.130878}
{' Up': -0.33683717, ' up': -1.3783602, ' Down': -4.213363, ' down': -4.485803, ' "': -5.1521354}
{' Down': -0.31236565, ' down': -1.3405086, ' "': -5.530282, 'Down': -6.672715, 'down': -7.0177145}
{' Down': -0.759309, ' Up': -1.2095425, ' down': -1.7073108, ' up': -3.124883, ' "': -5.0299883}
{' Up': -0.6468977, ' up': -0.7454333, ' "': -6.7138076, ' UP': -8.2473955, 'Up': -8.652892}
{' Up': -0.81004655, ' up': -1.3050226, ' Down': -1.9468626, ' down': -1.9927992, ' "': -5.7494802}
{' Up': -0.13933367, ' up': -2.1049325, ' "': -5.124687, ' UP': -6.5958304, ' Down': -7.663643}
{' up': -0.78136903, ' Up': -1.050986, ' down': -1.9541748, ' Down': -3.0693347, ' UP': -6.6221786}
{' down': -0.48225546, ' up': -1.2911563, ' Down': -2.8667977, ' Up': -3.0906193, 'down': -5.714053}
{' Up': -0.7731238, ' up': -0.7847739, ' down': -2.8845472, ' Down': -3.76031, ' "': -7.3614774}
{' down': -0.23710887, ' Down': -1.7216269, ' up': -4.1078515, ' Up': -4.505183, 'down': -5.85092}
{' Up': -0.32217777, ' up': -1.3337115, ' down': -5.4159865, ' Down': -5.571943, ' "': -6.0994086}
{' down': -0.63512737, ' Down': -0.76932836, 'down': -6.026845, ' "': -6.5347323, 'Down': -6.699056}
{' Up': -0.38291413, ' up': -1.2503421, ' down': -4.1438413, ' Down': -4.2942204, 'up': -7.0693097}
{' Down': -0.6540356, ' down': -0.7617628, ' Up': -5.244854, ' "': -5.9034915, 'down': -6.09609}
{' Up': -0.4462342, ' up': -1.208321, ' down': -3.1651175, ' Down': -4.2552094, ' "': -5.633557}
{' down': -0.62100047, ' up': -1.4861834, ' Up': -2.1194708, ' Down': -2.2034914, ' "': -5.5338173}
{' Up': -0.2302513, ' up': -1.7104604, ' Down': -4.416422, ' down': -4.5306396, ' "': -7.3313766}
{' down': -0.56256247, ' Down': -0.8527979, 'down': -6.534072, ' "': -6.609933, 'Down': -6.8763742}
{' Down': -0.4923365, ' down': -1.2480395, ' Up': -2.4606135, ' up': -4.591156, ' "': -5.3401318}
{' Down': -1.1275262, ' Up': -1.2754183, ' down': -1.2987107, ' up': -2.1204176, ' "': -5.88593}
{' Up': -0.23611414, ' up': -2.0962863, ' Down': -2.7716346, ' down': -3.744615, ' "': -7.766774}
{' Down': -0.6053661, ' down': -0.887976, ' Up': -3.5154214, ' up': -4.9718175, ' "': -5.4209847}
{' Up': -0.33401433, ' Down': -2.18366, ' up': -2.302583, ' down': -2.9697013, ' "': -4.0513663}
{' Down': -0.20905866, ' down': -1.6971719, ' "': -5.8613944, 'Down': -6.440923, 'down': -7.2602973}
{' Up': -0.25796345, ' up': -1.654938, ' Down': -3.9852219, ' down': -4.534876, ' "': -5.2652054}
{' Down': -0.21013069, ' down': -1.6879214, ' "': -6.057792, 'Down': -6.5732627, 'down': -7.2946506}
{' Down': -0.5251222, ' Up': -1.5109545, ' down': -1.8575788, ' up': -3.606728, ' "': -5.8760777}
{' Up': -0.5966079, ' up': -0.8032462, ' "': -7.2125916, ' UP': -7.956906, 'Up': -8.493225}
{' Up': -0.9571783, ' up': -1.3516465, ' down': -1.6929438, ' Down': -1.7740651, ' "': -6.434664}
{' Up': -0.08333769, ' up': -2.5619485, ' "': -6.5642834, ' UP': -6.9353423, 'Up': -8.36686}
{' Up': -0.65877396, ' up': -1.1769263, ' down': -2.3245988, ' Down': -2.6259122, ' UP': -6.5050983}
{' up': -0.41869485, ' Up': -1.5066999, ' down': -2.3445485, ' Down': -3.8339264, 'up': -7.257619}
{' Up': -0.75988406, ' up': -0.8317091, ' down': -2.8472195, ' Down': -3.3008158, 'Up': -7.7575397}
{' up': -0.6522466, ' Up': -1.0256331, ' down': -2.4842207, ' Down': -3.3836212, ' "': -6.5851707}
{' Up': -0.28503844, ' up': -1.4709419, ' down': -5.009199, ' Down': -5.0601296, ' "': -5.5684223}
{' Down': -0.6956819, ' down': -0.70450157, ' "': -5.9887114, 'down': -6.0507574, 'Down': -6.645974}
{' Up': -0.56267023, ' up': -0.92526674, ' down': -3.8986475, ' Down': -4.5378327, 'up': -6.7709446}
{' Down': -0.5646552, ' down': -0.87024677, ' Up': -5.3090096, ' "': -5.8618727, 'down': -6.230167}
{' Up': -0.3952477, ' up': -1.4746277, ' down': -2.9146607, ' Down': -3.3624794, ' "': -4.9141645}
{' Up': -1.1057066, ' up': -1.1207061, ' down': -1.4318575, ' Down': -2.3427005, ' "': -5.2102194}
{' Up': -0.2239101, ' up': -1.6695505, ' Down': -5.2307076, ' down': -5.3415494, 'Up': -7.4548607}
{' down': -0.30510354, ' Down': -1.3920556, ' Up': -5.167799, ' up': -5.8676286, ' "': -5.9791627}
{' Down': -0.7553714, ' Up': -1.3853954, ' down': -1.4161056, ' up': -3.5562, ' "': -4.9122353}
{' down': -1.2143929, ' Up': -1.2206873, ' Down': -1.5709089, ' up': -1.6429875, ' "': -5.248603}
{' Up': -0.30794275, ' up': -2.1858017, ' Down': -2.1975608, ' down': -3.220605, ' "': -7.225272}
{' Down': -0.62934303, ' down': -1.138548, ' Up': -2.1211472, ' up': -3.8945065, ' "': -5.3128834}
{' Down': -0.88152313, ' Up': -1.0060768, ' down': -1.9592361, ' up': -3.2024784, ' "': -3.3492012}
{' Down': -0.26789764, ' down': -1.4886676, ' "': -5.041789, 'Down': -6.53962, 'down': -6.9751883}
{' Up': -0.5285709, ' up': -0.97185403, ' down': -4.262839, ' Down': -4.5442934, ' "': -5.219172}
{' Down': -0.22571152, ' down': -1.6289345, ' "': -5.633336, 'Down': -6.61215, 'down': -7.216561}
{' Down': -0.69484925, ' Up': -1.4350682, ' down': -1.5374072, ' up': -3.2026887, ' "': -5.191494}
{' Up': -0.45937026, ' up': -1.003819, ' "': -6.699885, 'Up': -8.423097, ' UP': -8.457615}
{' Up': -0.3957035, ' up': -1.9543355, ' Down': -1.9726783, ' down': -3.1491766, ' "': -6.1576986}
{' Up': -0.08135692, ' up': -2.656102, ' "': -5.6957135, ' Down': -5.7972703, ' UP': -7.394068}
{' Up': -0.61811763, ' up': -1.0775673, ' down': -2.7088253, ' Down': -2.9918222, ' "': -6.528694}
{' up': -0.70591545, ' down': -1.4312077, ' Up': -1.6075745, ' Down': -2.7637117, 'down': -6.666418}
{' Up': -0.7020554, ' up': -0.84771, ' down': -3.152592, ' Down': -3.4874308, 'up': -7.337103}
{' down': -0.80876637, ' Down': -1.1341028, ' Up': -2.049924, ' up': -2.3069086, 'down': -6.4210334}
{' Up': -0.31019485, ' up': -1.3617963, ' down': -5.576251, ' Down': -5.805215, ' "': -5.9627676}
{' down': -0.64819187, ' Down': -0.7518887, 'down': -6.146078, ' "': -6.4052944, 'Down': -6.7969933}
{' Up': -0.4261476, ' up': -1.1616557, ' down': -3.971859, ' Down': -4.383749, ' "': -6.848594}
{' down': -0.6725054, ' Down': -0.7263708, ' "': -6.202626, 'down': -6.328303, ' Up': -7.0115895}
{' Up': -0.57539386, ' up': -0.9980662, ' down': -2.9816895, ' Down': -4.503315, ' "': -5.1514263}
{' down': -0.21940997, ' up': -2.4749146, ' Down': -2.5106964, ' Up': -3.6048412, ' "': -6.0655513}
{' Up': -0.23749577, ' up': -1.6014445, ' down': -5.5518456, ' Down': -5.5763664, ' "': -7.150827}
{' down': -0.24134319, ' Down': -1.5591875, 'down': -6.4180055, ' "': -6.434605, 'Down': -7.2939763}
{' Down': -0.98014593, ' Up': -1.2019324, ' down': -1.3215308, ' up': -3.0281537, ' "': -4.8711524}
{' down': -0.87152785, ' Down': -1.3602879, ' Up': -1.7753458, ' up': -1.8853561, ' "': -5.9534554}
{' Up': -0.23116109, ' up': -1.8314819, ' Down': -3.5188196, ' down': -4.169321, ' "': -7.8766894}
{' down': -0.6251364, ' Down': -0.92244244, ' Up': -3.0718813, ' up': -4.155221, ' "': -5.655865}
{' Up': -0.26149327, ' up': -2.314014, ' Down': -2.620708, ' down': -3.3501086, ' "': -3.8555274}
{' Down': -0.54168916, ' down': -0.8970779, ' "': -4.9327073, 'Down': -6.5137615, 'down': -6.5488687}
{' Up': -0.66424, ' up': -0.8126985, ' down': -3.821001, ' Down': -4.447292, ' "': -5.0835876}
{' Down': -0.23869559, ' down': -1.5706621, ' "': -5.9228497, 'Down': -6.8824215, 'down': -7.5109425}
{' Up': -0.96843976, ' Down': -0.99505115, ' down': -1.731177, ' up': -2.6944015, ' "': -5.356549}
{' Up': -0.59921646, ' up': -0.80021477, ' "': -6.955517, ' UP': -8.48225, 'Up': -8.794968}
{' up': -0.78777146, ' Up': -0.85371226, ' down': -2.6566164, ' Down': -3.079155, ' "': -6.1618876}
{' Up': -0.1263751, ' up': -2.2369382, ' Down': -5.2496014, ' "': -5.4151015, ' down': -6.5566006}
{' Up': -0.5735456, ' up': -1.1707842, ' down': -2.638199, ' Down': -2.967577, ' "': -6.7838287}
{' up': -0.479124, ' Up': -1.5131645, ' down': -2.0717583, ' Down': -3.4671743, ' "': -6.9179783}
{' Up': -0.71566194, ' up': -0.81138027, ' down': -3.173029, ' Down': -3.7806013, ' "': -7.5813303}
{' down': -0.62079656, ' Down': -1.4521221, ' up': -2.131062, ' Up': -2.2559798, ' "': -6.248253}
{' Up': -0.1417491, ' up': -2.0892398, ' Down': -5.578652, ' down': -6.069327, ' "': -6.621369}
{' Down': -0.35566184, ' down': -1.2268853, ' Up': -6.4539123, 'down': -6.501219, 'Down': -6.571415}
{' Up': -0.17595918, ' up': -2.05436, ' Down': -3.8927233, ' down': -4.523562, ' "': -7.3772182}
{' Down': -0.25370803, ' down': -1.5684187, ' Up': -4.5037365, ' "': -6.552744, ' up': -6.8082275}
{' Up': -0.5243942, ' up': -1.123935, ' down': -2.7777188, ' Down': -3.9769182, ' "': -6.5583653}
{' up': -0.7505073, ' down': -1.4050426, ' Up': -1.4432144, ' Down': -3.1228237, ' "': -7.0922127}
{' Up': -0.36710972, ' up': -1.247931, ' down': -4.487473, ' Down': -4.921551, 'up': -7.4527054}
{' down': -0.34731498, ' Down': -1.2473623, ' Up': -5.971788, 'down': -6.684313, ' up': -6.818998}
{' Up': -0.9103834, ' Down': -0.93919766, ' down': -1.7840062, ' up': -3.3977606, ' "': -5.4816}
{' Up': -0.6041236, ' up': -1.5839248, ' Down': -1.9742999, ' down': -2.243425, ' "': -6.1061006}
{' Up': -0.11417059, ' up': -2.6748908, ' Down': -3.4545865, ' down': -5.1153035, ' "': -7.24676}
{' Up': -0.93360645, ' Down': -0.9983934, ' down': -1.7206606, ' up': -2.9359636, ' "': -5.287126}
{' Up': -0.6719426, ' Down': -1.230542, ' down': -2.1389189, ' up': -2.8788593, ' "': -3.8661962}
{' Down': -0.19311075, ' down': -1.7963326, ' "': -5.269761, ' Up': -6.075341, 'Down': -6.772516}
{' Up': -0.36375827, ' up': -1.4324381, ' Down': -3.4218903, ' down': -3.7705882, ' "': -4.758251}
{' Down': -0.099866204, ' down': -2.3844368, ' "': -6.5840673, 'Down': -6.907029, 'down': -7.97841}
{' Down': -0.48724636, ' Up': -1.4506938, ' down': -2.0170448, ' up': -4.187014, ' "': -6.3947115}
{' Up': -0.14035885, ' up': -2.0417526, ' "': -7.475648, ' UP': -8.158674, 'Up': -8.485558}
{' Up': -0.27590308, ' Down': -2.0969326, ' up': -2.4222023, ' down': -3.606702, ' "': -6.5054293}
{' Up': -0.0400806, ' up': -3.2983181, ' "': -6.884742, ' UP': -7.3190494, ' Down': -7.8652983}
{' Up': -0.44423345, ' up': -1.5011258, ' Down': -2.526593, ' down': -2.922705, ' UP': -7.50585}
{' Up': -0.76075363, ' up': -0.78942305, ' down': -3.102945, ' Down': -3.4532242, 'up': -7.5141454}
{' Up': -0.3489579, ' up': -1.5237662, ' Down': -3.086621, ' down': -3.5337589, 'Up': -7.6434317}
{' Up': -0.4127271, ' up': -1.4330078, ' Down': -2.8031957, ' down': -3.3133829, ' UP': -7.06184}
{' Up': -0.19648765, ' up': -1.8266163, ' Down': -4.8197136, ' down': -4.998348, ' "': -6.4393044}
{' Down': -0.6190635, ' down': -0.7935287, ' Up': -5.956948, 'down': -6.079915, ' "': -6.232697}
{' Up': -0.25448564, ' up': -1.6529098, ' Down': -4.1510444, ' down': -4.2069983, ' "': -6.9808583}
{' Down': -0.47254393, ' down': -0.99040055, ' "': -6.2791934, 'down': -6.682762, 'Down': -6.818519}
{' Up': -0.50165224, ' up': -1.4280171, ' down': -2.2590756, ' Down': -3.090092, ' "': -5.5849767}
{' up': -0.85818136, ' down': -1.2333034, ' Up': -1.4915297, ' Down': -2.8841784, ' "': -6.1068063}
{' Up': -0.40571067, ' up': -1.1659913, ' down': -4.383204, ' Down': -4.8932233, ' "': -7.2386093}
{' down': -0.32620466, ' Down': -1.3083767, ' Up': -5.8830338, ' "': -6.3484135, ' up': -6.5437546}
{' Down': -0.41346636, ' down': -1.4812382, ' Up': -2.3154497, ' up': -4.9816027, ' "': -5.4759665}
{' down': -0.87008643, ' Down': -0.9931983, ' Up': -2.1051557, ' up': -2.4995096, ' "': -5.295841}
{' Up': -0.2527098, ' Down': -2.1332107, ' up': -2.6272461, ' down': -3.479232, ' "': -6.9575987}
{' Down': -0.5514424, ' down': -1.0960171, ' Up': -2.623607, ' up': -4.550422, ' "': -5.3378997}
{' Up': -0.3764058, ' Down': -1.7546177, ' up': -2.8432617, ' down': -2.877663, ' "': -3.7319338}
{' Down': -0.33107582, ' down': -1.3031427, ' "': -4.9726715, 'Down': -6.486433, 'down': -6.7546406}
{' Up': -0.14998937, ' up': -2.1433709, ' Down': -4.494443, ' "': -5.192878, ' down': -5.5117655}
{' Down': -0.089607745, ' down': -2.5048678, ' "': -6.153517, 'Down': -6.6375604, 'down': -8.000368}
{' Down': -0.5996766, ' Up': -1.2686505, ' down': -1.9592233, ' up': -3.7224832, ' "': -5.693068}
{' Up': -0.1940983, ' up': -1.7405479, ' "': -7.5841703, ' UP': -8.486195, 'Up': -8.579703}
{' Up': -0.57453537, ' up': -1.190317, ' Down': -2.6483955, ' down': -2.8318384, ' "': -6.103098}
{' Up': -0.05103657, ' up': -3.059009, ' "': -6.492141, ' UP': -7.501493, ' Down': -7.653373}
{' Up': -0.56295013, ' up': -1.5123729, ' Down': -2.1618042, ' down': -2.3826923, 'Up': -7.6532917}
{' up': -0.68126106, ' Up': -0.87645346, ' down': -2.9950848, ' Down': -3.6710968, 'up': -7.2641973}
{' Up': -0.50969774, ' up': -1.2492207, ' Down': -2.7925076, ' down': -3.0326185, ' "': -6.717343}
{' Up': -0.5281771, ' up': -1.313978, ' Down': -2.5539873, ' down': -2.7985704, ' UP': -7.180145}
{' Up': -0.21783197, ' up': -1.7085259, ' Down': -5.0124483, ' down': -5.2763643, ' "': -6.349253}
{' Down': -0.59245694, ' down': -0.82043475, 'down': -6.2419777, ' Up': -6.492523, ' "': -6.5307117}
{' Up': -0.3082835, ' up': -1.4427651, ' down': -4.285868, ' Down': -4.347117, 'up': -7.1924386}
{' Down': -0.38944724, ' down': -1.1439811, 'down': -6.76151, ' "': -6.870244, 'Down': -6.9015665}
{' Up': -0.66438466, ' up': -1.0418396, ' down': -2.3121948, ' Down': -3.5816665, ' "': -5.340181}
{' up': -0.5075397, ' Up': -1.4400597, ' down': -2.0071104, ' Down': -3.7227364, ' "': -6.5473}
{' Up': -0.4903218, ' up': -0.9918268, ' down': -4.6365085, ' Down': -5.2754626, ' "': -7.364518}
{' down': -0.2650426, ' Down': -1.5026696, ' Up': -5.5257616, ' up': -5.927012, 'down': -6.2588263}
{' Down': -0.8716756, ' Up': -1.1680566, ' down': -1.496851, ' up': -3.2645054, ' "': -4.9168777}
{' Up': -0.8516837, ' up': -1.6056358, ' Down': -1.635951, ' down': -1.7579298, ' "': -5.453845}
{' Up': -0.11187076, ' up': -2.5228908, ' Down': -3.9181263, ' down': -5.368315, ' "': -7.697152}
{' Down': -0.5411625, ' down': -1.0476704, ' Up': -2.9313126, ' up': -4.799509, ' "': -5.589185}
{' Up': -0.36581826, ' Down': -1.9957602, ' up': -2.4946556, ' down': -2.8164425, ' "': -3.6502957}
{' Down': -0.6992911, ' down': -0.7139777, ' "': -4.946901, ' Up': -6.2316546, 'down': -6.518682}
{' Up': -0.13885936, ' up': -2.1591725, ' Down': -4.9693704, ' "': -5.597933, ' down': -6.064681}
{' Down': -0.116672084, ' down': -2.2495418, ' "': -5.8757505, 'Down': -6.70654, 'down': -7.885072}
{' Down': -0.7533149, ' Up': -1.1294822, ' down': -1.7998923, ' up': -3.297638, ' "': -6.028766}
{' Up': -0.42517254, ' up': -1.0627172, ' "': -7.846654, 'Up': -8.6391115, ' UP': -8.932506}
{' Up': -0.3904628, ' up': -1.3297309, ' Down': -3.280653, ' down': -3.9383638, ' "': -7.1820197}
{' Up': -0.060460996, ' up': -2.8794384, ' "': -6.7571173, ' Down': -7.33061, ' UP': -8.057945}
{' Up': -0.60463184, ' up': -1.2426323, ' Down': -2.495373, ' down': -2.5239146, 'Up': -7.5253954}
{' up': -0.55173224, ' Up': -0.9053299, ' down': -4.3914313, ' Down': -5.2293158, 'up': -7.2180624}
{' Up': -0.48084038, ' up': -1.0900514, ' Down': -3.8243883, ' down': -3.8391452, 'Up': -7.2556295}
{' Up': -0.50606596, ' up': -1.2586828, ' Down': -2.7924638, ' down': -3.0134263, ' UP': -7.227006}
{' Up': -0.2803332, ' up': -1.5665956, ' down': -4.0842576, ' Down': -4.226071, ' "': -5.814514}
{' Down': -0.6986051, ' down': -0.70010424, 'down': -5.8592777, ' "': -6.5387306, 'Down': -6.785088}
{' Up': -0.38232705, ' up': -1.5123796, ' down': -2.980111, ' Down': -3.1522532, 'up': -6.713958}
{' Down': -0.4134541, ' down': -1.0984077, 'down': -6.119299, ' "': -6.3399425, 'Down': -6.8471637}
{' Up': -0.71172696, ' up': -1.3877904, ' down': -1.7136458, ' Down': -2.6229932, ' "': -5.189234}
{' up': -0.6007596, ' down': -1.5158445, ' Up': -1.6498644, ' Down': -3.313408, ' "': -6.300016}
{' Up': -0.45696786, ' up': -1.1427054, ' down': -3.6173565, ' Down': -3.977695, 'up': -7.179299}
{' down': -0.3514296, ' Down': -1.2463939, ' Up': -5.7211876, ' up': -6.2806153, 'down': -6.3554826}
{' down': -0.28664464, ' Down': -1.7213789, ' Up': -3.2284763, ' up': -3.6898558, ' "': -5.484673}
{' down': -0.7274361, ' up': -1.1486284, ' Up': -2.1021407, ' Down': -2.6107352, ' "': -5.9203606}
{' Up': -0.50782174, ' Down': -1.4681774, ' down': -2.4929938, ' up': -2.4964063, ' "': -6.724597}
{' Down': -0.49971348, ' down': -0.95519024, ' Up': -5.4997725, ' "': -6.2810698, 'Down': -7.0411444}
{' Up': -0.577164, ' up': -1.8698199, ' Down': -2.1251147, ' down': -2.1335242, ' "': -3.1215}
{' Down': -0.44515988, ' down': -1.054388, ' "': -5.0710278, 'Down': -6.5497074, 'down': -6.6439624}
{' Up': -0.22844414, ' up': -1.7543344, ' Down': -4.1211023, ' down': -4.7686086, ' "': -5.313239}
{' Down': -0.109532274, ' down': -2.3055964, ' "': -6.260571, 'Down': -6.5823865, 'down': -7.5437207}
{' Down': -0.90604395, ' Up': -1.1970024, ' down': -1.4490757, ' up': -2.893963, ' "': -6.2161613}
{' Up': -0.5303599, ' up': -0.89596623, ' down': -6.600884, ' Down': -6.932177, ' "': -7.630432}
{' Up': -0.43174684, ' up': -1.635734, ' Down': -2.3285725, ' down': -2.8729775, ' "': -7.242492}
{' Up': -0.074529774, ' up': -2.7224312, ' Down': -5.582046, ' "': -6.9357066, ' down': -7.1553965}
{' Up': -0.32740176, ' up': -1.709146, ' Down': -2.787332, ' down': -3.375709, 'Up': -7.2826033}
{' down': -0.69207656, ' Down': -0.7416829, ' Up': -4.5677614, ' up': -5.1986322, 'down': -5.344363}
{' Up': -0.34455454, ' up': -1.8779254, ' Down': -2.3788297, ' down': -3.141931, 'Up': -7.199971}
{' Down': -0.26566148, ' down': -1.4882948, ' Up': -5.925858, 'Down': -6.1936784, 'down': -6.2337475}
{' Up': -0.16798946, ' up': -1.9447038, ' Down': -5.348823, ' down': -5.771835, ' "': -6.0689044}
{' Down': -0.4704065, ' down': -0.99598974, 'down': -6.167584, ' "': -6.2306185, 'Down': -6.564042}
{' Up': -0.25019172, ' up': -1.7420663, ' Down': -3.7129128, ' down': -3.9936857, ' "': -6.5314193}
{' Down': -0.35412917, ' down': -1.2297548, ' "': -5.8752933, 'down': -6.495869, 'Down': -6.837711}
{' Up': -0.5312475, ' up': -1.6826336, ' down': -2.0317852, ' Down': -2.576671, ' "': -4.0332155}
{' down': -0.4599631, ' up': -1.5926096, ' Down': -2.477749, ' Up': -2.5888162, ' "': -5.421242}
{' Up': -0.32436663, ' up': -1.3969069, ' down': -4.1929464, ' Down': -4.433146, ' "': -6.6967034}
{' down': -0.44274053, ' Down': -1.0394737, ' "': -6.3080072, 'down': -6.6641097, 'Down': -7.2043214}
{' Down': -0.44841844, ' down': -1.1947316, ' Up': -3.2004972, ' "': -4.443024, ' up': -5.4883313}
{' down': -0.46055037, ' Down': -1.763815, ' up': -2.1367035, ' Up': -2.635399, ' "': -5.0869026}
{' Up': -0.25293666, ' up': -2.1622138, ' Down': -2.5807755, ' down': -3.5018969, ' "': -6.357875}
{' Down': -0.634971, ' down': -0.79043525, ' "': -4.91089, ' Up': -5.140771, ' up': -6.50439}
{' Up': -0.1306813, ' up': -2.4981413, ' "': -3.9544723, ' Down': -4.263454, ' down': -5.3424063}
{' Down': -0.1557425, ' down': -1.9959773, ' "': -5.2161517, 'Down': -6.3860545, 'down': -7.2014327}
{' Up': -0.16797565, ' up': -1.9186947, ' "': -5.8257146, ' Down': -6.0668344, ' down': -6.8802705}
{' Down': -0.15336403, ' down': -2.000841, ' "': -5.3271575, 'Down': -6.7560134, 'down': -7.5872474}
{' Down': -0.44298744, ' Up': -1.5724201, ' down': -2.0576572, ' up': -4.09836, ' "': -5.455328}
{' Up': -0.45433772, ' up': -1.0117356, ' "': -7.040956, ' UP': -7.900188, 'Up': -8.667738}
{' Up': -0.9297399, ' Down': -1.5260494, ' up': -1.5960358, ' down': -1.7201202, ' "': -5.5277014}
{' Up': -0.0953183, ' up': -2.4570298, ' "': -5.6793694, ' UP': -6.546585, 'Up': -8.61877}
{' up': -0.8097184, ' Up': -1.3115858, ' down': -1.503379, ' Down': -2.827258, 'down': -6.933874}
{' up': -0.77109176, ' down': -0.8523449, ' Up': -2.6354697, ' Down': -3.3581014, 'down': -5.98781}
{' up': -0.6591246, ' Up': -0.9139807, ' down': -2.854565, ' Down': -3.856047, 'up': -7.3071666}
{' down': -0.49407154, ' up': -1.8174605, ' Down': -1.9174458, ' Up': -2.5809112, 'down': -6.139137}
{' Up': -0.22577271, ' up': -1.6662596, ' Down': -5.2157288, ' down': -5.444593, ' "': -6.159416}
{' Down': -0.5076433, ' down': -0.9363923, 'down': -6.3229566, ' "': -6.497927, 'Down': -6.6604047}
{' Up': -0.23348592, ' up': -1.7437283, ' Down': -4.0327296, ' down': -4.305673, 'up': -7.2999907}
{' Down': -0.38195214, ' down': -1.1711044, ' Up': -6.0172033, ' "': -6.2704372, 'down': -6.4904838}
{' Up': -0.42163274, ' up': -1.8110486, ' down': -2.3410702, ' Down': -2.5521584, ' "': -5.2807903}
{' down': -0.69643104, ' up': -1.4390897, ' Up': -1.9533432, ' Down': -2.1355865, ' "': -5.8689213}
{' Up': -0.20952788, ' up': -1.8188227, ' Down': -4.26593, ' down': -4.524929, ' "': -7.136537}
{' down': -0.61827666, ' Down': -0.78445053, ' "': -6.537341, 'down': -6.7601695, ' Up': -7.020681}
{' Down': -0.49168935, ' down': -1.3433434, ' Up': -2.2311132, ' up': -4.4513717, ' "': -5.0169616}
{' down': -0.99165654, ' up': -1.1934084, ' Up': -1.618068, ' Down': -2.1077683, ' "': -5.350091}
{' Up': -0.18175288, ' up': -2.397205, ' Down': -2.8657587, ' down': -4.08205, ' "': -7.2705207}
{' Down': -0.63503575, ' down': -1.0426935, ' Up': -2.437736, ' up': -3.9265568, ' "': -4.7269144}
{' Up': -0.17336263, ' up': -2.1491182, ' Down': -3.9219491, ' "': -4.4423137, ' down': -4.7116623}
{' Down': -0.1683293, ' down': -1.9130498, ' "': -5.3582706, 'Down': -6.4049587, 'down': -7.341228}
{' Up': -0.16185085, ' up': -2.2836561, ' Down': -3.5400512, ' down': -4.632333, ' "': -4.951449}
{' Down': -0.15057935, ' down': -2.0128994, ' "': -5.517015, 'Down': -6.5801215, 'down': -7.5638614}
{' Down': -0.5496534, ' Up': -1.3991122, ' down': -1.9360994, ' up': -3.6187947, ' "': -5.745576}
{' Up': -0.2785098, ' up': -1.420323, ' "': -7.236073, ' UP': -7.783272, 'Up': -8.469257}
{' Up': -0.92491233, ' Down': -1.5295761, ' up': -1.5946034, ' down': -1.7150621, ' "': -6.315371}
