{' !': -8.781245e-05, '!': -9.38345, ' @': -12.985971, ' ': -13.820295, '!.': -15.134049}
{' #': -0.0044742357, ' $': -5.4297175, ' ': -10.277333, '#': -10.61142, '#$': -12.078574}
{' @': -0.049403746, ' !': -3.121997, '@': -5.5117393, ' ': -9.4396715, '!': -12.39748}
{' !': -0.07928073, ' @': -2.578035, '@': -8.813359, '!': -8.977096, ' ': -10.859646}
{' #': -0.008440633, ' !': -4.824431, '#': -7.999054, ' ': -10.296125, '  ': -13.676682}
{' #': -0.47712007, ' !': -0.9702612, '#': -7.9490757, '!': -9.615072, ' ': -10.588251}
{' $': -0.045395855, ' !': -3.337176, '$': -4.7507143, ' ': -9.589193, ' $\\': -9.645236}
{' !': -0.18394148, ' $': -1.7976614, '$': -6.19723, '!': -8.429047, ' ': -9.944334}
{' !': -0.013480248, ' @': -4.3288794, '!': -8.763026, '@': -10.191637, ' ': -11.449487}
{' !': -0.13692959, ' @': -2.061141, '@': -7.6716046, '!': -8.928201, ' ': -9.847056}
{' #': -0.046470176, ' @': -3.1054454, '#': -8.002557, '@': -8.5596285, ' ': -9.932881}
{' #': -0.25311062, ' @': -1.5032156, '@': -7.0146494, '#': -8.662383, ' ': -9.34161}
{' $': -0.060675543, ' @': -2.8766143, '$': -6.2789025, '@': -7.829787, ' $\\': -9.3843775}
{' $': -0.47985503, ' @': -0.97464794, '@': -6.0902696, '$': -6.7785892, ' ': -8.745594}
{' !': -0.07116671, ' #': -2.6802633, '!': -9.010149, '#': -10.916343, ' ': -11.979827}
{' #': -0.31898937, ' !': -1.2989678, '#': -8.565329, '!': -9.429661, ' ': -10.486891}
{' @': -0.41918802, ' #': -1.0760198, '@': -6.6784897, ' ': -9.185165, '#': -9.657942}
{' #': -0.05812779, ' @': -2.878873, '#': -9.056275, '@': -9.187203, ' ': -10.175197}
{' $': -0.6838921, ' #': -0.70343864, '$': -8.279494, '#$': -9.990115, '#': -10.038305}
{' #': -0.032610662, ' $': -3.4435737, '#': -9.689915, '#$': -10.88531, ' ': -10.910025}
{' !': -0.0017725561, ' $': -6.565518, '!': -7.976544, ' ': -11.581907, '!.': -12.395598}
{' !': -0.052528188, ' $': -2.9894192, '!': -7.347074, '$': -8.960728, '$.': -10.283448}
{' @': -0.042849045, ' $': -3.2027037, '@': -6.9519143, ' ': -8.751633, '$.': -9.833928}
{' @': -0.28516835, ' $': -1.3994262, '@': -7.330586, '$.': -8.49514, '$': -8.644871}
{' #': -0.027329836, ' $': -3.62251, '#': -9.487566, ' ': -9.586946, '$.': -10.65595}
{' #': -0.20841546, ' $': -1.6732116, '$': -8.979091, '$.': -9.075585, ' ': -9.145689}
{' !': -0.0017538704, ' @': -6.685675, '!': -7.9477296, ' !!': -9.209102, ' ': -10.32745}
{' !': -0.0024638278, ' @': -6.2711306, ' !!': -8.241811, '!': -8.337964, ' ': -10.123606}
{' !': -0.6852193, ' #': -0.7024369, '#': -7.607527, '!': -9.632973, ' ': -9.887772}
{' !': -0.4238278, ' #': -1.0648495, '#': -7.864297, '!': -8.947448, ' ': -9.546483}
{' !': -0.02665184, ' $': -3.6764894, '$': -8.025112, '!': -8.1059265, ' !!': -8.787282}
{' !': -0.01625375, ' $': -4.2015676, ' !!': -7.6263075, '!': -8.226674, '$': -8.717412}
{' @': -0.033775624, ' !': -3.5426385, '@': -5.569901, ' ': -8.397302, '!': -9.945525}
{' @': -0.035040848, ' !': -3.5021596, '@': -5.6677732, ' ': -8.084145, ' @@': -8.380212}
{' @': -0.056474134, ' #': -2.9470932, '@': -6.2227316, ' ': -8.873696, '\n': -9.452745}
{' @': -0.052603576, ' #': -3.025311, '@': -6.1927457, ' ': -8.628209, ' @@': -8.780056}
{' @': -0.010556632, ' $': -4.971008, '@': -5.8279524, ' @@': -8.232992, ' ': -8.917748}
{' @': -0.010526094, ' $': -5.0572906, '@': -5.9020224, ' @@': -7.060567, ' ': -8.668779}
{' #': -0.0055444287, ' !': -5.235334, '#': -8.712102, ' ': -10.675546, '!': -12.616604}
{' #': -0.004186173, ' !': -5.5434103, '#': -8.48969, ' ': -10.215794, '\n': -12.335675}
{' #': -0.0011576689, ' @': -6.915794, '#': -9.105784, ' ': -10.627625, ' ##': -11.561615}
{' #': -0.0010501399, ' @': -7.0384455, '#': -9.213684, ' ': -10.213233, '\n': -11.241517}
{' #': -0.0009972168, ' $': -7.0601897, '#': -9.635362, ' ': -10.660024, '\n': -11.250328}
{' #': -0.0011397669, ' $': -6.950492, '#': -9.405566, ' ': -10.286426, ' ##': -10.859718}
{' $': -0.5405283, ' !': -0.8819208, ' ': -6.8265553, '!': -7.094438, '$': -7.3775835}
{' $': -0.2738104, ' !': -1.4507704, '$': -6.6169987, ' ': -6.7930923, '$.': -7.0528417}
{' $': -0.08326462, ' @': -2.62646, '$.': -5.864646, ' $$': -5.9538903, ' ': -7.041404}
{' $': -0.12108025, ' @': -2.273546, ' $$': -5.139496, '$.': -6.0304484, ' ': -6.8919635}
{' $': -0.18907632, ' #': -1.775485, '$.': -6.724386, ' ': -7.302717, '$': -7.9109435}
{' $': -0.12553042, ' #': -2.1627142, '$.': -6.748521, ' ': -7.2922373, ' $$': -7.8091917}
{' !': -0.004296969, ' @': -5.6010184, '!': -7.7842646, ' !!': -9.43564, ' ': -9.688302}
{' !': -0.0033616507, ' @': -5.8801236, '!': -8.2175665, ' !!': -8.566951, ' ': -9.601997}
{' #': -0.45105425, ' !': -1.0155283, '#': -7.633009, ' ': -8.49616, '!': -9.63999}
{' #': -0.6644839, ' !': -0.72458065, '#': -7.484144, ' ': -9.08247, '!': -9.097424}
{' !': -0.04110644, ' $': -3.2419271, '$': -7.634631, '!': -8.04437, ' ': -8.705243}
{' !': -0.020570751, ' $': -3.9575386, ' !!': -7.7798853, '!': -8.022964, '$': -8.461208}
{' @': -0.024616523, ' !': -3.9316216, '@': -5.476671, ' ': -8.09917, '\n': -9.750994}
{' @': -0.015800955, ' !': -4.4843807, '@': -5.599312, ' ': -8.055164, ' @@': -8.807631}
{' @': -0.057024665, ' #': -2.9314597, '@': -6.402291, ' ': -8.64204, '\n': -9.60922}
{' @': -0.033067867, ' #': -3.503809, '@': -6.3311634, ' ': -8.313618, ' @@': -8.807426}
{' @': -0.009815925, ' $': -5.065964, '@': -5.8922486, ' @@': -8.145587, ' ': -8.623694}
{' @': -0.008944478, ' $': -5.2305365, '@': -6.0263643, ' @@': -7.3244867, ' ': -8.584102}
{' #': -0.0029573229, ' !': -5.914347, '#': -8.616232, ' ': -10.017169, ' No': -12.141222}
{' #': -0.002147132, ' !': -6.285999, '#': -8.52373, ' ': -9.825795, '\n': -11.739819}
{' #': -0.0013273364, ' @': -6.7746925, '#': -9.052774, ' ': -10.309105, '\n': -11.436331}
{' #': -0.0021888886, ' @': -6.210389, '#': -9.26954, ' ': -9.993329, '\n': -11.136184}
{' #': -0.00070031313, ' $': -7.464935, '#': -9.9360695, ' ': -10.388529, '\n': -10.972067}
{' #': -0.001074188, ' $': -7.0182037, '#': -9.724751, ' ': -9.949351, ' ##': -10.721498}
{' $': -0.5210927, ' !': -0.9079737, '$.': -7.1067233, ' ': -7.155291, '$': -7.7592115}
{' $': -0.18798131, ' !': -1.7958227, '$.': -6.370618, ' ': -6.516558, '$': -7.1777067}
{' $': -0.108625665, ' @': -2.3424895, '$.': -5.4841537, ' $$': -6.5755486, ' ': -7.5052423}
{' $': -0.05362783, ' @': -3.153794, ' $$': -5.513373, '$.': -5.7171288, ' ': -6.771727}
{' $': -0.15223059, ' #': -1.9815055, '$.': -6.35237, ' ': -7.3696074, '$': -8.18393}
{' $': -0.12037207, ' #': -2.2108586, '$.': -6.3087754, ' ': -7.0583606, ' $$': -7.7827597}
{' @': -0.0047275894, '@': -5.436179, ' !': -8.695243, ' @@': -9.493109, ' ': -9.576787}
{' @': -0.0796263, ' !': -2.6211188, '@': -5.706163, ' ': -8.382129, ' @@': -9.092511}
{' #': -0.00074427295, ' !': -7.8013024, '#': -8.147601, ' ': -10.473798, '\n': -11.761615}
{' #': -0.0048710317, ' !': -5.446803, '#': -7.704318, ' ': -9.708836, '\n': -11.137719}
{' $': -0.008317657, '$': -4.917743, ' !': -7.5660453, ' ': -8.911208, '$.': -9.169404}
{' $': -0.016823983, ' !': -4.7767572, '$': -4.888028, ' ': -8.089996, ' $$': -8.549702}
{' !': -0.0104612205, ' @': -4.8207197, '!': -6.15892, ' ': -9.152261, ' !!': -9.994447}
{' !': -0.04711107, ' @': -3.1218276, '!': -6.5044284, '@': -8.555618, ' ': -9.006175}
{' #': -0.0068469113, ' @': -5.0201125, '#': -9.037692, ' ': -10.039036, '\n': -10.25701}
{' #': -0.036495723, ' @': -3.3430524, '#': -8.253496, '\n': -9.408012, ' ': -9.431122}
{' $': -0.02843593, ' @': -3.6887007, '$': -6.0666857, ' $$': -8.696296, ' ': -8.854591}
{' $': -0.293206, ' @': -1.3878143, '$': -6.1505165, '@': -6.886292, ' $$': -7.5722995}
{' !': -0.21783367, ' #': -1.6350069, '!': -7.4326577, '#': -9.273756, ' ': -9.573692}
{' #': -0.31520444, ' !': -1.3111838, '#': -7.8899684, '!': -8.097655, ' ': -9.006782}
{' @': -0.012538297, ' #': -4.5733747, '@': -6.270833, ' ': -9.319881, ' @@': -9.641196}
{' @': -0.40941158, ' #': -1.0957747, '@': -6.673232, ' ': -8.979649, '#': -9.497994}
{' $': -0.06508871, ' #': -2.7880976, '$': -6.847805, ' $(': -8.809168, ' ': -9.323599}
{' #': -0.3238621, ' $': -1.2881508, '$': -7.999635, ' ': -9.092316, ' $$': -9.148873}
{' !': -0.02580322, ' $': -3.719538, '!': -7.1641145, ' ': -8.547868, ' !!': -9.12747}
{' !': -0.07811941, ' $': -2.6069338, '!': -7.4349995, ' ': -7.894382, '$': -8.774275}
{' @': -0.004167796, ' $': -6.0433054, '@': -6.520841, ' @@': -8.709241, ' ': -9.542606}
{' @': -0.015899178, ' $': -4.265161, '@': -6.854867, ' @@': -8.144404, ' ': -8.571399}
{' #': -0.001962691, ' $': -6.315765, '#': -9.601528, ' ': -9.920952, '\n': -11.132939}
{' #': -0.0068235653, ' $': -5.025073, ' ': -9.290597, '#': -9.78164, '\n': -10.369728}
{' @': -0.0077283005, '@': -4.908155, ' ': -9.300808, ' !': -9.472538, ' @@': -9.561838}
{' @': -0.06639829, ' !': -2.8209608, '@': -5.511089, ' ': -8.57816, ' @@': -8.593945}
{' #': -0.0015688464, ' !': -6.872239, '#': -7.6285653, ' ': -10.73749, '\n': -11.641329}
{' #': -0.006616, ' !': -5.127366, '#': -7.479605, ' ': -9.821368, '\n': -11.344605}
{' $': -0.010831894, '$': -4.622551, ' !': -7.9471064, '$.': -8.649338, ' ': -8.825871}
{' $': -0.021548312, ' !': -4.402728, '$': -4.856681, ' $$': -7.680965, ' ': -7.702562}
{' !': -0.0075138262, ' @': -5.143723, '!': -6.494114, ' ': -9.861992, ' !!': -10.258549}
{' !': -0.01386842, ' @': -4.58292, '!': -5.8132567, ' ': -8.8185005, '@': -9.555089}
{' #': -0.0055147605, ' @': -5.2540708, '#': -8.503956, ' ': -10.628731, '\n': -10.64949}
{' #': -0.0134553, ' @': -4.361279, '#': -7.8273816, '\n': -9.550574, ' ': -9.929353}
{' $': -0.008969075, ' @': -5.1722608, '$': -5.906857, ' ': -9.041778, ' $$': -9.403286}
{' $': -0.11794139, ' @': -2.2349267, '$': -6.076624, '@': -7.5982265, ' $$': -7.6692}
{' !': -0.44269034, ' #': -1.0299267, '!': -7.8228188, '#': -8.681374, ' ': -9.913055}
{' #': -0.10767081, ' !': -2.287015, '#': -7.9710546, '!': -9.478362, ' ': -9.966147}
{' @': -0.07132596, ' #': -2.7125, '@': -6.1252522, ' ': -9.467038, ' @@': -9.560784}
{' @': -0.68053025, ' #': -0.70876104, '@': -6.9023585, '#': -9.197402, ' ': -9.29441}
{' $': -0.22723344, ' #': -1.6004137, '$': -6.902999, ' $(': -8.972277, ' $$': -9.385012}
{' #': -0.13692077, ' $': -2.061201, '$': -8.327701, ' ': -9.322644, '#': -9.448488}
{' !': -0.0035584902, ' $': -6.2546477, '!': -6.5944133, ' ': -8.7916155, ' !!': -10.250758}
{' !': -0.012055619, ' $': -4.619315, '!': -6.555196, ' ': -8.2772665, ' !!': -9.136353}
{' @': -0.0058532692, ' $': -5.824641, '@': -6.00253, ' @@': -9.084576, ' ': -9.101708}
{' @': -0.013965366, ' $': -4.5145545, '@': -6.1012354, ' @@': -8.672604, ' ': -8.699983}
{' #': -0.00080141716, ' $': -7.4064407, '#': -9.281058, ' ': -9.973572, '\n': -10.440841}
{' #': -0.0053414465, ' $': -5.286364, '#': -9.185117, ' ': -9.536327, '\n': -10.183733}
{' !': -0.0032594465, ' @': -5.7976923, '!': -8.501946, ' ': -11.566903, '@': -12.443018}
{' !': -0.006469372, ' @': -5.070562, '!': -8.914527, ' ': -10.942283, '@': -11.689328}
{' !': -0.55792373, ' #': -0.85000175, '#': -8.907552, '!': -10.145902, ' ': -11.395737}
{' !': -0.4371462, ' #': -1.0389585, '#': -8.571948, '!': -9.509717, ' ': -10.77172}
{' !': -0.07596514, ' $': -2.6206238, '$': -8.236953, '!': -9.191117, ' ': -11.136592}
{' !': -0.067811966, ' $': -2.7313535, '$': -8.254062, '!': -9.100206, ' ': -10.441792}
{' !': -0.09760529, ' @': -2.380013, '!': -8.250422, '@': -8.868782, ' ': -10.265533}
{' !': -0.26546448, ' @': -1.4579922, '@': -8.179603, '!': -9.185413, ' ': -9.890161}
{' @': -0.42389527, ' #': -1.0645738, '@': -7.709973, ' ': -9.55261, ' @@': -10.091595}
{' @': -0.5271492, ' #': -0.89379513, '@': -7.8601317, ' ': -9.473738, ' @@': -9.753405}
{' @': -0.13881055, ' $': -2.0573478, ' $$': -7.1999903, '@': -7.3800097, ' @@': -8.675366}
{' @': -0.3422432, ' $': -1.2503531, ' $$': -6.2809906, '@': -7.3534374, '$': -7.8880157}
{' #': -0.18588881, ' !': -1.7752671, '#': -8.816295, '!': -10.262109, ' ': -11.923791}
{' #': -0.10594773, ' !': -2.299511, '#': -8.6074295, '!': -10.856309, ' ': -11.502439}
{' #': -0.013379062, ' @': -4.332011, '#': -9.204994, ' ': -10.515728, '\n': -12.145939}
{' #': -0.008624044, ' @': -4.778014, '#': -9.166222, ' ': -10.063217, '\n': -11.842134}
{' #': -0.023825303, ' $': -3.7562773, '#': -9.769205, ' $$': -10.044016, ' ': -10.614436}
{' #': -0.03227486, ' $': -3.4586358, ' $$': -9.21685, '#': -9.336315, ' ': -10.653745}
{' !': -0.15381745, ' $': -1.954675, '!': -7.2585635, '$': -9.06128, ' ': -9.823136}
{' !': -0.3526524, ' $': -1.2175168, '!': -7.6285176, '$': -8.005521, ' 3': -8.569048}
{' $': -0.1952915, ' @': -1.7430668, ' $$': -6.246353, ' ': -8.488281, '$': -9.442148}
{' $': -0.16797008, ' @': -1.8840705, ' $$': -6.3393145, '$': -8.029799, ' ': -8.4462805}
{' #': -0.34542936, ' $': -1.2333422, ' $$': -7.9157753, ' ': -8.890674, '$': -9.175208}
{' #': -0.4564215, ' $': -1.0062852, ' $$': -7.7238464, ' ': -8.754499, '$': -9.015254}
{' !': -0.06578444, ' @': -2.758707, '!': -8.804127, '@': -9.392481, ' ': -10.333724}
{' !': -0.01707642, ' @': -4.095884, '!': -8.575993, ' ': -10.338194, ' 3': -10.350897}
{' #': -0.43154377, ' !': -1.0492061, '#': -8.44285, '!': -10.2583065, ' ': -10.787477}
{' #': -0.4233378, ' !': -1.0650328, '#': -8.112625, '!': -9.6856985, ' ': -10.214196}
{' !': -0.30064222, ' $': -1.3524706, '$': -7.025451, '!': -9.2006855, ' ': -10.56388}
{' !': -0.14676523, ' $': -1.9968629, '$': -7.6067567, '!': -8.953844, ' ': -9.908962}
{' !': -0.08271763, ' @': -2.5388637, '!': -8.353782, '@': -8.894015, ' ': -9.997649}
{' !': -0.33501983, ' @': -1.2583692, '@': -7.924001, '!': -9.164161, ' ': -9.61439}
{' #': -0.6837863, ' @': -0.7037639, '@': -8.055515, ' ': -9.376791, ' @@': -9.704184}
{' @': -0.504256, ' #': -0.9280993, '@': -7.9118752, ' ': -9.021086, ' @@': -9.151758}
{' @': -0.24902406, ' $': -1.5247331, '@': -6.462382, ' $$': -7.6452904, '$': -7.7611127}
{' @': -0.23214343, ' $': -1.5870494, '@': -6.7950215, ' $$': -7.1328216, '$': -7.861115}
{' #': -0.18754466, ' !': -1.7675828, '#': -8.584573, '!': -9.90599, ' ': -11.000583}
{' #': -0.05652213, ' !': -2.9054294, '#': -8.589586, ' ': -10.954949, '!': -11.205794}
{' #': -0.010108989, ' @': -4.614641, '#': -9.21622, ' ': -10.425832, ' ##': -12.2502575}
{' #': -0.0064416556, ' @': -5.0707417, '#': -9.535412, ' ': -10.141409, ' ##': -11.9274}
{' #': -0.04983263, ' $': -3.0287316, '#': -9.38145, ' $$': -9.9719515, ' ': -10.36977}
{' #': -0.039507575, ' $': -3.2576396, '#': -9.524778, ' $$': -9.602324, ' ': -10.089254}
{' !': -0.14609604, ' $': -2.0029953, '!': -7.616541, ' 3': -8.326488, '$': -8.884666}
{' !': -0.19243653, ' $': -1.7507232, '!': -7.35898, ' 3': -8.339426, '$': -8.381014}
{' $': -0.31891212, ' @': -1.3042331, ' $$': -6.895343, '$': -8.442841, ' ': -8.884164}
{' $': -0.23842578, ' @': -1.5658889, ' $$': -6.1516986, '$': -7.9516106, ' ': -8.201739}
{' #': -0.17458962, ' $': -1.8344103, ' $$': -8.3987665, '$': -9.626334, ' ': -9.7191}
{' #': -0.23226584, ' $': -1.5784477, ' $$': -7.5565333, ' ': -9.114178, '$': -9.213161}
{' @': -0.0021931296, '@': -6.4921713, ' !': -7.3752337, ' ': -10.400662, ' @@': -11.628714}
{' @': -0.044124383, ' !': -3.1799047, '@': -6.581184, ' ': -9.510708, ' 3': -9.762479}
{' #': -0.00030440054, '#': -8.727794, ' !': -8.93558, ' ': -11.824676, '\n': -13.573912}
{' #': -0.0009750853, ' !': -7.2493024, '#': -8.322457, ' ': -11.54065, ' 3': -11.982085}
{' $': -0.0042945766, '$': -5.521104, ' !': -8.626666, ' $\\': -10.379314, ' $$': -10.742848}
{' $': -0.0151580665, '$': -4.3332787, ' !': -6.507293, ' $$': -8.4902725, ' ': -9.841334}
{' !': -0.0012216971, '!': -7.3453355, ' @': -7.5154157, ' ': -10.816467, '\n': -12.912457}
{' !': -0.0022775987, ' @': -6.3293567, '!': -7.6902733, ' ': -10.844425, '@': -12.104696}
{' #': -0.005268638, ' @': -5.2988744, '#': -8.468311, ' ': -10.7542095, '\n': -11.517727}
{' #': -0.003714805, ' @': -5.658021, '#': -8.701932, ' ': -10.610515, '\n': -11.271913}
{' $': -0.008224021, '$': -5.3656516, ' @': -5.7899394, ' $$': -8.180462, ' $(': -9.627975}
{' $': -0.020838376, ' @': -4.188679, '$': -5.454779, ' $$': -7.001463, ' $(': -9.700524}
{' !': -0.044398822, ' #': -3.1460562, '!': -7.924386, '#': -10.786521, ' 3': -11.473464}
{' !': -0.5422597, ' #': -0.8722863, '!': -8.3078, '#': -8.620017, ' 3': -9.383442}
{' @': -0.05392156, ' #': -2.957791, '@': -7.6844335, ' ': -9.936757, ' @@': -10.987183}
{' #': -0.54955214, ' @': -0.8617393, '@': -8.836747, '#': -9.427844, ' ': -9.567533}
{' $': -0.028087918, ' #': -3.6160243, '$': -7.4422984, ' $(': -9.503628, ' $$': -9.614736}
{' $': -0.30472872, ' #': -1.3410714, '$': -7.520244, ' $$': -8.108512, ' $(': -9.292077}
{' !': -0.011930989, ' $': -4.6111584, '!': -6.359324, ' 3': -9.213076, ' ': -10.225754}
{' !': -0.1240124, ' $': -2.1724858, ' 3': -6.661155, '!': -7.051994, '$': -8.136837}
{' @': -0.03534881, ' $': -3.379379, '@': -8.111596, ' $$': -8.869445, ' @@': -9.29057}
{' @': -0.13048977, ' $': -2.1085763, ' $$': -7.958984, '@': -8.615852, ' ': -9.126651}
{' #': -0.002586328, ' $': -6.002266, '#': -9.708278, ' ': -10.920134, ' $$': -11.3868475}
{' #': -0.0073495936, ' $': -4.938626, '#': -10.007597, ' $$': -10.098377, ' ': -10.507725}
{' @': -0.0020933736, '@': -6.3246007, ' !': -8.301933, ' ': -10.284203, ' @@': -11.626988}
{' @': -0.044222005, ' !': -3.1756363, '@': -6.609688, ' ': -9.573648, ' @@': -10.756397}
{' #': -0.0004878777, '#': -8.068698, ' !': -8.719797, ' ': -11.901571, '\n': -13.221682}
{' #': -0.0016506958, ' !': -6.602259, '#': -8.211972, ' ': -11.481289, ' 3': -12.110092}
{' $': -0.003584512, '$': -5.7205796, ' !': -8.646246, ' $\\': -10.252321, ' $$': -10.291591}
{' $': -0.0077436785, '$': -5.5009093, ' !': -5.7025046, ' $$': -8.77042, ' ': -9.757241}
{' !': -0.0005299781, '!': -7.9026656, ' @': -8.818244, ' ': -11.755932, ' !!': -13.6213665}
{' !': -0.0020151935, ' @': -6.418975, '!': -7.9432034, ' ': -11.0532465, '\n': -12.436004}
{' #': -0.0026555327, ' @': -6.0090547, '#': -8.695271, ' ': -11.238448, '\n': -11.88293}
{' #': -0.0048279674, ' @': -5.392054, '#': -8.418928, ' ': -10.891205, '\n': -11.345478}
{' $': -0.0033136264, '$': -6.25099, ' @': -6.87599, ' $$': -8.381948, ' $(': -10.203227}
{' $': -0.018515807, ' @': -4.309205, '$': -5.542615, ' $$': -7.208167, ' $(': -9.819168}
{' !': -0.08574976, ' #': -2.5023775, '!': -8.335862, '#': -10.423242, ' 3': -11.7555275}
{' #': -0.6393949, ' !': -0.75059897, '#': -8.778884, '!': -9.151108, ' 3': -10.730634}
{' @': -0.12879623, ' #': -2.116839, '@': -7.967619, ' ': -10.121885, '#': -11.113487}
{' #': -0.50498176, ' @': -0.92589736, '@': -8.972791, '#': -9.5093565, ' ': -9.800291}
{' $': -0.09672719, ' #': -2.3943498, '$': -7.261228, ' $$': -9.252991, ' $(': -9.648896}
{' $': -0.6634977, ' #': -0.72555333, '$': -7.8360667, ' $$': -8.228262, ' $(': -9.806687}
{' !': -0.007048456, ' $': -5.1415696, '!': -6.8317757, ' 3': -9.984945, ' ': -10.777269}
{' !': -0.0387445, ' $': -3.3108752, '!': -6.9157753, ' 3': -8.265324, ' ': -9.145305}
{' @': -0.042789876, ' $': -3.190474, ' $$': -8.262463, '@': -8.394943, ' @@': -9.359244}
{' @': -0.10137552, ' $': -2.3485887, ' $$': -7.7633324, '@': -8.688985, ' ': -9.304388}
{' #': -0.0032459912, ' $': -5.76929, '#': -9.777442, ' $$': -10.824365, ' ': -10.99759}
{' #': -0.01931196, ' $': -3.9699192, ' $$': -9.487717, '#': -9.547502, ' ': -10.291215}
{' !': -2.7490969e-05, '!': -10.598274, ' ': -12.99615, '  ': -16.172626, ' !!': -16.381268}
{' !': -2.5703772e-05, '!': -10.658228, ' ': -13.163898, ' !!': -16.34359, '  ': -16.560026}
{' !': -3.058758e-05, '!': -10.43413, ' ': -13.7637, ' !!': -16.400696, '  ': -16.979525}
{' !': -3.3928238e-05, '!': -10.330566, ' ': -13.694796, ' !!': -16.22149, '  ': -17.114817}
{' !': -2.2365928e-05, '!': -10.807136, ' ': -13.291148, ' $': -15.99617, '  ': -16.145594}
{' !': -2.3435998e-05, '!': -10.800217, ' ': -12.973729, ' $': -14.697492, '  ': -16.1679}
{' @': -0.00088123814, '@': -7.1508904, ' ': -9.474915, ' "@': -11.896044, '\n': -12.514238}
{' @': -0.00084908464, '@': -7.2166686, ' ': -9.32169, ' "@': -11.8502035, '\n': -12.153593}
{' @': -0.0008551662, '@': -7.163889, ' ': -10.034084, ' #': -10.689355, ' @@': -12.454634}
{' @': -0.00084622175, '@': -7.1882205, ' ': -10.043213, ' #': -10.589017, ' @@': -11.617775}
{' @': -0.0007399787, '@': -7.341055, ' ': -9.801687, '\n': -11.392772, ' @@': -11.670115}
{' @': -0.0009996048, '@': -7.0662885, ' ': -9.627695, ' $': -10.436377, ' @@': -10.794795}
{' #': -2.8326363e-05, '#': -10.88194, ' ': -11.988007, ' !': -13.582834, ' "#': -14.093476}
{' #': -2.28437e-05, '#': -11.029451, ' ': -12.4594145, ' "#': -14.014996, ' !': -14.159639}
{' #': -1.7356348e-05, '#': -11.377005, ' ': -12.672801, ' @': -13.842585, '\n': -14.280095}
{' #': -1.6165199e-05, '#': -11.650528, ' ': -12.39361, ' @': -13.6267395, '\n': -14.021098}
{' #': -1.1039229e-05, '#': -12.097285, ' ': -12.759172, '\n': -13.788051, ' "#': -14.53857}
{' #': -1.1514188e-05, '#': -12.160482, ' ': -12.788721, '\n': -13.626908, ' $': -14.001775}
{' $': -0.0006462159, '$': -8.25546, ' $\\': -8.351439, ' ': -9.791526, '$.': -9.915603}
{' $': -0.0008347073, '$': -7.6198735, ' $\\': -8.517638, ' ': -9.730895, '$.': -10.196873}
{' $': -0.00039389907, ' $\\': -8.516356, '$': -9.587972, ' ': -9.894615, '$.': -10.36746}
{' $': -0.0004690925, ' $\\': -8.393558, '$': -9.069876, ' ': -9.961125, '$.': -10.468606}
{' $': -0.00034452695, ' $\\': -8.91212, '$': -8.986655, ' ': -10.438894, ' $$': -10.777411}
{' $': -0.00043259587, '$': -8.682347, ' $\\': -8.737021, ' ': -10.201236, ' $$': -10.436668}
{' !': -3.7028603e-05, '!': -10.299925, ' ': -12.7468, '  ': -15.79425, ' @': -15.812419}
{' !': -3.643162e-05, '!': -10.320543, ' ': -12.802383, ' @': -14.558081, ' !!': -15.974}
{' !': -3.7028603e-05, '!': -10.285581, ' ': -13.285122, ' #': -13.85414, ' !!': -16.21411}
{' !': -4.3586017e-05, '!': -10.118281, ' ': -13.203748, ' #': -13.643769, ' !!': -15.89826}
{' !': -2.7611111e-05, '!': -10.598223, ' ': -13.10359, ' $': -14.864455, '  ': -15.872233}
{' !': -2.7728449e-05, '!': -10.711025, ' $': -12.539524, ' ': -13.342429, ' !!': -16.695185}
{' @': -0.0009861783, '@': -7.0379834, ' ': -9.471089, ' !': -11.228198, ' "@': -12.563613}
{' @': -0.0011525372, '@': -6.8854694, ' ': -9.330963, ' !': -11.000761, '\n': -11.93067}
{' @': -0.0013558639, '@': -6.9817233, ' #': -7.919832, ' ': -9.935027, '\n': -12.3231125}
{' @': -0.0017549442, '@': -6.8385468, ' #': -7.4014945, ' ': -9.905324, ' @@': -11.725434}
{' @': -0.0012913458, '@': -6.7659893, ' ': -9.546317, ' $': -10.527063, '\n': -11.023493}
{' @': -0.0013876775, '@': -6.7639585, ' $': -9.125559, ' ': -9.686515, ' @@': -10.583605}
{' #': -5.061746e-05, '#': -10.348954, ' ': -11.371052, ' !': -12.334553, '  ': -14.155218}
{' #': -3.7148744e-05, '#': -10.623534, ' ': -11.746938, ' !': -12.887974, '\n': -14.2689495}
{' #': -2.6298881e-05, '#': -10.95637, ' ': -12.222905, ' @': -13.061347, '\n': -14.4022255}
{' #': -3.2855354e-05, '#': -11.001871, ' @': -11.756992, ' ': -12.02698, '\n': -14.01503}
{' #': -2.4032974e-05, '#': -11.16377, ' ': -12.333573, ' $': -12.997923, '\n': -13.540416}
{' #': -4.048565e-05, ' $': -10.998888, '#': -11.319153, ' ': -11.979233, '\n': -13.060995}
{' $': -0.0006026193, '$': -8.596721, ' $\\': -8.684129, '$.': -8.826907, ' ': -9.637034}
{' $': -0.00073234556, '$': -8.112514, ' $\\': -8.751527, ' !': -9.240512, '$.': -9.473456}
{' $': -0.00050791225, ' $\\': -8.400198, '$.': -8.972565, ' ': -9.688277, '$': -9.772245}
{' $': -0.0005219864, ' $\\': -8.339679, '$': -9.205489, ' ': -9.607002, '$.': -9.673729}
