{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{' No': -0.716979, ' ': -5.9777937, ' A': -6.6855135, ' Yes': -0.68925184, ' yes': -6.2731752}
{' No': -3.0169988, '\n': -5.6039815, ' Generally': -5.8235574, ' Yes': -0.067684725, ' yes': -5.6612315}
{' No': -0.087084286, '\n': -5.763678, ' ': -6.4207125, 'No': -2.5898252, ' Yes': -6.5463023}
{' No': -2.4499118, '\n': -4.6014314, ' Yes': -0.18011741, 'Yes': -4.2774363, ' It': -3.6087062}
{' No': -0.20259687, '\n': -2.8382683, ' ': -5.3106155, 'No': -2.1423743, ' A': -7.007683}
{' No': -1.2055279, '\n': -1.4732739, 'No': -3.028869, ' Yes': -0.9987293, 'Yes': -3.9798179}
{' No': -0.16387694, '\n': -6.16592, ' ': -6.3734107, 'No': -3.8881826, ' Yes': -2.09571}
{' No': -2.6393878, '\n': -5.4688993, ' Generally': -3.7291286, ' Yes': -0.122811295, 'Yes': -5.112387}
{' No': -0.32248417, '\n': -2.8362572, ' ': -5.1643744, 'No': -1.5648223, ' no': -7.068839}
{' No': -0.5559153, '\n': -2.557752, 'No': -2.0943656, ' Yes': -1.6624044, 'Yes': -4.142444}
{' No': -2.70759, '\n': -5.027893, ' Yes': -0.14804843, ' yes': -3.3432217, 'Yes': -4.1521454}
{' No': -5.5441957, ' Generally': -4.743798, ' Yes': -0.04192795, ' yes': -4.599341, 'Yes': -4.4638295}
{' No': -1.3087533, '\n': -4.2876234, ' ': -5.3841124, ' A': -5.9786787, ' Yes': -0.35468215}
{' No': -3.7724507, '\n': -3.2062237, ' ': -4.887466, ' Generally': -3.872884, ' Yes': -0.10669291}
{' No': -0.21544744, '\n': -2.4761744, ' ': -4.2427187, 'No': -2.923436, ' Yes': -3.328187}
{' No': -3.1379447, '\n': -1.7663535, ' ': -3.9005961, ' Generally': -3.8750687, ' Yes': -0.34153733}
{' No': -0.15224592, '\n': -2.6597378, ' ': -4.2211657, 'No': -2.962289, ' A': -6.2199807}
{' No': -2.535215, '\n': -1.7377849, ' ': -3.567428, ' Generally': -3.8214982, ' Yes': -0.42823756}
{' No': -0.08041787, '\n': -4.1565933, ' ': -4.4862156, 'No': -4.2763767, ' Yes': -3.3988116}
{' No': -4.4403567, '\n': -2.9224238, ' ': -4.231748, ' Generally': -4.6335998, ' Yes': -0.10349444}
{' No': -0.06458737, '\n': -4.270394, ' ': -5.3465295, 'No': -3.1700902, ' A': -6.792399}
{' No': -0.19068497, '\n': -3.3291984, ' Cats': -4.28338, 'No': -3.6415782, ' Yes': -2.5653112}
{' No': -1.4449149, '\n': -3.6562126, ' ': -4.1700563, 'No': -4.650134, ' Yes': -0.37464634}
{' No': -4.035334, '\n': -4.240248, ' Generally': -4.162348, ' Yes': -0.07839258, 'Yes': -4.6241975}
{' No': -0.02715864, ' Generally': -4.588417, 'No': -4.15756, ' A': -8.591349, ' Yes': -8.642299}
{' No': -0.16747129, ' Generally': -2.0702078, ' Typically': -6.5476646, ' Cats': -7.0266094, 'No': -3.8522587}
{' No': -0.0902604, ' ': -7.693785, ' Generally': -6.1512012, 'No': -2.4908323, ' A': -7.8359857}
{' No': -0.06859762, ' ': -7.4726915, ' Generally': -5.7907877, ' Cats': -7.4829397, 'No': -2.7866225}
{' No': -0.100375146, '\n': -6.726804, ' ': -6.846097, ' Generally': -7.276656, 'No': -2.3898401}
{' No': -0.08656251, ' ': -6.164426, ' Generally': -5.8601804, ' Cats': -5.6410375, 'No': -2.63787}
{' No': -0.032261133, ' ': -8.744049, ' Generally': -5.3853855, 'No': -3.652956, ' A': -7.488453}
{' No': -0.046183746, ' ': -8.619145, ' Generally': -4.559182, ' Cats': -6.3661447, 'No': -3.4421704}
{' No': -0.11459314, '\n': -5.476066, ' ': -5.9881773, ' Generally': -6.096033, 'No': -2.3298182}
{' No': -0.105036125, '\n': -5.3738313, ' ': -5.5241084, ' Cats': -5.5016913, 'No': -2.5057375}
{' No': -0.09423384, ' Generally': -4.3351054, 'No': -2.6731312, ' A': -5.876791, ' Yes': -6.664805}
{' No': -0.13680363, ' ': -6.2963815, ' Generally': -5.000092, ' Cats': -5.327052, 'No': -2.1882296}
{' No': -0.0051349686, '\n': -8.180489, ' ': -7.202294, 'No': -5.526602, ' A': -10.014785}
{' No': -0.006284136, '\n': -7.416856, ' ': -7.3188596, ' Generally': -7.9364233, 'No': -5.3964896}
{' No': -0.08198557, '\n': -5.8304877, ' ': -6.156709, 'No': -2.6184673, ' A': -7.710341}
{' No': -0.0500733, '\n': -6.990661, ' ': -6.4090514, ' Cats': -7.5081415, 'No': -3.096397}
{' No': -0.11703526, '\n': -3.6703246, ' ': -5.2148933, 'No': -2.54575, ' A': -7.427441}
{' No': -0.17267972, '\n': -2.9196546, ' ': -4.647487, ' Cats': -6.680422, 'No': -2.3794649}
{' No': -0.008473931, '\n': -9.338428, ' ': -7.0076175, 'No': -4.908918, ' A': -10.585328}
{' No': -0.01059368, '\n': -10.148799, ' ': -8.210091, ' Cats': -9.469399, 'No': -4.5950603}
{' No': -0.23623122, '\n': -4.1981697, ' ': -4.769828, 'No': -1.6862624, ' no': -7.6666245}
{' No': -0.2258235, '\n': -4.475074, ' ': -4.7831306, ' Cats': -6.897328, 'No': -1.7129623}
{' No': -0.04578183, '\n': -6.6655746, ' ': -5.63148, 'No': -3.2722812, ' A': -6.8705864}
{' No': -0.06370038, '\n': -6.4422593, ' ': -5.613912, ' Cats': -7.003882, 'No': -2.916041}
{' No': -0.106722884, ' ': -6.5635624, 'No': -2.3488703, ' A': -6.220126, ' no': -6.991282}
{' No': -0.12530103, '\n': -6.316747, ' Generally': -6.48751, ' Cats': -6.0425086, 'No': -2.2230337}
{' No': -0.121976644, ' ': -7.6449428, ' Generally': -10.034762, 'No': -2.170303, ' no': -9.942418}
{' No': -0.16941269, ' ': -8.01832, ' Generally': -6.101047, ' Cats': -7.889072, 'No': -1.8811474}
{' No': -0.19692084, '\n': -8.055346, ' ': -7.0706463, ' Generally': -8.043786, 'No': -1.7323803}
{' No': -0.18829928, ' ': -6.9177494, ' Generally': -6.3007417, ' Cats': -6.6586995, 'No': -1.7949392}
{' No': -0.045224845, ' ': -8.022043, ' Generally': -9.083304, 'No': -3.1353507, ' A': -9.096645}
{' No': -0.040287655, ' ': -8.275144, ' Generally': -8.090578, ' Cats': -7.6782165, 'No': -3.2635887}
{' No': -0.570945, '\n': -6.4064474, ' ': -6.893256, ' Generally': -6.737153, 'No': -0.84579974}
{' No': -0.51586723, ' ': -6.7491755, ' Generally': -5.1844463, ' Cats': -5.0309258, 'No': -0.94956017}
{' No': -0.10920786, ' ': -7.5309534, ' Generally': -7.167321, 'No': -2.291087, ' A': -8.061138}
{' No': -0.24792193, ' Generally': -3.6641586, ' Cats': -4.0941625, 'No': -1.7956076, ' Yes': -5.7335734}
{' No': -0.023523135, '\n': -6.905394, ' ': -5.138019, 'No': -4.39282, ' no': -5.6175866}
{' No': -0.01860986, '\n': -7.0550876, ' ': -5.5147095, 'No': -4.4499664, ' no': -6.47354}
{' No': -0.09286273, '\n': -5.899244, ' ': -5.8265524, 'No': -2.4994292, ' no': -7.6728206}
{' No': -0.09281806, '\n': -5.243508, ' ': -5.759522, 'No': -2.5382278, ' no': -7.867386}
{' No': -0.21720877, '\n': -3.6434305, ' ': -5.028352, 'No': -1.8289528, ' no': -7.3616447}
{' No': -0.24436146, '\n': -2.749168, ' ': -4.5799465, ' Cats': -6.8277454, 'No': -1.9662433}
{' No': -0.024413789, '\n': -7.9466624, ' ': -6.579894, 'No': -3.8105638, ' no': -8.686616}
{' No': -0.033683524, '\n': -7.7461276, ' ': -7.067983, 'No': -3.4570231, ' no': -8.640326}
{' No': -0.41314325, '\n': -3.0509129, ' ': -4.6929474, 'No': -1.2795451, ' no': -6.278543}
{' No': -0.34394878, '\n': -3.3325522, ' ': -4.5820584, 'No': -1.4239335, ' no': -6.1448975}
{' No': -0.07991318, '\n': -4.832118, ' ': -5.237732, 'No': -2.9897468, ' no': -4.5427275}
{' No': -0.10667607, '\n': -4.417213, ' ': -5.1004353, 'No': -2.663141, ' no': -4.6397443}
{' No': -0.015074861, '\n': -5.6940117, ' ': -6.3958554, ' Generally': -8.919009, 'No': -4.6492224}
{' No': -0.016994629, '\n': -5.286873, ' ': -6.4590397, ' Generally': -7.3333793, 'No': -4.680073}
{' No': -0.07566666, '\n': -4.3058414, ' ': -5.636068, 'No': -2.894297, ' A': -8.561102}
{' No': -0.07950303, '\n': -3.7215014, ' ': -5.4916043, ' Cats': -7.298966, 'No': -3.0600421}
{' No': -0.068506464, '\n': -4.3250027, ' ': -5.571361, 'No': -3.0306911, ' A': -7.496905}
{' No': -0.06943845, '\n': -4.095926, ' ': -5.2768073, ' Cats': -6.2761803, 'No': -3.1484387}
{' No': -0.01762249, '\n': -5.954804, ' ': -5.765573, 'No': -4.471298, ' A': -8.539551}
{' No': -0.024796996, '\n': -5.5129485, ' ': -5.781877, ' Cats': -7.5705156, 'No': -4.100385}
{' No': -0.053461876, '\n': -5.0988126, ' ': -5.9260864, 'No': -3.1498342, ' A': -8.340786}
{' No': -0.054075383, '\n': -5.1783924, ' ': -5.3965836, ' Cats': -6.9752455, 'No': -3.190399}
{' No': -0.04077497, '\n': -5.285049, ' ': -5.3506193, 'No': -3.5821183, ' A': -6.5839677}
{' No': -0.05563522, '\n': -4.988033, ' ': -5.2509418, ' Cats': -6.380211, 'No': -3.2471347}
{' No': -0.020637622, ' ': -8.758244, ' Generally': -7.9438305, 'No': -3.9624612, ' A': -7.5014095}
{' No': -0.04666201, ' Not': -6.7196355, ' Generally': -4.490689, ' Cats': -5.0576673, 'No': -3.7832112}
{' No': -0.08395664, ' ': -7.725404, ' Generally': -7.2423825, 'No': -2.545674, ' A': -7.795016}
{' No': -0.16357167, ' Generally': -3.389638, ' Cats': -4.3799644, 'No': -2.517337, ' Yes': -4.983876}
{' No': -0.11520199, '\n': -5.1427097, ' ': -6.6364646, 'No': -2.298357, ' A': -7.470078}
{' No': -0.15663135, '\n': -4.217912, ' Generally': -4.605961, ' Cats': -4.6407604, 'No': -2.3642175}
{' No': -0.056689594, ' ': -8.848607, ' Generally': -7.594596, 'No': -2.9262593, ' A': -7.6288576}
{' No': -0.07512086, ' Not': -6.5092335, ' Generally': -4.2059555, ' Cats': -5.1970997, 'No': -3.051693}
{' No': -0.15886341, '\n': -4.583773, ' ': -5.944956, 'No': -2.0235865, ' A': -7.5222077}
{' No': -0.14526317, '\n': -3.8821883, ' Generally': -4.8123484, ' Cats': -4.561293, 'No': -2.5633998}
{' No': -0.12140296, '\n': -6.3598084, ' Generally': -5.0043335, 'No': -2.3242989, ' A': -5.849389}
{' No': -0.15921342, ' Not': -5.6265287, ' Generally': -3.5213826, ' Cats': -5.1112514, 'No': -2.3703265}
{' No': -0.0036317694, '\n': -7.923937, ' ': -7.496044, 'No': -5.9977627, ' A': -8.730222}
{' No': -0.013285071, '\n': -5.705536, ' ': -6.7519913, ' Generally': -6.6134915, 'No': -5.364189}
{' No': -0.058549047, '\n': -5.158654, ' ': -6.355254, 'No': -3.0163739, ' A': -8.602597}
{' No': -0.040335067, '\n': -5.351101, ' ': -6.342951, ' Cats': -6.929682, 'No': -3.4686246}
{' No': -0.1771924, '\n': -2.5247228, ' ': -4.789268, 'No': -2.61663, ' A': -7.763062}
{' No': -0.554399, '\n': -1.0383468, ' ': -3.7591834, ' Cats': -6.4907985, 'No': -3.1390681}
{' No': -0.009867874, '\n': -8.934678, ' ': -7.443038, 'No': -4.708125, ' A': -10.183905}
{' No': -0.009832601, '\n': -8.705757, ' ': -8.045851, ' Cats': -7.463194, 'No': -4.776537}
{' No': -0.19393699, '\n': -4.052011, ' ': -5.101196, 'No': -1.8870865, ' A': -7.527604}
{' No': -0.17800573, '\n': -3.6726556, ' ': -4.8846936, ' Cats': -6.849823, 'No': -2.0630288}
{' No': -0.05579125, '\n': -6.700082, ' ': -6.3019457, 'No': -3.003362, ' A': -6.9108944}
{' No': -0.071734674, '\n': -5.8595023, ' ': -5.5195003, ' Generally': -6.520542, 'No': -2.8650162}
{' No': -0.10790754, ' ': -7.631421, ' Generally': -7.181619, 'No': -2.3305676, ' A': -5.998019}
{' No': -0.23230365, ' Generally': -4.138445, ' Cats': -4.564706, 'No': -1.8614483, ' Yes': -5.378506}
{' No': -0.17571636, ' ': -8.814715, 'No': -1.8270282, 'no': -10.7220955, ' no': -10.305225}
{' No': -0.2803544, ' Generally': -4.4160523, 'No': -1.5822246, ' Yes': -5.3761463, ' It': -4.723191}
{' No': -0.10111124, '\n': -8.336988, ' ': -8.138995, 'No': -2.3490608, ' no': -9.744725}
{' No': -0.38153413, '\n': -6.614311, ' Generally': -6.4785824, ' Cats': -5.989917, 'No': -1.1799026}
{' No': -0.045183003, '\n': -10.547034, ' ': -8.610011, 'No': -3.1272733, ' no': -10.350616}
{' No': -0.10815011, ' Not': -6.777295, ' Generally': -5.169553, 'No': -2.390825, ' Yes': -6.6697917}
{' No': -0.4931023, '\n': -5.9989905, ' ': -7.168201, ' Cats': -8.053174, 'No': -0.95379186}
{' No': -0.48936135, '\n': -6.3116803, ' Generally': -5.642611, ' Cats': -4.6014295, 'No': -1.0031134}
{' No': -0.19762123, '\n': -6.2981763, ' ': -7.6210585, ' Cats': -8.185245, 'No': -1.7380569}
{' No': -0.2866117, ' Not': -7.621137, ' Generally': -6.930266, ' Cats': -5.5477886, 'No': -1.418234}
{' No': -0.0028282641, '\n': -9.7926855, ' ': -7.512002, 'No': -6.1995173, ' no': -8.867793}
{' No': -0.0047199233, '\n': -8.053666, ' ': -7.3087854, 'No': -5.7726946, ' no': -8.636423}
{' No': -0.07756977, '\n': -6.3982215, ' ': -6.707565, 'No': -2.6426847, ' no': -7.882675}
{' No': -0.076640084, '\n': -5.708115, ' ': -6.75583, ' Generally': -7.3178287, 'No': -2.7141619}
{' No': -0.21089065, '\n': -2.8073318, ' ': -5.51607, 'No': -2.0819407, ' no': -7.5928435}
{' No': -0.35550416, '\n': -1.7138644, ' ': -4.913409, 'No': -2.2298863, ' C': -6.9385424}
{' No': -0.018303253, '\n': -6.7878833, ' ': -6.9738674, 'No': -4.1631546, ' no': -8.03341}
{' No': -0.029394139, '\n': -6.3585925, ' ': -7.4811015, ' Generally': -7.5042663, 'No': -3.6756039}
{' No': -0.36334488, '\n': -2.899193, ' ': -5.2395635, 'No': -1.4194801, ' no': -6.6674447}
{' No': -0.1924236, '\n': -3.2512252, ' ': -5.118918, 'No': -2.078511, ' N': -6.298444}
{' No': -0.05890763, '\n': -5.927104, ' ': -6.260488, 'No': -3.1371148, ' no': -4.8046103}
{' No': -0.101683415, '\n': -5.1961713, ' ': -5.8202996, 'No': -2.5162513, ' no': -6.103298}
{' No': -0.018247042, '\n': -4.952588, ' ': -5.642413, 'No': -4.992553, ' A': -7.736571}
{' No': -0.029421022, '\n': -4.185259, ' ': -5.5670333, ' Generally': -6.5081115, 'No': -5.011108}
{' No': -0.12038242, '\n': -2.9117715, ' ': -4.674545, 'No': -3.0148964, ' A': -8.141682}
{' No': -0.28409904, '\n': -1.6549696, ' ': -4.2645717, ' Cats': -6.190572, 'No': -3.3130562}
{' No': -0.13876802, '\n': -2.717366, ' ': -4.5463624, 'No': -2.9569764, ' A': -7.576381}
{' No': -0.1823639, '\n': -2.1239417, ' ': -4.2149777, ' Cats': -5.7591867, 'No': -3.6440034}
{' No': -0.021724945, '\n': -5.381466, ' ': -5.33796, 'No': -4.462431, ' A': -7.8151536}
{' No': -0.040825445, '\n': -3.9110987, ' ': -5.1501656, ' Cats': -7.18222, 'No': -4.356005}
{' No': -0.045166038, '\n': -4.8946667, ' ': -5.803217, 'No': -3.4201105, ' A': -7.2980385}
{' No': -0.043427557, '\n': -4.3347273, ' ': -5.0730295, ' Cats': -6.2664423, 'No': -3.886693}
{' No': -0.050485607, '\n': -5.005451, ' ': -5.177414, 'No': -3.3531015, ' A': -6.7286696}
{' No': -0.057709053, '\n': -4.5219517, ' ': -4.895949, ' Cats': -6.157014, 'No': -3.412609}
{' Generally': -5.439297, ' Yes': -0.008011663, ' yes': -9.156174, 'Yes': -5.762953, ' It': -8.886719}
{' On': -6.8110857, ' Generally': -4.251025, ' Yes': -0.02334533, ' B': -6.4061594, 'Yes': -5.492507}
{' Generally': -5.160562, ' Yes': -0.017808622, ' yes': -8.07475, 'Yes': -4.5619884, ' It': -8.066945}
{' Generally': -5.581303, ' Yes': -0.017473996, ' B': -6.754454, ' yes': -8.232853, 'Yes': -4.468362}
{'\n': -7.7818947, ' Generally': -6.945265, ' Yes': -0.019961042, 'Yes': -4.0764527, ' It': -7.864088}
{' ': -7.922708, ' Generally': -6.4907203, ' Yes': -0.022626748, ' B': -6.1943107, 'Yes': -4.043865}
{' Generally': -5.017218, ' A': -8.124821, ' Yes': -0.011219705, ' yes': -8.5494995, 'Yes': -5.764803}
{' On': -6.503648, ' Generally': -4.519319, ' Yes': -0.026586162, ' B': -4.9814696, 'Yes': -5.268144}
{'\n': -5.537756, ' Generally': -4.9910107, ' Yes': -0.04652993, 'Yes': -3.711584, ' It': -5.814129}
{' ': -6.996716, ' Generally': -6.31269, ' Yes': -0.031173341, ' B': -6.894222, 'Yes': -3.6859775}
{' Generally': -5.32725, ' A': -7.5352807, ' Yes': -0.019633349, ' yes': -7.197822, 'Yes': -4.448405}
{' Generally': -5.7383785, ' Yes': -0.02457486, ' B': -6.473149, ' yes': -6.968746, 'Yes': -4.0474534}
{' ': -8.298322, ' Generally': -8.623166, ' Yes': -0.003028647, ' yes': -8.023118, 'Yes': -6.179847}
{' ': -7.873116, ' Generally': -6.534053, ' Yes': -0.0056541776, ' yes': -7.632685, 'Yes': -5.948523}
{'\n': -6.885684, ' Generally': -6.3630033, ' Yes': -0.02159052, ' yes': -6.9131327, 'Yes': -4.2224035}
{' Generally': -6.7563076, ' Yes': -0.01414006, ' B': -6.9167404, ' yes': -7.0895104, 'Yes': -4.5690427}
{'\n': -4.05625, ' ': -5.308684, ' A': -6.644703, ' Yes': -0.057890605, 'Yes': -3.4816403}
{'\n': -4.1219287, ' ': -5.415918, ' Yes': -0.056596555, ' B': -5.512653, 'Yes': -3.575334}
{'\n': -10.066225, ' ': -8.630517, ' Yes': -0.0031982719, ' yes': -7.9051867, 'Yes': -5.978479}
{' ': -9.114324, ' Yes': -0.0040920246, ' B': -8.256485, ' yes': -7.9151154, 'Yes': -5.7393284}
{' No': -4.376377, '\n': -4.3892784, ' ': -4.864523, ' Yes': -0.1567603, 'Yes': -2.3150723}
{'\n': -5.5680904, ' ': -5.8929706, ' Yes': -0.12200944, ' yes': -5.6141677, 'Yes': -2.2877254}
{'\n': -7.729346, ' ': -6.857111, ' Yes': -0.017595556, ' yes': -5.0472317, 'Yes': -4.7507515}
{' ': -7.125684, ' Generally': -7.407068, ' Yes': -0.022484578, ' yes': -4.9648747, 'Yes': -4.3649945}
{' Generally': -6.0070496, ' A': -6.951913, ' Yes': -0.04921501, ' yes': -4.6328654, 'Yes': -3.425344}
{' Generally': -5.459887, ' Yes': -0.0763988, ' B': -5.1650977, ' yes': -4.0697074, 'Yes': -3.1713426}
{' No': -6.006411, ' Generally': -6.7495446, ' Yes': -0.038435493, ' yes': -6.4456067, 'Yes': -3.460728}
{' Generally': -5.320441, ' Yes': -0.053864382, ' B': -7.192461, ' yes': -7.2137833, 'Yes': -3.1008956}
{' No': -6.928213, ' Generally': -6.9438133, ' Yes': -0.037947398, ' yes': -6.9645824, 'Yes': -3.4052246}
{' Generally': -7.120127, ' Yes': -0.06028245, ' B': -7.647097, ' yes': -6.8813806, 'Yes': -2.895455}
{' No': -8.300357, ' Generally': -7.228246, ' Yes': -0.01056597, ' yes': -7.5452957, 'Yes': -4.7426867}
{' Generally': -5.575699, ' Yes': -0.02088585, ' B': -6.6937556, ' yes': -7.352718, 'Yes': -4.245766}
{' No': -3.9084737, ' Generally': -3.7006204, 'No': -3.617666, ' Yes': -0.25449365, 'Yes': -2.0074937}
{' Generally': -4.83965, ' Yes': -0.17383103, ' B': -4.829524, ' yes': -6.5643067, 'Yes': -1.9838915}
{' No': -6.5400696, ' Generally': -5.340738, ' Yes': -0.035754833, ' yes': -5.5976386, 'Yes': -3.7627501}
{' Generally': -5.054482, ' Yes': -0.06334, ' B': -5.634442, ' yes': -5.4532495, 'Yes': -3.093163}
{' ': -6.4891515, ' Yes': -0.06872709, ' yes': -2.8587832, 'Yes': -5.087606, 'yes': -7.3486457}
{'\n': -7.449045, ' ': -7.0275536, ' Yes': -0.046201035, ' yes': -3.3378382, 'Yes': -4.907136}
{'\n': -6.8770323, ' ': -6.9416137, ' Yes': -0.03424571, ' yes': -4.650096, 'Yes': -3.8512716}
{'\n': -6.980725, ' ': -7.2635775, ' Yes': -0.032803237, ' yes': -4.8140097, 'Yes': -3.8438895}
{'\n': -4.597106, ' ': -6.074906, ' Yes': -0.085625656, ' yes': -4.768065, 'Yes': -2.8147895}
{'\n': -4.0056167, ' ': -5.795249, ' Yes': -0.10069632, ' yes': -4.5153403, 'Yes': -2.7988563}
{'\n': -8.33373, ' ': -8.268393, ' Yes': -0.012869713, ' yes': -5.497727, 'Yes': -4.8352156}
{'\n': -8.46378, ' Generally': -8.603061, ' Yes': -0.015134103, ' yes': -5.9142327, 'Yes': -4.4608965}
{'\n': -3.5956464, ' ': -5.4227214, ' Yes': -0.18900158, ' yes': -4.0666466, 'Yes': -2.1691442}
{'\n': -5.0119624, ' Yes': -0.17045586, ' yes': -3.9403305, 'Yes': -2.076603, 'yes': -5.942309}
{'\n': -6.0976377, ' ': -6.349137, ' Yes': -0.120779425, ' yes': -2.3692248, 'Yes': -4.3143005}
{'\n': -5.972463, ' Yes': -0.14389752, ' yes': -2.2170196, 'Yes': -4.014707, 'yes': -5.9808292}
{'\n': -7.0131884, ' ': -7.721673, ' Yes': -0.0058380407, ' yes': -7.261993, 'Yes': -5.6885524}
{'\n': -5.9564857, ' ': -6.7832966, ' Generally': -6.749651, ' Yes': -0.012039692, 'Yes': -5.185757}
{'\n': -5.2275233, ' ': -6.0913196, ' Yes': -0.027240405, ' yes': -6.9582744, 'Yes': -4.082116}
{'\n': -4.867749, ' ': -5.9275956, ' Generally': -6.03435, ' Yes': -0.032704696, 'Yes': -4.084235}
{'\n': -5.4239473, ' ': -6.2217875, ' Yes': -0.027117912, ' yes': -6.711068, 'Yes': -4.03069}
{'\n': -5.5930657, ' ': -6.191282, ' Yes': -0.03052396, ' B': -6.077643, 'Yes': -3.921172}
{'\n': -6.1598406, ' ': -6.033635, ' Yes': -0.008643522, ' yes': -7.656848, 'Yes': -5.7292166}
{'\n': -5.835721, ' ': -6.527315, ' Yes': -0.011664591, ' yes': -7.5498915, 'Yes': -5.0984735}
{' No': -2.9370782, '\n': -4.639066, ' ': -5.265117, ' Yes': -0.107625745, 'Yes': -3.6275918}
{' No': -6.083909, '\n': -6.5446615, ' ': -6.541028, ' Yes': -0.031661388, 'Yes': -3.7323105}
{'\n': -5.960007, ' ': -6.0838337, ' Yes': -0.022375833, ' yes': -5.007651, 'Yes': -4.706919}
{'\n': -6.649305, ' ': -6.6831374, ' Yes': -0.022718262, ' yes': -5.017841, 'Yes': -4.417879}
{' No': -1.0818683, 'No': -4.3417635, ' Yes': -0.46063727, 'Yes': -5.071189, ' It': -5.965764}
{' Generally': -6.9967484, ' Yes': -0.0040009995, ' B': -9.383199, ' yes': -9.498126, 'Yes': -5.8603635}
{' No': -1.2496414, ' Generally': -2.614849, 'No': -3.282562, ' Yes': -0.6810931, ' It': -2.7986848}
{' ': -8.550111, ' Generally': -4.781785, ' Yes': -0.024924459, ' B': -7.419265, 'Yes': -4.227664}
{' No': -1.0466706, ' Generally': -4.399299, 'No': -3.1763337, ' Yes': -0.59071314, 'Yes': -4.180053}
{'\n': -6.0208654, ' Generally': -5.3935046, ' Yes': -0.033362955, ' B': -6.7313643, 'Yes': -3.821956}
{' No': -1.3189517, ' Generally': -4.718602, 'No': -4.1549826, ' Yes': -0.3722069, 'Yes': -4.642909}
{' On': -8.372331, ' Generally': -4.435334, ' Yes': -0.025109636, ' B': -5.6190543, 'Yes': -4.798471}
{' No': -0.44232598, '\n': -4.4711475, ' Generally': -3.5275745, 'No': -2.2398686, ' Yes': -1.7648833}
{'\n': -4.867592, ' Generally': -4.90972, ' Yes': -0.056381743, ' B': -5.968875, 'Yes': -3.4528356}
{' No': -2.4286575, ' Generally': -2.3391664, 'No': -4.078663, ' Yes': -0.2994384, 'Yes': -3.729181}
{' Generally': -4.974324, ' Yes': -0.027200166, ' B': -6.9388742, ' yes': -7.9595304, 'Yes': -4.0411615}
{' No': -1.0272452, '\n': -6.418255, 'No': -6.358235, ' Yes': -0.4584986, 'Yes': -6.618853}
{'\n': -8.462882, ' Generally': -8.331496, ' Yes': -0.0028088987, ' yes': -8.856462, 'Yes': -6.1645484}
{' No': -0.12705877, '\n': -4.4582467, 'No': -2.9536276, ' Yes': -4.5629296, ' It': -3.7171254}
{'\n': -7.1548033, ' Generally': -6.0377145, ' Yes': -0.015565411, ' B': -7.5769544, 'Yes': -4.556291}
{' No': -0.23059301, '\n': -2.36347, ' ': -4.5650277, 'No': -2.5374584, ' Yes': -4.3621216}
{'\n': -2.518047, ' ': -4.818498, ' Yes': -0.12530494, ' B': -6.066387, 'Yes': -3.7415862}
{' No': -0.49434707, 'No': -4.9812875, ' Yes': -0.99077845, 'Yes': -6.496081, ' It': -5.0520654}
{' Generally': -8.660241, ' Yes': -0.002971134, ' B': -8.902724, ' yes': -9.303605, 'Yes': -6.0447493}
{' No': -0.35186705, '\n': -4.107684, ' ': -5.2642813, 'No': -1.3181947, ' Yes': -5.660773}
{' No': -5.1026726, '\n': -3.8465898, ' ': -5.2231064, ' Yes': -0.13261047, 'Yes': -2.4649928}
{' No': -0.2719535, 'No': -3.3478541, ' A': -4.7581053, ' Yes': -1.8464812, ' It': -4.3177147}
{' Generally': -6.230547, ' Yes': -0.023020376, ' B': -6.1935024, ' yes': -6.226799, 'Yes': -4.2604833}
{' No': -2.0613537, ' Generally': -3.6812553, 'No': -3.9002628, ' Yes': -0.25345594, 'Yes': -3.509632}
{' Generally': -4.752902, ' Yes': -0.06512198, ' B': -5.5303574, ' yes': -5.441719, 'Yes': -3.160415}
{' No': -0.20613039, ' ': -8.042937, 'No': -1.7087682, ' Yes': -5.5660353, 'Yes': -7.896677}
{' No': -3.9374042, ' Generally': -6.057231, 'No': -5.3159976, ' Yes': -0.08282803, 'Yes': -3.031606}
{' No': -0.20927826, ' ': -7.7470355, 'No': -1.7823813, ' Yes': -4.0218563, 'Yes': -6.549612}
{' No': -5.8397765, ' Generally': -6.6928706, 'No': -6.6554174, ' Yes': -0.08866826, 'Yes': -2.564645}
{' No': -0.043722607, ' ': -8.4116, 'No': -3.2907984, ' Yes': -5.2965226, 'Yes': -8.975206}
{' No': -6.633409, ' Generally': -6.1049347, ' Yes': -0.018188525, ' B': -8.169245, 'Yes': -4.2960796}
{' No': -0.3743323, '\n': -6.604303, ' ': -7.187432, 'No': -1.1787126, ' Yes': -7.4652696}
{' No': -5.8828454, ' Generally': -4.1175337, ' Yes': -0.169753, ' B': -4.2443395, 'Yes': -2.1711204}
{' No': -0.29733396, '\n': -6.2330866, ' ': -7.6564207, 'No': -1.3797925, ' Yes': -6.2540784}
{' No': -0.8023905, 'No': -1.1610599, ' Yes': -1.8452886, ' B': -3.3912404, 'Yes': -3.7272618}
{' No': -2.8072438, ' ': -6.5019746, ' Yes': -0.07185053, ' yes': -5.562777, 'Yes': -6.3047967}
