{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' No': -8.829784, '\n': -8.21515, ' Yes': -0.0017400761, ' yes': -8.006414, 'Yes': -7.09841}
{' No': -7.566373, ' ': -8.438151, ' Yes': -0.007243919, ' yes': -7.6552634, 'Yes': -5.1547813}
{'\n': -5.3278875, ' ': -6.4078627, ' Yes': -0.024140932, ' yes': -7.196698, 'Yes': -4.126685}
{' No': -7.0376616, ' ': -9.909118, ' Yes': -0.0022235934, ' yes': -9.139252, 'Yes': -6.754121}
{' No': -5.283487, '\n': -5.014113, ' ': -5.342054, ' Yes': -0.07801411, 'Yes': -2.9144244}
{' No': -8.572827, ' ': -9.120267, ' Yes': -0.0046232115, ' yes': -6.6337028, 'Yes': -5.843639}
{' No': -8.300426, ' Yes': -0.020696463, ' yes': -5.6475463, 'Yes': -4.1119556, 'yes': -8.74769}
{' No': -4.952487, 'No': -7.7588797, ' Yes': -0.02969858, ' yes': -6.78859, 'Yes': -3.89083}
{' No': -4.0707507, 'No': -7.147861, ' Yes': -0.043622606, ' yes': -6.5339026, 'Yes': -3.7781253}
{' No': -4.4006643, 'No': -8.193637, ' Yes': -0.024655499, ' yes': -6.952241, 'Yes': -4.5435495}
{' No': -1.2692462, ' ': -7.8675756, 'No': -3.3448324, ' Yes': -0.416709, 'Yes': -3.7880352}
{' No': -5.8142896, 'No': -8.470715, ' Yes': -0.032362834, ' yes': -7.126467, 'Yes': -3.5894039}
{' ': -6.9602394, ' Yes': -0.14448038, ' yes': -2.0393834, 'Yes': -6.116896, 'yes': -7.566958}
{'\n': -7.2143626, ' ': -7.620847, ' Yes': -0.032756492, ' yes': -4.5386424, 'Yes': -3.9295611}
{'\n': -4.9075203, ' ': -6.374494, ' Yes': -0.06459811, ' yes': -4.044643, 'Yes': -3.3665257}
{'\n': -8.34097, ' Yes': -0.009503095, ' yes': -5.7364964, 'Yes': -5.159821, 'yes': -9.154145}
{' No': -5.1636596, '\n': -4.1731763, ' Yes': -0.14034157, ' yes': -3.8741634, 'Yes': -2.525399}
{'\n': -7.6204915, ' ': -8.576898, ' Yes': -0.021388212, ' yes': -4.123811, 'Yes': -5.5119524}
{' No': -7.310807, ' ': -9.451495, ' Yes': -0.0030263735, ' yes': -7.0442705, 'Yes': -6.6652975}
{' No': -7.503357, '\n': -5.9695396, ' Yes': -0.014320893, ' yes': -7.035427, 'Yes': -4.6409726}
{'\n': -5.498514, ' ': -6.5537314, ' Yes': -0.020162817, ' yes': -7.208086, 'Yes': -4.317976}
{'\n': -7.7641296, ' ': -7.816004, ' Yes': -0.0031264606, ' yes': -8.063049, 'Yes': -6.275402}
{'\n': -5.6527944, ' ': -7.142538, ' Yes': -0.02468953, ' yes': -6.4437866, 'Yes': -4.045264}
{'\n': -8.557114, ' ': -8.517191, ' Yes': -0.011006647, ' yes': -5.6920743, 'Yes': -4.9732943}
{' No': -8.076682, ' Yes': -0.0013193373, ' yes': -10.021663, 'Yes': -7.0039735, ' In': -11.440103}
{' No': -3.6410835, 'No': -7.253497, ' Yes': -0.037081644, ' yes': -7.9042897, 'Yes': -4.777903}
{' No': -4.06068, 'No': -7.153193, ' Yes': -0.037818816, ' yes': -7.3211517, 'Yes': -4.05475}
{' No': -2.7548826, 'No': -8.149695, ' Yes': -0.06805388, ' yes': -9.064614, 'Yes': -6.5425735}
{' No': -3.7296863, '\n': -6.9978976, 'No': -6.075473, ' Yes': -0.054296117, 'Yes': -3.705703}
{' No': -5.6961994, 'No': -8.999177, ' Yes': -0.012039209, ' yes': -7.8496737, 'Yes': -4.905245}
{' No': -7.3730946, '\n': -7.962593, ' Yes': -0.0028672384, ' yes': -7.2781353, 'Yes': -7.006481}
{' No': -5.7981825, ' ': -8.340512, ' Yes': -0.010615967, ' yes': -7.006124, 'Yes': -5.110616}
{'\n': -5.695625, ' ': -6.785688, ' Yes': -0.022708815, ' yes': -6.688808, 'Yes': -4.1256537}
{' No': -5.8342137, ' ': -9.483243, ' Yes': -0.0044886055, ' yes': -8.504825, 'Yes': -6.7096486}
{' No': -3.8200722, '\n': -4.844468, ' ': -5.1604867, ' Yes': -0.106260635, 'Yes': -2.842379}
{' No': -8.129938, ' ': -9.420785, ' Yes': -0.004818144, ' yes': -6.4328613, 'Yes': -5.9204917}
{' No': -4.0535493, 'No': -7.083042, ' Yes': -0.041828807, ' yes': -4.8295255, 'Yes': -4.2760644}
{' No': -2.7701488, 'No': -5.44828, ' Yes': -0.09653628, ' yes': -5.8620105, 'Yes': -3.83114}
{' No': -4.824958, 'No': -7.883166, ' Yes': -0.035428345, ' yes': -5.4629526, 'Yes': -3.841159}
{' No': -3.1076114, 'No': -6.966481, ' Yes': -0.05869372, ' yes': -6.745669, 'Yes': -4.6229944}
{' No': -1.8748013, 'No': -3.7112858, ' Yes': -0.23811875, ' yes': -7.7236633, 'Yes': -3.4365819}
{' No': -4.0476074, 'No': -6.3637366, ' Yes': -0.061969914, ' yes': -5.922701, 'Yes': -3.2782764}
{' No': -7.319677, ' ': -6.801648, ' Yes': -0.23976845, ' yes': -1.5701536, 'Yes': -6.286437}
{' No': -7.2156014, '\n': -7.1661487, ' Yes': -0.032650623, ' yes': -4.361014, 'Yes': -4.0853314}
{'\n': -4.3272295, ' ': -6.2117696, ' Yes': -0.08280899, ' yes': -3.9894478, 'Yes': -3.1607125}
{' No': -5.3787127, '\n': -6.9400907, ' Yes': -0.01703725, ' yes': -5.4137278, 'Yes': -5.0630846}
{' No': -4.423255, '\n': -4.0289135, ' Yes': -0.16257495, ' yes': -3.906373, 'Yes': -2.4180663}
{' No': -7.8761625, '\n': -7.1843295, ' Yes': -0.026313689, ' yes': -3.9465117, 'Yes': -5.3285923}
{' No': -6.254214, ' ': -9.067555, ' Yes': -0.0048415028, ' yes': -6.575927, 'Yes': -6.6766453}
{' No': -7.2035255, '\n': -6.8804965, ' Yes': -0.013007986, ' yes': -6.8789406, 'Yes': -4.6425433}
{'\n': -6.21468, ' ': -7.2890134, ' Yes': -0.016699364, ' yes': -6.7171044, 'Yes': -4.415325}
{'\n': -8.688257, ' ': -8.141614, ' Yes': -0.0030945935, ' yes': -7.6116285, 'Yes': -6.23161}
{' No': -6.7356186, '\n': -5.985424, ' Yes': -0.032404266, ' yes': -5.9034424, 'Yes': -3.7297478}
{' No': -7.8377213, ' Yes': -0.0123562785, ' yes': -5.17932, 'Yes': -5.139471, 'yes': -9.087392}
{' No': -5.589748, '\n': -9.767414, ' Yes': -0.006013899, ' yes': -9.786046, 'Yes': -6.2325473}
{' No': -1.6914759, ' ': -8.226394, 'No': -5.4686346, ' Yes': -0.22009553, 'Yes': -4.8438115}
{' No': -2.1095052, '\n': -6.918636, 'No': -5.462605, ' Yes': -0.15481812, 'Yes': -4.1738744}
{' No': -1.3209171, 'No': -6.582748, ' Yes': -0.3152962, ' yes': -9.685128, 'Yes': -6.3615894}
{' No': -1.0221462, '\n': -5.8005004, 'No': -3.4359014, ' Yes': -0.53727525, 'Yes': -3.964422}
{' No': -5.163466, 'No': -8.553238, ' Yes': -0.014866489, ' yes': -8.095135, 'Yes': -4.827166}
{' No': -2.901527, '\n': -6.6951246, ' Yes': -0.060376722, ' yes': -7.2829795, 'Yes': -6.992555}
{' No': -4.4454722, ' ': -7.9231625, ' Yes': -0.018531471, ' yes': -7.299264, 'Yes': -5.278045}
{' No': -6.3057003, '\n': -5.286312, ' ': -6.4451213, ' Yes': -0.023509955, 'Yes': -4.3004036}
{' No': -4.0856333, ' ': -9.20547, ' Yes': -0.018199086, ' yes': -8.828067, 'Yes': -6.992234}
{' No': -3.072189, '\n': -4.6282187, ' ': -4.992125, ' Yes': -0.12215982, 'Yes': -3.1161208}
{' No': -5.810185, ' ': -8.741588, ' Yes': -0.007601687, ' yes': -6.551697, 'Yes': -5.868258}
{' No': -3.8951168, 'No': -6.9092407, ' Yes': -0.043365806, ' yes': -5.406744, 'Yes': -4.134672}
{' No': -2.370069, 'No': -5.0990157, ' Yes': -0.13240197, ' yes': -6.5428667, 'Yes': -3.7952783}
{' No': -2.886404, 'No': -6.07267, ' Yes': -0.08405538, ' yes': -6.124752, 'Yes': -3.9299662}
{' No': -2.073569, 'No': -5.968457, ' Yes': -0.14910011, ' yes': -7.431935, 'Yes': -4.676423}
{' No': -1.3624595, ' ': -7.5850997, 'No': -3.230639, ' Yes': -0.39968336, 'Yes': -3.4446604}
{' No': -6.481797, ' Yes': -0.047114067, ' yes': -7.705485, 'Yes': -3.1328342, 'yes': -8.499196}
{' No': -5.675369, ' ': -5.8764052, ' Yes': -0.2305314, ' yes': -1.6349752, 'Yes': -6.00798}
{' No': -4.930995, '\n': -6.5050726, ' Yes': -0.044064704, ' yes': -4.385398, 'Yes': -3.9073057}
{' No': -5.469844, '\n': -4.550224, ' Yes': -0.07356604, ' yes': -3.8023732, 'Yes': -3.4974606}
{' No': -5.407962, '\n': -7.079051, ' Yes': -0.016058821, ' yes': -5.5088544, 'Yes': -5.0995946}
{' No': -2.2251184, '\n': -3.524863, ' Yes': -0.2704714, ' yes': -4.0581336, 'Yes': -2.8592203}
{' No': -7.569648, '\n': -7.1406155, ' Yes': -0.025073823, ' yes': -4.0259933, 'Yes': -5.299598}
{' No': -1.8584889, 'No': -7.8546243, ' Yes': -0.17391856, ' yes': -6.659088, 'Yes': -6.5408883}
{' No': -2.8392968, '\n': -5.4282694, 'No': -6.82758, ' Yes': -0.07955995, 'Yes': -4.5520597}
{' No': -5.6939306, '\n': -5.4402375, ' ': -6.6243634, ' Yes': -0.02318275, 'Yes': -4.3543}
{' No': -6.0234632, '\n': -7.650103, ' ': -7.3224015, ' Yes': -0.0062991907, 'Yes': -6.0391455}
{' No': -3.020853, '\n': -5.114973, ' Yes': -0.08424399, ' yes': -6.0789633, 'Yes': -3.8865852}
{' No': -7.157367, ' ': -8.2087345, ' Yes': -0.015268207, ' yes': -5.2801647, 'Yes': -4.7636027}
{' No': -0.42001963, 'No': -5.455502, ' Yes': -1.0877234, 'Yes': -7.1546273, ' It': -8.280346}
{' No': -0.6531912, 'No': -4.2583165, ' Yes': -0.7778194, 'Yes': -5.416449, ' It': -7.872714}
{' No': -0.15073, ' ': -7.391793, 'No': -3.1172884, ' Yes': -2.3905106, 'Yes': -6.040483}
{' No': -0.07205984, 'No': -4.624087, ' Yes': -2.8370686, 'Yes': -8.503515, ' In': -8.413158}
{' No': -0.13625506, '\n': -6.001653, 'No': -2.4224584, ' Yes': -3.4089293, 'Yes': -6.6846013}
{' No': -0.8020353, ' Generally': -7.010857, 'No': -4.0593576, ' Yes': -0.643012, 'Yes': -5.3247557}
{' No': -0.07682923, '\n': -7.9825315, ' ': -8.05067, 'No': -6.7766414, ' Yes': -2.6333761}
{' No': -1.1411034, ' ': -7.181242, 'No': -5.3923736, ' Yes': -0.40179783, 'Yes': -5.427854}
{' No': -2.7066233, '\n': -5.0670223, ' ': -6.1720614, ' Yes': -0.09840438, 'Yes': -4.1890507}
{' No': -0.10473559, ' ': -8.2937975, 'No': -5.8066907, ' Yes': -2.3451073, 'Yes': -8.662467}
{' No': -0.1721288, '\n': -4.762557, ' ': -4.889927, 'No': -2.2512836, ' Yes': -3.4255772}
{' No': -1.0601493, 'No': -5.742253, ' Yes': -0.4384795, ' yes': -6.501487, 'Yes': -6.086684}
{' No': -0.16632988, 'No': -2.7596314, ' Yes': -2.469232, 'Yes': -6.175405, ' no': -7.013253}
{' No': -0.151095, ' ': -8.559545, 'No': -2.9138398, ' Yes': -2.4888694, 'Yes': -6.0638504}
{' No': -0.57590294, 'No': -3.5430408, ' Yes': -0.926941, ' yes': -6.764737, 'Yes': -4.524059}
{' No': -0.14020097, ' ': -9.058146, 'No': -3.581651, ' Yes': -2.2924397, 'Yes': -6.4316797}
{' No': -0.13885766, ' Generally': -8.032482, 'No': -2.1109014, ' Yes': -4.974143, 'Yes': -8.011268}
{' No': -0.14860567, 'No': -2.169369, ' Yes': -3.8116667, 'Yes': -6.673491, ' no': -8.8744545}
{' No': -1.1952314, ' Yes': -0.45734116, ' yes': -2.9893103, 'Yes': -6.447765, ' no': -4.7763906}
{' No': -1.3753058, 'No': -4.5147634, ' Yes': -0.3425586, ' yes': -4.689404, 'Yes': -4.339545}
{' No': -0.7557354, '\n': -3.6785467, 'No': -3.1020832, ' Yes': -0.8690909, 'Yes': -3.7616615}
{' No': -0.05267897, '\n': -6.1636114, ' ': -7.2647324, 'No': -3.8038998, ' Yes': -3.685232}
{' No': -0.38518763, '\n': -3.8898509, 'No': -1.8959049, ' Yes': -2.1285558, 'Yes': -4.2781053}
{' No': -1.4546795, 'No': -5.4508476, ' Yes': -0.3027401, ' yes': -4.4657626, 'Yes': -5.397917}
{' No': -0.07183266, '\n': -8.221064, ' ': -8.238039, 'No': -6.0999656, ' Yes': -2.7168808}
{' No': -2.158556, '\n': -5.571659, 'No': -6.1576495, ' Yes': -0.14125471, 'Yes': -4.776226}
{' No': -1.7239314, '\n': -4.87938, 'No': -5.351741, ' Yes': -0.2325431, 'Yes': -4.310878}
{' No': -0.078697555, '\n': -6.6151104, ' ': -7.0067635, 'No': -5.3541203, ' Yes': -2.684086}
{' No': -0.11821727, '\n': -4.9905143, 'No': -3.3037677, ' Yes': -2.7669067, 'Yes': -6.121403}
{' No': -4.029732, 'No': -8.1932955, ' Yes': -0.03136539, ' yes': -5.35563, 'Yes': -4.9160185}
{' No': -5.0236735, 'No': -10.018332, ' Yes': -0.009013881, ' yes': -9.510873, 'Yes': -6.1524196}
{' No': -1.0117047, 'No': -4.7688627, ' Yes': -0.47826886, 'Yes': -5.057367, ' It': -7.4989657}
{' No': -0.20128709, ' ': -7.4565015, 'No': -3.398686, ' Yes': -1.9376913, 'Yes': -5.7360864}
{' No': -0.42841613, 'No': -4.9852796, ' Yes': -1.080365, ' The': -9.118222, 'Yes': -6.501181}
{' No': -0.1276788, '\n': -5.483578, 'No': -2.4938533, ' Yes': -3.5058315, 'Yes': -6.719011}
{' No': -2.2654781, 'No': -5.6912584, ' Yes': -0.1236898, ' yes': -8.145598, 'Yes': -4.823686}
{' No': -3.0814013, '\n': -7.4581695, ' Yes': -0.049808256, ' yes': -7.297311, 'Yes': -6.959789}
{' No': -0.8074525, ' ': -6.977191, 'No': -5.0527472, ' Yes': -0.61444986, 'Yes': -5.456298}
{' No': -4.1066036, '\n': -4.989933, ' ': -6.0698647, ' Yes': -0.046087746, 'Yes': -4.0342197}
{' No': -0.09780751, ' ': -8.256498, 'No': -5.789562, ' Yes': -2.4129872, 'Yes': -8.45343}
{' No': -0.11757949, '\n': -4.8023486, ' ': -4.99564, 'No': -2.6983519, ' Yes': -3.6540973}
{' No': -2.9546041, 'No': -7.5384088, ' Yes': -0.06037818, ' yes': -6.3175898, 'Yes': -5.62065}
{' No': -0.5441503, 'No': -3.1924808, ' Yes': -1.0105008, ' yes': -6.088557, 'Yes': -4.6681466}
{' No': -0.38998756, 'No': -2.95227, ' Yes': -1.342815, ' yes': -7.7362127, 'Yes': -4.7706523}
{' No': -1.1905102, 'No': -3.9810472, ' Yes': -0.42601243, ' yes': -6.628388, 'Yes': -3.8226378}
{' No': -0.77424663, 'No': -4.4450803, ' Yes': -0.6559949, ' yes': -7.9121475, 'Yes': -4.872599}
{' No': -0.15812987, ' ': -7.6711645, 'No': -2.1038678, ' Yes': -3.8390782, 'Yes': -6.8243403}
{' No': -0.27360472, 'No': -2.3974738, ' Yes': -1.966573, ' yes': -8.315306, 'Yes': -4.8556037}
{' No': -3.7995145, ' ': -6.334075, ' Yes': -0.14154623, ' yes': -2.2664623, 'Yes': -6.1618495}
{' No': -3.923381, '\n': -6.674033, ' Yes': -0.056703027, ' yes': -4.5076785, 'Yes': -3.8632922}
{' No': -3.1247957, '\n': -4.1858597, ' Yes': -0.13673028, ' yes': -3.9035127, 'Yes': -3.2142525}
{' No': -2.032656, 'No': -6.014128, ' Yes': -0.1584533, ' yes': -5.6780663, 'Yes': -4.917385}
{' No': -0.24238959, '\n': -3.7810898, ' ': -4.908443, 'No': -2.0903358, ' Yes': -3.0198781}
{' No': -4.986808, '\n': -6.0153627, ' Yes': -0.03379153, ' yes': -4.0810804, 'Yes': -5.097251}
{' No': -2.382819, 'No': -8.286274, ' Yes': -0.10066863, ' yes': -6.8251276, 'Yes': -6.397261}
{' No': -2.6843982, '\n': -5.0788717, 'No': -6.461723, ' Yes': -0.09583431, 'Yes': -4.319057}
{' No': -3.6166897, '\n': -5.066183, ' ': -6.223646, ' Yes': -0.054720104, 'Yes': -4.112715}
{' No': -1.8141764, '\n': -5.7726746, ' ': -6.174157, ' Yes': -0.18893808, 'Yes': -5.899316}
{' No': -0.41963935, '\n': -4.9583945, 'No': -3.9716032, ' Yes': -1.1836317, 'Yes': -4.880022}
{' No': -4.1914835, ' ': -7.895374, ' Yes': -0.031582642, ' yes': -5.498227, 'Yes': -4.5449114}
{' No': -9.19486, ' Yes': -0.0014446818, ' yes': -10.111277, 'Yes': -6.699204, ' In': -11.166175}
{' No': -3.7800744, 'No': -7.3577375, ' Yes': -0.033766992, ' yes': -7.872931, 'Yes': -4.748206}
{' No': -4.853082, '\n': -7.4014473, ' Yes': -0.028419493, ' yes': -7.4563866, 'Yes': -4.017498}
{' No': -4.50524, ' Yes': -0.013783388, ' yes': -9.276521, ' The': -9.040387, 'Yes': -6.185614}
{' No': -3.4659338, '\n': -6.4099355, 'No': -5.7959986, ' Yes': -0.06404233, 'Yes': -3.7051404}
{' No': -6.20424, '\n': -8.9926, ' Yes': -0.009934093, ' yes': -7.795897, 'Yes': -4.998196}
{' No': -7.8090634, '\n': -7.8537583, ' Yes': -0.002868793, ' yes': -7.1757326, 'Yes': -6.8965907}
{' No': -5.8641825, ' ': -7.903226, ' Yes': -0.010415326, ' yes': -6.9659204, 'Yes': -5.1517763}
{'\n': -5.418253, ' ': -6.456013, ' Yes': -0.024014179, ' yes': -6.3892217, 'Yes': -4.1817684}
{' No': -6.709329, ' ': -9.27421, ' Yes': -0.0028510985, ' yes': -8.462959, 'Yes': -6.6677547}
{' No': -4.074899, '\n': -4.807371, ' ': -4.979553, ' Yes': -0.101110384, 'Yes': -2.8705957}
{' No': -7.14951, ' ': -9.063372, ' Yes': -0.0059918314, ' yes': -6.2380223, 'Yes': -5.8412557}
{' No': -5.0209074, 'No': -8.038861, ' Yes': -0.028169207, ' yes': -5.031528, 'Yes': -4.30911}
{' No': -2.547348, 'No': -5.188099, ' Yes': -0.11516768, ' yes': -5.9531555, 'Yes': -3.8256092}
{' No': -4.5268764, 'No': -7.7937446, ' Yes': -0.031410165, ' yes': -6.0580897, 'Yes': -4.0821953}
{' No': -2.681127, 'No': -6.672557, ' Yes': -0.08157309, ' yes': -7.150306, 'Yes': -4.9047523}
{' No': -2.1989782, ' Generally': -7.626537, 'No': -4.254583, ' Yes': -0.16773595, 'Yes': -3.5957181}
{' No': -6.463685, ' Yes': -0.052778054, ' yes': -5.967275, 'Yes': -3.0689292, 'yes': -7.5864463}
{'\n': -7.3558297, ' ': -6.762098, ' Yes': -0.14890073, ' yes': -2.0134199, 'Yes': -6.2338195}
{' No': -7.2440033, '\n': -6.993547, ' Yes': -0.037600514, ' yes': -4.1915884, 'Yes': -3.9708853}
{'\n': -4.2360725, ' ': -5.8735137, ' Yes': -0.08882764, ' yes': -3.7567275, 'Yes': -3.1928923}
{' No': -5.0217323, '\n': -6.2622905, ' Yes': -0.021167986, ' yes': -5.646244, 'Yes': -4.7971916}
{' No': -4.084681, '\n': -3.9681628, ' Yes': -0.16508438, ' yes': -3.8737357, 'Yes': -2.4866824}
{' No': -7.6216397, '\n': -6.9434724, ' Yes': -0.024803534, ' yes': -4.0219803, 'Yes': -5.422014}
{' No': -7.075918, ' ': -8.96188, ' Yes': -0.0042636893, ' yes': -6.2938643, 'Yes': -6.6436887}
{' No': -7.6322002, '\n': -6.330385, ' Yes': -0.013569241, ' yes': -6.95595, 'Yes': -4.639036}
{'\n': -5.5626917, ' ': -6.8810983, ' Yes': -0.022911998, ' yes': -6.4665093, 'Yes': -4.1745005}
{'\n': -7.8537574, ' ': -7.723054, ' Yes': -0.0035818792, ' yes': -7.544406, 'Yes': -6.2234373}
{' No': -6.529254, '\n': -6.0861006, ' Yes': -0.03430875, ' yes': -5.424623, 'Yes': -3.7256043}
{' No': -8.529573, ' Yes': -0.017139234, ' yes': -4.658214, 'Yes': -5.005342, 'yes': -8.48837}
{' No': -0.67197365, '\n': -8.49213, 'No': -5.6212587, ' Yes': -0.72749656, 'Yes': -6.4139667}
{' No': -0.058570027, ' ': -7.677347, 'No': -3.561265, ' Yes': -3.61737, 'Yes': -7.677251}
{' No': -0.12769714, '\n': -7.1085663, 'No': -3.5109198, ' Yes': -2.4523509, 'Yes': -6.2603555}
{' No': -0.010218157, '\n': -10.394699, ' ': -9.337455, 'No': -4.8225327, ' Yes': -6.290777}
{' No': -0.2740928, '\n': -5.3503885, 'No': -2.8537836, ' Yes': -1.7730398, 'Yes': -5.200574}
{' No': -1.3869678, '\n': -7.3379636, 'No': -4.815213, ' Yes': -0.3119327, 'Yes': -4.9043474}
{' No': -0.006448436, '\n': -6.881191, ' ': -7.252521, 'No': -6.3999343, ' Yes': -5.8809233}
{' No': -0.025639748, '\n': -7.65017, ' ': -7.406892, 'No': -4.5373774, ' Yes': -4.337075}
{' No': -0.13482107, '\n': -4.4131355, ' ': -5.8221917, 'No': -4.1572227, ' Yes': -2.3755286}
{' No': -0.0024448256, '\n': -10.85275, ' ': -8.978379, 'No': -6.327457, ' Yes': -7.6494536}
{' No': -0.09634553, '\n': -4.686046, ' ': -5.0951333, 'No': -2.8441482, ' Yes': -4.1358733}
{' No': -0.0739993, ' ': -7.794352, 'No': -4.923948, ' Yes': -2.7710915, 'Yes': -8.064158}
{' No': -0.20902112, 'No': -3.1862416, ' Yes': -1.9559484, ' yes': -7.1733694, 'Yes': -5.6786585}
{' No': -0.15463807, ' ': -8.167323, 'No': -3.023153, ' Yes': -2.3948877, 'Yes': -5.9467864}
{' No': -0.37905735, 'No': -3.454178, ' Yes': -1.2939572, ' yes': -7.4356737, 'Yes': -4.8172517}
{' No': -0.048126776, ' ': -8.639399, 'No': -4.1042295, ' Yes': -3.5165029, 'Yes': -7.845351}
{' No': -0.34903058, ' ': -7.709759, 'No': -2.6133451, ' Yes': -1.552951, 'Yes': -4.9166117}
{' No': -0.6467631, ' ': -7.8663387, 'No': -2.5327115, ' Yes': -0.99175113, 'Yes': -3.6966043}
{' No': -0.38035434, ' ': -5.1834626, ' Yes': -1.753241, ' yes': -2.8865552, ' no': -2.5718694}
{' No': -0.20075282, 'No': -3.636252, ' Yes': -1.9661182, ' yes': -5.5169816, 'Yes': -5.7139406}
{' No': -0.23265208, '\n': -3.7273645, 'No': -3.0443983, ' Yes': -2.1241603, 'Yes': -5.247192}
{' No': -0.06425924, '\n': -5.7045956, ' ': -7.175048, 'No': -4.100987, ' Yes': -3.2173696}
{' No': -0.16926393, '\n': -3.8318052, ' ': -5.352596, 'No': -2.191244, ' Yes': -4.544608}
{' No': -0.28425935, '\n': -5.3000846, 'No': -4.471954, ' Yes': -1.5216135, ' yes': -5.1232944}
{' No': -0.00510615, ' ': -8.488621, 'No': -6.0106544, ' Yes': -6.2512393, ' no': -8.073046}
{' No': -0.0334162, '\n': -4.667842, ' ': -6.589431, 'No': -4.075408, ' Yes': -5.3500185}
{' No': -0.08072215, '\n': -4.9052215, ' ': -6.3628473, 'No': -4.1120296, ' Yes': -2.983043}
{' No': -0.006348077, '\n': -6.9016156, ' ': -7.0061836, 'No': -5.836043, ' Yes': -6.561512}
{' No': -0.03077311, '\n': -5.713836, ' ': -6.5991807, 'No': -3.9803348, ' Yes': -5.0696177}
{' No': -0.17279766, 'No': -4.5677123, ' Yes': -1.9383482, ' yes': -7.0535307, 'Yes': -6.424953}
{' No': -0.24030918, 'No': -5.7247486, ' Yes': -1.5661701, 'Yes': -7.7835693, ' It': -8.223557}
{' No': -0.8142349, 'No': -4.5287085, ' Yes': -0.61666596, 'Yes': -5.321639, ' It': -8.032238}
{' No': -0.25503856, '\n': -7.313025, 'No': -3.395646, ' Yes': -1.6819471, 'Yes': -5.589875}
{' No': -0.1624399, 'No': -5.177954, ' Yes': -1.9448093, 'Yes': -7.8915124, ' In': -8.604075}
{' No': -0.11873885, '\n': -6.009247, ' ': -7.103414, 'No': -2.3806655, ' Yes': -4.2221284}
{' No': -0.9110279, ' Generally': -7.4903765, 'No': -4.6030693, ' Yes': -0.54101557, 'Yes': -5.6952434}
{' No': -0.011481946, '\n': -7.410411, 'No': -6.6753936, ' Yes': -4.723348, ' no': -8.2176075}
{' No': -0.27955484, ' ': -7.2311993, 'No': -4.6624093, ' Yes': -1.4655918, 'Yes': -6.500817}
{' No': -0.14418334, '\n': -5.1087403, ' ': -5.98643, 'No': -4.040315, ' Yes': -2.2492192}
{' No': -0.17057517, ' ': -8.663627, 'No': -5.976884, ' Yes': -1.8730365, 'Yes': -8.257218}
{' No': -0.107203215, '\n': -4.8723836, ' ': -5.1159835, 'No': -2.5130336, ' Yes': -5.2714725}
{' No': -1.4476997, 'No': -6.102898, ' Yes': -0.2776101, ' yes': -6.5305386, 'Yes': -5.9748163}
{' No': -0.13672955, 'No': -3.0157692, ' Yes': -2.6067367, 'Yes': -6.519545, ' no': -6.7842546}
{' No': -0.11782751, 'No': -2.6914835, ' Yes': -3.1825535, 'Yes': -6.706408, ' no': -8.461552}
{' No': -0.27426383, 'No': -3.076174, ' Yes': -1.6780056, ' yes': -7.662653, 'Yes': -5.2031407}
{' No': -0.21027668, 'No': -4.0127063, ' Yes': -1.7753534, ' yes': -9.007871, 'Yes': -6.3463545}
{' No': -0.12598255, ' Generally': -7.6492577, 'No': -2.1812003, ' Yes': -5.612377, ' It': -7.8588476}
{' No': -0.11554335, 'No': -2.325201, ' Yes': -4.5603065, 'Yes': -7.6883845, ' no': -8.747114}
{' No': -0.27233645, '\n': -5.7760153, ' Yes': -1.7165617, ' yes': -4.0161414, ' no': -3.446138}
{' No': -0.150181, '\n': -6.4550023, 'No': -3.8345108, ' Yes': -2.1957495, 'Yes': -6.447219}
{' No': -0.22137207, '\n': -4.1449866, 'No': -2.831426, ' Yes': -2.2102332, 'Yes': -5.347131}
{' No': -0.8138008, '\n': -5.6838813, 'No': -4.763872, ' Yes': -0.61905855, 'Yes': -5.5103836}
{' No': -0.20261045, '\n': -3.842705, ' ': -5.2906957, 'No': -1.9812797, ' Yes': -4.32723}
{' No': -1.6067712, 'No': -5.8347373, ' Yes': -0.24950396, ' yes': -4.5970798, 'Yes': -5.612884}
{' No': -0.101414375, '\n': -7.887076, 'No': -6.3545594, ' Yes': -2.3717678, ' no': -8.161227}
{' No': -0.8693489, '\n': -5.420334, 'No': -5.1879654, ' Yes': -0.5713276, 'Yes': -5.4728947}
{' No': -1.020551, '\n': -4.643268, 'No': -4.916906, ' Yes': -0.4912236, 'Yes': -4.8957114}
{' No': -0.19798972, '\n': -6.468154, ' ': -6.855124, 'No': -5.7710624, ' Yes': -1.7533543}
{' No': -0.054380573, '\n': -5.7074943, ' ': -6.757015, 'No': -3.4977264, ' Yes': -4.0703716}
{' No': -3.4493687, 'No': -7.871304, ' Yes': -0.044999555, ' yes': -5.2350397, 'Yes': -5.1616297}
{' No': -3.7917151, 'No': -9.22459, ' Yes': -0.024888897, ' yes': -9.480953, 'Yes': -6.4427085}
{' No': -1.0570285, 'No': -4.9208035, ' Yes': -0.44959906, 'Yes': -5.134049, ' It': -7.9835362}
{' No': -0.7326885, '\n': -7.095152, 'No': -4.042936, ' Yes': -0.7128883, 'Yes': -4.661283}
